@400000005e786ac82e5ffade #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e786ac91cb61892 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786af5249508c1 #d,-,18,2712,2351,1160,34,0,205361,12732,2714,2355,1160,2712,2350,1157,99,100,0,500,2733;
@400000005e786af724a568a3 #d,-,18,2710,2353,1158,35,0,205556,12744,2712,2353,1160,2710,2350,1158,99,100,0,500,2733;
@400000005e786af724aff39c #d,-,18,2709,2353,1157,35,0,204836,12699,2710,2354,1159,2709,2351,1156,99,100,0,500,2733;
@400000005e786af924b8ed2f #d,-,18,2709,2355,1156,36,0,204633,12687,2709,2355,1186,2709,2352,1156,98,100,0,500,2737;
@400000005e786af924c10af7 #d,-,18,2709,2354,1158,37,0,204396,12672,2709,2355,1160,2709,2352,1152,98,100,0,500,2751;
@400000005e786afb24d1a850 #d,-,18,2708,2352,1159,38,0,204169,12658,2709,2355,1160,2708,2351,1157,99,100,0,500,2733;
@400000005e786afb24dc00ff #d,-,18,2707,2354,1158,38,0,203950,12644,2708,2354,1159,2707,2351,1157,99,100,0,500,2733;
@400000005e786afd24e46d02 #d,-,18,2706,2355,1158,39,0,203743,12632,2707,2355,1159,2706,2352,1156,99,100,0,500,2733;
@400000005e786afd24ea2e5c #d,-,18,2706,2354,1166,40,0,203586,12622,2706,2355,1186,2706,2352,1158,99,100,0,500,2733;
@400000005e786aff24f2d50b #d,-,18,2708,2352,1157,41,0,203774,12634,2708,2356,1166,2706,2352,1151,98,100,0,500,2755;
@400000005e786aff24f818ab #d,-,18,2706,2355,1157,41,0,203198,12598,2708,2355,1159,2706,2352,1156,99,100,0,500,2733;
@400000005e786b012501386d #d,-,18,2705,2356,1157,42,0,203017,12587,2706,2357,1158,2705,2353,1155,99,100,0,500,2732;
@400000005e786b0125068be1 #d,-,18,2704,2354,1157,43,0,202842,12576,2705,2356,1158,2704,2354,1156,99,100,0,500,2730;
@400000005e786b032514a4c1 #d,-,18,2703,2355,1179,44,0,202709,12567,2704,2356,1185,2703,2354,1155,99,100,0,500,2730;
@400000005e786b03251fc104 #d,-,18,2706,2352,1391,44,0,202627,12562,2706,2357,1391,2703,2352,1149,98,100,0,500,2755;
@400000005e786b052530c027 #d,-,18,3385,2354,1337,45,0,204066,12652,3385,2355,1708,2706,2351,1337,100,100,0,500,3385;
@400000005e786b05253b8e2f #d,-,18,3254,2354,1554,46,0,204314,12667,3385,2356,1606,3254,2353,1285,96,100,0,500,3378;
@400000005e786b07254a7e31 #d,-,18,3543,2354,1673,47,0,205325,12730,3543,2355,1715,3254,2352,1292,100,100,0,500,3543;
@400000005e786b07255436b0 #d,-,18,3547,2352,1669,48,0,205918,12766,3547,2354,1673,3543,2352,1219,95,100,0,500,3712;
@400000005e786b09256384c3 #d,-,18,3462,2352,1705,49,0,206845,12824,3547,2353,1720,3462,2350,1298,99,100,0,500,3490;
@400000005e786b09256db1ab #d,-,18,3728,2352,1618,50,0,207331,12854,3728,2353,1705,3462,2351,1168,97,100,0,500,3812;
@400000005e786b0b257dd327 #d,-,18,3367,2350,1711,51,0,208181,12907,3728,2353,1712,3367,2350,1298,99,100,0,500,3385;
@400000005e786b0b258adb27 #d,-,18,3802,2351,1611,52,0,208989,12957,3802,2354,1711,3367,2350,1259,99,100,0,500,3814;
@400000005e786b0d259b2a45 #d,-,18,3344,2354,1187,53,0,209082,12963,3802,2355,1611,3344,2351,1135,96,100,0,500,3468;
@400000005e786b0d25a9d0b5 #d,-,18,2711,2353,1162,54,0,208865,12949,3344,2355,1193,2711,2353,1146,98,100,0,500,2764;
@400000005e786b0f25ba7670 #d,-,18,2709,2353,1171,55,0,208655,12936,2711,2355,1173,2709,2353,1158,99,100,0,500,2732;
@400000005e786b0f25c95b46 #d,-,18,2710,2354,1159,55,0,208443,12923,2710,2355,1171,2709,2352,1159,98,100,0,500,2748;
@400000005e786b1125d9d53c #d,-,18,2710,2353,1162,56,0,208241,12910,2710,2355,1164,2710,2353,1159,98,100,0,500,2739;
@400000005e786b1125e43dbf #d,-,18,2710,2354,1181,57,0,208050,12899,2710,2355,1181,2710,2353,1160,98,100,0,500,2742;
@400000005e786b1325f4c3d0 #d,-,18,2713,2355,1164,58,0,207874,12888,2713,2355,1189,2710,2353,1155,97,100,0,500,2769;
@400000005e786b1325ff0caa #d,-,18,2712,2356,1161,58,0,207687,12876,2713,2356,1164,2712,2353,1160,99,100,0,500,2737;
@400000005e786b15260f93a9 #d,-,18,2711,2355,1160,59,0,207504,12865,2712,2356,1162,2711,2353,1160,98,100,0,500,2742;
@400000005e786b152619c53a #d,-,18,2711,2354,1161,60,0,207325,12854,2711,2356,1162,2711,2354,1159,98,100,0,500,2741;
@400000005e786b172629b737 #d,-,18,2710,2354,1170,61,0,207155,12843,2711,2356,1170,2710,2354,1161,98,100,0,500,2741;
@400000005e786b17263497de #d,-,18,2714,2356,1161,61,0,207010,12834,2714,2356,1190,2710,2353,1155,97,100,0,500,2771;
@400000005e786b192644c0ce #d,-,18,2713,2356,1161,62,0,206844,12824,2714,2357,1163,2713,2354,1160,98,100,0,500,2741;
@400000005e786b19264f57e2 #d,-,18,2712,2357,1160,63,0,206686,12814,2713,2357,1163,2712,2355,1160,98,100,0,500,2742;
@400000005e786b1b265fda3a #d,-,18,2712,2356,1162,63,0,206530,12804,2712,2357,1163,2712,2353,1160,98,100,0,500,2741;
@400000005e786b1b266a4dea #d,-,18,2711,2355,1162,64,0,206378,12795,2712,2356,1163,2711,2353,1161,98,100,0,500,2742;
@400000005e786b1d267acc88 #d,-,18,2714,2356,1157,65,0,206252,12787,2714,2357,1189,2711,2354,1154,98,100,0,500,2764;
@400000005e786b1d2684fa5f #d,-,18,2713,2356,1161,66,0,206106,12778,2714,2356,1163,2713,2354,1157,98,100,0,500,2746;
@400000005e786b1f269578fd #d,-,18,2713,2357,1159,66,0,206206,12784,2713,2357,1162,2713,2355,1159,98,100,0,500,2741;
@400000005e786b1f269ff7db #d,-,18,2712,2353,1161,67,0,205821,12760,2713,2357,1162,2712,2353,1159,99,100,0,500,2739;
@400000005e786b2126afb3d3 #d,-,18,2711,2353,1161,68,0,205684,12752,2712,2355,1162,2711,2353,1160,98,100,0,500,2741;
@400000005e786b2126ba9cdc #d,-,18,2713,2354,1155,69,0,205573,12745,2713,2356,1189,2711,2353,1155,98,100,0,500,2755;
@400000005e786b2326cb17c1 #d,-,18,2713,2353,1162,69,0,205441,12737,2713,2356,1163,2713,2353,1155,98,100,0,500,2751;
@400000005e786b2326d56bc7 #d,-,18,2712,2355,1160,70,0,205313,12729,2713,2355,1163,2712,2353,1160,98,100,0,500,2741;
@400000005e786b2526e1cfdd #d,-,18,2711,2353,1162,71,0,205189,12721,2712,2356,1162,2711,2353,1160,98,100,0,500,2741;
@400000005e786b2526ec5ad6 #d,-,18,2711,2354,1160,72,0,205068,12714,2711,2355,1163,2711,2353,1160,98,100,0,500,2741;
@400000005e786b2726fbd006 #d,-,18,2713,2353,1652,73,0,205367,12732,2713,2356,1652,2711,2351,1160,98,100,0,500,2749;
@400000005e786b272705b35c #d,-,18,3761,2355,1280,74,0,205778,12758,3761,2355,1714,2713,2352,1280,99,100,0,500,3766;
@400000005e786b29270e750d #d,-,18,3341,2352,1638,75,0,206482,12801,3761,2355,1638,3341,2350,1249,99,100,0,500,3365;
@400000005e786b2927124d76 #d,-,18,3681,2355,1161,76,0,206803,12821,3681,2355,1724,3341,2350,1161,99,100,0,500,3709;
@400000005e786b2b271a2564 #d,-,18,3257,2356,1303,76,0,207162,12844,3681,2356,1605,3257,2352,1141,97,100,0,500,3344;
@400000005e786b2b271e34bf #d,-,18,3605,2355,1437,78,0,207830,12885,3605,2356,1726,3257,2351,1237,99,100,0,500,3636;
@400000005e786b2d272744ac #d,-,18,3317,2353,1505,78,0,208316,12915,3605,2356,1613,3317,2351,1152,96,100,0,500,3427;
@400000005e786b2d272bcd1a #d,-,18,3590,2353,1662,80,0,208911,12952,3590,2354,1715,3317,2350,1274,99,100,0,500,3604;
@400000005e786b2f27355e7b #d,-,18,3417,2355,1574,80,0,208941,12954,3590,2356,1662,3417,2353,1159,95,100,0,500,3573;
