@400000005e62014d2a1aa790 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e62014e1876dd3b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e62021028c360e5 #d,-,18,4543,2344,1974,214,1,289419,17944,4543,2345,1994,4542,2343,1971,96,100,0,500,4699;
@400000005e62021028cfdffd #d,-,18,4543,2341,1997,216,1,289765,17965,4543,2345,2000,4543,2341,1974,96,100,0,500,4694;
@400000005e62021228dfb6f7 #d,-,18,4542,2345,1991,217,1,289954,17977,4543,2345,2000,4542,2341,1973,96,100,0,500,4690;
@400000005e62021228e9151f #d,-,18,4542,2344,1974,218,1,289989,17979,4542,2345,1993,4542,2343,1972,96,100,0,500,4685;
@400000005e62021428fc99ab #d,-,18,4542,2346,1974,220,1,290172,17990,4542,2346,1992,4542,2344,1971,96,100,0,500,4685;
@400000005e6202142907919b #d,-,18,4542,2344,1974,221,1,290354,18001,4542,2346,1992,4542,2344,1971,96,100,0,500,4692;
@400000005e620216291c9c60 #d,-,18,4542,2344,1986,222,1,290534,18013,4542,2346,1991,4542,2344,1970,96,100,0,500,4690;
@400000005e62021629293edb #d,-,18,4541,2345,1994,223,1,290715,18024,4542,2345,1994,4541,2344,1971,96,100,0,500,4685;
@400000005e62021829389cc4 #d,-,18,4541,2344,1982,225,1,290894,18035,4541,2346,1994,4541,2344,1974,96,100,0,500,4690;
@400000005e62021829421e4f #d,-,18,4541,2345,1973,226,1,291070,18046,4541,2345,1995,4541,2343,1972,96,100,0,500,4690;
@400000005e62021a295bf75b #d,-,18,4542,2345,1970,227,1,291385,18065,4542,2346,1992,4541,2345,1970,96,100,0,500,4687;
@400000005e62021a29693dc1 #d,-,18,4542,2344,1979,228,1,291558,18076,4542,2345,1995,4542,2343,1970,96,100,0,500,4694;
@400000005e62021c2979bc5f #d,-,18,4541,2345,1993,230,1,291587,18078,4542,2347,1996,4541,2344,1969,96,100,0,500,4690;
@400000005e62021c2984731d #d,-,18,4541,2346,1988,231,1,291757,18088,4541,2347,1996,4541,2345,1972,96,100,0,500,4687;
@400000005e62021e2992e654 #d,-,18,4541,2345,1977,232,1,291923,18099,4541,2347,1989,4541,2345,1972,96,100,0,500,4687;
@400000005e62021e299b5e72 #d,-,18,4473,2348,1586,233,1,291939,18100,4541,2349,1977,4473,2345,1586,96,100,0,500,4645;
@400000005e62022029a9e8f1 #d,-,18,3888,2348,1492,234,1,291781,18090,4473,2348,1778,3888,2347,1492,94,100,0,500,4102;
@400000005e62022029b375aa #d,-,18,3016,2350,1189,235,1,291273,18058,3888,2350,1492,3016,2347,1108,90,100,0,500,3351;
@400000005e62022229c2e721 #d,-,18,2607,2350,1190,236,1,290773,18027,3016,2350,1203,2607,2349,1188,91,100,0,500,2855;
@400000005e62022229cc3574 #d,-,18,2604,2351,1179,236,1,290409,18005,2607,2352,1193,2604,2350,1179,91,100,0,500,2841;
@400000005e62022429db3192 #d,-,18,2599,2349,1170,237,1,289905,17974,2604,2351,1181,2599,2349,1169,92,100,0,500,2822;
@400000005e62022429e4edca #d,-,18,2545,2351,1171,238,1,289401,17942,2599,2352,1176,2545,2349,1168,90,100,0,500,2801;
@400000005e62022629f37cf1 #d,-,18,2543,2353,1166,239,1,288763,17903,2545,2353,1172,2543,2351,1166,90,100,0,500,2796;
@400000005e62022629fceaee #d,-,18,2541,2353,1168,239,1,288263,17872,2543,2354,1169,2541,2352,1163,91,100,0,500,2787;
@400000005e6202282a0b9c8b #d,-,18,2538,2355,1167,240,1,287767,17841,2541,2355,1168,2538,2352,1164,91,100,0,500,2784;
@400000005e6202282a15ae71 #d,-,18,2536,2353,1162,241,1,287273,17810,2538,2355,1168,2536,2353,1157,90,100,0,500,2789;
@400000005e62022a2a24f069 #d,-,18,2532,2353,1159,241,1,286781,17780,2536,2356,1162,2532,2353,1152,91,100,0,500,2772;
@400000005e62022a2a2e56f2 #d,-,18,2528,2355,1154,242,1,286294,17750,2532,2355,1163,2528,2353,1154,91,100,0,500,2768;
@400000005e62022c2a3d4aaf #d,-,18,2524,2354,1156,243,1,285806,17719,2528,2355,1157,2524,2353,1147,91,100,0,500,2765;
@400000005e62022c2a4699f0 #d,-,18,2520,2355,1151,243,1,285451,17698,2524,2356,1157,2520,2353,1151,91,100,0,500,2756;
@400000005e62022e2a559d81 #d,-,18,2516,2356,1151,244,1,284841,17660,2520,2356,1156,2516,2354,1149,91,100,0,500,2758;
@400000005e62022e2a5f179a #d,-,18,2512,2355,1147,245,1,284364,17630,2516,2357,1154,2512,2354,1146,91,100,0,500,2753;
@400000005e6202302a6e8cca #d,-,18,2507,2356,1148,245,1,283888,17601,2512,2356,1150,2507,2355,1143,91,100,0,500,2749;
@400000005e6202302a77f70e #d,-,18,2503,2356,1149,246,1,283419,17572,2507,2356,1152,2503,2354,1146,91,100,0,500,2744;
@400000005e6202322a8763dc #d,-,18,2501,2354,1144,247,1,282953,17543,2503,2356,1153,2501,2354,1144,90,100,0,500,2749;
@400000005e6202322a90b6d7 #d,-,18,2496,2355,1145,248,1,282486,17514,2501,2355,1145,2496,2353,1139,91,100,0,500,2737;
@400000005e6202342a9dab48 #d,-,18,2492,2353,1102,248,1,282143,17492,2496,2355,1146,2492,2353,1102,91,100,0,500,2732;
@400000005e6202342aa65d24 #d,-,18,2329,2358,1153,249,1,281513,17453,2492,2359,1160,2329,2353,1024,88,100,0,500,2633;
@400000005e6202362ab326be #d,-,18,2421,2358,1143,250,1,281056,17425,2421,2359,1153,2329,2356,1132,90,100,0,500,2682;
@400000005e6202362abc17ee #d,-,18,2426,2357,1136,250,1,280604,17397,2426,2359,1143,2421,2357,1136,88,100,0,500,2730;
@400000005e6202382ac8f8d0 #d,-,18,2429,2358,1140,251,1,280156,17369,2429,2359,1141,2426,2357,1134,88,100,0,500,2730;
@400000005e6202382ad18bf1 #d,-,18,2432,2356,1136,252,1,279710,17342,2432,2359,1142,2429,2356,1134,89,100,0,500,2725;
@400000005e62023a2adda1cb #d,-,18,2435,2357,1140,252,1,279268,17314,2435,2357,1143,2432,2355,1134,89,100,0,500,2725;
@400000005e62023a2ae6adfe #d,-,18,2437,2355,1136,253,1,278829,17287,2437,2357,1140,2435,2355,1135,89,100,0,500,2723;
@400000005e62023c2af3604f #d,-,18,2439,2358,1138,254,1,278393,17260,2439,2358,1140,2437,2355,1131,89,100,0,500,2725;
@400000005e62023c2afbf729 #d,-,18,2439,2356,1132,254,1,278074,17240,2439,2358,1138,2439,2356,1128,89,100,0,500,2715;
@400000005e62023e2b090b44 #d,-,18,2439,2358,1132,255,1,277642,17213,2439,2358,1137,2439,2355,1132,89,100,0,500,2715;
@400000005e62023e2b11c582 #d,-,18,2439,2356,1137,256,1,277099,17180,2439,2358,1138,2439,2356,1132,89,100,0,500,2715;
@400000005e6202402b1e2225 #d,-,18,2440,2358,1137,256,1,276678,17154,2440,2358,1139,2439,2356,1132,89,100,0,500,2718;
@400000005e6202402b271e83 #d,-,18,2440,2358,1132,257,1,276257,17127,2440,2358,1138,2440,2356,1130,89,100,0,500,2720;
@400000005e6202422b33d48d #d,-,18,2440,2356,1132,258,1,275840,17102,2440,2358,1135,2440,2356,1129,90,100,0,500,2711;
@400000005e6202422b3c6f21 #d,-,18,2440,2356,1132,258,1,275426,17076,2440,2357,1140,2440,2355,1130,89,100,0,500,2713;
@400000005e6202442b497720 #d,-,18,2440,2354,1137,259,1,275017,17051,2440,2357,1137,2440,2353,1130,89,100,0,500,2713;
@400000005e6202442b52587c #d,-,18,2439,2354,1134,260,1,274610,17025,2440,2355,1137,2439,2353,1132,89,100,0,500,2715;
@400000005e6202462b5f9b28 #d,-,18,2440,2353,1136,260,1,274207,17000,2440,2354,1138,2439,2351,1133,89,100,0,500,2713;
@400000005e6202462b682a8f #d,-,18,2440,2353,1134,261,1,273808,16976,2440,2354,1139,2440,2353,1132,89,100,0,500,2715;
@400000005e6202482b74e8fb #d,-,18,2441,2354,1133,262,1,273411,16951,2441,2354,1137,2440,2352,1129,89,100,0,500,2713;
@400000005e6202482b7dd93d #d,-,18,2440,2352,1130,262,1,273016,16927,2441,2355,1135,2440,2352,1129,90,100,0,500,2706;
@400000005e62024a2b8b244b #d,-,18,2439,2354,1133,263,1,272624,16902,2440,2354,1135,2439,2352,1127,90,100,0,500,2706;
@400000005e62024a2b93b3b2 #d,-,18,2439,2353,1133,264,1,272234,16878,2439,2354,1136,2439,2352,1129,90,100,0,500,2706;
@400000005e62024c2ba0f65e #d,-,18,2437,2353,1131,264,1,271847,16854,2439,2353,1135,2437,2351,1129,90,100,0,500,2706;
@400000005e62024c2ba9b09c #d,-,18,2437,2353,1135,265,1,271465,16830,2437,2354,1136,2437,2352,1129,90,100,0,500,2706;
@400000005e62024e2bb5d55d #d,-,18,2436,2352,1130,266,1,271190,16813,2437,2355,1136,2436,2352,1127,90,100,0,500,2704;
@400000005e62024e2bbee27e #d,-,18,2436,2356,1130,266,1,270811,16790,2436,2356,1134,2436,2352,1127,90,100,0,500,2706;
@400000005e6202502bcd7be4 #d,-,18,2435,2354,1130,267,1,270329,16760,2436,2356,1133,2435,2353,1127,90,100,0,500,2701;
@400000005e6202502bd6cedf #d,-,18,2727,2352,1588,268,1,270241,16754,2727,2355,1833,2435,2350,1130,95,100,0,500,2855;
@400000005e6202522be77854 #d,-,18,3385,2353,1194,269,1,269965,16737,3385,2355,1588,2727,2352,1150,91,100,0,500,3716;
@400000005e6202522bf1e84b #d,-,18,3146,2352,1998,270,1,270083,16745,3385,2354,2302,3146,2349,1192,95,100,0,500,3289;
@400000005e6202542c01787e #d,-,18,4615,2349,2109,271,1,270357,16762,4615,2352,2145,3146,2349,1987,94,100,0,500,4868;
@400000005e6202542c0b8b53 #d,-,18,4617,2351,1939,273,1,270556,16774,4617,2352,2109,4615,2348,1894,95,100,0,500,4837;
@400000005e6202562c1d41ef #d,-,18,4413,2350,1919,274,1,270726,16785,4617,2352,1984,4413,2349,1815,96,100,0,500,4574;
@400000005e6202562c280c3c #d,-,18,4412,2352,1926,275,1,271006,16802,4413,2352,1958,4412,2349,1894,97,100,0,500,4543;
@400000005e6202582c399447 #d,-,18,4415,2350,1919,276,1,271083,16807,4415,2352,1950,4412,2349,1918,96,100,0,500,4588;
@400000005e6202582c441413 #d,-,18,4418,2351,1957,278,1,271269,16818,4418,2352,1963,4415,2349,1919,96,100,0,500,4593;
@400000005e62025a2c53f63b #d,-,18,4422,2349,1943,279,1,271453,16830,4422,2351,1960,4418,2349,1931,96,100,0,500,4602;
@400000005e62025a2c5d7053 #d,-,18,4426,2351,1934,280,1,271634,16841,4426,2351,1960,4422,2349,1926,96,100,0,500,4600;
@400000005e62025c2c6ddf1c #d,-,18,4429,2351,1927,281,1,271816,16852,4429,2351,1990,4426,2350,1911,96,100,0,500,4604;
@400000005e62025c2c7879ea #d,-,18,4434,2352,1943,282,1,271998,16863,4434,2353,1980,4429,2351,1916,95,100,0,500,4619;
@400000005e62025e2c8a8add #d,-,18,4439,2352,1957,284,1,272180,16875,4439,2352,1962,4434,2350,1936,95,100,0,500,4628;
@400000005e62025e2c9592a2 #d,-,18,4442,2350,1955,285,1,272363,16886,4442,2352,1967,4439,2350,1933,96,100,0,500,4621;
@400000005e6202602ca565e3 #d,-,18,4448,2351,1939,286,1,272545,16897,4448,2351,1987,4442,2349,1912,96,100,0,500,4626;
@400000005e6202602caf062a #d,-,18,4450,2349,1938,287,1,272821,16914,4450,2352,1971,4448,2349,1926,96,100,0,500,4619;
@400000005e6202622cc077dc #d,-,18,4454,2352,1937,289,1,272899,16919,4454,2352,1970,4450,2348,1936,96,100,0,500,4630;
@400000005e6202622ccbb693 #d,-,18,4457,2350,1972,290,1,273078,16930,4457,2352,1977,4454,2350,1921,96,100,0,500,4635;
@400000005e6202642cdbcfae #d,-,18,4459,2351,1969,291,1,273258,16942,4459,2352,1989,4457,2350,1931,96,100,0,500,4626;
@400000005e6202642ce5ba77 #d,-,18,4462,2350,1936,292,1,273432,16952,4462,2352,1997,4459,2349,1915,96,100,0,500,4628;
@400000005e6202662cf5b88f #d,-,18,4463,2351,1933,294,1,273604,16963,4463,2352,2001,4462,2350,1916,96,100,0,500,4619;
@400000005e6202662d008e09 #d,-,18,4468,2350,1949,295,1,273780,16974,4468,2352,1973,4463,2349,1933,96,100,0,500,4649;
@400000005e6202682d11f2b0 #d,-,18,4471,2349,1950,296,1,273952,16985,4471,2351,1971,4468,2349,1942,96,100,0,500,4642;
@400000005e6202682d1c860b #d,-,18,4472,2350,1974,297,1,274127,16995,4472,2350,1976,4471,2348,1939,96,100,0,500,4635;
@400000005e62026a2d2b95b8 #d,-,18,4474,2349,1966,299,1,274302,17006,4474,2351,1999,4472,2348,1926,96,100,0,500,4638;
@400000005e62026a2d351744 #d,-,18,4476,2350,1936,300,1,274473,17017,4476,2351,2003,4474,2348,1923,96,100,0,500,4645;
@400000005e62026c2d465114 #d,-,18,4480,2351,1953,301,1,274644,17027,4480,2351,1988,4476,2348,1934,96,100,0,500,4647;
@400000005e62026c2d514dac #d,-,18,4484,2350,1940,302,1,274811,17038,4484,2351,1992,4480,2349,1930,96,100,0,500,4659;
@400000005e62026e2d600f1e #d,-,18,4485,2350,2003,303,1,274986,17049,4485,2350,2003,4484,2348,1929,96,100,0,500,4652;
@400000005e62026e2d6a015a #d,-,18,4486,2350,1959,305,1,275154,17059,4486,2350,2003,4485,2348,1939,96,100,0,500,4642;
@400000005e6202702d7ae1c2 #d,-,18,4486,2350,1937,306,1,275318,17069,4486,2351,2003,4486,2350,1928,96,100,0,500,4640;
@400000005e6202702d862c95 #d,-,18,4490,2351,1958,307,1,275579,17085,4490,2352,1977,4486,2350,1937,96,100,0,500,4654;
@400000005e6202722d96f96e #d,-,18,4492,2351,1968,308,1,275653,17090,4492,2352,1990,4490,2349,1951,96,100,0,500,4661;
@400000005e6202722da12aff #d,-,18,4495,2352,1981,310,1,275824,17101,4495,2352,2002,4492,2351,1946,96,100,0,500,4671;
@400000005e6202742db0843f #d,-,18,4497,2352,1957,311,1,275988,17111,4497,2353,1984,4495,2351,1951,96,100,0,500,4659;
@400000005e6202742dba3190 #d,-,18,4498,2352,1949,312,1,276150,17121,4498,2352,1991,4497,2350,1945,96,100,0,500,4654;
@400000005e6202762dc9a219 #d,-,18,4501,2350,1950,313,1,276312,17131,4501,2353,1982,4498,2350,1949,96,100,0,500,4668;
@400000005e6202762dd421e5 #d,-,18,4502,2352,1976,315,1,276475,17141,4502,2353,1983,4501,2350,1947,96,100,0,500,4664;
@400000005e6202782de348da #d,-,18,4502,2352,1975,316,1,276637,17151,4502,2353,1981,4502,2351,1948,96,100,0,500,4652;
@400000005e6202782decca66 #d,-,18,4503,2348,1955,317,1,276796,17161,4503,2353,1976,4502,2348,1950,96,100,0,500,4654;
@400000005e62027a2dfd295a #d,-,18,4505,2348,1964,318,1,277047,17176,4505,2351,1984,4503,2348,1952,96,100,0,500,4661;
@400000005e62027a2e07f761 #d,-,18,4506,2348,1963,320,1,277112,17180,4506,2349,1984,4505,2346,1950,96,100,0,500,4668;
@400000005e62027c2e1731e5 #d,-,18,4508,2346,1996,321,1,277275,17191,4508,2348,1999,4506,2345,1957,96,100,0,500,4668;
@400000005e62027c2e216730 #d,-,18,4510,2346,1975,322,2,277436,17201,4510,2347,1999,4508,2345,1963,96,100,0,500,4676;
@400000005e62027e2e32304f #d,-,18,4513,2345,1969,324,2,277595,17210,4513,2346,2006,4510,2343,1964,96,100,0,500,4678;
@400000005e62027e2e3cdeac #d,-,18,4518,2343,1968,325,2,277753,17220,4518,2345,2005,4513,2343,1963,96,100,0,500,4690;
@400000005e6202802e4bfd3f #d,-,18,4519,2343,1999,326,2,277912,17230,4519,2343,2008,4518,2341,1963,96,100,0,500,4690;
@400000005e6202802e558ae7 #d,-,18,4520,2340,2004,327,2,278162,17246,4520,2343,2011,4519,2339,1963,96,100,0,500,4676;
@400000005e6202822e65e621 #d,-,18,4521,2340,1961,329,2,278224,17249,4521,2341,2015,4520,2338,1959,96,100,0,500,4676;
@400000005e6202822e70c30e #d,-,18,4524,2341,1974,330,2,278469,17265,4524,2341,1999,4521,2339,1961,96,100,0,500,4678;
@400000005e6202842e814a0e #d,-,18,4526,2342,1980,331,2,278532,17269,4526,2342,1998,4524,2340,1966,96,100,0,500,4690;
@400000005e6202842e8bcd94 #d,-,18,4527,2343,2001,332,2,278688,17278,4527,2343,2006,4526,2341,1966,96,100,0,500,4685;
@400000005e6202862e9af489 #d,-,18,4528,2340,1983,334,2,278841,17288,4528,2343,2004,4527,2340,1967,96,100,0,500,4683;
@400000005e6202862ea4988a #d,-,18,4528,2342,1966,335,2,278990,17297,4528,2342,2002,4528,2340,1962,96,100,0,500,4678;
@400000005e6202882eb4fc26 #d,-,18,4529,2342,1974,336,2,279138,17306,4529,2343,2027,4528,2340,1939,96,100,0,500,4676;
@400000005e6202882ec02bf7 #d,-,18,4530,2342,1985,337,2,279287,17315,4530,2344,1998,4529,2342,1966,96,100,0,500,4690;
@400000005e62028a2ecff6d6 #d,-,18,4529,2344,2000,339,2,279524,17330,4530,2344,2006,4529,2342,1961,96,100,0,500,4673;
@400000005e62028a2ed9971e #d,-,18,4528,2343,1972,340,2,279579,17333,4529,2344,2000,4528,2341,1956,96,100,0,500,4671;
@400000005e62028c2ee97ded #d,-,18,4528,2342,1966,341,2,279723,17342,4528,2344,1999,4528,2341,1962,96,100,0,500,4671;
@400000005e62028c2ef43004 #d,-,18,4529,2345,1975,342,2,279865,17351,4529,2346,2014,4528,2341,1948,96,100,0,500,4678;
@400000005e62028e2f0308be #d,-,18,4529,2345,1990,344,2,280010,17360,4529,2345,1999,4529,2343,1964,96,100,0,500,4683;
@400000005e62028e2f0c482a #d,-,18,4528,2344,1983,345,2,280154,17369,4529,2345,1996,4528,2343,1962,96,100,0,500,4671;
@400000005e6202902f1c68b8 #d,-,18,4528,2344,1963,346,2,280293,17378,4528,2345,1994,4528,2343,1962,96,100,0,500,4673;
@400000005e6202902f270fa1 #d,-,18,4529,2345,1966,347,2,280521,17392,4529,2346,1995,4528,2343,1961,96,100,0,500,4678;
@400000005e6202922f36802a #d,-,18,4530,2346,1981,349,2,280661,17400,4530,2346,1996,4529,2344,1957,96,100,0,500,4683;
@400000005e6202922f4038a8 #d,-,18,4529,2347,2005,350,2,280803,17409,4530,2349,2012,4529,2346,1956,96,100,0,500,4676;
@400000005e6202942f4ee2d2 #d,-,18,4529,2347,1979,351,2,280857,17413,4529,2348,2007,4529,2346,1953,96,100,0,500,4680;
@400000005e6202942f580a07 #d,-,18,4532,2345,1969,352,2,280997,17421,4532,2347,2013,4529,2345,1964,96,100,0,500,4694;
@400000005e6202962f676435 #d,-,18,4535,2346,1968,354,2,281136,17430,4535,2347,2006,4532,2345,1964,96,100,0,500,4702;
@400000005e6202962f71a59b #d,-,18,4536,2347,2006,355,2,281277,17439,4536,2348,2006,4535,2345,1967,96,100,0,500,4692;
@400000005e6202982f80661e #d,-,18,4536,2346,1993,356,2,281416,17447,4536,2348,2016,4536,2345,1963,96,100,0,500,4685;
@400000005e6202982f89a944 #d,-,18,4537,2349,1967,358,2,281637,17461,4537,2349,2015,4536,2345,1963,96,100,0,500,4692;
@400000005e62029a2f9968f6 #d,-,18,4539,2346,1967,359,2,281773,17469,4539,2349,2014,4537,2345,1966,96,100,0,500,4697;
@400000005e62029a2fa3e41a #d,-,18,4541,2348,1982,360,2,281823,17473,4541,2349,1999,4539,2346,1963,96,100,0,500,4702;
@400000005e62029c2fb2c8f0 #d,-,18,4540,2350,2007,361,2,281959,17481,4541,2351,2007,4540,2348,1955,96,100,0,500,4690;
@400000005e62029c2fbd05ae #d,-,18,4540,2351,1980,363,2,282092,17489,4540,2351,2007,4540,2348,1956,96,100,0,500,4683;
@400000005e62029e2fcd5d2e #d,-,18,4541,2350,1969,364,2,282225,17498,4541,2351,2004,4540,2349,1964,96,100,0,500,4692;
@400000005e62029e2fd7b223 #d,-,18,4543,2350,1966,365,2,282356,17506,4543,2351,2012,4541,2349,1952,96,100,0,500,4702;
@400000005e6202a02fe771d5 #d,-,18,4543,2350,1999,366,2,282573,17519,4543,2351,2000,4543,2349,1961,96,100,0,500,4697;
@400000005e6202a02ff0d770 #d,-,18,4541,2351,1989,368,2,282620,17522,4543,2351,2010,4541,2348,1963,96,100,0,500,4683;
@400000005e6202a230018d00 #d,-,18,4541,2349,1968,369,2,282748,17530,4541,2351,2000,4541,2349,1958,96,100,0,500,4687;
@400000005e6202a2300c205b #d,-,18,4542,2350,1969,370,2,282876,17538,4542,2352,2003,4541,2349,1962,96,100,0,501,4690;
@400000005e6202a4301c25e7 #d,-,18,4544,2351,1977,371,2,283004,17546,4544,2351,2010,4542,2349,1961,96,100,0,501,4702;
@400000005e6202a430260cf6 #d,-,18,4543,2351,2016,373,2,283134,17554,4544,2352,2016,4543,2349,1961,96,100,0,501,4692;
@400000005e6202a63034f585 #d,-,18,4542,2349,1974,374,2,283260,17562,4543,2351,2017,4542,2349,1956,96,100,0,501,4687;
@400000005e6202a6303e2c90 #d,-,18,4542,2349,1962,375,2,283384,17569,4542,2351,2002,4542,2348,1962,96,100,0,501,4687;
@400000005e6202a8304deffb #d,-,18,4543,2351,1965,376,2,283508,17577,4543,2351,1999,4542,2347,1961,96,100,0,501,4694;
@400000005e6202a83058bd14 #d,-,18,4543,2350,1995,378,2,283633,17585,4543,2351,1997,4543,2349,1961,96,100,0,501,4697;
@400000005e6202aa3068657e #d,-,18,4542,2349,1992,379,2,283758,17593,4543,2351,2001,4542,2348,1962,96,100,0,500,4687;
@400000005e6202aa3071daee #d,-,18,4543,2351,1968,380,2,283882,17600,4543,2352,2004,4542,2349,1963,96,100,0,500,4694;
@400000005e6202ac3082cee5 #d,-,18,4544,2351,1971,382,2,284005,17608,4544,2351,2007,4543,2349,1959,96,100,0,501,4697;
@400000005e6202ac308e298d #d,-,18,4546,2348,1979,383,2,284128,17615,4546,2351,2017,4544,2347,1960,96,100,0,501,4709;
@400000005e6202ae309df46c #d,-,18,4546,2347,2009,384,2,284334,17628,4546,2350,2009,4546,2347,1969,96,100,0,501,4699;
@400000005e6202ae30a80a0c #d,-,18,4546,2349,1974,385,2,284455,17636,4546,2350,2013,4546,2346,1969,96,100,0,501,4694;
@400000005e6202b030b8170b #d,-,18,4546,2349,1971,387,2,284494,17638,4546,2350,2005,4546,2348,1965,96,100,0,501,4697;
@400000005e6202b030c2ba3b #d,-,18,4548,2350,1970,388,2,284612,17645,4548,2350,2009,4546,2347,1964,96,100,0,501,4702;
@400000005e6202b230d2851a #d,-,18,4548,2347,1995,389,2,284733,17653,4548,2350,2007,4548,2347,1964,96,100,0,501,4702;
@400000005e6202b230dc0a5f #d,-,18,4547,2350,1996,390,2,284854,17660,4548,2350,2008,4547,2347,1965,96,100,0,501,4692;
@400000005e6202b430ec3708 #d,-,18,4547,2349,1963,392,2,284970,17668,4547,2350,2007,4547,2348,1963,96,100,0,501,4694;
@400000005e6202b430f648ef #d,-,18,4548,2348,1973,393,2,285167,17680,4548,2350,2003,4547,2347,1962,96,100,0,501,4699;
@400000005e6202b63105b2f3 #d,-,18,4549,2348,1976,394,2,285282,17687,4549,2350,2008,4548,2347,1956,96,100,0,501,4704;
@400000005e6202b6310f8de7 #d,-,18,4548,2348,2007,395,2,285320,17689,4549,2349,2009,4548,2347,1961,96,100,0,501,4692;
@400000005e6202b8311fedc9 #d,-,18,4547,2349,1977,397,2,285435,17696,4548,2349,2007,4547,2347,1961,97,100,0,501,4687;
@400000005e6202b8312a4a31 #d,-,18,4546,2348,1966,398,2,285547,17703,4547,2349,2006,4546,2347,1964,96,100,0,501,4690;
@400000005e6202ba313b0735 #d,-,18,4548,2346,1971,399,2,285660,17710,4548,2348,2009,4546,2345,1966,96,100,0,501,4702;
@400000005e6202ba31455b3b #d,-,18,4548,2345,1997,400,2,285775,17718,4548,2348,2016,4548,2344,1967,96,100,0,501,4702;
@400000005e6202bc31548230 #d,-,18,4547,2347,2002,402,2,285890,17725,4548,2347,2015,4547,2345,1968,97,100,0,501,4687;
@400000005e6202bc315dc556 #d,-,18,4547,2346,1966,403,2,286000,17732,4547,2347,2006,4547,2344,1965,96,100,0,501,4694;
@400000005e6202be316dce9b #d,-,18,4548,2344,1979,404,2,286111,17738,4548,2347,2007,4547,2343,1966,96,100,0,501,4697;
@400000005e6202be31783ad8 #d,-,18,4549,2346,1986,405,2,286222,17745,4549,2347,2005,4548,2343,1968,96,100,0,501,4706;
@400000005e6202c031875e14 #d,-,18,4548,2345,2004,407,2,286335,17752,4549,2347,2010,4548,2344,1965,96,100,0,500,4697;
@400000005e6202c03190bc3c #d,-,18,4548,2345,1982,408,2,286445,17759,4548,2347,2014,4548,2344,1964,96,100,0,500,4692;
@400000005e6202c231a0e52b #d,-,18,4549,2346,1965,409,2,286632,17771,4549,2347,2018,4548,2345,1965,96,100,0,500,4697;
@400000005e6202c231ab3932 #d,-,18,4551,2347,1971,410,2,286662,17773,4551,2347,2012,4549,2344,1962,96,100,0,500,4709;
@400000005e6202c431ba54fa #d,-,18,4550,2346,2001,412,2,286772,17779,4551,2347,2020,4550,2345,1966,96,100,0,500,4704;
@400000005e6202c431c44825 #d,-,18,4549,2345,1995,413,2,286880,17786,4550,2348,2014,4549,2345,1969,97,100,0,500,4687;
@400000005e6202c631d5140f #d,-,18,4548,2347,1972,414,2,286985,17793,4549,2347,2003,4548,2344,1966,96,100,0,500,4690;
@400000005e6202c631e00cee #d,-,18,4549,2346,1976,415,2,287090,17799,4549,2347,2006,4548,2344,1964,96,100,0,500,4694;
@400000005e6202c831ef95ad #d,-,18,4549,2345,1982,417,2,287195,17806,4549,2347,2001,4549,2345,1963,96,100,0,501,4699;
@400000005e6202c831f92e81 #d,-,18,4547,2345,2000,418,2,287301,17812,4549,2348,2010,4547,2345,1956,96,100,0,501,4692;
@400000005e6202ca3209f02d #d,-,18,4547,2346,1978,419,2,287481,17823,4547,2347,2004,4547,2345,1962,97,100,0,501,4687;
@400000005e6202ca321574be #d,-,18,4547,2346,1967,421,2,287508,17825,4547,2346,2011,4547,2344,1962,96,100,0,501,4692;
@400000005e6202cc322470dd #d,-,18,4549,2346,1974,422,2,287611,17831,4549,2347,2006,4547,2346,1966,96,100,0,501,4709;
@400000005e6202cc322ea26d #d,-,18,4549,2346,2007,423,2,287716,17838,4549,2348,2011,4549,2346,1969,96,100,0,501,4699;
@400000005e6202ce323ef634 #d,-,18,4549,2348,1978,424,2,287817,17844,4549,2348,2007,4549,2345,1965,96,100,0,501,4694;
@400000005e6202ce324a0dce #d,-,18,4548,2348,1968,426,2,287918,17850,4549,2348,2004,4548,2346,1965,97,100,0,501,4687;
@400000005e6202d0325b6748 #d,-,18,4550,2345,1975,427,2,288019,17857,4550,2348,2003,4548,2345,1968,96,100,0,501,4702;
@400000005e6202d03265e26c #d,-,18,4549,2345,1995,428,2,288120,17863,4550,2347,1997,4549,2345,1970,96,100,0,501,4702;
@400000005e6202d23275290c #d,-,18,4548,2347,1994,429,2,288221,17869,4549,2347,2007,4548,2344,1969,96,100,0,501,4692;
@400000005e6202d2327ea324 #d,-,18,4548,2347,1974,431,2,288321,17875,4548,2348,2003,4548,2345,1967,96,100,0,501,4694;
@400000005e6202d4328efe5e #d,-,18,4550,2345,1975,432,2,288420,17882,4550,2348,2012,4548,2345,1964,96,100,0,501,4699;
@400000005e6202d4329ad98d #d,-,18,4550,2347,1985,433,2,288519,17888,4550,2347,2006,4550,2345,1967,96,100,0,501,4706;
