@400000005e62014d2a1aa790 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e62014e1876dd3b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e62017a20adc4cb #d,-,18,2444,2350,1137,29,0,177103,10980,2444,2352,1138,2444,2350,1133,90,100,0,500,2713;
@400000005e62017c20b7a467 #d,-,18,2443,2350,1155,30,0,177066,10978,2444,2350,1155,2443,2348,1134,90,100,0,500,2711;
@400000005e62017c20bc5b66 #d,-,18,2966,2347,1592,31,0,178827,11087,2966,2350,1711,2443,2346,1155,95,100,0,500,3097;
@400000005e62017e20cfcf2e #d,-,18,3393,2347,1186,32,0,179604,11135,3393,2348,1592,2966,2345,1186,93,100,0,500,3645;
@400000005e62017e20d93d2b #d,-,18,3471,2344,2005,33,0,182489,11314,3471,2347,2312,3393,2343,1157,94,100,0,500,3654;
@400000005e62018020ede714 #d,-,18,4643,2341,2053,34,0,185641,11509,4643,2344,2124,3471,2341,1914,95,100,0,500,4882;
@400000005e62018020f9fc01 #d,-,18,4551,2344,2018,35,0,188374,11679,4643,2345,2053,4551,2341,1845,95,100,0,500,4749;
@400000005e620182211024b0 #d,-,18,4363,2344,1917,37,0,190855,11833,4551,2344,2032,4363,2343,1827,96,100,0,500,4538;
@400000005e620182211d1479 #d,-,18,4419,2344,1904,38,0,193665,12007,4419,2345,1983,4363,2344,1886,96,100,0,500,4557;
@400000005e620184212dc64f #d,-,18,4418,2344,1922,39,0,195641,12129,4419,2344,1983,4418,2342,1889,96,100,0,500,4557;
@400000005e6201842137ff54 #d,-,18,4421,2350,1904,40,0,197904,12270,4421,2350,1983,4418,2343,1887,96,100,0,500,4578;
@400000005e620186214b0625 #d,-,18,4421,2347,1923,42,0,200092,12405,4421,2350,2004,4421,2346,1871,96,100,0,500,4590;
@400000005e620186215746d7 #d,-,18,4420,2348,1991,43,0,202241,12538,4421,2350,1991,4420,2347,1889,96,100,0,500,4569;
@400000005e62018821678bb7 #d,-,18,4422,2350,1941,44,0,204311,12667,4422,2350,1994,4420,2347,1907,96,100,0,500,4585;
@400000005e6201882171cc2e #d,-,18,4425,2347,1925,45,0,206307,12791,4425,2350,1970,4422,2347,1920,96,100,0,500,4595;
@400000005e62018a21807a11 #d,-,18,4429,2349,1935,47,0,208240,12910,4429,2350,1954,4425,2347,1925,96,100,0,500,4604;
@400000005e62018a218a03ff #d,-,18,4433,2347,1949,48,0,210122,13027,4433,2350,1961,4429,2347,1934,96,100,0,500,4609;
@400000005e62018c219c2ff3 #d,-,18,4436,2348,1960,49,0,211952,13141,4436,2349,1961,4433,2347,1936,96,100,0,500,4612;
@400000005e62018c21a8226a #d,-,18,4439,2347,1941,50,0,213709,13249,4439,2349,1960,4436,2346,1935,96,100,0,500,4609;
@400000005e62018e21b8093a #d,-,18,4442,2349,1942,52,0,215763,13377,4442,2349,1964,4439,2346,1933,96,100,0,500,4607;
@400000005e62018e21c1f403 #d,-,18,4447,2347,1945,53,0,217423,13480,4447,2349,1971,4442,2347,1937,96,100,0,500,4628;
@400000005e62019021d3e54b #d,-,18,4450,2350,1975,54,0,218702,13559,4450,2350,1975,4447,2347,1928,96,100,0,500,4628;
@400000005e62019021df3ff3 #d,-,18,4453,2349,1965,55,0,220279,13657,4453,2351,1983,4450,2348,1929,96,100,0,500,4621;
@400000005e62019221ee18ae #d,-,18,4455,2350,1933,56,0,221788,13750,4455,2350,1996,4453,2347,1912,96,100,0,500,4623;
@400000005e62019221f80f92 #d,-,18,4458,2349,1951,58,0,223263,13842,4458,2351,1968,4455,2349,1923,96,100,0,500,4621;
@400000005e620194220b60e5 #d,-,18,4462,2348,1951,59,0,224705,13931,4462,2349,1969,4458,2348,1945,96,100,0,500,4642;
@400000005e620194221831f1 #d,-,18,4465,2351,1970,60,0,226118,14019,4465,2351,1972,4462,2348,1943,96,100,0,500,4642;
@400000005e6201962229222e #d,-,18,4467,2350,1955,61,0,227482,14103,4467,2351,1970,4465,2349,1938,96,100,0,500,4633;
@400000005e62019622331913 #d,-,18,4469,2350,1945,63,0,229120,14205,4469,2351,1969,4467,2349,1939,96,100,0,500,4630;
@400000005e620198224243c2 #d,-,18,4472,2346,1956,64,0,230087,14265,4472,2350,1975,4469,2346,1943,96,100,0,500,4635;
@400000005e620198224bc194 #d,-,18,4475,2347,1952,65,0,231663,14363,4475,2348,1976,4472,2346,1941,96,100,0,500,4652;
@400000005e62019a225f1a5a #d,-,18,4478,2346,1983,66,0,232592,14420,4478,2347,1987,4475,2346,1945,96,100,0,500,4647;
@400000005e62019a226b108a #d,-,18,4480,2348,1958,68,0,233789,14494,4480,2348,1986,4478,2346,1942,96,100,0,500,4645;
@400000005e62019c227a9d03 #d,-,18,4482,2349,1947,69,0,234950,14566,4482,2349,1982,4480,2347,1946,96,100,0,500,4642;
@400000005e62019c2284fd25 #d,-,18,4485,2347,1956,70,0,236085,14637,4485,2349,1981,4482,2346,1947,96,100,0,500,4649;
@400000005e62019e2297748a #d,-,18,4487,2349,1964,71,0,237185,14705,4487,2350,1978,4485,2346,1927,96,100,0,500,4649;
@400000005e62019e22a31c7f #d,-,18,4487,2347,2027,73,0,238279,14773,4487,2349,2027,4487,2347,1902,96,100,0,500,4647;
@400000005e6201a022b331df #d,-,18,4488,2350,1963,74,0,239339,14839,4488,2350,2030,4487,2347,1926,96,100,0,500,4642;
@400000005e6201a022bcda89 #d,-,18,4491,2348,1956,75,0,240374,14903,4491,2350,1988,4488,2348,1953,96,100,0,500,4661;
@400000005e6201a222ca9dba #d,-,18,4496,2351,1957,76,0,241680,14984,4496,2351,1986,4491,2347,1954,96,100,0,500,4668;
@400000005e6201a222d36f41 #d,-,18,4498,2350,1970,78,0,242376,15027,4498,2351,1984,4496,2349,1950,96,100,0,500,4666;
@400000005e6201a422e852e8 #d,-,18,4499,2352,2020,79,0,243349,15087,4499,2353,2020,4498,2349,1914,96,100,0,500,4659;
@400000005e6201a422f4d200 #d,-,18,4499,2351,1966,80,0,244289,15145,4499,2352,2022,4499,2350,1935,96,100,0,500,4654;
@400000005e6201a6230516e0 #d,-,18,4500,2352,1954,81,0,245208,15202,4500,2353,1979,4499,2351,1954,96,100,0,500,4659;
@400000005e6201a6230e9c25 #d,-,18,4503,2354,1958,83,0,246107,15258,4503,2354,1976,4500,2351,1950,96,100,0,500,4664;
@400000005e6201a82322246b #d,-,18,4504,2353,1956,84,0,246986,15313,4504,2354,1977,4503,2351,1951,96,100,0,500,4666;
@400000005e6201a8232e6c90 #d,-,18,4505,2353,1975,85,0,247852,15366,4505,2353,1977,4504,2351,1953,96,100,0,500,4664;
@400000005e6201aa233f1e67 #d,-,18,4505,2348,1970,86,0,248697,15419,4505,2353,1980,4505,2348,1953,96,100,0,500,4657;
