@400000005e4cea761367490c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e4cea7701b731ea #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e4ceaa309bed3e0 #d,-,18,4517,2340,1977,40,0,244600,15165,4517,2340,1980,4516,2338,1972,96,100,0,500,4673;
@400000005e4ceaa309c9109e #d,-,18,4519,2339,1976,41,0,245880,15244,4519,2340,1981,4517,2337,1973,96,100,0,500,4671;
@400000005e4ceaa509d7f92d #d,-,18,4520,2340,1980,42,0,247665,15355,4520,2340,1988,4519,2336,1976,96,100,0,500,4678;
@400000005e4ceaa509e235eb #d,-,18,4524,2340,1986,44,0,249381,15461,4524,2341,1987,4520,2338,1979,96,100,0,500,4690;
@400000005e4ceaa709f19fee #d,-,18,4526,2340,1980,45,0,251016,15563,4526,2341,1986,4524,2338,1979,96,100,0,500,4687;
@400000005e4ceaa709fb6fb5 #d,-,18,4528,2338,1985,46,0,253115,15693,4528,2340,1986,4526,2338,1978,96,100,0,500,4687;
@400000005e4ceaa90a0b1377 #d,-,18,4530,2340,1982,48,0,254089,15753,4530,2341,1985,4528,2338,1979,96,100,0,500,4685;
@400000005e4ceaa90a154060 #d,-,18,4532,2340,1982,49,0,255531,15842,4532,2341,1987,4530,2338,1979,96,100,0,500,4687;
@400000005e4ceaab0a24b1d6 #d,-,18,4533,2340,1986,50,0,256920,15929,4533,2340,1987,4532,2338,1979,96,100,0,500,4687;
@400000005e4ceaab0a2f0223 #d,-,18,4534,2339,1982,51,0,258254,16011,4534,2340,1988,4533,2338,1979,96,100,0,500,4687;
@400000005e4ceaad0a3e8e9c #d,-,18,4535,2339,1988,53,0,259550,16092,4535,2340,1989,4534,2337,1981,96,100,0,500,4685;
@400000005e4ceaad0a4866c5 #d,-,18,4538,2337,1988,54,0,261295,16200,4538,2339,1995,4535,2336,1987,96,100,0,500,4699;
@400000005e4ceaaf0a57371d #d,-,18,4541,2338,1990,55,0,262025,16245,4541,2339,1993,4538,2337,1986,96,100,0,500,4704;
@400000005e4ceaaf0a618858 #d,-,18,4543,2337,1989,56,0,263192,16317,4543,2338,1992,4541,2336,1987,96,100,0,500,4699;
@400000005e4ceab10a717a55 #d,-,18,4545,2336,1990,58,0,264314,16387,4545,2337,1993,4543,2335,1988,96,100,0,500,4697;
@400000005e4ceab10a7bc32e #d,-,18,4546,2335,1990,59,0,265400,16454,4546,2336,1992,4545,2335,1989,96,100,0,500,4697;
@400000005e4ceab30a8b3fd2 #d,-,18,4547,2338,1990,60,0,266451,16519,4547,2338,1994,4546,2335,1990,96,100,0,500,4699;
@400000005e4ceab30a9551b9 #d,-,18,4548,2336,1995,61,0,267467,16582,4548,2338,1995,4547,2336,1987,96,100,0,500,4699;
@400000005e4ceab50aa468d9 #d,-,18,4549,2338,1988,63,0,268450,16643,4549,2338,1995,4548,2335,1987,96,100,0,500,4702;
@400000005e4ceab50aaed8d0 #d,-,18,4550,2337,1987,64,0,269396,16702,4550,2338,1993,4549,2336,1987,96,100,0,500,4699;
@400000005e4ceab70abdc519 #d,-,18,4550,2336,1989,65,0,270313,16759,4550,2337,1992,4550,2336,1985,96,100,0,500,4697;
