@400000005e7daf4701799b8e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7daf472b6403eb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7daf73335a7472 #d,-,18,2561,2358,1138,29,0,180910,11216,2561,2358,1192,2559,2356,1130,90,100,0,500,2843;
@400000005e7daf733363907a #d,-,18,2441,2358,1135,30,0,180785,11208,2561,2358,1139,2441,2358,1132,89,100,0,500,2723;
@400000005e7daf753370da99 #d,-,18,2441,2358,1137,30,0,181072,11226,2441,2358,1139,2441,2358,1132,89,100,0,500,2720;
@400000005e7daf7533799c4b #d,-,18,2442,2358,1136,31,0,180549,11194,2442,2359,1140,2441,2358,1134,89,100,0,500,2720;
@400000005e7daf773387e952 #d,-,18,2442,2358,1139,32,0,180446,11187,2442,2358,1140,2442,2358,1136,89,100,0,500,2725;
@400000005e7daf773391a0e2 #d,-,18,2443,2357,1276,33,0,180942,11218,2443,2358,1289,2442,2357,1137,89,100,0,500,2727;
@400000005e7daf79339fce40 #d,-,18,2763,2357,1335,33,0,181526,11254,2763,2358,1366,2443,2356,1243,93,100,0,500,2964;
@400000005e7daf7933a93021 #d,-,18,2972,2356,1339,34,0,181800,11271,2972,2357,1342,2763,2356,1334,92,100,0,500,3199;
@400000005e7daf7b33b84741 #d,-,18,2971,2358,1122,35,0,182567,11319,2972,2358,1339,2971,2356,1122,93,100,0,500,3194;
@400000005e7daf7b33c15bd6 #d,-,18,2653,2354,1197,36,0,182627,11322,2971,2358,1222,2653,2354,1109,90,100,0,500,2938;
@400000005e7daf7d33d072f6 #d,-,18,2587,2354,1193,36,0,182691,11326,2653,2355,1197,2587,2354,1189,90,100,0,500,2848;
@400000005e7daf7d33d9aaef #d,-,18,2587,2353,1191,37,0,182752,11330,2587,2354,1195,2587,2353,1191,90,100,0,500,2853;
@400000005e7daf7f33e69f60 #d,-,18,2533,2353,1139,38,0,182292,11302,2587,2354,1191,2533,2352,1131,90,100,0,500,2810;
@400000005e7daf7f33ef4d82 #d,-,18,2449,2355,1138,38,0,182503,11315,2533,2355,1141,2449,2353,1136,89,100,0,500,2727;
@400000005e7daf8133fcbebf #d,-,18,2449,2355,1139,39,0,182386,11307,2449,2355,1140,2449,2354,1135,90,100,0,500,2720;
@400000005e7daf8134058c8c #d,-,18,2449,2356,1140,40,0,181957,11281,2449,2357,1142,2449,2354,1136,89,100,0,500,2725;
@400000005e7daf8334146da8 #d,-,18,2449,2354,1140,40,0,181851,11274,2449,2356,1141,2449,2354,1135,89,100,0,500,2725;
@400000005e7daf83341d8d6a #d,-,18,2511,2352,1305,41,0,182371,11307,2511,2354,1305,2449,2352,1140,91,100,0,500,2753;
@400000005e7daf85342bd5c9 #d,-,18,2892,2351,1334,42,0,182592,11320,2892,2352,1368,2511,2348,1305,93,100,0,500,3107;
@400000005e7daf8534352c7e #d,-,18,2968,2351,1339,43,0,183390,11370,2968,2351,1340,2892,2351,1334,93,100,0,500,3189;
@400000005e7daf8734443782 #d,-,18,2965,2351,1203,44,0,183280,11363,2968,2352,1340,2965,2351,1146,93,100,0,500,3187;
@400000005e7daf87344d8a7d #d,-,18,2567,2354,1191,44,0,183602,11383,2965,2354,1203,2567,2351,1182,90,100,0,500,2843;
@400000005e7daf89345bf9fa #d,-,18,2569,2353,1190,45,0,183352,11367,2569,2354,1197,2567,2353,1188,90,100,0,500,2851;
@400000005e7daf8934659688 #d,-,18,2572,2354,1145,46,0,183313,11365,2572,2355,1192,2569,2353,1127,90,100,0,500,2853;
@400000005e7daf8b34735600 #d,-,18,2455,2353,1139,46,0,183469,11375,2572,2354,1145,2455,2353,1133,89,100,0,500,2742;
@400000005e7daf8b347be1ad #d,-,18,2453,2352,1136,47,0,183350,11367,2455,2354,1139,2453,2352,1134,90,100,0,500,2723;
@400000005e7daf8d34887454 #d,-,18,2452,2350,1141,48,0,182970,11344,2453,2353,1141,2452,2350,1134,90,100,0,500,2720;
@400000005e7daf8d3491c395 #d,-,18,2451,2350,1139,49,0,182863,11337,2452,2351,1142,2451,2350,1136,90,100,0,500,2720;
@400000005e7daf8f349f3c45 #d,-,18,2451,2350,1146,49,0,182764,11331,2451,2351,1148,2451,2350,1137,89,100,0,500,2725;
@400000005e7daf8f34a7f771 #d,-,18,2450,2350,1134,50,0,182902,11339,2451,2351,1146,2450,2350,1130,90,100,0,500,2718;
@400000005e7daf9134b5454a #d,-,18,2448,2352,1129,51,0,182783,11332,2450,2353,1135,2448,2350,1129,90,100,0,500,2711;
@400000005e7daf9134bde486 #d,-,18,2445,2352,1136,51,0,182426,11310,2448,2353,1136,2445,2351,1127,90,100,0,500,2708;
@400000005e7daf9334cb4234 #d,-,18,2444,2352,1130,52,0,182564,11318,2445,2352,1136,2444,2352,1127,90,100,0,500,2704;
@400000005e7daf9334d3e52a #d,-,18,2443,2351,1134,53,0,182457,11312,2444,2352,1134,2443,2351,1128,90,100,0,500,2706;
@400000005e7daf9534e15a20 #d,-,18,2441,2352,1133,53,0,182354,11305,2443,2352,1136,2441,2351,1129,90,100,0,500,2706;
@400000005e7daf9534e9fd16 #d,-,18,2440,2352,1134,54,0,182019,11285,2441,2352,1137,2440,2351,1129,90,100,0,500,2711;
@400000005e7daf9734f70515 #d,-,18,2439,2352,1132,55,0,182157,11293,2440,2352,1138,2439,2352,1131,90,100,0,500,2708;
@400000005e7daf9734fffa00 #d,-,18,2438,2352,1132,55,0,181831,11273,2439,2353,1135,2438,2351,1129,89,100,0,500,2711;
@400000005e7daf99350d8373 #d,-,18,2437,2352,1131,56,0,181740,11267,2438,2353,1134,2437,2352,1128,89,100,0,500,2708;
@400000005e7daf9935165140 #d,-,18,2437,2352,1131,57,0,181874,11276,2437,2353,1135,2437,2352,1128,89,100,0,500,2708;
@400000005e7daf9b35237442 #d,-,18,2436,2351,1133,57,0,181784,11270,2437,2352,1134,2436,2350,1130,89,100,0,500,2708;
@400000005e7daf9b352c88d7 #d,-,18,2435,2352,1135,58,0,181698,11265,2436,2352,1137,2435,2350,1129,89,100,0,500,2708;
@400000005e7daf9d35398101 #d,-,18,2435,2352,1133,59,0,181611,11259,2435,2353,1138,2435,2352,1129,89,100,0,500,2706;
@400000005e7daf9d35424ece #d,-,18,2435,2352,1134,59,0,181527,11254,2435,2353,1135,2435,2352,1129,89,100,0,500,2711;
@400000005e7daf9f354f7a31 #d,-,18,2433,2353,1127,60,0,181441,11249,2435,2353,1137,2433,2352,1127,89,100,0,500,2706;
@400000005e7daf9f3558a520 #d,-,18,2433,2353,1134,61,0,181154,11231,2433,2353,1135,2433,2352,1126,89,100,0,500,2706;
@400000005e7dafa135663607 #d,-,18,2432,2354,1127,61,0,181280,11239,2433,2354,1134,2432,2353,1127,89,100,0,500,2704;
@400000005e7dafa1356ec1b4 #d,-,18,2432,2353,1133,62,0,181202,11234,2432,2354,1135,2432,2353,1127,89,100,0,500,2706;
@400000005e7dafa3357bb26b #d,-,18,2431,2353,1131,63,0,180925,11217,2432,2354,1134,2431,2353,1128,90,100,0,500,2701;
@400000005e7dafa33584be9e #d,-,18,2431,2349,1134,63,0,180854,11212,2431,2353,1135,2431,2349,1129,89,100,0,500,2706;
@400000005e7dafa535921892 #d,-,18,2431,2351,1130,64,0,180779,11208,2431,2351,1134,2431,2349,1126,89,100,0,500,2706;
