@400000005e7daf4701799b8e #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7daf472b6403eb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7db00139a42217 #d,-,18,2981,2353,1148,130,0,182337,11304,2984,2355,1347,2981,2353,1121,93,100,0,500,3197;
@400000005e7db00339b21ff5 #d,-,18,2515,2349,1189,131,0,182350,11305,2981,2353,1205,2515,2349,1148,89,100,0,500,2810;
@400000005e7db00339bb30d0 #d,-,18,2599,2351,1196,131,0,182372,11307,2599,2351,1196,2515,2349,1189,91,100,0,500,2848;
@400000005e7db00539c8d545 #d,-,18,2598,2349,1184,132,0,182388,11308,2599,2351,1196,2598,2349,1184,91,100,0,500,2853;
@400000005e7db00539d2758d #d,-,18,2519,2353,1139,133,0,182353,11305,2598,2353,1184,2519,2349,1127,90,100,0,500,2796;
@400000005e7db00739df2b98 #d,-,18,2451,2352,1141,133,0,182318,11303,2519,2353,1142,2451,2352,1135,90,100,0,500,2723;
@400000005e7db00739e7bafe #d,-,18,2450,2351,1138,134,0,182285,11301,2451,2352,1142,2450,2350,1136,90,100,0,500,2720;
@400000005e7db00939f5cc6b #d,-,18,2451,2351,1146,135,0,182253,11299,2451,2351,1147,2450,2350,1137,89,100,0,500,2725;
@400000005e7db00939ff9105 #d,-,18,2452,2352,1145,135,0,182225,11297,2452,2352,1147,2451,2350,1141,89,100,0,500,2730;
@400000005e7db00b3a0e2a6b #d,-,18,2591,2351,1376,136,0,182333,11304,2591,2353,1376,2452,2351,1145,91,100,0,500,2817;
@400000005e7db00b3a175a02 #d,-,18,2930,2352,1345,137,0,182497,11314,2930,2353,1377,2591,2351,1331,93,100,0,500,3147;
@400000005e7db00d3a259ea7 #d,-,18,2992,2352,1302,138,0,182653,11324,2992,2352,1350,2930,2352,1302,93,100,0,500,3213;
@400000005e7db00d3a2f105e #d,-,18,2822,2352,1071,139,0,182627,11322,2992,2353,1302,2822,2352,1069,91,100,0,500,3095;
@400000005e7db00f3a3bb693 #d,-,18,2379,2352,1184,139,0,182613,11322,2822,2353,1199,2379,2350,1071,89,100,0,500,2659;
@400000005e7db00f3a444241 #d,-,18,2557,2350,1169,140,0,182616,11322,2557,2352,1187,2379,2350,1167,90,100,0,500,2820;
@400000005e7db0113a50d4e7 #d,-,18,2556,2349,1153,141,0,182698,11327,2557,2351,1187,2556,2349,1145,90,100,0,500,2810;
@400000005e7db0113a59ce7a #d,-,18,2477,2349,1139,141,0,182668,11325,2556,2350,1155,2477,2349,1138,89,100,0,500,2758;
@400000005e7db0133a66dded #d,-,18,2476,2350,1146,142,0,182638,11323,2477,2350,1159,2476,2349,1135,90,100,0,500,2737;
@400000005e7db0133a6f6d53 #d,-,18,2472,2350,1133,143,0,182607,11321,2476,2350,1156,2472,2347,1133,90,100,0,500,2725;
@400000005e7db0153a7d8633 #d,-,18,2472,2350,1154,143,0,182580,11320,2472,2350,1155,2472,2348,1133,90,100,0,500,2737;
@400000005e7db0153a872b23 #d,-,18,2471,2353,1144,144,0,182551,11318,2472,2353,1155,2471,2349,1138,90,100,0,500,2734;
@400000005e7db0173a957382 #d,-,18,2601,2353,1376,145,0,182568,11319,2601,2353,1376,2471,2352,1144,91,100,0,500,2829;
@400000005e7db0173a9e7fb5 #d,-,18,2926,2351,1345,146,0,182720,11328,2926,2354,1376,2601,2350,1330,93,100,0,500,3140;
@400000005e7db0193aac5ed8 #d,-,18,2990,2353,1312,147,0,182868,11337,2990,2353,1348,2926,2351,1312,93,100,0,500,3211;
@400000005e7db0193ab6139c #d,-,18,2813,2354,1177,147,0,182876,11338,2990,2354,1312,2813,2352,1150,91,100,0,500,3088;
@400000005e7db01b3ac33a57 #d,-,18,2545,2354,1179,148,0,182878,11338,2813,2355,1187,2545,2354,1171,90,100,0,500,2808;
@400000005e7db01b3acbc605 #d,-,18,2545,2354,1168,149,0,182874,11338,2545,2354,1179,2545,2353,1164,90,100,0,500,2813;
@400000005e7db01d3ad83547 #d,-,18,2544,2356,1142,149,0,182856,11337,2545,2356,1183,2544,2354,1133,90,100,0,500,2803;
@400000005e7db01d3ae14d96 #d,-,18,2451,2355,1140,150,0,182822,11335,2544,2357,1147,2451,2355,1132,89,100,0,500,2730;
@400000005e7db01f3aedfc2d #d,-,18,2451,2358,1140,151,0,182790,11333,2451,2358,1142,2451,2355,1138,89,100,0,500,2730;
@400000005e7db01f3af68b94 #d,-,18,2451,2356,1139,151,0,182758,11331,2451,2358,1143,2451,2353,1137,89,100,0,500,2730;
@400000005e7db0213b0321f4 #d,-,18,2451,2357,1143,152,0,182728,11329,2451,2357,1144,2451,2355,1137,89,100,0,501,2725;
@400000005e7db0213b0bdc32 #d,-,18,2452,2356,1128,153,0,182698,11327,2452,2357,1146,2451,2355,1128,89,100,0,501,2732;
@400000005e7db0233b18209e #d,-,18,2450,2357,1137,153,0,182660,11324,2452,2357,1137,2450,2347,1127,90,100,0,501,2718;
@400000005e7db0233b211dea #d,-,18,2448,2354,1129,154,0,182623,11322,2450,2358,1139,2448,2353,1129,90,100,0,501,2708;
@400000005e7db0253b2e0db3 #d,-,18,2446,2355,1135,155,0,182669,11325,2448,2356,1136,2446,2353,1128,90,100,0,500,2711;
@400000005e7db0253b369d1a #d,-,18,2444,2351,1131,155,0,182549,11318,2446,2355,1135,2444,2350,1129,90,100,0,500,2706;
@400000005e7db0273b437688 #d,-,18,2442,2352,1134,156,0,182513,11315,2444,2353,1136,2442,2350,1130,90,100,0,500,2706;
@400000005e7db0273b4c8ed6 #d,-,18,2441,2350,1131,157,0,182558,11318,2442,2353,1136,2441,2350,1129,90,100,0,500,2708;
@400000005e7db0293b5938c5 #d,-,18,2440,2350,1132,158,0,182441,11311,2441,2351,1136,2440,2350,1126,90,100,0,500,2704;
@400000005e7db0293b61cbe6 #d,-,18,2438,2352,1129,158,0,182404,11309,2440,2353,1137,2438,2350,1128,90,100,0,500,2704;
@400000005e7db02b3b6eb081 #d,-,18,2437,2349,1131,159,0,182367,11306,2438,2352,1133,2437,2349,1128,90,100,0,500,2704;
@400000005e7db02b3b776bae #d,-,18,2436,2352,1132,160,0,182331,11304,2437,2352,1134,2436,2349,1128,90,100,0,500,2701;
@400000005e7db02d3b842572 #d,-,18,2434,2353,1134,160,0,182296,11302,2436,2353,1135,2434,2350,1130,90,100,0,500,2704;
@400000005e7db02d3b8d0314 #d,-,18,2433,2350,1129,161,1,182260,11300,2434,2353,1137,2433,2350,1128,89,100,0,500,2706;
@400000005e7db02f3b9a19fa #d,-,18,2433,2350,1135,162,1,182227,11298,2433,2351,1136,2433,2350,1129,89,100,0,500,2704;
@400000005e7db0300007dba8 #d,-,18,2433,2349,1133,162,1,182193,11295,2433,2350,1136,2433,2349,1131,89,100,0,500,2706;
@400000005e7db03200145abf #d,-,18,2433,2351,1134,163,1,182160,11293,2433,2351,1138,2433,2348,1126,89,100,0,500,2708;
@400000005e7db032001d7a81 #d,-,18,2432,2351,1133,164,1,182127,11291,2433,2352,1135,2432,2350,1130,89,100,0,500,2704;
@400000005e7db034002ac0e7 #d,-,18,2432,2351,1133,164,1,182095,11289,2432,2351,1137,2432,2350,1128,89,100,0,500,2708;
@400000005e7db0340033504e #d,-,18,2432,2353,1133,165,1,182064,11287,2432,2353,1137,2432,2350,1129,89,100,0,500,2706;
@400000005e7db03600403d4b #d,-,18,2433,2351,1136,166,1,182034,11286,2433,2353,1142,2432,2350,1129,89,100,0,500,2711;
@400000005e7db0360048f789 #d,-,18,2433,2351,1134,166,1,182005,11284,2433,2352,1138,2433,2351,1132,89,100,0,500,2713;
@400000005e7db03800558676 #d,-,18,2434,2353,1134,167,1,181975,11282,2434,2353,1137,2433,2350,1132,89,100,0,500,2713;
@400000005e7db038005e9b0b #d,-,18,2435,2352,1136,168,1,181946,11280,2435,2353,1138,2434,2352,1133,89,100,0,500,2713;
@400000005e7db03a006b7bec #d,-,18,2435,2352,1136,168,1,181917,11278,2435,2352,1138,2435,2352,1133,89,100,0,500,2713;
@400000005e7db03a00740b53 #d,-,18,2436,2352,1133,169,1,181888,11277,2436,2353,1139,2435,2352,1133,89,100,0,500,2713;
@400000005e7db03c0082304f #d,-,18,2436,2351,1137,170,1,181859,11275,2436,2352,1138,2436,2351,1132,89,100,0,500,2713;
@400000005e7db03c008bfc5c #d,-,18,2435,2351,1214,170,1,181840,11274,2436,2353,1214,2435,2350,1132,89,100,0,500,2713;
@400000005e7db03e009ae3fd #d,-,18,2625,2348,1327,171,1,181939,11280,2625,2352,1362,2435,2348,1214,91,100,0,500,2855;
@400000005e7db03e00a4183c #d,-,18,2944,2350,1334,172,1,182061,11287,2944,2350,1339,2625,2348,1319,93,100,0,500,3147;
@400000005e7db04000b22500 #d,-,18,2945,2348,1311,173,1,182253,11299,2945,2350,1335,2944,2347,1311,92,100,0,500,3175;
@400000005e7db04000bb4109 #d,-,18,2809,2353,1091,173,1,182231,11298,2945,2353,1311,2809,2348,1065,91,100,0,500,3078;
@400000005e7db04200c95364 #d,-,18,2403,2352,1201,174,1,182236,11298,2809,2354,1223,2403,2352,1091,90,100,0,500,2670;
@400000005e7db04200d28e28 #d,-,18,2593,2354,1196,175,1,182180,11295,2593,2354,1201,2403,2352,1193,90,100,0,500,2860;
@400000005e7db04400dfb129 #d,-,18,2593,2352,1162,176,1,182192,11295,2593,2354,1197,2593,2351,1162,90,100,0,500,2853;
@400000005e7db04400e84538 #d,-,18,2513,2353,1143,176,1,182165,11294,2593,2354,1162,2513,2352,1127,90,100,0,500,2791;
@400000005e7db04600f5833c #d,-,18,2449,2351,1141,177,1,182140,11292,2513,2354,1143,2449,2351,1138,89,100,0,500,2725;
@400000005e7db04600fe3607 #d,-,18,2449,2352,1140,178,1,182116,11291,2449,2353,1142,2449,2351,1138,89,100,0,500,2725;
@400000005e7db048010ba743 #d,-,18,2450,2351,1141,178,1,182092,11289,2450,2352,1144,2449,2351,1139,89,100,0,500,2727;
@400000005e7db04801154879 #d,-,18,2451,2351,1243,179,1,182085,11289,2451,2353,1243,2450,2351,1141,89,100,0,500,2730;
@400000005e7db04a0123df14 #d,-,18,2653,2350,1327,180,1,182253,11299,2653,2351,1365,2451,2349,1243,91,100,0,500,2884;
@400000005e7db04a012d1d91 #d,-,18,2958,2352,1335,181,1,182371,11307,2958,2352,1345,2653,2349,1319,93,100,0,500,3161;
@400000005e7db04c013b2b44 #d,-,18,2958,2350,1287,181,1,182411,11309,2958,2352,1337,2958,2349,1287,92,100,0,500,3182;
@400000005e7db04c01444fae #d,-,18,2691,2350,1166,182,1,182393,11308,2958,2351,1287,2691,2349,1071,90,100,0,500,2979;
@400000005e7db04e015157ae #d,-,18,2537,2350,1172,183,1,182389,11308,2691,2351,1176,2537,2349,1166,90,100,0,500,2801;
@400000005e7db04e015a15a5 #d,-,18,2535,2349,1159,184,1,182382,11307,2537,2351,1172,2535,2348,1158,90,100,0,500,2787;
@400000005e7db0500166cbb0 #d,-,18,2531,2353,1138,184,1,182362,11306,2535,2353,1164,2531,2349,1138,91,100,0,500,2770;
@400000005e7db050016fb0c5 #d,-,18,2453,2353,1139,185,1,182338,11304,2531,2353,1142,2453,2352,1136,90,100,0,500,2725;
@400000005e7db052017c5341 #d,-,18,2452,2352,1140,186,1,182314,11303,2453,2353,1142,2452,2351,1138,89,100,0,500,2725;
@400000005e7db0520184eec3 #d,-,18,2452,2352,1142,186,1,182289,11301,2452,2352,1144,2452,2351,1139,89,100,0,500,2725;
@400000005e7db0540192dccc #d,-,18,2452,2350,1147,187,1,182268,11300,2452,2353,1149,2452,2350,1139,89,100,0,500,2727;
@400000005e7db054019c3f9c #d,-,18,2453,2351,1246,188,1,182294,11302,2453,2351,1294,2452,2349,1140,89,100,0,500,2737;
@400000005e7db05601aab2d3 #d,-,18,2846,2349,1329,188,1,182398,11308,2846,2351,1352,2453,2348,1246,93,100,0,500,3038;
@400000005e7db05601b3c679 #d,-,18,2920,2350,1325,189,1,182500,11315,2920,2351,1329,2846,2349,1313,92,100,0,500,3152;
@400000005e7db05801c22621 #d,-,18,2917,2350,1104,190,1,182619,11322,2920,2352,1330,2917,2349,1104,92,100,0,500,3140;
@400000005e7db05801cb6d00 #d,-,18,2591,2351,1193,191,1,182556,11318,2917,2351,1206,2591,2348,1096,90,100,0,500,2867;
@400000005e7db05a01d9ffe1 #d,-,18,2590,2349,1194,191,1,182569,11319,2591,2352,1197,2590,2349,1189,91,100,0,500,2841;
@400000005e7db05a01e33332 #d,-,18,2591,2347,1193,192,1,182582,11320,2591,2350,1197,2590,2346,1192,90,100,0,500,2851;
@400000005e7db05c01f042a4 #d,-,18,2539,2350,1143,193,1,182563,11318,2591,2350,1193,2539,2347,1139,90,100,0,500,2813;
@400000005e7db05c01f91071 #d,-,18,2465,2349,1145,194,1,182541,11317,2539,2350,1155,2465,2347,1138,90,100,0,500,2737;
@400000005e7db05e02064baa #d,-,18,2464,2351,1143,194,1,182522,11316,2465,2351,1161,2464,2348,1134,89,100,0,500,2739;
@400000005e7db05e020e8cd5 #d,-,18,2465,2350,1142,195,1,182500,11315,2465,2352,1158,2464,2349,1133,90,100,0,500,2732;
@400000005e7db060021cc1a6 #d,-,18,2465,2351,1146,196,1,182482,11313,2465,2351,1155,2465,2349,1137,89,100,0,500,2739;
@400000005e7db06002261c14 #d,-,18,2531,2346,1308,196,1,182592,11320,2531,2351,1308,2465,2346,1138,91,100,0,500,2763;
@400000005e7db0620234b668 #d,-,18,2878,2346,1328,197,1,182633,11323,2878,2347,1361,2531,2345,1308,92,100,0,500,3099;
@400000005e7db062023d2625 #d,-,18,2950,2350,1332,198,1,182737,11329,2950,2350,1335,2878,2346,1326,93,100,0,500,3168;
@400000005e7db064024b43ad #d,-,18,2946,2349,1228,199,1,182836,11335,2950,2350,1332,2946,2349,1090,93,100,0,500,3161;
@400000005e7db0640254a1d5 #d,-,18,2543,2350,1198,199,1,182782,11332,2946,2351,1228,2543,2349,1177,90,100,0,500,2820;
@400000005e7db0660262cf32 #d,-,18,2595,2352,1193,200,1,182794,11333,2595,2353,1198,2543,2350,1193,90,100,0,500,2855;
@400000005e7db066026c0e9e #d,-,18,2594,2352,1139,201,1,182794,11333,2595,2352,1196,2594,2351,1139,90,100,0,500,2851;
@400000005e7db06802789529 #d,-,18,2487,2352,1135,201,1,182771,11331,2594,2353,1156,2487,2350,1131,89,100,0,500,2770;
@400000005e7db06802818a14 #d,-,18,2484,2351,1152,202,1,182751,11330,2487,2353,1154,2484,2350,1133,90,100,0,500,2732;
@400000005e7db06a028e823e #d,-,18,2480,2352,1137,203,1,182727,11329,2484,2352,1154,2480,2349,1131,91,100,0,500,2725;
@400000005e7db06a029729dc #d,-,18,2478,2350,1152,203,1,182706,11327,2480,2353,1153,2478,2350,1134,90,100,0,500,2727;
@400000005e7db06c02a4878a #d,-,18,2476,2350,1075,204,1,182681,11326,2478,2351,1157,2476,2348,1075,90,100,0,500,2734;
@400000005e7db06c02ae1ca4 #d,-,18,2323,2351,1152,205,1,182625,11322,2476,2352,1168,2323,2350,1023,88,100,0,500,2625;
@400000005e7db06e02bca723 #d,-,18,2429,2350,1143,205,1,182666,11325,2429,2351,1152,2323,2349,1132,90,100,0,500,2689;
@400000005e7db06e02c5ca9f #d,-,18,2433,2352,1147,206,1,182584,11320,2433,2353,1148,2429,2349,1143,88,100,0,500,2734;
@400000005e7db07002d3d0de #d,-,18,2436,2352,1143,207,1,182564,11318,2436,2353,1148,2433,2352,1142,89,100,0,500,2734;
@400000005e7db07002dd3edb #d,-,18,2440,2352,1146,207,1,182544,11317,2440,2353,1149,2436,2350,1140,89,100,0,500,2737;
@400000005e7db07202eb8eae #d,-,18,2443,2352,1141,208,1,182524,11316,2443,2353,1147,2440,2351,1138,89,100,0,500,2732;
@400000005e7db07202f4aab6 #d,-,18,2445,2353,1144,209,1,182505,11315,2445,2354,1146,2443,2352,1139,89,100,0,500,2734;
@400000005e7db0740302b4af #d,-,18,2448,2353,1145,210,1,182485,11314,2448,2354,1145,2445,2353,1140,89,100,0,500,2732;
@400000005e7db074030c64cc #d,-,18,2449,2353,1142,210,1,182467,11312,2449,2354,1148,2448,2353,1140,89,100,0,500,2734;
@400000005e7db076031a5b37 #d,-,18,2451,2355,1146,211,1,182448,11311,2451,2356,1147,2449,2353,1140,89,100,0,500,2734;
@400000005e7db076032396e9 #d,-,18,2453,2355,1145,212,1,182430,11310,2453,2355,1148,2451,2354,1139,89,100,0,500,2737;
@400000005e7db0780330484b #d,-,18,2455,2353,1147,212,1,182413,11309,2455,2356,1149,2453,2353,1141,89,100,0,500,2742;
@400000005e7db07803394951 #d,-,18,2457,2354,1143,213,1,182394,11308,2457,2355,1148,2455,2353,1141,89,100,0,500,2739;
@400000005e7db07a034776af #d,-,18,2457,2352,1145,214,1,182376,11307,2457,2355,1146,2457,2352,1141,89,100,0,500,2734;
@400000005e7db07a0350b52c #d,-,18,2458,2355,1149,214,1,182356,11306,2458,2355,1149,2457,2352,1138,89,100,0,500,2734;
@400000005e7db07c035ecefb #d,-,18,2458,2355,1138,215,1,182337,11304,2458,2357,1149,2458,2355,1136,89,100,0,500,2734;
@400000005e7db07c036857fa #d,-,18,2457,2356,1142,216,1,182318,11303,2458,2357,1146,2457,2354,1136,90,100,0,500,2730;
@400000005e7db07e0376fab0 #d,-,18,2457,2354,1139,216,1,182357,11306,2457,2357,1144,2457,2353,1137,90,100,0,500,2730;
@400000005e7db07e038031ba #d,-,18,2458,2356,1144,217,1,182279,11301,2458,2356,1144,2457,2353,1139,89,100,0,500,2732;
@400000005e7db080038d9b83 #d,-,18,2458,2356,1144,218,1,182260,11300,2458,2356,1147,2458,2355,1137,89,100,0,500,2732;
@400000005e7db0800397442d #d,-,18,2457,2354,1142,218,1,182241,11298,2458,2356,1145,2457,2354,1138,89,100,0,500,2732;
@400000005e7db08203a5f5c9 #d,-,18,2458,2355,1147,219,1,182223,11297,2458,2355,1147,2457,2353,1140,89,100,0,500,2732;
@400000005e7db08203af291a #d,-,18,2458,2356,1142,220,1,182205,11296,2458,2357,1147,2458,2355,1139,89,100,0,500,2734;
@400000005e7db08403bdf6a7 #d,-,18,2458,2356,1144,220,1,182187,11295,2458,2356,1146,2458,2355,1140,89,100,0,500,2734;
@400000005e7db08403c70694 #d,-,18,2459,2354,1144,221,1,182170,11294,2459,2357,1146,2458,2354,1140,89,100,0,500,2737;
@400000005e7db08603d585e6 #d,-,18,2459,2355,1145,222,1,182152,11293,2459,2355,1147,2459,2354,1136,89,100,0,500,2737;
@400000005e7db08603debcf0 #d,-,18,2571,2352,1357,223,1,182208,11296,2571,2355,1357,2459,2352,1141,91,100,0,500,2798;
@400000005e7db08803ecf1c1 #d,-,18,2892,2354,1329,223,1,182303,11302,2892,2354,1365,2571,2352,1321,92,100,0,500,3114;
@400000005e7db08803f60dc9 #d,-,18,2964,2352,1336,224,1,182398,11308,2964,2354,1337,2892,2352,1328,93,100,0,500,3182;
@400000005e7db08a04030d66 #d,-,18,2906,2354,1172,225,1,182440,11311,2964,2355,1336,2906,2351,1172,92,100,0,500,3154;
@400000005e7db08a040cdd2d #d,-,18,2609,2356,1195,226,1,182446,11311,2906,2356,1197,2609,2354,1170,90,100,0,500,2884;
@400000005e7db08c041b700e #d,-,18,2603,2355,1174,226,1,182446,11311,2609,2356,1195,2603,2355,1164,92,100,0,500,2825;
@400000005e7db08c04249fa5 #d,-,18,2543,2354,1174,227,1,182447,11311,2603,2355,1178,2543,2354,1170,90,100,0,500,2806;
@400000005e7db08e043247d4 #d,-,18,2539,2358,1142,228,1,182431,11310,2543,2358,1174,2539,2354,1133,91,100,0,500,2787;
@400000005e7db08e043c22c8 #d,-,18,2457,2355,1139,228,1,182468,11313,2539,2358,1143,2457,2355,1137,89,100,0,500,2734;
@400000005e7db090044ab5a9 #d,-,18,2456,2356,1141,229,1,182448,11311,2457,2356,1143,2456,2353,1136,89,100,0,500,2730;
@400000005e7db0900453dcde #d,-,18,2457,2355,1142,230,1,182376,11307,2457,2358,1148,2456,2355,1137,90,100,0,500,2730;
@400000005e7db09204623513 #d,-,18,2458,2353,1146,231,1,182360,11306,2458,2355,1151,2457,2353,1142,89,100,0,500,2739;
@400000005e7db092046bc2ba #d,-,18,2461,2353,1251,231,1,182385,11307,2461,2355,1292,2458,2352,1143,89,100,0,500,2744;
@400000005e7db094047a35f0 #d,-,18,2866,2352,1340,232,1,182476,11313,2866,2354,1363,2461,2352,1251,93,100,0,500,3064;
@400000005e7db094048387fd #d,-,18,2954,2355,1337,233,1,182566,11319,2954,2355,1340,2866,2352,1328,92,100,0,500,3182;
@400000005e7db0960491d05c #d,-,18,2951,2354,1099,234,1,182591,11320,2954,2355,1337,2951,2353,1092,93,100,0,500,3168;
@400000005e7db096049af10c #d,-,18,2507,2353,1190,234,1,182598,11321,2951,2354,1201,2507,2353,1099,89,100,0,500,2798;
@400000005e7db09804a92997 #d,-,18,2591,2353,1190,235,1,182607,11321,2591,2354,1195,2507,2352,1186,91,100,0,500,2843;
@400000005e7db09804b26cbc #d,-,18,2591,2357,1161,236,1,182609,11321,2591,2357,1193,2591,2353,1151,90,100,0,500,2848;
@400000005e7db09a04c1545d #d,-,18,2499,2357,1141,236,1,182592,11320,2591,2357,1162,2499,2356,1134,89,100,0,500,2779;
@400000005e7db09a04ca83f4 #d,-,18,2493,2355,1136,237,1,182572,11319,2499,2357,1142,2493,2355,1135,91,100,0,500,2727;
@400000005e7db09c04d8a17c #d,-,18,2488,2357,1146,238,1,182553,11318,2493,2358,1146,2488,2355,1135,91,100,0,500,2727;
@400000005e7db09c04e1d886 #d,-,18,2484,2356,1144,239,1,182591,11320,2488,2357,1150,2484,2355,1144,90,100,0,500,2734;
@400000005e7db09e04f0099d #d,-,18,2483,2357,1148,239,1,182522,11316,2484,2357,1150,2483,2355,1143,90,100,0,500,2744;
@400000005e7db09e04f921ec #d,-,18,2609,2355,1350,240,1,182637,11323,2609,2358,1350,2483,2355,1147,92,100,0,500,2832;
@400000005e7db0a005076e05 #d,-,18,2916,2357,1329,241,1,182671,11325,2916,2357,1355,2609,2355,1324,92,100,0,500,3147;
@400000005e7db0a005111e21 #d,-,18,2921,2358,1318,242,1,182756,11330,2921,2358,1334,2916,2357,1318,91,100,0,500,3180;
@400000005e7db0a2051f7656 #d,-,18,2809,2357,1172,242,1,182756,11330,2921,2358,1318,2809,2357,1098,91,100,0,500,3085;
@400000005e7db0a20528a233 #d,-,18,2511,2359,1173,243,1,182755,11330,2809,2359,1185,2511,2357,1162,90,100,0,500,2772;
@400000005e7db0a405373426 #d,-,18,2513,2355,1173,244,1,182754,11330,2513,2359,1179,2511,2354,1167,89,100,0,500,2803;
@400000005e7db0a405410895 #d,-,18,2518,2356,1149,244,1,182746,11330,2518,2356,1177,2513,2354,1139,89,100,0,500,2813;
@400000005e7db0a6054f9314 #d,-,18,2465,2357,1142,245,1,182728,11329,2518,2357,1149,2465,2354,1135,89,100,0,500,2746;
@400000005e7db0a605593f77 #d,-,18,2464,2357,1140,246,1,182709,11327,2465,2358,1145,2464,2356,1138,90,100,0,500,2730;
@400000005e7db0a8056804a2 #d,-,18,2463,2356,1150,247,1,182692,11326,2464,2358,1150,2463,2355,1138,90,100,0,500,2732;
@400000005e7db0a8057120aa #d,-,18,2463,2356,1142,247,1,182677,11325,2463,2357,1150,2463,2355,1142,89,100,0,500,2744;
@400000005e7db0aa057f7437 #d,-,18,2465,2357,1260,248,1,182673,11325,2465,2358,1260,2463,2356,1140,89,100,0,500,2742;
@400000005e7db0aa0588a3cd #d,-,18,2669,2356,1317,249,1,182796,11333,2669,2357,1362,2465,2356,1244,92,100,0,500,2898;
@400000005e7db0ac0596a653 #d,-,18,2966,2356,1332,250,1,182879,11338,2966,2356,1339,2669,2355,1317,93,100,0,500,3173;
@400000005e7db0ac059fbea2 #d,-,18,2964,2355,1218,250,1,182947,11342,2966,2356,1334,2964,2355,1218,93,100,0,500,3180;
@400000005e7db0ae05ad9cd5 #d,-,18,2651,2356,1175,251,1,182892,11339,2964,2356,1218,2651,2355,1106,89,100,0,500,2955;
@400000005e7db0ae05b6e85d #d,-,18,2599,2355,1191,252,1,182951,11342,2651,2356,1195,2599,2355,1175,91,100,0,500,2846;
@400000005e7db0b005c53830 #d,-,18,2597,2356,1187,252,1,182957,11343,2599,2356,1191,2597,2355,1184,91,100,0,500,2841;
@400000005e7db0b005ce57f1 #d,-,18,2590,2358,1141,253,1,182891,11339,2597,2358,1189,2590,2355,1125,91,100,0,500,2827;
@400000005e7db0b205db0a42 #d,-,18,2455,2357,1140,254,1,182873,11338,2590,2358,1144,2455,2357,1137,90,100,0,500,2727;
@400000005e7db0b205e3ef58 #d,-,18,2455,2355,1140,255,1,182855,11337,2455,2357,1144,2455,2354,1139,89,100,0,500,2732;
@400000005e7db0b405f08e1a #d,-,18,2455,2355,1143,255,1,182837,11335,2455,2356,1146,2455,2354,1137,89,100,0,500,2732;
@400000005e7db0b405f93ff6 #d,-,18,2455,2354,1136,256,1,182818,11334,2455,2356,1144,2455,2354,1136,89,100,0,500,2730;
@400000005e7db0b606063467 #d,-,18,2455,2358,1059,257,1,182794,11333,2455,2358,1147,2455,2354,1059,90,100,0,500,2727;
@400000005e7db0b6060edfbe #d,-,18,2298,2355,1126,257,1,182746,11330,2455,2358,1153,2298,2355,1013,88,100,0,500,2611;
@400000005e7db0b8061bc45a #d,-,18,2413,2357,1133,258,1,182723,11328,2413,2357,1139,2298,2355,1123,90,100,0,500,2678;
@400000005e7db0b80624dca8 #d,-,18,2414,2356,1131,259,1,182699,11327,2414,2357,1133,2413,2356,1125,89,100,0,500,2706;
@400000005e7db0ba0631b8e2 #d,-,18,2416,2358,1131,259,1,182726,11329,2416,2358,1134,2414,2355,1125,89,100,0,500,2704;
@400000005e7db0ba063a4cf1 #d,-,18,2418,2358,1133,260,1,182653,11324,2418,2358,1134,2416,2355,1126,89,100,0,500,2708;
@400000005e7db0bc06468187 #d,-,18,2419,2357,1130,261,1,182680,11326,2419,2359,1134,2418,2356,1126,89,100,0,500,2708;
@400000005e7db0bc064f99d6 #d,-,18,2420,2358,1130,261,1,182608,11321,2420,2358,1135,2419,2356,1124,89,100,0,500,2708;
@400000005e7db0be065d1ea1 #d,-,18,2421,2356,1132,262,1,182586,11320,2421,2358,1133,2420,2356,1125,89,100,0,500,2704;
@400000005e7db0be0665b57b #d,-,18,2422,2357,1130,263,1,182564,11319,2422,2358,1135,2421,2356,1126,89,100,0,500,2706;
@400000005e7db0c006728776 #d,-,18,2423,2356,1132,263,1,182542,11317,2423,2357,1135,2422,2356,1128,89,100,0,500,2708;
@400000005e7db0c0067b3599 #d,-,18,2424,2356,1128,264,1,182520,11316,2424,2358,1135,2423,2355,1128,89,100,0,500,2711;
@400000005e7db0c20687ff32 #d,-,18,2425,2354,1135,265,1,182499,11314,2425,2357,1135,2424,2354,1125,89,100,0,500,2706;
@400000005e7db0c206910b65 #d,-,18,2426,2353,1127,265,1,182477,11313,2426,2355,1137,2425,2353,1126,89,100,0,500,2708;
@400000005e7db0c4069df4a9 #d,-,18,2427,2355,1134,266,1,182456,11312,2427,2355,1136,2426,2353,1127,89,100,0,500,2708;
@400000005e7db0c406a687c9 #d,-,18,2427,2356,1130,267,1,182483,11313,2427,2357,1134,2427,2355,1128,89,100,0,500,2706;
@400000005e7db0c606b21876 #d,-,18,2427,2356,1132,267,1,182461,11312,2427,2356,1134,2427,2355,1125,89,100,0,500,2708;
@400000005e7db0c606ba8479 #d,-,18,2427,2355,1130,268,1,182393,11308,2427,2356,1134,2427,2355,1125,89,100,0,500,2706;
