@400000005e70813f0a382e00 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e70813f34361ae9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7081fe0708082a #d,-,18,2779,2367,1152,146,0,201448,12489,2779,2368,1220,2564,2366,1108,99,100,0,500,2803;
@400000005e7081fe0717e2de #d,-,18,2669,2367,1089,147,0,201259,12478,2779,2369,1205,2669,2366,1053,97,100,0,500,2737;
@400000005e7082000724b893 #d,-,18,2526,2366,1422,148,0,201252,12477,2669,2368,1422,2526,2364,1081,98,100,0,500,2557;
@400000005e708200072be436 #d,-,18,3033,2368,1145,149,0,201277,12479,3033,2368,1422,2526,2365,1145,99,100,0,500,3047;
@400000005e708202073b6cf5 #d,-,18,2683,2368,1064,149,0,201175,12472,3033,2369,1145,2683,2366,1020,97,100,0,500,2744;
@400000005e70820207451958 #d,-,18,2457,2368,1151,150,0,201206,12474,2683,2369,1177,2457,2365,1041,98,100,0,500,2495;
@400000005e7082040755e277 #d,-,18,2710,2367,1208,151,0,201076,12466,2710,2368,1208,2457,2366,1141,99,100,0,500,2732;
@400000005e708204076069b7 #d,-,18,2776,2367,1164,152,0,201053,12465,2776,2367,1211,2710,2365,1159,98,100,0,500,2808;
@400000005e70820607705f6d #d,-,18,2770,2368,1169,152,0,201032,12464,2776,2368,1175,2770,2365,1164,100,100,0,500,2770;
@400000005e708206077b4c30 #d,-,18,2767,2368,1199,153,0,201017,12463,2770,2368,1200,2767,2366,1168,99,100,0,500,2774;
@400000005e708208078c2c98 #d,-,18,2767,2367,1169,154,0,201097,12468,2767,2369,1199,2767,2367,1162,98,100,0,500,2803;
@400000005e7082080796bc39 #d,-,18,2763,2368,1169,155,0,200974,12460,2767,2370,1170,2763,2367,1168,99,100,0,500,2774;
@400000005e70820a07a78ccc #d,-,18,2761,2370,1168,155,0,200951,12458,2763,2370,1169,2761,2367,1167,99,100,0,500,2773;
@400000005e70820a07b21051 #d,-,18,2758,2369,1168,156,0,200928,12457,2761,2370,1169,2758,2368,1166,99,100,0,500,2773;
@400000005e70820c07c2bd80 #d,-,18,2755,2367,1195,157,0,201010,12462,2758,2370,1195,2755,2367,1167,99,100,0,500,2773;
@400000005e70820c07cd215c #d,-,18,2757,2368,1169,158,0,200893,12455,2757,2370,1199,2755,2367,1162,98,100,0,500,2803;
@400000005e70820e07dd5666 #d,-,18,2754,2369,1168,158,0,200871,12454,2757,2369,1172,2754,2363,1167,99,100,0,500,2769;
@400000005e70820e07e852fe #d,-,18,2752,2366,1169,159,0,200849,12452,2754,2369,1171,2752,2365,1168,99,100,0,500,2773;
@400000005e70821007f8e52b #d,-,18,2751,2368,1167,160,0,200826,12451,2752,2369,1169,2751,2366,1167,99,100,0,500,2771;
@400000005e7082100803c98c #d,-,18,2749,2367,1186,161,0,200807,12450,2751,2370,1186,2749,2367,1166,99,100,0,501,2771;
@400000005e70821208181cd9 #d,-,18,2751,2367,1169,161,1,200791,12449,2751,2368,1198,2749,2365,1162,98,100,0,501,2801;
@400000005e7082120825c508 #d,-,18,2814,2368,1213,162,1,200915,12456,2814,2370,1247,2751,2366,1169,99,100,0,501,2833;
@400000005e70821408399f42 #d,-,18,2818,2366,1204,163,1,200924,12457,2818,2369,1213,2814,2366,1204,97,100,0,501,2888;
@400000005e70821408480a17 #d,-,18,2819,2369,1223,164,1,200845,12452,2819,2370,1225,2818,2366,1200,98,100,0,501,2858;
@400000005e708216085bb5c1 #d,-,18,2824,2369,1217,165,1,200860,12453,2824,2370,1223,2819,2367,1209,97,100,0,501,2890;
@400000005e7082160868e124 #d,-,18,2875,2368,1213,165,1,200977,12460,2875,2369,1244,2824,2366,1207,99,100,0,501,2904;
@400000005e7082180878afbd #d,-,18,2871,2370,1184,166,1,200893,12455,2875,2370,1215,2871,2368,1184,99,100,0,501,2878;
@400000005e7082180883791c #d,-,18,2711,2369,1074,167,1,200814,12450,2871,2371,1184,2711,2369,1070,98,100,0,501,2765;
@400000005e70821a088d8faa #d,-,18,2803,2368,1248,168,1,200899,12455,2803,2370,1419,2711,2367,1074,100,100,0,501,2803;
@400000005e70821a0892c72f #d,-,18,2964,2370,1213,169,1,201018,12463,2964,2370,1248,2803,2367,1213,97,100,0,501,3031;
@400000005e70821c089b94fc #d,-,18,2887,2369,1229,169,1,200956,12459,2964,2370,1243,2887,2368,1213,98,100,0,501,2920;
@400000005e70821c08a0c153 #d,-,18,2885,2368,1237,170,1,200983,12460,2887,2370,1238,2885,2368,1222,99,100,0,501,2913;
@400000005e70821e08aa4efa #d,-,18,2887,2370,1246,171,1,201014,12462,2887,2370,1246,2885,2368,1229,98,100,0,501,2924;
@400000005e70821e08aff464 #d,-,18,2891,2370,1247,172,1,201056,12465,2891,2370,1250,2887,2367,1246,98,100,0,501,2947;
@400000005e70822008bacd98 #d,-,18,2893,2369,1205,172,1,201079,12466,2893,2370,1247,2891,2367,1205,98,100,0,501,2947;
@400000005e70822008c14dde #d,-,18,2895,2369,1338,173,1,201177,12473,2895,2370,1438,2893,2367,1184,99,100,0,501,2908;
@400000005e70822208cdff40 #d,-,18,3078,2370,1241,174,1,201295,12480,3078,2370,1338,2895,2368,1189,97,100,0,501,3146;
@400000005e70822208d6aa98 #d,-,18,2896,2369,1199,175,1,201224,12475,3078,2371,1241,2896,2368,1199,99,100,0,501,2918;
@400000005e70822408e18ef9 #d,-,18,2835,2368,1169,176,1,201221,12475,2896,2370,1225,2835,2368,1153,98,100,0,501,2869;
@400000005e70822408e812f9 #d,-,18,2833,2369,1163,177,1,201232,12476,2835,2370,1229,2833,2367,1163,99,100,0,500,2856;
@400000005e70822608f3c709 #d,-,18,2782,2370,1112,177,1,201197,12474,2833,2370,1208,2782,2367,1112,98,100,0,500,2821;
@400000005e70822608fb50bc #d,-,18,2617,2371,1150,178,1,201136,12470,2782,2371,1150,2617,2368,1105,98,100,0,500,2669;
@400000005e70822809057ada #d,-,18,2756,2371,1214,179,1,201154,12471,2756,2371,1237,2617,2368,1150,99,100,0,500,2769;
@400000005e708228090b75f2 #d,-,18,3029,2370,1239,180,1,201256,12477,3029,2371,1443,2756,2367,1214,100,100,0,500,3029;
@400000005e70822a091967b5 #d,-,18,2935,2371,1133,180,1,201253,12477,3029,2371,1239,2935,2366,1133,97,100,0,500,3015;
@400000005e70822a09231c79 #d,-,18,2692,2369,1102,181,1,201196,12474,2935,2371,1140,2692,2369,1102,98,100,0,500,2744;
@400000005e70822c09326319 #d,-,18,2594,2366,1104,182,1,201129,12470,2692,2371,1129,2594,2366,1085,98,100,0,500,2639;
@400000005e70822c093cab04 #d,-,18,2592,2367,1224,183,1,201098,12468,2594,2371,1236,2592,2366,1082,99,100,0,500,2616;
@400000005e70822e0949b303 #d,-,18,2847,2369,1087,183,1,201070,12466,2847,2370,1224,2592,2367,1083,99,100,0,500,2860;
@400000005e70822e0950ac5c #d,-,18,2609,2367,1146,184,1,201095,12467,2847,2370,1146,2609,2366,1081,97,100,0,500,2669;
@400000005e708230095db815 #d,-,18,2615,2369,1082,185,1,200976,12460,2615,2371,1207,2609,2367,1082,97,100,0,500,2675;
@400000005e7082300965abf4 #d,-,18,2617,2368,1283,186,1,200943,12458,2617,2371,1283,2615,2368,1074,97,100,0,500,2685;
@400000005e7082320974a36a #d,-,18,3018,2369,1154,186,1,201012,12462,3018,2370,1429,2617,2366,1154,100,100,0,500,3018;
@400000005e708232097f0fa7 #d,-,18,2714,2369,1146,187,1,200969,12460,3018,2371,1154,2714,2369,1108,97,100,0,500,2789;
@400000005e708234098fd064 #d,-,18,2714,2370,1160,188,1,200953,12459,2714,2371,1190,2714,2369,1146,98,100,0,500,2746;
@400000005e708234099a4c77 #d,-,18,2720,2368,1192,189,1,200946,12458,2720,2371,1193,2714,2368,1160,97,100,0,500,2794;
@400000005e70823609ab14a8 #d,-,18,2725,2368,1168,189,1,200928,12457,2725,2371,1192,2720,2368,1163,97,100,0,500,2797;
@400000005e70823609b580e5 #d,-,18,2728,2368,1168,190,1,200909,12456,2728,2370,1169,2725,2368,1167,98,100,0,500,2778;
@400000005e70823809c5a261 #d,-,18,2729,2368,1170,191,1,200891,12455,2729,2370,1170,2728,2368,1167,98,100,0,500,2773;
@400000005e70823809d09a51 #d,-,18,2730,2368,1168,192,1,200874,12454,2730,2370,1170,2729,2368,1168,98,100,0,500,2774;
@400000005e70823a09e15bfd #d,-,18,2732,2368,1200,192,1,200863,12453,2732,2370,1200,2730,2367,1167,98,100,0,500,2774;
@400000005e70823a09ebfe3e #d,-,18,2736,2368,1169,193,1,200927,12457,2736,2370,1200,2732,2367,1160,97,100,0,500,2803;
@400000005e70823c09fcced1 #d,-,18,2737,2369,1167,194,1,200828,12451,2737,2370,1169,2736,2368,1167,98,100,0,500,2773;
@400000005e70823c0a074e9d #d,-,18,2737,2369,1168,195,1,200810,12450,2737,2370,1168,2737,2368,1166,98,100,0,500,2773;
@400000005e70823e0a180f5b #d,-,18,2737,2371,1167,195,1,200792,12449,2737,2371,1168,2737,2368,1166,98,100,0,500,2773;
@400000005e70823e0a228b6d #d,-,18,2737,2371,1195,196,1,200779,12448,2737,2371,1195,2737,2368,1166,98,100,0,500,2773;
@400000005e7082400a323a5b #d,-,18,2741,2369,1167,197,1,200765,12447,2741,2371,1199,2737,2369,1159,97,100,0,500,2803;
@400000005e7082400a3c9f25 #d,-,18,2740,2369,1166,198,1,200747,12446,2741,2371,1168,2740,2369,1166,98,100,0,500,2769;
@400000005e7082420a4bed38 #d,-,18,2740,2368,1167,198,1,200729,12445,2740,2371,1168,2740,2368,1165,98,100,0,500,2771;
@400000005e7082420a565887 #d,-,18,2739,2370,1167,199,1,200790,12448,2740,2371,1168,2739,2367,1167,98,100,0,500,2771;
@400000005e7082440a66df87 #d,-,18,2811,2370,1225,200,1,200732,12445,2811,2370,1242,2739,2368,1167,99,100,0,500,2829;
@400000005e7082440a718582 #d,-,18,2862,2368,1202,201,1,200742,12446,2862,2370,1235,2811,2367,1192,98,100,0,500,2902;
@400000005e7082460a81258a #d,-,18,2856,2369,1214,202,1,200754,12446,2862,2370,1221,2856,2368,1202,100,100,0,500,2856;
@400000005e7082460a8b571b #d,-,18,2855,2370,1208,202,1,200764,12447,2856,2371,1214,2855,2368,1206,99,100,0,500,2881;
@400000005e7082480a9a4bc5 #d,-,18,2852,2370,1196,203,1,200767,12447,2855,2370,1208,2852,2366,1194,99,100,0,500,2860;
@400000005e7082480aa4b35b #d,-,18,2845,2368,1205,204,1,200769,12447,2852,2370,1205,2845,2368,1189,100,100,0,500,2845;
@400000005e70824a0aae7f68 #d,-,18,2846,2368,1194,205,1,200781,12448,2846,2370,1228,2845,2368,1194,98,100,0,500,2876;
@400000005e70824a0ab3baa6 #d,-,18,2919,2368,1269,206,1,200934,12457,2919,2370,1426,2846,2368,1193,100,100,0,500,2919;
@400000005e70824c0ac22ddc #d,-,18,3009,2370,1229,206,1,200879,12454,3009,2371,1269,2919,2368,1219,97,100,0,500,3082;
@400000005e70824c0acc8eec #d,-,18,2886,2368,1218,207,1,200897,12455,3009,2371,1238,2886,2366,1211,98,100,0,500,2918;
@400000005e70824e0ad64b25 #d,-,18,2880,2368,1220,208,1,200910,12456,2886,2371,1220,2880,2367,1204,100,100,0,500,2880;
@400000005e70824e0adb99f1 #d,-,18,2882,2370,1212,209,1,200931,12457,2882,2371,1249,2880,2368,1203,98,100,0,500,2918;
@400000005e7082500ae58d1c #d,-,18,2878,2369,1212,210,1,200942,12458,2882,2371,1216,2878,2369,1202,99,100,0,500,2885;
@400000005e7082500aec769f #d,-,18,2875,2369,1206,210,1,200956,12459,2878,2371,1225,2875,2369,1202,99,100,0,500,2886;
@400000005e7082520affd7c7 #d,-,18,2872,2369,1213,211,1,200970,12460,2875,2371,1219,2872,2368,1206,99,100,0,500,2883;
@400000005e7082520b0e6600 #d,-,18,3071,2371,1204,212,1,201053,12465,3071,2371,1436,2872,2368,1204,100,100,0,500,3071;
@400000005e7082540b25ca67 #d,-,18,2911,2370,1213,213,1,201071,12466,3071,2372,1257,2911,2369,1177,97,100,0,500,2974;
@400000005e7082540b334b79 #d,-,18,2904,2370,1220,214,1,201085,12467,2911,2372,1220,2904,2369,1213,100,100,0,500,2904;
@400000005e7082560b46e2a5 #d,-,18,2847,2371,1219,214,1,201096,12467,2904,2372,1220,2847,2369,1199,98,100,0,500,2879;
@400000005e7082560b54dcc9 #d,-,18,2848,2370,1214,215,1,201108,12468,2848,2371,1221,2847,2369,1211,98,100,0,500,2890;
@400000005e7082580b5fe57d #d,-,18,2848,2369,1205,216,1,201115,12469,2848,2371,1214,2848,2369,1196,98,100,0,500,2878;
@400000005e7082580b65925a #d,-,18,2843,2370,1086,217,1,201084,12467,2848,2371,1217,2843,2369,1083,99,100,0,500,2856;
@400000005e70825a0b716d88 #d,-,18,2686,2368,1203,218,1,201159,12471,2843,2371,1234,2686,2368,1086,99,100,0,500,2708;
@400000005e70825a0b7916e6 #d,-,18,3042,2371,1223,218,1,201169,12472,3042,2371,1435,2686,2367,1203,100,100,0,500,3042;
@400000005e70825c0b88b245 #d,-,18,2898,2371,1154,219,1,201169,12472,3042,2371,1242,2898,2369,1153,97,100,0,500,2970;
@400000005e70825c0b931e83 #d,-,18,2720,2370,1117,220,1,201125,12469,2898,2371,1154,2720,2369,1112,97,100,0,500,2778;
@400000005e70825e0b9fe0a8 #d,-,18,2663,2369,1103,221,1,201089,12467,2720,2371,1184,2663,2369,1103,99,100,0,500,2687;
@400000005e70825e0ba70c4b #d,-,18,2658,2371,1112,221,1,201054,12465,2663,2371,1199,2658,2369,1100,99,100,0,500,2668;
@400000005e7082600bb6dae4 #d,-,18,2710,2372,1116,222,1,201010,12462,2710,2372,1190,2658,2367,1083,98,100,0,500,2749;
@400000005e7082600bc18587 #d,-,18,2659,2368,1097,223,1,200972,12460,2710,2372,1208,2659,2368,1082,98,100,0,500,2689;
@400000005e7082620bcc671d #d,-,18,2553,2366,1094,224,1,200980,12460,2659,2370,1103,2553,2366,1086,98,100,0,500,2605;
@400000005e7082620bd78271 #d,-,18,2553,2369,1169,224,1,200867,12453,2553,2369,1169,2553,2366,1092,98,100,0,500,2593;
@400000005e7082640be7f99c #d,-,18,2986,2369,1190,225,1,200938,12458,2986,2369,1431,2553,2366,1169,100,100,0,500,2986;
@400000005e7082640bf30161 #d,-,18,2627,2370,1019,226,1,200833,12451,2986,2371,1190,2627,2366,981,95,100,0,500,2744;
@400000005e7082660bff9408 #d,-,18,2371,2368,1014,226,1,200794,12449,2627,2371,1019,2371,2368,1003,98,100,0,500,2406;
@400000005e7082660c09fc8b #d,-,18,2427,2366,1145,227,1,200677,12441,2427,2370,1176,2371,2366,1013,99,100,0,500,2440;
@400000005e7082680c15df2d #d,-,18,2738,2368,1187,228,1,200674,12441,2738,2369,1215,2427,2365,1144,99,100,0,500,2760;
@400000005e7082680c2102e2 #d,-,18,2742,2370,1166,229,1,200658,12440,2742,2370,1187,2738,2367,1157,97,100,0,500,2812;
@400000005e70826a0c2c4554 #d,-,18,2742,2371,1167,229,1,200643,12439,2742,2371,1167,2742,2368,1165,98,100,0,500,2773;
@400000005e70826a0c36e884 #d,-,18,2741,2371,1167,230,1,200628,12438,2742,2371,1168,2741,2368,1166,98,100,0,500,2771;
@400000005e70826c0c45b523 #d,-,18,2740,2370,1167,231,1,200613,12438,2741,2371,1168,2740,2368,1166,98,100,0,500,2771;
@400000005e70826c0c50e8ad #d,-,18,2740,2369,1198,232,1,200605,12437,2740,2371,1198,2740,2368,1166,98,100,0,500,2771;
@400000005e70826e0c5c6985 #d,-,18,2743,2369,1167,232,1,200590,12436,2743,2371,1198,2740,2369,1159,97,100,0,500,2799;
@400000005e70826e0c66f0c4 #d,-,18,2742,2368,1167,233,1,200642,12439,2743,2371,1167,2742,2368,1165,99,100,0,500,2769;
@400000005e7082700c7466a9 #d,-,18,2741,2370,1165,234,1,200561,12434,2742,2371,1168,2741,2368,1165,98,100,0,500,2771;
@400000005e7082700c7f5726 #d,-,18,2741,2370,1168,235,1,200547,12433,2741,2370,1168,2741,2368,1165,98,100,0,500,2769;
@400000005e7082720c8f1230 #d,-,18,2740,2369,1197,235,1,200537,12433,2741,2370,1197,2740,2368,1167,98,100,0,500,2773;
@400000005e7082720c99b919 #d,-,18,2744,2368,1168,236,1,200591,12436,2744,2370,1199,2740,2367,1159,97,100,0,500,2801;
@400000005e7082740caa4b46 #d,-,18,2743,2369,1165,237,1,200510,12431,2744,2370,1168,2743,2367,1165,99,100,0,500,2767;
@400000005e7082740cb4cecc #d,-,18,2742,2369,1166,238,1,200495,12430,2743,2370,1167,2742,2368,1165,99,100,0,500,2769;
@400000005e7082760cc5af33 #d,-,18,2741,2369,1165,238,1,200481,12429,2742,2371,1167,2741,2368,1164,98,100,0,500,2769;
@400000005e7082760cd04a01 #d,-,18,2798,2370,1243,239,1,200498,12430,2798,2370,1243,2741,2367,1165,99,100,0,500,2817;
@400000005e7082780ce2573a #d,-,18,2880,2371,1195,240,1,200572,12435,2880,2371,1254,2798,2368,1183,98,100,0,500,2920;
@400000005e7082780cedf403 #d,-,18,2654,2371,1081,241,1,200444,12427,2880,2371,1195,2654,2369,1053,97,100,0,500,2717;
@400000005e70827a0cffe191 #d,-,18,2537,2366,1223,241,1,200421,12426,2654,2371,1235,2537,2366,1078,98,100,0,500,2566;
@400000005e70827a0d0c681d #d,-,18,2802,2368,1181,242,1,200407,12425,2802,2370,1223,2537,2365,1103,99,100,0,500,2829;
@400000005e70827c0d1efa83 #d,-,18,2606,2368,1093,243,1,200347,12421,2802,2370,1181,2606,2367,1053,98,100,0,500,2653;
@400000005e70827c0d2ac5dc #d,-,18,2601,2367,1082,244,1,200291,12418,2606,2370,1111,2601,2366,1076,99,100,0,500,2605;
@400000005e70827e0d33f1ba #d,-,18,2520,2368,1082,244,1,200230,12414,2601,2371,1083,2520,2367,1075,98,100,0,500,2561;
@400000005e70827e0d380115 #d,-,18,2617,2368,1313,245,1,200270,12416,2617,2370,1427,2520,2367,1075,100,100,0,500,2617;
@400000005e7082800d3f5f02 #d,-,18,3042,2368,1250,246,1,200286,12417,3042,2369,1313,2617,2365,1185,97,100,0,500,3107;
@400000005e7082800d435e88 #d,-,18,2902,2367,1240,247,1,200312,12419,3042,2369,1252,2902,2366,1234,99,100,0,500,2922;
@400000005e7082820d4cc158 #d,-,18,2906,2366,1242,248,1,200407,12425,2906,2369,1273,2902,2366,1229,98,100,0,500,2965;
@400000005e7082820d52c02a #d,-,18,2905,2369,1226,248,1,200366,12422,2906,2369,1246,2905,2365,1220,98,100,0,500,2940;
@400000005e7082840d5ee5da #d,-,18,2902,2369,1237,249,1,200387,12424,2905,2369,1237,2902,2367,1226,99,100,0,500,2911;
@400000005e7082840d66fc2e #d,-,18,2903,2370,1174,250,1,200404,12425,2903,2370,1246,2902,2367,1171,98,100,0,500,2936;
@400000005e7082860d7213c9 #d,-,18,2817,2369,1426,251,1,200441,12427,2903,2371,1427,2817,2368,1143,98,100,0,500,2867;
@400000005e7082860d78af11 #d,-,18,3126,2368,1208,252,1,200544,12433,3126,2371,1426,2817,2368,1189,99,100,0,500,3139;
@400000005e7082880d8a3362 #d,-,18,2854,2371,1203,252,1,200499,12430,3126,2371,1231,2854,2368,1203,98,100,0,500,2901;
@400000005e7082880d96c609 #d,-,18,2851,2371,1204,253,1,200504,12431,2854,2371,1206,2851,2369,1196,99,100,0,500,2872;
@400000005e70828a0da792e2 #d,-,18,2845,2370,1128,254,1,200494,12430,2851,2371,1209,2845,2369,1128,99,100,0,500,2846;
@400000005e70828a0db3088c #d,-,18,2776,2369,1208,255,1,200500,12431,2845,2371,1217,2776,2369,1128,99,100,0,500,2796;
@400000005e70828c0dc1c644 #d,-,18,2848,2372,1094,256,1,200499,12430,2848,2372,1236,2776,2368,1092,99,100,0,500,2874;
@400000005e70828c0dcc6d2e #d,-,18,2710,2372,1080,256,1,200459,12428,2848,2372,1172,2710,2369,1062,98,100,0,500,2765;
@400000005e70828e0dd9de6b #d,-,18,2528,2368,1209,257,1,200420,12426,2710,2372,1209,2528,2368,1080,98,100,0,500,2579;
@400000005e70828e0de16bd8 #d,-,18,2985,2370,1196,258,1,200486,12430,2985,2371,1434,2528,2368,1196,100,100,0,500,2985;
@400000005e7082900deec5cc #d,-,18,2862,2371,1110,259,1,200474,12429,2985,2372,1233,2862,2370,1110,97,100,0,500,2926;
@400000005e7082900df7455e #d,-,18,2641,2370,1097,259,1,200435,12426,2862,2372,1140,2641,2370,1090,97,100,0,500,2698;
@400000005e7082920e04325b #d,-,18,2637,2372,1194,260,1,200419,12426,2641,2373,1229,2637,2370,1090,99,100,0,500,2648;
@400000005e7082920e0c38da #d,-,18,2749,2372,1206,261,1,200393,12424,2749,2372,1206,2637,2369,1082,98,100,0,500,2796;
@400000005e7082940e1afa4c #d,-,18,2750,2371,1203,262,1,200399,12424,2750,2372,1214,2749,2369,1196,99,100,0,500,2769;
@400000005e7082940e253350 #d,-,18,2821,2370,1212,262,1,200407,12425,2821,2371,1215,2750,2367,1197,98,100,0,500,2854;
@400000005e7082960e328129 #d,-,18,2822,2371,1194,263,1,200409,12425,2822,2371,1225,2821,2368,1159,98,100,0,500,2867;
@400000005e7082960e3d10ca #d,-,18,2645,2367,1407,264,1,200449,12427,2822,2371,1407,2645,2367,1052,97,100,0,500,2705;
@400000005e7082980e4d29e4 #d,-,18,3026,2369,1086,265,1,200418,12425,3026,2370,1420,2645,2365,1086,99,100,0,500,3029;
@400000005e7082980e580f34 #d,-,18,2513,2369,1019,265,1,200325,12420,3026,2371,1086,2513,2369,976,96,100,0,500,2605;
@400000005e70829a0e67589f #d,-,18,2410,2367,1152,266,1,200280,12417,2513,2371,1172,2410,2367,1018,99,100,0,500,2433;
@400000005e70829a0e720ba4 #d,-,18,2707,2370,1227,267,1,200273,12416,2707,2371,1227,2410,2367,1139,99,100,0,500,2726;
@400000005e70829c0e820c87 #d,-,18,2827,2370,1167,268,1,200269,12416,2827,2371,1227,2707,2369,1167,98,100,0,500,2856;
@400000005e70829c0e8c84e0 #d,-,18,2743,2368,1176,268,1,200318,12419,2827,2370,1178,2743,2366,1166,98,100,0,500,2776;
@400000005e70829e0e95663c #d,-,18,2746,2368,1195,269,1,200261,12416,2746,2371,1202,2743,2367,1172,98,100,0,500,2797;
@400000005e70829e0ea0818f #d,-,18,2820,2372,1202,270,1,200268,12416,2820,2372,1206,2746,2368,1195,98,100,0,500,2851;
@400000005e7082a00ea9926b #d,-,18,2820,2370,1231,271,1,200279,12417,2820,2372,1232,2820,2369,1199,98,100,0,500,2856;
@400000005e7082a00eb0a30b #d,-,18,2820,2372,1178,272,1,200274,12417,2820,2372,1231,2820,2370,1166,98,100,0,500,2860;
@400000005e7082a20eb964bd #d,-,18,2768,2373,1178,272,1,200268,12416,2820,2373,1179,2768,2370,1177,98,100,0,500,2801;
@400000005e7082a20ebf638f #d,-,18,2766,2371,1173,273,1,200260,12416,2768,2373,1178,2766,2370,1169,98,100,0,500,2794;
@400000005e7082a40ecfe6d5 #d,-,18,2765,2370,1172,274,1,200252,12415,2766,2372,1174,2765,2370,1172,99,100,0,500,2785;
@400000005e7082a40eda61f9 #d,-,18,2763,2371,1202,275,1,200248,12415,2765,2372,1202,2763,2369,1172,99,100,0,500,2789;
@400000005e7082a60ee4876e #d,-,18,2765,2372,1173,275,1,200241,12414,2765,2372,1203,2763,2370,1165,98,100,0,500,2815;
@400000005e7082a60eef9022 #d,-,18,2764,2372,1171,276,1,200233,12414,2765,2373,1174,2764,2370,1169,99,100,0,500,2783;
@400000005e7082a80ef8afe3 #d,-,18,2762,2370,1172,277,1,200224,12413,2764,2372,1172,2762,2370,1170,99,100,0,500,2783;
@400000005e7082a80efe83de #d,-,18,2760,2370,1171,278,1,200215,12413,2762,2372,1172,2760,2369,1171,99,100,0,500,2783;
@400000005e7082aa0f08a1e0 #d,-,18,2759,2370,1188,278,1,200210,12413,2760,2372,1199,2759,2370,1170,99,100,0,500,2783;
@400000005e7082aa0f0e0c9d #d,-,18,2845,2372,1220,279,1,200230,12414,2845,2372,1261,2759,2370,1179,99,100,0,500,2862;
@400000005e7082ac0f19e412 #d,-,18,2845,2372,1151,280,1,200283,12417,2845,2372,1220,2845,2370,1146,98,100,0,500,2892;
@400000005e7082ac0f21e31e #d,-,18,2731,2370,1200,281,1,200278,12417,2845,2372,1206,2731,2369,1127,98,100,0,500,2778;
@400000005e7082ae0f317350 #d,-,18,2794,2370,1215,281,1,200217,12413,2794,2372,1215,2731,2370,1110,98,100,0,500,2828;
@400000005e7082ae0f3e9eb4 #d,-,18,2794,2371,1214,282,1,200225,12413,2794,2372,1215,2794,2369,1198,99,100,0,500,2812;
@400000005e7082b00f4ddcf2 #d,-,18,2741,2372,1097,283,1,200188,12411,2794,2372,1224,2741,2368,1070,97,100,0,500,2805;
@400000005e7082b00f57859b #d,-,18,2576,2369,1211,284,1,200176,12410,2741,2373,1234,2576,2368,1086,99,100,0,500,2595;
@400000005e7082b20f6c649a #d,-,18,3017,2368,1250,285,1,200239,12414,3017,2371,1427,2576,2368,1203,100,100,0,500,3017;
@400000005e7082b20f7b7447 #d,-,18,2934,2370,1216,285,1,200249,12415,3017,2370,1250,2934,2367,1167,97,100,0,500,3009;
@400000005e7082b40f862b06 #d,-,18,2928,2371,1234,286,1,200323,12420,2934,2371,1236,2928,2369,1216,100,100,0,500,2928;
@400000005e7082b40f8b5ed0 #d,-,18,2928,2368,1236,287,1,200294,12418,2928,2371,1260,2928,2367,1230,99,100,0,500,2951;
@400000005e7082b60f95e610 #d,-,18,2925,2369,1236,288,1,200316,12419,2928,2372,1242,2925,2368,1235,99,100,0,500,2938;
@400000005e7082b60f9bb297 #d,-,18,2922,2371,1232,289,1,200335,12420,2925,2372,1238,2922,2369,1226,99,100,0,500,2936;
@400000005e7082b80fa61a2c #d,-,18,2920,2372,1238,289,1,200359,12422,2922,2372,1247,2920,2368,1232,99,100,0,500,2933;
@400000005e7082b80facdc92 #d,-,18,3005,2370,1306,290,1,200428,12426,3005,2372,1440,2920,2367,1238,100,100,0,500,3005;
@400000005e7082ba0fb7b6b5 #d,-,18,3077,2370,1213,291,1,200450,12427,3077,2372,1306,3005,2369,1213,97,100,0,500,3144;
@400000005e7082ba0fbe360c #d,-,18,2880,2370,1223,292,1,200465,12428,3077,2371,1230,2880,2369,1211,98,100,0,500,2917;
@400000005e7082bc0fcaa284 #d,-,18,2821,2370,1240,293,1,200461,12428,2880,2372,1240,2821,2370,1117,98,100,0,500,2876;
@400000005e7082bc0fd41081 #d,-,18,2817,2371,1229,293,1,200473,12429,2821,2372,1250,2817,2368,1161,100,100,0,500,2817;
@400000005e7082be0fe0837d #d,-,18,2886,2371,1216,294,1,200485,12430,2886,2371,1230,2817,2369,1206,98,100,0,500,2926;
@400000005e7082be0fe8a233 #d,-,18,2884,2371,1207,295,1,200501,12431,2886,2371,1251,2884,2369,1207,99,100,0,500,2897;
@400000005e7082c00ff26998 #d,-,18,2881,2369,1422,296,1,200534,12433,2884,2371,1422,2881,2369,1207,99,100,0,500,2897;
@400000005e7082c00ff85122 #d,-,18,3113,2371,1223,297,1,200566,12435,3113,2372,1427,2881,2369,1173,99,100,0,500,3136;
@400000005e7082c21002e836 #d,-,18,2877,2371,1234,297,1,200589,12436,3113,2371,1253,2877,2368,1223,98,100,0,500,2913;
@400000005e7082c21009601a #d,-,18,2879,2371,1149,298,1,200598,12437,2879,2371,1237,2877,2369,1149,98,100,0,500,2931;
