@400000005e54d16139cb8850 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e54d162281cd404 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d18e304a07be #d,-,18,2424,2359,1127,28,0,174364,10810,2425,2359,1129,2424,2358,1124,89,100,0,500,2697;
@400000005e54d18e305390bd #d,-,18,2424,2360,1123,29,0,174350,10809,2424,2361,1129,2424,2359,1123,89,100,0,500,2701;
@400000005e54d19030630234 #d,-,18,2424,2359,1124,29,0,174333,10808,2424,2360,1127,2424,2358,1122,89,100,0,500,2699;
@400000005e54d190306ca36a #d,-,18,2423,2358,1125,30,0,174317,10807,2424,2359,1126,2423,2358,1121,89,100,0,500,2694;
@400000005e54d192307c200e #d,-,18,2423,2357,1125,31,0,174305,10806,2423,2358,1126,2423,2356,1119,89,100,0,500,2694;
@400000005e54d1923085957e #d,-,18,2421,2358,1121,31,0,174272,10804,2423,2358,1125,2421,2356,1117,90,100,0,500,2687;
@400000005e54d19430958c23 #d,-,18,2420,2358,1122,32,0,174247,10803,2421,2358,1122,2420,2357,1116,90,100,0,500,2685;
@400000005e54d194309f0dae #d,-,18,2419,2359,1122,33,0,174223,10801,2420,2359,1124,2419,2357,1119,90,100,0,500,2687;
@400000005e54d19630ae957f #d,-,18,2418,2358,1124,33,0,174202,10800,2419,2359,1124,2418,2357,1120,89,100,0,500,2689;
@400000005e54d19630b88c64 #d,-,18,2418,2358,1120,34,0,174185,10799,2418,2359,1127,2418,2357,1120,89,100,0,500,2692;
@400000005e54d19830c8d8b7 #d,-,18,2417,2359,1121,35,0,174168,10798,2418,2359,1124,2417,2358,1120,89,100,0,500,2692;
@400000005e54d19830d2851a #d,-,18,2417,2359,1126,35,0,174160,10797,2417,2360,1126,2417,2359,1119,89,100,0,500,2694;
@400000005e54d19a30e28332 #d,-,18,2418,2358,1124,36,0,174150,10797,2418,2359,1126,2417,2358,1120,89,100,0,500,2694;
@400000005e54d19a30ec9c8c #d,-,18,2418,2356,1357,37,0,174262,10804,2418,2359,1357,2418,2356,1121,89,100,0,500,2694;
@400000005e54d19c30fc4c69 #d,-,18,2944,2356,1574,38,0,175639,10889,2944,2357,1645,2418,2355,1357,94,100,0,500,3111;
@400000005e54d19c31066a6b #d,-,18,3517,2356,1594,39,0,177019,10975,3517,2357,1673,2944,2354,1423,95,100,0,500,3666;
@400000005e54d19e3115e70f #d,-,18,3635,2356,1623,40,0,178425,11062,3635,2358,1677,3517,2356,1464,94,100,0,500,3837;
@400000005e54d19e311fa701 #d,-,18,3636,2357,1681,41,0,179769,11145,3636,2358,1681,3635,2356,1450,95,100,0,500,3806;
@400000005e54d1a0312f5e51 #d,-,18,3633,2358,1523,42,0,181109,11228,3636,2358,1698,3633,2356,1509,95,100,0,500,3803;
@400000005e54d1a03139367a #d,-,18,3638,2357,1539,43,0,182481,11313,3638,2358,1685,3633,2356,1523,94,100,0,500,3846;
@400000005e54d1a23148ddf5 #d,-,18,3642,2359,1636,44,0,183818,11396,3642,2359,1691,3638,2357,1509,94,100,0,500,3841;
@400000005e54d1a231532a88 #d,-,18,3643,2359,1642,45,0,185058,11473,3643,2360,1679,3642,2359,1504,95,100,0,500,3832;
@400000005e54d1a43163c8d0 #d,-,18,3645,2358,1617,46,0,186276,11549,3645,2359,1689,3643,2357,1518,94,100,0,500,3851;
@400000005e54d1a4316e6ecb #d,-,18,3707,2359,1621,47,0,187488,11624,3707,2360,1668,3645,2357,1571,95,100,0,500,3891;
@400000005e54d1a6317e8c8d #d,-,18,3707,2356,1631,48,0,188953,11715,3707,2359,1664,3707,2355,1580,95,100,0,500,3889;
@400000005e54d1a6318863c8 #d,-,18,3709,2359,1653,49,0,190105,11786,3709,2360,1678,3707,2356,1562,95,100,0,500,3893;
@400000005e54d1a8319870c6 #d,-,18,3711,2357,1692,50,0,191212,11855,3711,2359,1693,3709,2357,1534,95,100,0,500,3889;
@400000005e54d1a831a28755 #d,-,18,3709,2358,1667,51,0,191969,11902,3711,2360,1692,3709,2357,1506,95,100,0,500,3877;
@400000005e54d1aa31b1e095 #d,-,18,3706,2358,1542,52,0,192990,11965,3709,2359,1704,3706,2358,1517,95,100,0,500,3867;
@400000005e54d1aa31bbd3c0 #d,-,18,3704,2359,1556,53,0,194033,12030,3706,2359,1698,3704,2357,1542,95,100,0,500,3874;
@400000005e54d1ac31cb9ae5 #d,-,18,3704,2358,1647,54,0,195056,12093,3704,2360,1695,3704,2357,1535,95,100,0,500,3870;
@400000005e54d1ac31d5a0b1 #d,-,18,3706,2358,1638,55,0,196043,12154,3706,2359,1685,3704,2357,1581,95,100,0,500,3896;
@400000005e54d1ae31e67d5f #d,-,18,3706,2358,1647,56,0,196995,12213,3706,2358,1684,3706,2357,1564,95,100,0,500,3886;
@400000005e54d1ae31f0b2a9 #d,-,18,3708,2356,1632,57,0,197924,12271,3708,2359,1669,3706,2356,1586,94,100,0,500,3908;
@400000005e54d1b032012d8d #d,-,18,3706,2357,1636,58,0,198798,12325,3708,2357,1724,3706,2355,1476,95,100,0,500,3898;
@400000005e54d1b0320b4f49 #d,-,18,3759,2357,1674,59,0,199702,12381,3759,2357,1685,3706,2355,1589,96,100,0,500,3898;
@400000005e54d1b2321bd55a #d,-,18,3756,2354,1695,60,0,200572,12435,3759,2357,1695,3756,2354,1564,95,100,0,500,3919;
@400000005e54d1b232261307 #d,-,18,3753,2354,1664,61,0,201433,12488,3756,2354,1695,3753,2353,1619,95,100,0,500,3910;
@400000005e54d1b4323681cf #d,-,18,3754,2353,1645,62,0,202263,12540,3754,2354,1666,3753,2353,1600,95,100,0,500,3927;
@400000005e54d1b43240abed #d,-,18,3753,2352,1624,63,0,203088,12591,3754,2353,1680,3753,2352,1620,95,100,0,500,3924;
@400000005e54d1b632516449 #d,-,18,3753,2351,1601,64,0,203888,12641,3753,2353,1676,3753,2351,1600,95,100,0,500,3927;
@400000005e54d1b6325be415 #d,-,18,3753,2354,1625,66,0,204693,12690,3753,2354,1688,3753,2351,1601,95,100,0,500,3927;
@400000005e54d1b8326cdf7f #d,-,18,3754,2354,1658,67,0,205717,12754,3754,2354,1678,3753,2353,1610,95,100,0,500,3931;
@400000005e54d1b832781309 #d,-,18,3754,2352,1665,68,0,206467,12800,3754,2354,1683,3754,2351,1599,95,100,0,500,3927;
@400000005e54d1ba3287c6a0 #d,-,18,3754,2354,1661,69,0,207198,12846,3754,2355,1688,3754,2351,1604,95,100,0,500,3927;
@400000005e54d1ba32922a7b #d,-,18,3755,2353,1658,70,0,207688,12876,3755,2355,1677,3754,2353,1629,95,100,0,500,3946;
@400000005e54d1bc32a1af81 #d,-,18,3752,2354,1641,71,0,208376,12919,3755,2355,1709,3752,2353,1562,95,100,0,500,3927;
@400000005e54d1bc32ab6357 #d,-,18,3757,2355,1666,72,0,209081,12963,3757,2355,1691,3752,2353,1617,95,100,0,500,3950;
@400000005e54d1be32bafbec #d,-,18,3760,2353,1670,73,0,209755,13004,3760,2355,1695,3757,2352,1596,95,100,0,500,3948;
@400000005e54d1be32c5487f #d,-,18,3761,2352,1681,74,0,210428,13046,3761,2354,1683,3760,2352,1639,95,100,0,500,3934;
@400000005e54d1c032d50831 #d,-,18,3764,2353,1685,75,0,211085,13087,3764,2353,1685,3761,2351,1615,95,100,0,500,3957;
@400000005e54d1c032df4c62 #d,-,18,3766,2351,1673,76,0,211946,13140,3766,2353,1688,3764,2351,1607,95,100,0,500,3948;
@400000005e54d1c232ef7198 #d,-,18,3766,2347,1646,77,0,212574,13179,3766,2351,1693,3766,2342,1631,95,100,0,500,3943;
@400000005e54d1c232f99ac7 #d,-,18,3768,2349,1615,78,0,213184,13217,3768,2349,1682,3766,2347,1615,95,100,0,500,3953;
@400000005e54d1c43309ac6e #d,-,18,3769,2350,1641,79,0,213795,13255,3769,2350,1691,3768,2348,1615,95,100,0,500,3946;
@400000005e54d1c43313ba9b #d,-,18,3770,2349,1664,80,0,214171,13278,3770,2350,1682,3769,2348,1629,95,100,0,500,3948;
@400000005e54d1c63323dc17 #d,-,18,3771,2348,1676,81,0,214972,13328,3771,2349,1690,3770,2348,1623,95,100,0,500,3943;
@400000005e54d1c6332d7131 #d,-,18,3772,2348,1665,82,0,215539,13363,3772,2349,1680,3771,2348,1639,95,100,0,500,3953;
@400000005e54d1c8333d2881 #d,-,18,3772,2349,1669,83,0,216103,13398,3772,2350,1691,3772,2348,1630,95,100,0,500,3950;
@400000005e54d1c833471f66 #d,-,18,3775,2349,1672,84,0,216443,13419,3775,2350,1678,3772,2348,1649,95,100,0,500,3972;
@400000005e54d1ca335733d8 #d,-,18,3776,2349,1666,85,0,216982,13452,3776,2350,1699,3775,2349,1616,95,100,0,500,3960;
@400000005e54d1ca33612703 #d,-,18,3780,2348,1681,86,0,217517,13486,3780,2349,1692,3776,2348,1623,95,100,0,500,3972;
@400000005e54d1cc337128d5 #d,-,18,3782,2347,1690,88,0,218035,13518,3782,2349,1697,3780,2346,1615,95,100,0,500,3957;
@400000005e54d1cc337ab1d4 #d,-,18,3781,2347,1683,89,0,218545,13549,3782,2348,1690,3781,2347,1641,95,100,0,500,3950;
@400000005e54d1ce338ab3a5 #d,-,18,3782,2348,1667,90,0,219041,13580,3782,2349,1683,3781,2347,1635,95,100,0,500,3957;
@400000005e54d1ce33952756 #d,-,18,3782,2349,1637,91,0,219522,13610,3782,2349,1686,3782,2348,1620,95,100,0,500,3955;
@400000005e54d1d033a58af2 #d,-,18,3782,2349,1629,92,0,220007,13640,3782,2350,1694,3782,2349,1628,95,100,0,500,3950;
@400000005e54d1d033afeecd #d,-,18,3782,2349,1612,93,0,220481,13669,3782,2350,1689,3782,2349,1612,95,100,0,500,3955;
@400000005e54d1d233c05623 #d,-,18,3782,2351,1674,94,0,220954,13699,3782,2351,1700,3782,2349,1596,95,100,0,500,3946;
@400000005e54d1d233ca4d07 #d,-,18,3781,2351,1677,95,0,221407,13727,3782,2351,1698,3781,2350,1604,95,100,0,500,3946;
@400000005e54d1d433db1626 #d,-,18,3781,2351,1670,96,0,221855,13755,3781,2351,1693,3781,2351,1619,95,100,0,500,3957;
@400000005e54d1d433e537e2 #d,-,18,3781,2352,1664,97,0,222293,13782,3781,2352,1690,3781,2351,1618,95,100,0,500,3957;
@400000005e54d1d633f4ef32 #d,-,18,3783,2351,1670,98,0,222732,13809,3783,2352,1676,3781,2350,1647,95,100,0,500,3974;
@400000005e54d1d633fee617 #d,-,18,3784,2352,1669,99,0,223350,13847,3784,2353,1684,3783,2351,1636,95,100,0,500,3965;
