@400000005e54d16139cb8850 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e54d162281cd404 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e54d22037d30391 #d,-,18,3811,2354,1678,177,1,242669,15045,3811,2356,1684,3811,2354,1652,95,100,0,500,3981;
@400000005e54d22237e3539e #d,-,18,3811,2353,1676,178,1,242831,15055,3811,2354,1683,3811,2352,1651,95,100,0,500,3981;
@400000005e54d22237ed852f #d,-,18,3810,2353,1674,179,1,242991,15065,3811,2353,1685,3810,2352,1655,95,100,0,500,3979;
@400000005e54d22437fdd8f5 #d,-,18,3809,2353,1670,180,1,243149,15075,3810,2354,1685,3809,2353,1655,95,100,0,500,3979;
@400000005e54d2243807db07 #d,-,18,3810,2354,1673,181,1,243309,15085,3810,2355,1691,3809,2353,1655,95,100,0,500,3986;
@400000005e54d22638181ef8 #d,-,18,3810,2355,1669,182,1,243463,15094,3810,2355,1687,3810,2353,1655,95,100,0,500,3986;
@400000005e54d2263821d777 #d,-,18,3811,2355,1680,183,1,243617,15104,3811,2355,1685,3810,2354,1654,95,100,0,500,3979;
@400000005e54d2283832a096 #d,-,18,3810,2355,1683,184,1,243769,15113,3811,2355,1683,3810,2354,1650,95,100,0,500,3979;
@400000005e54d228383d7257 #d,-,18,3810,2355,1680,186,1,243918,15122,3810,2356,1683,3810,2354,1650,95,100,0,500,3979;
@400000005e54d22a384d7429 #d,-,18,3810,2356,1677,187,1,244067,15132,3810,2357,1682,3810,2354,1650,95,100,0,500,3979;
@400000005e54d22a38575690 #d,-,18,3809,2355,1655,188,1,244212,15141,3810,2357,1682,3809,2355,1651,95,100,0,500,3981;
@400000005e54d22c3867c28e #d,-,18,3809,2355,1647,189,1,244359,15150,3809,2356,1683,3809,2354,1647,95,100,0,500,3981;
@400000005e54d22c3871ef76 #d,-,18,3809,2354,1655,190,1,244503,15159,3809,2356,1684,3809,2354,1647,95,100,0,500,3976;
@400000005e54d22e38824ab0 #d,-,18,3808,2356,1673,191,1,244648,15168,3809,2356,1683,3808,2354,1651,95,100,0,500,3972;
@400000005e54d22e388c1a77 #d,-,18,3808,2356,1681,192,1,244790,15177,3808,2356,1685,3808,2355,1647,95,100,0,500,3972;
@400000005e54d230389c7e13 #d,-,18,3807,2355,1672,193,1,244930,15185,3808,2356,1687,3807,2355,1647,95,100,0,500,3979;
@400000005e54d23038a668dc #d,-,18,3807,2353,1673,194,1,245188,15201,3807,2355,1684,3807,2352,1646,95,100,0,500,3976;
@400000005e54d23238b66aae #d,-,18,3807,2355,1668,195,1,245325,15210,3807,2355,1686,3807,2353,1645,95,100,0,500,3981;
@400000005e54d23238c02f48 #d,-,18,3808,2355,1673,196,1,245342,15211,3808,2355,1684,3807,2354,1646,95,100,0,500,3986;
@400000005e54d23438d0538f #d,-,18,3808,2353,1677,197,1,245595,15226,3808,2356,1685,3808,2353,1648,95,100,0,500,3981;
@400000005e54d23438da754a #d,-,18,3808,2353,1681,198,1,245727,15235,3808,2354,1686,3808,2353,1650,95,100,0,500,3976;
@400000005e54d23638ea6747 #d,-,18,3808,2353,1687,199,1,245858,15243,3808,2354,1687,3808,2353,1651,95,100,0,500,3976;
@400000005e54d23638f49c92 #d,-,18,3807,2353,1672,200,1,245987,15251,3808,2354,1687,3807,2353,1652,95,100,0,500,3976;
@400000005e54d23839055222 #d,-,18,3808,2353,1660,201,1,246117,15259,3808,2354,1688,3807,2353,1651,95,100,0,500,3981;
@400000005e54d238390f8b26 #d,-,18,3808,2352,1649,202,1,246245,15267,3808,2353,1687,3808,2352,1647,95,100,0,500,3981;
@400000005e54d23a392015e0 #d,-,18,3808,2352,1643,203,1,246258,15268,3808,2352,1686,3808,2351,1643,95,100,0,500,3979;
@400000005e54d23a392a5eb9 #d,-,18,3807,2353,1673,204,1,246499,15282,3808,2353,1691,3807,2352,1629,95,100,0,500,3974;
@400000005e54d23c393cc1a1 #d,-,18,3806,2354,1675,205,1,246621,15290,3807,2354,1691,3806,2353,1626,96,100,0,500,3962;
@400000005e54d23c39470a7a #d,-,18,3805,2354,1676,206,1,246744,15298,3806,2354,1686,3805,2353,1648,95,100,0,500,3974;
@400000005e54d23e3958258e #d,-,18,3805,2354,1668,208,1,246865,15305,3805,2354,1686,3805,2354,1651,95,100,0,500,3976;
@400000005e54d23e396281f6 #d,-,18,3805,2354,1673,209,1,246872,15306,3805,2355,1687,3805,2354,1650,95,100,0,500,3981;
@400000005e54d24039728ef5 #d,-,18,3805,2353,1671,210,1,246989,15313,3805,2354,1700,3805,2353,1628,95,100,0,500,3981;
@400000005e54d240397d410b #d,-,18,3806,2352,1680,211,1,247111,15320,3806,2354,1692,3805,2352,1652,95,100,0,500,3979;
@400000005e54d242398e01c9 #d,-,18,3806,2352,1691,212,1,247229,15328,3806,2352,1691,3806,2351,1643,95,100,0,500,3979;
@400000005e54d24239983bbc #d,-,18,3806,2350,1682,213,1,247346,15335,3806,2352,1691,3806,2350,1648,95,100,0,500,3974;
@400000005e54d24439a8e8ea #d,-,18,3806,2351,1678,214,1,247460,15342,3806,2352,1688,3806,2350,1645,95,100,0,500,3976;
@400000005e54d24439b30aa6 #d,-,18,3806,2351,1655,215,1,247575,15349,3806,2352,1684,3806,2350,1647,95,100,0,500,3976;
@400000005e54d24639c42201 #d,-,18,3806,2351,1652,216,1,247689,15356,3806,2352,1686,3806,2350,1652,95,100,0,500,3976;
@400000005e54d24639cdf93b #d,-,18,3807,2350,1662,217,1,247803,15363,3807,2351,1685,3806,2350,1652,95,100,0,500,3979;
@400000005e54d24839de222a #d,-,18,3806,2350,1675,218,1,247916,15370,3807,2351,1687,3806,2349,1654,95,100,0,500,3974;
@400000005e54d24839e8674a #d,-,18,3805,2354,1679,219,1,248026,15377,3806,2354,1694,3805,2349,1644,95,100,0,500,3972;
@400000005e54d24a39f860ba #d,-,18,3805,2354,1671,220,1,248136,15384,3805,2355,1688,3805,2354,1649,95,100,0,500,3974;
@400000005e54d24a3a02765a #d,-,18,3805,2353,1673,221,1,248245,15391,3805,2354,1688,3805,2353,1650,95,100,0,500,3981;
@400000005e54d24c3a137de0 #d,-,18,3805,2354,1669,222,1,248460,15404,3805,2354,1687,3805,2353,1647,95,100,0,500,3979;
@400000005e54d24c3a1d946e #d,-,18,3806,2354,1681,223,1,248568,15411,3806,2355,1691,3805,2354,1646,95,100,0,500,3983;
@400000005e54d24e3a2e269b #d,-,18,3808,2352,1687,224,1,248674,15417,3808,2355,1692,3806,2352,1627,95,100,0,500,3986;
@400000005e54d24e3a3828ac #d,-,18,3806,2351,1681,225,1,248673,15417,3808,2353,1687,3806,2351,1655,95,100,0,500,3969;
@400000005e54d2503a49636b #d,-,18,3807,2351,1687,227,1,248882,15430,3807,2352,1687,3806,2350,1651,95,100,0,500,3976;
@400000005e54d2503a53bb2b #d,-,18,3806,2351,1671,228,1,248984,15437,3807,2352,1688,3806,2350,1657,95,100,0,500,3976;
@400000005e54d2523a653809 #d,-,18,3806,2354,1658,229,1,248981,15436,3806,2354,1686,3806,2351,1652,95,100,0,500,3979;
@400000005e54d2523a6f699a #d,-,18,3806,2354,1651,230,1,249084,15443,3806,2354,1690,3806,2353,1651,95,100,0,500,3979;
@400000005e54d2543a7f866e #d,-,18,3806,2355,1652,231,1,249186,15449,3806,2355,1691,3806,2354,1651,95,100,0,500,3979;
@400000005e54d2543a8942a6 #d,-,18,3743,2356,1067,232,1,249151,15447,3806,2356,1652,3743,2353,1067,95,100,0,500,3924;
@400000005e54d2563a988857 #d,-,18,2844,2356,1156,232,1,248864,15429,3743,2357,1212,2844,2355,1037,89,100,0,500,3192;
@400000005e54d2563aa1cb7d #d,-,18,2493,2357,1156,233,1,248578,15411,2844,2357,1158,2493,2355,1150,90,100,0,500,2763;
@400000005e54d2583ab0f272 #d,-,18,2493,2357,1152,234,1,248294,15394,2493,2357,1157,2493,2357,1152,90,100,0,500,2761;
@400000005e54d2583aba9b1b #d,-,18,2493,2357,1153,234,1,248013,15376,2493,2357,1157,2493,2356,1151,90,100,0,500,2763;
@400000005e54d25a3aca4eb2 #d,-,18,2493,2354,1150,235,1,247731,15359,2493,2357,1157,2493,2353,1146,90,100,0,500,2761;
@400000005e54d25a3ad40730 #d,-,18,2492,2356,1149,236,1,247449,15341,2493,2356,1151,2492,2354,1140,90,100,0,500,2751;
@400000005e54d25c3ae3b354 #d,-,18,2491,2356,1149,237,1,247170,15324,2492,2357,1153,2491,2356,1144,90,100,0,500,2746;
@400000005e54d25c3aed486e #d,-,18,2489,2356,1141,237,1,246890,15307,2491,2357,1149,2489,2356,1139,90,100,0,500,2744;
@400000005e54d25e3afd3209 #d,-,18,2487,2355,1148,238,1,246613,15290,2489,2356,1149,2487,2354,1141,90,100,0,500,2739;
@400000005e54d25e3b06d33f #d,-,18,2485,2353,1146,239,1,246339,15273,2487,2355,1149,2485,2353,1142,90,100,0,500,2744;
@400000005e54d2603b1601a8 #d,-,18,2484,2355,1144,239,1,246068,15256,2485,2355,1151,2484,2353,1143,90,100,0,500,2744;
@400000005e54d2603b1f7f7a #d,-,18,2483,2356,1145,240,1,245895,15245,2484,2356,1149,2483,2355,1140,90,100,0,500,2742;
@400000005e54d2623b2e9efc #d,-,18,2481,2353,1141,241,1,245528,15222,2483,2356,1148,2481,2353,1139,90,100,0,500,2737;
@400000005e54d2623b388163 #d,-,18,2480,2353,1142,241,1,245260,15206,2481,2354,1146,2480,2353,1138,90,100,0,500,2734;
@400000005e54d2643b48163e #d,-,18,2477,2357,1131,242,1,245086,15195,2480,2357,1142,2477,2353,1131,90,100,0,500,2730;
@400000005e54d2643b51ed78 #d,-,18,2474,2356,1140,243,1,244724,15172,2477,2357,1141,2474,2356,1131,90,100,0,500,2720;
@400000005e54d2663b620ef4 #d,-,18,2472,2355,1138,243,1,244459,15156,2474,2357,1141,2472,2355,1134,90,100,0,500,2725;
@400000005e54d2663b6b97f3 #d,-,18,2470,2354,1137,244,1,244197,15140,2472,2356,1142,2470,2354,1136,90,100,0,500,2725;
@400000005e54d2683b7bb881 #d,-,18,2468,2355,1133,245,1,243933,15123,2470,2356,1141,2468,2354,1132,90,100,0,500,2727;
@400000005e54d2683b856d46 #d,-,18,2465,2355,1135,245,1,243671,15107,2468,2356,1138,2465,2354,1131,90,100,0,500,2715;
@400000005e54d26a3b953f98 #d,-,18,2463,2356,1138,246,1,243413,15091,2465,2356,1140,2463,2355,1132,90,100,0,500,2720;
@400000005e54d26b0003f36a #d,-,18,2461,2356,1134,247,1,243157,15075,2463,2356,1138,2461,2355,1131,90,100,0,500,2718;
@400000005e54d26d00137870 #d,-,18,2460,2354,1132,247,1,242902,15059,2461,2357,1141,2460,2354,1132,90,100,0,500,2720;
@400000005e54d26d001cfdb5 #d,-,18,2458,2354,1131,248,1,242646,15044,2460,2355,1133,2458,2353,1127,90,100,0,500,2715;
@400000005e54d26f002d2e18 #d,-,18,2455,2356,1131,249,1,242391,15028,2458,2356,1134,2455,2354,1126,90,100,0,500,2706;
@400000005e54d26f0036bf79 #d,-,18,2453,2354,1131,249,1,242138,15012,2455,2356,1134,2453,2354,1128,90,100,0,500,2706;
@400000005e54d2710046b52f #d,-,18,2450,2355,1127,250,1,241887,14997,2453,2355,1134,2450,2354,1126,90,100,0,500,2708;
@400000005e54d271005036bb #d,-,18,2448,2358,1133,251,1,241638,14981,2450,2358,1133,2448,2355,1127,90,100,0,500,2708;
@400000005e54d273006034d3 #d,-,18,2447,2358,1128,252,1,241390,14966,2448,2358,1133,2447,2357,1126,90,100,0,500,2706;
@400000005e54d2730069aeeb #d,-,18,2445,2358,1130,252,1,241145,14951,2447,2358,1133,2445,2357,1126,90,100,0,500,2706;
@400000005e54d2750078b636 #d,-,18,2444,2360,1131,253,1,240903,14936,2445,2360,1134,2444,2358,1127,90,100,0,500,2708;
@400000005e54d2750082a961 #d,-,18,2443,2360,1128,254,1,240660,14920,2444,2360,1133,2443,2360,1124,90,100,0,500,2711;
@400000005e54d2770092b2a6 #d,-,18,2441,2361,1130,254,1,240418,14905,2443,2361,1130,2441,2359,1124,90,100,0,500,2701;
@400000005e54d277009c62c3 #d,-,18,2439,2360,1127,255,1,240177,14890,2441,2361,1130,2439,2360,1124,90,100,0,500,2701;
@400000005e54d27900ac6495 #d,-,18,2438,2360,1131,256,1,239939,14876,2439,2361,1131,2438,2360,1124,90,100,0,500,2706;
@400000005e54d27900b60d3e #d,-,18,2436,2362,1128,256,1,239703,14861,2438,2362,1131,2436,2360,1125,90,100,0,500,2706;
@400000005e54d27b00c6362d #d,-,18,2436,2361,1127,257,1,239469,14847,2436,2362,1132,2436,2361,1124,90,100,0,500,2706;
@400000005e54d27b00d00d68 #d,-,18,2435,2360,1128,258,1,239236,14832,2436,2361,1129,2435,2359,1123,90,100,0,500,2704;
@400000005e54d27d00dfb98b #d,-,18,2434,2360,1125,258,1,239005,14818,2435,2360,1130,2434,2358,1124,90,100,0,500,2701;
@400000005e54d27d00e92788 #d,-,18,2434,2361,1130,259,1,238776,14804,2434,2361,1130,2434,2359,1124,90,100,0,500,2704;
@400000005e54d27f00f905f6 #d,-,18,2433,2359,1126,260,1,238548,14789,2434,2361,1131,2433,2359,1124,90,100,0,500,2701;
@400000005e54d27f0102939d #d,-,18,2433,2359,1129,260,1,238323,14776,2433,2360,1134,2433,2359,1126,89,100,0,500,2706;
@400000005e54d28101124aed #d,-,18,2433,2361,1125,261,1,238182,14767,2433,2361,1135,2433,2359,1124,89,100,0,500,2711;
@400000005e54d281011bfb0a #d,-,18,2433,2358,1126,262,1,237959,14753,2433,2361,1131,2433,2358,1124,89,100,0,500,2704;
@400000005e54d283012bbe75 #d,-,18,2432,2359,1130,262,1,237654,14734,2433,2360,1131,2432,2357,1125,90,100,0,500,2701;
@400000005e54d2830135724c #d,-,18,2432,2358,1127,263,1,237434,14720,2432,2359,1131,2432,2358,1125,89,100,0,500,2704;
@400000005e54d28501453e19 #d,-,18,2432,2359,1132,264,1,237217,14707,2432,2360,1133,2432,2358,1127,89,100,0,500,2706;
@400000005e54d285014ede61 #d,-,18,2432,2361,1122,264,1,236999,14693,2432,2361,1132,2432,2358,1122,89,100,0,500,2704;
@400000005e54d287015f136c #d,-,18,2431,2359,1122,265,1,236781,14680,2432,2361,1126,2431,2359,1122,90,100,0,500,2699;
@400000005e54d28701688169 #d,-,18,2430,2359,1125,266,1,236564,14666,2431,2360,1125,2430,2358,1120,90,100,0,500,2692;
@400000005e54d2890178119b #d,-,18,2428,2358,1126,266,1,236349,14653,2430,2359,1128,2428,2358,1123,90,100,0,500,2694;
@400000005e54d28901819327 #d,-,18,2427,2358,1126,267,1,236135,14640,2428,2358,1127,2427,2357,1124,89,100,0,500,2697;
@400000005e54d28b01917908 #d,-,18,2426,2362,1126,268,1,235923,14627,2427,2362,1127,2426,2358,1121,89,100,0,500,2697;
@400000005e54d28b019b1a3e #d,-,18,2425,2362,1123,268,1,235712,14614,2426,2363,1130,2425,2362,1118,89,100,0,500,2697;
@400000005e54d28d01aaf4f2 #d,-,18,2424,2362,1122,269,1,235503,14601,2425,2363,1124,2424,2362,1119,89,100,0,500,2694;
@400000005e54d28d01b4c100 #d,-,18,2424,2359,1124,270,1,235295,14588,2424,2362,1125,2424,2358,1120,90,100,0,500,2692;
@400000005e54d28f01c4be29 #d,-,18,2423,2356,1460,270,1,235128,14577,2424,2359,1460,2423,2356,1121,89,100,0,500,2694;
@400000005e54d28f01ce8a36 #d,-,18,3040,2357,1515,271,1,235187,14581,3040,2357,1627,2423,2355,1455,95,100,0,500,3197;
@400000005e54d29101df7e2d #d,-,18,3495,2357,1617,272,1,235254,14585,3495,2357,1667,3040,2356,1444,95,100,0,500,3649;
@400000005e54d29101e99787 #d,-,18,3669,2358,1645,273,1,235335,14590,3669,2359,1704,3495,2356,1399,94,100,0,500,3870;
@400000005e54d29301f9e794 #d,-,18,3609,2357,1627,274,1,235408,14595,3669,2358,1645,3609,2357,1463,95,100,0,500,3770;
@400000005e54d293020388ca #d,-,18,3611,2358,1474,275,1,235501,14601,3611,2358,1701,3609,2357,1474,94,100,0,500,3822;
@400000005e54d2950213823a #d,-,18,3667,2357,1647,276,1,235606,14607,3667,2358,1721,3611,2356,1449,95,100,0,500,3832;
@400000005e54d295021d6d03 #d,-,18,3663,2357,1653,277,1,235700,14613,3667,2357,1722,3663,2356,1474,95,100,0,500,3822;
@400000005e54d297022df049 #d,-,18,3725,2356,1634,278,1,235804,14619,3725,2357,1692,3663,2356,1557,94,100,0,500,3927;
@400000005e54d29702381205 #d,-,18,3728,2355,1644,280,1,235911,14626,3728,2357,1667,3725,2355,1595,95,100,0,500,3924;
@400000005e54d2990248c2ed #d,-,18,3731,2357,1660,281,1,236016,14633,3731,2357,1673,3728,2355,1590,95,100,0,500,3915;
@400000005e54d29902531b9c #d,-,18,3732,2357,1671,282,1,236122,14639,3732,2357,1672,3731,2357,1599,95,100,0,500,3910;
@400000005e54d29b0262b7ea #d,-,18,3733,2359,1668,283,1,236226,14646,3733,2359,1671,3732,2357,1606,95,100,0,500,3917;
@400000005e54d29b026c3114 #d,-,18,3735,2359,1635,284,1,236328,14652,3735,2360,1674,3733,2359,1575,95,100,0,500,3927;
@400000005e54d29d027c9869 #d,-,18,3735,2359,1586,285,1,236427,14658,3735,2360,1684,3735,2358,1562,95,100,0,500,3912;
@400000005e54d29d02869307 #d,-,18,3735,2357,1610,286,1,236538,14665,3735,2360,1696,3735,2357,1586,95,100,0,500,3912;
@400000005e54d29f0296cf85 #d,-,18,3739,2358,1634,287,1,236647,14672,3739,2358,1680,3735,2357,1609,94,100,0,500,3936;
@400000005e54d29f02a08090 #d,-,18,3741,2355,1665,288,1,236755,14678,3741,2358,1682,3739,2355,1603,95,100,0,500,3931;
@400000005e54d2a102b1a318 #d,-,18,3744,2357,1670,289,1,236863,14685,3744,2357,1685,3741,2355,1607,95,100,0,500,3931;
@400000005e54d2a102bb4808 #d,-,18,3746,2355,1656,290,1,236968,14692,3746,2357,1686,3744,2355,1598,95,100,0,500,3943;
@400000005e54d2a302cb16a0 #d,-,18,3749,2355,1659,291,1,237076,14698,3749,2356,1688,3746,2354,1613,94,100,0,500,3948;
@400000005e54d2a302d50523 #d,-,18,3753,2357,1650,292,1,237181,14705,3753,2357,1693,3749,2354,1595,94,100,0,500,3960;
@400000005e54d2a502e4d4aa #d,-,18,3757,2358,1677,293,1,237285,14711,3757,2358,1696,3753,2357,1585,95,100,0,500,3953;
@400000005e54d2a502eecf48 #d,-,18,3758,2357,1693,294,1,237387,14718,3758,2358,1693,3757,2357,1596,95,100,0,500,3931;
@400000005e54d2a702fe6335 #d,-,18,3759,2358,1675,295,1,237493,14724,3759,2358,1693,3758,2357,1628,95,100,0,500,3943;
@400000005e54d2a70307b276 #d,-,18,3762,2355,1654,296,1,237593,14730,3762,2358,1682,3759,2355,1593,95,100,0,500,3957;
@400000005e54d2a90317949d #d,-,18,3763,2354,1598,297,1,237692,14736,3763,2355,1699,3762,2354,1580,95,100,0,500,3946;
@400000005e54d2a903217bad #d,-,18,3764,2354,1594,298,1,237796,14743,3764,2354,1707,3763,2353,1594,95,100,0,500,3941;
@400000005e54d2ab0331fa4a #d,-,18,3764,2353,1653,299,1,237901,14749,3764,2354,1697,3764,2353,1594,95,100,0,500,3938;
@400000005e54d2ab033bcdcb #d,-,18,3764,2352,1673,300,1,238003,14756,3764,2354,1697,3764,2352,1595,95,100,0,500,3931;
@400000005e54d2ad034c63b1 #d,-,18,3763,2353,1667,301,1,238101,14762,3764,2354,1702,3763,2352,1587,95,100,0,500,3929;
@400000005e54d2ad0356b8a6 #d,-,18,3764,2354,1666,302,1,238202,14768,3764,2354,1688,3763,2352,1608,95,100,0,500,3950;
@400000005e54d2af0366e195 #d,-,18,3767,2354,1664,303,1,238307,14775,3767,2355,1700,3764,2353,1624,95,100,0,500,3960;
@400000005e54d2af03712e28 #d,-,18,3772,2354,1666,304,1,238409,14781,3772,2355,1692,3767,2354,1617,94,100,0,500,3981;
@400000005e54d2b103812b52 #d,-,18,3776,2355,1676,305,1,238510,14787,3776,2355,1698,3772,2353,1606,95,100,0,500,3969;
@400000005e54d2b1038b51b6 #d,-,18,3777,2357,1687,307,1,238610,14793,3777,2358,1689,3776,2355,1621,95,100,0,500,3953;
@400000005e54d2b3039aaaf6 #d,-,18,3778,2358,1689,308,1,238709,14799,3778,2359,1689,3777,2356,1610,95,100,0,500,3960;
@400000005e54d2b303a42155 #d,-,18,3778,2358,1658,309,1,238800,14805,3778,2359,1689,3778,2358,1579,95,100,0,500,3953;
@400000005e54d2b503b47c8f #d,-,18,3777,2359,1541,310,1,238892,14811,3778,2359,1705,3777,2357,1537,95,100,0,500,3948;
@400000005e54d2b503be53c9 #d,-,18,3775,2358,1636,311,1,238994,14817,3777,2359,1708,3775,2358,1541,95,100,0,500,3934;
@400000005e54d2b703cdffec #d,-,18,3777,2357,1674,312,1,239096,14823,3777,2359,1690,3775,2357,1624,95,100,0,500,3960;
@400000005e54d2b703d81946 #d,-,18,3779,2357,1679,313,1,239195,14830,3779,2358,1692,3777,2356,1624,95,100,0,500,3962;
@400000005e54d2b903e845ef #d,-,18,3779,2360,1666,314,1,239292,14836,3779,2361,1702,3779,2357,1603,95,100,0,500,3962;
@400000005e54d2b903f215b6 #d,-,18,3782,2360,1656,315,1,239390,14842,3782,2361,1681,3779,2359,1630,94,100,0,500,3986;
@400000005e54d2bb0402003f #d,-,18,3783,2358,1663,316,1,239486,14848,3783,2360,1695,3782,2358,1613,95,100,0,500,3967;
@400000005e54d2bb040baca2 #d,-,18,3788,2360,1689,317,1,239586,14854,3788,2360,1698,3783,2357,1628,95,100,0,500,3976;
@400000005e54d2bd041bf094 #d,-,18,3790,2359,1691,318,1,239683,14860,3790,2360,1692,3788,2358,1628,95,100,0,500,3981;
@400000005e54d2bd0425a19f #d,-,18,3791,2360,1703,319,1,239771,14865,3791,2361,1703,3790,2359,1553,95,100,0,500,3974;
@400000005e54d2bf0435e94a #d,-,18,3788,2361,1655,320,1,239866,14871,3791,2361,1716,3788,2360,1631,95,100,0,500,3946;
@400000005e54d2bf043fd413 #d,-,18,3790,2360,1639,321,1,239963,14877,3790,2361,1687,3788,2360,1638,95,100,0,500,3981;
@400000005e54d2c10450144b #d,-,18,3791,2360,1596,322,2,240053,14883,3791,2360,1680,3790,2358,1596,95,100,0,500,3969;
@400000005e54d2c1045a4d4f #d,-,18,3790,2359,1672,323,2,240148,14889,3791,2360,1703,3790,2359,1588,95,100,0,500,3948;
@400000005e54d2c3046aad31 #d,-,18,3789,2357,1684,324,2,240312,14899,3790,2360,1702,3789,2357,1616,95,100,0,500,3955;
@400000005e54d2c304750999 #d,-,18,3791,2360,1676,325,2,240406,14905,3791,2360,1706,3789,2357,1616,95,100,0,500,3979;
@400000005e54d2c50484c85d #d,-,18,3794,2360,1661,327,2,240499,14910,3794,2361,1688,3791,2360,1635,95,100,0,500,3993;
@400000005e54d2c5048ec2fb #d,-,18,3795,2358,1661,328,2,240524,14912,3795,2361,1693,3794,2357,1627,95,100,0,500,3979;
@400000005e54d2c7049ec886 #d,-,18,3797,2360,1676,329,2,240684,14922,3797,2360,1693,3795,2357,1631,95,100,0,500,3981;
@400000005e54d2c704a8a469 #d,-,18,3799,2361,1686,330,2,240706,14923,3799,2361,1694,3797,2360,1605,95,100,0,500,3986;
@400000005e54d2c904b8e0e7 #d,-,18,3798,2359,1695,331,2,240796,14929,3799,2361,1695,3798,2359,1627,95,100,0,500,3960;
@400000005e54d2c904c2ac06 #d,-,18,3798,2361,1672,332,2,240883,14934,3798,2362,1695,3798,2358,1618,95,100,0,500,3974;
@400000005e54d2cb04d39c43 #d,-,18,3796,2360,1627,333,2,240964,14939,3798,2362,1683,3796,2360,1583,95,100,0,500,3960;
@400000005e54d2cb04dd6c09 #d,-,18,3793,2360,1611,334,2,241052,14945,3796,2360,1700,3793,2359,1611,96,100,0,500,3948;
@400000005e54d2cd04ee48b8 #d,-,18,3792,2362,1650,335,2,241141,14950,3793,2362,1694,3792,2359,1607,95,100,0,500,3955;
@400000005e54d2cd04f81c38 #d,-,18,3791,2360,1676,336,2,241228,14956,3792,2362,1695,3791,2359,1597,95,100,0,500,3950;
@400000005e54d2cf05082937 #d,-,18,3791,2361,1665,337,2,241314,14961,3791,2361,1684,3791,2359,1624,95,100,0,500,3972;
@400000005e54d2cf05128e01 #d,-,18,3788,2362,1653,338,2,241395,14966,3791,2362,1695,3788,2360,1588,95,100,0,500,3950;
@400000005e54d2d10522f556 #d,-,18,3788,2362,1663,339,2,241479,14971,3788,2362,1707,3788,2361,1584,95,100,0,500,3967;
@400000005e54d2d1052c91e4 #d,-,18,3792,2360,1675,340,2,241565,14977,3792,2362,1686,3788,2359,1622,95,100,0,500,3976;
@400000005e54d2d3053ce1f1 #d,-,18,3792,2359,1692,341,2,241713,14986,3792,2360,1692,3792,2359,1604,95,100,0,500,3965;
@400000005e54d2d305479408 #d,-,18,3790,2362,1665,342,2,241794,14991,3792,2363,1692,3790,2359,1619,95,100,0,500,3953;
@400000005e54d2d50557c824 #d,-,18,3791,2360,1640,343,2,241879,14996,3791,2362,1689,3790,2359,1632,95,100,0,500,3972;
@400000005e54d2d505619077 #d,-,18,3793,2362,1626,344,2,241963,15001,3793,2362,1688,3791,2359,1626,95,100,0,500,3979;
@400000005e54d2d70571f7cd #d,-,18,3794,2361,1653,345,2,241985,15003,3794,2362,1693,3793,2361,1626,95,100,0,500,3972;
@400000005e54d2d7057bb405 #d,-,18,3795,2358,1671,347,2,242069,15008,3795,2361,1684,3794,2358,1637,95,100,0,500,3974;
@400000005e54d2d9058b57c6 #d,-,18,3794,2359,1680,348,2,242154,15013,3795,2360,1702,3794,2358,1623,95,100,0,500,3965;
@400000005e54d2d90595fa08 #d,-,18,3796,2359,1675,349,2,242239,15018,3796,2359,1693,3794,2358,1636,95,100,0,500,3991;
@400000005e54d2db05a5c8a1 #d,-,18,3797,2358,1661,350,2,242321,15023,3797,2359,1698,3796,2357,1617,95,100,0,500,3981;
@400000005e54d2db05af90f4 #d,-,18,3800,2360,1668,351,2,242404,15029,3800,2360,1683,3797,2357,1647,95,100,0,500,3988;
@400000005e54d2dd05bff490 #d,-,18,3801,2360,1674,352,2,242488,15034,3801,2360,1681,3800,2359,1646,95,100,0,500,3981;
@400000005e54d2dd05c9bbf5 #d,-,18,3803,2359,1678,353,2,242570,15039,3803,2360,1684,3801,2358,1640,95,100,0,500,3986;
@400000005e54d2df05da6dcc #d,-,18,3804,2360,1680,354,2,242651,15044,3804,2361,1682,3803,2358,1644,95,100,0,500,3979;
@400000005e54d2df05e42a04 #d,-,18,3804,2358,1695,355,2,242730,15049,3804,2361,1695,3804,2358,1610,95,100,0,500,3979;
@400000005e54d2e105f4139f #d,-,18,3802,2358,1676,356,2,242870,15057,3804,2359,1698,3802,2357,1616,95,100,0,500,3965;
@400000005e54d2e105fe31a1 #d,-,18,3801,2358,1651,357,2,242948,15062,3802,2359,1688,3801,2357,1635,95,100,0,500,3965;
@400000005e54d2e3060e0128 #d,-,18,3800,2356,1598,358,2,242958,15063,3801,2358,1683,3800,2355,1598,95,100,0,500,3969;
@400000005e54d2e306181a82 #d,-,18,3799,2359,1634,359,2,243103,15072,3800,2359,1705,3799,2355,1598,96,100,0,500,3957;
@400000005e54d2e506292e23 #d,-,18,3798,2356,1679,360,2,243119,15073,3799,2359,1703,3798,2356,1603,95,100,0,500,3960;
@400000005e54d2e506335b0c #d,-,18,3798,2356,1667,361,2,243195,15078,3798,2357,1679,3798,2356,1645,95,100,0,500,3976;
