@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7326210dd0cd8f #d,-,18,2709,2345,1172,153,0,210109,13026,2709,2347,1172,2709,2344,1166,98,100,0,501,2742;
@400000005e7326230de0626a #d,-,18,2713,2346,1164,154,0,210034,13022,2713,2347,1198,2709,2344,1159,97,100,0,501,2769;
@400000005e7326230deae148 #d,-,18,2712,2347,1166,155,0,209951,13016,2713,2347,1168,2712,2344,1164,99,100,0,501,2739;
@400000005e7326250df8e787 #d,-,18,2711,2344,1167,155,0,209977,13018,2712,2347,1167,2711,2343,1165,98,100,0,501,2741;
@400000005e7326250e03f7ae #d,-,18,2710,2346,1167,156,0,209786,13006,2711,2346,1168,2710,2343,1166,98,100,0,501,2739;
@400000005e7326270e0cb5a6 #d,-,18,2710,2345,1167,157,0,209705,13001,2710,2346,1167,2710,2344,1165,98,100,0,501,2742;
@400000005e7326270e122c7f #d,-,18,2713,2346,1162,158,0,209742,13004,2713,2346,1197,2710,2343,1160,98,100,0,501,2762;
@400000005e7326290e1cb005 #d,-,18,2712,2343,1167,158,0,209556,12992,2713,2346,1169,2712,2343,1162,98,100,0,501,2746;
@400000005e7326290e26f8de #d,-,18,2711,2344,1169,159,0,209477,12987,2712,2346,1169,2711,2343,1165,99,100,0,501,2737;
@400000005e73262b0e340851 #d,-,18,2711,2344,1166,160,0,209399,12982,2711,2346,1169,2711,2343,1165,98,100,0,501,2741;
@400000005e73262b0e3f23a5 #d,-,18,2710,2346,1167,161,0,209322,12977,2711,2346,1169,2710,2343,1166,98,100,0,501,2739;
@400000005e73262d0e49517c #d,-,18,2713,2346,1161,161,1,209257,12973,2713,2347,1199,2710,2344,1161,98,100,0,501,2758;
@400000005e73262d0e52df23 #d,-,18,2713,2345,1167,162,1,209183,12969,2713,2347,1169,2713,2345,1161,98,100,0,501,2757;
@400000005e73262f0e5f793d #d,-,18,2713,2344,1580,163,1,209222,12971,2713,2347,1580,2713,2343,1167,98,100,0,501,2742;
@400000005e73262f0e675d47 #d,-,18,3513,2343,1492,164,1,209389,12982,3513,2346,1636,2713,2342,1280,100,100,0,501,3513;
@400000005e7326310e73acdf #d,-,18,3320,2343,1718,165,1,209643,12997,3513,2347,1719,3320,2342,1298,98,100,0,501,3383;
@400000005e7326310e7b985d #d,-,18,3626,2344,1582,166,1,209804,13007,3626,2347,1718,3320,2342,1178,97,100,0,501,3712;
@400000005e7326330e8400a6 #d,-,18,3359,2345,1709,167,1,210086,13025,3626,2347,1745,3359,2343,1300,100,100,0,501,3359;
@400000005e7326330e8a13f5 #d,-,18,3469,2344,1536,168,1,210212,13033,3469,2348,1709,3359,2343,1155,96,100,0,501,3611;
@400000005e7326350e95a0e8 #d,-,18,3657,2345,1366,169,1,210468,13049,3657,2347,1745,3469,2343,1309,100,100,0,501,3657;
@400000005e7326350e9ca927 #d,-,18,3409,2348,1259,170,1,210568,13055,3657,2348,1607,3409,2344,1159,97,100,0,501,3513;
@400000005e7326370ea4e2df #d,-,18,3011,2346,1176,170,1,210498,13050,3409,2348,1259,3011,2345,1144,96,100,0,501,3134;
@400000005e7326370eab9570 #d,-,18,2732,2346,1180,171,1,210422,13046,3011,2348,1181,2732,2346,1159,98,100,0,501,2773;
@400000005e7326390ebbce34 #d,-,18,2731,2347,1167,172,1,210348,13041,2732,2348,1180,2731,2346,1166,99,100,0,501,2757;
@400000005e7326390ec67076 #d,-,18,2728,2346,1170,173,1,210373,13043,2731,2348,1173,2728,2345,1167,99,100,0,501,2744;
@400000005e73263b0ecf0397 #d,-,18,2727,2348,1169,174,1,210201,13032,2728,2348,1170,2727,2345,1167,99,100,0,501,2751;
@400000005e73263b0ed53a49 #d,-,18,2726,2349,1189,174,1,210140,13028,2727,2349,1201,2726,2346,1168,99,100,0,501,2748;
@400000005e73263d0edd86a2 #d,-,18,2727,2347,1168,175,1,210164,13030,2727,2349,1189,2726,2346,1161,98,100,0,501,2776;
@400000005e73263d0ee31c37 #d,-,18,2726,2348,1169,176,1,209995,13019,2727,2349,1169,2726,2346,1168,99,100,0,501,2748;
@400000005e73263f0eedbbad #d,-,18,2724,2348,1168,177,1,209924,13015,2726,2348,1169,2724,2346,1166,99,100,0,501,2746;
@400000005e73263f0ef878f1 #d,-,18,2723,2346,1167,177,1,209949,13016,2724,2348,1169,2723,2346,1167,99,100,0,501,2746;
@400000005e7326410f012bbc #d,-,18,2722,2348,1198,178,1,209793,13007,2723,2348,1199,2722,2345,1167,99,100,0,501,2746;
@400000005e7326410f070bd2 #d,-,18,2724,2348,1168,179,1,209724,13002,2724,2348,1198,2722,2346,1161,98,100,0,501,2773;
@400000005e7326430f10db98 #d,-,18,2722,2345,1168,180,1,209749,13004,2724,2348,1169,2722,2345,1166,99,100,0,501,2746;
@400000005e7326430f1b1856 #d,-,18,2721,2348,1168,180,1,209586,12994,2722,2348,1169,2721,2345,1167,99,100,0,501,2746;
@400000005e7326450f267a72 #d,-,18,2720,2345,1169,181,1,209519,12990,2721,2348,1169,2720,2345,1167,99,100,0,501,2746;
@400000005e7326450f31bdd2 #d,-,18,2719,2344,1199,182,1,209552,12992,2720,2347,1199,2719,2344,1167,99,100,0,501,2744;
@400000005e7326470f3c06ab #d,-,18,2722,2348,1170,183,1,209395,12982,2722,2348,1200,2719,2343,1161,98,100,0,501,2776;
@400000005e7326470f463faf #d,-,18,2720,2346,1168,183,1,209329,12978,2722,2348,1170,2720,2345,1167,99,100,0,501,2742;
@400000005e7326490f568ece #d,-,18,2720,2347,1168,184,1,209264,12974,2720,2348,1169,2720,2346,1167,99,100,0,501,2746;
@400000005e7326490f620921 #d,-,18,3075,2347,1373,185,1,209455,12986,3075,2347,1690,2720,2343,1168,100,100,0,501,3075;
@400000005e73264b0f6f0504 #d,-,18,3359,2343,1538,186,1,209592,12994,3359,2347,1600,3075,2343,1299,96,100,0,501,3467;
@400000005e73264b0f76b21c #d,-,18,3620,2346,1413,187,1,209907,13014,3620,2346,1699,3359,2342,1344,100,100,0,501,3620;
@400000005e73264d0f835851 #d,-,18,3385,2345,1295,188,1,209911,13014,3620,2346,1594,3385,2343,1166,97,100,0,501,3479;
@400000005e73264d0f8b206a #d,-,18,3696,2348,1156,189,1,210115,13027,3696,2348,1735,3385,2343,1156,99,100,0,501,3721;
@400000005e73264f0f936db2 #d,-,18,3329,2342,1707,190,1,210289,13037,3696,2348,1707,3329,2342,1154,96,100,0,501,3433;
@400000005e73264f0f972de3 #d,-,18,3740,2343,1519,191,1,210535,13053,3740,2347,1748,3329,2341,1151,98,100,0,501,3792;
@400000005e7326510fa15447 #d,-,18,3287,2346,1163,192,1,210525,13052,3740,2346,1653,3287,2341,1157,96,100,0,501,3406;
@400000005e7326510fa82a3c #d,-,18,2717,2346,1181,192,1,210464,13048,3287,2347,1184,2717,2345,1163,96,100,0,501,2803;
@400000005e7326530fb33974 #d,-,18,2719,2344,1177,193,1,210402,13044,2719,2347,1181,2717,2343,1175,98,100,0,501,2767;
@400000005e7326530fba1b84 #d,-,18,2721,2345,1177,194,1,210341,13041,2721,2346,1178,2719,2343,1177,98,100,0,501,2765;
@400000005e7326550fc60687 #d,-,18,2722,2344,1179,195,1,210281,13037,2722,2345,1179,2721,2343,1176,98,100,0,501,2764;
@400000005e7326550fccf00b #d,-,18,2727,2345,1175,195,1,210229,13034,2727,2345,1209,2722,2343,1170,97,100,0,501,2792;
@400000005e7326570fd93be9 #d,-,18,2727,2344,1177,196,1,210170,13030,2727,2346,1179,2727,2342,1175,98,100,0,501,2765;
@400000005e7326570fe08bdf #d,-,18,2728,2345,1176,197,1,210109,13026,2728,2346,1177,2727,2343,1176,98,100,0,501,2764;
@400000005e7326590fed0eb0 #d,-,18,2728,2346,1177,198,1,210051,13023,2728,2346,1178,2728,2343,1176,98,100,0,501,2764;
@400000005e7326590ff5a1d1 #d,-,18,2728,2343,1176,198,1,210079,13024,2728,2346,1179,2728,2342,1176,98,100,0,501,2764;
@400000005e73265b1003ca86 #d,-,18,2732,2345,1172,199,1,209943,13016,2732,2345,1208,2728,2342,1169,98,100,0,501,2785;
@400000005e73265b100c3b31 #d,-,18,2732,2344,1177,200,1,209887,13012,2732,2345,1179,2732,2342,1172,98,100,0,501,2771;
@400000005e73265d101a3cc9 #d,-,18,2732,2345,1175,201,1,209913,13014,2732,2345,1177,2732,2342,1175,98,100,0,501,2764;
@400000005e73265d1023e572 #d,-,18,2731,2344,1177,201,1,209773,13005,2732,2345,1178,2731,2342,1175,98,100,0,501,2762;
@400000005e73265f1033dfd0 #d,-,18,2731,2346,1176,202,1,209717,13002,2731,2346,1178,2731,2343,1175,98,100,0,501,2764;
@400000005e73265f103e8212 #d,-,18,2734,2346,1170,203,1,209670,12999,2734,2346,1208,2731,2343,1170,98,100,0,501,2776;
@400000005e732661104f6e95 #d,-,18,2734,2344,1176,204,1,209697,13001,2734,2346,1178,2734,2343,1170,98,100,0,501,2776;
@400000005e7326611059d9e4 #d,-,18,2734,2344,1177,204,1,209559,12992,2734,2345,1177,2734,2342,1176,98,100,0,501,2764;
@400000005e732663106b2beb #d,-,18,2733,2342,1177,205,1,209504,12989,2734,2344,1177,2733,2342,1176,99,100,0,501,2760;
@400000005e73266310770719 #d,-,18,2733,2341,1508,206,1,209591,12994,2733,2344,1508,2733,2340,1176,98,100,0,501,2762;
@400000005e73266510844163 #d,-,18,3444,2339,1352,207,1,209650,12998,3444,2341,1632,2733,2339,1273,100,100,0,501,3444;
@400000005e732665108f7134 #d,-,18,3370,2337,1718,208,1,209848,13010,3444,2339,1718,3370,2336,1299,97,100,0,501,3454;
@400000005e732667109bd45b #d,-,18,3612,2336,1582,209,1,210059,13023,3612,2339,1718,3370,2335,1206,97,100,0,501,3714;
@400000005e73266710a36a2a #d,-,18,3208,2334,1713,210,1,210155,13029,3612,2340,1729,3208,2334,1179,97,100,0,501,3287;
@400000005e73266910ac1cf5 #d,-,18,3611,2334,1598,211,1,210280,13037,3611,2338,1713,3208,2333,1208,98,100,0,501,3678;
@400000005e73266910b3bdf0 #d,-,18,3480,2337,1706,212,1,210585,13056,3611,2339,1759,3480,2334,1294,100,100,0,501,3480;
@400000005e73266b10bc02d6 #d,-,18,3479,2338,1437,213,1,210593,13056,3480,2340,1706,3479,2336,1290,96,100,0,501,3613;
@400000005e73266b10c21d98 #d,-,18,3128,2338,1173,214,1,210530,13052,3479,2340,1437,3128,2337,1141,96,100,0,501,3235;
@400000005e73266d10d288a7 #d,-,18,2708,2337,1166,214,1,210464,13048,3128,2340,1173,2708,2336,1164,98,100,0,501,2739;
@400000005e73266d10dd334b #d,-,18,2707,2339,1168,215,1,210481,13049,2708,2339,1172,2707,2336,1165,98,100,0,501,2737;
@400000005e73266f10e5f142 #d,-,18,2706,2338,1190,216,1,210347,13041,2707,2339,1197,2706,2337,1165,99,100,0,501,2733;
@400000005e73266f10ebd8cc #d,-,18,2708,2340,1165,217,1,210283,13037,2708,2340,1190,2706,2337,1159,98,100,0,501,2760;
@400000005e73267110f450ea #d,-,18,2707,2338,1166,217,1,210220,13033,2708,2340,1167,2707,2338,1165,99,100,0,501,2732;
@400000005e73267110fa9a3e #d,-,18,2706,2340,1166,218,1,210158,13029,2707,2341,1167,2706,2338,1165,99,100,0,501,2733;
@400000005e732673110909ba #d,-,18,2705,2342,1166,219,1,210096,13025,2706,2342,1166,2705,2340,1164,98,100,0,501,2733;
@400000005e73267311134678 #d,-,18,2705,2341,1196,220,1,210043,13022,2705,2343,1196,2705,2340,1165,98,100,0,501,2733;
@400000005e7326751123d4eb #d,-,18,2708,2343,1165,220,1,210059,13023,2708,2343,1196,2705,2340,1158,98,100,0,501,2762;
@400000005e732675112ea2f2 #d,-,18,2706,2342,1163,221,1,209922,13015,2708,2343,1165,2706,2341,1163,99,100,0,501,2730;
@400000005e7326771138b11f #d,-,18,2706,2343,1165,222,1,209862,13011,2706,2344,1165,2706,2341,1163,99,100,0,501,2733;
@400000005e732677113ee6e4 #d,-,18,2705,2345,1164,223,1,209879,13012,2706,2345,1165,2705,2342,1163,98,100,0,501,2733;
@400000005e732679114fc392 #d,-,18,2704,2343,1196,223,1,209749,13004,2705,2345,1196,2704,2342,1163,98,100,0,501,2732;
@400000005e732679115b0604 #d,-,18,2707,2343,1165,224,1,209692,13000,2707,2344,1196,2704,2342,1158,97,100,0,501,2764;
@400000005e73267b11648b49 #d,-,18,2706,2343,1164,225,1,209634,12997,2707,2344,1166,2706,2342,1164,99,100,0,501,2730;
@400000005e73267b116a4441 #d,-,18,2705,2344,1166,226,1,209576,12993,2706,2344,1166,2705,2342,1164,98,100,0,501,2733;
@400000005e73267d1173ce2f #d,-,18,2705,2343,1165,226,1,209520,12990,2705,2345,1166,2705,2342,1164,98,100,0,501,2735;
@400000005e73267d117e9b48 #d,-,18,2704,2343,1189,227,1,209466,12986,2705,2344,1189,2704,2342,1163,98,100,0,501,2733;
@400000005e73267f118ad486 #d,-,18,2974,2342,1563,228,1,209605,12995,2974,2343,1620,2704,2340,1189,100,100,0,501,2974;
@400000005e73267f11920ffe #d,-,18,3385,2341,1571,229,1,209690,13000,3385,2343,1582,2974,2340,1283,97,100,0,501,3474;
@400000005e73268111a0e4ff #d,-,18,3451,2341,1685,230,1,209885,13012,3451,2344,1714,3385,2339,1305,100,100,0,501,3451;
@400000005e73268111ad1222 #d,-,18,3446,2342,1484,231,1,209966,13017,3451,2343,1685,3446,2341,1174,97,100,0,501,3529;
@400000005e73268111b64572 #d,-,18,3672,2345,1252,232,1,210140,13028,3672,2345,1747,3446,2341,1252,100,100,0,501,3672;
@400000005e73268311c302f0 #d,-,18,3396,2343,1490,233,1,210237,13034,3672,2345,1611,3396,2341,1181,97,100,0,501,3492;
@400000005e73268311c9b1c7 #d,-,18,3716,2343,1161,234,1,210386,13043,3716,2345,1749,3396,2340,1158,99,100,0,501,3750;
@400000005e73268511d2e15e #d,-,18,3334,2343,1146,235,1,210466,13048,3716,2345,1641,3334,2341,1146,96,100,0,501,3438;
@400000005e73268711def739 #d,-,18,2774,2346,1171,235,1,210412,13045,3334,2346,1175,2774,2343,1146,95,100,0,501,2895;
@400000005e73268711e5f44b #d,-,18,2720,2345,1172,236,1,210358,13042,2774,2346,1174,2720,2343,1169,98,100,0,501,2753;
@400000005e73268711eb05a0 #d,-,18,2723,2345,1167,237,1,210312,13039,2723,2346,1203,2720,2344,1163,98,100,0,501,2776;
@400000005e73268911f4bd30 #d,-,18,2722,2347,1170,238,1,210258,13036,2723,2347,1173,2722,2344,1167,99,100,0,501,2749;
@400000005e73268911faeb81 #d,-,18,2721,2346,1169,238,1,210205,13032,2722,2347,1171,2721,2344,1169,98,100,0,501,2749;
@400000005e73268b1206bb82 #d,-,18,2720,2347,1169,239,1,210152,13029,2721,2347,1171,2720,2345,1169,98,100,0,501,2749;
@400000005e73268b120e700d #d,-,18,2719,2345,1169,240,1,210099,13026,2720,2347,1170,2719,2344,1168,98,100,0,501,2748;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
