@400000005e73256210bf9cd8 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e7325623ab25da9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e73258f07826533 #d,-,18,3529,2343,1531,34,0,207039,12836,3529,2347,1611,2729,2343,1248,99,100,0,501,3550;
@400000005e732591078ec0e7 #d,-,18,3266,2343,1690,35,0,207871,12888,3529,2347,1690,3266,2343,1164,98,100,0,501,3317;
@400000005e73259107962f98 #d,-,18,3570,2344,1554,36,0,209352,12979,3570,2345,1697,3266,2342,1207,98,100,0,501,3613;
@400000005e73259307a27f30 #d,-,18,3153,2342,1713,37,0,209785,13006,3570,2347,1739,3153,2342,1131,96,100,0,501,3258;
@400000005e73259307aa66f4 #d,-,18,3602,2346,1573,38,0,210421,13046,3602,2347,1713,3153,2342,1163,97,100,0,501,3700;
@400000005e73259507b2cb84 #d,-,18,3517,2348,1630,39,0,211601,13119,3602,2348,1737,3517,2346,1299,100,100,0,501,3517;
@400000005e73259507b66cf9 #d,-,18,3429,2350,1363,40,0,211978,13142,3517,2352,1630,3429,2347,1155,96,100,0,501,3538;
@400000005e73259707c03906 #d,-,18,3071,2350,1162,41,0,211585,13118,3429,2351,1363,3071,2349,1124,96,100,0,501,3191;
@400000005e73259707c637d8 #d,-,18,2714,2350,1162,41,0,211274,13099,3071,2352,1190,2714,2349,1157,99,100,0,501,2739;
@400000005e73259907d0e635 #d,-,18,2717,2348,1163,42,0,211396,13106,2717,2351,1198,2714,2348,1160,97,100,0,501,2773;
@400000005e73259907d7817d #d,-,18,2718,2350,1166,43,0,210688,13062,2718,2351,1170,2717,2348,1163,98,100,0,501,2762;
@400000005e73259b07e3ce4b #d,-,18,2718,2349,1167,44,0,210395,13044,2718,2351,1168,2718,2349,1166,98,100,0,501,2748;
@400000005e73259b07eaa7f9 #d,-,18,2717,2350,1167,44,0,210489,13050,2718,2351,1168,2717,2348,1166,98,100,0,501,2748;
@400000005e73259d07f677fa #d,-,18,2717,2348,1167,45,0,209836,13009,2717,2350,1169,2717,2347,1166,98,100,0,501,2746;
@400000005e73259d07fd26d1 #d,-,18,2718,2349,1161,46,0,209607,12995,2718,2350,1197,2717,2347,1161,98,100,0,501,2757;
@400000005e73259f08098285 #d,-,18,2719,2348,1166,47,0,209349,12979,2719,2351,1168,2718,2348,1159,98,100,0,501,2764;
@400000005e73259f0811010b #d,-,18,2719,2350,1166,47,0,209101,12964,2719,2351,1168,2719,2348,1166,98,100,0,501,2748;
@400000005e7325a1081e69e6 #d,-,18,2718,2349,1167,48,0,208859,12949,2719,2350,1168,2718,2348,1166,98,100,0,501,2746;
@400000005e7325a108276379 #d,-,18,2717,2349,1168,49,0,208624,12934,2718,2350,1168,2717,2347,1166,98,100,0,501,2746;
@400000005e7325a308371267 #d,-,18,2718,2347,1171,50,0,208436,12923,2718,2350,1199,2717,2347,1167,98,100,0,501,2749;
@400000005e7325a30840717d #d,-,18,2720,2349,1166,50,0,208213,12909,2720,2350,1171,2718,2347,1162,98,100,0,501,2771;
@400000005e7325a5084f591e #d,-,18,2719,2349,1167,51,0,208000,12896,2720,2350,1167,2719,2348,1165,99,100,0,501,2746;
@400000005e7325a5085a36fb #d,-,18,2718,2350,1166,52,0,207794,12883,2719,2350,1168,2718,2348,1165,98,100,0,501,2748;
@400000005e7325a7086acce1 #d,-,18,2717,2348,1166,53,0,207903,12890,2718,2350,1168,2717,2347,1166,99,100,0,501,2744;
@400000005e7325a7087548f3 #d,-,18,2717,2350,1184,53,0,207430,12860,2717,2350,1197,2717,2348,1166,98,100,0,501,2746;
@400000005e7325a908855d65 #d,-,18,2719,2350,1167,54,0,207238,12848,2719,2351,1184,2717,2349,1159,98,100,0,501,2771;
@400000005e7325a908917f5b #d,-,18,3036,2347,1512,55,0,207907,12890,3036,2350,1647,2719,2345,1166,100,100,0,501,3036;
@400000005e7325ab089b3332 #d,-,18,3396,2346,1552,56,0,208349,12917,3396,2347,1596,3036,2345,1244,96,100,0,501,3506;
@400000005e7325ab08a33e59 #d,-,18,3602,2348,1443,57,0,209123,12965,3602,2348,1726,3396,2344,1314,100,100,0,501,3602;
@400000005e7325ad08adb20a #d,-,18,3429,2346,1334,58,0,209766,13005,3602,2349,1609,3429,2345,1162,97,100,0,501,3524;
@400000005e7325ad08b445de #d,-,18,3737,2348,1158,59,0,210125,13027,3737,2349,1743,3429,2344,1158,99,100,0,501,3762;
@400000005e7325af08bc28fa #d,-,18,3280,2344,1685,60,0,210618,13058,3737,2348,1685,3280,2344,1157,97,100,0,501,3378;
@400000005e7325af08c400e8 #d,-,18,3759,2347,1369,61,0,211386,13105,3759,2348,1750,3280,2343,1156,99,100,0,501,3792;
@400000005e7325b108d31809 #d,-,18,3233,2347,1143,62,0,211323,13102,3759,2348,1603,3233,2343,1139,96,100,0,501,3362;
@400000005e7325b108ddb2d7 #d,-,18,2705,2346,1201,63,0,211120,13089,3233,2348,1201,2705,2345,1143,96,100,0,501,2805;
@400000005e7325b308e97303 #d,-,18,2708,2346,1176,63,0,210910,13076,2708,2347,1201,2705,2344,1157,97,100,0,501,2767;
@400000005e7325b308f3cf6b #d,-,18,2712,2348,1167,64,0,210721,13064,2712,2348,1194,2708,2345,1165,98,100,0,501,2764;
@400000005e7325b508ffd1b7 #d,-,18,2711,2349,1172,65,0,210523,13052,2712,2350,1174,2711,2347,1164,98,100,0,501,2744;
@400000005e7325b5090a83cd #d,-,18,2713,2350,1169,66,0,210332,13040,2713,2350,1172,2711,2348,1169,98,100,0,501,2755;
@400000005e7325b7091a0071 #d,-,18,2713,2350,1196,66,0,210157,13029,2713,2350,1196,2713,2347,1168,98,100,0,501,2749;
@400000005e7325b709243975 #d,-,18,2718,2350,1170,67,0,209986,13019,2718,2352,1200,2713,2349,1160,97,100,0,501,2783;
