@400000005e843b78088f0255 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e843b78327b00c0 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e843ba43a6f560b #d,-,18,3868,2374,1786,35,0,214868,13321,3868,2376,1839,2519,2373,1414,94,100,0,500,4097;
@400000005e843ba43a782f05 #d,-,18,3675,2371,1772,36,0,215921,13387,3868,2374,1915,3675,2371,1334,95,100,0,500,3867;
@400000005e843ba63a86c59f #d,-,18,3767,2373,1666,37,0,217347,13475,3767,2375,1994,3675,2371,1441,91,100,0,500,4102;
@400000005e843ba63a8f5d68 #d,-,18,3978,2373,1887,38,0,218878,13570,3978,2374,2096,3767,2371,1459,96,100,0,500,4116;
@400000005e843ba83a9c0b11 #d,-,18,3645,2374,1160,38,0,218531,13548,3978,2376,1887,3645,2372,1118,89,100,0,500,4062;
@400000005e843ba83aa4dc98 #d,-,18,2443,2376,1156,39,0,217641,13493,3645,2376,1163,2443,2374,1105,88,100,0,500,2772;
@400000005e843baa3ab21b8a #d,-,18,2446,2377,1102,40,0,216769,13439,2446,2377,1156,2443,2374,1102,88,100,0,500,2761;
@400000005e843baa3aba0e7a #d,-,18,2446,2377,1135,41,0,215939,13388,2446,2377,1159,2446,2376,1085,89,100,0,500,2730;
@400000005e843bac3ac6eba2 #d,-,18,2446,2375,1133,41,0,215142,13338,2446,2377,1138,2446,2375,1125,89,100,0,500,2730;
@400000005e843bac3acfa99a #d,-,18,2446,2375,1138,42,0,214384,13291,2446,2376,1139,2446,2375,1128,89,100,0,500,2737;
@400000005e843bae3ae23fbb #d,-,18,2447,2375,1132,43,0,213653,13246,2447,2376,1140,2446,2375,1130,89,100,0,500,2739;
@400000005e843bae3aee5d09 #d,-,18,2449,2375,1595,43,0,213907,13262,2449,2376,1896,2447,2373,1132,89,100,0,500,2742;
@400000005e843bb03affb683 #d,-,18,3729,2373,1761,44,0,214830,13319,3729,2375,1842,2449,2372,1403,96,100,0,500,3870;
@400000005e843bb03b09f7e9 #d,-,18,3724,2373,1583,46,0,216024,13393,3729,2374,1984,3724,2370,1450,93,100,0,500,4002;
@400000005e843bb23b18ad3f #d,-,18,4090,2371,1985,47,0,217351,13475,4090,2374,2008,3724,2370,1467,97,100,0,500,4187;
@400000005e843bb23b2213c9 #d,-,18,3826,2375,1519,48,0,218266,13532,4090,2375,2059,3826,2370,1426,94,100,0,500,4043;
@400000005e843bb43b2f469f #d,-,18,3962,2374,1145,49,0,218883,13570,3962,2377,2007,3826,2373,1054,93,100,0,500,4225;
@400000005e843bb43b37dd79 #d,-,18,2503,2376,1132,49,0,217820,13504,3962,2376,1175,2503,2374,1119,86,100,0,500,2884;
@400000005e843bb63b44c6bd #d,-,18,2498,2378,1134,50,0,217133,13462,2503,2379,1153,2498,2376,1123,91,100,0,500,2742;
@400000005e843bb63b4d7d42 #d,-,18,2493,2375,1129,51,0,216469,13421,2498,2378,1156,2493,2374,1123,90,100,0,500,2753;
@400000005e843bb83b5a8cb4 #d,-,18,2487,2375,1133,51,0,215812,13380,2493,2377,1137,2487,2375,1126,91,100,0,500,2730;
@400000005e843bb83b63238e #d,-,18,2482,2376,1134,52,0,215178,13341,2487,2376,1136,2482,2374,1129,90,100,0,500,2734;
@400000005e843bba3b725e13 #d,-,18,2477,2375,1134,53,0,214557,13302,2482,2377,1136,2477,2375,1128,90,100,0,500,2732;
@400000005e843bba3b7c12d7 #d,-,18,2473,2373,1892,54,0,214385,13291,2477,2376,1907,2473,2373,1127,90,100,0,500,2732;
@400000005e843bbc3b89743f #d,-,18,3304,2374,1497,55,0,215172,13340,3304,2375,1892,2473,2371,1457,93,100,0,500,3536;
@400000005e843bbc3b91ec5d #d,-,18,3876,2370,1975,56,0,216128,13399,3876,2374,1975,3304,2370,1405,95,100,0,500,4038;
@400000005e843bbf00056703 #d,-,18,3791,2373,1514,57,0,216969,13452,3876,2375,2025,3791,2370,1448,94,100,0,500,4019;
@400000005e843bbf000f3310 #d,-,18,4026,2373,1626,58,0,218392,13540,4026,2376,2054,3791,2372,1459,94,100,0,500,4254;
@400000005e843bc1001c463d #d,-,18,4094,2374,1084,59,0,218467,13544,4094,2374,2075,4026,2369,1084,97,100,0,500,4194;
@400000005e843bc100249af7 #d,-,18,2671,2374,1122,59,0,217882,13508,4094,2375,1154,2671,2373,1084,85,100,0,500,3137;
@400000005e843bc30031412d #d,-,18,2467,2373,1156,60,0,217319,13473,2671,2374,1156,2467,2373,1122,89,100,0,500,2746;
@400000005e843bc3003a0b40 #d,-,18,2465,2373,1128,61,0,217048,13457,2467,2373,1157,2465,2372,1123,89,100,0,500,2744;
@400000005e843bc5004732ea #d,-,18,2464,2373,1136,61,0,216494,13422,2465,2374,1138,2464,2372,1128,89,100,0,500,2742;
