@400000005e3d18d403e5028a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3d18d42dd35324 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3d190035c323bb #d,-,18,3062,2376,1215,30,0,185007,11470,3062,2378,1846,2442,2371,1005,93,100,0,501,3291;
@400000005e3d190035cc33a8 #d,-,18,2515,2377,1144,31,0,184967,11467,3062,2377,1215,2515,2375,1144,89,100,0,501,2810;
@400000005e3d190235dd42a0 #d,-,18,2511,2376,1125,32,0,184722,11452,2515,2378,1144,2511,2376,1108,90,100,0,501,2775;
@400000005e3d190235e954c1 #d,-,18,2429,2377,1123,32,0,184497,11438,2511,2378,1130,2429,2375,1121,89,100,0,501,2713;
@400000005e3d190435f85853 #d,-,18,2988,2377,1257,33,0,185539,11503,2988,2379,1861,2429,2372,922,96,100,0,501,3088;
@400000005e3d1904360197bf #d,-,18,2517,2379,1170,34,0,185175,11480,2988,2379,1324,2517,2375,1120,84,100,0,501,2971;
@400000005e3d1906360f0cb5 #d,-,18,2519,2378,1119,34,0,184975,11468,2519,2379,1182,2517,2376,1107,89,100,0,501,2815;
@400000005e3d19063617a837 #d,-,18,2431,2378,1124,35,0,184763,11455,2519,2379,1129,2431,2375,1119,89,100,0,501,2711;
@400000005e3d190836217f72 #d,-,18,2557,2380,937,36,0,185306,11488,2557,2380,1855,2431,2373,937,92,100,0,501,2758;
@400000005e3d190836285dc8 #d,-,18,2932,2378,1184,37,0,185321,11489,2932,2380,1308,2557,2376,922,89,100,0,501,3282;
@400000005e3d190a3636ad9a #d,-,18,2535,2377,1123,37,0,185517,11502,2932,2379,1184,2535,2376,1116,89,100,0,501,2820;
@400000005e3d190a3640369a #d,-,18,2425,2377,1120,38,0,184963,11467,2535,2379,1128,2425,2377,1117,89,100,0,501,2713;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
