@400000005e69ea8f2d5b1157 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e69ea901baa0457 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e69eabc23337cf7 #d,-,18,3152,2383,1394,34,0,207194,12846,3152,2384,1400,3152,2382,1393,93,100,0,500,3379;
@400000005e69eabc233c918b #d,-,18,3152,2385,1401,35,0,207636,12873,3152,2385,1402,3152,2383,1390,93,100,0,500,3374;
@400000005e69eabe2345e0cd #d,-,18,3226,2383,1440,36,0,208151,12905,3226,2385,1631,3152,2383,1242,94,100,0,500,3405;
@400000005e69eabe234b6dff #d,-,18,3158,2383,1399,36,0,208600,12933,3226,2384,1478,3158,2382,1371,92,100,0,500,3431;
@400000005e69eac02354864e #d,-,18,3161,2383,1398,37,0,209011,12958,3161,2383,1410,3158,2382,1397,93,100,0,500,3398;
@400000005e69eac0235a00e0 #d,-,18,3163,2380,1406,38,0,209411,12983,3163,2383,1412,3161,2380,1398,93,100,0,500,3391;
@400000005e69eac223637297 #d,-,18,3165,2382,1406,39,0,209798,13007,3165,2382,1410,3163,2380,1403,93,100,0,500,3396;
@400000005e69eac22368cd7f #d,-,18,3167,2379,1558,40,0,210364,13042,3167,2383,1627,3165,2378,1403,93,100,0,500,3393;
@400000005e69eac423718c65 #d,-,18,3240,2382,1415,41,0,211027,13083,3240,2382,1558,3167,2379,1249,93,100,0,500,3450;
@400000005e69eac42376fadc #d,-,18,3184,2382,1406,42,0,211366,13104,3240,2383,1419,3184,2381,1401,93,100,0,500,3412;
@400000005e69eac6237fe3ab #d,-,18,3183,2380,1404,43,0,211288,13099,3184,2382,1410,3183,2379,1403,93,100,0,500,3398;
@400000005e69eac623851864 #d,-,18,3183,2382,1409,43,0,211607,13119,3183,2382,1410,3183,2379,1402,93,100,0,500,3398;
@400000005e69eac8238d0b55 #d,-,18,3183,2381,1406,44,0,211912,13138,3183,2382,1410,3183,2380,1404,93,100,0,500,3396;
@400000005e69eac8239193c2 #d,-,18,3290,2378,1431,45,0,212282,13161,3290,2381,1622,3183,2377,1238,93,100,0,500,3505;
@400000005e69eaca2399f3aa #d,-,18,3116,2379,1408,46,0,212539,13177,3290,2380,1431,3116,2378,1374,93,100,0,500,3341;
@400000005e69eaca239eb6c4 #d,-,18,3174,2377,1404,47,0,212807,13194,3174,2380,1410,3116,2377,1404,93,100,0,500,3393;
@400000005e69eacc23a814ec #d,-,18,3174,2377,1407,48,0,213066,13210,3174,2379,1409,3174,2377,1401,93,100,0,500,3389;
@400000005e69eacc23ada30d #d,-,18,3174,2379,1406,49,0,213313,13225,3174,2379,1409,3174,2377,1401,93,100,0,500,3391;
@400000005e69eace23bb725a #d,-,18,3174,2380,1157,50,0,213560,13240,3174,2380,1613,3174,2377,1157,93,100,0,500,3389;
@400000005e69eace23c4d7f5 #d,-,18,2840,2378,1138,50,0,212913,13200,3174,2381,1186,2840,2378,1009,90,100,0,500,3152;
@400000005e69ead023d4aeef #d,-,18,2441,2380,1131,51,0,212328,13164,2840,2381,1138,2441,2378,1128,89,100,0,500,2737;
@400000005e69ead023ddcaf8 #d,-,18,2442,2379,1131,52,0,212093,13149,2442,2381,1134,2441,2378,1128,89,100,0,500,2739;
@400000005e69ead223ed2526 #d,-,18,2444,2381,1132,52,0,211540,13115,2444,2381,1133,2442,2378,1129,89,100,0,500,2737;
@400000005e69ead223f6e8d1 #d,-,18,2445,2380,1132,53,0,210684,13062,2445,2381,1135,2444,2379,1130,89,100,0,500,2739;
@400000005e69ead424068c93 #d,-,18,2446,2382,1133,54,0,210171,13030,2446,2382,1134,2445,2380,1128,89,100,0,500,2742;
@400000005e69ead4240fbc2a #d,-,18,2447,2380,1131,54,0,209671,12999,2447,2382,1133,2446,2379,1130,89,100,0,500,2739;
@400000005e69ead6241f8709 #d,-,18,2448,2383,1131,55,0,209186,12969,2448,2383,1134,2447,2380,1128,89,100,0,500,2739;
@400000005e69ead62428ed92 #d,-,18,2449,2381,1129,56,0,208715,12940,2449,2383,1134,2448,2380,1128,89,100,0,500,2739;
@400000005e69ead824328667 #d,-,18,2450,2382,1292,56,0,208329,12916,2450,2382,1292,2449,2380,1129,89,100,0,500,2739;
@400000005e69ead824381488 #d,-,18,2801,2381,1394,57,0,208540,12929,2801,2382,1412,2450,2381,1292,93,100,0,500,3009;
@400000005e69eada2440af1c #d,-,18,3146,2380,1399,58,0,208788,12944,3146,2381,1402,2801,2378,1384,93,100,0,500,3348;
@400000005e69eada2445475e #d,-,18,3148,2382,1398,59,0,209312,12977,3148,2382,1402,3146,2380,1393,93,100,0,500,3379;
@400000005e69eadc244e5fad #d,-,18,3148,2379,1395,60,0,209539,12991,3148,2382,1400,3148,2378,1393,93,100,0,500,3370;
@400000005e69eadc2453ddf9 #d,-,18,3149,2383,1403,61,0,209768,13005,3149,2383,1406,3148,2379,1395,93,100,0,500,3377;
@400000005e69eade245d9589 #d,-,18,3153,2381,1345,62,0,209748,13004,3153,2383,1629,3149,2380,1232,93,100,0,500,3381;
@400000005e69eade2462d1b5 #d,-,18,3212,2381,1399,63,0,210015,13020,3212,2381,1479,3153,2380,1345,92,100,0,500,3460;
@400000005e69eae0246bea04 #d,-,18,3208,2380,1411,64,0,210252,13035,3212,2382,1414,3208,2380,1399,94,100,0,500,3396;
@400000005e69eae024716850 #d,-,18,3205,2381,1408,64,0,210479,13049,3208,2381,1412,3205,2379,1403,94,100,0,500,3400;
@400000005e69eae2247aaf2f #d,-,18,3202,2382,1406,65,0,210701,13063,3205,2382,1411,3202,2381,1404,94,100,0,500,3398;
@400000005e69eae2247fe6b3 #d,-,18,3199,2379,1630,66,0,211025,13083,3202,2382,1631,3199,2379,1404,94,100,0,500,3398;
@400000005e69eae42489683f #d,-,18,3201,2381,1399,67,0,211165,13092,3201,2381,1630,3199,2379,1233,93,100,0,500,3434;
@400000005e69eae4248efec2 #d,-,18,3201,2379,1409,68,0,211627,13120,3201,2381,1425,3201,2375,1399,93,100,0,500,3419;
@400000005e69eae62497a572 #d,-,18,3198,2381,1405,69,0,211817,13132,3201,2381,1410,3198,2378,1402,94,100,0,500,3391;
@400000005e69eae6249cb992 #d,-,18,3195,2378,1408,70,0,212008,13144,3198,2381,1410,3195,2377,1403,94,100,0,500,3396;
@400000005e69eae824a5ae7c #d,-,18,3193,2380,1406,71,0,212191,13155,3195,2380,1410,3193,2378,1401,94,100,0,500,3393;
@400000005e69eae824ab2cc8 #d,-,18,3310,2380,1480,71,0,212183,13155,3310,2382,1626,3193,2379,1230,95,100,0,500,3483;
@400000005e69eaea24b4a327 #d,-,18,3092,2379,1409,72,0,212355,13166,3310,2380,1480,3092,2377,1375,91,100,0,500,3363;
@400000005e69eaea24b97d8a #d,-,18,3180,2380,1397,73,0,212525,13176,3180,2380,1413,3092,2378,1397,93,100,0,500,3400;
@400000005e69eaec24c24b57 #d,-,18,3179,2379,1410,74,0,212692,13186,3180,2380,1410,3179,2378,1397,93,100,0,500,3393;
@400000005e69eaec24c7b25a #d,-,18,3177,2380,1404,75,0,212853,13196,3179,2381,1410,3177,2378,1398,93,100,0,500,3386;
@400000005e69eaee24d5b7ab #d,-,18,3177,2382,1323,76,0,213077,13210,3177,2382,1625,3177,2380,1323,93,100,0,500,3389;
@400000005e69eaee24deb8b1 #d,-,18,2862,2381,1144,77,0,212624,13182,3177,2383,1323,2862,2381,959,90,100,0,500,3173;
@400000005e69eaf024ecca1e #d,-,18,2449,2382,1128,77,0,212240,13158,2862,2382,1145,2449,2381,1124,89,100,0,500,2751;
@400000005e69eaf024f67681 #d,-,18,2450,2380,1134,78,0,212087,13149,2450,2382,1136,2449,2379,1128,89,100,0,500,2742;
@400000005e69eaf225053f66 #d,-,18,2451,2380,1131,79,0,211497,13112,2451,2381,1134,2450,2379,1130,89,100,0,500,2739;
@400000005e69eaf2250e3451 #d,-,18,2451,2378,1133,79,0,211354,13103,2451,2380,1136,2451,2377,1129,89,100,0,500,2742;
@400000005e69eaf4251c6dc9 #d,-,18,2452,2379,1132,80,0,210785,13068,2452,2379,1137,2451,2378,1128,89,100,0,500,2739;
@400000005e69eaf425262a01 #d,-,18,2452,2377,1127,81,0,210436,13047,2452,2379,1138,2452,2376,1127,89,100,0,500,2739;
@400000005e69eaf625360fe3 #d,-,18,2452,2378,1131,81,0,210096,13025,2452,2379,1137,2452,2377,1127,89,100,0,500,2739;
@400000005e69eaf6253f4f4f #d,-,18,2452,2377,1129,82,0,209761,13005,2452,2379,1136,2452,2377,1128,89,100,0,500,2737;
@400000005e69eaf825490f40 #d,-,18,2452,2377,1272,83,0,209474,12987,2452,2379,1272,2452,2376,1128,89,100,0,500,2734;
@400000005e69eaf8254ebfd7 #d,-,18,2779,2375,1401,84,0,209600,12995,2779,2377,1415,2452,2374,1272,92,100,0,500,2995;
@400000005e69eafa25581eed #d,-,18,3136,2377,1398,84,0,209758,13005,3136,2377,1403,2779,2375,1389,94,100,0,500,3334;
@400000005e69eafa255d5a2b #d,-,18,3138,2374,1400,85,0,209917,13014,3138,2377,1402,3136,2373,1396,93,100,0,500,3372;
@400000005e69eafc25672638 #d,-,18,3140,2375,1393,86,0,210272,13036,3140,2376,1404,3138,2373,1393,93,100,0,500,3374;
@400000005e69eafc256cbf87 #d,-,18,3143,2372,1406,87,0,210234,13034,3143,2375,1407,3140,2372,1393,93,100,0,500,3372;
@400000005e69eafe2574e96a #d,-,18,3145,2374,1245,88,0,210404,13045,3145,2375,1641,3143,2372,1230,93,100,0,500,3374;
@400000005e69eafe257a1e23 #d,-,18,3238,2374,1415,89,0,210591,13056,3238,2374,1485,3145,2372,1245,93,100,0,500,3462;
@400000005e69eb0025824f7a #d,-,18,3176,2376,1408,90,0,210751,13066,3238,2376,1417,3176,2373,1403,93,100,0,500,3389;
@400000005e69eb002586d7e7 #d,-,18,3177,2373,1411,91,0,210912,13076,3177,2376,1417,3176,2372,1408,93,100,0,500,3400;
@400000005e69eb022590e9ce #d,-,18,3177,2376,1410,92,0,211068,13086,3177,2376,1414,3177,2373,1408,93,100,0,500,3396;
@400000005e69eb0225973321 #d,-,18,3178,2374,1534,92,0,211251,13097,3178,2377,1534,3177,2374,1405,93,100,0,500,3396;
@400000005e69eb04259f54a3 #d,-,18,3180,2376,1383,93,0,211397,13106,3180,2377,1635,3178,2374,1232,92,100,0,500,3445;
@400000005e69eb0425a3d59d #d,-,18,3185,2375,1406,94,0,211547,13115,3185,2376,1426,3180,2373,1383,93,100,0,500,3405;
@400000005e69eb0625acaadd #d,-,18,3184,2375,1412,95,0,211873,13136,3185,2375,1414,3184,2374,1404,93,100,0,500,3391;
@400000005e69eb0625b2159a #d,-,18,3183,2372,1412,96,0,212010,13144,3184,2375,1412,3183,2372,1397,93,100,0,500,3391;
@400000005e69eb0825ba9172 #d,-,18,3182,2376,1404,97,0,211966,13141,3183,2376,1413,3182,2371,1403,93,100,0,500,3386;
@400000005e69eb0825bf831d #d,-,18,3236,2375,1444,98,0,212123,13151,3236,2376,1611,3182,2373,1252,94,100,0,500,3410;
@400000005e69eb0a25c795b8 #d,-,18,3154,2376,1397,99,0,212256,13159,3236,2377,1472,3154,2374,1375,92,100,0,500,3419;
@400000005e69eb0a25cc21df #d,-,18,3156,2376,1407,99,0,212383,13167,3156,2377,1410,3154,2375,1397,93,100,0,500,3389;
@400000005e69eb0c25d424a5 #d,-,18,3158,2378,1405,100,0,212506,13175,3158,2378,1407,3156,2375,1401,93,100,0,500,3384;
@400000005e69eb0c25d8d430 #d,-,18,3160,2377,1406,101,0,212628,13182,3160,2378,1410,3158,2377,1399,93,100,0,500,3389;
@400000005e69eb0e25e5dc30 #d,-,18,3161,2375,1610,102,0,212805,13193,3161,2378,1610,3160,2374,1402,93,100,0,500,3386;
@400000005e69eb0e25ee09cd #d,-,18,2998,2378,1125,103,0,212551,13178,3161,2379,1616,2998,2375,1027,90,100,0,500,3320;
@400000005e69eb1025fbe800 #d,-,18,2471,2377,1125,103,0,212426,13170,2998,2379,1143,2471,2376,1114,90,100,0,500,2734;
@400000005e69eb102604a23e #d,-,18,2467,2379,1125,104,0,211970,13142,2471,2379,1136,2467,2377,1116,90,100,0,500,2730;
@400000005e69eb122611cda2 #d,-,18,2464,2376,1125,105,0,211846,13134,2467,2379,1128,2464,2376,1119,90,100,0,500,2720;
@400000005e69eb12261ae9aa #d,-,18,2460,2378,1127,105,0,211562,13116,2464,2378,1127,2460,2376,1118,90,100,0,500,2718;
@400000005e69eb1426294598 #d,-,18,2457,2377,1123,106,0,211117,13089,2460,2379,1128,2457,2377,1120,90,100,0,500,2720;
@400000005e69eb142631f4a9 #d,-,18,2455,2377,1127,107,0,210844,13072,2457,2378,1128,2455,2376,1120,90,100,0,500,2720;
@400000005e69eb16263fdef8 #d,-,18,2452,2379,1122,107,0,210571,13055,2455,2379,1129,2452,2377,1120,90,100,0,500,2718;
@400000005e69eb1626490e8f #d,-,18,2450,2377,1130,108,0,210306,13039,2452,2379,1131,2450,2376,1120,89,100,0,500,2723;
@400000005e69eb1826529ff0 #d,-,18,2448,2379,1125,109,0,210044,13022,2450,2379,1130,2448,2376,1121,90,100,0,500,2720;
@400000005e69eb1826580aad #d,-,18,2685,2376,1415,110,0,210103,13026,2685,2379,1415,2448,2376,1125,92,100,0,500,2893;
@400000005e69eb1a26615900 #d,-,18,3102,2376,1395,110,0,210218,13033,3102,2376,1415,2685,2375,1388,93,100,0,500,3322;
@400000005e69eb1a2666952c #d,-,18,3107,2378,1394,111,0,210335,13040,3107,2378,1403,3102,2376,1393,92,100,0,500,3367;
@400000005e69eb1c266ecdf6 #d,-,18,3113,2375,1400,112,0,210602,13057,3113,2378,1403,3107,2374,1393,92,100,0,500,3370;
@400000005e69eb1c267394ca #d,-,18,3119,2377,1402,113,0,210717,13064,3119,2377,1404,3113,2375,1391,92,100,0,500,3370;
@400000005e69eb1e267cdba9 #d,-,18,3123,2375,1451,114,0,210747,13066,3123,2377,1638,3119,2373,1393,92,100,0,500,3372;
@400000005e69eb1e2682b092 #d,-,18,3244,2375,1423,115,0,210839,13072,3244,2376,1478,3123,2374,1252,94,100,0,500,3450;
@400000005e69eb20268bd054 #d,-,18,3160,2378,1401,116,0,210956,13079,3244,2378,1424,3160,2375,1394,93,100,0,500,3396;
@400000005e69eb2026915e75 #d,-,18,3162,2376,1408,117,0,211075,13086,3162,2378,1411,3160,2375,1401,93,100,0,500,3391;
@400000005e69eb2226999af9 #d,-,18,3163,2378,1407,117,0,211192,13093,3163,2378,1412,3162,2375,1403,93,100,0,500,3391;
@400000005e69eb22269e755b #d,-,18,3165,2376,1405,118,0,211306,13100,3165,2378,1412,3163,2374,1402,93,100,0,500,3389;
@400000005e69eb2426a71497 #d,-,18,3292,2376,1431,119,0,211453,13110,3292,2377,1631,3165,2373,1236,93,100,0,500,3505;
@400000005e69eb2426abf66d #d,-,18,3106,2374,1407,120,0,211556,13116,3292,2376,1431,3106,2373,1369,93,100,0,500,3334;
@400000005e69eb2626b5b65f #d,-,18,3172,2377,1404,121,0,211664,13123,3172,2377,1412,3106,2374,1394,93,100,0,500,3389;
@400000005e69eb2626bb580f #d,-,18,3172,2375,1403,122,0,211771,13129,3172,2377,1411,3172,2374,1401,93,100,0,500,3389;
@400000005e69eb2826c4c252 #d,-,18,3172,2376,1409,123,0,212017,13145,3172,2377,1412,3172,2375,1401,93,100,0,500,3386;
@400000005e69eb2826ca6f2f #d,-,18,3172,2376,1254,124,0,212148,13153,3172,2377,1634,3172,2373,1254,93,100,0,500,3386;
@400000005e69eb2a26d3bab6 #d,-,18,3242,2377,1414,125,0,212112,13150,3242,2377,1479,3172,2374,1240,93,100,0,500,3460;
@400000005e69eb2a26d9159e #d,-,18,3160,2378,1406,125,0,212213,13157,3242,2379,1414,3160,2377,1400,93,100,0,500,3381;
@400000005e69eb2c26e17a2e #d,-,18,3161,2376,1406,126,0,212314,13163,3161,2378,1410,3160,2376,1403,93,100,0,500,3389;
@400000005e69eb2c26e61182 #d,-,18,3162,2376,1405,127,0,212412,13169,3162,2377,1409,3161,2375,1401,93,100,0,500,3389;
@400000005e69eb2e26f37b4c #d,-,18,3163,2376,1412,128,0,212512,13175,3163,2378,1412,3162,2376,1404,93,100,0,500,3389;
@400000005e69eb2e26fcf0bc #d,-,18,3218,2380,1143,129,0,212426,13170,3218,2380,1623,3163,2375,1005,92,100,0,500,3490;
@400000005e69eb30270c1c59 #d,-,18,2413,2379,1137,130,0,212197,13156,3218,2380,1149,2413,2378,1110,88,100,0,500,2718;
@400000005e69eb3027154faa #d,-,18,2418,2378,1133,130,0,211972,13142,2418,2379,1140,2413,2377,1128,88,100,0,500,2742;
@400000005e69eb3227246e3e #d,-,18,2422,2379,1132,131,0,211750,13128,2422,2379,1134,2418,2377,1129,88,100,0,500,2737;
@400000005e69eb32272e16e7 #d,-,18,2427,2377,1130,132,0,211531,13114,2427,2380,1134,2422,2377,1130,88,100,0,500,2739;
@400000005e69eb34273d7889 #d,-,18,2430,2378,1135,132,0,211445,13109,2430,2379,1135,2427,2377,1128,88,100,0,500,2737;
@400000005e69eb342746c7ca #d,-,18,2433,2379,1132,133,0,211101,13088,2433,2380,1135,2430,2378,1130,88,100,0,500,2737;
@400000005e69eb362756446e #d,-,18,2436,2377,1132,134,0,210889,13075,2436,2379,1135,2433,2376,1130,88,100,0,500,2739;
@400000005e69eb36275f7b78 #d,-,18,2439,2378,1134,134,0,210680,13062,2439,2378,1136,2436,2376,1130,89,100,0,500,2739;
@400000005e69eb3827696ae9 #d,-,18,2441,2380,1131,135,0,210474,13049,2441,2380,1136,2439,2378,1130,89,100,0,500,2739;
@400000005e69eb38276edd1a #d,-,18,2577,2377,1365,136,0,210464,13048,2577,2380,1399,2441,2377,1130,92,100,0,500,2796;
@400000005e69eb3a277721ff #d,-,18,3102,2377,1398,137,0,210561,13054,3102,2378,1410,2577,2376,1365,93,100,0,500,3320;
@400000005e69eb3a277bba42 #d,-,18,3108,2378,1401,138,0,210656,13060,3108,2379,1401,3102,2377,1396,92,100,0,500,3372;
@400000005e69eb3c2784cde8 #d,-,18,3114,2377,1400,138,0,210750,13066,3114,2379,1404,3108,2376,1395,92,100,0,500,3374;
@400000005e69eb3c278a5850 #d,-,18,3119,2376,1399,139,0,210841,13072,3119,2377,1404,3114,2376,1397,92,100,0,500,3374;
@400000005e69eb3e279335f2 #d,-,18,3124,2377,1623,140,0,210991,13081,3124,2378,1633,3119,2376,1398,92,100,0,500,3377;
@400000005e69eb3e2797ecf0 #d,-,18,3198,2375,1402,141,0,211049,13085,3198,2378,1623,3124,2375,1221,93,100,0,500,3417;
@400000005e69eb4027a11c87 #d,-,18,3196,2375,1403,142,0,211145,13091,3198,2377,1421,3196,2375,1399,93,100,0,500,3412;
@400000005e69eb4027a69272 #d,-,18,3192,2377,1405,143,0,211237,13096,3196,2377,1407,3192,2375,1401,94,100,0,500,3381;
@400000005e69eb4227b32607 #d,-,18,3190,2376,1405,144,0,211330,13102,3192,2378,1408,3190,2376,1400,94,100,0,500,3386;
@400000005e69eb4227bacabc #d,-,18,3187,2375,1407,145,0,211421,13108,3190,2377,1409,3187,2375,1402,94,100,0,500,3384;
@400000005e69eb4427c438b9 #d,-,18,3284,2377,1473,145,0,211653,13122,3284,2377,1618,3187,2373,1238,95,100,0,500,3448;
