@400000005e69ea8f2d5b1157 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e69ea901baa0457 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e69eb50282f89cf #d,-,18,2455,2376,1133,156,0,211973,13142,2455,2378,1141,2373,2376,1126,89,100,0,500,2742;
@400000005e69eb52283edf55 #d,-,18,2454,2375,1128,157,0,211784,13130,2455,2377,1134,2454,2375,1128,89,100,0,500,2732;
@400000005e69eb5228483250 #d,-,18,2453,2374,1133,158,0,211598,13119,2454,2375,1134,2453,2373,1128,89,100,0,500,2732;
@400000005e69eb5428577bbb #d,-,18,2452,2376,1132,158,0,211415,13107,2453,2376,1134,2452,2372,1129,89,100,0,500,2730;
@400000005e69eb542860cafc #d,-,18,2452,2375,1131,159,0,211233,13096,2452,2377,1135,2452,2375,1127,89,100,0,500,2732;
@400000005e69eb5628709994 #d,-,18,2451,2374,1130,160,0,211052,13085,2452,2376,1133,2451,2373,1128,89,100,0,500,2730;
@400000005e69eb562879f049 #d,-,18,2451,2374,1129,161,0,210874,13074,2451,2374,1133,2451,2372,1129,89,100,0,500,2730;
@400000005e69eb582883239a #d,-,18,2451,2374,1131,161,1,210697,13063,2451,2374,1133,2451,2372,1128,89,100,0,500,2732;
@400000005e69eb582887de52 #d,-,18,2451,2375,1320,162,1,210635,13059,2451,2375,1405,2451,2373,1129,89,100,0,500,2727;
@400000005e69eb5a289027df #d,-,18,3038,2375,1406,163,1,210698,13063,3038,2375,1406,2451,2374,1312,94,100,0,500,3208;
@400000005e69eb5a2894d76a #d,-,18,3144,2375,1403,164,1,210777,13068,3144,2375,1406,3038,2374,1397,93,100,0,500,3360;
@400000005e69eb5c289cf179 #d,-,18,3145,2374,1400,165,1,210855,13073,3145,2375,1405,3144,2374,1397,93,100,0,500,3372;
@400000005e69eb5c28a17da0 #d,-,18,3146,2372,1400,165,1,210932,13077,3146,2374,1407,3145,2371,1396,93,100,0,500,3372;
@400000005e69eb5e28a9682f #d,-,18,3148,2372,1385,166,1,211006,13082,3148,2373,1407,3146,2372,1385,93,100,0,500,3377;
@400000005e69eb5e28adece2 #d,-,18,3276,2374,1460,167,1,211109,13088,3276,2375,1625,3148,2371,1244,94,100,0,500,3455;
@400000005e69eb6028b69fad #d,-,18,3096,2374,1408,168,1,211185,13093,3276,2375,1460,3096,2374,1376,92,100,0,500,3348;
@400000005e69eb6028bbfa95 #d,-,18,3178,2374,1408,169,1,211267,13098,3178,2374,1412,3096,2374,1406,93,100,0,500,3393;
@400000005e69eb6228c52de6 #d,-,18,3177,2373,1410,170,1,211448,13109,3178,2374,1412,3177,2373,1406,93,100,0,500,3386;
@400000005e69eb6228cb01e1 #d,-,18,3177,2373,1410,171,1,211527,13114,3177,2374,1413,3177,2372,1405,93,100,0,500,3391;
@400000005e69eb6428d43d93 #d,-,18,3177,2374,1287,172,1,211528,13114,3177,2374,1639,3177,2372,1287,93,100,0,500,3389;
@400000005e69eb6428d97d79 #d,-,18,3246,2372,1414,173,1,211602,13119,3246,2375,1479,3177,2371,1248,93,100,0,500,3460;
@400000005e69eb6628e1b643 #d,-,18,3154,2372,1411,173,1,211676,13123,3246,2373,1414,3154,2371,1397,93,100,0,500,3381;
@400000005e69eb6628e64712 #d,-,18,3155,2371,1408,174,1,211749,13128,3155,2373,1411,3154,2371,1400,93,100,0,500,3386;
@400000005e69eb6828f1564b #d,-,18,3157,2372,1412,175,1,211922,13139,3157,2372,1413,3155,2370,1400,93,100,0,500,3381;
@400000005e69eb6828f8adb3 #d,-,18,3159,2373,1419,176,1,211997,13143,3159,2373,1419,3157,2372,1405,93,100,0,500,3384;
@400000005e69eb6a29021bb0 #d,-,18,3228,2372,1383,177,1,211991,13143,3228,2373,1637,3159,2371,1259,92,100,0,500,3483;
@400000005e69eb6a2907285d #d,-,18,3222,2371,1413,178,1,212063,13147,3228,2372,1423,3222,2370,1380,95,100,0,500,3363;
@400000005e69eb6c2910ecf7 #d,-,18,3168,2370,1412,179,1,212134,13152,3222,2371,1413,3168,2370,1402,93,100,0,500,3386;
@400000005e69eb6c29163451 #d,-,18,3168,2369,1410,180,1,212206,13156,3168,2371,1412,3168,2369,1406,93,100,0,500,3384;
@400000005e69eb6e2924039e #d,-,18,3168,2371,1407,180,1,212274,13161,3168,2371,1410,3168,2369,1405,93,100,0,500,3384;
@400000005e69eb6e292d36ee #d,-,18,3170,2373,1034,181,1,212297,13162,3170,2373,1640,3168,2370,1022,93,100,0,500,3386;
@400000005e69eb70293cb392 #d,-,18,2725,2372,1134,182,1,212143,13152,3170,2373,1187,2725,2371,1034,88,100,0,500,3071;
@400000005e69eb702945ea9c #d,-,18,2457,2371,1136,183,1,211983,13142,2725,2372,1136,2457,2371,1131,90,100,0,500,2730;
@400000005e69eb722955ae08 #d,-,18,2456,2372,1136,183,1,211824,13133,2457,2372,1137,2456,2371,1132,89,100,0,500,2732;
@400000005e69eb72295f0876 #d,-,18,2456,2370,1132,184,1,211665,13123,2456,2373,1138,2456,2370,1131,89,100,0,500,2732;
@400000005e69eb74296eb853 #d,-,18,2456,2371,1133,185,1,211509,13113,2456,2371,1137,2456,2369,1131,89,100,0,500,2734;
@400000005e69eb742977d815 #d,-,18,2456,2370,1131,185,1,211354,13103,2456,2371,1138,2456,2369,1131,89,100,0,500,2734;
@400000005e69eb7629865eda #d,-,18,2456,2370,1134,186,1,211201,13094,2456,2371,1136,2456,2369,1131,89,100,0,500,2734;
@400000005e69eb76298ff7ae #d,-,18,2456,2372,1136,187,1,211049,13085,2456,2372,1138,2456,2370,1131,89,100,0,500,2732;
@400000005e69eb782999b88f #d,-,18,2456,2372,1132,187,1,210898,13075,2456,2373,1136,2456,2372,1132,89,100,0,500,2732;
@400000005e69eb78299f075b #d,-,18,2455,2371,1389,188,1,210823,13071,2456,2373,1405,2455,2371,1130,89,100,0,500,2732;
@400000005e69eb7a29a8a891 #d,-,18,2938,2371,1400,189,1,210872,13074,2938,2372,1414,2455,2371,1322,94,100,0,500,3121;
@400000005e69eb7a29ad4847 #d,-,18,3160,2369,1405,190,1,210940,13078,3160,2371,1408,2938,2369,1400,93,100,0,500,3370;
@400000005e69eb7c29b5660f #d,-,18,3159,2370,1403,191,1,211007,13082,3160,2370,1406,3159,2367,1400,93,100,0,500,3372;
@400000005e69eb7c29ba10f2 #d,-,18,3159,2371,1405,192,1,211073,13086,3159,2371,1407,3159,2369,1399,93,100,0,500,3370;
@400000005e69eb7e29c21c1a #d,-,18,3159,2371,1401,193,1,211138,13090,3159,2372,1407,3159,2370,1394,93,100,0,500,3372;
@400000005e69eb7e29c75846 #d,-,18,3298,2369,1472,193,1,211232,13096,3298,2371,1637,3159,2368,1249,95,100,0,500,3469;
@400000005e69eb8029cf813b #d,-,18,3102,2371,1412,194,1,211299,13100,3298,2371,1472,3102,2369,1380,92,100,0,500,3363;
@400000005e69eb8029d415c4 #d,-,18,3184,2370,1409,195,1,211370,13104,3184,2372,1417,3102,2369,1407,93,100,0,500,3398;
@400000005e69eb8229dca52b #d,-,18,3183,2373,1414,196,1,211441,13109,3184,2373,1414,3183,2370,1407,93,100,0,500,3391;
@400000005e69eb8229e22377 #d,-,18,3182,2373,1411,197,1,211510,13113,3183,2373,1415,3182,2372,1406,93,100,0,500,3391;
@400000005e69eb8429ea8bc0 #d,-,18,3181,2374,1266,198,1,211595,13118,3182,2374,1636,3181,2371,1266,93,100,0,500,3393;
@400000005e69eb8429ef986d #d,-,18,3246,2373,1423,199,1,211663,13123,3246,2374,1490,3181,2372,1234,93,100,0,500,3460;
@400000005e69eb8629f91286 #d,-,18,3164,2373,1410,200,1,211730,13127,3246,2373,1423,3164,2372,1405,93,100,0,500,3389;
@400000005e69eb8629fe6d6e #d,-,18,3166,2374,1408,200,1,211798,13131,3166,2374,1414,3164,2372,1408,93,100,0,500,3396;
@400000005e69eb882a0a639e #d,-,18,3167,2375,1404,201,1,211864,13135,3167,2375,1411,3166,2372,1404,93,100,0,500,3391;
@400000005e69eb882a1262aa #d,-,18,3168,2375,1439,202,1,211933,13139,3168,2376,1439,3167,2375,1399,93,100,0,500,3389;
@400000005e69eb8a2a1bd909 #d,-,18,3222,2377,1384,203,1,212010,13144,3222,2377,1631,3168,2374,1240,92,100,0,500,3479;
@400000005e69eb8a2a217257 #d,-,18,3217,2375,1407,204,1,212072,13148,3222,2377,1422,3217,2375,1378,95,100,0,500,3365;
@400000005e69eb8c2a2aad1b #d,-,18,3164,2374,1409,205,1,212135,13152,3217,2375,1413,3164,2374,1403,93,100,0,500,3384;
@400000005e69eb8c2a306e75 #d,-,18,3165,2373,1406,206,1,212198,13156,3165,2374,1413,3164,2373,1405,93,100,0,500,3391;
@400000005e69eb8e2a3c1a24 #d,-,18,3166,2373,1405,206,1,212258,13160,3166,2374,1411,3165,2373,1403,93,100,0,500,3389;
@400000005e69eb8e2a43b3ac #d,-,18,3167,2376,978,207,1,212277,13161,3167,2376,1617,3166,2371,978,93,100,0,500,3384;
@400000005e69eb902a52c713 #d,-,18,2737,2375,1137,208,1,212143,13152,3167,2376,1203,2737,2374,978,88,100,0,500,3076;
@400000005e69eb902a5bfe1d #d,-,18,2451,2376,1133,209,1,212003,13144,2737,2376,1137,2451,2374,1132,89,100,0,500,2732;
@400000005e69eb922a6afa3b #d,-,18,2451,2378,1135,209,1,211864,13135,2451,2378,1136,2451,2376,1131,89,100,0,500,2737;
@400000005e69eb922a74a2e5 #d,-,18,2452,2377,1134,210,1,211725,13126,2452,2378,1136,2451,2377,1131,89,100,0,500,2739;
@400000005e69eb942a83fd13 #d,-,18,2452,2375,1134,211,1,211588,13118,2452,2377,1135,2452,2374,1131,89,100,0,500,2739;
@400000005e69eb942a8d53c8 #d,-,18,2452,2374,1134,211,1,211452,13110,2452,2376,1135,2452,2374,1131,89,100,0,500,2734;
@400000005e69eb962a9d39a9 #d,-,18,2453,2375,1130,212,1,211316,13101,2453,2375,1135,2452,2374,1130,89,100,0,500,2737;
@400000005e69eb962aa66cf9 #d,-,18,2453,2378,1132,213,1,211182,13093,2453,2378,1134,2453,2375,1128,89,100,0,500,2734;
@400000005e69eb982ab0be34 #d,-,18,2452,2377,1130,213,1,211047,13084,2453,2378,1135,2452,2377,1128,89,100,0,500,2734;
@400000005e69eb982ab6e424 #d,-,18,2452,2378,1404,214,1,210967,13079,2452,2379,1404,2452,2377,1129,89,100,0,500,2734;
@400000005e69eb9a2abfdcc8 #d,-,18,2890,2378,1395,215,1,211009,13082,2890,2378,1411,2452,2377,1316,93,100,0,500,3083;
@400000005e69eb9a2ac56ae9 #d,-,18,3160,2377,1396,216,1,211068,13086,3160,2378,1406,2890,2377,1395,93,100,0,500,3372;
@400000005e69eb9c2ace6747 #d,-,18,3159,2378,1402,217,1,211127,13089,3160,2378,1403,3159,2377,1396,93,100,0,500,3374;
@400000005e69eb9c2ad40184 #d,-,18,3159,2377,1406,218,1,211185,13093,3159,2378,1407,3159,2377,1394,93,100,0,500,3374;
@400000005e69eb9e2add6365 #d,-,18,3159,2378,1404,219,1,211243,13097,3159,2378,1406,3159,2376,1394,93,100,0,500,3374;
@400000005e69eb9e2ae27fe7 #d,-,18,3294,2378,1470,219,1,211322,13101,3294,2379,1622,3159,2377,1229,94,100,0,500,3476;
@400000005e69eba02aeb1b6a #d,-,18,3092,2376,1409,220,1,211380,13105,3294,2378,1470,3092,2376,1375,92,100,0,500,3348;
@400000005e69eba02af062c3 #d,-,18,3178,2376,1407,221,1,211441,13109,3178,2377,1413,3092,2375,1403,93,100,0,500,3396;
@400000005e69eba22af920bb #d,-,18,3178,2377,1406,222,1,211503,13113,3178,2377,1410,3178,2376,1405,93,100,0,500,3391;
@400000005e69eba22afeaedc #d,-,18,3178,2376,1406,223,1,211563,13116,3178,2377,1411,3178,2376,1404,93,100,0,500,3393;
@400000005e69eba42b0745b6 #d,-,18,3178,2378,1260,224,1,211638,13121,3178,2378,1624,3178,2375,1260,93,100,0,500,3393;
@400000005e69eba42b0bf8fb #d,-,18,3240,2377,1420,225,1,211698,13125,3240,2378,1484,3178,2377,1233,93,100,0,500,3460;
@400000005e69eba62b142efa #d,-,18,3166,2376,1409,226,1,211756,13128,3240,2378,1420,3166,2376,1399,93,100,0,500,3389;
@400000005e69eba62b18ceb0 #d,-,18,3167,2378,1405,227,1,211892,13137,3167,2379,1413,3166,2376,1405,93,100,0,500,3393;
@400000005e69eba82b23697e #d,-,18,3169,2378,1407,227,1,211951,13141,3169,2378,1413,3167,2377,1405,93,100,0,500,3396;
@400000005e69eba82b2abff8 #d,-,18,3170,2377,1461,228,1,212014,13144,3170,2378,1461,3169,2377,1403,93,100,0,500,3393;
@400000005e69ebaa2b333f8a #d,-,18,3174,2375,1381,229,1,212076,13148,3174,2377,1615,3170,2374,1238,91,100,0,500,3462;
@400000005e69ebaa2b37f2cf #d,-,18,3176,2375,1407,230,1,212057,13147,3176,2376,1421,3174,2374,1379,94,100,0,500,3372;
@400000005e69ebac2b3ff595 #d,-,18,3176,2375,1409,231,1,212189,13155,3176,2376,1411,3176,2375,1407,93,100,0,500,3391;
@400000005e69ebac2b449191 #d,-,18,3175,2375,1408,232,1,212170,13154,3176,2375,1412,3175,2374,1406,93,100,0,500,3391;
@400000005e69ebae2b4feff3 #d,-,18,3175,2377,1402,233,1,212299,13162,3175,2377,1411,3175,2375,1402,93,100,0,500,3393;
@400000005e69ebae2b575289 #d,-,18,3179,2378,1040,234,1,212224,13157,3179,2379,1614,3175,2376,979,93,100,0,500,3396;
@400000005e69ebb02b6684ab #d,-,18,2639,2375,1129,234,1,212107,13150,3179,2379,1203,2639,2375,1040,87,100,0,500,3012;
@400000005e69ebb02b6faccf #d,-,18,2457,2377,1132,235,1,211981,13142,2639,2377,1136,2457,2375,1128,89,100,0,500,2734;
@400000005e69ebb22b7ea8ed #d,-,18,2456,2376,1130,236,1,211856,13135,2457,2377,1135,2456,2375,1127,89,100,0,500,2732;
@400000005e69ebb22b885550 #d,-,18,2455,2377,1129,236,1,211732,13127,2456,2377,1133,2455,2376,1129,89,100,0,500,2734;
@400000005e69ebb42b979b01 #d,-,18,2455,2378,1132,237,1,211609,13119,2455,2378,1132,2455,2377,1128,89,100,0,500,2732;
@400000005e69ebb42ba0de27 #d,-,18,2454,2378,1132,238,1,211486,13112,2455,2378,1133,2454,2378,1126,89,100,0,500,2732;
@400000005e69ebb62bafddff #d,-,18,2453,2377,1131,238,1,211364,13104,2454,2378,1133,2453,2377,1127,89,100,0,500,2730;
@400000005e69ebb62bb90622 #d,-,18,2453,2377,1129,239,1,211243,13097,2453,2378,1133,2453,2376,1129,89,100,0,500,2734;
@400000005e69ebb82bc30cdc #d,-,18,2453,2375,1132,240,1,211123,13089,2453,2378,1133,2453,2374,1127,89,100,0,500,2730;
@400000005e69ebb82bc942a0 #d,-,18,2452,2374,1387,240,1,211064,13086,2453,2375,1403,2452,2373,1128,89,100,0,500,2732;
@400000005e69ebba2bd1703d #d,-,18,2948,2374,1397,241,1,211103,13088,2948,2374,1418,2452,2372,1320,94,100,0,500,3130;
@400000005e69ebba2bd6423e #d,-,18,3162,2373,1402,242,1,211156,13091,3162,2374,1408,2948,2373,1397,93,100,0,500,3374;
@400000005e69ebbc2bdeae41 #d,-,18,3161,2373,1402,243,1,211207,13094,3162,2374,1404,3161,2372,1399,93,100,0,500,3367;
@400000005e69ebbc2be388a3 #d,-,18,3160,2372,1400,244,1,211258,13098,3161,2374,1404,3160,2371,1399,93,100,0,500,3372;
@400000005e69ebbe2beccbc9 #d,-,18,3159,2374,1400,245,1,211309,13101,3160,2374,1405,3159,2371,1396,93,100,0,500,3372;
@400000005e69ebbe2bf25277 #d,-,18,3296,2373,1465,246,1,211381,13105,3296,2374,1641,3159,2372,1229,94,100,0,500,3481;
@400000005e69ebc02bfb5af0 #d,-,18,3096,2373,1416,247,1,211433,13108,3296,2374,1465,3096,2371,1377,92,100,0,500,3344;
@400000005e69ebc02c0112fa #d,-,18,3184,2372,1410,247,1,211560,13116,3184,2374,1419,3096,2372,1406,93,100,0,500,3400;
@400000005e69ebc22c0a3764 #d,-,18,3183,2375,1413,248,1,211614,13120,3184,2375,1413,3183,2372,1407,93,100,0,500,3396;
@400000005e69ebc22c0fa221 #d,-,18,3183,2375,1409,249,1,211600,13119,3183,2375,1414,3183,2374,1403,93,100,0,500,3393;
@400000005e69ebc42c18e18d #d,-,18,3183,2373,1232,250,1,211732,13127,3183,2375,1639,3183,2371,1232,93,100,0,500,3393;
@400000005e69ebc42c1e252d #d,-,18,3240,2372,1414,251,1,211719,13126,3240,2373,1482,3183,2371,1230,93,100,0,500,3460;
@400000005e69ebc62c2763ab #d,-,18,3158,2372,1407,252,1,211770,13129,3240,2373,1414,3158,2372,1397,93,100,0,500,3377;
@400000005e69ebc62c2d2505 #d,-,18,3159,2373,1409,253,1,211890,13137,3159,2373,1413,3158,2372,1406,93,100,0,500,3386;
@400000005e69ebc82c385b5b #d,-,18,3161,2374,1407,254,1,211942,13140,3161,2375,1413,3159,2373,1406,93,100,0,500,3389;
@400000005e69ebc82c3fc299 #d,-,18,3162,2376,1461,255,1,211997,13143,3162,2377,1461,3161,2374,1405,93,100,0,500,3391;
@400000005e69ebca2c482e9c #d,-,18,3166,2377,1369,255,1,211984,13143,3166,2377,1633,3162,2375,1208,91,100,0,500,3457;
@400000005e69ebca2c4cb709 #d,-,18,3170,2376,1406,256,1,212036,13146,3170,2377,1427,3166,2376,1369,93,100,0,500,3377;
@400000005e69ebcc2c55da85 #d,-,18,3171,2374,1410,257,1,212088,13149,3171,2376,1414,3170,2374,1403,93,100,0,500,3386;
@400000005e69ebcc2c5b73d3 #d,-,18,3171,2375,1406,258,1,212138,13152,3171,2375,1414,3171,2374,1404,93,100,0,500,3393;
@400000005e69ebce2c684126 #d,-,18,3172,2375,1411,259,1,212190,13155,3172,2376,1413,3171,2374,1406,93,100,0,500,3393;
@400000005e69ebce2c715974 #d,-,18,3224,2377,1127,260,1,212193,13155,3224,2378,1620,3172,2373,1028,94,100,0,500,3408;
@400000005e69ebd02c801ae6 #d,-,18,2627,2379,1133,260,1,212086,13149,3224,2379,1209,2627,2376,1103,87,100,0,500,3007;
@400000005e69ebd02c89c749 #d,-,18,2461,2380,1133,261,1,211974,13142,2627,2380,1139,2461,2378,1127,89,100,0,500,2737;
@400000005e69ebd22c99c91b #d,-,18,2460,2381,1130,262,1,211862,13135,2461,2381,1134,2460,2380,1129,89,100,0,500,2737;
@400000005e69ebd22ca32743 #d,-,18,2459,2380,1132,262,1,211751,13128,2460,2381,1135,2459,2378,1127,89,100,0,500,2737;
@400000005e69ebd42cb31586 #d,-,18,2459,2378,1130,263,1,211641,13121,2459,2380,1134,2459,2378,1128,89,100,0,500,2734;
@400000005e69ebd42cbc48d6 #d,-,18,2458,2378,1133,264,1,211531,13114,2459,2379,1135,2458,2377,1128,89,100,0,500,2734;
@400000005e69ebd62ccc13b5 #d,-,18,2458,2376,1130,265,1,211422,13108,2458,2378,1134,2458,2376,1129,89,100,0,500,2734;
@400000005e69ebd62cd5865a #d,-,18,2457,2376,1133,265,1,211314,13101,2458,2377,1135,2457,2375,1129,89,100,0,500,2734;
@400000005e69ebd82cdf59db #d,-,18,2457,2376,1132,266,1,211206,13094,2457,2376,1135,2457,2375,1129,89,100,0,500,2737;
@400000005e69ebd82ce4c852 #d,-,18,2456,2376,1373,267,1,211158,13091,2457,2376,1405,2456,2375,1130,89,100,0,500,2737;
@400000005e69ebda2cedf075 #d,-,18,2998,2377,1404,268,1,211198,13094,2998,2377,1407,2456,2376,1347,94,100,0,500,3173;
@400000005e69ebda2cf36ec1 #d,-,18,3152,2377,1397,268,1,211244,13097,3152,2378,1404,2998,2376,1396,93,100,0,500,3372;
@400000005e69ebdc2cfb8516 #d,-,18,3152,2376,1403,269,1,211291,13100,3152,2377,1405,3152,2376,1395,93,100,0,500,3372;
@400000005e69ebdc2d002ff9 #d,-,18,3153,2376,1402,270,1,211337,13102,3153,2377,1405,3152,2375,1394,93,100,0,500,3374;
@400000005e69ebde2d085d96 #d,-,18,3154,2376,1399,271,1,211385,13105,3154,2377,1408,3153,2375,1396,93,100,0,500,3377;
@400000005e69ebde2d0d2bdd #d,-,18,3298,2375,1452,272,1,211450,13109,3298,2376,1632,3154,2374,1240,94,100,0,500,3493;
@400000005e69ebe02d166f03 #d,-,18,3104,2375,1414,273,1,211498,13112,3298,2375,1452,3104,2374,1379,92,100,0,500,3346;
@400000005e69ebe02d1c0497 #d,-,18,3184,2377,1414,274,1,211548,13116,3184,2377,1416,3104,2375,1407,93,100,0,500,3403;
@400000005e69ebe22d2563ad #d,-,18,3183,2376,1411,275,1,211598,13119,3184,2377,1414,3183,2376,1407,93,100,0,500,3396;
@400000005e69ebe22d2ad224 #d,-,18,3183,2375,1411,275,1,211647,13122,3183,2379,1415,3183,2375,1407,93,100,0,500,3398;
@400000005e69ebe42d344c3d #d,-,18,3182,2378,1238,276,1,211703,13125,3183,2378,1627,3182,2375,1238,93,100,0,500,3398;
@400000005e69ebe42d39dd29 #d,-,18,3238,2378,1408,277,1,211756,13128,3238,2378,1487,3182,2376,1238,93,100,0,500,3464;
@400000005e69ebe62d42caa0 #d,-,18,3166,2378,1410,278,1,211804,13131,3238,2379,1415,3166,2378,1397,93,100,0,500,3381;
@400000005e69ebe62d478a01 #d,-,18,3167,2378,1408,279,1,211850,13134,3167,2378,1411,3166,2378,1400,93,100,0,500,3393;
@400000005e69ebe82d524744 #d,-,18,3168,2376,1410,280,1,211899,13137,3168,2379,1413,3167,2376,1405,93,100,0,500,3393;
@400000005e69ebe82d5a4297 #d,-,18,3169,2375,1468,281,1,212011,13144,3169,2377,1468,3168,2375,1405,93,100,0,500,3396;
@400000005e69ebea2d63df24 #d,-,18,3173,2376,1374,282,1,212001,13144,3173,2377,1627,3169,2375,1232,91,100,0,500,3467;
@400000005e69ebea2d6974b9 #d,-,18,3176,2379,1409,283,1,212109,13150,3176,2379,1424,3173,2376,1373,93,100,0,500,3379;
@400000005e69ebec2d71be46 #d,-,18,3176,2379,1403,283,1,212095,13149,3176,2379,1415,3176,2378,1400,93,100,0,500,3396;
@400000005e69ebec2d764a6e #d,-,18,3176,2379,1410,284,1,212141,13152,3176,2380,1413,3176,2379,1401,93,100,0,500,3393;
@400000005e69ebee2d7e4d33 #d,-,18,3176,2378,1399,285,1,212186,13155,3176,2380,1413,3176,2378,1398,93,100,0,500,3391;
@400000005e69ebee2d85f1e9 #d,-,18,3179,2380,1032,286,1,212192,13155,3179,2380,1607,3176,2376,1003,93,100,0,500,3400;
@400000005e69ebf02d9357f8 #d,-,18,2673,2378,1146,287,1,212097,13150,3179,2380,1201,2673,2378,1032,88,100,0,500,3035;
@400000005e69ebf02d9c3954 #d,-,18,2457,2379,1126,287,1,211993,13143,2673,2380,1146,2457,2378,1115,90,100,0,500,2730;
@400000005e69ebf22da9ae4b #d,-,18,2455,2381,1126,288,1,211889,13137,2457,2381,1136,2455,2379,1121,89,100,0,500,2734;
@400000005e69ebf22db23db1 #d,-,18,2453,2382,1121,289,1,211785,13130,2455,2382,1129,2453,2381,1121,90,100,0,500,2723;
@400000005e69ebf42dbfd252 #d,-,18,2451,2382,1126,289,1,211682,13124,2453,2382,1128,2451,2381,1120,89,100,0,500,2725;
@400000005e69ebf42dc8e6e7 #d,-,18,2450,2381,1122,290,1,211578,13117,2451,2382,1127,2450,2381,1118,90,100,0,500,2720;
@400000005e69ebf62dd75dd7 #d,-,18,2448,2378,1126,291,1,211475,13111,2450,2381,1129,2448,2377,1118,90,100,0,500,2720;
@400000005e69ebf62de00486 #d,-,18,2446,2378,1123,291,1,211372,13105,2448,2379,1128,2446,2378,1118,89,100,0,500,2720;
@400000005e69ebf82de97e9f #d,-,18,2445,2380,1120,292,1,211269,13098,2446,2380,1128,2445,2378,1119,89,100,0,500,2718;
@400000005e69ebf82dee8792 #d,-,18,2443,2378,1383,293,1,211221,13095,2445,2381,1402,2443,2377,1120,89,100,0,500,2720;
@400000005e69ebfa2df6c504 #d,-,18,2954,2378,1384,294,1,211248,13097,2954,2379,1403,2443,2376,1317,94,100,0,500,3133;
@400000005e69ebfa2dfb589f #d,-,18,3134,2377,1398,295,1,211289,13099,3134,2378,1402,2954,2377,1384,93,100,0,500,3353;
@400000005e69ebfc2e03a9a0 #d,-,18,3136,2380,1396,295,1,211330,13102,3136,2380,1403,3134,2377,1392,93,100,0,500,3370;
@400000005e69ebfc2e08c9db #d,-,18,3138,2379,1398,296,1,211372,13105,3138,2380,1405,3136,2379,1396,93,100,0,500,3374;
@400000005e69ebfe2e122cab #d,-,18,3141,2377,1404,297,1,211415,13107,3141,2379,1405,3138,2377,1396,93,100,0,500,3374;
@400000005e69ebfe2e17dd42 #d,-,18,3254,2375,1462,298,1,211471,13111,3254,2377,1641,3141,2375,1245,95,100,0,500,3422;
@400000005e69ec002e215ece #d,-,18,3134,2377,1406,299,1,211516,13114,3254,2377,1477,3134,2374,1372,91,100,0,500,3415;
@400000005e69ec002e269afa #d,-,18,3186,2378,1409,300,1,211562,13116,3186,2378,1412,3134,2377,1403,93,100,0,500,3396;
@400000005e69ec022e2ffdca #d,-,18,3185,2378,1408,301,1,211665,13123,3186,2379,1414,3185,2378,1405,93,100,0,500,3393;
@400000005e69ec022e35e553 #d,-,18,3184,2376,1409,301,1,211709,13126,3185,2378,1413,3184,2375,1405,93,100,0,500,3398;
@400000005e69ec042e3e22c5 #d,-,18,3183,2376,1538,302,1,211722,13126,3184,2376,1630,3183,2375,1407,93,100,0,500,3396;
@400000005e69ec042e42a68b #d,-,18,3189,2376,1420,303,1,211807,13132,3189,2377,1538,3183,2373,1243,92,100,0,500,3441;
@400000005e69ec062e4b9f2f #d,-,18,3187,2376,1406,304,1,211795,13131,3189,2377,1426,3187,2376,1403,93,100,0,500,3408;
@400000005e69ec062e50fb06 #d,-,18,3186,2374,1411,305,1,211837,13133,3187,2377,1414,3186,2374,1402,93,100,0,500,3393;
@400000005e69ec082e5c8bb2 #d,-,18,3185,2373,1411,306,1,211881,13136,3186,2375,1414,3185,2373,1404,93,100,0,500,3393;
@400000005e69ec082e63c72b #d,-,18,3184,2375,1408,307,1,211925,13139,3185,2376,1414,3184,2372,1407,93,100,0,500,3396;
@400000005e69ec0a2e6da6c7 #d,-,18,3310,2373,1471,308,1,211980,13142,3310,2376,1629,3184,2373,1243,95,100,0,500,3483;
@400000005e69ec0a2e731184 #d,-,18,3094,2373,1405,309,1,212020,13145,3310,2374,1471,3094,2372,1381,92,100,0,500,3358;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
