@400000005e5776cf2b1dfb07 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5776d0196d3f0d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5776fc21806a3c #d,-,18,4495,2349,1960,33,0,203988,12647,4496,2350,1964,4495,2348,1951,96,100,0,500,4638;
@400000005e5776fc218c4dcc #d,-,18,4495,2348,1965,34,0,206742,12818,4495,2350,1965,4495,2348,1949,96,100,0,500,4640;
@400000005e5776fe219f260c #d,-,18,4497,2350,1959,35,0,209378,12981,4497,2350,1968,4495,2348,1953,96,100,0,500,4657;
@400000005e5776fe21ac0aa8 #d,-,18,4497,2349,1956,36,0,211882,13136,4497,2350,1964,4497,2349,1953,96,100,0,500,4652;
@400000005e57770021bf28c1 #d,-,18,4496,2349,1952,38,0,214257,13283,4497,2350,1956,4496,2349,1946,96,100,0,500,4638;
@400000005e57770021cabe16 #d,-,18,4495,2349,1956,39,0,216546,13425,4496,2350,1959,4495,2349,1942,96,100,0,500,4635;
@400000005e57770221de7133 #d,-,18,4493,2349,1957,40,0,218720,13560,4495,2350,1957,4493,2349,1942,97,100,0,500,4630;
@400000005e57770221eb03d9 #d,-,18,4492,2348,1952,41,0,220824,13691,4493,2349,1959,4492,2348,1946,96,100,0,500,4633;
@400000005e57770421f68d12 #d,-,18,4492,2349,1961,43,0,222858,13817,4492,2350,1961,4492,2348,1952,96,100,0,500,4635;
@400000005e57770421fc168c #d,-,18,4494,2349,1950,44,0,224813,13938,4494,2350,1964,4492,2349,1950,96,100,0,500,4652;
@400000005e577706220dc5b4 #d,-,18,4494,2350,1959,45,0,226683,14054,4494,2350,1962,4494,2348,1949,96,100,0,500,4640;
@400000005e577706221a9307 #d,-,18,4493,2350,1958,46,0,228480,14165,4494,2350,1960,4493,2350,1949,96,100,0,500,4635;
@400000005e577708222d6f01 #d,-,18,4493,2350,1963,48,0,230658,14300,4493,2351,1965,4493,2350,1955,96,100,0,500,4642;
@400000005e5777082239a486 #d,-,18,4495,2349,1958,49,0,232340,14405,4495,2351,1965,4493,2348,1954,96,100,0,500,4657;
@400000005e57770a224b673d #d,-,18,4496,2349,1944,50,0,233939,14504,4496,2350,1961,4495,2349,1943,96,100,0,500,4647;
@400000005e57770a2256d0cc #d,-,18,4495,2351,1969,51,0,235109,14576,4496,2351,1969,4495,2348,1944,96,100,0,500,4638;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
