@400000005e7171e10d9d464f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7171e13794ca3a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7172a40b873827 #d,-,18,3022,2393,1206,137,0,183951,11404,3022,2396,1351,2797,2393,1100,92,100,0,500,3265;
@400000005e7172a60b9706c0 #d,-,18,2555,2393,1157,138,0,183944,11404,3022,2394,1206,2555,2393,1146,89,100,0,500,2867;
@400000005e7172a60ba0a708 #d,-,18,2551,2393,1158,139,0,183931,11403,2555,2395,1161,2551,2393,1153,90,100,0,500,2822;
@400000005e7172a80bb14196 #d,-,18,2497,2395,1129,139,0,183895,11401,2551,2395,1159,2497,2393,1122,89,100,0,500,2801;
@400000005e7172a80bbaa378 #d,-,18,2492,2393,1310,140,0,183924,11403,2497,2396,1324,2492,2393,1129,90,100,0,500,2756;
@400000005e7172aa0bcaf73e #d,-,18,2840,2392,1340,141,0,184074,11412,2840,2394,1378,2492,2392,1263,93,100,0,500,3052;
@400000005e7172aa0bd426d5 #d,-,18,2988,2393,1211,142,0,184142,11416,2988,2393,1352,2840,2392,1139,91,100,0,500,3261;
@400000005e7172ac0be36513 #d,-,18,2627,2394,1179,142,0,184156,11417,2988,2395,1211,2627,2392,1167,90,100,0,500,2910;
@400000005e7172ac0bed1d91 #d,-,18,2621,2393,1177,143,0,184162,11418,2627,2395,1180,2621,2393,1174,91,100,0,500,2867;
@400000005e7172ae0bfd6d9e #d,-,18,2523,2393,1135,144,0,184125,11415,2621,2395,1177,2523,2393,1115,89,100,0,500,2822;
@400000005e7172ae0c06b47e #d,-,18,2467,2395,1062,144,0,184049,11411,2523,2396,1136,2467,2393,1034,89,100,0,500,2761;
@400000005e7172b00c14b615 #d,-,18,2339,2394,1149,145,0,184015,11408,2467,2396,1166,2339,2394,1062,88,100,0,500,2642;
@400000005e7172b00c1d457c #d,-,18,2485,2393,1122,146,0,183974,11406,2485,2395,1149,2339,2393,1111,89,100,0,500,2789;
@400000005e7172b20c2c1309 #d,-,18,2423,2395,1132,146,0,184021,11409,2485,2395,1141,2423,2393,1117,88,100,0,500,2727;
@400000005e7172b20c3526b0 #d,-,18,2425,2395,1125,147,0,183974,11406,2425,2395,1132,2423,2395,1114,88,100,0,500,2742;
@400000005e7172b40c42a7c1 #d,-,18,2425,2393,1115,148,0,183838,11397,2425,2396,1125,2425,2393,1115,88,100,0,500,2727;
@400000005e7172b40c4b66a8 #d,-,18,2425,2395,1123,149,0,183880,11400,2425,2395,1123,2425,2393,1113,88,100,0,500,2730;
@400000005e7172b60c58d42b #d,-,18,2425,2395,1115,149,0,183747,11392,2425,2396,1123,2425,2395,1114,88,100,0,500,2725;
@400000005e7172b60c617e94 #d,-,18,2426,2395,1119,150,0,183701,11389,2426,2396,1122,2425,2394,1114,89,100,0,500,2725;
@400000005e7172b80c707e6b #d,-,18,2425,2394,1116,151,0,183654,11386,2426,2395,1122,2425,2394,1114,88,100,0,500,2725;
@400000005e7172b80c79118c #d,-,18,2425,2394,1118,151,0,183609,11383,2425,2395,1121,2425,2394,1115,88,100,0,500,2725;
@400000005e7172ba0c8774ee #d,-,18,2425,2395,1120,152,0,183563,11380,2425,2396,1123,2425,2394,1117,88,100,0,500,2725;
@400000005e7172ba0c908982 #d,-,18,2424,2396,1114,153,0,183517,11378,2425,2396,1121,2424,2395,1114,88,100,0,500,2725;
@400000005e7172bc0c9fbc93 #d,-,18,2424,2393,1121,153,0,183473,11375,2424,2396,1122,2424,2393,1114,88,100,0,500,2725;
@400000005e7172bc0ca84752 #d,-,18,2423,2393,1116,154,0,183427,11372,2424,2396,1123,2423,2393,1113,88,100,0,500,2725;
@400000005e7172be0cb5e80e #d,-,18,2423,2393,1117,155,0,183383,11369,2423,2395,1124,2423,2393,1112,88,100,0,500,2725;
@400000005e7172be0cbec96a #d,-,18,2423,2394,1117,155,0,183339,11367,2423,2394,1121,2423,2393,1111,89,100,0,500,2718;
@400000005e7172c00cce65b8 #d,-,18,2423,2394,1115,156,0,183295,11364,2423,2395,1121,2423,2394,1113,88,100,0,500,2723;
@400000005e7172c00cd7cb53 #d,-,18,2573,2393,1366,157,0,183392,11370,2573,2395,1366,2423,2393,1114,91,100,0,500,2810;
@400000005e7172c20ce88945 #d,-,18,2962,2392,1214,158,0,183522,11378,2962,2393,1375,2573,2391,1214,92,100,0,500,3201;
@400000005e7172c20cf26080 #d,-,18,2783,2394,1210,158,0,183549,11380,2962,2394,1234,2783,2392,1147,90,100,0,500,3066;
@400000005e7172c40d036bbf #d,-,18,2619,2394,1176,159,0,183556,11380,2783,2395,1210,2619,2393,1170,90,100,0,500,2907;
@400000005e7172c40d0cb658 #d,-,18,2615,2392,1121,160,0,183545,11379,2619,2394,1180,2615,2392,1112,91,100,0,500,2867;
@400000005e7172c60d1dc9f8 #d,-,18,2463,2394,1128,160,0,183592,11382,2615,2394,1134,2463,2392,1121,88,100,0,500,2770;
@400000005e7172c60d271c05 #d,-,18,2599,2393,1369,161,1,183610,11383,2599,2394,1369,2463,2393,1128,91,100,0,500,2839;
@400000005e7172c80d37351f #d,-,18,2970,2392,1195,162,1,183810,11396,2970,2394,1371,2599,2392,1195,92,100,0,500,3208;
@400000005e7172c80d4070d1 #d,-,18,2753,2392,1211,163,1,183751,11392,2970,2393,1248,2753,2391,1097,90,100,0,500,3035;
@400000005e7172ca0d4d93d3 #d,-,18,2601,2392,1162,163,1,183744,11392,2753,2393,1211,2601,2391,1142,89,100,0,500,2898;
@400000005e7172ca0d56752f #d,-,18,2539,2393,1127,164,1,183722,11390,2601,2393,1162,2539,2391,1118,89,100,0,500,2822;
@400000005e7172cc0d67c736 #d,-,18,2453,2394,1126,165,1,183766,11393,2539,2394,1130,2453,2393,1124,89,100,0,500,2756;
@400000005e7172cc0d7101f9 #d,-,18,2625,2393,1374,166,1,183793,11395,2625,2394,1374,2453,2393,1126,91,100,0,500,2862;
@400000005e7172ce0d807f8c #d,-,18,2972,2392,1162,166,1,183899,11401,2972,2394,1374,2625,2391,1162,92,100,0,500,3206;
@400000005e7172ce0d8a14a6 #d,-,18,2757,2392,1195,167,1,183927,11403,2972,2393,1234,2757,2391,1145,90,100,0,500,3047;
@400000005e7172d00d9b1010 #d,-,18,2615,2394,1177,168,1,183933,11403,2757,2395,1195,2615,2392,1170,90,100,0,500,2900;
@400000005e7172d00da456f0 #d,-,18,2611,2393,1130,169,1,183917,11402,2615,2395,1181,2611,2393,1113,90,100,0,500,2870;
@400000005e7172d20db4d947 #d,-,18,2447,2394,1133,169,1,183883,11400,2611,2395,1133,2447,2393,1122,88,100,0,500,2753;
@400000005e7172d20dbe3fd1 #d,-,18,2637,2395,1366,170,1,183992,11407,2637,2395,1369,2447,2393,1133,91,100,0,500,2877;
@400000005e7172d40dce3941 #d,-,18,2982,2395,1100,171,1,184083,11413,2982,2395,1366,2637,2394,1100,92,100,0,500,3213;
@400000005e7172d40dd77c66 #d,-,18,2723,2393,1200,172,1,184111,11414,2982,2395,1251,2723,2392,1090,90,100,0,500,3019;
@400000005e7172d60de88c4e #d,-,18,2615,2394,1178,172,1,184115,11415,2723,2395,1200,2615,2393,1166,90,100,0,500,2898;
@400000005e7172d60df1e302 #d,-,18,2611,2395,1131,173,1,184099,11414,2615,2396,1179,2611,2394,1112,91,100,0,500,2867;
@400000005e7172d80e028415 #d,-,18,2449,2393,1117,174,1,184063,11411,2611,2396,1133,2449,2393,1117,88,100,0,500,2758;
@400000005e7172d80e0bd710 #d,-,18,2325,2393,1147,174,1,184053,11411,2449,2395,1148,2325,2393,1017,87,100,0,500,2661;
@400000005e7172da0e1d2cd1 #d,-,18,2383,2395,1123,175,1,183940,11404,2383,2395,1147,2325,2393,1117,89,100,0,500,2670;
@400000005e7172da0e266c3d #d,-,18,2439,2395,1125,176,1,183978,11406,2439,2396,1128,2383,2395,1120,89,100,0,500,2737;
@400000005e7172dc0e37346e #d,-,18,2438,2393,1122,176,1,183942,11404,2439,2395,1128,2438,2393,1121,89,100,0,500,2737;
@400000005e7172dc0e4107ee #d,-,18,2439,2395,1123,177,1,183906,11402,2439,2396,1126,2438,2393,1121,89,100,0,500,2739;
@400000005e7172de0e50cb5a #d,-,18,2439,2394,1125,178,1,183798,11395,2439,2396,1127,2439,2394,1121,89,100,0,500,2739;
@400000005e7172de0e5a220e #d,-,18,2439,2394,1126,178,1,183765,11393,2439,2395,1126,2439,2393,1123,89,100,0,500,2739;
@400000005e7172e00e6b09ea #d,-,18,2439,2395,1128,179,1,183732,11391,2439,2395,1129,2439,2394,1121,89,100,0,500,2739;
@400000005e7172e00e745ce4 #d,-,18,2440,2394,1126,180,1,183697,11389,2440,2396,1128,2439,2394,1123,89,100,0,500,2739;
@400000005e7172e20e848d47 #d,-,18,2440,2394,1126,180,1,183665,11387,2440,2395,1129,2440,2394,1122,88,100,0,500,2742;
@400000005e7172e20e8e420c #d,-,18,2440,2395,1126,181,1,183632,11385,2440,2396,1126,2440,2394,1123,88,100,0,500,2742;
@400000005e7172e40e9f262d #d,-,18,2441,2396,1125,182,1,183600,11383,2441,2396,1129,2440,2395,1124,89,100,0,500,2739;
@400000005e7172e40ea89071 #d,-,18,2441,2394,1125,182,1,183568,11381,2441,2396,1127,2441,2393,1124,88,100,0,500,2744;
@400000005e7172e60eba337e #d,-,18,2441,2393,1125,183,1,183536,11379,2441,2395,1128,2441,2393,1123,89,100,0,500,2742;
@400000005e7172e60ec382bf #d,-,18,2441,2395,1126,184,1,183504,11377,2441,2396,1129,2441,2393,1123,89,100,0,500,2742;
@400000005e7172e80ed37102 #d,-,18,2442,2393,1123,184,1,183473,11375,2442,2396,1128,2441,2392,1123,89,100,0,500,2742;
@400000005e7172e80edcc7b6 #d,-,18,2442,2394,1126,185,1,183442,11373,2442,2394,1130,2442,2393,1123,89,100,0,500,2742;
@400000005e7172ea0eec9296 #d,-,18,2442,2393,1315,186,1,183514,11377,2442,2395,1315,2442,2393,1123,89,100,0,500,2742;
@400000005e7172ea0ef63785 #d,-,18,2749,2392,1332,187,1,183626,11384,2749,2394,1376,2442,2391,1259,92,100,0,500,2979;
@400000005e7172ec0f06b9dd #d,-,18,3042,2395,1245,187,1,183620,11384,3042,2396,1352,2749,2391,1107,93,100,0,500,3268;
@400000005e7172ec0f100cd7 #d,-,18,2623,2394,1156,188,1,183631,11385,3042,2395,1245,2623,2393,1143,89,100,0,500,2929;
@400000005e7172ee0f210841 #d,-,18,2557,2395,1163,189,1,183628,11384,2623,2395,1166,2557,2393,1156,89,100,0,500,2851;
@400000005e7172ee0f2a6ecb #d,-,18,2552,2395,1129,190,1,183605,11383,2557,2395,1165,2552,2394,1126,90,100,0,500,2817;
@400000005e7172f00f3a44d7 #d,-,18,2457,2392,1313,190,1,183608,11383,2552,2395,1313,2457,2392,1128,89,100,0,500,2756;
@400000005e7172f00f43fd56 #d,-,18,2747,2394,1330,191,1,183716,11390,2747,2395,1372,2457,2392,1261,92,100,0,500,2983;
@400000005e7172f20f53f30c #d,-,18,3038,2393,1238,192,1,183780,11394,3038,2396,1350,2747,2393,1129,93,100,0,500,3263;
@400000005e7172f20f5d64c2 #d,-,18,2633,2394,1155,193,1,183788,11394,3038,2395,1238,2633,2393,1144,89,100,0,500,2941;
@400000005e7172f40f6d4b92 #d,-,18,2551,2396,1159,193,1,183783,11394,2633,2396,1166,2551,2394,1155,89,100,0,500,2848;
@400000005e7172f40f768744 #d,-,18,2546,2396,1129,194,1,183759,11393,2551,2396,1161,2546,2395,1125,90,100,0,500,2810;
@400000005e7172f60f86265e #d,-,18,2455,2393,1318,195,1,183767,11393,2546,2396,1318,2455,2392,1127,89,100,0,500,2751;
@400000005e7172f60f8fb7bf #d,-,18,2773,2395,1334,195,1,183873,11400,2773,2395,1367,2455,2393,1259,92,100,0,500,2995;
@400000005e7172f80fa11139 #d,-,18,3026,2395,1233,196,1,183998,11407,3026,2397,1349,2773,2395,1137,92,100,0,500,3265;
@400000005e7172f80faa7f36 #d,-,18,2631,2394,1161,197,1,183939,11404,3026,2396,1233,2631,2393,1144,89,100,0,500,2931;
@400000005e7172fa0fbc0387 #d,-,18,2549,2396,1163,198,1,183934,11403,2631,2397,1167,2549,2393,1160,89,100,0,500,2846;
@400000005e7172fa0fc5ac31 #d,-,18,2544,2395,1131,198,1,183909,11402,2549,2397,1164,2544,2395,1128,90,100,0,500,2813;
@400000005e7172fc0fd54c38 #d,-,18,2459,2395,1317,199,1,183925,11403,2544,2395,1324,2459,2394,1129,89,100,0,500,2761;
@400000005e7172fc0fde97c0 #d,-,18,2815,2394,1339,200,1,184029,11409,2815,2396,1373,2459,2394,1263,92,100,0,500,3028;
@400000005e7172fe0fef12a4 #d,-,18,2992,2393,1199,200,1,184071,11412,2992,2394,1349,2815,2392,1129,91,100,0,500,3256;
@400000005e7172fe0ff864b0 #d,-,18,2569,2396,1164,201,1,184069,11412,2992,2396,1199,2569,2393,1153,89,100,0,500,2870;
@400000005e7173001008c84c #d,-,18,2565,2395,1159,202,1,184064,11411,2569,2396,1167,2565,2395,1158,90,100,0,500,2834;
@400000005e71730010121f01 #d,-,18,2511,2397,1132,203,1,184038,11410,2565,2397,1159,2511,2395,1125,89,100,0,500,2808;
@400000005e7173021023ca70 #d,-,18,2377,2398,937,203,1,183913,11402,2511,2398,1132,2377,2396,892,87,100,0,500,2723;
@400000005e717302102d536f #d,-,18,1906,2396,940,204,1,183753,11392,2377,2398,940,1906,2396,922,83,100,0,500,2277;
@400000005e717304103bbf32 #d,-,18,1908,2397,933,204,1,183596,11382,1908,2398,951,1906,2396,924,83,100,0,500,2291;
@400000005e7173041044d780 #d,-,18,1911,2397,929,205,1,183438,11373,1911,2398,942,1908,2396,929,83,100,0,500,2289;
@400000005e7173061052b5b4 #d,-,18,1912,2396,938,205,1,183282,11363,1912,2397,939,1911,2396,924,83,100,0,500,2284;
@400000005e717306105b451b #d,-,18,1913,2396,941,206,1,183189,11357,1913,2397,941,1912,2395,929,83,100,0,500,2291;
@400000005e7173081069eb8b #d,-,18,1915,2397,927,206,1,182972,11344,1915,2398,942,1913,2396,927,83,100,0,500,2286;
@400000005e7173081072ff31 #d,-,18,1916,2397,936,207,1,182883,11338,1916,2397,942,1915,2397,927,83,100,0,500,2286;
@400000005e71730a10815ed9 #d,-,18,1917,2394,937,207,1,182669,11325,1917,2398,940,1916,2394,927,83,100,0,500,2284;
@400000005e71730a1089ea86 #d,-,18,1919,2395,935,208,1,182579,11319,1919,2396,937,1917,2394,924,83,100,0,500,2291;
@400000005e71730c10977f27 #d,-,18,1919,2396,929,208,1,182430,11310,1919,2396,953,1919,2394,929,84,100,0,500,2279;
@400000005e71730c10a09ee8 #d,-,18,1919,2397,938,209,1,182219,11297,1919,2397,940,1919,2396,929,83,100,0,500,2289;
@400000005e71730e10aff917 #d,-,18,1920,2397,935,210,1,182070,11288,1920,2398,939,1919,2397,928,83,100,0,500,2289;
@400000005e71730e10b87c62 #d,-,18,1920,2395,925,210,1,181921,11279,1920,2397,940,1920,2395,925,84,100,0,500,2282;
@400000005e71731010c5f9ba #d,-,18,1919,2395,934,211,1,181775,11270,1920,2396,941,1919,2394,925,84,100,0,500,2282;
@400000005e71731010cedb16 #d,-,18,1919,2397,938,211,1,181629,11261,1919,2397,942,1919,2395,927,84,100,0,500,2284;
@400000005e71731210de4c8d #d,-,18,1920,2397,930,212,1,181483,11251,1920,2398,938,1919,2396,922,84,100,0,500,2284;
@400000005e71731210e6ebc9 #d,-,18,1919,2395,935,212,1,181340,11243,1920,2398,939,1919,2395,930,84,100,0,500,2282;
@400000005e71731410f4dd8b #d,-,18,1919,2396,937,213,1,181197,11234,1919,2396,937,1919,2395,922,84,100,0,500,2279;
@400000005e71731410fde24b #d,-,18,1919,2397,934,213,1,181053,11225,1919,2397,937,1919,2396,923,84,100,0,500,2284;
@400000005e717316110beffe #d,-,18,1919,2397,928,214,1,180912,11216,1919,2398,940,1919,2396,928,84,100,0,500,2277;
@400000005e717316111486d8 #d,-,18,1919,2395,936,214,1,180772,11207,1919,2398,938,1919,2395,922,84,100,0,500,2279;
@400000005e717318112377c9 #d,-,18,1919,2396,937,215,1,180632,11199,1919,2397,938,1919,2395,923,83,100,0,500,2289;
@400000005e717318112c8043 #d,-,18,1919,2397,931,215,1,180493,11190,1919,2398,939,1919,2395,927,84,100,0,500,2279;
