@400000005e7171e10d9d464f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7171e13794ca3a #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7172100430a964 #d,-,18,2441,2392,1130,31,0,183239,11360,2442,2392,1134,2441,2388,1122,89,100,0,500,2739;
@400000005e717210043a8546 #d,-,18,2441,2392,1122,31,0,183061,11349,2441,2393,1130,2441,2392,1119,89,100,0,500,2737;
@400000005e717212044a1933 #d,-,18,2441,2391,1128,32,0,183287,11363,2441,2392,1129,2441,2390,1121,89,100,0,500,2737;
@400000005e7172120453775b #d,-,18,2441,2393,1122,33,0,182728,11329,2441,2393,1128,2441,2389,1121,89,100,0,500,2737;
@400000005e71721404634a9b #d,-,18,2441,2393,1126,33,0,182572,11319,2441,2393,1130,2441,2392,1122,89,100,0,500,2737;
@400000005e717214046cbc52 #d,-,18,2441,2395,1127,34,0,182422,11310,2441,2395,1129,2441,2392,1123,89,100,0,500,2739;
@400000005e717216047c5c5a #d,-,18,2441,2394,1127,35,0,182281,11301,2441,2396,1131,2441,2394,1121,89,100,0,500,2742;
@400000005e7172160485ab9b #d,-,18,2441,2395,1128,35,0,182143,11292,2441,2396,1130,2441,2394,1123,89,100,0,500,2739;
@400000005e71721804953814 #d,-,18,2441,2394,1125,36,0,182010,11284,2441,2396,1129,2441,2394,1122,89,100,0,500,2742;
@400000005e717218049e6f1e #d,-,18,2441,2395,1127,37,0,181882,11276,2441,2396,1129,2441,2394,1123,89,100,0,500,2739;
@400000005e71721a04ad863e #d,-,18,2441,2393,1127,37,0,181759,11269,2441,2395,1129,2441,2393,1123,89,100,0,500,2742;
@400000005e71721a04b7893e #d,-,18,2441,2393,1124,38,0,181642,11261,2441,2395,1130,2441,2393,1123,89,100,0,500,2742;
@400000005e71721c04c772d9 #d,-,18,2442,2394,1275,39,0,182145,11293,2442,2394,1330,2441,2391,1120,89,100,0,500,2739;
@400000005e71721c04d0ecf2 #d,-,18,2906,2392,1341,40,0,182400,11308,2906,2395,1366,2442,2392,1263,93,100,0,500,3104;
