@400000005e8c23a637fc7d93 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8c23a7264ca3e9 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8c245f34f1b1a0 #d,-,18,3154,2384,1218,137,0,193642,12005,3154,2387,1838,2621,2383,1207,91,100,0,501,3445;
@400000005e8c246134fbf6c0 #d,-,18,2643,2386,1153,138,0,193592,12002,3154,2387,1228,2643,2384,1153,89,100,0,501,2967;
@400000005e8c24613500a292 #d,-,18,2531,2386,1230,139,0,193749,12012,2643,2388,1869,2531,2383,1133,90,100,0,501,2803;
@400000005e8c2463350b7364 #d,-,18,3144,2386,1192,139,0,193815,12016,3144,2388,1231,2531,2383,1144,92,100,0,501,3403;
@400000005e8c2463351109e7 #d,-,18,2575,2386,1183,140,0,193650,12006,3144,2387,1192,2575,2384,1136,90,100,0,501,2860;
@400000005e8c24653522dc74 #d,-,18,3094,2385,1221,141,0,193936,12024,3094,2386,2192,2575,2381,1183,91,100,0,501,3398;
@400000005e8c2465352ea7cd #d,-,18,2651,2386,1172,142,0,193794,12015,3094,2386,1234,2651,2382,1172,86,100,0,501,3054;
@400000005e8c2467353fa6f0 #d,-,18,2587,2385,1192,143,0,193950,12024,2651,2386,1881,2587,2380,1158,90,100,0,501,2858;
@400000005e8c246735495353 #d,-,18,3058,2381,1168,143,0,193989,12027,3058,2385,1200,2587,2378,1122,91,100,0,501,3344;
@400000005e8c2469355922da #d,-,18,2563,2382,1017,144,0,193783,12014,3058,2384,1170,2563,2379,1017,90,100,0,501,2836;
@400000005e8c246935627d48 #d,-,18,2276,2381,1122,145,0,193644,12005,2563,2384,1146,2276,2381,1013,87,100,0,501,2609;
@400000005e8c246b35703907 #d,-,18,2421,2385,1124,145,0,193545,11999,2421,2385,1128,2276,2381,1119,89,100,0,501,2699;
@400000005e8c246b35795c82 #d,-,18,2422,2384,1124,146,0,193545,11999,2422,2386,1128,2421,2382,1119,89,100,0,501,2720;
@400000005e8c246d35874f33 #d,-,18,2422,2386,1121,147,0,193348,11987,2422,2386,1125,2422,2382,1120,89,100,0,501,2718;
@400000005e8c246d35900d2b #d,-,18,2423,2387,1125,147,0,193349,11987,2423,2387,1127,2422,2384,1121,89,100,0,501,2718;
@400000005e8c246f359d3c48 #d,-,18,2423,2387,1124,148,0,193155,11975,2423,2388,1128,2423,2385,1119,89,100,0,501,2720;
@400000005e8c246f35a65fc3 #d,-,18,2423,2386,1123,149,0,193058,11969,2423,2388,1126,2423,2386,1121,89,100,0,501,2720;
@400000005e8c247135b417c8 #d,-,18,2424,2387,1123,149,0,192965,11963,2424,2388,1129,2423,2385,1122,89,100,0,501,2720;
@400000005e8c247135bcf923 #d,-,18,2424,2387,1123,150,0,192872,11958,2424,2388,1127,2424,2385,1120,89,100,0,501,2723;
@400000005e8c247335cbca6a #d,-,18,2425,2385,1333,151,0,192808,11954,2425,2388,1333,2424,2385,1122,89,100,0,501,2723;
@400000005e8c247335d5b8ed #d,-,18,3048,2384,1292,152,0,192995,11965,3048,2386,1814,2425,2381,1230,93,100,0,501,3263;
@400000005e8c247535e24b94 #d,-,18,2755,2386,1140,152,0,192955,11963,3048,2386,1292,2755,2383,1139,90,100,0,501,3040;
@400000005e8c247535e8cf93 #d,-,18,2756,2385,1264,153,0,193115,11973,2756,2386,1847,2755,2382,1140,94,100,0,501,2929;
@400000005e8c247735f5a902 #d,-,18,2990,2386,1192,154,0,193198,11978,2990,2386,1264,2756,2383,1192,89,100,0,501,3341;
@400000005e8c247735fc444a #d,-,18,2613,2382,1515,155,0,193265,11982,2990,2386,1885,2613,2380,1173,90,100,0,501,2898;
@400000005e8c24793608135c #d,-,18,3226,2383,1211,155,0,193361,11988,3226,2385,1515,2613,2382,1211,91,100,0,501,3524;
@400000005e8c2479360f85c7 #d,-,18,2643,2380,1854,156,0,193369,11988,3226,2385,1854,2643,2379,1175,89,100,0,501,2943;
@400000005e8c247b361978f2 #d,-,18,3176,2383,1173,157,0,193408,11991,3176,2385,1861,2643,2380,1162,93,100,0,501,3412;
@400000005e8c247b361e4af3 #d,-,18,2643,2382,1359,158,0,193491,11996,3176,2385,1359,2643,2381,1166,90,100,0,501,2917;
@400000005e8c247d362cd1b8 #d,-,18,3150,2383,1222,159,0,193555,12000,3150,2384,1871,2643,2380,1222,93,100,0,501,3367;
@400000005e8c247d36367e1b #d,-,18,2667,2382,1157,159,0,193510,11997,3150,2385,1222,2667,2382,1136,90,100,0,501,2960;
@400000005e8c247f364bc38d #d,-,18,2926,2383,1277,160,0,193665,12007,2926,2385,1877,2667,2379,1146,96,100,0,501,3040;
@400000005e8c247f3658043e #d,-,18,2824,2385,1143,161,1,193639,12005,2926,2385,1284,2824,2382,1143,87,100,0,501,3237;
@400000005e8c24813672df44 #d,-,18,2585,2383,1298,162,1,193781,12014,2824,2386,1862,2585,2379,1134,91,100,0,501,2839;
@400000005e8c248136847725 #d,-,18,3206,2385,1176,163,1,193782,12014,3206,2385,1313,2585,2383,1176,90,100,0,501,3536;
@400000005e8c248336963e84 #d,-,18,2571,2383,1610,163,1,193993,12027,3206,2386,1853,2571,2381,1133,89,100,0,501,2881;
@400000005e8c2483369fbc56 #d,-,18,3168,2386,1223,164,1,193894,12021,3168,2386,1610,2571,2383,1165,93,100,0,501,3386;
@400000005e8c248536ad5fdd #d,-,18,2589,2385,1125,165,1,193910,12022,3168,2386,1223,2589,2384,1123,89,100,0,501,2893;
@400000005e8c248536b61a1c #d,-,18,2437,2387,1128,166,1,193734,12011,2589,2387,1128,2437,2384,1119,89,100,0,501,2734;
@400000005e8c248736c43b5d #d,-,18,2435,2383,1123,166,1,193647,12006,2437,2387,1130,2435,2382,1120,89,100,0,501,2720;
@400000005e8c248736ccd326 #d,-,18,2435,2384,1127,167,1,193560,12000,2435,2385,1129,2435,2383,1122,89,100,0,501,2723;
@400000005e8c248936da20ff #d,-,18,2434,2381,1126,168,1,193560,12000,2435,2385,1130,2434,2381,1121,89,100,0,501,2718;
@400000005e8c248936e2fea1 #d,-,18,2433,2383,1124,168,1,193390,11990,2434,2383,1131,2433,2381,1118,89,100,0,501,2720;
@400000005e8c248b36f12756 #d,-,18,2432,2383,1126,169,1,193391,11990,2433,2384,1128,2432,2381,1121,89,100,0,501,2718;
@400000005e8c248b36f9c2d8 #d,-,18,2432,2381,1127,170,1,193223,11979,2432,2383,1131,2432,2380,1125,89,100,0,501,2723;
@400000005e8c248d37075eec #d,-,18,2432,2382,1125,170,1,193225,11979,2432,2384,1127,2432,2381,1120,89,100,0,501,2723;
@400000005e8c248d3710218c #d,-,18,2431,2383,1125,171,1,193059,11969,2432,2384,1128,2431,2381,1120,89,100,0,501,2718;
@400000005e8c248f37203aa6 #d,-,18,2431,2380,1744,172,1,193161,11976,2431,2384,1744,2431,2380,1123,89,100,0,501,2718;
@400000005e8c248f3729b3d0 #d,-,18,3062,2383,1196,173,1,193152,11975,3062,2384,1820,2431,2378,1195,92,100,0,501,3303;
@400000005e8c249137392cbb #d,-,18,2711,2383,1141,173,1,193107,11972,3062,2384,1215,2711,2381,1134,91,100,0,501,2979;
@400000005e8c249137431872 #d,-,18,3064,2384,1207,174,1,193281,11983,3064,2384,1882,2711,2378,1141,93,100,0,501,3282;
@400000005e8c24933752cc09 #d,-,18,2711,2381,1155,175,1,193236,11980,3064,2385,1207,2711,2381,1153,87,100,0,501,3097;
@400000005e8c2493375c74b2 #d,-,18,2715,2381,1268,176,1,193383,11989,2715,2383,1869,2711,2377,1154,93,100,0,501,2910;
@400000005e8c2495376c5e4d #d,-,18,2992,2384,1136,176,1,193355,11988,2992,2384,1279,2715,2381,1136,88,100,0,501,3363;
@400000005e8c24953775ebf4 #d,-,18,2549,2381,1297,177,1,193474,11995,2992,2384,1864,2549,2376,1133,90,100,0,501,2827;
@400000005e8c2497378564de #d,-,18,3198,2381,1194,178,1,193469,11995,3198,2383,1297,2549,2380,1193,93,100,0,501,3431;
@400000005e8c2497378b1a1d #d,-,18,2571,2376,1840,179,1,193638,12005,3198,2383,1855,2571,2376,1147,89,100,0,501,2862;
@400000005e8c2499379658d5 #d,-,18,3136,2382,1217,180,1,193572,12001,3136,2382,1840,2571,2376,1196,93,100,0,501,3363;
@400000005e8c2499379bf223 #d,-,18,2623,2381,1423,180,1,193633,12005,3136,2382,1423,2623,2380,1142,89,100,0,501,2922;
@400000005e8c249b37aaf1fb #d,-,18,3090,2383,1196,181,1,193671,12007,3090,2383,1861,2623,2377,1196,92,100,0,501,3325;
@400000005e8c249b37b496eb #d,-,18,2675,2381,1134,182,1,193625,12004,3090,2383,1215,2675,2381,1134,90,100,0,501,2950;
@400000005e8c249d37c8a36f #d,-,18,2984,2381,1257,183,1,193840,12018,2984,2383,1846,2675,2378,1133,95,100,0,501,3116;
@400000005e8c249d37d4a201 #d,-,18,2719,2381,1150,184,1,193734,12011,2984,2383,1257,2719,2380,1150,87,100,0,501,3109;
@400000005e8c249f37e56eda #d,-,18,2593,2383,1240,184,1,193852,12018,2719,2383,1857,2593,2378,1142,91,100,0,501,2843;
@400000005e8c249f37eec1d5 #d,-,18,3140,2382,1201,185,1,193841,12018,3140,2383,1240,2593,2381,1201,92,100,0,501,3412;
@400000005e8c24a137fc1810 #d,-,18,2573,2383,1122,186,1,193848,12018,3140,2383,1201,2573,2381,1122,89,100,0,501,2860;
@400000005e8c24a13804e5dd #d,-,18,2431,2381,1128,187,1,193693,12008,2573,2383,1130,2431,2380,1121,89,100,0,501,2725;
@400000005e8c24a33812438b #d,-,18,2430,2383,1122,187,1,193615,12004,2431,2384,1132,2430,2381,1120,89,100,0,501,2720;
@400000005e8c24a3381b5bd9 #d,-,18,2430,2382,1126,188,1,193538,11999,2430,2384,1131,2430,2380,1120,89,100,0,501,2720;
@400000005e8c24a53829698c #d,-,18,2429,2380,1125,189,1,193461,11994,2430,2383,1130,2429,2380,1119,89,100,0,501,2715;
@400000005e8c24a538322784 #d,-,18,2429,2381,1124,189,1,193385,11989,2429,2383,1129,2429,2380,1119,89,100,0,501,2720;
@400000005e8c24a7383f9507 #d,-,18,2429,2384,1123,190,1,193309,11985,2429,2384,1128,2429,2381,1118,89,100,0,501,2718;
@400000005e8c24a73848cfcb #d,-,18,2428,2382,1123,191,1,193233,11980,2429,2384,1127,2428,2381,1119,89,100,0,501,2715;
@400000005e8c24a9385fac39 #d,-,18,2427,2384,1125,191,1,193158,11975,2428,2384,1129,2427,2382,1118,89,100,0,501,2715;
@400000005e8c24a9386c8873 #d,-,18,2427,2382,1124,192,1,193083,11971,2427,2384,1128,2427,2381,1120,89,100,0,501,2715;
@400000005e8c24ab387cf382 #d,-,18,2426,2381,1597,193,1,193169,11976,2427,2384,1800,2426,2378,1120,89,100,0,501,2715;
@400000005e8c24ab3886d6d7 #d,-,18,3144,2382,1211,193,1,193175,11976,3144,2383,1597,2426,2380,1210,93,100,0,501,3353;
@400000005e8c24ad38964fc2 #d,-,18,2629,2381,1402,194,1,193157,11975,3144,2383,1402,2629,2381,1143,89,100,0,501,2929;
@400000005e8c24ad389fb64b #d,-,18,3100,2381,1208,195,1,193354,11987,3100,2382,1886,2629,2377,1208,92,100,0,501,3336;
@400000005e8c24af38afea68 #d,-,18,2707,2380,1177,196,1,193260,11982,3100,2382,1222,2707,2379,1177,90,100,0,501,2981;
@400000005e8c24af38b9411c #d,-,18,3112,2380,1277,197,1,193480,11995,3112,2381,1886,2707,2375,1177,96,100,0,501,3230;
@400000005e8c24b138c86458 #d,-,18,2735,2378,1151,197,1,193377,11989,3112,2380,1277,2735,2378,1145,87,100,0,501,3128;
@400000005e8c24b138d26ecb #d,-,18,2739,2379,1288,198,1,193502,11997,2739,2380,1865,2735,2374,1151,93,100,0,501,2922;
@400000005e8c24b338e1f3d1 #d,-,18,3006,2376,1149,199,1,193490,11996,3006,2379,1314,2739,2375,1149,89,100,0,501,3372;
@400000005e8c24b338eb97d2 #d,-,18,2565,2378,1257,200,1,193598,12003,3006,2379,1865,2565,2374,1145,90,100,0,501,2839;
@400000005e8c24b538fb1564 #d,-,18,3190,2379,1202,200,1,193594,12002,3190,2380,1275,2565,2377,1187,93,100,0,501,3424;
@400000005e8c24b53903ee5e #d,-,18,2573,2378,1639,201,1,193685,12008,3190,2380,1847,2573,2378,1137,89,100,0,501,2867;
@400000005e8c24b739136faa #d,-,18,3160,2382,1212,202,1,193690,12008,3160,2382,1639,2573,2378,1207,91,100,0,501,3462;
@400000005e8c24b7391d432b #d,-,18,2631,2377,1754,203,1,193722,12010,3160,2382,1754,2631,2377,1139,89,100,0,501,2934;
@400000005e8c24b9392ba2d3 #d,-,18,3114,2380,1161,204,1,193778,12014,3114,2382,1860,2631,2376,1161,92,100,0,501,3353;
@400000005e8c24b93931b8ed #d,-,18,2651,2377,1209,204,1,193745,12012,3114,2382,1224,2651,2377,1131,90,100,0,501,2922;
@400000005e8c24bb39404f87 #d,-,18,3086,2379,1231,205,1,193873,12020,3086,2380,1882,2651,2376,1209,93,100,0,501,3284;
@400000005e8c24bb394a17db #d,-,18,2673,2382,1149,206,1,193910,12022,3086,2382,1231,2673,2378,1132,89,100,0,501,2993;
@400000005e8c24bd39581973 #d,-,18,2487,2381,1121,207,1,193770,12013,2673,2383,1151,2487,2378,1121,89,100,0,501,2789;
@400000005e8c24bd3960a520 #d,-,18,2425,2382,1127,207,1,193769,12013,2487,2383,1128,2425,2379,1120,89,100,0,501,2713;
@400000005e8c24bf396e2278 #d,-,18,2425,2379,1123,208,1,193629,12005,2425,2383,1131,2425,2379,1119,89,100,0,501,2718;
@400000005e8c24bf3977b2ea #d,-,18,2425,2380,1126,209,1,193558,12000,2425,2382,1128,2425,2379,1118,89,100,0,501,2715;
@400000005e8c24c139854018 #d,-,18,2424,2379,1128,209,1,193488,11996,2425,2382,1128,2424,2378,1120,89,100,0,501,2713;
@400000005e8c24c1398e01c9 #d,-,18,2424,2380,1121,210,1,193419,11992,2424,2381,1130,2424,2378,1118,89,100,0,501,2718;
@400000005e8c24c3399b6f4c #d,-,18,2424,2377,1127,211,1,193419,11991,2424,2382,1127,2424,2376,1119,89,100,0,501,2713;
@400000005e8c24c339a4740c #d,-,18,2424,2378,1117,211,1,193282,11983,2424,2381,1129,2424,2377,1117,89,100,0,501,2718;
@400000005e8c24c539b0a990 #d,-,18,2425,2379,1126,212,1,193215,11979,2425,2380,1128,2424,2378,1117,89,100,0,501,2713;
@400000005e8c24c539b6b837 #d,-,18,2425,2379,1125,213,1,193216,11979,2425,2381,1129,2425,2377,1121,89,100,0,501,2718;
@400000005e8c24c739c66f88 #d,-,18,2904,2379,1301,214,1,193270,11982,2904,2382,1833,2425,2376,1125,96,100,0,501,3019;
@400000005e8c24c739d03333 #d,-,18,2801,2380,1194,214,1,193260,11982,2904,2382,1301,2801,2379,1193,87,100,0,501,3192;
@400000005e8c24c939e4b157 #d,-,18,2641,2381,1228,215,1,193367,11988,2801,2382,1869,2641,2377,1163,91,100,0,501,2888;
@400000005e8c24c939f19e54 #d,-,18,3194,2380,1179,216,1,193369,11988,3194,2383,1334,2641,2380,1179,92,100,0,501,3467;
@400000005e8c24cb3a0e4dcf #d,-,18,2559,2379,1750,217,1,193460,11994,3194,2383,1896,2559,2376,1134,89,100,0,501,2846;
@400000005e8c24cb3a21f4d0 #d,-,18,3196,2381,1224,218,1,193464,11994,3196,2382,1750,2559,2379,1187,93,100,0,501,3408;
@400000005e8c24cd3a331846 #d,-,18,2603,2378,1638,218,1,193536,11999,3196,2382,1638,2603,2378,1140,89,100,0,501,2912;
@400000005e8c24cd3a3c9d8b #d,-,18,3086,2381,1194,219,1,193545,11999,3086,2382,1879,2603,2375,1193,92,100,0,501,3332;
@400000005e8c24cf3a4bd456 #d,-,18,2685,2380,1144,220,1,193574,12001,3086,2382,1221,2685,2379,1135,90,100,0,501,2952;
@400000005e8c24cf3a553637 #d,-,18,3070,2382,1247,221,1,193630,12005,3070,2382,1890,2685,2377,1144,95,100,0,501,3220;
@400000005e8c24d13a61c16a #d,-,18,2673,2381,1161,221,1,193602,12003,3070,2382,1247,2673,2380,1146,87,100,0,501,3043;
@400000005e8c24d13a6bb495 #d,-,18,2826,2379,1287,222,1,193713,12010,2826,2382,1935,2673,2376,1121,95,100,0,501,2964;
@400000005e8c24d33a759f5e #d,-,18,2936,2381,1161,223,1,193699,12009,2936,2382,1295,2826,2379,1161,86,100,0,501,3381;
@400000005e8c24d33a7f1d30 #d,-,18,2557,2381,1239,224,1,193792,12015,2936,2382,1885,2557,2376,1132,89,100,0,501,2853;
@400000005e8c24d53a8d7cd8 #d,-,18,3208,2379,1206,225,1,193788,12014,3208,2381,1306,2557,2378,1150,93,100,0,501,3448;
@400000005e8c24d53a9730af #d,-,18,2547,2378,1700,225,1,193864,12019,3208,2381,1846,2547,2376,1136,89,100,0,501,2839;
@400000005e8c24d73aa50fd1 #d,-,18,3172,2381,1214,226,1,193873,12020,3172,2381,1700,2547,2377,1214,91,100,0,501,3455;
@400000005e8c24d73aae0101 #d,-,18,2623,2382,1130,227,1,193826,12017,3172,2382,1223,2623,2379,1130,89,100,0,501,2931;
@400000005e8c24d93abb75f8 #d,-,18,2449,2381,1076,228,1,193759,12013,2623,2382,1142,2449,2380,1076,89,100,0,501,2742;
@400000005e8c24d93ac434de #d,-,18,2446,2381,1127,228,1,193761,12013,2449,2383,1150,2446,2380,1076,90,100,0,501,2713;
@400000005e8c24db3ad1a61b #d,-,18,2443,2383,1124,229,1,193634,12005,2446,2383,1130,2443,2380,1120,89,100,0,501,2718;
@400000005e8c24db3ada7f15 #d,-,18,2441,2383,1126,230,1,193634,12005,2443,2383,1129,2441,2380,1120,89,100,0,501,2718;
@400000005e8c24dd3ae738d9 #d,-,18,2439,2382,1126,230,1,193508,11997,2441,2383,1128,2439,2380,1121,89,100,0,501,2715;
@400000005e8c24dd3aef6764 #d,-,18,2437,2379,1123,231,1,193445,11993,2439,2383,1129,2437,2379,1120,89,100,0,501,2720;
@400000005e8c24df3afc8a66 #d,-,18,2436,2382,1128,232,1,193384,11989,2437,2382,1129,2436,2379,1121,89,100,0,501,2715;
@400000005e8c24df3b057335 #d,-,18,2435,2381,1127,232,1,193323,11986,2436,2382,1131,2435,2380,1121,89,100,0,501,2718;
@400000005e8c24e13b0ff6bb #d,-,18,2434,2380,1126,233,1,193262,11982,2435,2381,1130,2434,2377,1121,89,100,0,501,2723;
@400000005e8c24e13b17c736 #d,-,18,2434,2378,1583,234,1,193251,11981,2434,2382,1583,2434,2378,1120,89,100,0,501,2715;
@400000005e8c24e33b2789b3 #d,-,18,3036,2378,1201,235,1,193389,11990,3036,2382,1794,2434,2377,1201,92,100,0,501,3270;
@400000005e8c24e33b313e78 #d,-,18,2739,2380,1174,235,1,193312,11985,3036,2382,1226,2739,2378,1173,91,100,0,501,2998;
@400000005e8c24e53b415f05 #d,-,18,3022,2380,1275,236,1,193437,11993,3022,2381,1849,2739,2376,1174,96,100,0,501,3130;
@400000005e8c24e53b4b1010 #d,-,18,2844,2379,1186,237,1,193423,11992,3022,2382,1275,2844,2377,1186,87,100,0,501,3239;
@400000005e8c24e73b60c632 #d,-,18,2569,2380,1414,238,1,193515,11997,2844,2381,1888,2569,2377,1124,89,100,0,501,2858;
@400000005e8c24e73b6e81f1 #d,-,18,3212,2381,1212,239,1,193514,11997,3212,2382,1414,2569,2379,1197,93,100,0,501,3431;
@400000005e8c24e93b8b60ea #d,-,18,2577,2379,1870,239,1,193570,12001,3212,2382,1870,2577,2378,1141,89,100,0,501,2874;
@400000005e8c24ea00043a32 #d,-,18,3140,2383,1213,240,1,193655,12006,3140,2383,1870,2577,2379,1194,93,100,0,501,3363;
@400000005e8c24ec0015baca #d,-,18,2653,2380,1332,241,1,193574,12001,3140,2383,1332,2653,2380,1145,89,100,0,501,2952;
@400000005e8c24ec001f400f #d,-,18,3096,2380,1206,242,1,193676,12007,3096,2381,1868,2653,2378,1204,93,100,0,501,3322;
@400000005e8c24ee002f9b49 #d,-,18,2691,2382,1152,242,1,193646,12006,3096,2382,1210,2691,2379,1143,90,100,0,501,2971;
@400000005e8c24ee0038f5b7 #d,-,18,2992,2381,1274,243,1,193760,12013,2992,2382,1896,2691,2377,1152,94,100,0,501,3175;
@400000005e8c24f000497455 #d,-,18,2799,2381,1157,244,1,193740,12011,2992,2382,1274,2799,2379,1157,87,100,0,501,3206;
@400000005e8c24f00052d36b #d,-,18,2647,2382,1244,245,1,193829,12017,2799,2382,1868,2647,2378,1136,92,100,0,501,2862;
@400000005e8c24f20062e7dd #d,-,18,3094,2381,1154,246,1,193821,12016,3094,2383,1315,2647,2380,1154,90,100,0,501,3419;
@400000005e8c24f2006c6e11 #d,-,18,2537,2382,1466,246,1,193902,12021,3094,2384,1899,2537,2379,1125,89,100,0,501,2822;
@400000005e8c24f4007a1199 #d,-,18,3206,2381,1212,247,1,193903,12021,3206,2382,1466,2537,2379,1211,91,100,0,501,3495;
@400000005e8c24f40082b936 #d,-,18,2601,2381,1129,248,1,193854,12019,3206,2383,1212,2601,2381,1129,89,100,0,501,2912;
@400000005e8c24f60090070f #d,-,18,2443,2380,1099,249,1,193791,12015,2601,2382,1133,2443,2379,1081,89,100,0,501,2734;
@400000005e8c24f600992317 #d,-,18,2439,2382,1124,249,1,193734,12011,2443,2382,1142,2439,2380,1099,90,100,0,501,2706;
@400000005e8c24f800a69cb6 #d,-,18,2437,2381,1125,250,1,193677,12007,2439,2382,1129,2437,2379,1121,89,100,0,501,2715;
@400000005e8c24f800af3390 #d,-,18,2437,2382,1125,251,1,193619,12004,2437,2382,1129,2437,2380,1119,89,100,0,501,2720;
@400000005e8c24fa00bc7282 #d,-,18,2435,2381,1125,251,1,193562,12000,2437,2382,1129,2435,2379,1121,89,100,0,501,2715;
@400000005e8c24fa00c58628 #d,-,18,2435,2382,1125,252,1,193505,11997,2435,2382,1130,2435,2380,1121,89,100,0,501,2720;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
