@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e313a2410625976 #d,-,18,2421,2367,1114,28,0,175112,10856,2423,2368,1118,2421,2366,1111,90,98,0,500,2689;
@400000005e313a24106b04cd #d,-,18,2419,2364,1116,29,0,175061,10853,2421,2368,1121,2419,2364,1113,90,98,0,500,2687;
@400000005e313a2610777c72 #d,-,18,2418,2367,1117,30,0,175022,10851,2419,2367,1122,2418,2364,1115,89,98,0,500,2694;
@400000005e313a26107fd4e6 #d,-,18,2418,2366,1114,30,0,174975,10848,2418,2367,1121,2418,2365,1114,89,98,0,500,2694;
@400000005e313a28108d0b76 #d,-,18,2417,2365,1119,31,0,174934,10845,2418,2367,1122,2417,2364,1113,89,98,0,500,2689;
@400000005e313a281095be41 #d,-,18,2415,2364,1116,32,0,174888,10843,2417,2366,1120,2415,2364,1114,89,98,0,500,2689;
@400000005e313a2a10a30860 #d,-,18,2415,2365,1116,32,0,175209,10862,2415,2365,1121,2415,2363,1112,89,98,0,500,2687;
@400000005e313a2a10abc29e #d,-,18,2414,2364,1116,33,0,174811,10838,2415,2365,1121,2414,2362,1113,89,98,0,500,2687;
@400000005e313a2c10b8810a #d,-,18,2414,2363,1115,34,0,174776,10836,2414,2365,1120,2414,2362,1114,89,98,0,500,2687;
@400000005e313a2c10c1e6a6 #d,-,18,2413,2367,1119,34,0,174742,10834,2414,2367,1120,2413,2363,1115,89,98,0,500,2689;
@400000005e313a2e10cee378 #d,-,18,2413,2368,1114,35,0,174707,10831,2413,2368,1120,2413,2366,1113,89,98,0,500,2689;
@400000005e313a2e10d7a529 #d,-,18,2413,2366,1123,36,0,174673,10829,2413,2369,1123,2413,2362,1114,89,98,0,500,2692;
@400000005e313a3010e4b49c #d,-,18,2412,2365,1118,36,0,174643,10827,2413,2366,1123,2412,2363,1115,89,98,0,500,2689;
@400000005e313a3010ed9aa0 #d,-,18,2412,2366,1122,37,0,174622,10826,2412,2367,1124,2412,2365,1117,89,98,0,500,2694;
@400000005e313a3210fb4dfc #d,-,18,2413,2367,1116,38,0,174589,10824,2413,2368,1122,2412,2365,1115,89,98,0,500,2697;
@400000005e313a321103d236 #d,-,18,2412,2368,1118,38,0,174559,10822,2413,2368,1119,2412,2366,1114,89,98,0,500,2687;
@400000005e313a341110ae70 #d,-,18,2412,2366,1116,39,0,174531,10820,2412,2368,1120,2412,2365,1113,89,98,0,500,2689;
@400000005e313a341119bb91 #d,-,18,2411,2366,1114,40,0,174503,10819,2412,2369,1121,2411,2366,1112,89,98,0,500,2689;
@400000005e313a3611ae7d59 #d,-,18,2411,2368,1116,40,0,174477,10817,2411,2368,1118,2411,2366,1113,89,98,0,500,2687;
@400000005e313a36123a17ec #d,-,18,2410,2366,1118,41,0,174731,10833,2411,2368,1119,2410,2366,1113,89,98,0,500,2689;
@400000005e313a38125d049e #d,-,18,2412,2364,1516,42,0,175051,10853,2412,2368,1584,2410,2364,1111,89,98,0,500,2689;
@400000005e313a3812676d21 #d,-,18,4126,2365,1678,43,0,177416,10999,4126,2365,2298,2412,2361,1516,100,98,0,500,4126;
@400000005e313a3a1274f960 #d,-,18,4419,2365,1809,44,0,179770,11145,4419,2365,2167,4126,2361,1674,96,98,0,500,4564;
@400000005e313a3a127dbc00 #d,-,18,4262,2364,1926,46,0,181825,11273,4419,2365,2134,4262,2362,1640,95,98,0,500,4484;
@400000005e313a3c128cafbd #d,-,18,4425,2362,2075,47,0,183897,11401,4425,2366,2075,4262,2362,1685,95,98,0,500,4623;
@400000005e313a3c12978d99 #d,-,18,4424,2367,1705,48,0,185693,11513,4425,2367,2132,4424,2362,1679,97,98,0,500,4545;
@400000005e313a3e12a540f5 #d,-,18,4327,2365,1818,49,0,187676,11635,4424,2367,2128,4327,2362,1705,97,98,0,500,4431;
@400000005e313a3e12ae2251 #d,-,18,4144,2364,1948,50,0,189218,11731,4327,2367,2115,4144,2363,1677,94,98,0,500,4367;
@400000005e313a4012bdde49 #d,-,18,4455,2365,2060,52,0,190840,11832,4455,2366,2060,4144,2364,1679,96,98,0,500,4635;
@400000005e313a4012c8bb37 #d,-,18,4449,2365,1693,53,0,192445,11931,4455,2366,2104,4449,2365,1676,98,98,0,500,4538;
@400000005e313a4212d66e94 #d,-,18,4298,2364,1851,54,0,194244,12043,4449,2365,2109,4298,2362,1693,97,98,0,500,4401;
@400000005e313a4212df3d4f #d,-,18,4206,2363,1960,55,0,195880,12144,4298,2366,2121,4206,2362,1690,94,98,0,500,4431;
@400000005e313a4412eee4ca #d,-,18,4483,2362,2026,56,0,197319,12233,4483,2366,2026,4206,2362,1688,96,98,0,500,4649;
@400000005e313a4412f9587b #d,-,18,4421,2366,1692,58,0,199080,12342,4483,2366,2116,4421,2362,1686,97,99,0,500,4548;
@400000005e313a461306e5a8 #d,-,18,4324,2362,1865,59,0,200706,12443,4421,2366,2115,4324,2361,1692,97,99,0,500,4429;
@400000005e313a46130f8c57 #d,-,18,4214,2363,1974,60,0,201926,12519,4324,2366,2121,4214,2362,1689,94,98,0,500,4439;
@400000005e313a48131f0cb5 #d,-,18,4501,2364,2054,61,0,203245,12601,4501,2366,2054,4214,2363,1694,96,98,0,500,4664;
@400000005e313a4813298c81 #d,-,18,4433,2364,1702,62,0,204590,12684,4501,2364,2124,4433,2361,1696,97,98,0,500,4567;
@400000005e313a4a1336c311 #d,-,18,4349,2362,1872,64,0,206081,12777,4433,2364,2125,4349,2361,1702,97,99,0,500,4453;
@400000005e313a4a133fb088 #d,-,18,4222,2361,2033,65,0,207423,12860,4349,2364,2063,4222,2361,1697,95,99,0,500,4443;
@400000005e313a4c134f6f4c #d,-,18,4513,2362,2027,66,0,208865,12949,4513,2364,2033,4222,2361,1709,96,99,0,500,4678;
@400000005e313a4c135a0a1a #d,-,18,4437,2364,1702,67,0,210113,13027,4513,2364,2118,4437,2360,1701,97,99,0,500,4569;
@400000005e313a4e1367dd21 #d,-,18,4343,2363,1890,69,0,211228,13096,4437,2364,2124,4343,2360,1702,97,99,0,500,4450;
@400000005e313a4e137078a3 #d,-,18,4258,2363,1993,70,0,212471,13173,4343,2365,2138,4258,2360,1709,94,99,0,500,4484;
@400000005e313a50137eff68 #d,-,18,4537,2361,2048,71,0,213565,13241,4537,2364,2048,4258,2360,1708,96,99,0,500,4694;
@400000005e313a5013892898 #d,-,18,4447,2362,1711,72,0,214702,13311,4537,2363,2132,4447,2361,1706,97,99,0,500,4583;
@400000005e313a52139699d4 #d,-,18,4333,2361,1880,73,0,216205,13404,4447,2362,2053,4333,2359,1711,97,99,0,500,4455;
@400000005e313a52139f5059 #d,-,18,4327,2362,2032,75,0,217101,13460,4333,2363,2132,4327,2360,1720,96,99,0,500,4500;
@400000005e313a5413aed55e #d,-,18,4553,2362,2025,76,0,218093,13521,4553,2362,2032,4327,2361,1717,96,99,0,500,4699;
@400000005e313a5413b9419c #d,-,18,4453,2362,1711,77,0,219161,13588,4553,2363,2135,4453,2361,1711,97,99,0,500,4590;
@400000005e313a5613c6e523 #d,-,18,4369,2362,1908,78,0,220324,13660,4453,2362,2140,4369,2360,1711,97,99,0,500,4469;
@400000005e313a5613cf695d #d,-,18,4280,2362,2008,80,0,221372,13725,4369,2362,2149,4280,2358,1717,94,99,0,500,4514;
@400000005e313a5813dec29d #d,-,18,4551,2359,2058,81,0,222510,13795,4551,2362,2058,4280,2359,1713,96,99,0,500,4697;
@400000005e313a5813e9db25 #d,-,18,4449,2359,1715,82,0,223482,13855,4551,2362,2154,4449,2359,1714,96,99,0,500,4590;
@400000005e313a5a13f76b1e #d,-,18,4381,2359,1912,83,0,224320,13907,4449,2361,2164,4381,2357,1715,97,99,0,500,4474;
@400000005e313a5a14004506 #d,-,18,4268,2360,2000,84,0,225289,13967,4381,2361,2172,4268,2359,1717,94,99,0,500,4507;
@400000005e313a5c140fa2ee #d,-,18,4557,2361,2042,86,0,226113,14019,4557,2362,2042,4268,2358,1711,96,99,0,500,4709;
@400000005e313a5c141a0a83 #d,-,18,4455,2363,1715,87,0,227015,14074,4557,2363,2167,4455,2359,1714,96,99,0,500,4593;
@400000005e313a5e142793f7 #d,-,18,4383,2362,1907,88,0,228008,14136,4455,2363,2167,4383,2359,1715,97,99,0,500,4479;
@400000005e313a5e143036ed #d,-,18,4256,2360,2011,89,0,229124,14205,4383,2364,2150,4256,2359,1710,94,99,0,500,4495;
@400000005e313a60143f7082 #d,-,18,4557,2362,2037,91,0,229656,14238,4557,2363,2037,4256,2360,1722,96,99,0,500,4709;
@400000005e313a601449c931 #d,-,18,4473,2362,1721,92,0,230507,14291,4557,2363,2178,4473,2359,1721,97,99,0,500,4609;
@400000005e313a6214570823 #d,-,18,4393,2362,1913,93,0,231441,14349,4473,2363,2181,4393,2361,1721,97,99,0,500,4484;
@400000005e313a62146037ba #d,-,18,4280,2360,2028,94,0,232277,14401,4393,2363,2176,4280,2359,1719,94,99,0,500,4526;
@400000005e313a64146fc079 #d,-,18,4569,2360,2045,95,0,232977,14444,4569,2362,2045,4280,2360,1719,96,99,0,500,4713;
@400000005e313a64147a0952 #d,-,18,4467,2360,1722,97,0,233758,14493,4569,2362,2179,4467,2360,1720,96,99,0,500,4607;
@400000005e313a6614875e9f #d,-,18,4389,2359,1910,98,0,234624,14546,4467,2360,2181,4389,2357,1722,97,99,0,500,4481;
@400000005e313a661490485c #d,-,18,4278,2360,2008,99,0,235402,14594,4389,2361,2181,4278,2359,1721,94,99,0,500,4517;
@400000005e313a68149f966f #d,-,18,4565,2358,2059,100,0,236053,14635,4565,2361,2059,4278,2358,1720,96,99,0,500,4716;
@400000005e313a6814aa5c14 #d,-,18,4469,2363,1725,101,0,236984,14693,4565,2363,2179,4469,2358,1721,96,99,0,500,4609;
@400000005e313a6a14b80bb7 #d,-,18,4397,2360,1912,103,0,237794,14743,4469,2363,2183,4397,2359,1725,97,99,0,500,4488;
@400000005e313a6a14c0d5ca #d,-,18,4270,2362,2001,104,0,238516,14788,4397,2362,2182,4270,2360,1719,94,99,0,500,4514;
@400000005e313a6c14d09cf0 #d,-,18,4563,2359,2074,105,0,238913,14812,4563,2363,2074,4270,2359,1720,96,99,0,500,4721;
@400000005e313a6c14db5edc #d,-,18,4479,2362,1725,106,0,239583,14854,4563,2362,2188,4479,2358,1721,97,99,0,500,4616;
@400000005e313a6e14e92e29 #d,-,18,4405,2360,1908,108,0,240347,14901,4479,2362,2181,4405,2358,1725,97,99,0,500,4495;
@400000005e313a6e14f1d892 #d,-,18,4272,2358,2016,109,0,241023,14943,4405,2362,2169,4272,2358,1717,94,99,0,500,4512;
@400000005e313a70150122eb #d,-,18,4567,2359,2035,110,0,241580,14977,4567,2361,2035,4272,2358,1724,96,99,0,500,4718;
