@400000005e3139f71a2e39fd #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3139f8087e7c44 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e313ab81862a137 #d,-,18,4489,2357,1734,200,1,271174,16812,4589,2358,2165,4489,2356,1731,97,99,0,499,4626;
@400000005e313aba18703991 #d,-,18,4413,2353,1922,201,1,271620,16840,4489,2357,2166,4413,2352,1734,97,99,0,499,4512;
@400000005e313aba18793235 #d,-,18,4318,2356,2012,202,1,271879,16856,4413,2356,2167,4318,2352,1733,95,99,0,499,4543;
@400000005e313abc18892078 #d,-,18,4581,2355,2115,204,1,271937,16860,4581,2356,2115,4318,2354,1730,96,99,0,499,4737;
@400000005e313abc1893ced5 #d,-,18,4499,2358,1737,205,1,272168,16874,4581,2358,2214,4499,2354,1730,97,99,0,499,4633;
@400000005e313abe18a134e5 #d,-,18,4439,2355,1916,206,1,272463,16892,4499,2358,2205,4439,2354,1737,97,99,0,499,4531;
@400000005e313abe18aa1287 #d,-,18,4274,2354,1959,207,1,272847,16916,4439,2357,2196,4274,2352,1728,94,99,0,499,4507;
@400000005e313ac018b9f0f5 #d,-,18,4569,2353,2144,209,1,272911,16920,4569,2357,2144,4274,2353,1729,96,99,0,499,4737;
@400000005e313ac018c40b3d #d,-,18,4511,2357,1753,210,1,273117,16933,4569,2357,2188,4511,2352,1732,97,99,0,499,4638;
@400000005e313ac218d183ed #d,-,18,4451,2357,1890,211,1,273403,16951,4511,2358,2179,4451,2355,1753,97,99,0,499,4550;
@400000005e313ac218da618f #d,-,18,4276,2356,1946,212,1,273640,16965,4451,2358,2175,4276,2353,1729,95,99,0,499,4488;
@400000005e313ac418ea388a #d,-,18,4543,2354,2156,214,1,273840,16978,4543,2356,2156,4276,2353,1731,96,99,0,499,4728;
@400000005e313ac418f4de85 #d,-,18,4540,2355,1765,215,1,274029,16989,4543,2356,2182,4540,2352,1732,97,99,0,499,4647;
@400000005e313ac61902bda7 #d,-,18,4461,2354,1869,216,1,274304,17006,4540,2355,2184,4461,2352,1765,97,99,0,499,4567;
@400000005e313ac6190b87ba #d,-,18,4276,2353,1927,217,1,274538,17021,4461,2355,2185,4276,2352,1733,95,99,0,499,4474;
@400000005e313ac8191b2b7c #d,-,18,4529,2352,2162,219,1,274737,17033,4529,2356,2162,4276,2351,1733,95,99,0,499,4721;
@400000005e313ac819259f2c #d,-,18,4530,2356,1792,220,1,274910,17044,4530,2357,2170,4529,2352,1732,97,99,0,499,4657;
@400000005e313aca1933475c #d,-,18,4459,2357,1839,221,1,275173,17060,4530,2357,2165,4459,2353,1792,97,99,0,499,4576;
@400000005e313aca193bda7c #d,-,18,4286,2357,1942,222,1,275400,17074,4459,2358,2134,4286,2354,1733,95,99,0,499,4467;
@400000005e313acc194ad2e1 #d,-,18,4499,2353,2162,223,1,275721,17094,4499,2358,2162,4286,2353,1734,95,99,0,499,4702;
@400000005e313acc1955fe0a #d,-,18,4505,2354,1810,225,1,275755,17096,4505,2356,2168,4499,2353,1732,96,99,0,500,4659;
@400000005e313ace1963a27f #d,-,18,4499,2355,1833,226,1,276008,17112,4505,2356,2164,4499,2352,1810,98,99,0,500,4578;
@400000005e313ace196c7b79 #d,-,18,4294,2354,1913,227,1,276227,17126,4499,2355,2167,4294,2353,1737,96,99,0,500,4469;
@400000005e313ad0197bae8a #d,-,18,4483,2354,2163,228,1,276419,17138,4483,2356,2163,4294,2353,1732,95,99,0,500,4692;
@400000005e313ad01986e215 #d,-,18,4561,2356,1836,230,1,276570,17147,4561,2356,2163,4483,2353,1731,97,99,0,500,4673;
@400000005e313ad219949ce5 #d,-,18,4461,2356,1818,231,1,276810,17162,4561,2356,2163,4461,2353,1818,97,99,0,500,4578;
@400000005e313ad2199d5369 #d,-,18,4282,2355,1913,232,1,277024,17175,4461,2357,2162,4282,2353,1734,95,99,0,500,4465;
@400000005e313ad419ad1e48 #d,-,18,4479,2356,2159,233,1,277209,17186,4479,2358,2159,4282,2354,1732,95,99,0,500,4687;
@400000005e313ad419b7733d #d,-,18,4567,2358,1848,235,1,277354,17195,4567,2359,2159,4479,2356,1731,97,99,0,499,4676;
@400000005e313ad619c4c5be #d,-,18,4449,2359,1820,236,1,277712,17218,4567,2359,2139,4449,2356,1820,97,99,0,499,4567;
@400000005e313ad619cdb247 #d,-,18,4290,2359,1955,237,1,277794,17223,4449,2360,2132,4290,2355,1737,95,99,0,499,4474;
@400000005e313ad819dd955d #d,-,18,4493,2358,2165,238,1,277962,17233,4493,2359,2165,4290,2357,1735,95,99,0,499,4694;
@400000005e313ad819e86ad7 #d,-,18,4549,2359,1794,240,1,278105,17242,4549,2361,2168,4493,2357,1727,97,99,0,499,4666;
@400000005e313ada19f6516d #d,-,18,4457,2358,1842,241,1,278337,17256,4549,2361,2168,4457,2357,1794,97,99,0,499,4567;
@400000005e313ada19ff3a3c #d,-,18,4294,2358,1915,242,1,278657,17276,4457,2359,2162,4294,2357,1733,95,99,0,499,4479;
@400000005e313adc1a0ec6b5 #d,-,18,4493,2356,2161,243,1,278704,17279,4493,2361,2161,4294,2356,1729,95,99,0,499,4699;
@400000005e313adc1a195a0f #d,-,18,4557,2360,1832,244,1,278839,17288,4557,2361,2161,4493,2356,1729,97,99,0,500,4666;
@400000005e313ade1a279dc7 #d,-,18,4463,2362,1806,246,1,279055,17301,4557,2362,2157,4463,2357,1806,97,99,0,500,4590;
@400000005e313ade1a307f22 #d,-,18,4296,2362,1901,247,1,279248,17313,4463,2362,2156,4296,2359,1728,96,99,0,500,4460;
@400000005e313ae01a3f603e #d,-,18,4453,2360,2149,248,1,279539,17331,4453,2363,2156,4296,2359,1728,95,99,0,500,4671;
@400000005e313ae01a49e3c4 #d,-,18,4575,2360,1877,249,1,279543,17331,4575,2362,2149,4453,2359,1725,97,99,0,500,4683;
@400000005e313ae21a5808c0 #d,-,18,4467,2361,1769,251,1,279745,17344,4575,2363,2154,4467,2358,1769,97,99,0,500,4600;
@400000005e313ae21a61482c #d,-,18,4316,2362,1901,252,1,279938,17356,4467,2363,2162,4316,2359,1724,96,99,0,500,4457;
@400000005e313ae41a716c73 #d,-,18,4413,2362,2128,253,1,280108,17366,4413,2363,2162,4316,2360,1727,95,99,0,500,4640;
@400000005e313ae41a7bb54c #d,-,18,4591,2362,1927,254,1,280227,17374,4591,2364,2128,4413,2362,1727,97,99,0,500,4704;
@400000005e313ae61a89f638 #d,-,18,4473,2364,1742,256,1,280414,17385,4591,2364,2156,4473,2361,1742,96,99,0,500,4612;
@400000005e313ae61a932d42 #d,-,18,4341,2363,1907,257,1,280726,17405,4473,2365,2154,4341,2360,1726,97,99,0,500,4469;
@400000005e313ae81aa2b9bb #d,-,18,4345,2360,2097,258,1,280892,17415,4345,2365,2157,4341,2360,1725,94,99,0,500,4612;
@400000005e313ae81aade89e #d,-,18,4595,2362,1971,259,1,280889,17415,4595,2364,2097,4345,2360,1727,97,99,0,500,4718;
@400000005e313aea1abc1d6f #d,-,18,4473,2364,1731,261,1,281061,17425,4595,2364,2156,4473,2359,1731,96,99,0,500,4612;
@400000005e313aea1ac55921 #d,-,18,4371,2362,1916,262,1,281255,17437,4473,2364,2156,4371,2360,1726,97,99,0,500,4486;
@400000005e313aec1ad39565 #d,-,18,4368,2360,2056,263,1,281418,17447,4371,2364,2159,4368,2359,1727,95,99,0,500,4581;
@400000005e313aec1add0bc4 #d,-,18,4589,2365,1146,264,1,281393,17446,4589,2366,2056,4368,2360,1146,97,99,0,500,4728;
@400000005e313aee1aec41a0 #d,-,18,2968,2363,1179,265,1,281098,17428,4589,2366,1241,2968,2363,1014,88,99,0,500,3353;
@400000005e313aee1af5a829 #d,-,18,2531,2364,1163,266,1,280581,17396,2968,2366,1179,2531,2363,1162,90,99,0,500,2808;
@400000005e313af01b047970 #d,-,18,2531,2364,1159,266,1,280177,17371,2531,2366,1168,2531,2363,1150,90,99,0,500,2803;
@400000005e313af01b0e1244 #d,-,18,2529,2364,1148,267,1,279772,17345,2531,2365,1159,2529,2363,1148,91,99,0,500,2779;
@400000005e313af21b1d21f1 #d,-,18,2525,2363,1147,268,1,279366,17320,2529,2366,1152,2525,2363,1146,91,99,0,500,2770;
@400000005e313af21b2658fc #d,-,18,2520,2363,1149,268,1,279074,17302,2525,2365,1152,2520,2363,1145,91,99,0,500,2763;
@400000005e313af41b348dcc #d,-,18,2517,2363,1148,269,1,278564,17271,2520,2365,1151,2517,2362,1146,91,99,0,500,2763;
@400000005e313af41b3e3de9 #d,-,18,2514,2364,1145,270,1,278167,17246,2517,2365,1150,2514,2363,1143,90,99,0,500,2763;
@400000005e313af61b4d55f8 #d,-,18,2509,2364,1140,270,1,277767,17221,2514,2365,1145,2509,2363,1139,91,99,0,500,2751;
@400000005e313af61b56cf22 #d,-,18,2504,2363,1137,271,1,277368,17196,2509,2364,1140,2504,2362,1134,91,99,0,500,2737;
@400000005e313af81b65cb40 #d,-,18,2498,2364,1138,272,1,276972,17172,2504,2364,1140,2498,2362,1135,91,99,0,500,2734;
@400000005e313af81b6f25ae #d,-,18,2493,2363,1134,272,1,276578,17147,2498,2365,1139,2493,2362,1130,91,99,0,500,2734;
@400000005e313afa1b7d952b #d,-,18,2487,2364,1135,273,1,276185,17123,2493,2365,1135,2487,2363,1129,91,99,0,500,2725;
@400000005e313afa1b863f94 #d,-,18,2483,2364,1132,274,1,275796,17099,2487,2366,1137,2483,2363,1132,91,99,0,500,2727;
@400000005e313afc1b947cc6 #d,-,18,2479,2364,1130,274,1,275409,17075,2483,2366,1135,2479,2364,1128,90,99,0,500,2730;
@400000005e313afc1b9db3d0 #d,-,18,2474,2364,1126,275,1,275127,17057,2479,2367,1130,2474,2364,1124,91,99,0,500,2718;
@400000005e313afe1bac4a6b #d,-,18,2469,2367,1129,276,1,274637,17027,2474,2367,1130,2469,2364,1124,90,99,0,500,2715;
@400000005e313afe1bb601fb #d,-,18,2465,2367,1126,276,1,274256,17003,2469,2367,1131,2465,2365,1124,90,99,0,500,2713;
@400000005e313b001bc4a86b #d,-,18,2461,2366,1122,277,1,273876,16980,2465,2367,1131,2461,2364,1122,90,99,0,500,2715;
@400000005e313b001bcd27fc #d,-,18,2457,2366,1125,278,1,273499,16956,2461,2366,1127,2457,2364,1121,90,99,0,500,2708;
@400000005e313b021bdb705c #d,-,18,2453,2366,1123,278,1,273124,16933,2457,2367,1128,2453,2364,1123,90,99,0,500,2706;
@400000005e313b021be50cea #d,-,18,2451,2367,1127,279,1,272753,16910,2453,2367,1129,2451,2364,1122,90,99,0,500,2708;
@400000005e313b041bf3d303 #d,-,18,2448,2366,1121,280,1,272385,16887,2451,2367,1129,2448,2364,1120,90,99,0,500,2711;
@400000005e313b041bfd4fe7 #d,-,18,2446,2364,1123,281,1,272018,16865,2448,2366,1127,2446,2364,1121,90,99,0,500,2706;
@400000005e313b061c0caa15 #d,-,18,2444,2364,1123,281,1,271654,16842,2446,2366,1127,2444,2364,1120,90,99,0,499,2708;
@400000005e313b061c16109f #d,-,18,2441,2365,1117,282,1,271289,16819,2444,2367,1124,2441,2364,1115,90,99,0,500,2699;
@400000005e313b081c252f33 #d,-,18,2437,2365,1123,283,1,270928,16797,2441,2367,1123,2437,2364,1115,90,99,0,499,2694;
@400000005e313b081c2ea94b #d,-,18,2435,2365,1117,283,1,270568,16775,2437,2367,1123,2435,2364,1116,90,99,0,499,2697;
@400000005e313b0a1c3df3a4 #d,-,18,2432,2364,1123,284,1,270214,16753,2435,2367,1125,2432,2364,1117,90,99,0,500,2699;
@400000005e313b0a1c47496a #d,-,18,2431,2364,1118,285,1,269958,16737,2432,2366,1125,2431,2363,1116,90,99,0,500,2699;
@400000005e313b0c1c55efda #d,-,18,2428,2364,1119,285,1,269506,16709,2431,2366,1121,2428,2363,1114,90,99,0,500,2692;
@400000005e313b0c1c5fac12 #d,-,18,2425,2364,1121,286,1,269155,16687,2428,2367,1122,2425,2363,1114,90,99,0,500,2689;
@400000005e313b0e1c6e90e8 #d,-,18,2423,2364,1118,287,1,268807,16666,2425,2366,1123,2423,2363,1116,90,99,0,500,2692;
@400000005e313b0e1c77df3b #d,-,18,2422,2362,1120,287,1,268463,16644,2423,2365,1123,2422,2362,1117,89,99,0,500,2694;
@400000005e313b101c86c7ca #d,-,18,2420,2361,1117,288,1,268120,16623,2422,2363,1122,2420,2361,1116,89,99,0,500,2692;
@400000005e313b101c9025f2 #d,-,18,2419,2363,1119,289,1,267778,16602,2420,2363,1121,2419,2360,1116,89,99,0,499,2689;
@400000005e313b121c9f50a1 #d,-,18,2417,2361,1119,289,1,267440,16581,2419,2363,1121,2417,2361,1115,89,99,0,499,2692;
@400000005e313b121ca8c700 #d,-,18,2416,2363,1115,290,1,267103,16560,2417,2364,1121,2416,2361,1114,89,99,0,499,2687;
@400000005e313b141cb81159 #d,-,18,2414,2363,1119,291,1,266769,16539,2416,2365,1122,2414,2362,1113,89,99,0,499,2687;
@400000005e313b141cc1733a #d,-,18,2413,2364,1112,291,1,266437,16519,2414,2365,1119,2413,2363,1112,89,99,0,500,2687;
@400000005e313b161cd01d64 #d,-,18,2412,2365,1117,292,1,266201,16504,2413,2365,1118,2412,2364,1110,89,99,0,500,2685;
@400000005e313b161cd9e4c9 #d,-,18,2411,2363,1114,293,1,265873,16484,2412,2365,1119,2411,2363,1110,89,99,0,500,2682;
@400000005e313b181ce917da #d,-,18,2410,2360,1113,293,1,265547,16463,2411,2364,1122,2410,2360,1110,89,99,0,500,2685;
@400000005e313b181cf279bb #d,-,18,2409,2359,1115,294,1,265130,16438,2410,2360,1119,2409,2359,1110,90,99,0,500,2675;
@400000005e313b1a1d015275 #d,-,18,2407,2361,1109,295,1,264806,16417,2409,2361,1116,2407,2359,1107,89,99,0,500,2675;
@400000005e313b1a1d0ab545 #d,-,18,2405,2362,1114,295,1,264484,16398,2407,2362,1117,2405,2360,1107,90,99,0,500,2668;
@400000005e313b1c1d19d881 #d,-,18,2403,2362,1111,296,1,264166,16378,2405,2362,1116,2403,2361,1109,89,99,0,500,2673;
@400000005e313b1c1d2368f3 #d,-,18,2402,2360,1117,297,1,263849,16358,2403,2362,1118,2402,2359,1109,89,99,0,500,2673;
@400000005e313b1e1d3259e4 #d,-,18,2402,2360,1114,297,1,263536,16339,2402,2362,1118,2402,2359,1110,89,99,0,500,2675;
@400000005e313b1e1d3bb099 #d,-,18,2401,2361,1112,298,1,263223,16319,2402,2361,1117,2401,2360,1108,89,99,0,500,2675;
@400000005e313b201d4a69a9 #d,-,18,2400,2361,1114,299,1,263003,16306,2401,2362,1117,2400,2359,1109,89,99,0,500,2675;
@400000005e313b201d54299b #d,-,18,2399,2359,1113,299,1,262694,16287,2400,2362,1120,2399,2359,1109,89,99,0,500,2673;
@400000005e313b221d62f728 #d,-,18,2399,2360,1115,300,1,262389,16268,2399,2361,1118,2399,2358,1112,89,99,0,500,2678;
@400000005e313b221d6c4934 #d,-,18,2398,2359,1113,300,1,261997,16243,2399,2361,1117,2398,2358,1109,89,99,0,500,2675;
@400000005e313b241d7b4199 #d,-,18,2398,2359,1114,301,1,261695,16225,2398,2361,1117,2398,2359,1110,89,99,0,500,2675;
@400000005e313b241d84984d #d,-,18,2398,2361,1115,302,1,261396,16206,2398,2361,1117,2398,2359,1111,89,99,0,500,2675;
@400000005e313b261d93b7cf #d,-,18,2397,2357,1112,302,1,261098,16188,2398,2361,1117,2397,2357,1110,89,99,0,500,2675;
@400000005e313b261d9d34b3 #d,-,18,2398,2359,1116,303,1,260803,16169,2398,2361,1117,2397,2357,1111,89,99,0,500,2675;
@400000005e313b281dac7799 #d,-,18,2397,2360,1115,304,1,260596,16156,2398,2360,1118,2397,2358,1108,89,99,0,500,2673;
@400000005e313b281db5c9a5 #d,-,18,2397,2359,1114,304,1,260304,16138,2397,2360,1118,2397,2356,1110,89,99,0,500,2678;
@400000005e313b2a1dc47c30 #d,-,18,2397,2357,1115,305,1,259929,16115,2397,2359,1118,2397,2356,1109,89,99,0,500,2673;
@400000005e313b2a1dce2c4d #d,-,18,2397,2356,1112,306,1,259641,16097,2397,2358,1119,2397,2355,1109,89,99,0,500,2670;
@400000005e313b2c1ddcea05 #d,-,18,2397,2358,1119,306,1,259356,16080,2397,2358,1119,2397,2356,1111,89,99,0,500,2675;
@400000005e313b2c1de6349e #d,-,18,2398,2358,1112,307,1,259073,16062,2398,2358,1119,2397,2356,1110,89,99,0,500,2675;
@400000005e313b2e1df5c117 #d,-,18,2398,2357,1117,308,1,258792,16045,2398,2359,1118,2398,2357,1110,89,99,0,500,2673;
@400000005e313b2e1dff3ee9 #d,-,18,2553,2354,1973,309,1,258728,16041,2553,2358,1973,2398,2354,1112,93,99,0,500,2744;
@400000005e313b301e0d6f12 #d,-,18,4302,2354,1721,310,1,258986,16057,4302,2354,2246,2553,2350,1630,98,99,0,500,4370;
@400000005e313b301e16f8ff #d,-,18,4306,2353,1683,311,1,259117,16065,4306,2354,2114,4302,2351,1683,96,99,0,500,4465;
@400000005e313b321e256c36 #d,-,18,4224,2352,1917,312,1,259289,16075,4306,2353,2084,4224,2351,1619,95,99,0,500,4408;
@400000005e313b321e2e80cb #d,-,18,4322,2351,2088,313,1,259444,16085,4322,2352,2099,4224,2350,1646,95,99,0,500,4543;
@400000005e313b341e3c8e7e #d,-,18,4463,2349,1821,315,1,259569,16093,4463,2351,2088,4322,2349,1662,97,99,0,500,4559;
@400000005e313b341e45fc7b #d,-,18,4284,2348,1682,316,1,259748,16104,4463,2350,2098,4284,2348,1682,96,99,0,500,4431;
@400000005e313b361e543c78 #d,-,18,4164,2347,1934,317,1,260008,16120,4284,2349,2100,4164,2345,1663,96,99,0,500,4313;
@400000005e313b361e5dae2f #d,-,18,4318,2343,2095,318,1,260162,16130,4318,2349,2112,4164,2342,1671,95,99,0,500,4536;
@400000005e313b381e6ba499 #d,-,18,4479,2343,1829,319,1,260203,16132,4479,2346,2095,4318,2343,1686,97,99,0,500,4590;
@400000005e313b381e74ff07 #d,-,18,4320,2353,1709,321,1,260387,16144,4479,2353,2123,4320,2342,1709,97,99,0,500,4453;
@400000005e313b3a1e837aa0 #d,-,18,4196,2353,1912,322,1,260565,16155,4320,2353,2101,4196,2351,1692,96,99,0,500,4353;
@400000005e313b3a1e8cb564 #d,-,18,4339,2352,2101,323,2,260711,16164,4339,2355,2101,4196,2351,1683,95,99,0,500,4555;
@400000005e313b3c1e9a4a04 #d,-,18,4483,2355,1813,324,2,260842,16172,4483,2355,2101,4339,2351,1686,97,99,0,500,4588;
@400000005e313b3c1ea323ed #d,-,18,4318,2352,1749,325,2,261027,16183,4483,2355,2059,4318,2352,1749,97,99,0,500,4443;
@400000005e313b3e1eb1293e #d,-,18,4226,2352,1911,327,2,261199,16194,4318,2353,2108,4226,2350,1686,96,99,0,500,4389;
@400000005e313b3e1eba6c64 #d,-,18,4361,2350,2057,328,2,261427,16208,4361,2353,2057,4226,2349,1699,95,99,0,500,4576;
@400000005e313b401ec8915f #d,-,18,4517,2352,1823,329,2,261482,16211,4517,2354,2057,4361,2349,1707,97,99,0,500,4621;
@400000005e313b401ed2364f #d,-,18,4359,2352,1734,330,2,261667,16223,4517,2352,2121,4359,2350,1734,97,99,0,500,4491;
@400000005e313b421ee02cb9 #d,-,18,4240,2353,1937,332,2,261843,16234,4359,2353,2105,4240,2352,1697,96,99,0,500,4393;
@400000005e313b421ee938ec #d,-,18,4363,2353,2080,333,2,261997,16243,4363,2353,2114,4240,2351,1696,95,99,0,500,4583;
@400000005e313b441ef86fb7 #d,-,18,4517,2354,1913,334,2,262125,16251,4517,2356,2080,4363,2353,1702,97,99,0,500,4630;
@400000005e313b441f0214a6 #d,-,18,4389,2357,1710,335,2,262298,16262,4517,2357,2116,4389,2353,1710,97,99,0,500,4524;
@400000005e313b461f0f899d #d,-,18,4298,2354,1919,336,2,262560,16278,4389,2357,2114,4298,2353,1705,97,99,0,500,4427;
@400000005e313b461f18576a #d,-,18,4299,2356,2020,338,2,262636,16283,4299,2358,2113,4298,2354,1704,94,99,0,500,4536;
@400000005e313b481f284966 #d,-,18,4527,2354,1970,339,2,262761,16291,4527,2356,2020,4299,2354,1701,97,99,0,500,4666;
@400000005e313b481f32f7c3 #d,-,18,4407,2358,1703,340,2,262920,16301,4527,2358,2126,4407,2353,1703,97,99,0,500,4531;
@400000005e313b4a1f40468a #d,-,18,4331,2354,1895,341,2,263104,16312,4407,2358,2117,4331,2352,1703,97,99,0,500,4448;
@400000005e313b4a1f491bcb #d,-,18,4258,2354,1982,342,2,263257,16321,4331,2358,2116,4258,2353,1703,95,99,0,500,4481;
@400000005e313b4c1f58d7c3 #d,-,18,4509,2355,2076,344,2,263390,16330,4509,2357,2076,4258,2353,1711,96,99,0,500,4668;
@400000005e313b4c1f62f97f #d,-,18,4502,2357,1730,345,2,263534,16339,4509,2357,2125,4502,2355,1710,98,99,0,500,4574;
@400000005e313b4e1f703b3c #d,-,18,4373,2356,1857,346,2,263719,16350,4502,2357,2125,4373,2356,1730,97,99,0,500,4491;
@400000005e313b4e1f79485e #d,-,18,4244,2359,1950,347,2,263952,16365,4373,2359,2133,4244,2356,1709,95,99,0,500,4450;
@400000005e313b501f890adb #d,-,18,4483,2355,2130,349,2,264091,16373,4483,2359,2130,4244,2355,1709,95,99,0,500,4671;
@400000005e313b501f9353b4 #d,-,18,4484,2359,1769,350,2,264219,16381,4484,2360,2135,4483,2355,1711,97,99,0,500,4604;
@400000005e313b521fa14dd8 #d,-,18,4389,2358,1799,351,2,264321,16387,4484,2359,2134,4389,2357,1769,97,99,0,500,4519;
@400000005e313b521faa1ba5 #d,-,18,4248,2359,1927,352,2,264481,16397,4389,2359,2144,4248,2356,1708,96,99,0,500,4424;
@400000005e313b541fb9bbad #d,-,18,4455,2357,2114,353,2,264626,16406,4455,2360,2124,4248,2356,1729,95,99,0,500,4659;
@400000005e313b541fc3dd69 #d,-,18,4535,2358,1856,355,2,264748,16414,4535,2360,2114,4455,2356,1720,97,99,0,500,4647;
@400000005e313b561fd1feab #d,-,18,4397,2359,1753,356,2,264919,16425,4535,2359,2101,4397,2356,1753,97,99,0,500,4531;
@400000005e313b561fdae006 #d,-,18,4302,2361,1932,357,2,265084,16435,4397,2361,2105,4302,2359,1722,96,99,0,500,4453;
@400000005e313b581fe9fbcf #d,-,18,4387,2358,2039,358,2,265296,16448,4387,2362,2053,4302,2358,1721,95,99,0,500,4609;
@400000005e313b581ff4b19f #d,-,18,4557,2361,1871,360,2,265343,16451,4557,2362,2039,4387,2358,1724,97,99,0,500,4673;
@400000005e313b5a200290c1 #d,-,18,4383,2359,1775,361,2,265587,16466,4557,2361,2045,4383,2358,1775,97,99,0,500,4510;
@400000005e313b5a200b5ad4 #d,-,18,4296,2361,1935,362,2,265746,16476,4383,2361,2118,4296,2358,1728,96,99,0,500,4457;
@400000005e313b5c201afe96 #d,-,18,4423,2359,2108,363,2,265811,16480,4423,2362,2123,4296,2359,1721,95,99,0,500,4640;
@400000005e313b5c2025cbaf #d,-,18,4551,2361,1877,364,2,265927,16487,4551,2361,2108,4423,2358,1722,97,99,0,500,4661;
@400000005e313b5e20331e2f #d,-,18,4421,2360,1739,366,2,266089,16497,4551,2362,2125,4421,2360,1739,96,99,0,500,4559;
@400000005e313b5e203bd86e #d,-,18,4312,2361,1918,367,2,266249,16507,4421,2362,2119,4312,2359,1714,96,99,0,500,4450;
@400000005e313b60204b22c7 #d,-,18,4317,2360,2059,368,2,266389,16516,4317,2362,2121,4312,2359,1715,94,99,0,500,4588;
@400000005e313b602055e86c #d,-,18,4557,2361,1954,369,2,266501,16523,4557,2362,2059,4317,2360,1716,97,99,0,500,4678;
@400000005e313b6220639cb7 #d,-,18,4429,2361,1717,371,2,266649,16532,4557,2361,2121,4429,2359,1717,97,99,0,500,4564;
@400000005e313b62206c8cf9 #d,-,18,4341,2362,1913,372,2,266886,16546,4429,2362,2119,4341,2359,1716,97,99,0,500,4462;
@400000005e313b64207c8ecb #d,-,18,4337,2359,2017,373,2,267024,16555,4341,2363,2122,4337,2359,1717,95,99,0,500,4540;
@400000005e313b6420870e97 #d,-,18,4555,2362,2019,374,2,267066,16558,4555,2363,2019,4337,2359,1725,97,99,0,500,4694;
@400000005e313b662094e558 #d,-,18,4473,2363,1730,376,2,267207,16566,4555,2363,2072,4473,2360,1730,97,99,0,500,4588;
@400000005e313b66209d7878 #d,-,18,4363,2360,1909,377,2,267371,16577,4473,2363,2127,4363,2358,1730,97,99,0,500,4491;
@400000005e313b6820ad0137 #d,-,18,4357,2359,2012,378,2,267512,16585,4363,2362,2125,4357,2359,1725,95,99,0,500,4540;
@400000005e313b6820b7b34e #d,-,18,4557,2360,2064,379,2,267629,16593,4557,2363,2064,4357,2359,1724,96,99,0,500,4711;
@400000005e313b6a20c5776e #d,-,18,4483,2363,1731,380,2,267831,16605,4557,2363,2133,4483,2358,1723,97,99,0,500,4607;
@400000005e313b6a20ce3cd9 #d,-,18,4401,2362,1885,382,2,267995,16615,4483,2363,2132,4401,2358,1731,97,99,0,500,4517;
@400000005e313b6c20dcac56 #d,-,18,4286,2360,1967,383,2,268061,16619,4401,2363,2136,4286,2359,1722,95,99,0,500,4495;
@400000005e313b6c20e6a6f4 #d,-,18,4527,2359,2129,384,2,268182,16627,4527,2364,2129,4286,2359,1721,96,99,0,500,4704;
@400000005e313b6e20f447b0 #d,-,18,4525,2362,1769,385,2,268299,16634,4527,2363,2145,4525,2359,1722,97,99,0,500,4628;
@400000005e313b6e20fd0962 #d,-,18,4423,2360,1839,387,2,268460,16644,4525,2362,2141,4423,2359,1769,97,99,0,500,4543;
@400000005e313b70210af49f #d,-,18,4286,2360,1987,388,2,268601,16653,4423,2361,2094,4286,2359,1719,95,99,0,500,4467;
@400000005e313b7021144a65 #d,-,18,4497,2358,2132,389,2,268795,16665,4497,2361,2132,4286,2357,1731,95,99,0,500,4692;
@400000005e313b72212277c3 #d,-,18,4500,2358,1773,390,2,268905,16672,4500,2362,2135,4497,2358,1736,96,99,0,500,4642;
@400000005e313b72212b6cad #d,-,18,4429,2361,1833,392,2,268991,16677,4500,2361,2145,4429,2357,1773,97,99,0,500,4538;
@400000005e313b74213a0701 #d,-,18,4258,2358,1978,393,2,269128,16685,4429,2362,2138,4258,2358,1723,95,99,0,500,4455;
@400000005e313b742143caad #d,-,18,4513,2357,2112,394,2,269243,16693,4513,2361,2112,4258,2357,1723,95,99,0,500,4702;
@400000005e313b76215124a1 #d,-,18,4515,2360,1784,395,2,269353,16699,4515,2361,2125,4513,2356,1724,97,99,0,500,4640;
@400000005e313b762159eafb #d,-,18,4427,2361,1812,396,2,269506,16709,4515,2361,2143,4427,2359,1784,97,99,0,500,4548;
@400000005e313b782167d190 #d,-,18,4282,2362,1928,398,2,269643,16717,4427,2362,2140,4282,2360,1718,96,99,0,500,4455;
@400000005e313b7821712844 #d,-,18,4453,2360,2128,399,2,269833,16729,4453,2362,2133,4282,2359,1718,95,99,0,500,4666;
@400000005e313b7a217f8079 #d,-,18,4559,2362,1851,400,2,269863,16731,4559,2363,2128,4453,2360,1720,97,99,0,500,4668;
@400000005e313b7a2188bb3d #d,-,18,4439,2361,1762,401,2,270008,16740,4559,2362,2149,4439,2359,1762,97,99,0,500,4571;
@400000005e313b7c21968a8a #d,-,18,4314,2363,1912,402,2,270149,16749,4439,2363,2159,4314,2361,1719,96,99,0,500,4455;
@400000005e313b7c219fcdaf #d,-,18,4397,2362,2097,404,2,270274,16756,4397,2365,2157,4314,2361,1720,95,99,0,500,4623;
