@400000005e7324d82f4725e5 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7324d91d991671 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e73250525a678d2 #d,-,18,2429,2360,1127,30,0,184300,11426,2430,2361,1131,2429,2359,1123,89,100,0,501,2704;
@400000005e73250725b3db28 #d,-,18,2428,2360,1127,31,0,184060,11411,2429,2361,1132,2428,2359,1122,89,100,0,501,2701;
@400000005e73250725bce3a2 #d,-,18,2427,2360,1125,32,0,183826,11397,2428,2361,1131,2427,2359,1124,89,100,0,501,2704;
@400000005e73250925c9ff30 #d,-,18,2426,2360,1129,32,0,184006,11408,2427,2361,1131,2426,2359,1124,89,100,0,501,2701;
@400000005e73250925d2827b #d,-,18,2425,2360,1125,33,0,183401,11370,2426,2362,1132,2425,2359,1125,89,100,0,501,2706;
@400000005e73250b25e2bef9 #d,-,18,2425,2360,1139,34,0,183208,11358,2425,2362,1139,2425,2360,1122,89,100,0,501,2704;
@400000005e73250b25ecc5b3 #d,-,18,2667,2361,1425,34,0,183889,11401,2667,2362,1429,2425,2359,1139,92,100,0,501,2877;
@400000005e73250d25fc9092 #d,-,18,3082,2361,1220,35,0,184801,11457,3082,2361,1425,2667,2357,1184,93,100,0,501,3289;
@400000005e73250d2606121e #d,-,18,2908,2360,1240,36,0,184892,11463,3082,2361,1412,2908,2358,1220,91,100,0,501,3168;
@400000005e73250f26165d82 #d,-,18,2709,2361,1312,37,0,185223,11483,2908,2361,1384,2709,2358,1164,91,100,0,501,2971;
@400000005e73250f261fb7f1 #d,-,18,3060,2359,1359,38,0,185950,11528,3060,2361,1429,2709,2358,1312,94,100,0,501,3249;
@400000005e732511262f5085 #d,-,18,2960,2359,1302,38,0,186262,11548,3060,2361,1373,2960,2359,1185,92,100,0,501,3197;
@400000005e73251126390904 #d,-,18,2809,2358,1390,39,0,186542,11565,2960,2361,1395,2809,2358,1172,91,100,0,501,3083;
@400000005e7325132648acc5 #d,-,18,2922,2359,1401,40,0,187174,11604,2922,2360,1440,2809,2358,1315,93,100,0,501,3118;
@400000005e732513265226dd #d,-,18,3004,2360,1235,41,0,187453,11622,3004,2360,1413,2922,2358,1164,91,100,0,501,3282;
@400000005e73251526626acf #d,-,18,2842,2357,1245,42,0,187580,11629,3004,2360,1312,2842,2357,1180,92,100,0,501,3062;
@400000005e732515266bc53d #d,-,18,2836,2356,1398,43,0,188134,11664,2842,2358,1429,2836,2355,1245,93,100,0,501,3031;
@400000005e732517267a9a3e #d,-,18,3114,2357,1350,43,0,188831,11707,3114,2358,1404,2836,2355,1196,93,100,0,501,3315;
@400000005e7325172684083b #d,-,18,2791,2359,1185,44,0,188646,11696,3114,2360,1351,2791,2357,1185,91,100,0,501,3064;
@400000005e73251926916d5c #d,-,18,2595,2361,1129,45,0,188419,11681,2791,2361,1185,2595,2359,1119,89,100,0,501,2886;
@400000005e732519269a0c98 #d,-,18,2421,2361,1125,45,0,188187,11667,2595,2361,1131,2421,2359,1124,89,100,0,501,2701;
@400000005e73251b26a75f19 #d,-,18,2421,2362,1129,46,0,187965,11653,2421,2362,1133,2421,2359,1125,89,100,0,501,2704;
@400000005e73251b26b07767 #d,-,18,2421,2361,1129,47,0,187750,11640,2421,2362,1133,2421,2359,1124,89,100,0,501,2708;
@400000005e73251d26bd8a93 #d,-,18,2421,2361,1128,47,0,187543,11627,2421,2362,1133,2421,2359,1125,89,100,0,501,2706;
@400000005e73251d26c62d89 #d,-,18,2422,2361,1130,48,0,187343,11615,2422,2363,1133,2421,2360,1125,89,100,0,501,2706;
@400000005e73251f26d315de #d,-,18,2422,2361,1127,49,0,187149,11603,2422,2363,1136,2422,2361,1125,89,100,0,501,2708;
@400000005e73251f26dc2e2d #d,-,18,2423,2361,1129,49,0,187229,11608,2423,2363,1133,2422,2361,1122,89,100,0,501,2708;
