@400000005e8ad2e42b286afe #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8ad2e519792657 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8ad30f21680883 #d,-,18,2982,2364,1401,32,0,207010,12834,2982,2366,1931,2459,2362,1139,95,100,0,499,3130;
@400000005e8ad3112174a656 #d,-,18,3351,2365,1391,33,0,207510,12865,3351,2365,1849,2982,2360,1287,93,100,0,499,3600;
@400000005e8ad311217c114e #d,-,18,3403,2365,1423,34,0,208477,12925,3403,2365,1994,3351,2361,1278,94,100,0,499,3611;
@400000005e8ad313218b09b2 #d,-,18,3335,2363,1414,35,0,209779,13006,3403,2365,1845,3335,2361,1305,89,100,0,499,3716;
@400000005e8ad31321945805 #d,-,18,3340,2362,1576,36,0,210150,13029,3340,2364,1930,3335,2361,1258,91,100,0,499,3654;
@400000005e8ad31521a3fbc6 #d,-,18,3473,2362,1664,37,0,210831,13071,3473,2365,2010,3340,2362,1254,92,100,0,499,3742;
@400000005e8ad31521ad9cfc #d,-,18,3476,2361,1843,38,0,211562,13116,3476,2365,1843,3473,2360,1300,91,100,0,499,3799;
@400000005e8ad31721bca08e #d,-,18,3425,2361,1893,39,0,212042,13146,3476,2365,1893,3425,2360,1239,93,100,0,499,3656;
@400000005e8ad31721c5feb6 #d,-,18,3428,2365,1169,40,0,212408,13169,3428,2367,1907,3425,2361,1169,93,100,0,499,3682;
@400000005e8ad31921d2d824 #d,-,18,2665,2366,1139,41,0,212153,13153,3428,2367,1173,2665,2365,1136,87,100,0,499,3031;
@400000005e8ad31921dba237 #d,-,18,2479,2365,1137,41,0,211054,13085,2665,2367,1151,2479,2364,1131,90,100,0,499,2753;
@400000005e8ad31b21e8b1aa #d,-,18,2474,2367,1139,42,0,210367,13042,2479,2367,1145,2474,2365,1107,90,100,0,499,2727;
@400000005e8ad31b21f1313c #d,-,18,2471,2365,1137,43,0,210115,13027,2474,2367,1139,2471,2364,1132,90,100,0,499,2737;
@400000005e8ad31d21fdf71c #d,-,18,2469,2365,1134,43,0,209103,12964,2471,2367,1141,2469,2363,1132,90,100,0,499,2737;
@400000005e8ad31d2206bd75 #d,-,18,2467,2367,1136,44,0,208503,12927,2469,2367,1139,2467,2363,1131,90,100,0,499,2734;
@400000005e8ad31f2213e077 #d,-,18,2465,2364,1134,45,0,208295,12914,2467,2367,1138,2465,2364,1132,90,100,0,499,2734;
@400000005e8ad31f221c54db #d,-,18,2463,2364,1136,45,0,207370,12856,2465,2366,1139,2463,2363,1132,90,100,0,499,2734;
@400000005e8ad321222a52b9 #d,-,18,2462,2365,1292,46,0,206903,12827,2463,2366,1292,2462,2364,1131,90,100,0,499,2732;
@400000005e8ad3212233b943 #d,-,18,3184,2365,1281,47,0,207904,12890,3184,2365,1888,2462,2360,1277,93,100,0,499,3391;
@400000005e8ad3232242c08e #d,-,18,3415,2363,1306,48,0,208277,12913,3415,2365,1862,3184,2359,1281,94,100,0,499,3628;
@400000005e8ad323224c35fe #d,-,18,3416,2361,1318,49,0,208918,12952,3416,2365,1957,3415,2359,1280,95,100,0,499,3590;
@400000005e8ad325225a3884 #d,-,18,3327,2363,1411,50,0,209920,13015,3416,2363,1939,3327,2359,1275,92,100,0,499,3595;
@400000005e8ad3252263d158 #d,-,18,3451,2364,1390,51,0,210227,13034,3451,2364,2000,3327,2359,1279,92,100,0,499,3732;
@400000005e8ad32722729a3e #d,-,18,3381,2363,1379,52,0,210817,13070,3451,2364,1857,3381,2360,1286,90,100,0,499,3723;
@400000005e8ad327227c1810 #d,-,18,3380,2362,1352,53,0,211368,13104,3381,2363,1936,3380,2360,1285,92,100,0,499,3635;
@400000005e8ad329228ab264 #d,-,18,3379,2361,1400,54,0,211869,13135,3380,2364,1934,3379,2359,1275,93,100,0,499,3628;
@400000005e8ad3292294241a #d,-,18,3383,2363,1139,54,0,211548,13116,3383,2365,1431,3379,2361,1120,92,100,0,499,3673;
@400000005e8ad32b22a12860 #d,-,18,2447,2365,1136,55,0,211031,13083,3383,2365,1140,2447,2362,1133,89,100,0,499,2744;
@400000005e8ad32b22a9f62d #d,-,18,2448,2365,1135,56,0,210527,13052,2448,2365,1141,2447,2363,1133,89,100,0,499,2737;
@400000005e8ad32d22b6df71 #d,-,18,2448,2363,1137,56,0,210338,13041,2448,2365,1140,2448,2362,1133,89,100,0,499,2737;
@400000005e8ad32d22bfa122 #d,-,18,2449,2362,1140,57,0,209562,12992,2449,2365,1140,2448,2362,1133,89,100,0,499,2734;
@400000005e8ad32f22ccc8cc #d,-,18,2449,2362,1135,58,0,209099,12964,2449,2364,1142,2449,2362,1132,89,100,0,499,2734;
@400000005e8ad32f22d53ffc #d,-,18,2450,2361,1137,59,0,208935,12954,2450,2364,1139,2449,2361,1133,89,100,0,499,2734;
@400000005e8ad33122e18cc9 #d,-,18,2450,2365,1134,59,0,208210,12909,2450,2365,1138,2450,2361,1132,89,100,0,499,2732;
@400000005e8ad33122e902ed #d,-,18,2451,2365,1132,60,0,207784,12882,2451,2365,1140,2450,2363,1131,89,100,0,499,2734;
@400000005e8ad33322fb3eb7 #d,-,18,2455,2362,1368,61,0,208087,12901,2455,2365,1956,2451,2359,1128,89,100,0,499,2737;
@400000005e8ad33323063f09 #d,-,18,3439,2362,1688,62,0,208588,12932,3439,2364,1973,2455,2360,1272,94,100,0,499,3642;
@400000005e8ad3352310075d #d,-,18,3441,2362,1855,63,0,208985,12957,3441,2364,1864,3439,2361,1278,91,100,0,499,3751;
@400000005e8ad335231483af #d,-,18,3445,2361,1764,64,0,209584,12994,3445,2364,1855,3441,2360,1262,93,100,0,499,3690;
@400000005e8ad33723216c04 #d,-,18,3443,2362,1263,64,0,209614,12996,3445,2363,1978,3443,2360,1183,93,100,0,499,3664;
@400000005e8ad3372329d094 #d,-,18,3440,2363,1282,65,0,210362,13042,3443,2364,1946,3440,2360,1263,93,100,0,499,3661;
@400000005e8ad3392336f83d #d,-,18,3385,2362,1306,66,0,210615,13058,3440,2364,1868,3385,2359,1278,93,100,0,499,3609;
@400000005e8ad339233e798f #d,-,18,3381,2363,1313,67,0,211034,13084,3385,2363,1965,3381,2359,1256,95,100,0,499,3538;
@400000005e8ad33b234ce90c #d,-,18,3218,2363,1451,68,0,211710,13126,3381,2364,1974,3218,2359,1219,92,100,0,499,3495;
@400000005e8ad33b2356384d #d,-,18,3318,2364,1146,69,0,211189,13093,3318,2365,1451,3218,2361,1143,88,100,0,499,3749;
@400000005e8ad33d23635b4e #d,-,18,2467,2364,1158,70,0,210801,13069,3318,2364,1158,2467,2362,1136,88,100,0,499,2782;
@400000005e8ad33d236bd726 #d,-,18,2467,2364,1146,70,0,210393,13044,2467,2364,1161,2467,2362,1095,89,100,0,499,2749;
@400000005e8ad33f2378cb97 #d,-,18,2463,2364,1139,71,0,210003,13020,2467,2365,1146,2463,2362,1128,90,100,0,499,2720;
@400000005e8ad33f23816271 #d,-,18,2462,2364,1132,72,0,209622,12996,2463,2365,1140,2462,2362,1130,90,100,0,499,2730;
@400000005e8ad341238e4bb5 #d,-,18,2461,2364,1138,72,0,209251,12973,2462,2364,1138,2461,2362,1131,90,100,0,499,2730;
@400000005e8ad34123971982 #d,-,18,2459,2362,1133,73,0,208886,12950,2461,2364,1138,2459,2360,1130,90,100,0,499,2732;
@400000005e8ad34323a57570 #d,-,18,2458,2361,1134,74,0,208529,12928,2459,2363,1137,2458,2360,1132,90,100,0,499,2730;
@400000005e8ad34323adcde4 #d,-,18,2458,2360,1134,74,0,208181,12907,2458,2363,1139,2458,2360,1133,90,100,0,499,2730;
@400000005e8ad34523bfdb1d #d,-,18,2461,2359,1461,75,0,208661,12937,2461,2362,1935,2458,2357,1132,89,100,0,499,2739;
