@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d735c140d644e #d,-,18,2689,2336,1161,137,0,192521,11936,2690,2339,1162,2689,2335,1157,98,100,0,500,2717;
@400000005e1d735c141864a0 #d,-,18,2689,2332,1162,138,0,192520,11936,2689,2336,1164,2689,2332,1160,98,100,0,500,2719;
@400000005e1d735e142939db #d,-,18,2688,2333,1185,138,0,192525,11936,2689,2334,1185,2688,2331,1162,98,100,0,500,2717;
@400000005e1d735e1433a8e3 #d,-,18,2692,2332,1164,139,0,192531,11936,2692,2334,1194,2688,2332,1155,97,100,0,500,2749;
@400000005e1d7360143c72f6 #d,-,18,2690,2333,1162,140,0,192531,11936,2692,2333,1165,2690,2331,1162,99,100,0,500,2716;
@400000005e1d73601444bc84 #d,-,18,2690,2331,1163,141,0,192531,11936,2690,2333,1164,2690,2330,1162,98,100,0,500,2719;
@400000005e1d7362144dd02a #d,-,18,2689,2332,1162,141,0,192530,11936,2690,2332,1164,2689,2330,1161,98,100,0,500,2717;
@400000005e1d736214534703 #d,-,18,2688,2333,1173,142,0,192531,11936,2689,2334,1173,2688,2331,1161,98,100,0,500,2717;
@400000005e1d7364145fb646 #d,-,18,2692,2332,1163,143,0,192540,11937,2692,2334,1195,2688,2331,1157,97,100,0,500,2748;
@400000005e1d7364146a9422 #d,-,18,2691,2333,1163,144,0,192541,11937,2692,2333,1166,2691,2331,1161,98,100,0,500,2719;
@400000005e1d73661473521a #d,-,18,2691,2333,1163,144,0,192640,11943,2691,2333,1164,2691,2333,1163,98,100,0,500,2721;
@400000005e1d7366147e65fa #d,-,18,2690,2331,1162,145,0,192542,11937,2691,2333,1164,2690,2330,1162,98,100,0,500,2719;
@400000005e1d73681487017d #d,-,18,2690,2330,1165,146,0,192641,11943,2690,2331,1165,2690,2330,1162,98,100,0,500,2721;
@400000005e1d73681491f96d #d,-,18,2693,2333,1159,147,0,192553,11938,2693,2333,1195,2690,2330,1155,98,100,0,500,2744;
@400000005e1d736a149adf71 #d,-,18,2692,2333,1163,147,0,192554,11938,2693,2333,1166,2692,2332,1159,98,100,0,500,2724;
@400000005e1d736a14a0c340 #d,-,18,2692,2331,1164,148,0,192650,11944,2692,2333,1165,2692,2329,1162,99,100,0,500,2719;
@400000005e1d736c14a9627c #d,-,18,2691,2328,1164,149,0,192554,11938,2692,2331,1165,2691,2328,1162,98,100,0,500,2719;
@400000005e1d736c14b27269 #d,-,18,2690,2331,1163,149,0,192553,11938,2691,2331,1166,2690,2328,1163,98,100,0,500,2719;
@400000005e1d736e14bb1cd2 #d,-,18,2693,2331,1158,150,0,192563,11938,2693,2332,1195,2690,2330,1156,98,100,0,500,2735;
@400000005e1d736e14c4e16c #d,-,18,2693,2332,1163,151,0,192563,11938,2693,2332,1166,2693,2329,1158,98,100,0,500,2728;
@400000005e1d737014d42363 #d,-,18,2691,2330,1163,152,0,192562,11938,2693,2333,1164,2691,2330,1162,98,100,0,500,2719;
@400000005e1d737014df179a #d,-,18,2691,2331,1163,152,0,192562,11938,2691,2332,1164,2691,2330,1162,99,100,0,500,2717;
@400000005e1d737214e7fd9e #d,-,18,2690,2332,1163,153,0,192561,11938,2691,2332,1165,2690,2329,1163,99,100,0,500,2717;
@400000005e1d737214ed9e5f #d,-,18,2691,2328,1157,154,0,192571,11939,2691,2332,1195,2690,2328,1157,98,100,0,500,2728;
@400000005e1d737414f654e4 #d,-,18,2692,2331,1163,155,0,192663,11945,2692,2331,1166,2691,2328,1156,98,100,0,500,2735;
@400000005e1d7374150057e4 #d,-,18,2691,2328,1163,155,0,192661,11945,2692,2331,1165,2691,2328,1163,99,100,0,500,2717;
@400000005e1d7376150f8a06 #d,-,18,2691,2328,1164,156,0,192569,11939,2691,2329,1165,2691,2328,1163,99,100,0,500,2717;
@400000005e1d7376151a34a9 #d,-,18,2690,2329,1162,157,0,192568,11939,2691,2330,1164,2690,2328,1162,99,100,0,500,2717;
@400000005e1d737815276780 #d,-,18,2690,2328,1161,158,0,192578,11939,2690,2329,1196,2690,2327,1161,98,100,0,500,2719;
@400000005e1d73781531c7a2 #d,-,18,2691,2328,1163,158,0,192576,11939,2691,2329,1167,2690,2327,1157,98,100,0,500,2739;
@400000005e1d737a153c6270 #d,-,18,2691,2329,1163,159,0,192574,11939,2691,2329,1165,2691,2327,1163,99,100,0,500,2717;
@400000005e1d737a154737ea #d,-,18,2690,2327,1164,160,0,192573,11939,2691,2329,1165,2690,2327,1163,99,100,0,500,2716;
@400000005e1d737c1552ad95 #d,-,18,2689,2330,1164,161,0,192572,11939,2690,2330,1165,2689,2327,1162,99,100,0,500,2716;
@400000005e1d737c155ce699 #d,-,18,2688,2327,1173,161,1,192581,11940,2689,2330,1195,2688,2326,1162,98,100,0,500,2716;
@400000005e1d737e156c6f58 #d,-,18,2691,2327,1164,162,1,192667,11945,2691,2329,1173,2688,2327,1156,98,100,0,500,2742;
@400000005e1d737e15776bf1 #d,-,18,2690,2329,1162,163,1,192578,11939,2691,2329,1165,2690,2326,1162,99,100,0,500,2716;
@400000005e1d73801587a4b5 #d,-,18,2689,2329,1163,164,1,192577,11939,2690,2329,1165,2689,2329,1162,98,100,0,500,2717;
@400000005e1d7380159214ac #d,-,18,2688,2327,1163,164,1,192575,11939,2689,2329,1164,2688,2327,1162,99,100,0,500,2714;
@400000005e1d738215a25c57 #d,-,18,2687,2329,1186,165,1,192584,11940,2688,2329,1195,2687,2327,1163,98,100,0,500,2716;
@400000005e1d738215acc032 #d,-,18,2690,2328,1162,166,1,192582,11940,2690,2330,1186,2687,2328,1157,98,100,0,500,2742;
@400000005e1d738415b80392 #d,-,18,2690,2327,1163,167,1,192580,11940,2690,2330,1165,2690,2327,1162,99,100,0,500,2716;
@400000005e1d738415c2fb82 #d,-,18,2689,2329,1163,167,1,192579,11939,2690,2329,1164,2689,2327,1163,99,100,0,500,2716;
@400000005e1d738615d357ab #d,-,18,2688,2329,1162,168,1,192578,11939,2689,2331,1164,2688,2328,1162,98,100,0,500,2716;
@400000005e1d738615ddbb86 #d,-,18,2687,2328,1194,169,1,192669,11945,2688,2332,1194,2687,2328,1162,99,100,0,500,2714;
@400000005e1d738815ebfb84 #d,-,18,2690,2331,1163,170,1,192584,11940,2690,2331,1194,2687,2327,1155,98,100,0,500,2744;
@400000005e1d738815f6876b #d,-,18,2689,2329,1164,170,1,192582,11940,2690,2331,1164,2689,2329,1161,99,100,0,500,2714;
@400000005e1d738a1605e465 #d,-,18,2690,2330,1173,171,1,192589,11940,2690,2332,1176,2689,2329,1164,98,100,0,500,2728;
@400000005e1d738a16109b24 #d,-,18,2759,2332,1166,172,1,192603,11941,2759,2332,1267,2690,2329,1137,98,100,0,500,2792;
@400000005e1d738c16204eba #d,-,18,2671,2332,1193,173,1,192609,11941,2759,2333,1193,2671,2330,1161,98,100,0,500,2705;
@400000005e1d738c162aed42 #d,-,18,2675,2329,1163,173,1,192610,11941,2675,2332,1194,2671,2325,1157,97,100,0,500,2744;
@400000005e1d738e1635da05 #d,-,18,2676,2330,1163,174,1,192690,11946,2676,2331,1164,2675,2328,1162,98,100,0,500,2714;
@400000005e1d738e16392986 #d,-,18,2677,2329,1162,175,1,192607,11941,2677,2330,1164,2676,2328,1162,98,100,0,500,2714;
@400000005e1d739016405d8b #d,-,18,2678,2330,1162,176,1,192606,11941,2678,2330,1165,2677,2328,1161,98,100,0,500,2716;
@400000005e1d7390164a5829 #d,-,18,2679,2329,1189,176,1,192609,11941,2679,2330,1189,2678,2327,1162,98,100,0,500,2716;
@400000005e1d73921656a04e #d,-,18,2683,2330,1172,177,1,192615,11942,2683,2330,1195,2679,2328,1156,97,100,0,500,2749;
@400000005e1d73921660e56e #d,-,18,2684,2331,1161,178,1,192615,11942,2684,2331,1172,2683,2330,1160,98,100,0,500,2724;
@400000005e1d7394166cb56f #d,-,18,2684,2329,1161,178,1,192614,11942,2684,2331,1163,2684,2329,1161,98,100,0,500,2716;
@400000005e1d739416778641 #d,-,18,2684,2331,1162,179,1,192613,11942,2684,2331,1166,2684,2329,1161,98,100,0,500,2716;
@400000005e1d73961682adb1 #d,-,18,2684,2330,1177,180,1,192613,11942,2684,2332,1177,2684,2330,1160,98,100,0,500,2716;
@400000005e1d7396168d127a #d,-,18,2688,2331,1162,181,1,192698,11947,2688,2331,1194,2684,2329,1155,97,100,0,500,2746;
@400000005e1d739816983630 #d,-,18,2686,2331,1161,181,1,192695,11947,2688,2331,1164,2686,2329,1161,99,100,0,500,2710;
@400000005e1d739816a31a91 #d,-,18,2686,2330,1162,182,1,192615,11942,2686,2332,1163,2686,2329,1161,98,100,0,500,2714;
@400000005e1d739a16b3b8d9 #d,-,18,2685,2332,1161,183,1,192614,11942,2686,2333,1163,2685,2330,1161,98,100,0,500,2714;
@400000005e1d739a16bdc34d #d,-,18,2685,2330,1163,184,1,192612,11941,2685,2333,1163,2685,2330,1160,98,100,0,500,2714;
@400000005e1d739c16ce6cc2 #d,-,18,2690,2331,1155,184,1,192620,11942,2690,2333,1209,2685,2330,1147,97,100,0,500,2753;
@400000005e1d739c16d8b955 #d,-,18,2687,2331,1161,185,1,192695,11947,2690,2333,1162,2687,2331,1155,99,100,0,500,2707;
@400000005e1d739e16e8af0b #d,-,18,2686,2332,1161,186,1,192692,11946,2687,2332,1163,2686,2328,1158,99,100,0,500,2712;
@400000005e1d739e16f3a7ea #d,-,18,2685,2330,1162,187,1,192612,11941,2686,2332,1162,2685,2328,1159,99,100,0,500,2710;
@400000005e1d73a017044da5 #d,-,18,2684,2328,1161,187,1,192610,11941,2685,2330,1163,2684,2327,1161,99,100,0,500,2710;
@400000005e1d73a0170ec156 #d,-,18,2687,2329,1162,188,1,192616,11942,2687,2330,1194,2684,2327,1155,98,100,0,500,2732;
@400000005e1d73a2171f5382 #d,-,18,2688,2330,1164,189,1,192617,11942,2688,2330,1172,2687,2328,1160,98,100,0,500,2730;
@400000005e1d73a21729a877 #d,-,18,2687,2327,1164,190,1,192615,11942,2688,2330,1164,2687,2327,1162,98,100,0,500,2716;
@400000005e1d73a4173a3aa4 #d,-,18,2686,2327,1162,190,1,192614,11942,2687,2328,1164,2686,2326,1161,98,100,0,500,2714;
@400000005e1d73a4174463d3 #d,-,18,2685,2329,1162,191,1,192612,11941,2686,2329,1163,2685,2326,1161,99,100,0,500,2712;
@400000005e1d73a617544e5c #d,-,18,2687,2328,1153,192,1,192618,11942,2687,2329,1194,2685,2328,1153,98,100,0,500,2726;
@400000005e1d73a6175f33ac #d,-,18,2688,2327,1161,193,1,192690,11946,2688,2328,1164,2687,2326,1153,98,100,0,500,2728;
@400000005e1d73a8176fd4bf #d,-,18,2686,2329,1161,193,1,192613,11942,2688,2329,1162,2686,2326,1160,99,100,0,500,2712;
@400000005e1d73a8177a4870 #d,-,18,2685,2327,1162,194,1,192611,11941,2686,2329,1163,2685,2327,1161,99,100,0,500,2710;
@400000005e1d73aa178aa498 #d,-,18,2684,2327,1163,195,1,192608,11941,2685,2327,1163,2684,2326,1161,99,100,0,500,2710;
@400000005e1d73aa1794f89e #d,-,18,2685,2327,1158,196,1,192615,11942,2685,2329,1194,2684,2326,1158,98,100,0,500,2717;
@400000005e1d73ac17a5aa75 #d,-,18,2686,2330,1160,196,1,192611,11941,2686,2330,1164,2685,2326,1155,98,100,0,500,2733;
@400000005e1d73ac17afdc06 #d,-,18,2686,2331,1160,197,1,192609,11941,2686,2331,1162,2686,2328,1160,99,100,0,500,2710;
@400000005e1d73ae17bfc95a #d,-,18,2685,2329,1161,198,1,192606,11941,2686,2331,1163,2685,2329,1160,99,100,0,500,2712;
@400000005e1d73ae17cae956 #d,-,18,2684,2326,1163,199,1,192604,11941,2685,2330,1163,2684,2326,1160,99,100,0,500,2710;
@400000005e1d73b017db92cc #d,-,18,2684,2328,1169,199,1,192610,11941,2684,2328,1194,2684,2326,1161,98,100,0,500,2714;
@400000005e1d73b017e602c2 #d,-,18,2686,2328,1162,200,1,192606,11941,2686,2328,1169,2684,2326,1154,98,100,0,500,2735;
@400000005e1d73b217f69135 #d,-,18,2685,2328,1160,201,1,192603,11941,2686,2329,1162,2685,2327,1159,99,100,0,500,2710;
@400000005e1d73b21800f511 #d,-,18,2683,2329,1160,201,1,192600,11941,2685,2330,1161,2683,2328,1159,99,100,0,500,2707;
@400000005e1d73b41811a32e #d,-,18,2683,2329,1162,202,1,192598,11941,2683,2331,1162,2683,2329,1159,99,100,0,500,2708;
@400000005e1d73b4181be3a6 #d,-,18,2682,2327,1183,203,1,192674,11945,2683,2331,1194,2682,2326,1159,98,100,0,500,2710;
@400000005e1d73b6182c4388 #d,-,18,2685,2329,1161,204,1,192599,11941,2685,2330,1183,2682,2326,1154,98,100,0,500,2735;
@400000005e1d73b618372c91 #d,-,18,2684,2329,1160,204,1,192597,11941,2685,2330,1162,2684,2328,1159,99,100,0,500,2710;
@400000005e1d73b818470eb9 #d,-,18,2683,2328,1160,205,1,192594,11940,2684,2330,1162,2683,2328,1160,99,100,0,500,2707;
@400000005e1d73b81851fb7b #d,-,18,2682,2328,1161,206,1,192591,11940,2683,2330,1161,2682,2328,1160,99,100,0,500,2708;
@400000005e1d73ba1862c0e1 #d,-,18,2681,2326,1193,207,1,192665,11945,2682,2330,1194,2681,2326,1160,98,100,0,500,2710;
@400000005e1d73ba186d5baf #d,-,18,2684,2326,1162,207,1,192593,11940,2684,2329,1193,2681,2326,1153,98,100,0,500,2737;
@400000005e1d73bc187e0c98 #d,-,18,2683,2327,1161,208,1,192590,11940,2684,2327,1162,2683,2326,1160,99,100,0,500,2708;
@400000005e1d73bc1888baf5 #d,-,18,2682,2327,1162,209,1,192588,11940,2683,2328,1162,2682,2326,1160,99,100,0,500,2708;
@400000005e1d73be189945ae #d,-,18,2682,2327,1160,210,1,192585,11940,2682,2328,1162,2682,2327,1160,99,100,0,500,2708;
@400000005e1d73be18a38626 #d,-,18,2681,2329,1193,210,1,192589,11940,2682,2330,1193,2681,2327,1160,98,100,0,500,2710;
@400000005e1d73c018b3843e #d,-,18,2684,2327,1162,211,1,192588,11940,2684,2330,1193,2681,2327,1153,97,100,0,500,2741;
@400000005e1d73c018be698d #d,-,18,2683,2330,1160,212,1,192586,11940,2684,2330,1162,2683,2327,1160,99,100,0,500,2708;
@400000005e1d73c218cf463b #d,-,18,2683,2328,1161,213,1,192583,11940,2683,2330,1162,2683,2328,1160,99,100,0,500,2708;
@400000005e1d73c218d99dfb #d,-,18,2682,2327,1161,213,1,192580,11940,2683,2330,1162,2682,2327,1160,98,100,0,500,2710;
@400000005e1d73c418e6926c #d,-,18,2681,2330,1199,214,1,192585,11940,2682,2330,1199,2681,2327,1160,99,100,0,500,2708;
@400000005e1d73c418edaf28 #d,-,18,2735,2329,1164,215,1,192603,11941,2735,2330,1249,2681,2327,1164,98,100,0,500,2765;
@400000005e1d73c618fa133e #d,-,18,2732,2328,1160,216,1,192598,11941,2735,2330,1165,2732,2328,1141,99,100,0,500,2753;
@400000005e1d73c61904a1f1 #d,-,18,2677,2330,1160,216,1,192595,11940,2732,2330,1161,2677,2327,1159,98,100,0,500,2708;
@400000005e1d73c819122302 #d,-,18,2677,2328,1161,217,1,192593,11940,2677,2330,1163,2677,2328,1159,98,100,0,500,2710;
@400000005e1d73c8191c7709 #d,-,18,2677,2331,1177,218,1,192592,11940,2677,2332,1177,2677,2328,1159,98,100,0,500,2708;
@400000005e1d73ca192c2f47 #d,-,18,2681,2331,1160,219,1,192595,11940,2681,2332,1194,2677,2329,1152,97,100,0,500,2744;
@400000005e1d73ca19373353 #d,-,18,2680,2330,1160,219,1,192593,11940,2681,2331,1162,2680,2328,1160,99,100,0,500,2707;
@400000005e1d73cc19479aa8 #d,-,18,2680,2330,1160,220,1,192591,11940,2680,2331,1161,2680,2329,1159,98,100,0,500,2712;
@400000005e1d73cc19523cea #d,-,18,2680,2332,1159,221,1,192589,11940,2680,2332,1160,2680,2330,1159,98,100,0,500,2710;
@400000005e1d73ce19607dd6 #d,-,18,2679,2331,1164,222,1,192587,11940,2680,2332,1164,2679,2331,1159,98,100,0,500,2712;
@400000005e1d73ce196aaabf #d,-,18,2684,2331,1157,222,1,192592,11940,2684,2332,1192,2679,2331,1152,97,100,0,500,2739;
@400000005e1d73d019787a0b #d,-,18,2682,2330,1159,223,1,192653,11944,2684,2331,1161,2682,2329,1157,98,100,0,500,2712;
@400000005e1d73d019836315 #d,-,18,2682,2329,1159,224,1,192651,11944,2682,2331,1162,2682,2329,1158,98,100,0,500,2710;
@400000005e1d73d219938fbe #d,-,18,2681,2333,1159,224,1,192585,11940,2682,2333,1161,2681,2329,1158,99,100,0,500,2708;
@400000005e1d73d2199dffb5 #d,-,18,2680,2331,1159,225,1,192646,11944,2681,2334,1160,2680,2331,1158,98,100,0,500,2712;
@400000005e1d73d419add207 #d,-,18,2684,2333,1155,226,1,192587,11940,2684,2334,1190,2680,2331,1152,98,100,0,500,2730;
@400000005e1d73d419b8136d #d,-,18,2683,2331,1158,227,1,192585,11940,2684,2333,1160,2683,2331,1155,98,100,0,500,2717;
@400000005e1d73d619c63c22 #d,-,18,2682,2333,1159,227,1,192583,11940,2683,2333,1160,2682,2331,1158,98,100,0,500,2710;
@400000005e1d73d619d1683a #d,-,18,2681,2331,1159,228,1,192580,11940,2682,2333,1160,2681,2331,1158,99,100,0,500,2708;
@400000005e1d73d819e06f85 #d,-,18,2681,2332,1159,229,1,192578,11939,2681,2333,1160,2681,2331,1158,98,100,0,500,2710;
@400000005e1d73d819ead360 #d,-,18,2683,2334,1150,230,1,192645,11944,2683,2334,1191,2681,2331,1150,98,100,0,500,2724;
@400000005e1d73da19fb5e1a #d,-,18,2684,2334,1158,230,1,192580,11940,2684,2334,1162,2683,2331,1150,98,100,0,500,2724;
@400000005e1d73da1a05b6c8 #d,-,18,2682,2331,1159,231,1,192578,11939,2684,2334,1160,2682,2331,1158,98,100,0,500,2710;
@400000005e1d73dc1a141de3 #d,-,18,2682,2331,1161,232,1,192577,11939,2682,2333,1161,2682,2331,1159,98,100,0,500,2710;
@400000005e1d73dc1a1ef717 #d,-,18,2681,2331,1159,233,1,192574,11939,2682,2332,1161,2681,2330,1159,98,100,0,500,2710;
@400000005e1d73de1a2d149f #d,-,18,2683,2332,1155,234,1,192580,11939,2683,2333,1192,2681,2331,1155,98,100,0,500,2719;
@400000005e1d73de1a37b327 #d,-,18,2684,2333,1159,234,1,192578,11939,2684,2333,1161,2683,2332,1153,98,100,0,500,2733;
@400000005e1d73e01a48a71e #d,-,18,2684,2328,1160,235,1,192576,11939,2684,2333,1162,2684,2328,1159,98,100,0,500,2712;
@400000005e1d73e01a530fa1 #d,-,18,2683,2328,1161,236,1,192574,11939,2684,2329,1164,2683,2327,1159,98,100,0,500,2712;
@400000005e1d73e21a63a588 #d,-,18,2683,2329,1162,236,1,192573,11939,2683,2329,1164,2683,2327,1161,98,100,0,500,2712;
@400000005e1d73e21a6de246 #d,-,18,2683,2328,1165,237,1,192578,11939,2683,2329,1193,2683,2328,1162,98,100,0,500,2714;
@400000005e1d73e41a7d9d50 #d,-,18,2685,2327,1161,238,1,192576,11939,2685,2328,1165,2683,2326,1155,98,100,0,500,2737;
@400000005e1d73e41a888659 #d,-,18,2684,2328,1162,239,1,192574,11939,2685,2328,1162,2684,2326,1160,99,100,0,500,2710;
@400000005e1d73e61a96fe38 #d,-,18,2684,2326,1161,239,1,192631,11943,2684,2328,1163,2684,2326,1161,99,100,0,500,2710;
@400000005e1d73e61aa16986 #d,-,18,2683,2328,1162,240,1,192630,11943,2684,2328,1163,2683,2325,1161,99,100,0,500,2710;
@400000005e1d73e81aaf8ac8 #d,-,18,2682,2328,1181,241,1,192576,11939,2683,2328,1193,2682,2327,1162,98,100,0,500,2712;
@400000005e1d73e81ab9b89f #d,-,18,2685,2325,1162,242,1,192573,11939,2685,2328,1181,2682,2325,1155,98,100,0,500,2739;
@400000005e1d73ea1ac88184 #d,-,18,2685,2327,1163,242,1,192572,11939,2685,2327,1164,2685,2325,1162,99,100,0,500,2712;
@400000005e1d73ea1ad36e47 #d,-,18,2684,2325,1161,243,1,192570,11939,2685,2327,1164,2684,2325,1161,98,100,0,500,2714;
@400000005e1d73ec1ae26e1f #d,-,18,2683,2327,1161,244,1,192568,11939,2684,2328,1163,2683,2325,1160,99,100,0,500,2710;
@400000005e1d73ec1aecd2e9 #d,-,18,2683,2329,1190,245,1,192572,11939,2683,2330,1192,2683,2327,1161,99,100,0,500,2710;
@400000005e1d73ee1afbba8a #d,-,18,2685,2329,1161,245,1,192569,11939,2685,2330,1190,2683,2328,1154,98,100,0,500,2737;
@400000005e1d73ee1b05e4a7 #d,-,18,2684,2328,1160,246,1,192567,11939,2685,2330,1162,2684,2327,1160,99,100,0,500,2710;
@400000005e1d73f01b1580f6 #d,-,18,2683,2330,1159,247,1,192623,11942,2684,2331,1161,2683,2327,1159,99,100,0,500,2708;
@400000005e1d73f01b208147 #d,-,18,2682,2328,1160,247,1,192563,11938,2683,2331,1161,2682,2328,1159,99,100,0,500,2708;
@400000005e1d73f21b315d07 #d,-,18,2682,2331,1191,248,1,192566,11939,2682,2331,1191,2682,2328,1159,98,100,0,500,2710;
@400000005e1d73f21b3bb1fc #d,-,18,2685,2328,1161,249,1,192565,11939,2685,2331,1191,2682,2328,1152,97,100,0,500,2741;
@400000005e1d73f41b4942e3 #d,-,18,2684,2330,1160,250,1,192563,11938,2685,2331,1162,2684,2328,1160,99,100,0,500,2708;
@400000005e1d73f41b537fa1 #d,-,18,2683,2329,1160,251,1,192561,11938,2684,2330,1161,2683,2328,1160,99,100,0,500,2708;
@400000005e1d73f61b609775 #d,-,18,2682,2330,1160,251,1,192559,11938,2683,2330,1162,2682,2328,1159,98,100,0,500,2710;
@400000005e1d73f61b6b7bd6 #d,-,18,2682,2330,1189,252,1,192560,11938,2682,2330,1189,2682,2328,1159,98,100,0,500,2710;
@400000005e1d73f81b7a4963 #d,-,18,2684,2329,1162,253,1,192561,11938,2684,2330,1193,2682,2328,1153,97,100,0,500,2741;
@400000005e1d73f81b84eba5 #d,-,18,2683,2330,1159,254,1,192558,11938,2684,2332,1162,2683,2329,1158,99,100,0,500,2705;
@400000005e1d73fa1b921ac2 #d,-,18,2682,2331,1159,254,1,192556,11938,2683,2332,1160,2682,2330,1157,99,100,0,500,2707;
@400000005e1d73fa1b9d272f #d,-,18,2681,2329,1160,255,1,192553,11938,2682,2332,1161,2681,2329,1159,99,100,0,500,2708;
@400000005e1d73fc1baa2b75 #d,-,18,2681,2331,1179,256,1,192552,11938,2681,2331,1179,2681,2329,1160,99,100,0,500,2708;
@400000005e1d73fc1bb52bc7 #d,-,18,2684,2332,1161,257,1,192554,11938,2684,2332,1192,2681,2330,1151,97,100,0,500,2741;
@400000005e1d73fe1bc173ec #d,-,18,2683,2332,1172,257,1,192609,11941,2684,2333,1172,2683,2330,1159,99,100,0,500,2707;
@400000005e1d73fe1bc81b4f #d,-,18,2684,2333,1250,258,1,192563,11938,2684,2333,1250,2683,2330,1168,98,100,0,500,2724;
@400000005e1d74001bd496ad #d,-,18,2690,2330,1161,259,1,192564,11939,2690,2333,1260,2684,2330,1137,96,100,0,500,2774;
@400000005e1d74001bdf450a #d,-,18,2688,2332,1164,259,1,192563,11938,2690,2333,1164,2688,2330,1158,99,100,0,500,2705;
@400000005e1d74021bed814e #d,-,18,2691,2333,1157,260,1,192565,11939,2691,2334,1190,2688,2331,1151,98,100,0,500,2739;
@400000005e1d74021bf8669e #d,-,18,2689,2332,1161,261,1,192564,11938,2691,2334,1162,2689,2331,1157,99,100,0,500,2708;
@400000005e1d74041c055ec8 #d,-,18,2687,2331,1160,262,1,192616,11942,2689,2334,1161,2687,2331,1157,99,100,0,500,2712;
@400000005e1d74041c1020b4 #d,-,18,2686,2334,1158,262,1,192614,11942,2687,2335,1160,2686,2331,1158,99,100,0,500,2710;
@400000005e1d74061c201ecc #d,-,18,2685,2334,1158,263,1,192558,11938,2686,2335,1160,2685,2333,1157,99,100,0,500,2708;
@400000005e1d74061c2a72d2 #d,-,18,2688,2334,1153,264,1,192561,11938,2688,2336,1191,2685,2333,1151,98,100,0,500,2732;
@400000005e1d74081c3b3fab #d,-,18,2686,2333,1158,265,1,192560,11938,2688,2335,1160,2686,2333,1153,98,100,0,500,2717;
@400000005e1d74081c457c69 #d,-,18,2685,2332,1161,265,1,192559,11938,2686,2334,1162,2685,2332,1157,99,100,0,500,2710;
@400000005e1d740a1c543668 #d,-,18,2685,2334,1160,266,1,192557,11938,2685,2334,1162,2685,2332,1160,98,100,0,500,2714;
@400000005e1d740a1c5f751f #d,-,18,2684,2335,1155,267,1,192555,11938,2685,2336,1162,2684,2331,1155,98,100,0,500,2714;
@400000005e1d740c1c6f538d #d,-,18,2686,2334,1151,268,1,192559,11938,2686,2335,1191,2684,2329,1151,98,100,0,500,2724;
@400000005e1d740c1c79cbe6 #d,-,18,2685,2333,1158,268,1,192557,11938,2686,2335,1163,2685,2331,1151,98,100,0,500,2723;
@400000005e1d740e1c855077 #d,-,18,2684,2331,1159,269,1,192555,11938,2685,2333,1161,2684,2330,1158,99,100,0,500,2710;
@400000005e1d740e1c905ce4 #d,-,18,2684,2330,1161,270,1,192553,11938,2684,2332,1161,2684,2330,1159,99,100,0,500,2710;
@400000005e1d74101c9eb8d3 #d,-,18,2683,2332,1159,271,1,192551,11938,2684,2332,1161,2683,2329,1159,99,100,0,500,2708;
@400000005e1d74101ca9303d #d,-,18,2683,2330,1154,271,1,192608,11941,2683,2333,1192,2683,2329,1154,98,100,0,500,2717;
@400000005e1d74121cb98b77 #d,-,18,2685,2333,1158,272,1,192553,11938,2685,2333,1161,2683,2330,1151,98,100,0,500,2730;
@400000005e1d74121cc3e7df #d,-,18,2684,2333,1158,273,1,192552,11938,2685,2333,1161,2684,2331,1157,99,100,0,500,2710;
@400000005e1d74141cd086a1 #d,-,18,2683,2332,1159,274,1,192550,11938,2684,2333,1161,2683,2331,1158,99,100,0,500,2710;
@400000005e1d74141cdb771e #d,-,18,2682,2333,1159,274,1,192549,11938,2683,2333,1161,2682,2332,1158,98,100,0,500,2712;
@400000005e1d74161ce790b2 #d,-,18,2683,2333,1164,275,1,192553,11938,2683,2333,1192,2682,2331,1158,98,100,0,500,2712;
@400000005e1d74161cf1e960 #d,-,18,2685,2332,1159,276,1,192551,11938,2685,2333,1164,2683,2331,1152,98,100,0,500,2737;
@400000005e1d74181d01db5d #d,-,18,2684,2332,1159,277,1,192549,11938,2685,2334,1161,2684,2331,1158,99,100,0,500,2710;
@400000005e1d74181d0c2436 #d,-,18,2683,2333,1160,277,1,192599,11941,2684,2333,1160,2683,2331,1158,98,100,0,500,2712;
@400000005e1d741a1d1bd413 #d,-,18,2683,2334,1159,278,1,192546,11937,2683,2334,1162,2683,2331,1159,99,100,0,500,2710;
@400000005e1d741a1d265f0c #d,-,18,2682,2331,1180,279,1,192551,11938,2683,2334,1192,2682,2330,1159,98,100,0,500,2710;
@400000005e1d741c1d36ca1b #d,-,18,2685,2331,1160,280,1,192548,11938,2685,2333,1180,2682,2331,1152,98,100,0,500,2737;
@400000005e1d741c1d412a3d #d,-,18,2684,2332,1159,280,1,192546,11937,2685,2334,1160,2684,2331,1157,99,100,0,500,2710;
@400000005e1d741e1d4de8a9 #d,-,18,2683,2332,1158,281,1,192545,11937,2684,2334,1160,2683,2332,1158,99,100,0,500,2710;
