@400000005e1d72a1179942a6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1d72a205e5f705 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1d72cc0db6025f #d,-,18,2689,2328,1164,31,0,192649,11944,2689,2329,1164,2689,2328,1162,99,100,0,500,2716;
@400000005e1d72ce0dbf93c0 #d,-,18,2688,2329,1163,31,0,192638,11943,2689,2330,1164,2688,2328,1162,98,100,0,500,2716;
@400000005e1d72ce0dc9b57b #d,-,18,2687,2329,1163,32,0,192628,11942,2688,2330,1163,2687,2329,1161,98,100,0,500,2716;
@400000005e1d72d00dd15677 #d,-,18,2689,2328,1155,33,0,192664,11945,2689,2330,1194,2687,2328,1154,98,100,0,500,2730;
@400000005e1d72d00dd74a1c #d,-,18,2689,2328,1162,34,0,192659,11944,2689,2330,1165,2689,2328,1155,98,100,0,500,2726;
@400000005e1d72d20ddfe59e #d,-,18,2688,2330,1163,34,0,192649,11944,2689,2330,1164,2688,2328,1161,98,100,0,500,2716;
@400000005e1d72d20de4cee7 #d,-,18,2687,2330,1162,35,0,193044,11968,2688,2330,1164,2687,2329,1161,98,100,0,500,2716;
@400000005e1d72d40ded7df8 #d,-,18,2687,2329,1162,36,0,193027,11967,2687,2330,1163,2687,2329,1161,98,100,0,500,2716;
@400000005e1d72d40df25c14 #d,-,18,2688,2328,1158,37,0,193053,11969,2688,2329,1194,2687,2327,1158,98,100,0,500,2723;
@400000005e1d72d60e01e02c #d,-,18,2689,2327,1162,37,0,193037,11968,2689,2328,1165,2688,2327,1156,98,100,0,500,2735;
@400000005e1d72d60e0c11bd #d,-,18,2688,2330,1163,38,0,193018,11967,2689,2330,1164,2688,2327,1162,99,100,0,500,2714;
@400000005e1d72d80e18acc5 #d,-,18,2687,2329,1162,39,0,193003,11966,2688,2330,1163,2687,2328,1160,98,100,0,500,2716;
@400000005e1d72d80e235b22 #d,-,18,2687,2329,1162,40,0,192631,11943,2687,2329,1166,2687,2328,1160,99,100,0,500,2714;
@400000005e1d72da0e2de61b #d,-,18,2687,2329,1173,40,0,192688,11946,2687,2330,1207,2687,2329,1162,98,100,0,500,2717;
@400000005e1d72da0e34c383 #d,-,18,2743,2328,1011,41,0,192586,11940,2743,2330,1298,2687,2327,1001,99,100,0,500,2767;
@400000005e1d72dc0e4352aa #d,-,18,2565,2329,1153,42,0,192539,11937,2743,2329,1187,2565,2327,1011,97,100,0,500,2621;
@400000005e1d72dc0e4dd541 #d,-,18,2681,2329,1159,43,0,192541,11937,2681,2329,1175,2565,2328,1153,98,100,0,500,2716;
@400000005e1d72de0e5b2f35 #d,-,18,2680,2327,1180,43,0,192548,11938,2681,2329,1180,2680,2327,1159,98,100,0,500,2708;
@400000005e1d72de0e654d37 #d,-,18,2682,2328,1173,44,0,192576,11939,2682,2328,1192,2680,2327,1157,98,100,0,500,2728;
@400000005e1d72e00e752432 #d,-,18,2684,2329,1160,45,0,192559,11938,2684,2329,1173,2682,2327,1153,98,100,0,500,2735;
@400000005e1d72e00e7fc673 #d,-,18,2684,2329,1161,46,0,192550,11938,2684,2329,1164,2684,2329,1159,98,100,0,500,2712;
@400000005e1d72e20e8f20a2 #d,-,18,2684,2329,1160,46,0,192557,11938,2684,2331,1173,2684,2329,1160,98,100,0,500,2717;
@400000005e1d72e20e99ab9b #d,-,18,2683,2330,1163,47,0,192548,11937,2684,2331,1163,2683,2329,1158,98,100,0,500,2714;
@400000005e1d72e40ea49c18 #d,-,18,2683,2333,1187,48,0,192580,11940,2683,2333,1191,2683,2330,1162,98,100,0,500,2716;
@400000005e1d72e40eaeed53 #d,-,18,2687,2331,1162,49,0,192568,11939,2687,2334,1187,2683,2331,1153,97,100,0,500,2742;
