@400000005e6f31d52f5a7f9a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6f31d61da9fa93 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6f32022596f4bb #d,-,18,2751,2394,1198,30,0,187010,11594,3238,2394,1261,2751,2389,1195,89,100,0,500,3066;
@400000005e6f320225a0147d #d,-,18,2625,2392,1625,31,0,187574,11629,2751,2396,1850,2625,2389,1141,89,100,0,500,2922;
@400000005e6f320425aa03ee #d,-,18,3274,2393,1225,32,0,187728,11639,3274,2394,1625,2625,2392,1164,91,100,0,500,3597;
@400000005e6f320425b37d18 #d,-,18,2707,2395,1169,32,0,187797,11643,3274,2395,1237,2707,2392,1169,90,100,0,500,2981;
@400000005e6f320625bcd786 #d,-,18,2591,2392,1337,33,0,188719,11700,2707,2395,1897,2591,2389,1120,90,100,0,500,2874;
@400000005e6f320625c6652d #d,-,18,3300,2394,1227,34,0,188884,11710,3300,2394,1337,2591,2392,1223,93,100,0,500,3538;
@400000005e6f320825d47e0d #d,-,18,2709,2394,1138,35,0,188875,11710,3300,2394,1227,2709,2393,1138,90,100,0,500,2983;
@400000005e6f320825dd77a0 #d,-,18,2519,2392,1129,35,0,188604,11693,2709,2394,1138,2519,2392,1119,89,100,0,500,2822;
@400000005e6f320a25ea351e #d,-,18,2437,2393,1120,36,0,188321,11675,2519,2394,1139,2437,2392,1108,89,100,0,500,2730;
@400000005e6f320a25f2d45a #d,-,18,2436,2391,1119,37,0,188047,11658,2437,2394,1125,2436,2391,1116,89,100,0,500,2734;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
