@400000005e12e71b3ab2a471 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e12e71c29037f74 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e12e74831170051 #d,-,18,2779,2359,1311,31,0,191552,11876,2779,2362,1311,2673,2359,1140,99,98,0,500,2792;
@400000005e12e7483121c9b0 #d,-,18,3017,2361,1309,32,0,192168,11914,3017,2361,1312,2779,2359,1293,99,98,0,500,3036;
@400000005e12e74a313225d9 #d,-,18,3022,2364,1297,33,0,192773,11951,3022,2364,1317,3017,2360,1297,97,98,0,500,3089;
@400000005e12e74a313c85fb #d,-,18,3025,2361,1326,34,0,193396,11990,3025,2364,1336,3022,2360,1286,98,98,0,500,3072;
@400000005e12e74c31499dcf #d,-,18,3089,2361,1315,34,0,193953,12025,3089,2361,1326,3025,2359,1298,99,98,0,500,3120;
@400000005e12e74c31545759 #d,-,18,3087,2359,1306,35,0,194913,12084,3089,2362,1320,3087,2359,1305,99,98,0,500,3105;
@400000005e12e74e315f1cfe #d,-,18,3084,2358,1311,36,0,195031,12091,3087,2359,1311,3084,2358,1306,99,98,0,500,3091;
@400000005e12e74e31697967 #d,-,18,3082,2362,1308,37,0,195924,12147,3084,2362,1311,3082,2358,1308,99,98,0,500,3100;
@400000005e12e75031770a4d #d,-,18,3080,2360,1340,38,0,196053,12155,3082,2362,1340,3080,2359,1306,99,98,0,500,3096;
@400000005e12e7503181cff3 #d,-,18,3082,2360,1311,39,0,196518,12184,3082,2362,1340,3080,2359,1301,98,98,0,500,3127;
@400000005e12e752318dde5a #d,-,18,3081,2358,1310,40,0,196963,12211,3082,2360,1311,3081,2358,1308,99,98,0,500,3096;
@400000005e12e75231984e51 #d,-,18,3079,2360,1310,40,0,197392,12238,3081,2361,1310,3079,2358,1308,99,98,0,500,3096;
