@400000005e12e71b3ab2a471 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e12e71c29037f74 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e12e7dc37adad67 #d,-,18,3089,2363,1314,157,0,214473,13297,3089,2364,1315,3089,2362,1313,99,99,0,500,3111;
@400000005e12e7dc37b7f641 #d,-,18,3088,2363,1314,158,0,214508,13299,3089,2364,1314,3088,2363,1313,99,99,0,500,3111;
@400000005e12e7de37c7bd66 #d,-,18,3087,2363,1312,159,0,214541,13301,3088,2365,1315,3087,2362,1311,99,99,0,500,3111;
@400000005e12e7de37d2ade3 #d,-,18,3089,2364,1306,160,0,214586,13304,3089,2365,1346,3087,2363,1306,98,99,0,500,3123;
@400000005e12e7e037e26d95 #d,-,18,3089,2363,1312,161,0,214729,13313,3089,2365,1316,3089,2362,1306,98,99,0,500,3130;
@400000005e12e7e037ece4ff #d,-,18,3088,2364,1313,162,1,214652,13308,3089,2366,1315,3088,2362,1312,99,99,0,500,3111;
@400000005e12e7e237fd5c29 #d,-,18,3087,2363,1312,162,1,214684,13310,3088,2365,1314,3087,2363,1312,99,99,0,500,3111;
@400000005e12e7e23807b3e9 #d,-,18,3087,2363,1313,163,1,214716,13312,3087,2365,1313,3087,2363,1311,99,99,0,500,3111;
@400000005e12e7e43814a0e7 #d,-,18,3088,2365,1310,164,1,214759,13315,3088,2365,1346,3087,2363,1310,99,99,0,500,3116;
@400000005e12e7e4381f668c #d,-,18,3089,2364,1314,165,1,214791,13317,3089,2365,1316,3088,2362,1305,98,99,0,500,3136;
@400000005e12e7e6382efb67 #d,-,18,3089,2362,1313,166,1,214823,13319,3089,2364,1315,3089,2362,1313,99,99,0,500,3114;
@400000005e12e7e63839768b #d,-,18,3088,2364,1315,167,1,214854,13320,3089,2365,1315,3088,2362,1312,99,99,0,500,3112;
@400000005e12e7e83848f32f #d,-,18,3088,2363,1314,167,1,214885,13322,3088,2364,1315,3088,2362,1313,99,99,0,500,3112;
@400000005e12e7e838534bdd #d,-,18,3087,2365,1321,168,1,214927,13325,3088,2365,1347,3087,2363,1312,99,99,0,500,3114;
@400000005e12e7ea386103e1 #d,-,18,3090,2364,1313,169,1,214956,13327,3090,2365,1321,3087,2363,1305,98,99,0,500,3141;
@400000005e12e7ea386bf0a4 #d,-,18,3089,2365,1313,170,1,214986,13329,3090,2366,1314,3089,2364,1312,99,99,0,500,3112;
@400000005e12e7ec38794e52 #d,-,18,3088,2365,1312,171,1,215014,13330,3089,2365,1313,3088,2363,1311,99,99,0,500,3111;
@400000005e12e7ec3883b6d6 #d,-,18,3087,2365,1314,172,1,215044,13332,3088,2365,1314,3087,2363,1312,99,99,0,500,3111;
@400000005e12e7ee3890ed66 #d,-,18,3087,2364,1336,173,1,215083,13335,3087,2365,1345,3087,2362,1312,99,99,0,500,3111;
@400000005e12e7ee389b1ef7 #d,-,18,3090,2364,1313,174,1,215110,13336,3090,2364,1336,3087,2362,1308,98,99,0,500,3137;
@400000005e12e7f038ab2482 #d,-,18,3088,2363,1314,174,1,215138,13338,3090,2364,1315,3088,2362,1313,99,99,0,500,3111;
@400000005e12e7f038b65365 #d,-,18,3088,2364,1314,175,1,215166,13340,3088,2364,1315,3088,2362,1313,99,99,0,500,3111;
@400000005e12e7f238c54722 #d,-,18,3087,2365,1313,176,1,215194,13342,3088,2365,1315,3087,2362,1313,99,99,0,500,3112;
@400000005e12e7f238cf9c16 #d,-,18,3086,2365,1344,177,1,215332,13350,3087,2366,1345,3086,2362,1312,99,99,0,500,3111;
@400000005e12e7f438de4db3 #d,-,18,3089,2363,1314,178,1,215258,13346,3089,2365,1344,3086,2363,1305,98,99,0,500,3141;
@400000005e12e7f438e88f19 #d,-,18,3089,2365,1314,179,1,215286,13347,3089,2365,1314,3089,2363,1313,99,99,0,500,3114;
@400000005e12e7f638f6e65f #d,-,18,3088,2365,1312,180,1,215313,13349,3089,2365,1314,3088,2363,1312,99,99,0,500,3112;
@400000005e12e7f63901bbd9 #d,-,18,3088,2366,1313,180,1,215339,13351,3088,2366,1314,3088,2364,1311,99,99,0,500,3112;
@400000005e12e7f83910007f #d,-,18,3087,2363,1345,181,1,215374,13353,3088,2366,1345,3087,2363,1312,99,99,0,500,3112;
@400000005e12e7f8391a5485 #d,-,18,3090,2364,1313,182,1,215402,13354,3090,2364,1345,3087,2362,1305,98,99,0,500,3144;
@400000005e12e7fa392a9d1f #d,-,18,3089,2365,1314,183,1,215428,13356,3090,2365,1314,3089,2363,1312,99,99,0,500,3111;
@400000005e12e7fa3934d623 #d,-,18,3089,2364,1313,184,1,215454,13358,3089,2366,1314,3089,2363,1312,99,99,0,500,3112;
@400000005e12e7fc394400d2 #d,-,18,3088,2366,1312,185,1,215479,13359,3089,2366,1314,3088,2363,1311,99,99,0,500,3111;
@400000005e12e7fc394f0986 #d,-,18,3087,2363,1341,186,1,215605,13367,3088,2366,1341,3087,2363,1312,99,99,0,500,3112;
@400000005e12e7fe395b7c82 #d,-,18,3091,2365,1312,186,1,215537,13363,3091,2366,1345,3087,2363,1305,98,99,0,500,3144;
@400000005e12e7fe3965d531 #d,-,18,3089,2365,1312,187,1,215562,13364,3091,2366,1313,3089,2364,1312,99,99,0,500,3105;
@400000005e12e8003972d976 #d,-,18,3088,2364,1312,188,1,215585,13366,3089,2366,1313,3088,2364,1311,99,99,0,500,3111;
@400000005e12e800397da68f #d,-,18,3087,2365,1314,189,1,215609,13367,3088,2366,1314,3087,2364,1312,99,99,0,500,3111;
@400000005e12e802398b6e69 #d,-,18,3086,2365,1331,190,1,215636,13369,3087,2366,1331,3086,2363,1312,99,99,0,500,3111;
@400000005e12e8023995d244 #d,-,18,3090,2364,1316,191,1,215666,13371,3090,2366,1346,3086,2363,1305,98,99,0,500,3144;
@400000005e12e80439a425d1 #d,-,18,3089,2365,1314,192,1,215689,13372,3090,2365,1316,3089,2363,1312,99,99,0,500,3107;
@400000005e12e80439ae53a8 #d,-,18,3088,2365,1313,192,1,215712,13374,3089,2365,1314,3088,2364,1312,99,99,0,500,3112;
@400000005e12e80639be1713 #d,-,18,3087,2353,1318,193,1,215735,13375,3088,2366,1318,3087,2353,1311,99,99,0,500,3111;
@400000005e12e80639c903d6 #d,-,18,3087,2364,1318,194,1,215759,13377,3087,2364,1322,3087,2353,1310,99,99,0,500,3112;
@400000005e12e80839d72518 #d,-,18,3090,2362,1312,195,1,215882,13384,3090,2366,1347,3087,2362,1308,98,99,0,500,3141;
@400000005e12e80839e171ab #d,-,18,3089,2364,1313,196,1,215812,13380,3090,2365,1315,3089,2362,1312,99,99,0,500,3112;
@400000005e12e80a39ef86d1 #d,-,18,3088,2362,1314,197,1,215835,13381,3089,2365,1314,3088,2362,1312,99,99,0,500,3111;
@400000005e12e80a39f9cfab #d,-,18,3087,2364,1315,197,1,215857,13383,3088,2364,1315,3087,2361,1313,99,99,0,500,3112;
@400000005e12e80c3a06a919 #d,-,18,3087,2361,1315,198,1,215879,13384,3087,2364,1315,3087,2361,1313,99,99,0,500,3112;
@400000005e12e80c3a113c74 #d,-,18,3090,2361,1310,199,1,215910,13386,3090,2363,1347,3087,2361,1308,98,99,0,500,3137;
@400000005e12e80e3a1f9fd6 #d,-,18,3089,2361,1315,200,1,215932,13387,3090,2362,1317,3089,2360,1310,99,99,0,500,3120;
@400000005e12e80e3a29c905 #d,-,18,3088,2362,1317,201,1,215954,13389,3089,2362,1317,3088,2359,1313,99,99,0,500,3112;
@400000005e12e8103a37fdd5 #d,-,18,3088,2359,1315,202,1,216064,13396,3088,2362,1318,3088,2359,1314,99,99,0,500,3114;
@400000005e12e8103a42cbdc #d,-,18,3087,2362,1313,203,1,215996,13391,3088,2362,1316,3087,2359,1313,99,99,0,500,3114;
@400000005e12e8123a4f4af4 #d,-,18,3090,2360,1309,203,1,216026,13393,3090,2362,1348,3087,2359,1308,98,99,0,500,3127;
@400000005e12e8123a59ab16 #d,-,18,3090,2362,1315,204,1,216047,13394,3090,2362,1317,3090,2360,1309,98,99,0,500,3125;
@400000005e12e8143a6a5bfe #d,-,18,3089,2362,1314,205,1,216067,13396,3090,2363,1316,3089,2360,1313,99,99,0,500,3112;
@400000005e12e8143a749149 #d,-,18,3088,2361,1316,206,1,216088,13397,3089,2363,1317,3088,2360,1313,99,99,0,500,3111;
@400000005e12e8163a80130f #d,-,18,3088,2362,1315,207,1,216108,13398,3088,2362,1317,3088,2360,1314,99,99,0,500,3114;
@400000005e12e8163a8aeffd #d,-,18,3089,2360,1309,208,1,216137,13400,3089,2362,1347,3088,2360,1309,98,99,0,500,3123;
@400000005e12e8183a974084 #d,-,18,3090,2361,1316,209,1,216157,13401,3090,2361,1317,3089,2360,1309,98,99,0,500,3134;
@400000005e12e8183aa185a3 #d,-,18,3089,2360,1315,209,1,216177,13403,3090,2362,1316,3089,2359,1314,99,99,0,500,3114;
@400000005e12e81a3aaefe53 #d,-,18,3089,2363,1314,210,1,216283,13409,3089,2363,1316,3089,2359,1314,99,99,0,500,3112;
@400000005e12e81a3ab9d014 #d,-,18,3026,2360,1302,211,1,216191,13403,3089,2363,1315,3026,2360,1243,98,99,0,500,3068;
@400000005e12e81c3ac8ff6b #d,-,18,3027,2360,1295,212,1,216204,13404,3027,2361,1325,3026,2358,1295,99,99,0,500,3052;
@400000005e12e81c3ad36347 #d,-,18,3032,2359,1314,213,1,216221,13405,3032,2360,1324,3027,2358,1288,97,99,0,500,3096;
@400000005e12e81e3ae40902 #d,-,18,3087,2359,1320,214,1,216243,13407,3087,2359,1325,3032,2358,1314,99,99,0,500,3116;
@400000005e12e81e3aee3e4d #d,-,18,3087,2360,1315,215,1,216262,13408,3087,2360,1321,3087,2357,1315,98,99,0,500,3123;
@400000005e12e8203afbf563 #d,-,18,3087,2360,1316,215,1,216281,13409,3087,2360,1318,3087,2358,1315,99,99,0,500,3112;
@400000005e12e8203b06911f #d,-,18,3087,2360,1327,216,1,216393,13416,3087,2361,1348,3087,2359,1315,99,99,0,500,3114;
@400000005e12e8223b171ea4 #d,-,18,3089,2357,1316,217,1,216410,13417,3089,2360,1327,3087,2357,1307,98,99,0,500,3139;
@400000005e12e8223b21836e #d,-,18,3089,2360,1316,218,1,216428,13418,3089,2360,1318,3089,2357,1316,99,99,0,500,3114;
@400000005e12e8243b321d0e #d,-,18,3088,2360,1318,219,1,216364,13414,3089,2360,1319,3088,2358,1314,99,99,0,500,3112;
@400000005e12e8243b3c4e9f #d,-,18,3088,2358,1317,220,1,216382,13415,3088,2360,1318,3088,2358,1315,99,99,0,500,3112;
@400000005e12e8263b4c1d37 #d,-,18,3087,2361,1342,221,1,216408,13417,3088,2361,1350,3087,2358,1315,99,99,0,500,3112;
@400000005e12e8263b56fb14 #d,-,18,3090,2361,1316,221,1,216425,13418,3090,2361,1342,3087,2359,1307,98,99,0,500,3141;
@400000005e12e8283b674dec #d,-,18,3089,2359,1318,222,1,216442,13419,3090,2362,1318,3089,2358,1311,99,99,0,500,3112;
@400000005e12e8283b71d52b #d,-,18,3088,2360,1316,223,1,216460,13420,3089,2361,1318,3088,2358,1315,99,99,0,500,3109;
@400000005e12e82a3b81ac26 #d,-,18,3088,2357,1316,224,1,216558,13426,3088,2360,1318,3088,2357,1315,99,99,0,500,3114;
@400000005e12e82a3b8c0c47 #d,-,18,3087,2362,1348,225,1,216583,13428,3088,2362,1348,3087,2357,1316,99,99,0,500,3112;
@400000005e12e82d0001cd01 #d,-,18,3090,2362,1317,226,1,216520,13424,3090,2362,1348,3087,2360,1307,98,99,0,500,3143;
@400000005e12e82d000c024b #d,-,18,3090,2359,1316,226,1,216537,13425,3090,2362,1317,3090,2359,1314,99,99,0,500,3111;
@400000005e12e82f001a13b8 #d,-,18,3089,2359,1317,227,1,216553,13426,3090,2361,1319,3089,2359,1314,99,99,0,500,3112;
@400000005e12e82f0025007b #d,-,18,3088,2360,1316,228,1,216570,13427,3089,2362,1317,3088,2359,1314,99,99,0,500,3112;
@400000005e12e83100319321 #d,-,18,3087,2359,1347,229,1,216670,13433,3088,2361,1347,3087,2359,1314,99,99,0,500,3111;
@400000005e12e831003c3a0b #d,-,18,3090,2361,1316,230,1,216610,13429,3090,2362,1348,3087,2359,1307,98,99,0,500,3144;
@400000005e12e833004d1e2d #d,-,18,3089,2362,1313,231,1,216626,13430,3090,2364,1316,3089,2361,1313,99,99,0,500,3107;
@400000005e12e83300575731 #d,-,18,3088,2361,1315,232,1,216642,13431,3089,2364,1317,3088,2360,1313,99,99,0,500,3111;
@400000005e12e8350064dbfc #d,-,18,3088,2360,1316,232,1,216658,13432,3088,2363,1317,3088,2360,1313,99,99,0,500,3114;
@400000005e12e835006faa03 #d,-,18,3087,2359,1341,233,1,216677,13434,3088,2361,1341,3087,2359,1315,99,99,0,500,3111;
@400000005e12e837008008f7 #d,-,18,3090,2361,1318,234,1,216697,13435,3090,2362,1348,3087,2359,1308,98,99,0,500,3144;
@400000005e12e837008a61a5 #d,-,18,3089,2362,1314,235,1,216713,13436,3090,2364,1318,3089,2361,1314,99,99,0,500,3109;
@400000005e12e839009b137c #d,-,18,3088,2363,1313,236,1,216727,13437,3089,2365,1315,3088,2362,1312,99,99,0,500,3111;
@400000005e12e83900a5503a #d,-,18,3088,2362,1313,237,1,216743,13438,3088,2364,1316,3088,2362,1313,99,99,0,500,3112;
@400000005e12e83b00b56954 #d,-,18,3087,2365,1328,238,1,216835,13443,3088,2365,1328,3087,2362,1313,99,99,0,500,3111;
@400000005e12e83b00c04aea #d,-,18,3090,2365,1313,238,1,216779,13440,3090,2365,1345,3087,2363,1305,98,99,0,500,3143;
@400000005e12e83d00cf620b #d,-,18,3088,2365,1313,239,1,216794,13441,3090,2365,1315,3088,2363,1312,99,99,0,500,3107;
@400000005e12e83d00d9ed04 #d,-,18,3087,2364,1313,240,1,216808,13442,3088,2365,1314,3087,2362,1312,99,99,0,500,3109;
@400000005e12e83f00e98598 #d,-,18,3087,2365,1314,241,1,216898,13447,3087,2365,1315,3087,2363,1312,99,99,0,500,3112;
@400000005e12e83f00f3d5e5 #d,-,18,3086,2365,1317,242,1,216838,13444,3087,2365,1317,3086,2362,1313,99,99,0,500,3111;
@400000005e12e8410101dfde #d,-,18,3090,2365,1312,243,1,216859,13445,3090,2365,1346,3086,2363,1306,98,99,0,500,3139;
@400000005e12e841010cc086 #d,-,18,3089,2365,1313,244,1,216874,13446,3090,2366,1315,3089,2364,1312,99,99,0,500,3114;
@400000005e12e843011b5e93 #d,-,18,3088,2365,1314,244,1,216889,13447,3089,2366,1314,3088,2363,1313,99,99,0,500,3111;
@400000005e12e843012601c3 #d,-,18,3087,2364,1313,245,1,216977,13452,3088,2366,1315,3087,2363,1311,99,99,0,500,3111;
@400000005e12e8450136841b #d,-,18,3086,2364,1313,246,1,216917,13448,3087,2366,1314,3086,2363,1312,99,99,0,500,3111;
@400000005e12e8450140d468 #d,-,18,3089,2365,1307,247,1,216937,13450,3089,2366,1344,3086,2364,1303,98,99,0,500,3132;
@400000005e12e847014e4e06 #d,-,18,3088,2366,1312,248,1,216951,13450,3089,2366,1314,3088,2364,1307,99,99,0,500,3118;
@400000005e12e8470158f047 #d,-,18,3087,2366,1314,249,1,216964,13451,3088,2366,1314,3087,2364,1312,99,99,0,500,3109;
@400000005e12e84901683aa1 #d,-,18,3087,2365,1313,250,1,216978,13452,3087,2366,1314,3087,2363,1312,99,99,0,500,3112;
@400000005e12e8490172ecb7 #d,-,18,3086,2366,1313,250,1,216992,13453,3087,2366,1314,3086,2364,1313,99,99,0,500,3111;
@400000005e12e84b018357c6 #d,-,18,3088,2365,1305,251,1,217013,13454,3088,2366,1345,3086,2364,1305,98,99,0,500,3127;
@400000005e12e84b018dc404 #d,-,18,3089,2365,1313,252,1,217027,13455,3089,2366,1315,3088,2363,1305,98,99,0,500,3127;
@400000005e12e84d019b1a3e #d,-,18,3088,2366,1313,253,1,217040,13456,3089,2366,1314,3088,2364,1312,99,99,0,500,3112;
@400000005e12e84d01a566d1 #d,-,18,3087,2364,1314,254,1,217053,13457,3088,2366,1314,3087,2362,1313,99,99,0,500,3112;
@400000005e12e84f01b4ef91 #d,-,18,3087,2364,1314,255,1,217067,13458,3087,2366,1314,3087,2363,1312,99,99,0,500,3111;
@400000005e12e84f01bf76d0 #d,-,18,3088,2362,1311,256,1,217087,13459,3088,2365,1346,3087,2362,1311,98,99,0,500,3120;
@400000005e12e85101cc5f25 #d,-,18,3089,2363,1313,256,1,217100,13460,3089,2364,1315,3088,2362,1308,98,99,0,500,3136;
@400000005e12e85101d68cfc #d,-,18,3089,2361,1315,257,1,217113,13461,3089,2363,1315,3089,2361,1313,99,99,0,500,3111;
@400000005e12e85301e2dd83 #d,-,18,3088,2360,1314,258,1,217196,13466,3089,2363,1316,3088,2360,1313,99,99,0,500,3112;
@400000005e12e85301edd1b9 #d,-,18,3087,2361,1315,259,1,217138,13462,3088,2363,1316,3087,2360,1313,99,99,0,500,3112;
@400000005e12e85501fc4d52 #d,-,18,3087,2362,1318,260,1,217158,13463,3087,2364,1348,3087,2361,1314,99,99,0,500,3112;
@400000005e12e8550206c102 #d,-,18,3090,2363,1314,261,1,217170,13464,3090,2363,1318,3087,2361,1307,98,99,0,500,3136;
@400000005e12e8570215915b #d,-,18,3089,2363,1315,261,1,217183,13465,3090,2363,1316,3089,2361,1313,99,99,0,500,3112;
@400000005e12e857021fd2c1 #d,-,18,3088,2365,1314,262,1,217264,13470,3089,2365,1315,3088,2361,1313,99,99,0,500,3112;
@400000005e12e859022f9273 #d,-,18,3087,2364,1312,263,1,217207,13466,3088,2365,1315,3087,2363,1312,99,99,0,500,3111;
@400000005e12e859023a86a9 #d,-,18,3087,2362,1333,264,1,217227,13468,3087,2364,1345,3087,2362,1311,99,99,0,500,3111;
@400000005e12e85b02478ea9 #d,-,18,3089,2362,1314,265,1,217238,13468,3089,2363,1333,3087,2361,1306,98,99,0,500,3139;
@400000005e12e85b02523592 #d,-,18,3089,2360,1315,266,1,217250,13469,3089,2363,1316,3089,2360,1313,99,99,0,500,3109;
@400000005e12e85d0262bba3 #d,-,18,3088,2361,1315,267,1,217262,13470,3089,2363,1316,3088,2360,1314,99,99,0,500,3111;
@400000005e12e85d026d180b #d,-,18,3087,2361,1315,267,1,217274,13471,3088,2362,1317,3087,2360,1314,99,99,0,500,3112;
@400000005e12e85f027b7b6d #d,-,18,3087,2360,1346,268,1,217292,13472,3087,2362,1348,3087,2359,1314,99,99,0,500,3111;
@400000005e12e85f02866bea #d,-,18,3090,2361,1315,269,1,217304,13472,3090,2363,1346,3087,2359,1307,98,99,0,500,3141;
@400000005e12e8610296d7e7 #d,-,18,3089,2362,1314,270,1,217383,13477,3090,2363,1315,3089,2361,1313,99,99,0,500,3111;
@400000005e12e86102a199d3 #d,-,18,3088,2365,1314,271,1,217327,13474,3089,2365,1315,3088,2362,1312,99,99,0,500,3111;
@400000005e12e86302ae3b60 #d,-,18,3088,2363,1314,272,1,217339,13475,3088,2365,1315,3088,2362,1313,99,99,0,500,3112;
@400000005e12e86302b870ab #d,-,18,3087,2363,1345,273,1,217355,13476,3088,2364,1345,3087,2361,1313,99,99,0,500,3111;
@400000005e12e86502c8727c #d,-,18,3090,2363,1315,274,1,217434,13480,3090,2365,1346,3087,2362,1305,98,99,0,500,3139;
@400000005e12e86502d363e7 #d,-,18,3088,2362,1314,274,1,217444,13481,3090,2365,1315,3088,2362,1312,99,99,0,500,3107;
@400000005e12e86702e06af8 #d,-,18,3087,2362,1316,275,1,217389,13478,3088,2364,1316,3087,2361,1312,99,99,0,500,3111;
@400000005e12e86702eacc09 #d,-,18,3087,2357,1317,276,1,217400,13478,3087,2363,1317,3087,2357,1313,99,99,0,500,3111;
@400000005e12e86902fb521a #d,-,18,3087,2360,1346,277,1,217416,13479,3087,2361,1346,3087,2357,1314,99,99,0,500,3112;
@400000005e12e86903058b1e #d,-,18,3090,2358,1316,278,1,217495,13484,3090,2362,1348,3087,2355,1313,98,99,0,500,3143;
@400000005e12e86b03158936 #d,-,18,3089,2361,1316,279,1,217441,13481,3090,2362,1317,3089,2358,1314,99,99,0,500,3111;
@400000005e12e86b03201075 #d,-,18,3088,2360,1316,280,1,217452,13482,3089,2362,1317,3088,2359,1314,99,99,0,500,3111;
@400000005e12e86d032e3ce4 #d,-,18,3088,2360,1316,280,1,217463,13482,3088,2361,1317,3088,2359,1314,99,99,0,500,3111;
@400000005e12e86d0338bcb0 #d,-,18,3087,2359,1338,281,1,217476,13483,3088,2361,1338,3087,2359,1315,99,99,0,500,3112;
@400000005e12e86f0345961f #d,-,18,3091,2359,1158,282,1,217470,13483,3091,2361,1348,3087,2359,1158,98,99,0,500,3144;
@400000005e12e86f034d7cf4 #d,-,18,2798,2360,1026,283,1,217397,13478,3091,2362,1256,2798,2358,1026,97,99,0,500,2863;
@400000005e12e871035cb3be #d,-,18,2627,2362,1142,283,1,217310,13473,2798,2362,1174,2627,2360,997,98,99,0,500,2666;
@400000005e12e87103673744 #d,-,18,2687,2362,1146,284,1,217238,13468,2687,2362,1158,2627,2359,1142,98,99,0,500,2726;
@400000005e12e87303757742 #d,-,18,2686,2360,1159,285,1,217166,13464,2687,2362,1159,2686,2359,1146,98,99,0,500,2717;
@400000005e12e873037fb134 #d,-,18,2690,2359,1150,286,1,217099,13460,2690,2361,1180,2686,2359,1141,97,99,0,500,2749;
@400000005e12e87503881d37 #d,-,18,2688,2361,1149,286,1,217026,13455,2690,2362,1151,2688,2359,1148,98,99,0,500,2717;
@400000005e12e875039167d0 #d,-,18,2688,2362,1149,287,1,216955,13451,2688,2362,1150,2688,2360,1148,98,99,0,500,2717;
@400000005e12e877039a8ff4 #d,-,18,2687,2362,1149,288,1,216884,13446,2688,2362,1150,2687,2360,1148,98,99,0,500,2719;
@400000005e12e87703a4b1b0 #d,-,18,2687,2362,1150,289,1,216813,13442,2687,2362,1150,2687,2360,1148,98,99,0,500,2719;
@400000005e12e87903b28870 #d,-,18,2690,2362,1146,289,1,216810,13442,2690,2362,1179,2687,2359,1142,98,99,0,500,2741;
@400000005e12e87903bcb19f #d,-,18,2689,2362,1148,290,1,216678,13434,2690,2362,1150,2689,2359,1146,98,99,0,500,2721;
@400000005e12e87b03c51ad7 #d,-,18,2688,2362,1150,291,1,216608,13429,2689,2362,1150,2688,2359,1148,98,99,0,500,2719;
@400000005e12e87b03ced620 #d,-,18,2688,2362,1148,292,1,216538,13425,2688,2362,1150,2688,2360,1147,98,99,0,500,2719;
@400000005e12e87d03dd1e80 #d,-,18,2687,2362,1149,292,1,216470,13421,2688,2363,1150,2687,2360,1148,98,99,0,500,2717;
@400000005e12e87d03e7ec87 #d,-,18,2690,2362,1143,293,1,216407,13417,2690,2362,1181,2687,2359,1142,98,99,0,500,2737;
@400000005e12e87f03f0d556 #d,-,18,2690,2363,1147,294,1,216339,13413,2690,2363,1150,2690,2360,1143,98,99,0,500,2728;
@400000005e12e87f03f9362c #d,-,18,2689,2362,1149,295,1,216271,13408,2690,2363,1150,2689,2359,1146,98,99,0,500,2719;
@400000005e12e8810401c94d #d,-,18,2688,2361,1148,295,1,216203,13404,2689,2362,1150,2688,2360,1148,98,99,0,500,2719;
@400000005e12e881040bf724 #d,-,18,2687,2358,1149,296,1,216136,13400,2688,2361,1151,2687,2358,1147,98,99,0,500,2717;
@400000005e12e883041b2dee #d,-,18,2689,2360,1140,297,1,216075,13396,2689,2361,1180,2687,2358,1140,98,99,0,500,2728;
@400000005e12e8830425f394 #d,-,18,2689,2360,1148,298,1,216008,13392,2689,2362,1150,2689,2360,1140,98,99,0,500,2732;
@400000005e12e885042e8e28 #d,-,18,2688,2362,1148,298,1,215942,13388,2689,2362,1149,2688,2360,1147,98,99,0,500,2717;
@400000005e12e88504383b79 #d,-,18,2688,2362,1148,299,1,215876,13384,2688,2362,1150,2688,2360,1148,98,99,0,500,2719;
@400000005e12e887044381a4 #d,-,18,2687,2364,1147,300,1,215871,13384,2688,2364,1149,2687,2360,1147,98,99,0,500,2717;
@400000005e12e887044e7221 #d,-,18,2688,2362,1144,301,1,215752,13376,2688,2364,1179,2687,2362,1144,98,99,0,500,2723;
@400000005e12e889045a324d #d,-,18,2689,2362,1147,301,1,215687,13372,2689,2363,1151,2688,2361,1140,98,99,0,500,2739;
@400000005e12e889046463de #d,-,18,2689,2361,1148,302,1,215623,13368,2689,2363,1149,2689,2361,1146,98,99,0,500,2719;
@400000005e12e88b046e5260 #d,-,18,2688,2362,1148,303,1,215559,13364,2689,2363,1149,2688,2360,1147,98,99,0,500,2717;
@400000005e12e88b0478f590 #d,-,18,2687,2363,1147,304,1,215495,13360,2688,2363,1149,2687,2361,1147,98,99,0,500,2717;
@400000005e12e88d048178dc #d,-,18,2687,2362,1157,304,1,215438,13357,2687,2363,1180,2687,2360,1147,98,99,0,500,2719;
@400000005e12e88d04874563 #d,-,18,2690,2359,1150,305,1,215375,13353,2690,2363,1157,2687,2359,1141,98,99,0,500,2744;
@400000005e12e88f0496d1dc #d,-,18,2689,2358,1150,306,1,215313,13349,2690,2360,1152,2689,2358,1149,98,99,0,500,2721;
@400000005e12e88f04a10727 #d,-,18,2689,2360,1149,307,1,215251,13345,2689,2360,1151,2689,2358,1149,98,99,0,500,2719;
@400000005e12e89104b0ce4c #d,-,18,2688,2361,1149,307,1,215189,13341,2689,2361,1150,2688,2358,1148,98,99,0,500,2717;
@400000005e12e89104bbab3a #d,-,18,2687,2360,1172,308,1,215133,13338,2688,2361,1180,2687,2359,1148,98,99,0,500,2717;
@400000005e12e89304c4dad1 #d,-,18,2690,2362,1150,309,1,215129,13338,2690,2362,1172,2687,2359,1142,97,99,0,500,2746;
@400000005e12e89304cbdb9d #d,-,18,2692,2360,1176,309,1,215022,13331,2692,2362,1185,2690,2359,1149,98,99,0,500,2732;
@400000005e12e89504d503c0 #d,-,18,2744,2357,1167,310,1,214969,13328,2744,2361,1176,2692,2357,1163,98,99,0,500,2781;
@400000005e12e89504de6a4a #d,-,18,2741,2358,1162,311,1,214916,13324,2744,2360,1170,2741,2357,1161,99,99,0,500,2758;
@400000005e12e89704ecba1c #d,-,18,2737,2356,1194,312,1,214924,13325,2741,2359,1194,2737,2356,1161,99,99,0,500,2748;
@400000005e12e89704f7a6df #d,-,18,2738,2359,1153,312,1,214811,13318,2738,2360,1194,2737,2356,1152,98,99,0,500,2776;
@400000005e12e8990500d676 #d,-,18,2732,2361,1145,313,1,214752,13314,2738,2362,1154,2732,2358,1145,100,99,0,500,2732;
@400000005e12e8990509cb61 #d,-,18,2678,2361,1146,314,1,214692,13310,2732,2361,1148,2678,2359,1145,98,99,0,500,2714;
@400000005e12e89b0515ba1e #d,-,18,2677,2358,1148,315,1,214632,13307,2678,2361,1148,2677,2357,1146,98,99,0,500,2712;
@400000005e12e89b05201686 #d,-,18,2678,2357,1179,315,1,214633,13307,2678,2358,1179,2677,2356,1148,98,99,0,500,2712;
@400000005e12e89d0528d47e #d,-,18,2681,2357,1287,316,1,214601,13305,2681,2357,1294,2678,2354,1141,97,99,0,500,2744;
@400000005e12e89d052f9b8c #d,-,18,2983,2357,1304,317,1,214554,13302,2983,2359,1313,2681,2356,1272,100,99,0,500,2983;
@400000005e12e89f054048ba #d,-,18,3068,2356,1332,318,1,214577,13303,3068,2358,1359,2983,2356,1304,99,99,0,500,3093;
@400000005e12e89f054a7a4b #d,-,18,3073,2355,1328,319,1,214589,13304,3073,2357,1332,3068,2355,1277,97,99,0,500,3144;
@400000005e12e8a105543683 #d,-,18,3073,2354,1351,320,1,214667,13309,3073,2357,1351,3073,2353,1322,99,99,0,500,3098;
