@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328b932bdfd758 #d,-,18,3737,2362,2092,31,0,191985,11903,3737,2364,2272,3737,2362,1517,98,100,0,501,3780;
@400000005e328b932beafec8 #d,-,18,4952,2364,1908,32,0,194985,12089,4952,2365,2145,3737,2362,1904,97,100,0,501,5102;
@400000005e328b952bfc1269 #d,-,18,4587,2365,1967,34,0,197918,12270,4952,2365,1988,4587,2362,1908,96,100,0,501,4768;
@400000005e328b952c06fb72 #d,-,18,4580,2364,1965,35,0,200716,12444,4587,2365,1972,4580,2362,1956,97,100,0,501,4680;
@400000005e328b972c1873a8 #d,-,18,4576,2363,1971,36,0,203849,12638,4580,2365,1973,4576,2363,1965,97,100,0,501,4692;
@400000005e328b972c2316d8 #d,-,18,4574,2363,1973,37,0,206433,12798,4576,2365,1975,4574,2362,1968,97,100,0,501,4706;
@400000005e328b992c346437 #d,-,18,4571,2364,1975,39,0,208493,12926,4574,2365,1977,4571,2363,1968,97,100,0,501,4699;
@400000005e328b992c3f586d #d,-,18,4571,2365,1981,40,0,210898,13075,4571,2365,1981,4571,2363,1973,97,100,0,501,4711;
@400000005e328b9b2c51335b #d,-,18,4571,2365,1977,41,0,213215,13219,4571,2365,1982,4571,2363,1976,96,100,0,501,4721;
@400000005e328b9b2c5c5269 #d,-,18,4572,2365,1985,43,0,215451,13357,4572,2365,1986,4571,2362,1976,96,100,0,501,4718;
@400000005e328b9d2c6d2b5d #d,-,18,4574,2365,1978,44,0,217602,13491,4574,2365,1988,4572,2363,1978,96,100,0,501,4732;
@400000005e328b9d2c77c62b #d,-,18,4575,2364,1986,45,0,219676,13619,4575,2365,1986,4574,2363,1978,96,100,0,501,4728;
@400000005e328b9f2c88d16b #d,-,18,4576,2365,1984,46,0,221687,13744,4576,2365,1989,4575,2362,1983,96,100,0,501,4735;
