@400000005e328b663529dd3f #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e328b672389b72c #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e328c2533a511df #d,-,18,2593,2368,1188,201,1,275953,17109,2594,2368,1188,2593,2366,1178,91,100,0,501,2841;
@400000005e328c2733b27347 #d,-,18,2591,2366,1180,202,1,275477,17079,2593,2368,1188,2591,2365,1177,91,100,0,501,2841;
@400000005e328c2733bb322d #d,-,18,2590,2368,1184,203,1,275007,17050,2591,2368,1185,2590,2366,1179,91,100,0,501,2839;
@400000005e328c2933c8ae97 #d,-,18,2589,2365,1181,204,1,274541,17021,2590,2368,1189,2589,2365,1179,91,100,0,501,2839;
@400000005e328c2933d142a6 #d,-,18,2587,2369,1178,204,1,274077,16992,2589,2369,1185,2587,2365,1174,91,100,0,501,2839;
@400000005e328c2b33deb79c #d,-,18,2585,2368,1179,205,1,273617,16964,2587,2369,1185,2585,2364,1176,91,100,0,501,2829;
@400000005e328c2b33e76a67 #d,-,18,2583,2368,1174,206,1,273161,16936,2585,2369,1183,2583,2366,1174,91,100,0,501,2834;
@400000005e328c2d33f48d68 #d,-,18,2582,2366,1180,206,1,272712,16908,2583,2368,1184,2582,2365,1174,91,100,0,501,2832;
@400000005e328c2d33fd7e99 #d,-,18,2580,2367,1179,207,1,272266,16880,2582,2368,1184,2580,2365,1173,91,100,0,501,2829;
@400000005e328c2f340b133a #d,-,18,2579,2367,1180,208,1,271825,16853,2580,2369,1183,2579,2366,1176,91,100,0,501,2834;
@400000005e328c2f34139a3f #d,-,18,2578,2367,1181,209,1,271389,16826,2579,2368,1184,2578,2366,1177,90,100,0,501,2834;
@400000005e328c313420e54c #d,-,18,2578,2368,1178,209,1,270958,16799,2578,2368,1183,2578,2366,1175,90,100,0,501,2834;
@400000005e328c313429ce1c #d,-,18,2577,2366,1179,210,1,270663,16781,2578,2368,1180,2577,2366,1175,91,100,0,501,2829;
@400000005e328c3334341e68 #d,-,18,2576,2367,1179,211,1,270106,16746,2577,2369,1183,2576,2366,1176,91,100,0,501,2829;
@400000005e328c33343d26e2 #d,-,18,2577,2367,1557,212,1,269913,16734,2577,2369,1780,2576,2364,1178,90,100,0,501,2836;
@400000005e328c35344cabe7 #d,-,18,3713,2365,1442,213,1,269776,16726,3713,2368,1710,2577,2364,1304,96,100,0,501,3844;
@400000005e328c35345692f7 #d,-,18,3333,2364,2180,214,1,269955,16737,3713,2368,2290,3333,2361,1386,95,100,0,501,3488;
@400000005e328c3734671db0 #d,-,18,4858,2363,2119,215,1,270346,16761,4858,2364,2180,3333,2362,2040,98,100,0,501,4915;
@400000005e328c373471a8a9 #d,-,18,4707,2364,1964,216,1,270738,16785,4858,2365,2119,4707,2362,1900,96,100,0,501,4886;
@400000005e328c3934822fa9 #d,-,18,4555,2361,1977,218,1,270881,16794,4707,2364,1983,4555,2361,1964,96,100,0,501,4702;
@400000005e328c39348cecec #d,-,18,4555,2360,1971,219,1,271150,16811,4555,2363,1981,4555,2360,1969,96,100,0,501,4699;
@400000005e328c3b349c338c #d,-,18,4555,2362,1974,220,1,271417,16827,4555,2362,1976,4555,2360,1970,96,100,0,501,4702;
@400000005e328c3b34a64572 #d,-,18,4556,2359,1977,221,1,271684,16844,4556,2362,1982,4555,2359,1971,96,100,0,501,4702;
@400000005e328c3d34b6721b #d,-,18,4557,2360,1987,223,1,271952,16861,4557,2360,1989,4556,2358,1977,96,100,0,501,4711;
@400000005e328c3d34c0da9f #d,-,18,4559,2358,1985,224,1,272219,16877,4559,2360,1990,4557,2358,1980,96,100,0,501,4721;
@400000005e328c3f34d11e90 #d,-,18,4562,2359,1983,225,1,272483,16894,4562,2359,1989,4559,2357,1980,96,100,0,501,4721;
@400000005e328c3f34dba989 #d,-,18,4564,2357,1990,227,1,272748,16910,4564,2360,1992,4562,2357,1982,96,100,0,501,4723;
@400000005e328c4134ebdda6 #d,-,18,4568,2359,1987,228,1,273013,16926,4568,2360,1996,4564,2357,1986,96,100,0,501,4735;
@400000005e328c4134f5f07b #d,-,18,4571,2359,1992,229,1,273277,16943,4571,2361,1996,4568,2358,1987,96,100,0,501,4740;
@400000005e328c4335059f69 #d,-,18,4575,2362,1987,230,1,273662,16967,4575,2362,1994,4571,2359,1985,96,100,0,501,4742;
@400000005e328c433510789e #d,-,18,4578,2362,1994,232,1,273798,16975,4578,2362,1998,4575,2360,1985,96,100,0,501,4737;
@400000005e328c4535203850 #d,-,18,4581,2361,1996,233,1,274057,16991,4581,2362,1997,4578,2359,1990,96,100,0,501,4749;
@400000005e328c45352ab81c #d,-,18,4584,2359,1991,234,1,274314,17007,4584,2362,1997,4581,2359,1987,96,100,0,501,4751;
@400000005e328c47353b2a9e #d,-,18,4587,2360,2002,235,1,274571,17023,4587,2362,2002,4584,2359,1991,96,100,0,501,4747;
@400000005e328c4735462ea9 #d,-,18,4591,2361,1997,237,1,274826,17039,4591,2362,2003,4587,2360,1993,96,100,0,501,4758;
@400000005e328c493556862a #d,-,18,4594,2362,1996,238,1,275078,17054,4594,2363,2000,4591,2360,1993,96,100,0,501,4756;
@400000005e328c493560ded8 #d,-,18,4596,2363,1998,239,1,275328,17070,4596,2364,1999,4594,2361,1990,96,100,0,501,4756;
@400000005e328c4b356fcb21 #d,-,18,4598,2364,1996,241,1,275577,17085,4598,2365,2000,4596,2362,1991,96,100,0,501,4756;
@400000005e328c4b35799ae8 #d,-,18,4600,2363,1998,242,1,275822,17100,4600,2365,2000,4598,2362,1989,96,100,0,501,4756;
@400000005e328c4d358a09b1 #d,-,18,4602,2364,1997,243,1,276067,17116,4602,2366,2003,4600,2362,1993,96,100,0,501,4754;
@400000005e328c4d35946ac1 #d,-,18,4605,2364,2002,244,1,276315,17131,4605,2366,2006,4602,2363,1997,96,100,0,501,4770;
@400000005e328c4f35a450a2 #d,-,18,4608,2364,1998,246,1,276557,17146,4608,2365,2006,4605,2362,1996,96,100,0,501,4770;
@400000005e328c4f35ae43cd #d,-,18,4611,2362,2001,247,1,276918,17168,4611,2364,2006,4608,2361,1997,96,100,0,501,4768;
@400000005e328c5135be592e #d,-,18,4612,2363,2002,248,1,277037,17176,4612,2364,2006,4611,2361,1996,96,100,0,501,4766;
@400000005e328c5135c87288 #d,-,18,4614,2365,2002,250,1,277275,17191,4614,2366,2005,4612,2363,1996,96,100,0,501,4768;
@400000005e328c5335d8c64e #d,-,18,4616,2365,2003,251,1,277510,17205,4616,2365,2005,4614,2362,1998,96,100,0,501,4770;
@400000005e328c5335e3af57 #d,-,18,4617,2363,1999,252,1,277743,17220,4617,2365,2004,4616,2362,1993,96,100,0,501,4768;
@400000005e328c5535f39539 #d,-,18,4618,2365,2006,253,1,277977,17234,4618,2365,2009,4617,2362,1998,96,100,0,501,4770;
@400000005e328c5535fde674 #d,-,18,4622,2365,2007,255,1,278212,17249,4622,2366,2012,4618,2362,2004,96,100,0,501,4782;
@400000005e328c57360e6c85 #d,-,18,4624,2365,2011,256,1,278445,17263,4624,2366,2013,4622,2364,2001,96,100,0,501,4789;
@400000005e328c573618d14f #d,-,18,4627,2367,2005,257,1,278676,17277,4627,2367,2011,4624,2364,2003,96,100,0,501,4785;
@400000005e328c59362893cc #d,-,18,4629,2364,2006,259,1,279020,17299,4629,2368,2009,4627,2364,1999,96,100,0,501,4787;
@400000005e328c593633658d #d,-,18,4631,2367,2008,260,1,279130,17306,4631,2368,2009,4629,2364,2000,96,100,0,501,4785;
@400000005e328c5b3643eb9e #d,-,18,4632,2368,2004,261,1,279354,17319,4632,2369,2008,4631,2366,2000,96,100,0,501,4785;
@400000005e328c5b364e2d04 #d,-,18,4633,2365,2010,262,1,279577,17333,4633,2369,2011,4632,2365,1998,96,100,0,501,4785;
@400000005e328c5d365ec6a4 #d,-,18,4635,2365,2005,264,1,279798,17347,4635,2368,2010,4633,2365,2001,96,100,0,501,4785;
@400000005e328c5d36694670 #d,-,18,4636,2365,2008,265,1,280016,17361,4636,2366,2010,4635,2364,2003,96,100,0,501,4787;
@400000005e328c5f367986a8 #d,-,18,4636,2366,2009,266,1,280233,17374,4636,2366,2012,4636,2363,2001,96,100,0,501,4782;
@400000005e328c5f3683afd7 #d,-,18,4637,2363,2005,268,1,280449,17387,4637,2367,2011,4636,2363,2002,96,100,0,501,4785;
@400000005e328c6136935841 #d,-,18,4638,2365,2006,269,1,280662,17401,4638,2366,2010,4637,2363,2001,96,100,0,501,4782;
@400000005e328c61369dac47 #d,-,18,4638,2366,2002,270,1,280985,17421,4638,2367,2009,4638,2362,2002,96,100,0,501,4782;
@400000005e328c6336add8f0 #d,-,18,4638,2367,2006,272,1,281084,17427,4638,2367,2011,4638,2364,2001,96,100,0,501,4785;
@400000005e328c6336b82de5 #d,-,18,4639,2365,2003,273,1,281292,17440,4639,2368,2010,4638,2365,2000,96,100,0,501,4785;
@400000005e328c6536c85a8e #d,-,18,4639,2367,2005,274,1,281498,17452,4639,2368,2009,4639,2365,2000,97,100,0,501,4780;
@400000005e328c6536d2e940 #d,-,18,4639,2365,2007,275,1,281703,17465,4639,2368,2010,4639,2365,2001,96,100,0,501,4785;
@400000005e328c6736e325be #d,-,18,4639,2367,2002,277,1,282016,17485,4639,2367,2010,4639,2364,2001,96,100,0,501,4785;
@400000005e328c6736ed95b5 #d,-,18,4639,2366,2019,278,1,282109,17490,4639,2367,2019,4639,2364,2000,97,100,0,501,4780;
@400000005e328c6936fe180d #d,-,18,4642,2365,2008,279,1,282314,17503,4642,2366,2020,4639,2364,2007,96,100,0,501,4799;
@400000005e328c693708ca24 #d,-,18,4643,2363,2016,281,1,282627,17522,4643,2367,2020,4642,2363,2008,96,100,0,501,4799;
@400000005e328c6b3718f313 #d,-,18,4645,2366,2008,282,1,282718,17528,4645,2366,2016,4643,2363,2005,96,100,0,501,4796;
@400000005e328c6b37234360 #d,-,18,4645,2366,2015,283,1,282917,17540,4645,2366,2017,4645,2364,2007,96,100,0,501,4796;
@400000005e328c6d3733a342 #d,-,18,4647,2364,2010,284,1,283224,17559,4647,2366,2015,4645,2364,2004,96,100,0,501,4796;
@400000005e328c6d373e2a81 #d,-,18,4648,2366,2010,286,1,283311,17565,4648,2366,2018,4647,2364,2006,96,100,0,501,4796;
@400000005e328c6f374e7e48 #d,-,18,4649,2367,2017,287,1,283507,17577,4649,2367,2017,4648,2364,2006,96,100,0,501,4796;
@400000005e328c6f3758ce94 #d,-,18,4650,2365,2004,288,1,283807,17596,4650,2367,2017,4649,2364,2004,96,100,0,501,4799;
@400000005e328c713767cab2 #d,-,18,4650,2367,2012,290,1,283891,17601,4650,2368,2014,4650,2365,2004,96,100,0,501,4794;
@400000005e328c713771e141 #d,-,18,4651,2365,2011,291,1,284083,17613,4651,2369,2019,4650,2365,2008,96,100,0,501,4799;
@400000005e328c73378247a8 #d,-,18,4652,2368,2011,292,1,284379,17631,4652,2368,2016,4651,2364,2005,96,100,0,501,4801;
@400000005e328c73378ca410 #d,-,18,4653,2367,2016,293,1,284461,17636,4653,2368,2016,4652,2366,2005,96,100,0,501,4799;
@400000005e328c75379d03f2 #d,-,18,4653,2368,2011,295,1,284647,17648,4653,2368,2016,4653,2366,2008,97,100,0,501,4796;
@400000005e328c7537a74ccb #d,-,18,4654,2367,2012,296,1,284834,17659,4654,2368,2018,4653,2365,2007,96,100,0,501,4804;
@400000005e328c7737b70062 #d,-,18,4654,2368,2007,297,1,285017,17671,4654,2369,2013,4654,2367,2005,96,100,0,501,4799;
@400000005e328c7737c131f3 #d,-,18,4654,2366,2014,299,1,285304,17688,4654,2369,2014,4654,2366,2006,97,100,0,501,4796;
@400000005e328c7937d15dad #d,-,18,4655,2368,2011,300,1,285381,17693,4655,2370,2017,4654,2366,2006,96,100,0,501,4804;
@400000005e328c7937dbd606 #d,-,18,4655,2369,2008,301,1,285562,17704,4655,2369,2017,4655,2367,2007,96,100,0,501,4801;
@400000005e328c7b37ec1db1 #d,-,18,4656,2370,2011,302,1,285845,17722,4656,2370,2014,4655,2367,2006,97,100,0,501,4799;
@400000005e328c7b37f63440 #d,-,18,4656,2367,2009,304,1,285919,17727,4656,2370,2015,4656,2367,2005,96,100,0,501,4801;
@400000005e328c7d38069334 #d,-,18,4657,2367,2014,305,1,286096,17737,4657,2369,2017,4656,2367,2006,96,100,0,501,4804;
@400000005e328c7d3810cff1 #d,-,18,4657,2367,2010,306,1,286374,17755,4657,2369,2015,4657,2365,2008,97,100,0,501,4801;
@400000005e328c7f3820dddf #d,-,18,4657,2368,2014,308,1,286445,17759,4657,2368,2017,4657,2366,2004,97,100,0,501,4801;
@400000005e328c7f382bb713 #d,-,18,4657,2367,2009,309,1,286617,17770,4657,2368,2015,4657,2366,2007,97,100,0,501,4799;
@400000005e328c81383b4fa7 #d,-,18,4657,2367,2016,310,1,286789,17780,4657,2367,2018,4657,2365,2009,97,100,0,501,4799;
@400000005e328c813845ce85 #d,-,18,4658,2368,2012,311,1,286959,17791,4658,2368,2017,4657,2366,2005,96,100,0,501,4804;
@400000005e328c8338560749 #d,-,18,4657,2367,2008,313,1,287229,17808,4658,2368,2016,4657,2365,2005,97,100,0,501,4799;
@400000005e328c8338602905 #d,-,18,4657,2366,2019,314,1,287296,17812,4657,2367,2019,4657,2365,2008,97,100,0,501,4799;
@400000005e328c853870a3e9 #d,-,18,4658,2366,2009,315,1,287463,17822,4658,2367,2021,4657,2364,2008,96,100,0,501,4804;
@400000005e328c85387b179a #d,-,18,4658,2364,2012,317,1,287629,17833,4658,2366,2019,4658,2364,2008,97,100,0,501,4799;
@400000005e328c87388a1b2b #d,-,18,4657,2364,2013,318,1,287793,17843,4658,2366,2016,4657,2364,2009,97,100,0,501,4799;
@400000005e328c8738942958 #d,-,18,4658,2364,2016,319,1,288057,17859,4658,2366,2019,4657,2363,2011,96,100,0,501,4804;
@400000005e328c8938a4c2f8 #d,-,18,4658,2364,2013,320,1,288119,17863,4658,2366,2018,4658,2363,2008,97,100,0,501,4801;
@400000005e328c8938aee4b4 #d,-,18,4658,2366,2010,322,1,288279,17873,4658,2367,2016,4658,2364,2009,97,100,0,501,4799;
@400000005e328c8b38bec322 #d,-,18,4658,2366,2015,323,2,288440,17883,4658,2367,2017,4658,2365,2009,97,100,0,501,4799;
@400000005e328c8b38c8ab20 #d,-,18,4658,2366,2007,324,2,288599,17893,4658,2367,2019,4658,2365,2007,96,100,0,501,4804;
@400000005e328c8d38d83799 #d,-,18,4658,2365,2016,326,2,288855,17909,4658,2366,2017,4658,2364,2007,97,100,0,501,4799;
@400000005e328c8d38e25954 #d,-,18,4658,2365,2013,327,2,288913,17912,4658,2365,2019,4658,2363,2009,97,100,0,501,4799;
@400000005e328c8f38f2b0d5 #d,-,18,4659,2364,2015,328,2,289068,17922,4659,2365,2019,4658,2362,2010,97,100,0,501,4801;
@400000005e328c8f38fc9b9e #d,-,18,4659,2363,2015,330,2,289321,17937,4659,2365,2020,4659,2362,2009,97,100,0,501,4799;
@400000005e328c91390cf6d8 #d,-,18,4658,2365,2009,331,2,289377,17941,4659,2366,2018,4658,2363,2007,97,100,0,501,4801;
@400000005e328c9139175ba2 #d,-,18,4658,2366,2015,332,2,289529,17950,4658,2366,2016,4658,2364,2007,97,100,0,501,4799;
@400000005e328c9339279f93 #d,-,18,4658,2366,2013,333,2,289777,17966,4658,2366,2020,4658,2363,2009,97,100,0,501,4799;
@400000005e328c9339326cac #d,-,18,4659,2363,2017,335,2,289832,17969,4659,2366,2020,4658,2363,2010,96,100,0,501,4804;
@400000005e328c95394233d1 #d,-,18,4659,2363,2012,336,2,289981,17978,4659,2365,2017,4659,2363,2008,97,100,0,501,4801;
@400000005e328c95394c2342 #d,-,18,4659,2363,2016,337,2,290129,17988,4659,2364,2018,4659,2361,2010,97,100,0,501,4796;
@400000005e328c97395c5ed2 #d,-,18,4659,2362,2023,339,2,290278,17997,4659,2364,2023,4659,2361,2013,97,100,0,501,4801;
@400000005e328c973966bb3a #d,-,18,4659,2362,2014,340,2,290424,18006,4659,2364,2023,4659,2362,2007,96,100,0,501,4804;
@400000005e328c9939771ed6 #d,-,18,4658,2364,2016,341,2,290569,18015,4659,2364,2018,4658,2361,2008,97,100,0,501,4796;
@400000005e328c993981c117 #d,-,18,4658,2363,2013,342,2,290713,18024,4658,2364,2019,4658,2361,2011,97,100,0,501,4796;
@400000005e328c9b3991cf04 #d,-,18,4658,2359,2018,344,2,290952,18039,4658,2363,2020,4658,2359,2010,96,100,0,501,4804;
@400000005e328c9b399c2f26 #d,-,18,4659,2360,2017,345,2,291000,18042,4659,2362,2021,4658,2359,2009,97,100,0,501,4796;
@400000005e328c9d39aba810 #d,-,18,4658,2361,2018,346,2,291141,18050,4659,2362,2020,4658,2360,2012,97,100,0,501,4799;
@400000005e328c9d39b60bec #d,-,18,4659,2358,2017,348,2,291377,18065,4659,2361,2023,4658,2358,2012,97,100,0,501,4801;
@400000005e328c9f39c6486a #d,-,18,4658,2361,2014,349,2,291422,18068,4659,2361,2021,4658,2358,2011,97,100,0,501,4801;
@400000005e328c9f39d098b7 #d,-,18,4659,2360,2021,350,2,291561,18076,4659,2362,2021,4658,2359,2012,97,100,0,501,4801;
@400000005e328ca139e08ab3 #d,-,18,4659,2361,2015,352,2,291700,18085,4659,2362,2022,4659,2359,2012,97,100,0,501,4801;
@400000005e328ca139eae71b #d,-,18,4659,2360,2019,353,2,291931,18099,4659,2362,2021,4659,2359,2011,97,100,0,501,4801;
@400000005e328ca339fc1205 #d,-,18,4659,2361,2013,354,2,291974,18102,4659,2362,2022,4659,2360,2011,97,100,0,501,4799;
@400000005e328ca33a065e98 #d,-,18,4659,2358,2020,355,2,292110,18110,4659,2361,2022,4659,2357,2013,97,100,0,501,4799;
@400000005e328ca53a0ffc14 #d,-,18,4659,2360,2019,357,2,292244,18119,4659,2360,2024,4659,2357,2011,97,100,0,501,4801;
@400000005e328ca53a14b313 #d,-,18,4659,2362,2014,358,2,292378,18127,4659,2362,2020,4659,2359,2012,97,100,0,501,4796;
@400000005e328ca73a2396fa #d,-,18,4659,2362,1747,359,2,292486,18134,4659,2363,2018,4659,2360,1747,97,100,0,501,4799;
@400000005e328ca73a2d1886 #d,-,18,4226,2365,1138,360,2,292475,18133,4659,2367,1969,4226,2360,1138,95,100,0,501,4410;
@400000005e328ca93a3accd0 #d,-,18,3040,2367,1255,361,2,292084,18109,4226,2367,1296,3040,2365,1110,88,100,0,501,3431;
@400000005e328ca93a435c37 #d,-,18,2715,2367,1227,362,2,291781,18090,3040,2368,1260,2715,2365,1220,91,100,0,501,2957;
@400000005e328cab3a509a3b #d,-,18,2711,2366,1214,363,2,291473,18071,2715,2368,1261,2711,2365,1164,91,100,0,501,2957;
@400000005e328cab3a5987b2 #d,-,18,2708,2366,1217,363,2,291165,18052,2711,2368,1222,2708,2365,1209,92,100,0,501,2924;
@400000005e328cad3a673bfd #d,-,18,2702,2366,1208,364,2,290945,18038,2708,2368,1217,2702,2365,1204,92,100,0,501,2912;
@400000005e328cad3a6fd691 #d,-,18,2651,2366,1206,365,2,290545,18013,2702,2368,1212,2651,2366,1205,91,100,0,501,2903;
@400000005e328caf3a7d53e9 #d,-,18,2649,2367,1200,365,2,290234,17994,2651,2370,1209,2649,2366,1199,91,100,0,501,2896;
@400000005e328caf3a860a6d #d,-,18,2647,2369,1201,366,2,289926,17975,2649,2369,1206,2647,2367,1196,91,100,0,501,2884;
@400000005e328cb13a93548c #d,-,18,2645,2368,1196,367,2,289616,17956,2647,2369,1201,2645,2366,1192,91,100,0,501,2881;
@400000005e328cb13a9c45bd #d,-,18,2641,2369,1198,368,2,289308,17937,2645,2369,1202,2641,2365,1194,91,100,0,501,2874;
@400000005e328cb33aa9d6a4 #d,-,18,2638,2369,1190,368,2,288998,17917,2641,2369,1198,2638,2367,1183,91,100,0,501,2870;
@400000005e328cb33ab28881 #d,-,18,2633,2369,1194,369,2,288778,17904,2638,2369,1198,2633,2366,1187,92,100,0,501,2860;
@400000005e328cb53abff24a #d,-,18,2630,2370,1195,370,2,288386,17879,2633,2370,1196,2630,2367,1190,91,100,0,501,2862;
@400000005e328cb53ac8dc07 #d,-,18,2627,2370,1189,371,2,288168,17866,2630,2370,1197,2627,2368,1188,91,100,0,501,2865;
@400000005e328cb73ad68f64 #d,-,18,2625,2371,1189,371,2,287780,17842,2627,2371,1196,2625,2368,1186,91,100,0,501,2862;
@400000005e328cb73adf1ecb #d,-,18,2621,2370,1189,372,2,287478,17823,2625,2371,1192,2621,2369,1183,91,100,0,501,2858;
@400000005e328cb93aec9c23 #d,-,18,2618,2369,1186,373,2,287177,17805,2621,2371,1195,2618,2369,1183,91,100,0,501,2855;
@400000005e328cb93af5899a #d,-,18,2615,2371,1187,373,2,286878,17786,2618,2372,1190,2615,2369,1182,91,100,0,501,2853;
@400000005e328cbb3b034558 #d,-,18,2612,2369,1184,374,2,286580,17767,2615,2372,1191,2612,2369,1183,91,100,0,501,2848;
@400000005e328cbb3b0bcc5d #d,-,18,2610,2371,1188,375,2,286285,17749,2612,2373,1191,2610,2369,1181,91,100,0,501,2858;
@400000005e328cbd3b190796 #d,-,18,2607,2371,1182,376,2,285990,17731,2610,2373,1189,2607,2371,1181,91,100,0,501,2848;
@400000005e328cbd3b21f41e #d,-,18,2605,2373,1182,376,2,285695,17713,2607,2373,1186,2605,2370,1179,91,100,0,501,2851;
@400000005e328cbf3b2fa4b0 #d,-,18,2602,2372,1180,377,2,285402,17694,2605,2374,1187,2602,2371,1177,91,100,0,501,2841;
@400000005e328cbf3b3837d0 #d,-,18,2599,2372,1182,378,2,285111,17676,2602,2372,1187,2599,2369,1178,91,100,0,501,2843;
@400000005e328cc13b45c055 #d,-,18,2597,2372,1181,378,2,284821,17658,2599,2372,1188,2597,2370,1178,91,100,0,501,2841;
@400000005e328cc13b4e7a93 #d,-,18,2595,2372,1183,379,2,284616,17646,2597,2372,1188,2595,2370,1179,91,100,0,501,2843;
@400000005e328cc33b5c3652 #d,-,18,2594,2370,1182,380,2,284248,17623,2595,2372,1188,2594,2369,1178,91,100,0,501,2846;
@400000005e328cc33b64c972 #d,-,18,2592,2369,1180,381,2,283963,17605,2594,2371,1185,2592,2369,1178,91,100,0,501,2839;
@400000005e328cc53b727a03 #d,-,18,2591,2371,1187,381,2,283763,17593,2592,2371,1190,2591,2368,1180,91,100,0,501,2843;
@400000005e328cc53b7b8636 #d,-,18,2590,2369,1180,382,2,283400,17570,2591,2371,1187,2590,2368,1176,91,100,0,501,2846;
@400000005e328cc73b89e224 #d,-,18,2588,2367,1180,383,2,283118,17553,2590,2370,1184,2588,2367,1172,91,100,0,501,2834;
@400000005e328cc73b93095a #d,-,18,2586,2367,1182,383,2,282838,17536,2588,2369,1184,2586,2366,1173,91,100,0,501,2832;
@400000005e328cca0006ab1d #d,-,18,2584,2367,1178,384,2,282559,17518,2586,2368,1183,2584,2366,1175,91,100,0,501,2834;
@400000005e328cca0010a975 #d,-,18,2583,2365,1179,385,2,282282,17501,2584,2367,1185,2583,2365,1175,91,100,0,501,2829;
@400000005e328ccc001f7e75 #d,-,18,2582,2364,1180,386,2,282087,17489,2583,2367,1186,2582,2363,1177,91,100,0,501,2834;
@400000005e328ccc00292365 #d,-,18,2580,2363,1182,386,2,281735,17467,2582,2366,1184,2580,2363,1176,91,100,0,501,2832;
@400000005e328cce00381adb #d,-,18,2580,2364,1183,387,2,281462,17450,2580,2366,1183,2580,2362,1177,91,100,0,501,2832;
@400000005e328cce00428ad2 #d,-,18,2578,2362,1179,388,2,281270,17438,2580,2365,1187,2578,2362,1177,91,100,0,501,2829;
@400000005e328cce004ad45f #d,-,18,2578,2362,1182,388,2,280922,17417,2578,2364,1184,2578,2362,1177,90,100,0,501,2834;
@400000005e328cd000587073 #d,-,18,2576,2361,1173,389,2,280653,17400,2578,2363,1183,2576,2359,1173,91,100,0,501,2825;
@400000005e328cd00061083c #d,-,18,2575,2361,1185,390,2,280463,17388,2576,2363,1185,2575,2360,1170,91,100,0,501,2820;
@400000005e328cd2006e90c1 #d,-,18,2573,2360,1174,391,2,280118,17367,2575,2363,1185,2573,2360,1173,91,100,0,501,2820;
@400000005e328cd200773b2a #d,-,18,2572,2360,1182,391,2,279854,17350,2573,2362,1183,2572,2360,1174,91,100,0,501,2822;
@400000005e328cd40084951e #d,-,18,2571,2361,1178,392,2,279666,17339,2572,2362,1182,2571,2359,1173,91,100,0,501,2820;
@400000005e328cd4008d767a #d,-,18,2570,2362,1178,393,2,279327,17318,2571,2362,1183,2570,2360,1173,91,100,0,501,2820;
@400000005e328cd6009cccef #d,-,18,2569,2363,1736,394,2,279241,17312,2570,2364,1781,2569,2360,1171,91,100,0,501,2820;
@400000005e328cd600a64619 #d,-,18,3579,2362,1445,395,2,279068,17302,3579,2363,1736,2569,2361,1307,97,100,0,501,3659;
@400000005e328cd800b6e81a #d,-,18,3236,2358,2258,396,2,279088,17303,3579,2362,2258,3236,2357,1382,93,100,0,501,3469;
@400000005e328cd800c1642d #d,-,18,4711,2357,2110,397,2,279362,17320,4711,2360,2276,3236,2357,2048,99,100,0,501,4754;
@400000005e328cda00d23106 #d,-,18,4763,2360,1958,398,2,279419,17324,4763,2360,2123,4711,2357,1902,96,100,0,501,4948;
@400000005e328cda00dc3a8b #d,-,18,4559,2360,1977,400,2,279548,17331,4763,2362,1983,4559,2359,1957,97,100,0,501,4687;
@400000005e328cdc00ec6bdc #d,-,18,4557,2361,1977,401,2,279677,17339,4559,2362,1981,4557,2358,1970,97,100,0,501,4697;
@400000005e328cdc00f6df8c #d,-,18,4558,2362,1979,402,2,279806,17348,4558,2363,1984,4557,2360,1971,96,100,0,501,4702;
@400000005e328cde01075982 #d,-,18,4558,2363,1970,403,2,279934,17355,4558,2363,1981,4558,2361,1969,96,100,0,501,4709;
@400000005e328cde0111c206 #d,-,18,4559,2361,1981,404,2,280063,17363,4559,2365,1981,4558,2361,1969,96,100,0,501,4704;
@400000005e328ce00122a26d #d,-,18,4560,2365,1976,406,2,280192,17371,4560,2365,1984,4559,2361,1973,96,100,0,501,4713;
@400000005e328ce0012d1264 #d,-,18,4561,2365,1981,407,2,280321,17379,4561,2366,1984,4560,2362,1974,96,100,0,501,4716;
@400000005e328ce2013d529c #d,-,18,4564,2363,1984,408,2,280451,17387,4564,2366,1989,4561,2363,1978,96,100,0,501,4725;
@400000005e328ce20147f897 #d,-,18,4567,2364,1981,409,2,280581,17396,4567,2366,1990,4564,2363,1981,96,100,0,501,4732;
@400000005e328ce401586fc2 #d,-,18,4570,2365,1986,411,2,280785,17408,4570,2365,1991,4567,2363,1980,96,100,0,501,4732;
@400000005e328ce401629537 #d,-,18,4572,2366,1983,412,2,280840,17412,4572,2366,1989,4570,2363,1980,96,100,0,501,4732;
@400000005e328ce60172f8d3 #d,-,18,4574,2364,1992,413,2,280970,17420,4574,2366,1994,4572,2363,1982,96,100,0,501,4735;
@400000005e328ce6017d7c59 #d,-,18,4578,2363,1989,415,2,281099,17428,4578,2366,1996,4574,2363,1985,96,100,0,501,4742;
@400000005e328ce8018e395c #d,-,18,4580,2363,1989,416,2,281228,17436,4580,2365,1993,4578,2362,1985,96,100,0,501,4744;
@400000005e328ce8019889a9 #d,-,18,4583,2365,1990,417,2,281356,17444,4583,2366,1992,4580,2363,1986,96,100,0,501,4742;
@400000005e328cea01a95ee4 #d,-,18,4585,2366,1988,418,2,281483,17451,4585,2367,1994,4583,2364,1986,96,100,0,501,4744;
@400000005e328cea01b3bf06 #d,-,18,4587,2365,1997,420,2,281612,17459,4587,2367,1997,4585,2364,1985,96,100,0,501,4744;
