@400000005e5e06ef1ed98db7 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e5e06f00d371663 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e5e071c158dd6c0 #d,-,18,2529,2384,1438,29,0,179112,11104,2529,2388,1637,2455,2383,1124,91,100,0,499,2763;
@400000005e5e071c1599d0aa #d,-,18,3477,2387,1244,30,0,180261,11176,3477,2387,1542,2529,2383,1244,95,100,0,499,3656;
@400000005e5e071e15adaae4 #d,-,18,3222,2385,2005,31,0,182928,11341,3477,2388,2269,3222,2382,1145,94,100,0,499,3393;
@400000005e5e071e15b9c832 #d,-,18,4747,2383,1999,32,0,186402,11556,4747,2386,2106,3222,2383,1887,94,100,0,499,5022;
@400000005e5e072015cbcdf7 #d,-,18,4571,2386,1883,33,0,189266,11734,4747,2386,1999,4571,2383,1838,95,100,0,499,4801;
@400000005e5e072015d6ca90 #d,-,18,4453,2386,1942,35,0,191936,11900,4571,2387,1964,4453,2385,1773,96,100,0,499,4607;
@400000005e5e072215e7d5cf #d,-,18,4377,2386,1906,36,0,194515,12059,4453,2388,1942,4377,2385,1866,96,100,0,499,4531;
@400000005e5e072215f2fd3e #d,-,18,4435,2385,1901,37,0,197009,12214,4435,2387,1912,4377,2384,1890,96,100,0,499,4595;
@400000005e5e072416042f9b #d,-,18,4433,2387,1894,38,0,199409,12363,4435,2388,1920,4433,2385,1881,96,100,0,499,4585;
@400000005e5e0724160f5262 #d,-,18,4434,2384,1906,40,0,201714,12506,4434,2387,1932,4433,2384,1881,96,100,0,499,4590;
@400000005e5e0726161f2d16 #d,-,18,4434,2384,1906,41,0,203974,12646,4434,2386,1937,4434,2384,1893,96,100,0,499,4604;
@400000005e5e07261628f923 #d,-,18,4436,2385,1908,42,0,206124,12779,4436,2386,1948,4434,2383,1872,96,100,0,499,4600;
@400000005e5e0728163c4303 #d,-,18,4438,2384,1917,43,0,208229,12910,4438,2385,1952,4436,2383,1884,96,100,0,499,4619;
@400000005e5e07281647892e #d,-,18,4441,2383,1906,44,0,210240,13034,4441,2385,1942,4438,2382,1894,96,100,0,499,4609;
@400000005e5e072a165aafa9 #d,-,18,4444,2384,1941,46,0,212205,13156,4444,2384,1941,4441,2382,1901,95,100,0,499,4633;
@400000005e5e072a166611c5 #d,-,18,4447,2382,1917,47,0,214105,13274,4447,2384,1944,4444,2382,1905,96,100,0,499,4621;
@400000005e5e072c167757b0 #d,-,18,4452,2382,1925,48,0,215950,13388,4452,2384,1936,4447,2382,1915,95,100,0,499,4640;
@400000005e5e072c16816d51 #d,-,18,4455,2384,1919,49,0,217721,13498,4455,2384,1929,4452,2382,1913,96,100,0,499,4633;
@400000005e5e072e1690b3f0 #d,-,18,4459,2384,1930,51,0,219459,13606,4459,2384,1936,4455,2382,1919,96,100,0,499,4642;
@400000005e5e072e169a3cef #d,-,18,4463,2382,1926,52,0,221494,13732,4463,2384,1942,4459,2382,1919,95,100,0,499,4649;
@400000005e5e073016ad28be #d,-,18,4466,2382,1935,53,0,222765,13811,4466,2384,1938,4463,2382,1921,96,100,0,499,4652;
@400000005e5e073016b9336c #d,-,18,4469,2382,1918,54,0,224335,13908,4469,2384,1963,4466,2381,1904,96,100,0,499,4647;
@400000005e5e073216cc3a3d #d,-,18,4473,2379,1935,56,0,225874,14004,4473,2383,1949,4469,2379,1918,95,100,0,499,4666;
@400000005e5e073216d7b3a1 #d,-,18,4476,2381,1908,57,0,227341,14095,4476,2383,1948,4473,2379,1908,96,100,0,499,4645;
@400000005e5e073416eaba72 #d,-,18,4479,2382,1946,58,0,228793,14185,4479,2382,1979,4476,2380,1886,96,100,0,499,4664;
@400000005e5e073416f61c8e #d,-,18,4480,2383,1927,59,0,230179,14271,4480,2383,1949,4479,2380,1915,96,100,0,499,4640;
@400000005e5e073617083229 #d,-,18,4483,2383,1948,61,0,231556,14356,4483,2383,1955,4480,2380,1919,96,100,0,499,4664;
@400000005e5e07361713ce03 #d,-,18,4486,2381,1931,62,0,232879,14438,4486,2383,1953,4483,2380,1925,96,100,0,499,4664;
@400000005e5e0738172658f6 #d,-,18,4490,2381,1950,63,0,234177,14519,4490,2383,1952,4486,2380,1920,96,100,0,499,4671;
@400000005e5e07381731cdb2 #d,-,18,4491,2383,1932,64,0,235427,14596,4491,2383,1950,4490,2381,1921,96,100,0,499,4657;
@400000005e5e073a1744c1e3 #d,-,18,4494,2382,1939,66,0,236978,14692,4494,2383,1943,4491,2381,1926,96,100,0,499,4671;
@400000005e5e073a17504674 #d,-,18,4496,2383,1928,67,0,237836,14745,4496,2384,1943,4494,2381,1927,96,100,0,499,4661;
@400000005e5e073c17630b26 #d,-,18,4498,2385,1958,68,0,239013,14818,4498,2385,1965,4496,2382,1916,96,100,0,499,4673;
@400000005e5e073c176eb409 #d,-,18,4501,2385,1934,69,0,240144,14888,4501,2386,1958,4498,2383,1930,96,100,0,499,4676;
@400000005e5e073e1781e1f8 #d,-,18,4505,2385,1959,71,0,241260,14958,4505,2386,1962,4501,2383,1919,96,100,0,499,4690;
@400000005e5e073e178d99c2 #d,-,18,4506,2385,1932,72,0,242333,15024,4506,2386,1959,4505,2383,1927,96,100,0,499,4676;
@400000005e5e0740179fa341 #d,-,18,4509,2384,1948,73,0,243389,15090,4509,2386,1954,4506,2384,1929,96,100,0,499,4683;
@400000005e5e074017aae5b3 #d,-,18,4511,2386,1938,75,0,244723,15172,4511,2386,1949,4509,2383,1928,96,100,0,499,4678;
@400000005e5e074217bc9984 #d,-,18,4512,2384,1942,76,0,245418,15215,4512,2386,1945,4511,2383,1936,96,100,0,499,4683;
@400000005e5e074217c7d482 #d,-,18,4514,2384,1940,77,0,246392,15276,4514,2385,1945,4512,2381,1931,96,100,0,499,4678;
@400000005e5e074417da0077 #d,-,18,4515,2383,1951,78,0,247652,15354,4515,2385,1951,4514,2382,1935,96,100,0,499,4680;
@400000005e5e074417e53b75 #d,-,18,4518,2386,1943,80,0,248296,15394,4518,2386,1955,4515,2383,1940,96,100,0,499,4690;
