@400000005e81963533d3752b #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e8196362223c746 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e8196622a19ba13 #d,-,18,2444,2394,1127,29,0,177426,11000,2444,2397,1133,2441,2394,1120,88,100,0,500,2758;
@400000005e8196642a2882f8 #d,-,18,2444,2394,1137,30,0,177389,10998,2444,2395,1137,2444,2394,1120,89,100,0,500,2739;
@400000005e8196642a31c61e #d,-,18,2563,2395,1283,31,0,177856,11027,2563,2395,1297,2444,2393,1137,90,100,0,500,2827;
@400000005e8196662a407b74 #d,-,18,2822,2396,1275,31,0,178415,11061,2822,2397,1283,2563,2394,1260,92,100,0,500,3059;
@400000005e8196662a4a5756 #d,-,18,2825,2397,1280,32,0,179365,11120,2825,2398,1285,2822,2396,1272,91,100,0,500,3104;
@400000005e8196682a5933ca #d,-,18,2830,2398,1285,33,0,179915,11154,2830,2398,1285,2825,2397,1278,90,100,0,500,3121;
@400000005e8196682a627336 #d,-,18,2835,2400,1079,34,0,180146,11169,2835,2401,1285,2830,2397,1079,90,100,0,500,3121;
@400000005e81966a2a700f4a #d,-,18,2493,2398,1122,34,0,179718,11142,2835,2400,1147,2493,2398,1079,88,100,0,500,2820;
@400000005e81966a2a789eb1 #d,-,18,2486,2399,1120,35,0,179622,11136,2493,2400,1124,2486,2398,1117,90,100,0,500,2742;
@400000005e81966c2a860fee #d,-,18,2480,2401,1120,36,0,179532,11130,2486,2401,1125,2480,2399,1118,90,100,0,500,2734;
@400000005e81966c2a8ee174 #d,-,18,2475,2400,1121,36,0,179442,11125,2480,2401,1123,2475,2399,1119,90,100,0,500,2737;
@400000005e81966e2a9c091e #d,-,18,2470,2400,1127,37,0,179375,11121,2475,2401,1132,2470,2400,1120,90,100,0,500,2737;
@400000005e81966e2aa4de5e #d,-,18,2468,2399,1125,38,0,179299,11116,2470,2400,1131,2468,2398,1118,89,100,0,500,2751;
@400000005e8196702ab224c4 #d,-,18,2464,2398,1119,38,0,179223,11111,2468,2399,1128,2464,2397,1118,90,100,0,500,2737;
@400000005e8196702abaf37f #d,-,18,2460,2398,1125,39,0,179151,11107,2464,2398,1128,2460,2398,1118,89,100,0,500,2734;
@400000005e8196722ac839e4 #d,-,18,2458,2398,1123,40,0,179083,11103,2460,2398,1126,2458,2398,1121,89,100,0,500,2737;
@400000005e8196722ad1697b #d,-,18,2456,2398,1130,40,0,179024,11099,2458,2398,1133,2456,2398,1120,89,100,0,500,2737;
@400000005e8196742ae0783a #d,-,18,2456,2399,1129,41,0,178985,11097,2456,2399,1131,2456,2398,1127,89,100,0,500,2746;
@400000005e8196742ae9ee98 #d,-,18,2455,2399,1117,42,0,178909,11092,2456,2399,1129,2455,2398,1116,89,100,0,500,2746;
@400000005e8196762af8f22a #d,-,18,2452,2399,1201,42,0,178990,11097,2455,2399,1233,2452,2398,1116,89,100,0,500,2727;
@400000005e8196762b021a4e #d,-,18,2727,2398,1284,43,0,179374,11121,2727,2399,1306,2452,2398,1194,92,100,0,500,2955;
@400000005e8196782b1088dc #d,-,18,2856,2398,1279,44,0,179771,11145,2856,2398,1285,2727,2397,1274,91,100,0,500,3116;
@400000005e8196782b19d81d #d,-,18,2856,2396,1280,45,0,180160,11169,2856,2398,1280,2856,2396,1275,91,100,0,500,3109;
@400000005e81967a2b283f38 #d,-,18,2856,2396,1231,46,0,180514,11191,2856,2397,1284,2856,2395,1231,91,100,0,500,3111;
@400000005e81967a2b318706 #d,-,18,2647,2397,1094,46,0,180322,11179,2856,2397,1231,2647,2396,1013,88,100,0,500,2976;
@400000005e81967c2b3eb9dd #d,-,18,2355,2398,1119,47,0,180263,11176,2647,2398,1151,2355,2396,1094,89,100,0,500,2642;
@400000005e81967c2b4827da #d,-,18,2441,2399,1123,48,0,180188,11171,2441,2399,1126,2355,2398,1118,89,100,0,500,2734;
