@400000005e255cfb0f208b75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e255cfb390a33f8 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255d2805621d19 #d,-,18,2424,2362,1118,29,0,175628,10888,2426,2364,1122,2424,2362,1116,90,100,0,500,2689;
@400000005e255d2a057120aa #d,-,18,2423,2362,1119,29,0,175576,10885,2424,2363,1124,2423,2362,1116,90,100,0,500,2689;
@400000005e255d2a057ac59a #d,-,18,2799,2361,1968,30,0,177723,11018,2799,2364,1972,2423,2360,1119,94,100,0,500,2960;
@400000005e255d2c0589a981 #d,-,18,4345,2362,1895,32,0,180716,11204,4345,2362,1977,2799,2361,1858,98,100,0,500,4412;
@400000005e255d2c05934344 #d,-,18,4451,2360,1882,33,0,183568,11381,4451,2362,1956,4345,2360,1873,96,100,0,500,4614;
@400000005e255d2e05a1e8c5 #d,-,18,4324,2361,1886,34,0,186209,11545,4451,2361,1889,4324,2360,1876,96,100,0,500,4486;
@400000005e255d2e05aba143 #d,-,18,4325,2360,1884,35,0,188747,11702,4325,2361,1889,4324,2360,1877,96,100,0,500,4495;
@400000005e255d3005ba9146 #d,-,18,4326,2360,1889,37,0,191187,11853,4326,2361,1890,4325,2360,1880,96,100,0,500,4486;
@400000005e255d3005c44d7e #d,-,18,4328,2361,1888,38,0,193546,11999,4328,2361,1894,4326,2359,1880,96,100,0,500,4498;
@400000005e255d3205d39b91 #d,-,18,4331,2362,1893,39,0,195834,12141,4331,2362,1899,4328,2360,1886,95,100,0,500,4512;
@400000005e255d3205dd1d1d #d,-,18,4335,2361,1887,40,0,198023,12277,4335,2362,1895,4331,2361,1881,96,100,0,500,4510;
@400000005e255d3405eb4a7a #d,-,18,4337,2359,1899,41,0,200150,12409,4337,2361,1901,4335,2359,1887,96,100,0,500,4512;
@400000005e255d3405f5b983 #d,-,18,4341,2359,1891,43,0,202200,12536,4341,2362,1904,4337,2359,1889,96,100,0,500,4519;
@400000005e255d360604e8da #d,-,18,4340,2360,1987,44,0,204083,12653,4341,2361,1987,4340,2359,1744,96,100,0,500,4503;
@400000005e255d36060e6204 #d,-,18,4336,2360,1889,45,0,205998,12771,4340,2360,2007,4336,2358,1836,97,100,0,500,4465;
@400000005e255d3806181a82 #d,-,18,4342,2360,1890,46,0,207843,12886,4342,2361,1904,4336,2359,1888,95,100,0,500,4529;
@400000005e255d3806217d52 #d,-,18,4346,2361,1851,47,0,209603,12995,4346,2361,1912,4342,2358,1851,95,100,0,500,4529;
@400000005e255d3a063080e4 #d,-,18,4292,2359,1835,49,0,211216,13095,4346,2362,1874,4292,2358,1835,96,100,0,500,4455;
@400000005e255d3a063a0e8b #d,-,18,4289,2356,1877,50,0,212766,13191,4292,2360,1877,4289,2356,1829,96,100,0,500,4434;
@400000005e255d3c0648d770 #d,-,18,4286,2359,1859,51,0,214282,13285,4289,2359,1878,4286,2356,1846,96,100,0,500,4424;
@400000005e255d3c06528fee #d,-,18,4286,2360,1847,52,0,215744,13376,4286,2360,1869,4286,2359,1845,96,100,0,500,4436;
@400000005e255d3e06619af3 #d,-,18,4285,2358,1880,53,0,217183,13465,4286,2360,1880,4285,2358,1845,96,100,0,500,4439;
@400000005e255d3e066b4bfe #d,-,18,4285,2359,1846,55,0,218567,13551,4285,2359,1880,4285,2358,1846,96,100,0,500,4436;
@400000005e255d40067a76ad #d,-,18,4286,2358,1875,56,0,219907,13634,4286,2359,1882,4285,2356,1833,96,100,0,500,4450;
@400000005e255d400683ec1e #d,-,18,4285,2357,1865,57,0,221222,13715,4286,2358,1882,4285,2354,1849,96,100,0,500,4434;
@400000005e255d4206932e15 #d,-,18,4285,2357,1865,58,0,222489,13794,4285,2358,1877,4285,2357,1847,96,100,0,500,4441;
@400000005e255d42069d0284 #d,-,18,4286,2352,1913,59,0,223785,13874,4286,2357,1929,4285,2352,1863,96,100,0,500,4453;
@400000005e255d4406abcb69 #d,-,18,4393,2354,1912,61,0,225105,13956,4393,2355,1931,4286,2351,1901,96,100,0,500,4533;
@400000005e255d4406b57f40 #d,-,18,4397,2353,1934,62,0,226407,14037,4397,2354,1934,4393,2353,1910,96,100,0,500,4574;
@400000005e255d4606c3f276 #d,-,18,4399,2352,1915,63,0,227666,14115,4399,2353,1934,4397,2352,1912,96,100,0,500,4567;
@400000005e255d4606cdb356 #d,-,18,4399,2353,1896,64,0,228782,14184,4399,2355,1920,4399,2352,1778,96,100,0,500,4559;
@400000005e255d4806dcae86 #d,-,18,4335,2354,1936,65,0,229991,14259,4399,2354,1996,4335,2353,1879,96,100,0,500,4493;
@400000005e255d4806e634ba #d,-,18,4429,2354,1919,67,0,231165,14332,4429,2355,1944,4335,2353,1917,96,100,0,500,4567;
@400000005e255d4a06f4af64 #d,-,18,4430,2355,1940,68,0,232317,14403,4430,2355,1940,4429,2352,1917,96,100,0,500,4595;
@400000005e255d4a06fe580d #d,-,18,4430,2355,1923,69,0,233432,14472,4430,2356,1940,4430,2354,1917,96,100,0,500,4583;
@400000005e255d4c070cf261 #d,-,18,4432,2354,1935,70,0,234822,14558,4432,2355,1941,4430,2354,1916,96,100,0,500,4593;
@400000005e255d4c0716ce44 #d,-,18,4432,2354,1925,72,0,235583,14606,4432,2355,1937,4432,2353,1918,96,100,0,500,4585;
@400000005e255d4e07260066 #d,-,18,4432,2353,1930,73,0,236617,14670,4432,2354,1937,4432,2353,1919,96,100,0,500,4585;
@400000005e255d4e072f993a #d,-,18,4433,2355,1938,74,0,237632,14733,4433,2355,1938,4432,2353,1921,96,100,0,500,4588;
@400000005e255d50073f033e #d,-,18,4433,2355,1919,75,0,238609,14793,4433,2355,1939,4433,2354,1919,96,100,0,500,4585;
@400000005e255d50074884ca #d,-,18,4433,2354,1938,77,0,239572,14853,4433,2355,1938,4433,2353,1914,96,100,0,500,4588;
@400000005e255d5207577886 #d,-,18,4432,2356,1917,78,0,240505,14911,4433,2356,1942,4432,2353,1917,96,100,0,500,4576;
@400000005e255d5207610da0 #d,-,18,4434,2357,1940,79,0,241428,14968,4434,2358,1940,4432,2356,1916,96,100,0,500,4595;
@400000005e255d5407703c09 #d,-,18,4433,2356,1919,80,0,242325,15024,4434,2357,1953,4433,2355,1904,96,100,0,500,4583;
@400000005e255d540779a64c #d,-,18,4436,2357,1942,81,0,243212,15079,4436,2358,1948,4433,2356,1918,96,100,0,500,4597;
@400000005e255d5607884902 #d,-,18,4437,2358,1932,83,0,244075,15132,4437,2358,1952,4436,2356,1911,96,100,0,500,4597;
@400000005e255d56079218c9 #d,-,18,4438,2359,1933,84,0,245186,15201,4438,2359,1943,4437,2357,1913,96,100,0,500,4593;
@400000005e255d5807a12b42 #d,-,18,4438,2357,1907,85,0,245729,15235,4438,2359,1945,4438,2356,1905,96,100,0,500,4600;
@400000005e255d5807aab175 #d,-,18,4438,2358,1919,86,0,246541,15285,4438,2358,1947,4438,2355,1907,96,100,0,500,4588;
@400000005e255d5a07b9c896 #d,-,18,4436,2358,1916,88,0,247590,15350,4438,2359,1981,4436,2357,1858,96,100,0,500,4590;
@400000005e255d5a07c30802 #d,-,18,4440,2357,1941,89,0,248368,15398,4440,2358,1949,4436,2357,1914,96,100,0,500,4600;
@400000005e255d5c07d20b93 #d,-,18,4442,2357,1941,90,0,249130,15446,4442,2357,1949,4440,2356,1920,96,100,0,500,4602;
@400000005e255d5c07db75d6 #d,-,18,4444,2358,1938,91,0,249883,15492,4444,2359,1949,4442,2357,1927,96,100,0,500,4614;
@400000005e255d5e07eabb88 #d,-,18,4446,2359,1919,93,0,250352,15521,4446,2360,1950,4444,2357,1916,96,100,0,500,4607;
@400000005e255d5e07f431e6 #d,-,18,4449,2359,1951,94,0,251334,15582,4449,2360,1951,4446,2359,1916,96,100,0,500,4619;
@400000005e255d600802e73d #d,-,18,4449,2359,1925,95,0,252038,15626,4449,2359,1951,4449,2357,1921,96,100,0,500,4602;
@400000005e255d60080cc6d9 #d,-,18,4452,2358,1951,96,0,252478,15653,4452,2359,1951,4449,2358,1919,96,100,0,500,4623;
@400000005e255d62081bce24 #d,-,18,4453,2358,1933,98,0,253412,15711,4453,2358,1951,4452,2357,1922,96,100,0,500,4609;
@400000005e255d6208255bcb #d,-,18,4455,2357,1941,99,0,253831,15737,4455,2358,1948,4453,2357,1926,96,100,0,500,4621;
@400000005e255d64083482c0 #d,-,18,4455,2358,1941,100,0,254733,15793,4455,2359,1959,4455,2357,1899,96,100,0,500,4612;
@400000005e255d64083df477 #d,-,18,4457,2358,1946,101,0,255363,15832,4457,2359,1946,4455,2357,1903,96,100,0,500,4614;
@400000005e255d66084ce0c0 #d,-,18,4457,2358,1929,102,0,255745,15856,4457,2358,1951,4457,2355,1925,96,100,0,500,4609;
@400000005e255d660856a0b2 #d,-,18,4458,2357,1930,104,0,256367,15894,4458,2359,1948,4457,2357,1928,96,100,0,500,4616;
@400000005e255d68086609c7 #d,-,18,4460,2356,1951,105,0,256987,15933,4460,2358,1957,4458,2356,1930,96,100,0,500,4630;
@400000005e255d68086fbad2 #d,-,18,4462,2357,1938,106,0,257588,15970,4462,2357,1955,4460,2354,1929,96,100,0,500,4623;
@400000005e255d6a087e7ffd #d,-,18,4464,2356,1947,107,0,258418,16021,4464,2357,1957,4462,2356,1932,96,100,0,500,4630;
@400000005e255d6a088876e2 #d,-,18,4465,2357,1941,109,0,258998,16057,4465,2357,1956,4464,2355,1937,96,100,0,500,4623;
@400000005e255d6c0897a191 #d,-,18,4467,2355,1947,110,0,259562,16092,4467,2357,1952,4465,2355,1930,96,100,0,500,4626;
@400000005e255d6c08a15a0f #d,-,18,4468,2354,1947,111,0,259891,16113,4468,2356,1959,4467,2354,1934,96,100,0,500,4626;
@400000005e255d6e08b0b709 #d,-,18,4470,2353,1945,112,0,260673,16161,4470,2354,1952,4468,2353,1937,96,100,0,500,4628;
@400000005e255d6e08ba5fb2 #d,-,18,4470,2351,1945,114,0,260981,16180,4470,2353,1958,4470,2351,1936,96,100,0,500,4628;
@400000005e255d7008c95817 #d,-,18,4471,2351,1935,115,0,261505,16213,4471,2352,1954,4470,2351,1931,96,100,0,500,4619;
@400000005e255d7008d3725f #d,-,18,4472,2353,1953,116,0,262256,16259,4472,2353,1963,4471,2351,1928,96,100,0,500,4628;
@400000005e255d7208e26d8f #d,-,18,4471,2354,1921,117,0,262535,16277,4472,2354,1962,4471,2353,1921,96,100,0,500,4616;
@400000005e255d7208ebe034 #d,-,18,4471,2353,1958,118,0,263037,16308,4471,2354,1961,4471,2353,1920,96,100,0,500,4619;
@400000005e255d7408fafb0e #d,-,18,4470,2351,1938,120,0,263752,16352,4471,2353,1964,4470,2350,1922,96,100,0,500,4616;
@400000005e255d740904840d #d,-,18,4471,2350,1956,121,0,264008,16368,4471,2351,1971,4470,2349,1907,96,100,0,500,4619;
@400000005e255d7609131aa8 #d,-,18,4470,2349,1951,122,0,264487,16398,4471,2351,1967,4470,2349,1920,96,100,0,500,4621;
@400000005e255d76091ce6b5 #d,-,18,4470,2348,1938,123,0,265168,16440,4470,2351,1967,4470,2348,1923,96,100,0,500,4616;
@400000005e255d78092c582c #d,-,18,4471,2352,1953,125,0,265636,16469,4471,2352,1966,4470,2348,1934,96,100,0,500,4633;
@400000005e255d780935f100 #d,-,18,4471,2352,1926,126,0,266084,16497,4471,2352,1965,4471,2351,1926,96,100,0,500,4621;
@400000005e255d7a0945bbdf #d,-,18,4472,2357,1955,127,0,266320,16511,4472,2357,1964,4471,2352,1924,96,100,0,500,4628;
@400000005e255d7a094f2269 #d,-,18,4470,2358,1922,128,0,266754,16538,4472,2358,1963,4470,2357,1920,96,100,0,500,4614;
@400000005e255d7c095df2c1 #d,-,18,4472,2361,913,129,0,266763,16539,4472,2361,1962,4470,2356,913,96,100,0,500,4628;
@400000005e255d7c096760be #d,-,18,2902,2359,1172,130,0,266152,16501,4472,2361,1370,2902,2357,913,86,100,0,500,3365;
