@400000005e255cfb0f208b75 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e255cfb390a33f8 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255dbc0ca7130d #d,-,18,4264,2351,1877,182,1,247835,15365,4264,2352,1892,4262,2351,1833,96,100,0,500,4441;
@400000005e255dbe0cb58db7 #d,-,18,4265,2349,1843,184,1,248140,15384,4265,2351,1891,4264,2348,1841,96,100,0,500,4420;
@400000005e255dbe0cbf65e0 #d,-,18,4268,2349,1890,185,1,248452,15404,4268,2350,1892,4265,2348,1841,95,100,0,500,4446;
@400000005e255dc00ccea064 #d,-,18,4268,2350,1864,186,1,248758,15423,4268,2351,1893,4268,2349,1845,96,100,0,500,4429;
@400000005e255dc00cd82963 #d,-,18,4272,2349,1871,187,1,249056,15441,4272,2350,1890,4268,2349,1842,96,100,0,500,4441;
@400000005e255dc20ce711f3 #d,-,18,4273,2350,1885,188,1,249361,15460,4273,2351,1892,4272,2349,1841,96,100,0,500,4436;
@400000005e255dc20cf0f902 #d,-,18,4275,2350,1847,190,1,249658,15478,4275,2352,1899,4273,2350,1847,96,100,0,500,4436;
@400000005e255dc40d000c69 #d,-,18,4279,2350,1890,191,1,250083,15505,4279,2350,1893,4275,2348,1847,96,100,0,500,4457;
@400000005e255dc40d09d4bc #d,-,18,4279,2351,1870,192,1,250251,15515,4279,2352,1894,4279,2349,1851,96,100,0,500,4441;
@400000005e255dc60d190f40 #d,-,18,4282,2350,1869,193,1,250537,15533,4282,2352,1893,4279,2350,1844,96,100,0,500,4448;
@400000005e255dc60d22abce #d,-,18,4283,2351,1886,194,1,250830,15551,4283,2351,1897,4282,2350,1846,96,100,0,500,4450;
@400000005e255dc80d311f05 #d,-,18,4285,2352,1863,196,1,251118,15569,4285,2353,1906,4283,2349,1855,96,100,0,500,4443;
@400000005e255dc80d3b25be #d,-,18,4290,2351,1896,197,1,251409,15587,4290,2353,1898,4285,2351,1859,95,100,0,500,4481;
@400000005e255dca0d4a7b45 #d,-,18,4290,2352,1874,198,1,251693,15604,4290,2353,1897,4290,2351,1853,96,100,0,500,4455;
@400000005e255dca0d543ef0 #d,-,18,4294,2352,1858,199,1,251970,15622,4294,2352,1890,4290,2351,1848,96,100,0,500,4465;
@400000005e255dcc0d63d785 #d,-,18,4296,2351,1890,200,1,252256,15639,4296,2352,1903,4294,2351,1858,96,100,0,500,4465;
@400000005e255dcc0d6d5910 #d,-,18,4298,2351,1862,201,1,252533,15657,4298,2352,1890,4296,2350,1862,96,100,0,500,4465;
@400000005e255dce0d7c06f3 #d,-,18,4300,2349,1900,203,1,252808,15674,4300,2351,1900,4298,2348,1854,96,100,0,500,4465;
@400000005e255dce0d867242 #d,-,18,4299,2350,1875,204,1,253202,15698,4300,2350,1905,4299,2348,1850,96,100,0,500,4457;
@400000005e255dd00d95c055 #d,-,18,4302,2349,1874,205,1,253464,15714,4302,2350,1907,4299,2348,1841,96,100,0,500,4462;
@400000005e255dd00d9f7c8d #d,-,18,4302,2349,1894,206,1,253614,15724,4302,2349,1904,4302,2348,1848,96,100,0,500,4462;
@400000005e255dd20dae84c7 #d,-,18,4302,2351,1856,207,1,253876,15740,4302,2352,1909,4302,2349,1852,96,100,0,500,4450;
@400000005e255dd20db7e6a8 #d,-,18,4307,2349,1911,209,1,254145,15757,4307,2351,1913,4302,2348,1854,95,100,0,500,4488;
@400000005e255dd40dc6fdc9 #d,-,18,4306,2350,1883,210,1,254409,15773,4307,2351,1912,4306,2349,1855,96,100,0,500,4469;
@400000005e255dd40dd07427 #d,-,18,4310,2352,1872,211,1,254665,15789,4310,2353,1909,4306,2350,1853,96,100,0,500,4474;
@400000005e255dd60ddf9ed6 #d,-,18,4311,2352,1904,212,1,254928,15805,4311,2354,1909,4310,2352,1850,96,100,0,500,4484;
@400000005e255dd60de92062 #d,-,18,4311,2351,1857,213,1,255179,15821,4311,2352,1911,4311,2350,1851,96,100,0,500,4457;
@400000005e255dd80df7ca8b #d,-,18,4313,2350,1905,215,1,255433,15836,4313,2352,1908,4311,2350,1851,96,100,0,500,4486;
@400000005e255dd80e0191f1 #d,-,18,4312,2350,1885,216,1,255684,15852,4313,2352,1912,4312,2350,1850,96,100,0,500,4467;
@400000005e255dda0e10f392 #d,-,18,4314,2352,1864,217,1,255927,15867,4314,2353,1910,4312,2349,1853,96,100,0,500,4467;
@400000005e255dda0e1a9882 #d,-,18,4315,2352,1904,218,1,256178,15883,4315,2352,1914,4314,2350,1850,96,100,0,500,4484;
@400000005e255ddc0e29fddd #d,-,18,4314,2353,1862,219,1,256419,15898,4315,2354,1910,4314,2351,1853,96,100,0,500,4460;
@400000005e255ddc0e33743c #d,-,18,4316,2352,1888,221,1,256656,15912,4316,2353,1909,4314,2351,1838,96,100,0,500,4481;
@400000005e255dde0e423968 #d,-,18,4315,2353,1887,222,1,256902,15927,4316,2355,1914,4315,2352,1864,96,100,0,500,4469;
@400000005e255dde0e4c2431 #d,-,18,4316,2356,1854,223,1,257133,15942,4316,2356,1911,4315,2352,1849,96,100,0,500,4469;
@400000005e255de00e5b75fd #d,-,18,4317,2354,1905,224,1,257374,15957,4317,2357,1909,4316,2354,1851,96,100,0,500,4486;
@400000005e255de00e64fb43 #d,-,18,4316,2356,1871,225,1,257606,15971,4317,2356,1913,4316,2354,1851,96,100,0,500,4465;
@400000005e255de20e742238 #d,-,18,4318,2355,1886,227,1,257834,15985,4318,2357,1906,4316,2354,1847,96,100,0,500,4481;
@400000005e255de20e7e38c7 #d,-,18,4317,2355,1886,228,1,258066,16000,4318,2355,1910,4317,2353,1842,96,100,0,500,4472;
@400000005e255de40e8d33f6 #d,-,18,4316,2352,1865,229,1,258291,16014,4317,2355,1906,4316,2352,1856,96,100,0,500,4460;
@400000005e255de40e96a1f3 #d,-,18,4320,2354,1914,230,1,258526,16028,4320,2354,1914,4316,2351,1865,96,100,0,500,4500;
@400000005e255de60ea5d8be #d,-,18,4321,2352,1886,231,1,258867,16049,4321,2354,1914,4320,2351,1864,96,100,0,500,4486;
@400000005e255de60eaf5e03 #d,-,18,4325,2355,1888,233,1,258979,16056,4325,2355,1912,4321,2351,1861,96,100,0,500,4495;
@400000005e255de80ebdfd00 #d,-,18,4326,2355,1900,234,1,259209,16071,4326,2355,1917,4325,2354,1864,96,100,0,500,4495;
@400000005e255de80ec7ccc7 #d,-,18,4327,2353,1861,235,1,259538,16091,4327,2356,1914,4326,2353,1861,96,100,0,500,4481;
@400000005e255dea0ed702a3 #d,-,18,4329,2353,1915,236,1,259652,16098,4329,2354,1915,4327,2351,1860,96,100,0,500,4503;
@400000005e255dea0ee0bedb #d,-,18,4328,2353,1886,237,1,259871,16112,4329,2354,1918,4328,2350,1859,96,100,0,500,4484;
@400000005e255dec0ef0479a #d,-,18,4331,2351,1882,239,1,260084,16125,4331,2353,1910,4328,2351,1861,96,100,0,500,4491;
@400000005e255dec0ef9d099 #d,-,18,4331,2354,1905,240,1,260304,16138,4331,2354,1916,4331,2351,1861,96,100,0,500,4495;
@400000005e255dee0f089a6d #d,-,18,4331,2352,1861,241,1,260513,16151,4331,2354,1914,4331,2352,1861,96,100,0,500,4476;
@400000005e255dee0f1271a7 #d,-,18,4333,2353,1911,242,1,260727,16165,4333,2354,1912,4331,2351,1859,96,100,0,500,4498;
@400000005e255df00f221922 #d,-,18,4331,2352,1885,243,1,260938,16178,4333,2354,1918,4331,2352,1857,96,100,0,500,4479;
@400000005e255df00f2bd1a1 #d,-,18,4334,2353,1869,245,1,261140,16190,4334,2354,1914,4331,2351,1853,96,100,0,500,4491;
@400000005e255df20f3bd372 #d,-,18,4333,2351,1905,246,1,261351,16203,4334,2354,1917,4333,2351,1868,96,100,0,500,4488;
@400000005e255df20f45ba82 #d,-,18,4331,2355,1862,247,1,261659,16222,4333,2356,1913,4331,2351,1860,96,100,0,500,4479;
@400000005e255df40f5514b0 #d,-,18,4334,2354,1907,248,1,261862,16235,4334,2356,1914,4331,2354,1859,96,100,0,500,4500;
@400000005e255df40f5f7fff #d,-,18,4332,2356,1887,249,1,261959,16241,4334,2356,1915,4332,2354,1857,96,100,0,500,4484;
@400000005e255df60f6f23c0 #d,-,18,4333,2354,1871,251,1,262153,16253,4333,2356,1910,4332,2354,1856,96,100,0,500,4484;
@400000005e255df60f7941c2 #d,-,18,4334,2355,1907,252,1,262356,16266,4334,2355,1918,4333,2353,1860,96,100,0,500,4498;
@400000005e255df80f894394 #d,-,18,4333,2354,1868,253,1,262550,16278,4334,2355,1913,4333,2353,1866,96,100,0,500,4479;
@400000005e255df80f934694 #d,-,18,4335,2357,1895,254,1,262743,16290,4335,2357,1912,4333,2353,1848,96,100,0,500,4498;
@400000005e255dfa0fa36e95 #d,-,18,4334,2357,1882,255,1,262941,16302,4335,2357,1913,4334,2356,1873,96,100,0,500,4484;
@400000005e255dfa0fae4056 #d,-,18,4335,2357,1867,257,1,263235,16320,4335,2358,1905,4334,2356,1860,96,100,0,500,4491;
@400000005e255dfc0fbe45e1 #d,-,18,4334,2356,1900,258,1,263425,16332,4335,2357,1905,4334,2355,1860,96,100,0,500,4484;
@400000005e255dfc0fc965dd #d,-,18,4333,2358,1875,259,1,263613,16344,4334,2358,1913,4333,2356,1860,96,100,0,500,4486;
@400000005e255dfe0fd9ff7d #d,-,18,4335,2356,1895,260,1,263696,16349,4335,2358,1912,4333,2356,1856,96,100,0,500,4495;
@400000005e255dfe0fe4d8b1 #d,-,18,4335,2357,1894,261,1,263887,16361,4335,2359,1917,4335,2355,1857,96,100,0,500,4498;
@400000005e255dfe0fecef06 #d,-,18,3601,2363,1132,262,1,263610,16343,4335,2363,1894,3601,2356,931,89,100,0,500,4024;
@400000005e255e000ffbfeb3 #d,-,18,2597,2360,1171,263,1,263302,16324,3601,2363,1194,2597,2360,1132,92,100,0,500,2808;
@400000005e255e0010057069 #d,-,18,2591,2361,1167,264,1,262992,16305,2597,2361,1174,2591,2359,1166,92,100,0,500,2806;
@400000005e255e02101478a3 #d,-,18,2539,2357,1161,264,1,262681,16286,2591,2361,1170,2539,2357,1161,90,100,0,500,2796;
@400000005e255e02101dabf4 #d,-,18,2537,2356,1165,265,1,262371,16267,2539,2358,1165,2537,2356,1159,91,100,0,500,2787;
@400000005e255e04102c5175 #d,-,18,2536,2358,1159,266,1,262161,16253,2537,2358,1166,2536,2356,1157,91,100,0,500,2784;
@400000005e255e041036213c #d,-,18,2533,2357,1155,266,1,261851,16234,2536,2359,1161,2533,2355,1154,91,100,0,500,2772;
@400000005e255e06104582de #d,-,18,2530,2360,1154,267,1,261443,16209,2533,2360,1159,2530,2356,1149,91,100,0,500,2772;
@400000005e255e06104ed5d8 #d,-,18,2526,2359,1145,268,1,261231,16196,2530,2360,1155,2526,2358,1145,91,100,0,500,2758;
@400000005e255e08105e17d0 #d,-,18,2521,2358,1149,269,1,260822,16171,2526,2360,1152,2521,2357,1140,91,100,0,500,2751;
@400000005e255e0810676711 #d,-,18,2516,2359,1142,269,1,260514,16151,2521,2360,1151,2516,2357,1142,91,100,0,500,2746;
@400000005e255e0a107691c0 #d,-,18,2511,2357,1142,270,1,260205,16132,2516,2359,1146,2511,2356,1141,91,100,0,500,2744;
@400000005e255e0a107fdc59 #d,-,18,2506,2357,1143,271,1,259899,16113,2511,2357,1146,2506,2355,1140,91,100,0,500,2737;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
