@400000005e1ec62b24bc20bf #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e1ec62c130b696d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ec6561af50440 #d,-,18,4425,2349,1928,31,0,198283,12293,4427,2352,1929,4425,2349,1917,96,100,0,500,4562;
@400000005e1ec6581b04849d #d,-,18,4425,2349,1925,32,0,201097,12468,4425,2350,1934,4425,2349,1921,96,100,0,500,4571;
@400000005e1ec6581b0ef0da #d,-,18,4425,2351,1928,34,0,203792,12635,4425,2351,1934,4425,2348,1924,96,100,0,500,4576;
@400000005e1ec65a1b1f34cc #d,-,18,4426,2348,1941,35,0,206382,12795,4426,2351,1941,4425,2348,1926,96,100,0,500,4581;
@400000005e1ec65a1b29f2fe #d,-,18,4428,2347,1929,36,0,208858,12949,4428,2349,1941,4426,2347,1929,96,100,0,500,4590;
@400000005e1ec65c1b39c9f9 #d,-,18,4429,2349,1937,37,0,211227,13096,4429,2349,1938,4428,2346,1927,96,100,0,500,4588;
@400000005e1ec65c1b44168c #d,-,18,4430,2349,1935,39,0,213494,13236,4430,2350,1937,4429,2349,1928,96,100,0,500,4583;
@400000005e1ec65e1b53cddc #d,-,18,4431,2349,1934,40,0,215671,13371,4431,2350,1939,4430,2348,1927,96,100,0,500,4588;
@400000005e1ec65e1b5de824 #d,-,18,4433,2350,1935,41,0,217759,13501,4433,2350,1936,4431,2347,1929,96,100,0,500,4588;
@400000005e1ec6601b6d8be6 #d,-,18,4434,2349,1939,42,0,219782,13626,4434,2350,1943,4433,2349,1932,96,100,0,500,4593;
@400000005e1ec6601b780ac3 #d,-,18,4437,2349,1941,43,0,221743,13748,4437,2349,1951,4434,2347,1938,96,100,0,500,4604;
@400000005e1ec6621b878c0f #d,-,18,4440,2350,1939,45,0,223620,13864,4440,2350,1948,4437,2348,1936,96,100,0,500,4609;
@400000005e1ec6621b9278d2 #d,-,18,4442,2349,1942,46,0,225428,13976,4442,2350,1946,4440,2349,1935,96,100,0,500,4604;
@400000005e1ec6641ba1ea49 #d,-,18,4444,2348,1943,47,0,227172,14084,4444,2349,1947,4442,2348,1935,96,100,0,500,4604;
@400000005e1ec6641bac7188 #d,-,18,4446,2347,1947,48,0,228864,14189,4446,2348,1951,4444,2345,1938,96,100,0,500,4607;
@400000005e1ec6661bbb8c62 #d,-,18,4449,2345,1948,50,0,230493,14290,4449,2348,1951,4446,2345,1940,96,100,0,500,4614;
@400000005e1ec6661bc57f8d #d,-,18,4450,2348,1944,51,0,232063,14387,4450,2348,1949,4449,2345,1941,96,100,0,500,4609;
@400000005e1ec6681bd55599 #d,-,18,4452,2350,1945,52,0,233582,14482,4452,2350,1950,4450,2348,1940,96,100,0,500,4614;
@400000005e1ec6681bdff510 #d,-,18,4454,2351,1942,53,0,235045,14572,4454,2351,1947,4452,2349,1939,96,100,0,500,4612;
@400000005e1ec66a1befdeaa #d,-,18,4455,2351,1943,55,0,236464,14660,4455,2352,1947,4454,2350,1939,96,100,0,500,4614;
@400000005e1ec66a1bfa65ea #d,-,18,4456,2349,1953,56,0,237847,14746,4456,2352,1953,4455,2349,1941,96,100,0,500,4614;
@400000005e1ec66c1c0981b2 #d,-,18,4459,2349,1946,57,0,239580,14853,4459,2350,1954,4456,2349,1946,96,100,0,500,4628;
@400000005e1ec66c1c140538 #d,-,18,4462,2351,1947,58,0,240494,14910,4462,2351,1952,4459,2349,1943,96,100,0,500,4628;
@400000005e1ec66e1c2391b1 #d,-,18,4463,2350,1945,60,0,242128,15011,4463,2352,1951,4462,2350,1940,96,100,0,500,4623;
@400000005e1ec66e1c2e6283 #d,-,18,4465,2350,1952,61,0,243346,15087,4465,2350,1952,4463,2350,1941,96,100,0,500,4621;
@400000005e1ec6701c3e4d0d #d,-,18,4466,2347,1946,62,0,244157,15137,4466,2350,1952,4465,2347,1942,96,100,0,500,4621;
@400000005e1ec6701c48ff23 #d,-,18,4467,2348,1945,63,0,245303,15208,4467,2348,1951,4466,2346,1942,96,100,0,500,4623;
@400000005e1ec6721c58f982 #d,-,18,4469,2347,1956,65,0,246425,15278,4469,2348,1958,4467,2346,1943,96,100,0,500,4621;
@400000005e1ec6721c643480 #d,-,18,4471,2349,1951,66,0,247885,15368,4471,2349,1962,4469,2347,1951,96,100,0,500,4638;
@400000005e1ec6741c73cc26 #d,-,18,4474,2348,1959,67,0,248593,15412,4474,2349,1959,4471,2348,1951,96,100,0,500,4640;
@400000005e1ec6741c7e288e #d,-,18,4476,2350,1952,68,0,249629,15477,4476,2350,1960,4474,2348,1950,96,100,0,500,4635;
@400000005e1ec6761c8da532 #d,-,18,4478,2350,1957,70,0,250638,15539,4478,2351,1960,4476,2349,1950,96,100,0,500,4638;
@400000005e1ec6761c987f54 #d,-,18,4479,2348,1952,71,0,251619,15600,4479,2350,1961,4478,2348,1948,96,100,0,500,4640;
@400000005e1ec6781ca81341 #d,-,18,4481,2347,1954,72,0,252573,15659,4481,2349,1959,4479,2347,1948,96,100,0,500,4635;
@400000005e1ec6781cb24c45 #d,-,18,4482,2347,1959,73,0,253502,15717,4482,2347,1964,4481,2346,1949,96,100,0,500,4638;
@400000005e1ec67a1cc1b55a #d,-,18,4483,2347,1955,75,0,254412,15773,4483,2348,1963,4482,2346,1952,96,100,0,500,4640;
@400000005e1ec67a1ccc316c #d,-,18,4485,2346,1960,76,0,255294,15828,4485,2348,1962,4483,2346,1951,96,100,0,500,4638;
@400000005e1ec67c1cdba1f5 #d,-,18,4486,2347,1958,77,0,256156,15881,4486,2347,1960,4485,2346,1952,96,100,0,500,4640;
@400000005e1ec67c1ce5f6ea #d,-,18,4486,2349,1957,78,0,256995,15933,4486,2349,1959,4486,2347,1950,96,100,0,500,4638;
@400000005e1ec67e1cf5a6c7 #d,-,18,4487,2349,1960,80,0,258137,16004,4487,2349,1963,4486,2348,1952,96,100,0,500,4640;
@400000005e1ec67e1cffb13a #d,-,18,4488,2346,1952,81,0,258613,16034,4488,2350,1963,4487,2346,1952,96,100,0,500,4640;
@400000005e1ec6801d0f6ffd #d,-,18,4489,2345,1958,82,0,259708,16101,4489,2348,1960,4488,2345,1949,96,100,0,500,4640;
@400000005e1ec6801d1991b9 #d,-,18,4489,2347,1955,83,0,260152,16129,4489,2348,1962,4489,2345,1952,96,100,0,500,4635;
@400000005e1ec6821d28d859 #d,-,18,4489,2346,1961,85,0,260895,16175,4489,2348,1963,4489,2345,1955,96,100,0,500,4640;
@400000005e1ec6821d3343a8 #d,-,18,4490,2348,1959,86,0,261617,16220,4490,2348,1964,4489,2345,1953,96,100,0,500,4638;
@400000005e1ec6841d42a549 #d,-,18,4490,2347,1957,87,0,262326,16264,4490,2349,1960,4490,2347,1953,96,100,0,500,4638;
@400000005e1ec6841d4ccabf #d,-,18,4490,2347,1961,88,0,263020,16307,4490,2347,1963,4490,2345,1953,96,100,0,500,4640;
@400000005e1ec6861d5c18d2 #d,-,18,4491,2348,1952,90,0,263694,16349,4491,2349,1961,4490,2347,1952,96,100,0,500,4640;
@400000005e1ec6861d664a63 #d,-,18,4491,2347,1963,91,0,264360,16390,4491,2348,1964,4491,2346,1952,96,100,0,500,4638;
@400000005e1ec6881d7467eb #d,-,18,4493,2346,1963,92,0,265022,16431,4493,2347,1970,4491,2346,1958,96,100,0,500,4647;
@400000005e1ec6881d7db284 #d,-,18,4371,2349,1283,93,0,264659,16408,4493,2352,1968,4371,2345,941,94,100,0,500,4614;
@400000005e1ec68a1d8cb615 #d,-,18,2431,2352,1177,94,0,263764,16353,4371,2352,1283,2431,2349,1137,86,100,0,500,2808;
@400000005e1ec68a1d961083 #d,-,18,2551,2351,1173,94,0,262898,16299,2551,2352,1180,2431,2351,1172,90,100,0,500,2815;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
