@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e31813e23079b5a #d,-,18,4681,2356,2030,197,1,282979,17544,4681,2356,2038,4681,2353,2021,97,100,0,500,4818;
@400000005e31813e23124d70 #d,-,18,4682,2354,2034,199,1,283276,17563,4682,2356,2037,4681,2353,2025,96,100,0,500,4827;
@400000005e3181402320eb7e #d,-,18,4682,2355,2028,200,1,283565,17581,4682,2355,2034,4682,2353,2024,97,100,0,500,4822;
@400000005e318140232a45ec #d,-,18,4682,2358,1183,201,1,283678,17588,4682,2358,2034,4682,2352,1183,97,100,0,500,4820;
@400000005e31814223378898 #d,-,18,3258,2358,1263,202,1,283169,17556,4682,2359,1372,3258,2356,947,89,100,0,500,3659;
@400000005e31814223402f47 #d,-,18,2699,2357,1243,202,1,282701,17527,3258,2359,1266,2699,2357,1222,90,100,0,500,2974;
@400000005e318144234d1ffe #d,-,18,2702,2354,1231,203,1,282228,17498,2702,2357,1248,2699,2354,1218,91,100,0,500,2967;
@400000005e318144235608cd #d,-,18,2702,2355,1226,204,1,281756,17468,2702,2356,1239,2702,2353,1222,91,100,0,500,2948;
@400000005e3181462362fd3e #d,-,18,2700,2358,1222,205,1,281285,17439,2702,2358,1228,2700,2355,1220,92,100,0,500,2931;
@400000005e318146236b98c0 #d,-,18,2697,2358,1213,205,1,280812,17410,2700,2359,1226,2697,2358,1212,92,100,0,500,2931;
@400000005e3181482378b095 #d,-,18,2693,2359,1218,206,1,280344,17381,2697,2359,1221,2693,2357,1209,92,100,0,500,2910;
@400000005e3181482381898f #d,-,18,2690,2358,1216,207,1,279879,17352,2693,2360,1223,2690,2358,1213,92,100,0,500,2919;
@400000005e31814a238ecff4 #d,-,18,2685,2358,1205,208,1,279413,17323,2690,2360,1216,2685,2358,1205,92,100,0,500,2903;
@400000005e31814a23976b77 #d,-,18,2679,2357,1206,208,1,278947,17294,2685,2358,1211,2679,2356,1203,92,100,0,500,2896;
@400000005e31814c23a545f1 #d,-,18,2674,2358,1206,209,1,278487,17266,2679,2358,1212,2674,2356,1205,92,100,0,500,2886;
@400000005e31814c23ae2393 #d,-,18,2670,2359,1203,210,1,278034,17238,2674,2359,1227,2670,2357,1195,91,100,0,500,2903;
@400000005e31814e23bb241f #d,-,18,2665,2359,1201,211,1,277577,17209,2670,2359,1204,2665,2358,1194,92,100,0,500,2881;
@400000005e31814e23c401c1 #d,-,18,2659,2358,1196,211,1,277127,17181,2665,2359,1205,2659,2358,1194,92,100,0,500,2872;
@400000005e31815023d13fc4 #d,-,18,2654,2356,1201,212,1,276678,17154,2659,2359,1203,2654,2356,1193,92,100,0,500,2877;
@400000005e31815023d9f28f #d,-,18,2648,2357,1195,213,1,276229,17126,2654,2357,1202,2648,2356,1187,92,100,0,500,2862;
@400000005e31815223e78ea3 #d,-,18,2643,2356,1196,213,1,275786,17098,2648,2357,1200,2643,2356,1193,92,100,0,500,2862;
@400000005e31815223f0a338 #d,-,18,2638,2357,1193,214,1,275346,17071,2643,2357,1208,2638,2356,1186,92,100,0,500,2860;
@400000005e31815423fdf972 #d,-,18,2634,2357,1190,215,1,274908,17044,2638,2357,1197,2634,2356,1188,92,100,0,500,2860;
@400000005e3181542406a3db #d,-,18,2628,2356,1192,216,1,274473,17017,2634,2357,1194,2628,2356,1188,92,100,0,500,2851;
@400000005e318156241384bd #d,-,18,2624,2353,1188,216,1,274041,16990,2628,2357,1195,2624,2353,1188,92,100,0,500,2851;
@400000005e318156241c6e7b #d,-,18,2620,2353,1193,217,1,273615,16964,2624,2356,1197,2620,2352,1188,91,100,0,500,2851;
@400000005e3181582432e831 #d,-,18,2617,2354,1189,218,1,273193,16937,2620,2355,1197,2617,2352,1186,91,100,0,500,2851;
@400000005e3181582443f370 #d,-,18,2613,2354,1183,218,1,272769,16911,2617,2354,1191,2613,2352,1182,91,100,0,500,2846;
@400000005e31815a24522fb4 #d,-,18,2608,2352,1188,219,1,272350,16885,2613,2354,1189,2608,2352,1181,92,100,0,500,2834;
@400000005e31815a245b4bbc #d,-,18,2605,2354,1186,220,1,271937,16860,2608,2354,1193,2605,2352,1183,91,100,0,500,2839;
@400000005e31815c24689221 #d,-,18,2602,2355,1187,221,1,271526,16834,2605,2355,1190,2602,2353,1181,91,100,0,500,2841;
@400000005e31815c24712542 #d,-,18,2599,2354,1180,221,1,271119,16809,2602,2356,1190,2599,2354,1180,91,100,0,500,2839;
@400000005e31815e247e35a3 #d,-,18,2596,2354,1186,222,1,270713,16784,2599,2356,1186,2596,2354,1176,91,100,0,500,2832;
@400000005e31815e24870ae3 #d,-,18,2593,2352,1186,223,1,270311,16759,2596,2354,1189,2593,2351,1180,91,100,0,500,2829;
@400000005e318160249459aa #d,-,18,2591,2355,1182,223,1,269914,16734,2593,2356,1188,2591,2352,1177,91,100,0,500,2832;
@400000005e318160249ceccb #d,-,18,2589,2357,1187,224,1,269521,16710,2591,2357,1189,2589,2355,1178,91,100,0,500,2829;
@400000005e31816224aa2715 #d,-,18,2588,2357,1182,225,1,269131,16686,2589,2357,1188,2588,2356,1179,91,100,0,500,2836;
@400000005e31816224b2d9e0 #d,-,18,2586,2355,1185,226,1,268746,16662,2588,2357,1190,2586,2355,1181,91,100,0,500,2836;
@400000005e31816424c01c8b #d,-,18,2585,2353,1187,226,1,268364,16638,2586,2356,1187,2585,2353,1180,91,100,0,500,2834;
@400000005e31816424c8cf56 #d,-,18,2584,2352,1187,227,1,267983,16615,2585,2353,1189,2584,2352,1180,91,100,0,500,2832;
@400000005e31816624d605e6 #d,-,18,2583,2352,1188,228,1,267607,16591,2584,2352,1190,2583,2351,1182,91,100,0,500,2832;
@400000005e31816624dec3de #d,-,18,2581,2355,1179,228,1,267355,16576,2583,2356,1189,2581,2352,1179,91,100,0,500,2829;
@400000005e31816824ebd43f #d,-,18,2580,2355,1186,229,1,266864,16545,2581,2356,1187,2580,2355,1179,91,100,0,500,2832;
@400000005e31816824f4a980 #d,-,18,2579,2354,1176,230,1,266614,16530,2580,2355,1186,2579,2354,1176,91,100,0,500,2829;
@400000005e31816a25020374 #d,-,18,2577,2355,1180,231,1,266247,16507,2579,2356,1182,2577,2354,1174,91,100,0,500,2822;
@400000005e31816a250ab9f8 #d,-,18,2576,2354,1181,231,1,265884,16484,2577,2356,1183,2576,2354,1174,91,100,0,500,2822;
@400000005e31816c2517eccf #d,-,18,2575,2355,1181,232,1,265407,16455,2576,2356,1185,2575,2354,1176,91,100,0,500,2827;
@400000005e31816c2520f18f #d,-,18,2573,2356,1178,233,1,265166,16440,2575,2356,1185,2573,2354,1175,91,100,0,500,2825;
@400000005e31816e252e62cb #d,-,18,2572,2355,1176,233,1,264694,16411,2573,2356,1182,2572,2355,1173,91,100,0,500,2820;
@400000005e31816e2536f5ec #d,-,18,2570,2353,1178,234,1,264341,16389,2572,2355,1182,2570,2353,1175,91,100,0,500,2820;
@400000005e3181702543f2be #d,-,18,2568,2356,1183,235,1,263992,16367,2570,2356,1183,2568,2353,1175,91,100,0,500,2820;
@400000005e318170254cc445 #d,-,18,2567,2358,1176,236,1,263646,16346,2568,2358,1184,2567,2355,1176,91,100,0,500,2820;
@400000005e318172255a1e39 #d,-,18,2566,2359,1180,236,1,263302,16324,2567,2359,1181,2566,2357,1175,90,100,0,500,2822;
@400000005e3181722562b9bb #d,-,18,2564,2359,1173,237,1,262961,16303,2566,2360,1183,2564,2358,1173,90,100,0,500,2820;
@400000005e318174256fe8d8 #d,-,18,2564,2360,1179,238,1,262624,16282,2564,2360,1181,2564,2359,1172,90,100,0,500,2820;
@400000005e3181742578ae44 #d,-,18,2563,2362,1173,238,1,262289,16261,2564,2362,1181,2563,2360,1173,90,100,0,500,2822;
@400000005e3181762585b643 #d,-,18,2563,2361,1183,239,1,261959,16241,2563,2362,1183,2563,2361,1173,90,100,0,500,2825;
@400000005e318176258ea000 #d,-,18,2563,2360,1176,240,1,261631,16221,2563,2361,1183,2563,2360,1172,90,100,0,500,2825;
@400000005e318178259be666 #d,-,18,2562,2361,1176,241,1,261305,16200,2563,2361,1180,2562,2359,1173,90,100,0,500,2822;
@400000005e31817825a4a0a4 #d,-,18,2562,2361,1178,241,1,260981,16180,2562,2361,1182,2562,2360,1174,90,100,0,500,2822;
@400000005e31817a25b1a042 #d,-,18,2562,2361,1175,242,1,260661,16161,2562,2361,1180,2562,2360,1175,90,100,0,500,2825;
@400000005e31817a25ba8645 #d,-,18,2561,2361,1171,243,1,260343,16141,2562,2362,1182,2561,2360,1171,90,100,0,500,2825;
@400000005e31817c25c7c449 #d,-,18,2560,2361,1173,243,1,260024,16121,2561,2361,1176,2560,2360,1168,90,100,0,500,2817;
@400000005e31817c25d06be7 #d,-,18,2558,2361,1172,244,1,259709,16101,2560,2361,1178,2558,2360,1169,90,100,0,500,2813;
@400000005e31817e25dd9ebd #d,-,18,2558,2360,1175,245,1,259397,16082,2558,2362,1179,2558,2360,1168,90,100,0,500,2815;
@400000005e31817e25e683d3 #d,-,18,2557,2360,1169,245,1,259087,16063,2558,2361,1178,2557,2360,1169,90,100,0,500,2817;
@400000005e31818025f3cdf2 #d,-,18,2557,2360,1178,246,1,258781,16044,2557,2360,1178,2557,2358,1169,90,100,0,500,2813;
@400000005e31818025fc70e8 #d,-,18,2556,2357,1174,247,1,258477,16025,2557,2360,1180,2556,2357,1171,90,100,0,500,2817;
@400000005e318182260bdea5 #d,-,18,2557,2355,1179,248,1,258177,16007,2557,2357,1183,2556,2355,1171,90,100,0,500,2817;
@400000005e31818226164280 #d,-,18,2557,2357,1561,248,1,258031,15997,2557,2357,1672,2557,2353,1172,90,100,0,500,2815;
@400000005e31818426265339 #d,-,18,4230,2352,2158,250,1,258421,16022,4230,2357,2486,2557,2352,1556,98,100,0,500,4280;
@400000005e318184263109f7 #d,-,18,4930,2352,1982,251,1,258766,16043,4930,2353,2176,4230,2352,1982,95,100,0,500,5145;
@400000005e31818626419c24 #d,-,18,4633,2355,1984,252,1,259043,16060,4930,2355,1993,4633,2352,1969,96,100,0,500,4815;
@400000005e318186264ca891 #d,-,18,4503,2353,1953,254,1,259299,16076,4633,2356,2023,4503,2353,1869,96,100,0,500,4666;
@400000005e318188265c4899 #d,-,18,4573,2356,1979,255,1,259568,16093,4573,2356,1990,4503,2353,1953,97,100,0,500,4702;
@400000005e3181882666b02e #d,-,18,4571,2356,1980,256,1,259835,16109,4573,2356,1984,4571,2355,1973,97,100,0,500,4702;
@400000005e31818a2676f420 #d,-,18,4572,2357,1985,258,1,260105,16126,4572,2358,1990,4571,2356,1978,96,100,0,500,4716;
@400000005e31818a2681c99a #d,-,18,4572,2359,1977,259,1,260372,16143,4572,2359,1990,4572,2356,1977,96,100,0,500,4721;
@400000005e31818c26924838 #d,-,18,4573,2359,1980,260,1,260637,16159,4573,2360,1984,4572,2358,1975,96,100,0,500,4721;
@400000005e31818c269d8336 #d,-,18,4574,2359,1983,261,1,260901,16175,4574,2360,1990,4573,2358,1971,96,100,0,500,4718;
@400000005e31818e26ae5fe4 #d,-,18,4576,2358,1983,263,1,261166,16192,4576,2359,1993,4574,2358,1983,96,100,0,500,4735;
@400000005e31818e26b99729 #d,-,18,4578,2357,1987,264,1,261426,16208,4578,2358,1990,4576,2357,1981,96,100,0,500,4728;
@400000005e31819026c9eea9 #d,-,18,4578,2356,1986,265,1,261685,16224,4578,2357,1991,4578,2355,1980,96,100,0,500,4723;
@400000005e31819026d4722f #d,-,18,4580,2355,1996,266,1,261944,16240,4580,2356,1996,4578,2355,1984,96,100,0,500,4730;
@400000005e31819226e569df #d,-,18,4582,2357,1995,268,1,262205,16256,4582,2357,1998,4580,2355,1990,96,100,0,500,4742;
@400000005e31819226f08533 #d,-,18,4585,2356,1993,269,1,262461,16272,4585,2357,1998,4582,2356,1987,96,100,0,500,4744;
@400000005e31819427006fbc #d,-,18,4587,2354,2002,270,1,262719,16288,4587,2357,2005,4585,2353,1989,96,100,0,500,4742;
@400000005e318194270c2efa #d,-,18,4591,2355,1995,272,1,263073,16310,4591,2355,2005,4587,2353,1993,96,100,0,500,4758;
@400000005e318196271c9eb1 #d,-,18,4593,2356,1996,273,1,263227,16320,4593,2356,2000,4591,2355,1990,96,100,0,500,4747;
@400000005e3181962727ba05 #d,-,18,4594,2354,1998,274,1,263578,16341,4594,2356,2005,4593,2354,1990,96,100,0,500,4744;
@400000005e3181982738b1b5 #d,-,18,4598,2353,2002,275,1,263736,16351,4598,2355,2010,4594,2352,1997,96,100,0,500,4766;
@400000005e3181982743a6da #d,-,18,4601,2352,2002,277,1,264082,16373,4601,2353,2009,4598,2351,1998,96,100,0,500,4763;
@400000005e31819a27540214 #d,-,18,4603,2352,2004,278,1,264234,16382,4603,2353,2010,4601,2352,1995,96,100,0,500,4758;
@400000005e31819a275ee3aa #d,-,18,4605,2349,2011,279,1,264482,16397,4605,2352,2011,4603,2348,2001,96,100,0,500,4758;
@400000005e31819c276f3770 #d,-,18,4607,2352,2005,281,1,264727,16413,4607,2353,2011,4605,2349,1996,96,100,0,500,4761;
@400000005e31819c2779c9dd #d,-,18,4609,2354,2011,282,1,264972,16428,4609,2354,2011,4607,2352,2000,96,100,0,500,4761;
@400000005e31819e2789fa3f #d,-,18,4612,2355,2008,283,1,265218,16443,4612,2355,2014,4609,2354,2004,96,100,0,500,4770;
@400000005e31819e2794ff39 #d,-,18,4615,2356,2011,284,1,265465,16458,4615,2356,2015,4612,2355,2003,96,100,0,500,4780;
@400000005e3181a027a56a48 #d,-,18,4618,2358,2008,286,1,265707,16473,4618,2358,2012,4615,2356,2004,96,100,0,500,4782;
@400000005e3181a027b0d01e #d,-,18,4621,2355,2001,287,1,265947,16488,4621,2359,2011,4618,2355,2001,96,100,0,500,4777;
@400000005e3181a227c142a0 #d,-,18,4622,2358,2001,288,1,266185,16503,4622,2358,2009,4621,2355,1998,96,100,0,500,4773;
@400000005e3181a227cc2436 #d,-,18,4623,2356,2000,290,1,266421,16518,4623,2358,2009,4622,2355,1999,96,100,0,500,4770;
@400000005e3181a427dc92ff #d,-,18,4624,2357,2005,291,1,266655,16532,4624,2357,2007,4623,2356,1997,96,100,0,500,4768;
@400000005e3181a427e739e9 #d,-,18,4624,2357,2004,292,1,266888,16547,4624,2357,2009,4624,2356,1999,96,100,0,500,4768;
@400000005e3181a627f71fca #d,-,18,4625,2356,2002,293,1,267119,16561,4625,2357,2008,4624,2356,2000,96,100,0,500,4770;
@400000005e3181a62801ba98 #d,-,18,4626,2356,2012,295,1,267349,16575,4626,2356,2014,4625,2356,2000,97,100,0,500,4768;
@400000005e3181a828128fd3 #d,-,18,4628,2357,2010,296,1,267582,16590,4628,2357,2018,4626,2356,2007,96,100,0,500,4782;
@400000005e3181a8281db742 #d,-,18,4631,2356,2014,297,1,267813,16604,4631,2357,2016,4628,2355,2007,96,100,0,500,4792;
@400000005e3181aa282e496f #d,-,18,4632,2356,2007,299,1,268041,16618,4632,2356,2016,4631,2355,2005,96,100,0,500,4785;
@400000005e3181aa28398be0 #d,-,18,4635,2357,2007,300,1,268267,16632,4635,2357,2016,4632,2355,2007,96,100,0,500,4787;
@400000005e3181ac284a1699 #d,-,18,4635,2357,2012,301,1,268492,16646,4635,2358,2016,4635,2356,2007,96,100,0,500,4785;
@400000005e3181ac28554cef #d,-,18,4636,2357,2011,302,1,268716,16660,4636,2358,2015,4635,2357,2006,96,100,0,500,4782;
@400000005e3181ae2864be66 #d,-,18,4637,2357,2012,304,1,268937,16674,4637,2357,2014,4636,2355,2006,96,100,0,500,4787;
@400000005e3181ae286f45a6 #d,-,18,4638,2357,2008,305,1,269157,16687,4638,2358,2015,4637,2357,2006,96,100,0,500,4782;
@400000005e3181b0287ed21f #d,-,18,4638,2359,2014,306,1,269376,16701,4638,2359,2016,4638,2356,2004,96,100,0,500,4782;
@400000005e3181b02889a3e0 #d,-,18,4639,2359,2007,307,1,269593,16714,4639,2359,2016,4638,2358,2006,97,100,0,500,4782;
@400000005e3181b22899cccf #d,-,18,4640,2358,2013,309,1,269811,16728,4640,2360,2017,4639,2358,2003,96,100,0,500,4785;
@400000005e3181b228a4d0da #d,-,18,4641,2357,2012,310,1,270026,16741,4641,2359,2015,4640,2357,2008,96,100,0,500,4792;
@400000005e3181b428b57a4f #d,-,18,4642,2359,2010,311,1,270240,16754,4642,2359,2017,4641,2357,2006,96,100,0,500,4787;
@400000005e3181b428c06f74 #d,-,18,4644,2356,2013,313,1,270544,16773,4644,2359,2018,4642,2356,2007,96,100,0,500,4794;
@400000005e3181b628d0ab04 #d,-,18,4644,2355,2010,314,1,270664,16781,4644,2357,2017,4644,2355,2009,97,100,0,500,4787;
@400000005e3181b628db6936 #d,-,18,4644,2356,2017,315,1,270874,16794,4644,2357,2017,4644,2355,2008,97,100,0,500,4787;
@400000005e3181b828eb860a #d,-,18,4645,2357,2017,316,1,271082,16807,4645,2357,2017,4644,2355,2005,97,100,0,500,4787;
@400000005e3181b828f647f6 #d,-,18,4645,2358,2009,318,1,271290,16819,4645,2359,2018,4645,2356,2009,96,100,0,500,4789;
@400000005e3181ba29069802 #d,-,18,4645,2356,2015,319,1,271495,16832,4645,2358,2016,4645,2356,2008,97,100,0,500,4787;
@400000005e3181ba291174f0 #d,-,18,4646,2359,2008,320,1,271698,16845,4646,2359,2016,4645,2356,2007,97,100,0,500,4787;
@400000005e3181bc2921d119 #d,-,18,4646,2357,2013,322,1,271902,16857,4646,2359,2019,4646,2355,2008,97,100,0,500,4787;
@400000005e3181bc292b3f16 #d,-,18,4646,2359,2010,323,2,272104,16870,4646,2360,2016,4646,2357,2010,97,100,0,500,4787;
@400000005e3181be293bb552 #d,-,18,4647,2357,2012,324,2,272305,16882,4647,2360,2017,4646,2357,2009,96,100,0,500,4792;
@400000005e3181be2946be05 #d,-,18,4647,2356,2015,325,2,272591,16900,4647,2359,2015,4647,2356,2008,97,100,0,500,4787;
@400000005e3181c029577396 #d,-,18,4647,2358,2014,327,2,272702,16907,4647,2358,2017,4647,2355,2010,97,100,0,500,4789;
@400000005e3181c029623cf5 #d,-,18,4647,2356,2031,328,2,272988,16925,4647,2359,2031,4647,2356,2010,96,100,0,500,4792;
@400000005e3181c22971cd28 #d,-,18,4650,2357,2021,329,2,273101,16932,4650,2357,2031,4647,2356,2018,96,100,0,500,4811;
@400000005e3181c2297cb631 #d,-,18,4652,2354,2021,331,2,273299,16944,4652,2357,2023,4650,2354,2017,96,100,0,500,4804;
@400000005e3181c4298da66e #d,-,18,4653,2356,2018,332,2,273494,16956,4653,2357,2023,4652,2353,2014,96,100,0,500,4801;
@400000005e3181c42998b2db #d,-,18,4654,2358,2018,333,2,273689,16968,4654,2358,2021,4653,2356,2013,96,100,0,500,4799;
@400000005e3181c629a91dea #d,-,18,4656,2359,2017,335,2,273883,16980,4656,2359,2024,4654,2358,2016,96,100,0,500,4804;
@400000005e3181c629b4393e #d,-,18,4657,2357,2014,336,2,274076,16992,4657,2359,2023,4656,2356,2014,96,100,0,500,4806;
@400000005e3181c829c49478 #d,-,18,4658,2355,2019,337,2,274267,17004,4658,2358,2024,4657,2355,2013,96,100,0,500,4806;
@400000005e3181c829cfb82e #d,-,18,4659,2351,2018,338,2,274457,17016,4659,2356,2022,4658,2351,2016,97,100,0,500,4801;
@400000005e3181ca29e0bbf9 #d,-,18,4660,2352,2023,340,2,274647,17028,4660,2353,2027,4659,2351,2018,96,100,0,500,4806;
@400000005e3181ca29eb1861 #d,-,18,4660,2354,2024,341,2,274836,17039,4660,2355,2025,4660,2352,2018,97,100,0,500,4804;
@400000005e3181cc29fb6fe2 #d,-,18,4661,2354,2022,342,2,275023,17051,4661,2355,2027,4660,2354,2018,96,100,0,500,4806;
@400000005e3181cc2a065089 #d,-,18,4661,2354,2021,344,2,275208,17062,4661,2354,2025,4661,2352,2015,96,100,0,500,4806;
@400000005e3181ce2a16d789 #d,-,18,4661,2355,2019,345,2,275392,17074,4661,2355,2026,4661,2352,2016,97,100,0,500,4799;
@400000005e3181ce2a21e3f6 #d,-,18,4661,2352,2020,346,2,275658,17090,4661,2355,2024,4661,2352,2016,97,100,0,500,4801;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
