@400000005e3180872441d47a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e3180881293052b #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e3180b41a81b8c6 #d,-,18,2573,2357,1173,31,0,186387,11556,2574,2360,1186,2573,2357,1172,91,100,0,500,2822;
@400000005e3180b61a8f6fdc #d,-,18,2570,2356,1171,32,0,186308,11551,2573,2357,1175,2570,2356,1170,91,100,0,500,2815;
@400000005e3180b61a982b09 #d,-,18,2567,2356,1189,32,0,186244,11547,2570,2356,1189,2567,2355,1171,91,100,0,500,2808;
@400000005e3180b81aa52e60 #d,-,18,2566,2356,1179,33,0,186195,11544,2567,2356,1196,2566,2354,1173,90,100,0,500,2825;
@400000005e3180b81aae1464 #d,-,18,2566,2357,1174,34,0,186134,11540,2566,2357,1182,2566,2356,1174,90,100,0,500,2822;
@400000005e3180ba1abafcb9 #d,-,18,2564,2358,1179,35,0,186078,11536,2566,2359,1179,2564,2356,1174,91,100,0,500,2815;
@400000005e3180ba1ac3edea #d,-,18,2563,2358,1175,35,0,185653,11510,2564,2358,1181,2563,2357,1174,90,100,0,500,2820;
@400000005e3180bc1ad1cc1d #d,-,18,2562,2357,1178,36,0,185620,11508,2563,2358,1188,2562,2356,1173,90,100,0,500,2817;
@400000005e3180bc1ada8b04 #d,-,18,2562,2357,1175,37,0,185580,11505,2562,2357,1183,2562,2356,1175,90,100,0,500,2825;
@400000005e3180be1ae78aa1 #d,-,18,2562,2357,1180,37,0,185541,11503,2562,2357,1182,2562,2357,1173,90,100,0,500,2820;
@400000005e3180be1af05d16 #d,-,18,2561,2355,1173,38,0,185501,11501,2562,2357,1181,2561,2355,1171,90,100,0,500,2815;
@400000005e3180c01afd9b1a #d,-,18,2560,2358,1176,39,0,185463,11498,2561,2358,1177,2560,2355,1173,90,100,0,500,2815;
@400000005e3180c01b066174 #d,-,18,2559,2360,1180,40,0,185439,11497,2560,2360,1186,2559,2358,1172,90,100,0,500,2815;
@400000005e3180c21b13758e #d,-,18,2561,2359,1181,40,0,185430,11496,2561,2360,1186,2559,2359,1180,90,100,0,500,2834;
@400000005e3180c21b1cb7c6 #d,-,18,2563,2359,1181,41,0,185412,11495,2563,2360,1182,2561,2359,1177,90,100,0,500,2832;
@400000005e3180c41b28f104 #d,-,18,2564,2361,1180,42,0,185397,11494,2564,2361,1183,2563,2359,1178,90,100,0,500,2827;
@400000005e3180c41b31ab42 #d,-,18,2564,2358,1183,42,0,185380,11493,2564,2361,1183,2564,2357,1178,90,100,0,500,2827;
@400000005e3180c61c22be48 #d,-,18,2565,2358,1176,43,0,185355,11492,2565,2359,1183,2564,2358,1174,90,100,0,500,2832;
@400000005e3180c61cc63a0e #d,-,18,2563,2354,1183,44,0,185318,11489,2565,2359,1183,2563,2354,1171,91,100,0,500,2815;
@400000005e3180c81cecf7b5 #d,-,18,3034,2352,2229,45,0,187198,11606,3034,2355,2312,2563,2351,1183,95,100,0,500,3168;
@400000005e3180c81cf6fe6f #d,-,18,4836,2353,2151,46,0,190062,11783,4836,2353,2229,3034,2352,2106,97,100,0,500,4950;
@400000005e3180ca1d069abd #d,-,18,4832,2352,1976,48,0,192225,11917,4836,2354,2155,4832,2352,1955,96,100,0,500,5007;
