@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d4b71aabc5ee #d,-,18,2345,2366,1130,140,0,192784,11952,2739,2368,1153,2345,2365,1111,89,100,0,500,2618;
@400000005e71d4b71ab4f585 #d,-,18,2437,2366,1126,140,0,192688,11946,2437,2366,1133,2345,2365,1126,89,100,0,500,2715;
@400000005e71d4b91ac466fc #d,-,18,2436,2365,1130,141,0,192594,11940,2437,2366,1132,2436,2364,1125,89,100,0,500,2711;
@400000005e71d4b91acd3c3d #d,-,18,2436,2363,1129,142,0,192500,11935,2436,2365,1133,2436,2363,1126,89,100,0,500,2713;
@400000005e71d4bb1adc9a25 #d,-,18,2436,2363,1131,142,0,192508,11935,2436,2364,1133,2436,2362,1127,89,100,0,500,2713;
@400000005e71d4bb1ae56438 #d,-,18,2436,2363,1131,143,0,192417,11929,2436,2364,1133,2436,2363,1127,89,100,0,500,2715;
@400000005e71d4bd1af430d7 #d,-,18,2436,2364,1131,144,0,192327,11924,2436,2364,1133,2436,2363,1129,89,100,0,500,2718;
@400000005e71d4bd1afcff92 #d,-,18,2436,2364,1132,144,0,192140,11912,2436,2364,1133,2436,2364,1129,89,100,0,500,2718;
@400000005e71d4bf1b0c7c36 #d,-,18,2436,2363,1130,145,0,192150,11913,2436,2365,1135,2436,2363,1129,89,100,0,500,2715;
@400000005e71d4bf1b1522e5 #d,-,18,2437,2365,1132,146,0,191965,11901,2437,2365,1133,2436,2363,1129,89,100,0,500,2718;
@400000005e71d4c11b23c867 #d,-,18,2437,2365,1130,146,0,191880,11896,2437,2366,1133,2437,2365,1128,89,100,0,500,2718;
@400000005e71d4c11b2ce46f #d,-,18,2437,2362,1132,147,0,191795,11891,2437,2365,1132,2437,2362,1128,89,100,0,500,2715;
@400000005e71d4c31b3c55e6 #d,-,18,2437,2364,1132,148,0,191711,11886,2437,2365,1133,2437,2362,1130,89,100,0,500,2718;
@400000005e71d4c31b44fc95 #d,-,18,2437,2366,1129,148,0,191627,11880,2437,2366,1132,2437,2364,1129,89,100,0,500,2718;
@400000005e71d4c51b523414 #d,-,18,2437,2364,1130,149,0,191546,11875,2437,2366,1132,2437,2364,1129,89,100,0,500,2718;
@400000005e71d4c51b5b0d0e #d,-,18,2437,2365,1128,150,0,191462,11870,2437,2365,1132,2437,2364,1127,89,100,0,500,2715;
@400000005e71d4c71b6cb4c3 #d,-,18,2437,2364,1128,150,0,191380,11865,2437,2365,1132,2437,2364,1127,89,100,0,500,2713;
@400000005e71d4c71b774bd7 #d,-,18,2731,2363,1476,151,0,191655,11882,2731,2364,1881,2437,2361,1128,95,100,0,500,2858;
@400000005e71d4c91b922324 #d,-,18,3589,2359,1950,152,0,191913,11898,3589,2363,1950,2731,2358,1177,93,100,0,500,3839;
@400000005e71d4c91ba12e29 #d,-,18,3505,2364,1264,153,0,192254,11919,3589,2364,1953,3505,2358,1264,93,100,0,500,3730;
@400000005e71d4cb1bac3e4f #d,-,18,3409,2360,1499,154,0,192570,11939,3505,2365,1876,3409,2357,1165,94,100,0,500,3592;
@400000005e71d4cb1bb17a7c #d,-,18,3335,2361,1712,155,0,192856,11957,3409,2364,1818,3335,2359,1206,89,100,0,500,3730;
@400000005e71d4cd1bc023b7 #d,-,18,3629,2363,1088,156,0,192988,11965,3629,2363,1712,3335,2361,1088,96,100,0,500,3761;
@400000005e71d4cd1bc9cc60 #d,-,18,2655,2361,1120,157,0,192894,11959,3629,2363,1146,2655,2361,1078,88,100,0,500,3014;
@400000005e71d4cf1bdb35af #d,-,18,2423,2361,1128,157,0,192715,11948,2655,2362,1132,2423,2361,1119,89,100,0,500,2697;
@400000005e71d4cf1be4ce83 #d,-,18,2423,2361,1126,158,0,192627,11942,2423,2362,1131,2423,2361,1122,89,100,0,500,2704;
@400000005e71d4d11bf600e0 #d,-,18,2423,2361,1129,159,0,192629,11943,2423,2362,1130,2423,2360,1121,89,100,0,500,2706;
@400000005e71d4d11bffae32 #d,-,18,2423,2361,1125,160,0,192454,11932,2423,2362,1133,2423,2361,1122,89,100,0,500,2701;
@400000005e71d4d31c1037fc #d,-,18,2424,2362,1130,160,0,192457,11932,2424,2362,1130,2423,2361,1123,89,100,0,500,2706;
@400000005e71d4d31c19a240 #d,-,18,2424,2364,1126,161,1,192373,11927,2424,2364,1130,2424,2362,1124,89,100,0,500,2704;
@400000005e71d4d51c2ac881 #d,-,18,2424,2363,1129,162,1,192202,11916,2424,2364,1131,2424,2363,1124,89,100,0,500,2706;
@400000005e71d4d51c34ea3d #d,-,18,2424,2364,1124,162,1,192119,11911,2424,2364,1130,2424,2363,1124,89,100,0,500,2706;
@400000005e71d4d71c45bf77 #d,-,18,2425,2364,1129,163,1,192125,11911,2425,2365,1131,2424,2363,1123,89,100,0,500,2706;
@400000005e71d4d71c4fba16 #d,-,18,2425,2366,1127,164,1,191958,11901,2425,2366,1131,2425,2364,1123,89,100,0,500,2706;
@400000005e71d4d91c5ea2a5 #d,-,18,2337,2364,1139,164,1,191912,11898,2425,2366,1139,2337,2359,1016,88,100,0,500,2649;
@400000005e71d4d91c676810 #d,-,18,2340,2363,1130,165,1,191836,11893,2340,2365,1154,2337,2363,1120,89,100,0,500,2625;
@400000005e71d4db1c765901 #d,-,18,2435,2363,1129,166,1,191674,11883,2435,2364,1132,2340,2362,1127,89,100,0,500,2713;
@400000005e71d4db1c7f7c7d #d,-,18,2434,2365,1128,166,1,191598,11879,2435,2365,1131,2434,2363,1126,89,100,0,500,2713;
@400000005e71d4dd1c8dbd69 #d,-,18,2434,2365,1129,167,1,191523,11874,2434,2367,1130,2434,2365,1128,89,100,0,500,2713;
@400000005e71d4dd1c96868d #d,-,18,2434,2363,1128,168,1,191449,11869,2434,2365,1132,2434,2362,1127,89,100,0,500,2713;
@400000005e71d4df1ca607d9 #d,-,18,2434,2364,1131,168,1,191374,11865,2434,2365,1132,2434,2362,1126,89,100,0,500,2711;
@400000005e71d4df1caf69bb #d,-,18,3014,2361,1634,169,1,191700,11885,3014,2364,1859,2434,2361,1130,95,100,0,500,3154;
@400000005e71d4e11cc0cb97 #d,-,18,3495,2364,1457,170,1,192001,11904,3495,2364,1968,3014,2359,1341,92,100,0,500,3791;
@400000005e71d4e11ccc0a4f #d,-,18,3715,2360,1811,171,1,192300,11922,3715,2365,1851,3495,2360,1264,92,100,0,500,4024;
@400000005e71d4e31cdbc912 #d,-,18,3714,2360,1872,172,1,192577,11939,3715,2363,1872,3714,2359,1303,94,100,0,500,3929;
@400000005e71d4e31ce55300 #d,-,18,3619,2366,1041,173,1,192848,11956,3714,2366,1895,3619,2359,1041,93,100,0,500,3879;
@400000005e71d4e51cf4ef4e #d,-,18,2623,2362,1134,174,1,192636,11943,3619,2366,1134,2623,2362,993,87,100,0,500,2986;
@400000005e71d4e51cfe7c07 #d,-,18,2353,2362,1123,174,1,192640,11943,2623,2363,1147,2353,2362,1118,89,100,0,500,2625;
@400000005e71d4e71d0db2d1 #d,-,18,2433,2365,1130,175,1,192480,11933,2433,2365,1130,2353,2362,1123,89,100,0,500,2713;
@400000005e71d4e71d176b50 #d,-,18,2432,2364,1127,176,1,192484,11934,2433,2366,1130,2432,2364,1122,89,100,0,500,2706;
@400000005e71d4e91d294550 #d,-,18,2431,2363,1128,176,1,192326,11924,2432,2364,1129,2431,2363,1126,89,100,0,500,2708;
@400000005e71d4e91d32de24 #d,-,18,2430,2363,1127,177,1,192250,11919,2431,2364,1128,2430,2363,1123,89,100,0,500,2708;
@400000005e71d4eb1d4495ae #d,-,18,2430,2365,1127,178,1,192174,11914,2430,2365,1128,2430,2363,1122,89,100,0,500,2704;
@400000005e71d4eb1d4e2e83 #d,-,18,2429,2364,1125,179,1,192100,11910,2430,2365,1129,2429,2363,1123,89,100,0,500,2704;
@400000005e71d4ed1d5e0cf0 #d,-,18,2429,2364,1126,179,1,192026,11905,2429,2364,1129,2429,2363,1125,89,100,0,500,2706;
@400000005e71d4ed1d6796de #d,-,18,2429,2363,1124,180,1,191952,11901,2429,2364,1130,2429,2363,1123,89,100,0,500,2704;
@400000005e71d4ef1d777905 #d,-,18,2428,2363,1127,181,1,191880,11896,2429,2363,1130,2428,2363,1123,89,100,0,500,2706;
@400000005e71d4ef1d813184 #d,-,18,2428,2363,1128,181,1,191807,11892,2428,2363,1128,2428,2363,1123,89,100,0,500,2706;
@400000005e71d4f11d90f8a9 #d,-,18,2428,2363,1126,182,1,191735,11887,2428,2363,1130,2428,2363,1123,89,100,0,500,2704;
@400000005e71d4f11d9a9537 #d,-,18,2427,2363,1125,183,1,191664,11883,2428,2363,1128,2427,2362,1122,89,100,0,500,2704;
@400000005e71d4f31dac6b7d #d,-,18,2427,2362,1124,183,1,191592,11878,2427,2363,1127,2427,2362,1123,89,100,0,500,2701;
@400000005e71d4f31db5f925 #d,-,18,2426,2361,1126,184,1,191521,11874,2427,2362,1129,2426,2361,1123,89,100,0,500,2701;
@400000005e71d4f51dc8a68e #d,-,18,2426,2361,1125,185,1,191450,11869,2426,2362,1128,2426,2360,1123,89,100,0,500,2704;
@400000005e71d4f51dd5c98f #d,-,18,2425,2359,1127,185,1,191378,11865,2426,2361,1129,2425,2358,1123,89,100,0,500,2701;
@400000005e71d4f71de6d4ce #d,-,18,3008,2357,1482,186,1,191720,11886,3008,2359,1877,2425,2354,1127,96,100,0,500,3107;
@400000005e71d4f71df04ee7 #d,-,18,3363,2356,1782,187,1,191891,11897,3363,2359,1950,3008,2355,1202,91,100,0,500,3692;
@400000005e71d4f91e0028ac #d,-,18,3587,2360,1216,188,1,192111,11910,3587,2361,1782,3363,2356,1166,95,100,0,500,3756;
@400000005e71d4f91e0a79e7 #d,-,18,3583,2358,1523,189,1,192346,11925,3587,2360,1906,3583,2357,1216,95,100,0,500,3761;
@400000005e71d4fb1e1a34f1 #d,-,18,3258,2357,1609,190,1,192662,11945,3583,2359,1829,3258,2356,1260,91,100,0,500,3547;
@400000005e71d4fb1e23c299 #d,-,18,3691,2360,1149,191,1,192722,11948,3691,2360,1609,3258,2357,1126,95,100,0,500,3865;
@400000005e71d4fd1e31c430 #d,-,18,2477,2362,1135,192,1,192651,11944,3691,2362,1149,2477,2360,1086,86,100,0,500,2853;
@400000005e71d4fd1e3ac536 #d,-,18,2473,2359,1132,192,1,192510,11935,2477,2362,1136,2473,2359,1132,90,100,0,500,2725;
@400000005e71d4ff1e4a1349 #d,-,18,2469,2358,1133,193,1,192443,11931,2473,2359,1134,2469,2357,1131,90,100,0,500,2715;
@400000005e71d4ff1e52c16c #d,-,18,2466,2359,1130,194,1,192376,11927,2469,2359,1134,2466,2358,1129,90,100,0,500,2715;
@400000005e71d5011e620452 #d,-,18,2462,2363,1130,194,1,192310,11923,2466,2363,1134,2462,2359,1129,90,100,0,500,2713;
@400000005e71d5011e6a9b2c #d,-,18,2460,2361,1132,195,1,192245,11919,2462,2363,1132,2460,2361,1128,90,100,0,500,2713;
@400000005e71d5031e798002 #d,-,18,2457,2363,1130,196,1,192179,11915,2460,2363,1133,2457,2360,1129,90,100,0,500,2715;
@400000005e71d5031e82c239 #d,-,18,2454,2363,1135,196,1,192114,11911,2457,2363,1135,2454,2362,1128,90,100,0,500,2713;
@400000005e71d5051e905b82 #d,-,18,2452,2361,1132,197,1,192049,11907,2454,2363,1135,2452,2361,1130,90,100,0,500,2718;
@400000005e71d5051e990d5e #d,-,18,2450,2361,1128,198,1,191984,11903,2452,2362,1133,2450,2361,1128,90,100,0,500,2715;
@400000005e71d5071ea62179 #d,-,18,2448,2361,1132,198,1,191920,11899,2450,2361,1133,2448,2361,1128,90,100,0,500,2713;
@400000005e71d5071eaef2ff #d,-,18,2446,2362,1129,199,1,191856,11895,2448,2362,1133,2446,2361,1127,90,100,0,500,2711;
@400000005e71d5091ebe585b #d,-,18,2445,2362,1132,200,1,191793,11891,2446,2363,1132,2445,2361,1128,90,100,0,500,2713;
@400000005e71d5091ec71299 #d,-,18,2443,2363,1130,200,1,191730,11887,2445,2363,1133,2443,2362,1128,90,100,0,500,2713;
@400000005e71d50b1ed4f575 #d,-,18,2442,2363,1132,201,1,191668,11883,2443,2363,1133,2442,2362,1129,89,100,0,500,2715;
@400000005e71d50b1ede0650 #d,-,18,2442,2363,1132,202,1,191606,11879,2442,2363,1133,2442,2363,1130,89,100,0,500,2715;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
