@400000005e71d3f81dbb05d2 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e71d3f90c0b15ce #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e71d42513e6c562 #d,-,18,3529,2370,1568,31,0,191783,11890,3535,2371,1885,3529,2367,1166,96,100,0,500,3659;
@400000005e71d42513ecffcf #d,-,18,3321,2368,1674,32,0,193659,12006,3529,2372,1830,3321,2367,1236,89,100,0,500,3694;
@400000005e71d42713fbbc99 #d,-,18,3699,2373,1111,33,0,194177,12039,3699,2373,1674,3321,2368,1102,96,100,0,500,3837;
@400000005e71d4271405134d #d,-,18,2597,2370,1125,33,0,193326,11986,3699,2373,1152,2597,2370,1081,87,100,0,500,2974;
@400000005e71d4291413f823 #d,-,18,2453,2371,1132,34,0,192946,11962,2597,2373,1134,2453,2370,1125,90,100,0,500,2720;
@400000005e71d429141d2f2d #d,-,18,2452,2373,1130,35,0,192579,11939,2453,2373,1133,2452,2371,1128,89,100,0,500,2727;
@400000005e71d42b142ba61d #d,-,18,2451,2372,1130,35,0,192230,11918,2452,2373,1133,2451,2372,1129,90,100,0,500,2723;
@400000005e71d42b1435439a #d,-,18,2450,2373,1132,36,0,191889,11897,2451,2374,1132,2450,2371,1130,89,100,0,500,2727;
@400000005e71d42d144374b1 #d,-,18,2450,2373,1132,37,0,191567,11877,2450,2373,1135,2450,2370,1130,89,100,0,500,2730;
@400000005e71d42d144cc6bd #d,-,18,2449,2371,1131,37,0,191258,11858,2450,2373,1134,2449,2370,1130,89,100,0,500,2725;
@400000005e71d42f145b5d57 #d,-,18,2449,2372,1131,38,0,191319,11861,2449,2373,1133,2449,2370,1129,89,100,0,500,2727;
@400000005e71d42f14651990 #d,-,18,2448,2371,1134,39,0,190672,11821,2449,2372,1136,2448,2370,1130,89,100,0,500,2727;
@400000005e71d4311473cee6 #d,-,18,2448,2371,1133,39,0,190391,11804,2448,2372,1135,2448,2370,1128,89,100,0,500,2727;
@400000005e71d431147cf350 #d,-,18,2448,2370,1132,40,0,190123,11787,2448,2372,1134,2448,2369,1127,89,100,0,500,2725;
@400000005e71d433148b7dcf #d,-,18,2447,2372,1127,41,0,189856,11771,2448,2372,1133,2447,2368,1127,89,100,0,500,2723;
@400000005e71d43314948a02 #d,-,18,2446,2370,1131,42,0,189602,11755,2447,2372,1133,2446,2370,1127,89,100,0,500,2723;
@400000005e71d43514a30d0e #d,-,18,2445,2372,1131,42,0,189356,11740,2446,2372,1132,2445,2370,1127,89,100,0,500,2723;
@400000005e71d43514ac6b35 #d,-,18,2445,2372,1129,43,0,189113,11725,2445,2372,1132,2445,2372,1128,89,100,0,500,2723;
@400000005e71d43714bb8256 #d,-,18,2444,2370,1129,44,0,188883,11710,2445,2372,1133,2444,2370,1129,89,100,0,500,2723;
@400000005e71d43714c4c935 #d,-,18,2444,2371,1129,44,0,188658,11696,2444,2371,1133,2444,2369,1128,89,100,0,500,2725;
@400000005e71d43914d3dc9c #d,-,18,2443,2369,1780,45,0,189129,11726,2444,2372,1780,2443,2369,1127,89,100,0,500,2723;
@400000005e71d43914dd9160 #d,-,18,3371,2369,1503,46,0,189893,11773,3371,2370,1876,2443,2367,1416,96,100,0,500,3507;
@400000005e71d43b14e9518c #d,-,18,3308,2367,1456,47,0,191141,11850,3371,2369,1878,3308,2366,1172,94,100,0,500,3509;
@400000005e71d43b14f1730e #d,-,18,3577,2368,1805,48,0,191994,11903,3577,2371,1932,3308,2367,1228,91,100,0,500,3919;
@400000005e71d43d14ffaf52 #d,-,18,3571,2370,1250,49,0,192738,11949,3577,2371,1805,3571,2368,1250,93,100,0,500,3829;
@400000005e71d43d15090aae #d,-,18,3451,2369,1486,50,0,193443,11993,3571,2370,1836,3451,2368,1210,95,100,0,500,3597;
@400000005e71d43f1516aa7c #d,-,18,3292,2372,1102,51,0,193420,11992,3451,2373,1596,3292,2368,1052,90,100,0,500,3654;
@400000005e71d43f151f6d1c #d,-,18,2395,2371,1139,51,0,193154,11975,3292,2373,1151,2395,2371,1071,89,100,0,500,2678;
@400000005e71d441152caed9 #d,-,18,2400,2371,1128,52,0,192889,11959,2400,2372,1139,2395,2370,1116,88,100,0,500,2720;
@400000005e71d4411535a00a #d,-,18,2404,2371,1129,53,0,192636,11943,2404,2373,1132,2400,2371,1126,88,100,0,500,2720;
@400000005e71d4431542d789 #d,-,18,2408,2371,1125,53,0,192386,11927,2408,2372,1131,2404,2370,1122,88,100,0,500,2715;
@400000005e71d443154b7a7f #d,-,18,2411,2370,1129,54,0,192148,11913,2411,2371,1131,2408,2370,1124,88,100,0,500,2718;
@400000005e71d445155906bd #d,-,18,2414,2372,1124,55,0,191909,11898,2414,2372,1129,2411,2370,1123,88,100,0,500,2713;
@400000005e71d4451561a9b3 #d,-,18,2416,2371,1128,55,0,191682,11884,2416,2372,1132,2414,2370,1124,88,100,0,500,2718;
@400000005e71d447156ec187 #d,-,18,2418,2370,1127,56,0,191457,11870,2418,2372,1131,2416,2370,1124,89,100,0,500,2715;
@400000005e71d4471577e503 #d,-,18,2420,2372,1129,57,0,191485,11872,2420,2373,1130,2418,2370,1125,89,100,0,500,2715;
@400000005e71d44915853b3d #d,-,18,2421,2369,1126,57,0,191267,11858,2421,2372,1130,2420,2369,1123,89,100,0,500,2715;
@400000005e71d449158dce5e #d,-,18,2422,2370,1123,58,0,191052,11845,2422,2371,1127,2421,2368,1121,89,100,0,500,2711;
@400000005e71d44b159ae633 #d,-,18,2423,2370,1123,59,0,190842,11832,2423,2371,1129,2422,2370,1122,89,100,0,500,2706;
@400000005e71d44b15a3c78e #d,-,18,2423,2367,1127,59,0,190639,11819,2423,2370,1128,2423,2367,1122,89,100,0,500,2708;
@400000005e71d44d15b13158 #d,-,18,2424,2367,1124,60,0,190211,11793,2424,2368,1132,2423,2367,1124,89,100,0,500,2713;
@400000005e71d44d15b9eb96 #d,-,18,2425,2369,1128,61,0,190021,11781,2425,2370,1129,2424,2367,1123,89,100,0,500,2713;
@400000005e71d44f15c87615 #d,-,18,2425,2369,1124,61,0,189839,11770,2425,2370,1131,2425,2369,1122,89,100,0,500,2711;
