@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142f2329b7180e #d,-,18,3281,2344,1176,756,4,207827,12885,3281,2345,1579,2913,2342,1037,96,100,0,500,3401;
@400000005e142f2329bd16e0 #d,-,18,2558,2344,1064,757,4,207790,12883,3281,2345,1176,2558,2343,1011,98,100,0,500,2602;
@400000005e142f2529c6e2ed #d,-,18,2558,2343,999,758,4,207786,12882,2558,2344,1305,2558,2342,978,100,100,0,500,2558;
@400000005e142f2529cc5164 #d,-,18,2415,2345,1141,759,4,207739,12879,2558,2345,1166,2415,2343,999,96,100,0,500,2502;
@400000005e142f2729d42d0c #d,-,18,2668,2343,1141,759,4,207720,12878,2668,2345,1144,2415,2342,1140,98,100,0,500,2696;
@400000005e142f2729d837bf #d,-,18,2665,2346,1142,760,4,207701,12877,2668,2346,1142,2665,2343,1140,99,100,0,500,2685;
@400000005e142f2929e0233d #d,-,18,2668,2344,1139,761,4,207685,12876,2668,2346,1174,2665,2343,1134,98,100,0,500,2710;
@400000005e142f2929e3864c #d,-,18,2665,2345,1144,761,4,207667,12875,2668,2345,1150,2665,2342,1139,99,100,0,500,2691;
@400000005e142f2b29ed0065 #d,-,18,2664,2345,1143,762,4,207649,12874,2665,2346,1144,2664,2344,1140,98,100,0,500,2694;
@400000005e142f2b29f312c5 #d,-,18,2663,2345,1141,763,4,207630,12873,2664,2345,1144,2663,2344,1141,99,100,0,500,2687;
@400000005e142f2d29fd542b #d,-,18,2662,2348,1140,764,4,207612,12871,2663,2350,1143,2662,2345,1140,98,100,0,500,2689;
@400000005e142f2d2a03fb8f #d,-,18,2664,2348,1135,764,4,207596,12870,2664,2349,1173,2662,2347,1134,98,100,0,500,2707;
@400000005e142f2f2a0f3a47 #d,-,18,2663,2346,1142,765,4,207578,12869,2664,2348,1144,2663,2346,1135,98,100,0,500,2700;
@400000005e142f2f2a1563f0 #d,-,18,2662,2346,1142,766,4,207581,12870,2663,2347,1143,2662,2345,1141,98,100,0,500,2689;
@400000005e142f312a213b64 #d,-,18,2661,2346,1142,767,4,207542,12867,2662,2347,1145,2661,2345,1141,98,100,0,500,2689;
@400000005e142f312a27ea3b #d,-,18,2661,2346,1144,767,4,207524,12866,2661,2346,1144,2661,2345,1141,98,100,0,500,2689;
@400000005e142f332a33639f #d,-,18,2662,2344,1136,768,4,207508,12865,2662,2346,1174,2661,2343,1136,98,100,0,500,2700;
@400000005e142f332a3a41f6 #d,-,18,2662,2346,1143,769,4,207490,12864,2662,2346,1144,2662,2343,1135,98,100,0,500,2708;
@400000005e142f352a46a163 #d,-,18,2661,2346,1141,769,4,207472,12863,2662,2347,1143,2661,2345,1140,98,100,0,500,2689;
@400000005e142f352a4eb3fe #d,-,18,2660,2347,1142,770,4,207454,12862,2661,2347,1143,2660,2344,1141,98,100,0,500,2687;
@400000005e142f372a5c11ac #d,-,18,2659,2344,1142,771,4,207436,12861,2660,2347,1144,2659,2344,1140,98,100,0,500,2687;
@400000005e142f372a63e5e1 #d,-,18,2660,2345,1140,772,4,207420,12860,2660,2346,1174,2659,2344,1140,98,100,0,500,2692;
@400000005e142f392a724cfc #d,-,18,2661,2346,1142,773,4,207402,12858,2661,2346,1144,2660,2344,1135,98,100,0,500,2710;
@400000005e142f392a7b6191 #d,-,18,2660,2344,1142,773,4,207385,12857,2661,2346,1144,2660,2344,1141,98,100,0,500,2691;
@400000005e142f3b2a89ff9f #d,-,18,2660,2344,1143,774,4,207367,12856,2660,2346,1144,2660,2343,1142,98,100,0,500,2689;
@400000005e142f3b2a9375fd #d,-,18,2659,2345,1143,775,4,207349,12855,2660,2346,1144,2659,2343,1142,98,100,0,500,2689;
@400000005e142f3d2aa26600 #d,-,18,2659,2344,1153,775,4,207334,12854,2659,2345,1174,2659,2343,1142,98,100,0,500,2691;
@400000005e142f3d2aace5cc #d,-,18,2661,2340,1145,776,4,207316,12853,2661,2344,1153,2659,2340,1136,98,100,0,500,2714;
@400000005e142f3f2abe1f9c #d,-,18,2660,2343,1145,777,4,207299,12852,2661,2343,1146,2660,2340,1143,98,100,0,500,2691;
@400000005e142f3f2ac8b6b0 #d,-,18,2660,2340,1144,778,4,207302,12852,2660,2343,1145,2660,2340,1142,98,100,0,500,2687;
@400000005e142f412ad9dcf2 #d,-,18,2659,2340,1153,778,4,207286,12851,2660,2341,1155,2659,2340,1143,98,100,0,500,2689;
@400000005e142f412ae4492f #d,-,18,2660,2344,1169,779,4,207271,12850,2660,2344,1178,2659,2340,1145,98,100,0,500,2700;
@400000005e142f432af52d50 #d,-,18,2663,2344,1148,780,4,207232,12848,2663,2345,1169,2660,2343,1138,97,100,0,500,2721;
@400000005e142f432aff5b27 #d,-,18,2663,2344,1147,781,4,207215,12847,2663,2345,1148,2663,2343,1145,98,100,0,500,2698;
@400000005e142f452b0f8b8a #d,-,18,2663,2345,1145,781,4,207199,12846,2663,2346,1147,2663,2343,1145,98,100,0,500,2698;
@400000005e142f452b1ac2cf #d,-,18,2663,2344,1146,782,4,207182,12845,2663,2346,1147,2663,2344,1145,98,100,0,500,2696;
@400000005e142f472b2af6eb #d,-,18,2663,2344,1176,783,4,207167,12844,2663,2345,1178,2663,2343,1145,98,100,0,500,2698;
@400000005e142f472b36395d #d,-,18,2666,2346,1147,783,4,207151,12843,2666,2346,1176,2663,2344,1140,97,100,0,500,2726;
@400000005e142f492b47a2ac #d,-,18,2666,2344,1145,784,4,207134,12842,2666,2346,1147,2666,2343,1144,98,100,0,500,2694;
@400000005e142f492b522da5 #d,-,18,2665,2345,1147,785,4,207117,12841,2666,2345,1147,2665,2344,1144,98,100,0,500,2696;
@400000005e142f4b2b633d8c #d,-,18,2664,2343,1147,786,4,207101,12840,2665,2345,1147,2664,2343,1145,98,100,0,500,2696;
@400000005e142f4b2b6dac94 #d,-,18,2664,2344,1177,786,4,207107,12840,2664,2344,1177,2664,2342,1146,98,100,0,500,2696;
@400000005e142f4d2b7ea8ed #d,-,18,2668,2345,1148,787,4,207070,12838,2668,2345,1178,2664,2344,1139,97,100,0,500,2728;
@400000005e142f4d2b88f580 #d,-,18,2667,2342,1148,788,4,207074,12838,2668,2345,1148,2667,2342,1145,98,100,0,500,2694;
@400000005e142f4f2b961c3b #d,-,18,2666,2344,1148,789,4,207037,12836,2667,2345,1148,2666,2342,1147,98,100,0,500,2698;
@400000005e142f4f2b9bd17a #d,-,18,2666,2341,1226,789,4,207022,12835,2666,2345,1226,2666,2341,1146,98,100,0,500,2698;
@400000005e142f512ba5c0eb #d,-,18,3105,2344,1206,790,4,207054,12837,3105,2344,1540,2666,2340,1206,100,100,0,500,3105;
@400000005e142f512bab8157 #d,-,18,3033,2345,1239,791,4,207055,12837,3105,2347,1267,3033,2344,1206,96,100,0,500,3132;
@400000005e142f532bb59ab1 #d,-,18,2914,2346,1241,792,4,207058,12837,3033,2346,1278,2914,2345,1239,99,100,0,500,2936;
@400000005e142f532bbb9e2b #d,-,18,2912,2346,1254,793,4,207060,12837,2914,2347,1255,2912,2345,1241,98,100,0,500,2943;
@400000005e142f552bc5f6d9 #d,-,18,2913,2345,1251,794,4,207062,12837,2913,2347,1254,2912,2344,1249,98,100,0,500,2945;
@400000005e142f552bcc47a0 #d,-,18,2913,2346,1265,794,4,207064,12837,2913,2347,1265,2913,2344,1250,98,100,0,500,2943;
@400000005e142f572bd7b5d7 #d,-,18,2917,2345,1250,795,4,207067,12838,2917,2347,1283,2913,2345,1244,97,100,0,500,2977;
@400000005e142f572bddff2a #d,-,18,2916,2344,1251,796,4,207090,12839,2917,2346,1254,2916,2344,1250,99,100,0,500,2943;
@400000005e142f592be9e1cc #d,-,18,2916,2347,1244,797,4,207071,12838,2916,2347,1252,2916,2344,1244,99,100,0,500,2943;
@400000005e142f592bf0a431 #d,-,18,2914,2346,1243,798,4,207071,12838,2916,2348,1244,2914,2345,1239,99,100,0,500,2931;
@400000005e142f5b2bfdea97 #d,-,18,2913,2347,1254,798,4,207094,12839,2914,2347,1254,2913,2345,1243,99,100,0,500,2933;
@400000005e142f5b2c05d25a #d,-,18,2917,2347,1250,799,4,207077,12838,2917,2347,1284,2913,2346,1244,98,100,0,500,2974;
@400000005e142f5d2c129392 #d,-,18,2916,2345,1250,800,4,207079,12838,2917,2347,1253,2916,2345,1249,98,100,0,500,2947;
@400000005e142f5d2c1af468 #d,-,18,2916,2347,1250,801,4,207080,12839,2916,2347,1251,2916,2345,1249,99,100,0,500,2943;
@400000005e142f5f2c294c9c #d,-,18,2915,2346,1251,802,4,207082,12839,2916,2347,1252,2915,2345,1250,99,100,0,500,2943;
@400000005e142f5f2c322a3e #d,-,18,2915,2348,1249,802,4,207084,12839,2915,2348,1252,2915,2345,1249,98,100,0,500,2945;
@400000005e142f612c40bfea #d,-,18,2919,2347,1243,803,4,207088,12839,2919,2348,1283,2915,2346,1242,98,100,0,500,2965;
@400000005e142f612c4aaf5c #d,-,18,2918,2346,1251,804,4,207090,12839,2919,2349,1252,2918,2346,1243,98,100,0,500,2952;
@400000005e142f632c5aeaeb #d,-,18,2917,2345,1251,805,4,207092,12839,2918,2347,1253,2917,2344,1250,99,100,0,500,2943;
@400000005e142f632c65536f #d,-,18,2917,2344,1251,806,4,207093,12839,2917,2345,1255,2917,2343,1251,99,100,0,500,2945;
@400000005e142f652c768985 #d,-,18,2917,2343,1253,806,5,207095,12839,2917,2344,1254,2917,2342,1250,99,100,0,500,2945;
@400000005e142f652c80e9a7 #d,-,18,2919,2345,1244,807,5,207099,12840,2919,2345,1285,2917,2342,1244,98,100,0,500,2959;
@400000005e142f672c92184a #d,-,18,2920,2343,1250,808,5,207101,12840,2920,2345,1254,2919,2342,1244,98,100,0,500,2961;
@400000005e142f672c9c59b0 #d,-,18,2919,2345,1251,809,5,207103,12840,2920,2345,1252,2919,2343,1250,99,100,0,500,2943;
@400000005e142f692cad9af3 #d,-,18,2918,2343,1252,810,5,207105,12840,2919,2345,1253,2918,2343,1250,99,100,0,500,2943;
@400000005e142f692cb80377 #d,-,18,2917,2345,1252,811,5,207107,12840,2918,2345,1254,2917,2343,1250,99,100,0,500,2945;
@400000005e142f6b2cc84768 #d,-,18,2919,2344,1246,811,5,207111,12840,2919,2346,1284,2917,2343,1246,98,100,0,500,2951;
@400000005e142f6b2cd3764b #d,-,18,2920,2346,1251,812,5,207112,12840,2920,2347,1253,2919,2344,1244,98,100,0,499,2967;
@400000005e142f6d2ce49d7b #d,-,18,2919,2345,1251,813,5,207134,12842,2920,2347,1252,2919,2345,1249,99,100,0,499,2945;
@400000005e142f6d2cef14e5 #d,-,18,2919,2347,1251,814,5,207136,12842,2919,2347,1253,2919,2344,1250,99,100,0,499,2945;
@400000005e142f6f2cff64f2 #d,-,18,2918,2345,1250,815,5,207118,12841,2919,2347,1252,2918,2345,1249,99,100,0,499,2943;
@400000005e142f6f2d09d4e9 #d,-,18,2918,2348,1257,815,5,207122,12841,2918,2348,1283,2918,2345,1250,99,100,0,499,2945;
@400000005e142f712d1b0eb9 #d,-,18,2920,2346,1256,816,5,207123,12841,2920,2348,1260,2918,2345,1239,98,100,0,499,2970;
@400000005e142f712d256767 #d,-,18,2921,2347,1247,817,5,207125,12841,2921,2347,1256,2920,2345,1247,98,100,0,499,2952;
@400000005e142f732d3689ee #d,-,18,2919,2346,1247,818,5,207127,12841,2921,2347,1254,2919,2345,1246,99,100,0,499,2942;
@400000005e142f732d414821 #d,-,18,2917,2346,1242,819,5,207127,12841,2919,2347,1247,2917,2345,1241,99,100,0,499,2936;
@400000005e142f752d517110 #d,-,18,2914,2345,1263,819,5,207130,12842,2917,2346,1274,2914,2344,1241,99,100,0,499,2924;
@400000005e142f752d5cb381 #d,-,18,2915,2349,1238,820,5,207130,12842,2915,2349,1263,2914,2344,1234,98,100,0,499,2952;
@400000005e142f772d6de5de #d,-,18,2913,2347,1246,821,5,207131,12842,2915,2350,1248,2913,2346,1238,99,100,0,500,2926;
@400000005e142f772d787cf2 #d,-,18,2912,2347,1246,822,5,207152,12843,2913,2348,1249,2912,2346,1246,99,100,0,500,2936;
@400000005e142f792d8a1c46 #d,-,18,2907,2346,1247,823,5,207131,12842,2912,2348,1251,2907,2345,1200,100,100,0,500,2907;
@400000005e142f792d948883 #d,-,18,2907,2348,1291,823,5,207155,12843,2907,2348,1293,2907,2345,1246,99,100,0,500,2934;
@400000005e142f7b2da59009 #d,-,18,2912,2346,1247,824,5,207136,12842,2912,2348,1291,2907,2346,1240,97,100,0,500,2983;
@400000005e142f7b2daffc46 #d,-,18,2912,2347,1250,825,5,207138,12842,2912,2347,1252,2912,2346,1246,99,100,0,500,2936;
@400000005e142f7d2dc11ecd #d,-,18,2912,2347,1250,826,5,207139,12842,2912,2349,1250,2912,2347,1248,98,100,0,500,2943;
@400000005e142f7d2dcb57d2 #d,-,18,2912,2348,1250,827,5,207141,12842,2912,2348,1251,2912,2346,1248,98,100,0,500,2945;
@400000005e142f7f2ddbf61a #d,-,18,2912,2349,1281,827,5,207144,12842,2912,2350,1281,2912,2348,1248,98,100,0,500,2942;
@400000005e142f7f2de72c70 #d,-,18,2916,2347,1249,828,5,207146,12843,2916,2350,1282,2912,2347,1243,98,100,0,500,2975;
@400000005e142f812df84b3e #d,-,18,2915,2349,1249,829,5,207148,12843,2916,2349,1250,2915,2347,1248,99,100,0,500,2942;
@400000005e142f812e030970 #d,-,18,2914,2347,1249,830,5,207150,12843,2915,2350,1250,2914,2347,1247,99,100,0,500,2942;
@400000005e142f832e14864e #d,-,18,2914,2349,1250,831,5,207171,12844,2914,2349,1251,2914,2347,1248,99,100,0,500,2942;
@400000005e142f832e1ef645 #d,-,18,2914,2346,1279,831,5,207174,12844,2914,2350,1279,2914,2346,1247,99,100,0,500,2943;
@400000005e142f852e301513 #d,-,18,2918,2348,1249,832,5,207156,12843,2918,2348,1282,2914,2346,1241,98,100,0,500,2975;
@400000005e142f852e3a7534 #d,-,18,2916,2349,1249,833,5,207158,12843,2918,2349,1250,2916,2348,1247,99,100,0,500,2938;
@400000005e142f872e4b8ba0 #d,-,18,2916,2345,1250,834,5,207159,12843,2916,2349,1250,2916,2345,1248,99,100,0,500,2942;
@400000005e142f872e56425f #d,-,18,2915,2346,1250,835,5,207161,12844,2916,2346,1252,2915,2345,1250,99,100,0,500,2943;
@400000005e142f892e678491 #d,-,18,2915,2345,1269,836,5,207163,12844,2915,2346,1269,2915,2345,1250,99,100,0,500,2943;
@400000005e142f892e71d897 #d,-,18,2919,2346,1252,836,5,207166,12844,2919,2347,1283,2915,2345,1243,98,100,0,499,2974;
@400000005e142f8b2e8233d1 #d,-,18,2917,2344,1251,837,5,207167,12844,2919,2346,1252,2917,2343,1249,99,100,0,499,2940;
@400000005e142f8b2e8d825e #d,-,18,2917,2343,1253,838,5,207169,12844,2917,2345,1253,2917,2343,1250,99,100,0,499,2943;
@400000005e142f8d2e9efb82 #d,-,18,2916,2345,1252,839,5,207190,12845,2917,2345,1253,2916,2343,1249,99,100,0,499,2943;
@400000005e142f8d2ea972ed #d,-,18,2916,2343,1259,840,5,207172,12844,2916,2345,1259,2916,2342,1250,99,100,0,499,2943;
@400000005e142f8f2ebaa549 #d,-,18,2919,2346,1248,840,5,207176,12844,2919,2346,1283,2916,2343,1243,98,100,0,499,2970;
@400000005e142f8f2ec51da2 #d,-,18,2918,2344,1250,841,5,207177,12845,2919,2346,1252,2918,2344,1248,99,100,0,499,2942;
@400000005e142f912ed63054 #d,-,18,2917,2347,1249,842,5,207179,12845,2918,2347,1251,2917,2343,1248,99,100,0,499,2940;
@400000005e142f912ee06d12 #d,-,18,2916,2345,1251,843,5,207180,12845,2917,2347,1252,2916,2345,1248,99,100,0,499,2943;
@400000005e142f932ef1c68c #d,-,18,2915,2347,1250,844,5,207182,12845,2916,2347,1252,2915,2344,1249,99,100,0,499,2943;
@400000005e142f932efc0bac #d,-,18,2919,2345,1246,844,5,207185,12845,2919,2347,1283,2915,2344,1242,98,100,0,499,2965;
@400000005e142f952f0c4be4 #d,-,18,2918,2345,1250,845,5,207187,12845,2919,2346,1252,2918,2344,1246,99,100,0,499,2947;
@400000005e142f952f179e2b #d,-,18,2917,2345,1248,846,5,207188,12845,2918,2346,1252,2917,2343,1248,99,100,0,499,2943;
@400000005e142f972f28fb5e #d,-,18,2916,2343,1250,847,5,207189,12845,2917,2346,1252,2916,2343,1247,99,100,0,499,2942;
@400000005e142f972f338b00 #d,-,18,2915,2345,1251,848,5,207210,12847,2916,2345,1252,2915,2343,1250,99,100,0,499,2940;
@400000005e142f992f44b141 #d,-,18,2918,2344,1242,848,5,207194,12846,2918,2345,1283,2915,2344,1242,98,100,0,499,2959;
@400000005e142f992f4f1d7e #d,-,18,2918,2345,1250,849,5,207196,12846,2918,2346,1252,2918,2344,1242,98,100,0,499,2956;
@400000005e142f9b2f600913 #d,-,18,2917,2347,1248,850,5,207197,12846,2918,2348,1252,2917,2343,1248,99,100,0,499,2942;
@400000005e142f9b2f6a8c98 #d,-,18,2916,2348,1249,851,5,207199,12846,2917,2349,1250,2916,2346,1248,99,100,0,499,2942;
@400000005e142f9d2f7ba7ad #d,-,18,2915,2347,1250,852,5,207200,12846,2916,2348,1250,2915,2346,1247,99,100,0,499,2942;
@400000005e142f9d2f85eccc #d,-,18,2917,2347,1242,853,5,207204,12846,2917,2348,1283,2915,2347,1242,98,100,0,499,2952;
@400000005e142f9f2f9561fd #d,-,18,2918,2348,1196,853,5,207203,12846,2918,2349,1251,2917,2346,1196,98,100,0,499,2961;
@400000005e142f9f2fa0a46e #d,-,18,2808,2346,1249,854,5,207218,12847,2918,2349,1249,2808,2345,1176,98,100,0,499,2853;
@400000005e142fa12fb1c33c #d,-,18,2896,2346,1251,855,5,207200,12846,2896,2347,1252,2808,2345,1248,99,100,0,499,2915;
@400000005e142fa12fbc3333 #d,-,18,2898,2347,1250,856,5,207202,12846,2898,2347,1251,2896,2345,1249,98,100,0,499,2943;
@400000005e142fa32fcd791e #d,-,18,2900,2346,1249,856,5,207205,12846,2900,2347,1280,2898,2345,1248,98,100,0,499,2945;
@400000005e142fa32fd7e915 #d,-,18,2904,2346,1249,857,5,207206,12846,2904,2348,1251,2900,2346,1242,97,100,0,499,2965;
@400000005e142fa52fe9614b #d,-,18,2905,2348,1246,858,5,207208,12846,2905,2348,1250,2904,2345,1246,98,100,0,499,2943;
@400000005e142fa52ff3c16d #d,-,18,2906,2345,1250,859,5,207209,12846,2906,2348,1251,2905,2345,1246,98,100,0,499,2940;
@400000005e142fa730050fba #d,-,18,2907,2347,1250,860,5,207230,12848,2907,2348,1251,2906,2345,1248,98,100,0,499,2943;
@400000005e142fa7300f6007 #d,-,18,2907,2344,1265,860,5,207214,12847,2907,2348,1283,2907,2344,1245,98,100,0,499,2940;
@400000005e142fa9301f9423 #d,-,18,2910,2347,1248,861,5,207215,12847,2910,2348,1265,2907,2344,1241,98,100,0,499,2967;
@400000005e142fa9302aacac #d,-,18,2911,2347,1251,862,5,207217,12847,2911,2347,1251,2910,2345,1248,98,100,0,499,2942;
@400000005e142fab303babd0 #d,-,18,2911,2346,1250,863,5,207218,12847,2911,2348,1251,2911,2346,1246,98,100,0,499,2942;
@400000005e142fab304652b9 #d,-,18,2911,2346,1252,864,5,207219,12847,2911,2346,1252,2911,2344,1249,98,100,0,499,2943;
@400000005e142fad3057afed #d,-,18,2911,2347,1274,865,5,207223,12847,2911,2347,1281,2911,2344,1248,98,100,0,499,2942;
@400000005e142fad30622b11 #d,-,18,2914,2346,1249,865,5,207224,12847,2914,2348,1274,2911,2346,1242,98,100,0,499,2968;
@400000005e142faf30734e87 #d,-,18,2914,2357,1245,866,5,207245,12849,2914,2362,1251,2914,2346,1235,99,100,0,499,2942;
@400000005e142faf307de955 #d,-,18,2913,2357,1243,867,5,207227,12848,2914,2358,1245,2913,2355,1243,99,100,0,499,2942;
@400000005e142fb1308e6bad #d,-,18,2913,2358,1243,868,5,207228,12848,2913,2360,1244,2913,2357,1242,98,100,0,499,2943;
@400000005e142fb13098ac24 #d,-,18,2913,2360,1272,869,5,207231,12848,2913,2360,1273,2913,2358,1242,99,100,0,499,2942;
@400000005e142fb330a8cda0 #d,-,18,2916,2358,1243,869,5,207233,12848,2916,2360,1272,2913,2358,1235,98,100,0,499,2972;
@400000005e142fb330b3f510 #d,-,18,2915,2359,1241,870,5,207234,12848,2916,2360,1244,2915,2358,1241,99,100,0,499,2942;
@400000005e142fb530c51797 #d,-,18,2915,2360,1243,871,5,207235,12848,2915,2360,1243,2915,2359,1241,99,100,0,499,2942;
@400000005e142fb530cfcd67 #d,-,18,2914,2361,1242,872,5,207256,12849,2915,2362,1243,2914,2359,1241,99,100,0,499,2942;
@400000005e142fb730e0ffc4 #d,-,18,2914,2359,1272,873,5,207239,12848,2914,2361,1272,2914,2358,1240,99,100,0,499,2942;
@400000005e142fb730eb6fbb #d,-,18,2917,2359,1243,873,5,207241,12848,2917,2361,1273,2914,2359,1234,98,100,0,499,2972;
@400000005e142fb930fc9242 #d,-,18,2916,2361,1243,874,5,207243,12849,2917,2361,1244,2916,2359,1240,99,100,0,499,2940;
@400000005e142fb9310706e1 #d,-,18,2915,2362,1241,875,5,207244,12849,2916,2363,1243,2915,2360,1240,99,100,0,499,2942;
@400000005e142fbb3117eebd #d,-,18,2915,2362,1240,876,5,207245,12849,2915,2363,1242,2915,2361,1240,99,100,0,499,2942;
@400000005e142fbb312295a6 #d,-,18,2914,2363,1266,877,5,207247,12849,2915,2363,1266,2914,2361,1240,99,100,0,499,2943;
@400000005e142fbd3132ed26 #d,-,18,2917,2363,1242,877,5,207268,12850,2917,2364,1272,2914,2361,1233,98,100,0,499,2974;
@400000005e142fbd313e184f #d,-,18,2916,2361,1242,878,5,207251,12849,2917,2363,1243,2916,2360,1239,99,100,0,499,2938;
@400000005e142fbf314f1b2d #d,-,18,2915,2361,1241,879,5,207252,12849,2916,2364,1243,2915,2360,1240,99,100,0,499,2942;
@400000005e142fbf3159c5d0 #d,-,18,2915,2366,1239,880,5,207254,12849,2915,2366,1241,2915,2361,1238,98,100,0,499,2945;
@400000005e142fc1316b0448 #d,-,18,2914,2365,1252,881,5,207255,12849,2915,2366,1252,2914,2364,1237,99,100,0,499,2940;
@400000005e142fc1317577f9 #d,-,18,2918,2364,1240,882,5,207258,12850,2918,2366,1272,2914,2364,1231,98,100,0,499,2972;
@400000005e142fc33186b671 #d,-,18,2916,2364,1239,882,5,207259,12850,2918,2367,1241,2916,2364,1236,99,100,0,499,2938;
@400000005e142fc3319121c0 #d,-,18,2915,2366,1241,883,5,207279,12851,2916,2366,1241,2915,2364,1238,99,100,0,499,2942;
@400000005e142fc531a25c7e #d,-,18,2915,2365,1240,884,5,207280,12851,2915,2366,1241,2915,2363,1238,99,100,0,499,2943;
@400000005e142fc531ac993c #d,-,18,2914,2363,1244,885,5,207263,12850,2915,2365,1244,2914,2363,1240,99,100,0,499,2942;
@400000005e142fc731bcf82f #d,-,18,2918,2363,1239,885,5,207266,12850,2918,2365,1270,2914,2363,1233,98,100,0,499,2970;
@400000005e142fc731c82801 #d,-,18,2916,2365,1240,886,5,207267,12850,2918,2365,1242,2916,2363,1239,99,100,0,499,2945;
@400000005e142fc931d87365 #d,-,18,2916,2365,1240,887,5,207269,12850,2916,2366,1242,2916,2363,1239,99,100,0,499,2942;
@400000005e142fc931e3a336 #d,-,18,2915,2365,1241,888,5,207270,12850,2916,2365,1241,2915,2363,1239,99,100,0,499,2943;
@400000005e142fcb31f4258e #d,-,18,2915,2363,1240,889,5,207271,12850,2915,2365,1241,2915,2363,1239,99,100,0,499,2943;
@400000005e142fcb31fe85b0 #d,-,18,2918,2363,1235,890,5,207274,12851,2918,2365,1273,2915,2363,1232,98,100,0,499,2965;
@400000005e142fcd320fa47e #d,-,18,2917,2366,1239,890,5,207276,12851,2918,2366,1243,2917,2362,1235,98,100,0,499,2951;
@400000005e142fcd321a1474 #d,-,18,2916,2367,1237,891,5,207277,12851,2917,2367,1241,2916,2365,1237,99,100,0,499,2942;
@400000005e142fcf322b2f89 #d,-,18,2915,2366,1238,892,5,207278,12851,2916,2367,1240,2915,2366,1237,99,100,0,500,2942;
@400000005e142fcf3235688d #d,-,18,2914,2364,1241,893,5,207279,12851,2915,2367,1241,2914,2363,1238,99,100,0,500,2942;
@400000005e142fd13245c00d #d,-,18,2916,2362,1233,894,5,207282,12851,2916,2364,1272,2914,2362,1233,98,100,0,500,2952;
@400000005e142fd13250efde #d,-,18,2916,2362,1236,894,5,207283,12851,2916,2363,1243,2916,2362,1233,98,100,0,500,2956;
@400000005e142fd332615ea7 #d,-,18,2915,2362,1241,895,5,207284,12851,2916,2363,1243,2915,2361,1236,99,100,0,500,2938;
@400000005e142fd3326c99a5 #d,-,18,2915,2361,1241,896,5,207286,12851,2915,2362,1243,2915,2361,1240,99,100,0,500,2942;
@400000005e142fd5327dd375 #d,-,18,2914,2363,1240,897,5,207287,12851,2915,2363,1242,2914,2360,1239,99,100,0,500,2940;
@400000005e142fd5328856fb #d,-,18,2915,2363,1224,898,5,207289,12851,2915,2363,1273,2914,2362,1224,98,100,0,500,2947;
@400000005e142fd7329981e4 #d,-,18,2913,2362,1243,898,5,207289,12851,2915,2363,1243,2913,2362,1221,98,100,0,500,2943;
@400000005e142fd732a3de4c #d,-,18,2912,2363,1242,899,5,207290,12852,2913,2363,1244,2912,2361,1240,99,100,0,500,2934;
@400000005e142fd932b43213 #d,-,18,2912,2362,1241,900,5,207291,12852,2912,2363,1243,2912,2362,1240,99,100,0,500,2940;
@400000005e142fd932be6ed1 #d,-,18,2911,2363,1241,901,5,207292,12852,2912,2363,1243,2911,2362,1241,99,100,0,500,2940;
@400000005e142fdb32cea2ed #d,-,18,2911,2360,1245,902,5,207296,12852,2911,2363,1274,2911,2360,1239,98,100,0,500,2942;
@400000005e142fdb32d9b314 #d,-,18,2914,2360,1241,902,5,207296,12852,2914,2362,1245,2911,2359,1234,98,100,0,500,2965;
@400000005e142fdd32eab6e0 #d,-,18,2913,2360,1243,903,5,207298,12852,2914,2361,1243,2913,2360,1241,99,100,0,500,2942;
@400000005e142fdd32f54592 #d,-,18,2913,2361,1240,904,5,207299,12852,2913,2361,1243,2913,2360,1240,99,100,0,500,2942;
@400000005e142fdf33065579 #d,-,18,2912,2361,1239,905,5,207300,12852,2913,2362,1242,2912,2361,1239,99,100,0,500,2940;
@400000005e142fdf3310b0f3 #d,-,18,2912,2363,1262,906,5,207303,12852,2912,2363,1273,2912,2361,1238,99,100,0,500,2940;
@400000005e142fe13321cfc1 #d,-,18,2915,2363,1241,906,5,207304,12852,2915,2363,1262,2912,2362,1233,98,100,0,500,2967;
@400000005e142fe1332c3845 #d,-,18,2914,2362,1243,907,5,207323,12854,2915,2363,1243,2914,2361,1241,99,100,0,500,2942;
@400000005e142fe3333d8e05 #d,-,18,2913,2362,1241,908,5,207306,12853,2914,2363,1243,2913,2362,1240,99,100,0,500,2940;
@400000005e142fe33347e5c5 #d,-,18,2913,2362,1240,909,5,207307,12853,2913,2362,1242,2913,2360,1240,99,100,0,500,2940;
@400000005e142fe533580eb4 #d,-,18,2912,2362,1269,910,5,207310,12853,2913,2364,1272,2912,2362,1238,99,100,0,500,2938;
@400000005e142fe53363423f #d,-,18,2915,2362,1242,911,5,207311,12853,2915,2363,1269,2912,2362,1232,98,100,0,500,2970;
@400000005e142fe73373193a #d,-,18,2914,2361,1243,911,5,207330,12854,2915,2363,1243,2914,2361,1239,99,100,0,500,2938;
