@400000005e142b7004f662c6 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e142b702ede850f #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e142b9c36a6e7f9 #d,-,18,2938,2344,1260,32,0,193691,12008,3153,2344,1306,2938,2341,1244,99,100,0,500,2954;
@400000005e142b9c36b055f6 #d,-,18,2939,2343,1255,32,0,194030,12029,2939,2344,1260,2938,2343,1250,98,100,0,500,2990;
@400000005e142b9e36bbf678 #d,-,18,2937,2343,1256,33,0,194386,12051,2939,2343,1262,2937,2343,1255,99,100,0,500,2949;
@400000005e142b9e36bfcb27 #d,-,18,2935,2342,1258,34,0,194716,12072,2937,2344,1259,2935,2342,1256,99,100,0,500,2954;
@400000005e142ba036cf10d8 #d,-,18,2934,2343,1258,35,0,195035,12092,2935,2343,1260,2934,2342,1256,99,100,0,500,2954;
@400000005e142ba036d95d6b #d,-,18,2935,2341,1249,36,0,195382,12113,2935,2344,1289,2934,2341,1249,99,100,0,500,2963;
@400000005e142ba236e8695e #d,-,18,2935,2340,1259,36,0,195670,12131,2935,2341,1260,2935,2340,1247,98,100,0,500,2970;
@400000005e142ba236f2fcb9 #d,-,18,2933,2340,1258,37,0,195948,12148,2935,2340,1260,2933,2339,1257,99,100,0,500,2956;
@400000005e142ba437028932 #d,-,18,2932,2337,1262,38,0,196216,12165,2933,2340,1262,2932,2337,1256,99,100,0,500,2952;
@400000005e142ba4370d0456 #d,-,18,2931,2338,1261,39,0,196476,12181,2932,2338,1263,2931,2337,1256,99,100,0,500,2954;
@400000005e142ba63715ab05 #d,-,18,2931,2340,1258,40,0,196762,12199,2931,2340,1290,2931,2338,1258,99,100,0,500,2956;
@400000005e142ba6371fc54e #d,-,18,2933,2340,1258,41,0,196996,12213,2933,2341,1259,2931,2339,1250,98,100,0,500,2975;
@400000005e142ba8372e9e08 #d,-,18,2932,2339,1258,41,0,197225,12227,2933,2341,1259,2932,2338,1256,99,100,0,500,2954;
@400000005e142ba83738dac6 #d,-,18,2930,2340,1257,42,0,197446,12241,2932,2340,1259,2930,2339,1257,99,100,0,500,2952;
