@400000005e70830f3479d28c #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e70831022c8ebbb #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e70833c2ad88903 #d,-,18,3206,2374,1253,31,0,186863,11585,3206,2375,1352,2769,2373,1157,91,100,0,500,3490;
@400000005e70833e2ae50cc3 #d,-,18,2787,2375,1365,32,0,186980,11592,3206,2376,1365,2787,2373,1140,91,100,0,500,3054;
@400000005e70833e2aec9de9 #d,-,18,3202,2373,1304,33,0,188059,11659,3202,2375,1815,2787,2373,1158,95,100,0,500,3365;
@400000005e7083402af8333e #d,-,18,2844,2376,1186,34,0,188328,11676,3202,2377,1366,2844,2373,1186,89,100,0,500,3163;
@400000005e7083402b016a48 #d,-,18,2675,2374,1480,35,0,189314,11737,2844,2377,1831,2675,2373,1143,91,100,0,500,2926;
@400000005e7083422b0f96b7 #d,-,18,3232,2377,1219,35,0,189362,11740,3232,2377,1480,2675,2374,1078,92,100,0,500,3505;
@400000005e7083422b1920a5 #d,-,18,2811,2377,1131,36,0,189355,11740,3232,2378,1295,2811,2376,1131,92,100,0,500,3043;
@400000005e7083442b27592f #d,-,18,2473,2375,1132,37,0,189078,11722,2811,2377,1139,2473,2375,1123,88,100,0,500,2779;
@400000005e7083442b30850c #d,-,18,2469,2378,1132,37,0,188812,11706,2473,2378,1133,2469,2375,1127,90,100,0,500,2732;
@400000005e7083462b3ecd6c #d,-,18,2465,2378,1128,38,0,188553,11690,2469,2378,1134,2465,2376,1125,90,100,0,500,2732;
@400000005e7083462b47ed2d #d,-,18,2462,2379,1131,39,0,188307,11675,2465,2379,1131,2462,2377,1124,90,100,0,500,2727;
@400000005e7083482b566b91 #d,-,18,2459,2376,1125,39,0,188061,11659,2462,2379,1131,2459,2376,1123,90,100,0,500,2725;
