@400000005e33dc6702d5ffaa #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e33dc672cba8f64 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33dd2602b62a97 #d,-,18,3752,2353,1614,176,1,243000,15066,3752,2353,1614,3752,2351,1596,99,100,0,500,3766;
@400000005e33dd2602c7f1f7 #d,-,18,3755,2352,1602,177,1,243144,15074,3755,2353,1627,3752,2352,1589,98,100,0,500,3799;
@400000005e33dd2802d9c483 #d,-,18,3754,2354,1593,178,1,243280,15083,3755,2354,1604,3754,2352,1593,99,100,0,500,3769;
@400000005e33dd2802e5be6d #d,-,18,3753,2353,1600,179,1,243416,15091,3754,2355,1603,3753,2353,1593,99,100,0,500,3764;
@400000005e33dd2a02fec4ff #d,-,18,3752,2351,1602,180,1,243547,15099,3753,2353,1603,3752,2351,1595,99,100,0,500,3771;
@400000005e33dd2a031068fa #d,-,18,3752,2350,1600,181,1,243679,15108,3752,2351,1603,3752,2350,1596,99,100,0,500,3771;
@400000005e33dd2c0329f3cb #d,-,18,3755,2352,1596,182,1,243820,15116,3755,2352,1632,3752,2349,1595,98,100,0,500,3794;
@400000005e33dd2c033cb4c3 #d,-,18,3753,2351,1602,183,1,244073,15132,3755,2353,1603,3753,2350,1595,99,100,0,500,3766;
@400000005e33dd2e034f699f #d,-,18,3753,2353,1595,184,1,244198,15140,3753,2353,1603,3753,2350,1593,99,100,0,500,3771;
@400000005e33dd2e035af2d9 #d,-,18,3752,2353,1598,185,1,244325,15148,3753,2353,1604,3752,2352,1595,99,100,0,500,3764;
@400000005e33dd3003746a1b #d,-,18,3751,2351,1601,186,1,244325,15148,3752,2353,1602,3751,2351,1594,99,100,0,500,3767;
@400000005e33dd30038605b5 #d,-,18,3755,2353,1590,187,1,244458,15156,3755,2353,1631,3751,2350,1588,98,100,0,500,3796;
@400000005e33dd3203a02cfc #d,-,18,3753,2353,1597,189,1,244582,15164,3755,2353,1603,3753,2352,1590,99,100,0,500,3769;
@400000005e33dd3203b2d2f1 #d,-,18,3752,2351,1603,190,1,244702,15171,3753,2353,1603,3752,2351,1595,99,100,0,500,3767;
@400000005e33dd3403c58b87 #d,-,18,3752,2350,1598,191,1,244823,15179,3752,2351,1605,3752,2350,1595,99,100,0,500,3773;
@400000005e33dd3403d0e9e9 #d,-,18,3752,2348,1597,192,1,244942,15186,3752,2350,1604,3752,2348,1597,99,100,0,500,3769;
@400000005e33dd3603e9d844 #d,-,18,3754,2347,1598,193,1,245069,15194,3754,2348,1633,3752,2347,1596,99,100,0,500,3782;
@400000005e33dd3603fb58dc #d,-,18,3754,2346,1600,194,1,245184,15201,3754,2347,1605,3754,2346,1596,99,100,0,500,3783;
@400000005e33dd38041618e0 #d,-,18,3753,2349,1598,195,1,245301,15208,3754,2349,1606,3753,2346,1598,99,100,0,500,3767;
@400000005e33dd3804292bcc #d,-,18,3752,2350,1605,196,1,245415,15215,3753,2350,1605,3752,2349,1595,99,100,0,500,3764;
@400000005e33dd3a043c2682 #d,-,18,3752,2351,1599,197,1,245527,15222,3752,2351,1605,3752,2350,1594,99,100,0,500,3773;
@400000005e33dd3a0447afbb #d,-,18,3754,2352,1591,198,1,245650,15230,3754,2352,1636,3752,2351,1591,99,100,0,500,3780;
@400000005e33dd3c0460f4b3 #d,-,18,3754,2350,1603,199,1,245761,15237,3754,2352,1603,3754,2350,1588,99,100,0,500,3785;
@400000005e33dd3c04728520 #d,-,18,3754,2352,1600,200,1,245870,15244,3754,2352,1603,3754,2350,1594,99,100,0,500,3773;
@400000005e33dd3e048c951e #d,-,18,3753,2352,1595,201,1,245980,15250,3754,2352,1602,3753,2350,1595,99,100,0,500,3769;
@400000005e33dd3e049f516e #d,-,18,3752,2352,1601,202,1,246088,15257,3753,2352,1602,3752,2351,1595,99,100,0,500,3766;
@400000005e33dd4004b0aae8 #d,-,18,3753,2351,1603,203,1,246204,15264,3753,2352,1627,3752,2349,1596,99,100,0,500,3774;
@400000005e33dd4004bcb596 #d,-,18,3755,2349,1597,204,1,246310,15271,3755,2352,1605,3753,2349,1597,98,100,0,500,3794;
@400000005e33dd4204d60200 #d,-,18,3754,2348,1605,205,1,246416,15277,3755,2349,1606,3754,2348,1596,99,100,0,500,3764;
@400000005e33dd4204e78298 #d,-,18,3753,2347,1603,206,1,246517,15284,3754,2348,1606,3753,2347,1595,99,100,0,500,3769;
@400000005e33dd4404f9fcc8 #d,-,18,3752,2349,1597,207,1,246621,15290,3753,2349,1607,3752,2346,1597,99,100,0,500,3769;
@400000005e33dd4405056eb9 #d,-,18,3752,2350,1623,208,1,246735,15297,3752,2350,1637,3752,2349,1596,99,100,0,500,3766;
@400000005e33dd460517e8e9 #d,-,18,3755,2349,1601,209,1,246833,15303,3755,2350,1623,3752,2348,1589,98,100,0,500,3798;
@400000005e33dd46052323e7 #d,-,18,3754,2349,1596,210,1,246933,15309,3755,2349,1605,3754,2348,1596,99,100,0,500,3771;
@400000005e33dd48053cf939 #d,-,18,3753,2350,1603,211,1,247033,15316,3754,2350,1604,3753,2348,1596,99,100,0,500,3764;
@400000005e33dd48054e988d #d,-,18,3752,2352,1600,212,1,247130,15322,3753,2353,1603,3752,2350,1593,99,100,0,500,3769;
@400000005e33dd4a0560d09d #d,-,18,3752,2353,1624,214,1,247238,15328,3752,2353,1626,3752,2352,1600,99,100,0,500,3771;
@400000005e33dd4a056c3b1b #d,-,18,3755,2352,1601,215,1,247444,15341,3755,2353,1624,3752,2352,1590,99,100,0,500,3791;
@400000005e33dd4c057d7c5e #d,-,18,3754,2351,1601,216,1,247537,15347,3755,2352,1601,3754,2350,1594,99,100,0,500,3769;
@400000005e33dd4c05880bff #d,-,18,3753,2351,1594,217,1,247632,15353,3754,2351,1603,3753,2350,1593,99,100,0,500,3773;
@400000005e33dd4e05a14895 #d,-,18,3752,2350,1601,218,1,247618,15352,3753,2351,1604,3752,2350,1594,99,100,0,500,3764;
@400000005e33dd4e05b2d902 #d,-,18,3752,2349,1635,219,1,247718,15358,3752,2350,1635,3752,2349,1594,99,100,0,500,3769;
@400000005e33dd5005c48471 #d,-,18,3755,2349,1596,220,1,247812,15364,3755,2349,1635,3752,2349,1594,98,100,0,500,3803;
@400000005e33dd5005d0bcc1 #d,-,18,3754,2351,1602,221,1,247905,15370,3755,2352,1605,3754,2349,1596,99,100,0,500,3764;
@400000005e33dd5205e9987b #d,-,18,3753,2351,1604,222,1,248102,15382,3754,2352,1604,3753,2351,1595,99,100,0,500,3771;
@400000005e33dd5205fb43ea #d,-,18,3753,2351,1595,223,1,248190,15387,3753,2351,1604,3753,2351,1594,99,100,0,500,3773;
@400000005e33dd54061488e1 #d,-,18,3752,2352,1629,224,1,248287,15393,3753,2353,1629,3752,2351,1595,99,100,0,500,3766;
@400000005e33dd540626961a #d,-,18,3755,2351,1605,225,1,248272,15392,3755,2352,1631,3752,2351,1586,98,100,0,500,3799;
@400000005e33dd5606391404 #d,-,18,3755,2351,1596,226,1,248359,15398,3755,2351,1605,3755,2350,1596,99,100,0,500,3771;
@400000005e33dd56064489af #d,-,18,3754,2351,1598,227,1,248448,15403,3755,2351,1604,3754,2350,1596,99,100,0,500,3766;
@400000005e33dd58065dbb17 #d,-,18,3753,2350,1604,228,1,248637,15415,3754,2351,1604,3753,2350,1596,99,100,0,500,3767;
@400000005e33dd5806700a70 #d,-,18,3753,2351,1618,229,1,248726,15421,3753,2351,1618,3753,2350,1594,99,100,0,500,3774;
@400000005e33dd5a0689381f #d,-,18,3756,2349,1601,230,1,248817,15426,3756,2351,1633,3753,2349,1596,98,100,0,500,3798;
@400000005e33dd5a069aa8e2 #d,-,18,3755,2350,1604,231,1,248797,15425,3756,2350,1604,3755,2349,1596,99,100,0,500,3766;
@400000005e33dd5c06ad714d #d,-,18,3754,2350,1596,232,1,248879,15430,3755,2351,1604,3754,2349,1594,99,100,0,500,3773;
@400000005e33dd5c06b8bc20 #d,-,18,3754,2350,1598,233,1,248963,15435,3754,2351,1603,3754,2350,1596,99,100,0,500,3766;
@400000005e33dd5e06d2793c #d,-,18,3753,2353,1613,234,1,249046,15440,3754,2353,1613,3753,2350,1595,99,100,0,500,3767;
@400000005e33dd5e06e4d869 #d,-,18,3757,2353,1595,235,1,249134,15446,3757,2354,1633,3753,2353,1585,98,100,0,500,3805;
@400000005e33dd6006ffa842 #d,-,18,3755,2352,1596,236,1,249216,15451,3757,2354,1602,3755,2352,1595,99,100,0,500,3762;
@400000005e33dd6007116740 #d,-,18,3753,2353,1601,237,1,249295,15456,3755,2353,1602,3753,2351,1593,99,100,0,500,3766;
@400000005e33dd6207235115 #d,-,18,3753,2354,1596,238,1,249374,15461,3753,2354,1602,3753,2352,1593,99,100,0,500,3773;
@400000005e33dd62072fa19c #d,-,18,3753,2354,1595,240,1,249454,15466,3753,2354,1603,3753,2353,1594,99,100,0,500,3769;
@400000005e33dd6407490196 #d,-,18,3756,2354,1599,240,1,249540,15471,3756,2354,1625,3753,2354,1594,98,100,0,500,3794;
@400000005e33dd64075ab832 #d,-,18,3755,2354,1597,241,1,249616,15476,3756,2355,1602,3755,2353,1591,99,100,0,500,3771;
@400000005e33dd6607745b39 #d,-,18,3754,2352,1595,243,1,249695,15481,3755,2354,1602,3754,2352,1595,99,100,0,500,3767;
@400000005e33dd660786ba67 #d,-,18,3753,2355,1602,244,1,249771,15485,3754,2355,1602,3753,2352,1593,99,100,0,500,3766;
@400000005e33dd6807995bb5 #d,-,18,3752,2354,1598,245,1,249845,15490,3753,2355,1603,3752,2354,1592,99,100,0,500,3773;
@400000005e33dd6807a52ac8 #d,-,18,3756,2353,1589,246,1,249929,15495,3756,2354,1634,3752,2353,1588,99,100,0,500,3792;
@400000005e33dd6a07beaa6b #d,-,18,3754,2354,1604,247,1,250003,15500,3756,2354,1604,3754,2353,1589,99,100,0,500,3769;
@400000005e33dd6a07d05d4e #d,-,18,3754,2352,1597,248,1,250077,15504,3754,2354,1604,3754,2352,1594,99,100,0,500,3773;
@400000005e33dd6c07e2b508 #d,-,18,3753,2353,1595,249,1,250151,15509,3754,2353,1602,3753,2351,1595,99,100,0,500,3769;
@400000005e33dd6c07ee074f #d,-,18,3752,2353,1600,250,1,250224,15513,3753,2353,1601,3752,2351,1594,99,100,0,500,3766;
@400000005e33dd6e07ff9402 #d,-,18,3755,2352,1594,251,1,250303,15518,3755,2353,1624,3752,2352,1594,99,100,0,500,3787;
@400000005e33dd6e080af61e #d,-,18,3755,2354,1595,252,1,250375,15523,3755,2354,1604,3755,2352,1594,99,100,0,500,3785;
@400000005e33dd7008245d8b #d,-,18,3754,2353,1601,253,1,250448,15527,3755,2354,1603,3754,2353,1594,99,100,0,500,3764;
@400000005e33dd70083608fa #d,-,18,3753,2352,1602,254,1,250517,15532,3754,2353,1602,3753,2351,1593,99,100,0,500,3771;
@400000005e33dd720848d9c7 #d,-,18,3753,2352,1593,255,1,250683,15542,3753,2352,1604,3753,2351,1593,99,100,0,500,3773;
@400000005e33dd72085423ac #d,-,18,3754,2355,1597,256,1,250666,15541,3754,2355,1633,3753,2351,1591,99,100,0,500,3773;
@400000005e33dd740864c5ad #d,-,18,3755,2353,1598,257,1,250827,15551,3755,2355,1598,3754,2353,1591,99,100,0,500,3789;
@400000005e33dd74086fd98e #d,-,18,3754,2353,1594,258,1,250802,15549,3755,2354,1602,3754,2353,1594,99,100,0,500,3771;
@400000005e33dd7608885af1 #d,-,18,3753,2354,1600,259,1,250871,15554,3754,2355,1602,3753,2353,1594,99,100,0,500,3766;
@400000005e33dd760899b0b2 #d,-,18,3753,2352,1601,260,1,250938,15558,3753,2354,1601,3753,2352,1594,99,100,0,500,3769;
@400000005e33dd7808ac2728 #d,-,18,3754,2350,1601,261,1,251014,15562,3754,2352,1628,3753,2350,1601,99,100,0,500,3778;
@400000005e33dd7808b7796f #d,-,18,3755,2352,1600,262,1,251080,15567,3755,2352,1606,3754,2350,1587,99,100,0,500,3791;
@400000005e33dd7a08d1896e #d,-,18,3754,2350,1603,263,1,251145,15571,3755,2352,1603,3754,2350,1595,99,100,0,500,3767;
@400000005e33dd7a08e31267 #d,-,18,3754,2350,1594,264,1,251211,15575,3754,2351,1605,3754,2350,1594,99,100,0,500,3774;
@400000005e33dd7c08fcc09c #d,-,18,3753,2351,1600,265,1,251277,15579,3754,2352,1604,3753,2350,1594,99,100,0,500,3766;
@400000005e33dd7c090eae2b #d,-,18,3753,2351,1622,266,1,251349,15583,3753,2352,1631,3753,2350,1595,99,100,0,500,3769;
@400000005e33dd7e09213fa3 #d,-,18,3756,2350,1594,267,1,251412,15587,3756,2351,1622,3753,2350,1594,98,100,0,500,3799;
@400000005e33dd7e092cd13e #d,-,18,3755,2352,1600,269,1,251477,15591,3756,2352,1604,3755,2350,1594,99,100,0,500,3767;
@400000005e33dd800945f2d2 #d,-,18,3754,2350,1603,270,1,251630,15601,3755,2353,1603,3754,2350,1594,99,100,0,500,3767;
@400000005e33dd800957c918 #d,-,18,3754,2351,1596,271,1,251692,15604,3754,2351,1604,3754,2349,1595,99,100,0,500,3776;
@400000005e33dd820971ccfb #d,-,18,3753,2351,1631,272,1,251762,15609,3754,2354,1633,3753,2350,1596,99,100,0,500,3766;
@400000005e33dd820984c89f #d,-,18,3756,2353,1602,273,1,251823,15613,3756,2354,1631,3753,2351,1588,98,100,0,500,3796;
@400000005e33dd8409981dac #d,-,18,3756,2353,1594,274,1,251883,15616,3756,2354,1603,3756,2352,1592,99,100,0,500,3774;
@400000005e33dd8409a43eb3 #d,-,18,3755,2353,1597,275,1,251856,15615,3756,2354,1603,3755,2352,1594,99,100,0,500,3769;
@400000005e33dd8609b5a449 #d,-,18,3753,2355,1602,276,1,251916,15618,3755,2355,1602,3753,2352,1593,99,100,0,500,3767;
@400000005e33dd8609c0ac0e #d,-,18,3753,2355,1589,277,1,251978,15622,3753,2355,1615,3753,2354,1589,99,100,0,500,3773;
@400000005e33dd8809ccb6bb #d,-,18,3349,2356,1210,278,1,251830,15613,3753,2357,1589,3349,2355,1151,96,100,0,500,3474;
@400000005e33dd8809d3a3f8 #d,-,18,2809,2357,1314,278,1,251671,15603,3349,2358,1344,2809,2356,1191,99,100,0,500,2831;
@400000005e33dd8a09decb68 #d,-,18,2874,2360,1196,279,1,251494,15592,2874,2360,1314,2809,2357,1173,98,100,0,500,2908;
@400000005e33dd8a09e5bc5e #d,-,18,2809,2360,1174,280,1,251317,15581,2874,2360,1204,2809,2360,1174,98,100,0,500,2840;
@400000005e33dd8c09f1978d #d,-,18,2802,2359,1206,281,1,251134,15570,2809,2360,1206,2802,2358,1166,100,100,0,500,2802;
@400000005e33dd8c09f9bdb6 #d,-,18,2800,2359,1178,281,1,250952,15559,2802,2359,1209,2800,2357,1170,99,100,0,500,2817;
@400000005e33dd8e0a07622c #d,-,18,2794,2359,1177,282,1,250769,15547,2800,2359,1178,2794,2357,1176,100,100,0,500,2794;
@400000005e33dd8e0a0f9be4 #d,-,18,2789,2359,1177,283,1,250587,15536,2794,2360,1178,2789,2358,1176,100,100,0,500,2789;
@400000005e33dd900a1e354a #d,-,18,2784,2359,1175,284,1,250405,15525,2789,2360,1177,2784,2359,1175,100,100,0,500,2784;
@400000005e33dd900a29aaf5 #d,-,18,2780,2359,1199,285,1,250228,15514,2784,2361,1199,2780,2359,1174,99,100,0,500,2781;
@400000005e33dd920a399cf1 #d,-,18,2780,2359,1177,285,1,250053,15503,2780,2360,1207,2780,2358,1170,98,100,0,500,2813;
@400000005e33dd920a44d7ef #d,-,18,2776,2359,1176,286,1,249875,15492,2780,2360,1178,2776,2359,1175,99,100,0,500,2780;
@400000005e33dd940a55cbe6 #d,-,18,2773,2359,1176,287,1,249699,15481,2776,2360,1177,2773,2359,1174,99,100,0,500,2781;
@400000005e33dd940a603823 #d,-,18,2770,2358,1175,288,1,249523,15470,2773,2360,1176,2770,2358,1174,99,100,0,500,2781;
@400000005e33dd960a71919d #d,-,18,2767,2356,1187,288,1,249349,15459,2770,2358,1187,2767,2356,1174,99,100,0,500,2780;
@400000005e33dd960a7c5afc #d,-,18,2769,2355,1177,289,1,249181,15449,2769,2356,1208,2767,2355,1167,98,100,0,500,2812;
@400000005e33dd980a8d4b39 #d,-,18,2765,2355,1176,290,1,249009,15438,2769,2355,1177,2765,2354,1175,99,100,0,500,2776;
@400000005e33dd980a9797cc #d,-,18,2763,2354,1177,291,1,248837,15427,2765,2356,1177,2763,2354,1175,99,100,0,500,2780;
@400000005e33dd9a0aa7860f #d,-,18,2761,2354,1176,291,1,248666,15417,2763,2355,1177,2761,2354,1175,99,100,0,500,2780;
@400000005e33dd9a0ab374cc #d,-,18,2759,2355,1177,292,1,248496,15406,2761,2355,1177,2759,2354,1175,99,100,0,500,2776;
@400000005e33dd9c0ac3efb0 #d,-,18,2760,2354,1168,293,1,248329,15396,2760,2355,1197,2759,2354,1161,98,100,0,500,2797;
@400000005e33dd9c0acf9032 #d,-,18,2757,2351,1173,294,1,248160,15385,2760,2355,1176,2757,2351,1168,99,100,0,500,2765;
@400000005e33dd9e0ae0709a #d,-,18,2754,2353,1174,295,1,247991,15375,2757,2353,1174,2754,2350,1171,99,100,0,500,2769;
@400000005e33dd9e0aeb266a #d,-,18,2752,2351,1173,295,1,247824,15365,2754,2353,1175,2752,2351,1172,99,100,0,500,2767;
@400000005e33dda00afc3a0b #d,-,18,2750,2350,1174,296,1,247657,15354,2752,2351,1175,2750,2349,1172,99,100,0,500,2765;
@400000005e33dda00b0741d0 #d,-,18,2751,2350,1161,297,1,247495,15344,2751,2350,1200,2750,2349,1157,98,100,0,500,2789;
@400000005e33dda20b1877e7 #d,-,18,2747,2346,1172,298,1,247329,15334,2751,2350,1175,2747,2346,1161,99,100,0,500,2758;
@400000005e33dda20b2349a7 #d,-,18,2745,2345,1172,298,1,247163,15324,2747,2348,1172,2745,2345,1170,99,100,0,500,2758;
@400000005e33dda40b3454e6 #d,-,18,2742,2346,1170,299,1,246999,15313,2745,2346,1173,2742,2344,1169,99,100,0,500,2757;
@400000005e33dda40b3e8deb #d,-,18,2740,2345,1172,300,1,246835,15303,2742,2346,1172,2740,2344,1169,99,100,0,500,2755;
@400000005e33dda60b4f3760 #d,-,18,2742,2342,1165,301,1,246679,15294,2742,2345,1203,2740,2342,1165,98,100,0,500,2774;
@400000005e33dda60b5b1af0 #d,-,18,2740,2342,1175,301,1,246518,15284,2742,2343,1175,2740,2342,1165,99,100,0,500,2767;
@400000005e33dda80b6b6eb6 #d,-,18,2738,2343,1173,302,1,246358,15274,2740,2344,1175,2738,2342,1172,99,100,0,500,2758;
@400000005e33dda80b771f0d #d,-,18,2737,2345,1166,303,1,246197,15264,2738,2345,1173,2737,2342,1166,99,100,0,500,2758;
@400000005e33ddaa0b874bb6 #d,-,18,2735,2345,1171,304,1,246038,15254,2737,2346,1172,2735,2345,1166,99,100,0,500,2749;
@400000005e33ddaa0b91a730 #d,-,18,2735,2347,1164,304,1,245886,15244,2735,2347,1201,2735,2345,1164,98,100,0,500,2765;
@400000005e33ddac0ba318e1 #d,-,18,2735,2350,1167,305,1,245728,15235,2735,2350,1170,2735,2346,1162,98,100,0,500,2769;
@400000005e33ddac0bae20a6 #d,-,18,2733,2354,1167,306,1,245572,15225,2735,2354,1167,2733,2350,1165,99,100,0,500,2753;
@400000005e33ddae0bbf62d8 #d,-,18,2732,2354,1166,307,1,245416,15215,2733,2354,1167,2732,2353,1165,99,100,0,500,2755;
@400000005e33ddae0bca1c62 #d,-,18,2730,2354,1166,307,1,245261,15206,2732,2356,1166,2730,2354,1164,99,100,0,500,2753;
@400000005e33ddb00bdac6c5 #d,-,18,2731,2355,1167,308,1,245114,15197,2731,2355,1197,2730,2353,1165,99,100,0,500,2758;
@400000005e33ddb00be51712 #d,-,18,2732,2353,1166,309,1,244961,15187,2732,2355,1167,2731,2353,1157,98,100,0,500,2776;
@400000005e33ddb20bf57e67 #d,-,18,2730,2353,1169,310,1,244807,15178,2732,2354,1169,2730,2353,1157,99,100,0,500,2748;
@400000005e33ddb20c015134 #d,-,18,2729,2353,1169,310,1,244733,15173,2730,2354,1171,2729,2353,1168,98,100,0,500,2758;
@400000005e33ddb40c117a23 #d,-,18,2729,2354,1169,311,1,244510,15159,2729,2354,1170,2729,2353,1167,98,100,0,500,2760;
@400000005e33ddb40c1c18ab #d,-,18,2730,2355,1180,312,1,244369,15150,2730,2355,1199,2729,2353,1168,98,100,0,500,2760;
@400000005e33ddb60c2d9943 #d,-,18,2731,2353,1164,313,1,244218,15141,2731,2355,1180,2730,2352,1154,98,100,0,500,2776;
@400000005e33ddb60c388e67 #d,-,18,2729,2351,1163,313,1,244142,15136,2731,2354,1164,2729,2351,1160,99,100,0,500,2748;
@400000005e33ddb80c49825e #d,-,18,2726,2353,1163,314,1,243992,15127,2729,2353,1163,2726,2351,1161,99,100,0,500,2744;
@400000005e33ddb80c53e639 #d,-,18,2725,2354,1165,315,1,243772,15113,2726,2354,1167,2725,2352,1159,99,100,0,500,2746;
@400000005e33ddba0c654727 #d,-,18,2723,2352,1189,316,1,243633,15105,2725,2354,1193,2723,2352,1161,99,100,0,500,2746;
@400000005e33ddba0c6ffde6 #d,-,18,2725,2352,1163,316,1,243486,15096,2725,2354,1189,2723,2352,1155,98,100,0,500,2773;
@400000005e33ddbc0c800e9e #d,-,18,2724,2354,1164,317,1,243341,15087,2725,2355,1165,2724,2351,1162,99,100,0,500,2746;
@400000005e33ddbc0c8b55b8 #d,-,18,2723,2355,1163,318,1,243197,15078,2724,2355,1164,2723,2354,1162,99,100,0,500,2748;
@400000005e33ddbe0c9c3266 #d,-,18,2721,2356,1164,319,1,243055,15069,2723,2356,1164,2721,2355,1161,99,100,0,500,2748;
@400000005e33ddbe0ca75d8f #d,-,18,2720,2355,1194,319,1,242918,15060,2721,2357,1194,2720,2355,1160,99,100,0,500,2746;
@400000005e33ddc00cb7472a #d,-,18,2723,2354,1164,320,1,242777,15052,2723,2356,1194,2720,2354,1155,98,100,0,500,2774;
@400000005e33ddc00cc22506 #d,-,18,2722,2353,1157,321,1,242634,15043,2723,2354,1164,2722,2353,1155,99,100,0,500,2744;
@400000005e33ddc20cd35ed6 #d,-,18,2720,2352,1160,322,1,242495,15034,2722,2353,1172,2720,2352,1156,99,100,0,500,2739;
@400000005e33ddc20cddc2b1 #d,-,18,2717,2353,1148,322,2,242349,15025,2720,2353,1160,2717,2352,1144,99,100,0,500,2737;
@400000005e33ddc40cee9f60 #d,-,18,2714,2352,1184,323,2,242212,15017,2717,2353,1184,2714,2352,1148,99,100,0,500,2719;
@400000005e33ddc40cf99484 #d,-,18,2715,2350,1157,324,2,242072,15008,2715,2353,1184,2714,2350,1144,98,100,0,500,2755;
@400000005e33ddc60d0a16dc #d,-,18,2712,2351,1155,325,2,241931,14999,2715,2352,1157,2712,2348,1153,99,100,0,500,2723;
@400000005e33ddc60d1601df #d,-,18,2709,2353,1155,325,2,241791,14991,2712,2353,1155,2709,2351,1153,99,100,0,500,2724;
@400000005e33ddc80d261298 #d,-,18,2707,2352,1156,326,2,241651,14982,2709,2353,1157,2707,2348,1154,99,100,0,500,2726;
@400000005e33ddc80d31514f #d,-,18,2706,2351,1182,327,2,241516,14974,2707,2352,1182,2706,2350,1154,99,100,0,500,2724;
@400000005e33ddca0d426137 #d,-,18,2708,2351,1156,328,2,241381,14965,2708,2351,1187,2706,2350,1147,98,100,0,500,2757;
@400000005e33ddca0d4db37d #d,-,18,2706,2351,1156,328,2,241245,14957,2708,2351,1157,2706,2350,1154,99,100,0,500,2723;
@400000005e33ddcc0d5ef5af #d,-,18,2704,2351,1156,329,2,241109,14948,2706,2352,1157,2704,2351,1154,99,100,0,500,2726;
@400000005e33ddcc0d69f247 #d,-,18,2703,2352,1155,330,2,240973,14940,2704,2352,1156,2703,2351,1154,99,100,0,500,2724;
@400000005e33ddce0d7abe32 #d,-,18,2701,2351,1172,331,2,240840,14932,2703,2352,1172,2701,2351,1154,99,100,0,500,2726;
@400000005e33ddce0d850351 #d,-,18,2704,2350,1157,331,2,240710,14924,2704,2351,1185,2701,2350,1147,98,100,0,500,2757;
@400000005e33ddd00d969eeb #d,-,18,2702,2351,1154,332,2,240577,14915,2704,2352,1158,2702,2350,1154,99,100,0,500,2721;
@400000005e33ddd00da187f4 #d,-,18,2701,2350,1155,333,2,240445,14907,2702,2351,1156,2701,2350,1154,99,100,0,500,2724;
@400000005e33ddd20db1eb90 #d,-,18,2700,2351,1155,334,2,240313,14899,2701,2352,1156,2700,2350,1154,99,100,0,500,2726;
@400000005e33ddd20dbd551f #d,-,18,2699,2350,1160,334,2,240183,14891,2700,2352,1160,2699,2350,1154,99,100,0,500,2724;
@400000005e33ddd40dcd4bc4 #d,-,18,2702,2350,1154,335,2,240058,14883,2702,2351,1187,2699,2349,1149,98,100,0,500,2755;
@400000005e33ddd40dd88a7c #d,-,18,2701,2350,1156,336,2,239928,14875,2702,2351,1157,2701,2350,1154,99,100,0,500,2723;
@400000005e33ddd60e038e71 #d,-,18,2700,2351,1155,337,2,239800,14867,2701,2352,1158,2700,2349,1153,99,100,0,500,2726;
@400000005e33ddd60e1f769e #d,-,18,2699,2352,1155,337,2,239672,14859,2700,2352,1156,2699,2351,1154,99,100,0,500,2724;
@400000005e33ddd80e3a36a2 #d,-,18,2698,2350,1340,338,2,239554,14852,2699,2352,1340,2698,2350,1155,98,100,0,500,2728;
@400000005e33ddd80e466b38 #d,-,18,3400,2349,1647,339,2,239661,14858,3400,2350,1718,2698,2348,1340,100,100,0,500,3400;
@400000005e33ddda0e57c4b2 #d,-,18,3865,2350,1659,340,2,239766,14865,3865,2351,1660,3400,2349,1647,99,100,0,500,3894;
@400000005e33ddda0e638898 #d,-,18,3867,2351,1650,341,2,239871,14872,3867,2351,1659,3865,2350,1646,99,100,0,500,3904;
@400000005e33dddc0e75ff0e #d,-,18,3868,2349,1659,342,2,239976,14878,3868,2351,1659,3867,2349,1650,99,100,0,500,3896;
@400000005e33dddc0e81ea12 #d,-,18,3870,2349,1661,343,2,240081,14885,3870,2350,1666,3868,2349,1652,99,100,0,500,3899;
@400000005e33ddde0e93c058 #d,-,18,3876,2351,1646,344,2,240190,14891,3876,2351,1687,3870,2348,1645,98,100,0,500,3929;
@400000005e33ddde0e9fb688 #d,-,18,3877,2349,1661,346,2,240295,14898,3877,2351,1666,3876,2349,1646,99,100,0,500,3910;
@400000005e33dde00eb10c49 #d,-,18,3879,2349,1659,347,2,240399,14904,3879,2350,1661,3877,2349,1653,99,100,0,500,3912;
@400000005e33dde00ebc3b2b #d,-,18,3880,2351,1656,348,2,240502,14911,3880,2352,1662,3879,2349,1655,99,100,0,500,3910;
@400000005e33dde20ece7f57 #d,-,18,3882,2351,1668,349,2,240608,14917,3882,2352,1671,3880,2351,1655,99,100,0,500,3910;
@400000005e33dde20eda3e95 #d,-,18,3887,2352,1664,350,2,240719,14924,3887,2352,1698,3882,2351,1660,98,100,0,500,3936;
@400000005e33dde40eec542f #d,-,18,3891,2351,1661,351,2,240822,14931,3891,2352,1665,3887,2351,1660,98,100,0,500,3944;
@400000005e33dde40efa9c8f #d,-,18,3892,2349,1666,352,2,240926,14937,3892,2351,1668,3891,2349,1661,99,100,0,500,3920;
@400000005e33dde60f13ecb3 #d,-,18,3894,2350,1674,353,2,241032,14944,3894,2350,1680,3892,2349,1663,99,100,0,500,3922;
@400000005e33dde60f246797 #d,-,18,3896,2348,1674,354,2,241136,14950,3896,2350,1677,3894,2348,1660,99,100,0,500,3933;
