@400000005e255b3d062ebb56 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e255b3d3017e353 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e255bfc04754446 #d,-,18,2723,2353,1178,179,1,244754,15174,2723,2354,1178,2722,2352,1161,98,100,0,500,2778;
@400000005e255bfe0484fb96 #d,-,18,2726,2355,1166,179,1,244506,15159,2726,2355,1197,2723,2352,1166,98,100,0,500,2771;
@400000005e255bfe048f4be2 #d,-,18,2727,2354,1170,180,1,244250,15143,2727,2355,1174,2726,2353,1162,98,100,0,500,2778;
@400000005e255c00049f49fb #d,-,18,2727,2353,1169,181,1,243997,15127,2727,2354,1171,2727,2353,1168,98,100,0,500,2764;
@400000005e255c0004aa0385 #d,-,18,2727,2354,1168,182,1,243745,15112,2727,2355,1171,2727,2353,1168,98,100,0,500,2760;
@400000005e255c0204ba2147 #d,-,18,2727,2355,1168,182,1,243497,15096,2727,2355,1171,2727,2353,1168,98,100,0,500,2762;
@400000005e255c0204c4bc15 #d,-,18,2727,2356,1171,183,1,243261,15082,2727,2356,1198,2727,2355,1168,98,100,0,500,2762;
@400000005e255c0404d56cfd #d,-,18,2729,2354,1167,184,1,243016,15067,2729,2356,1171,2727,2354,1161,98,100,0,500,2780;
@400000005e255c0404dfd1c7 #d,-,18,2729,2352,1169,185,1,242775,15052,2729,2355,1170,2729,2352,1167,98,100,0,500,2758;
@400000005e255c0604f0a9cd #d,-,18,2728,2354,1169,185,1,242536,15037,2729,2355,1170,2728,2352,1168,98,100,0,500,2760;
@400000005e255c0604fadf18 #d,-,18,2728,2355,1167,186,1,242300,15022,2728,2356,1170,2728,2354,1167,98,100,0,500,2760;
@400000005e255c08050a9a22 #d,-,18,2727,2356,1185,187,1,242197,15016,2728,2356,1197,2727,2355,1167,98,100,0,500,2760;
@400000005e255c080515ba1e #d,-,18,2730,2353,1167,188,1,241843,14994,2730,2357,1185,2727,2353,1160,98,100,0,500,2783;
@400000005e255c0a05261db9 #d,-,18,2729,2352,1169,189,1,241732,14987,2730,2353,1170,2729,2352,1166,98,100,0,500,2758;
@400000005e255c0a0530d743 #d,-,18,2729,2353,1168,189,1,241386,14965,2729,2354,1171,2729,2351,1167,98,100,0,500,2760;
@400000005e255c0c05414253 #d,-,18,2728,2356,1168,190,1,241160,14951,2729,2356,1169,2728,2353,1167,98,100,0,500,2758;
@400000005e255c0c054ba363 #d,-,18,2727,2353,1194,191,1,241063,14945,2728,2356,1197,2727,2353,1166,98,100,0,500,2757;
@400000005e255c0e055c2201 #d,-,18,2729,2355,1171,192,1,240724,14924,2729,2355,1194,2727,2353,1161,98,100,0,500,2781;
@400000005e255c0e05666e94 #d,-,18,2730,2353,1174,192,1,240510,14911,2730,2355,1176,2729,2353,1171,98,100,0,500,2765;
@400000005e255c1005771809 #d,-,18,2731,2351,1171,193,1,240298,14898,2731,2354,1176,2730,2351,1171,98,100,0,500,2771;
@400000005e255c100581af1d #d,-,18,2730,2353,1168,194,1,240081,14885,2731,2353,1171,2730,2351,1167,98,100,0,500,2764;
@400000005e255c120591dbc6 #d,-,18,2729,2353,1196,195,1,239875,14872,2730,2354,1197,2729,2353,1167,99,100,0,500,2755;
@400000005e255c12059d06ef #d,-,18,2731,2351,1169,195,1,239665,14859,2731,2353,1197,2729,2351,1161,98,100,0,500,2781;
@400000005e255c1405add3c8 #d,-,18,2730,2352,1168,196,1,239455,14846,2731,2353,1169,2730,2351,1167,99,100,0,500,2753;
@400000005e255c1405b85b08 #d,-,18,2727,2352,1164,197,1,239241,14832,2730,2353,1168,2727,2352,1156,99,100,0,500,2749;
@400000005e255c1605c7c7d6 #d,-,18,2725,2351,1164,198,1,239032,14820,2727,2352,1167,2725,2351,1164,99,100,0,500,2742;
@400000005e255c1605d295dd #d,-,18,2723,2351,1189,198,1,238829,14807,2725,2352,1189,2723,2351,1161,99,100,0,500,2744;
@400000005e255c1805e29b69 #d,-,18,2725,2350,1165,199,1,238627,14794,2725,2351,1192,2723,2350,1156,98,100,0,500,2773;
@400000005e255c1805ece442 #d,-,18,2723,2351,1164,200,1,238423,14782,2725,2352,1165,2723,2349,1163,99,100,0,500,2741;
@400000005e255c1a05fa6cc7 #d,-,18,2721,2352,1164,201,1,238222,14769,2723,2352,1165,2721,2351,1163,99,100,0,500,2744;
@400000005e255c1a06038516 #d,-,18,2720,2352,1164,201,1,238130,14764,2721,2353,1165,2720,2351,1163,99,100,0,500,2744;
@400000005e255c1c0614e603 #d,-,18,2718,2347,1182,202,1,237931,14751,2720,2352,1182,2718,2347,1159,99,100,0,500,2742;
@400000005e255c1c061fb7c4 #d,-,18,2720,2348,1164,203,1,237630,14733,2720,2349,1191,2718,2347,1156,98,100,0,500,2765;
@400000005e255c1e063130e9 #d,-,18,2717,2353,1162,204,1,237541,14727,2720,2353,1164,2717,2348,1161,99,100,0,500,2737;
@400000005e255c1e063bd32a #d,-,18,2715,2352,1161,204,1,237239,14708,2717,2353,1162,2715,2352,1159,99,100,0,500,2737;
@400000005e255c20064cea85 #d,-,18,2714,2353,1160,205,1,237046,14696,2715,2353,1161,2714,2352,1160,99,100,0,500,2739;
@400000005e255c2006582583 #d,-,18,2713,2354,1167,206,1,236854,14684,2714,2354,1167,2713,2352,1159,99,100,0,500,2737;
@400000005e255c2206689805 #d,-,18,2715,2352,1160,207,1,236671,14673,2715,2355,1187,2713,2352,1152,98,100,0,500,2762;
@400000005e255c220674ade0 #d,-,18,2713,2354,1161,207,1,236483,14661,2715,2354,1162,2713,2351,1159,99,100,0,500,2735;
@400000005e255c240684f58b #d,-,18,2711,2352,1154,208,1,236290,14650,2713,2354,1161,2711,2352,1150,99,100,0,500,2735;
@400000005e255c24068fcfad #d,-,18,2708,2353,1158,209,1,236104,14638,2711,2353,1159,2708,2352,1154,99,100,0,500,2723;
@400000005e255c2606a0ee7b #d,-,18,2707,2353,1157,209,1,235917,14626,2708,2353,1158,2707,2352,1156,99,100,0,500,2732;
@400000005e255c2606ab5257 #d,-,18,2709,2350,1155,210,1,235741,14615,2709,2354,1186,2707,2350,1152,98,100,0,500,2751;
@400000005e255c2806bae289 #d,-,18,2707,2350,1159,211,1,235558,14604,2709,2351,1160,2707,2350,1155,99,100,0,500,2733;
@400000005e255c2806c532d6 #d,-,18,2705,2352,1157,212,1,235377,14593,2707,2352,1159,2705,2350,1157,99,100,0,500,2732;
@400000005e255c2a06d5bd8f #d,-,18,2704,2354,1157,212,1,235298,14588,2705,2354,1158,2704,2352,1157,99,100,0,500,2730;
@400000005e255c2a06e0163e #d,-,18,2703,2352,1156,213,1,235018,14571,2704,2355,1157,2703,2352,1155,99,100,0,500,2728;
@400000005e255c2c06efe4d7 #d,-,18,2704,2353,1151,214,1,234849,14560,2704,2353,1184,2703,2352,1150,98,100,0,500,2744;
@400000005e255c2c06fae16f #d,-,18,2703,2355,1157,215,1,234674,14549,2704,2356,1157,2703,2353,1151,98,100,0,500,2741;
@400000005e255c2e070b450a #d,-,18,2702,2353,1156,215,1,234500,14539,2703,2355,1157,2702,2353,1155,98,100,0,500,2730;
@400000005e255c2e0715cc4a #d,-,18,2701,2356,1156,216,1,234327,14528,2702,2356,1158,2701,2353,1155,98,100,0,500,2730;
@400000005e255c3007260420 #d,-,18,2701,2354,1157,217,1,234157,14517,2701,2356,1160,2701,2354,1155,98,100,0,500,2730;
@400000005e255c3007304cf9 #d,-,18,2702,2353,1150,218,1,233995,14507,2702,2354,1185,2701,2352,1150,98,100,0,500,2739;
@400000005e255c320741125f #d,-,18,2702,2355,1148,218,1,233823,14497,2702,2355,1156,2702,2353,1147,98,100,0,500,2744;
@400000005e255c32074b62ab #d,-,18,2699,2353,1154,219,1,233654,14486,2702,2355,1156,2699,2353,1148,99,100,0,500,2716;
@400000005e255c34075b6bf1 #d,-,18,2698,2354,1152,220,1,233486,14476,2699,2354,1154,2698,2353,1152,99,100,0,500,2723;
@400000005e255c3407666889 #d,-,18,2696,2354,1152,221,1,233318,14465,2698,2355,1153,2696,2353,1151,99,100,0,500,2721;
@400000005e255c360777258c #d,-,18,2696,2353,1152,221,1,233161,14456,2696,2355,1181,2696,2353,1151,99,100,0,500,2723;
@400000005e255c360781b174 #d,-,18,2697,2353,1152,222,1,232996,14445,2697,2353,1155,2696,2351,1147,98,100,0,500,2742;
@400000005e255c380791f91f #d,-,18,2695,2352,1154,223,1,232833,14435,2697,2354,1155,2695,2351,1152,99,100,0,500,2721;
@400000005e255c38079c655c #d,-,18,2694,2352,1154,224,1,232765,14431,2695,2353,1155,2694,2351,1153,98,100,0,500,2723;
@400000005e255c3a07a7dec1 #d,-,18,2693,2349,1154,224,1,232512,14415,2694,2352,1155,2693,2349,1154,98,100,0,500,2721;
@400000005e255c3a07b2cf3d #d,-,18,2865,2348,1534,225,1,232631,14423,2865,2349,1541,2693,2346,1154,100,100,0,500,2865;
@400000005e255c3c07c0e90c #d,-,18,3584,2348,1653,226,1,232769,14431,3584,2349,1688,2865,2347,1515,99,100,0,500,3604;
@400000005e255c3c07cbe5a4 #d,-,18,3848,2344,1643,227,1,232847,14436,3848,2348,1662,3584,2343,1631,100,100,0,500,3848;
@400000005e255c3e07dd5dda #d,-,18,3849,2346,1662,229,1,233021,14447,3849,2346,1670,3848,2343,1631,99,100,0,500,3879;
@400000005e255c3e07e8237f #d,-,18,3850,2345,1654,230,1,233190,14457,3850,2346,1664,3849,2345,1632,99,100,0,500,3876;
@400000005e255c4007f49edd #d,-,18,3850,2343,1661,231,1,233368,14468,3850,2345,1701,3850,2343,1634,99,100,0,500,3874;
@400000005e255c4007ffab4b #d,-,18,3854,2343,1654,232,1,233538,14479,3854,2344,1674,3850,2342,1633,98,100,0,500,3908;
@400000005e255c42080f1819 #d,-,18,3856,2348,1665,233,1,233708,14489,3856,2348,1669,3854,2343,1638,99,100,0,500,3887;
@400000005e255c420819ced8 #d,-,18,3858,2350,1658,234,1,233880,14500,3858,2350,1674,3856,2348,1637,99,100,0,500,3890;
@400000005e255c44082ad1b5 #d,-,18,3859,2349,1638,235,1,234045,14510,3859,2350,1666,3858,2349,1637,98,100,0,500,3899;
@400000005e255c440835b705 #d,-,18,3860,2350,1678,236,1,234220,14521,3860,2351,1689,3859,2348,1638,99,100,0,500,3887;
@400000005e255c4608462214 #d,-,18,3865,2350,1666,237,1,234387,14532,3865,2351,1687,3860,2350,1633,98,100,0,500,3922;
@400000005e255c460850a59a #d,-,18,3867,2351,1665,238,1,234557,14542,3867,2351,1678,3865,2348,1639,99,100,0,500,3897;
@400000005e255c480861762c #d,-,18,3869,2350,1644,239,1,234809,14558,3869,2351,1672,3867,2349,1641,98,100,0,500,3912;
@400000005e255c48086c829a #d,-,18,3870,2352,1647,240,1,234973,14568,3870,2352,1673,3869,2349,1639,99,100,0,500,3897;
@400000005e255c4a087bef68 #d,-,18,3871,2351,1702,241,1,235057,14573,3871,2352,1702,3870,2351,1644,99,100,0,500,3901;
@400000005e255c4a0886b9b6 #d,-,18,3925,2350,1669,242,1,235223,14583,3925,2351,1706,3871,2349,1643,99,100,0,500,3945;
@400000005e255c4c0897ffa1 #d,-,18,3920,2351,1647,244,1,235385,14593,3925,2351,1679,3920,2349,1645,100,100,0,500,3920;
@400000005e255c4c08a2f791 #d,-,18,3915,2350,1652,245,1,235547,14603,3920,2352,1676,3915,2350,1644,100,100,0,500,3915;
@400000005e255c4e08b3ef42 #d,-,18,3912,2351,1675,246,1,235714,14614,3915,2351,1690,3912,2349,1649,100,100,0,500,3912;
@400000005e255c4e08bea9ba #d,-,18,3912,2351,1698,247,1,235878,14624,3912,2352,1699,3912,2350,1647,99,100,0,500,3931;
@400000005e255c5008cf954f #d,-,18,3913,2351,1655,248,1,236042,14634,3913,2352,1698,3912,2351,1646,99,100,0,500,3949;
@400000005e255c5008da387f #d,-,18,3910,2350,1657,249,1,236201,14644,3913,2351,1679,3910,2349,1650,99,100,0,500,3915;
@400000005e255c5208eacaab #d,-,18,3909,2351,1677,250,1,236365,14654,3910,2351,1698,3909,2349,1651,99,100,0,500,3919;
@400000005e255c5208f597c4 #d,-,18,3910,2352,1678,251,1,236524,14664,3910,2352,1681,3909,2351,1653,99,100,0,500,3938;
@400000005e255c5409060b35 #d,-,18,3910,2350,1672,252,1,236683,14674,3910,2352,1682,3910,2349,1654,99,100,0,500,3931;
@400000005e255c5409110413 #d,-,18,3912,2351,1658,253,1,236930,14689,3912,2351,1712,3910,2349,1653,98,100,0,500,3956;
@400000005e255c560921dc19 #d,-,18,3911,2348,1679,254,1,237004,14694,3912,2351,1690,3911,2348,1654,99,100,0,500,3924;
@400000005e255c56092ce4cd #d,-,18,3912,2351,1682,255,1,237161,14704,3912,2351,1686,3911,2348,1657,99,100,0,500,3938;
@400000005e255c58093de7aa #d,-,18,3912,2351,1661,257,1,237315,14713,3912,2352,1685,3912,2350,1654,99,100,0,500,3936;
@400000005e255c580948c0de #d,-,18,3911,2352,1663,258,1,237469,14723,3912,2352,1686,3911,2350,1655,99,100,0,500,3933;
@400000005e255c5a0959a500 #d,-,18,3915,2351,1676,259,1,237630,14733,3915,2352,1707,3911,2351,1652,98,100,0,500,3956;
@400000005e255c5a096424cc #d,-,18,3915,2350,1682,260,1,237783,14742,3915,2351,1685,3915,2349,1657,99,100,0,500,3940;
@400000005e255c5c097566fe #d,-,18,3915,2352,1661,261,1,237933,14751,3915,2352,1684,3915,2350,1657,99,100,0,500,3936;
@400000005e255c5c09801cce #d,-,18,3914,2350,1670,262,1,238087,14761,3915,2352,1699,3914,2350,1656,99,100,0,500,3933;
@400000005e255c5e09908c85 #d,-,18,3916,2350,1683,263,1,238238,14770,3916,2351,1686,3914,2350,1658,99,100,0,500,3949;
@400000005e255c5e099b70e6 #d,-,18,3920,2352,1681,264,1,238396,14780,3920,2352,1719,3916,2349,1661,98,100,0,500,3963;
@400000005e255c6009ac8bfa #d,-,18,3921,2351,1662,265,1,238544,14789,3921,2352,1688,3920,2350,1661,99,100,0,500,3956;
@400000005e255c6009b778bd #d,-,18,3920,2351,1666,266,1,238693,14798,3921,2352,1689,3920,2350,1659,99,100,0,500,3944;
@400000005e255c6209c85925 #d,-,18,3921,2354,1682,267,1,238923,14813,3921,2354,1688,3920,2351,1658,99,100,0,500,3944;
@400000005e255c6209d31b11 #d,-,18,3921,2351,1682,269,1,238988,14817,3921,2354,1688,3921,2350,1661,99,100,0,500,3945;
@400000005e255c6409e44241 #d,-,18,3924,2353,1658,270,1,239139,14826,3924,2353,1711,3921,2350,1658,99,100,0,500,3960;
@400000005e255c6409ef32bd #d,-,18,3924,2351,1682,271,1,239286,14835,3924,2354,1698,3924,2351,1656,99,100,0,500,3956;
@400000005e255c660a0022fa #d,-,18,3927,2350,1690,272,1,239433,14844,3927,2352,1698,3924,2350,1663,99,100,0,500,3963;
@400000005e255c660a0aa1d8 #d,-,18,3928,2352,1685,273,1,239579,14853,3928,2352,1692,3927,2349,1665,99,100,0,500,3956;
@400000005e255c680a1b6384 #d,-,18,3928,2352,1667,274,1,239721,14862,3928,2352,1692,3928,2351,1663,99,100,0,500,3956;
@400000005e255c680a26d840 #d,-,18,3930,2348,1674,275,1,239871,14872,3930,2352,1720,3928,2348,1666,99,100,0,500,3960;
@400000005e255c6a0a3511b8 #d,-,18,3932,2349,1693,276,1,240015,14880,3932,2349,1694,3930,2348,1667,98,100,0,500,3976;
@400000005e255c6a0a3e414f #d,-,18,3933,2351,1682,277,1,240156,14889,3933,2352,1693,3932,2349,1666,99,100,0,500,3958;
@400000005e255c6c0a4d639d #d,-,18,3933,2352,1665,278,1,240295,14898,3933,2352,1693,3933,2350,1665,99,100,0,500,3958;
@400000005e255c6c0a565d2f #d,-,18,3932,2351,1676,279,1,240434,14906,3933,2352,1693,3932,2350,1665,99,100,0,500,3952;
@400000005e255c6e0a669505 #d,-,18,3933,2351,1697,280,1,240581,14916,3933,2352,1718,3932,2350,1666,99,100,0,500,3956;
@400000005e255c6e0a71f721 #d,-,18,3936,2351,1563,281,1,240690,14922,3936,2352,1697,3933,2350,1563,98,100,0,500,3981;
@400000005e255c700a840f87 #d,-,18,3707,2352,1575,283,1,240772,14927,3936,2353,1599,3707,2350,1551,98,100,0,500,3755;
@400000005e255c700a8efd38 #d,-,18,3707,2351,1583,284,1,240857,14933,3707,2353,1601,3707,2350,1574,99,100,0,500,3735;
@400000005e255c720aa0d37f #d,-,18,3709,2353,1598,285,1,241022,14943,3709,2354,1599,3707,2351,1574,99,100,0,500,3744;
@400000005e255c720aabf28c #d,-,18,3711,2350,1619,286,1,241115,14949,3711,2354,1625,3709,2350,1574,99,100,0,500,3746;
@400000005e255c740abdbda6 #d,-,18,3716,2350,1595,287,1,241120,14949,3716,2351,1619,3711,2350,1569,98,100,0,500,3774;
@400000005e255c740ac8b1dc #d,-,18,3716,2352,1577,288,1,241202,14954,3716,2353,1601,3716,2350,1575,99,100,0,500,3748;
@400000005e255c760ada70da #d,-,18,3717,2351,1583,289,1,241286,14959,3717,2353,1601,3716,2351,1575,99,100,0,500,3744;
@400000005e255c760ae5429b #d,-,18,3715,2353,1586,290,1,241377,14965,3717,2353,1700,3715,2350,1535,99,100,0,500,3739;
@400000005e255c780af7388b #d,-,18,3720,2352,1608,291,1,241461,14970,3720,2354,1631,3715,2352,1558,98,100,0,500,3773;
@400000005e255c780b0238dd #d,-,18,3724,2351,1598,292,1,241543,14975,3724,2352,1613,3720,2350,1567,98,100,0,500,3769;
@400000005e255c7a0b11a1f2 #d,-,18,3724,2352,1600,293,1,241625,14980,3724,2353,1602,3724,2351,1575,99,100,0,500,3748;
@400000005e255c7a0b1a8bb0 #d,-,18,3724,2352,1594,294,1,241706,14985,3724,2353,1600,3724,2352,1576,99,100,0,500,3751;
@400000005e255c7c0b33e347 #d,-,18,3724,2350,1578,295,1,241786,14990,3724,2352,1601,3724,2349,1576,99,100,0,500,3748;
@400000005e255c7c0b3ead95 #d,-,18,3723,2351,1611,296,1,241870,14995,3724,2353,1612,3723,2349,1576,99,100,0,500,3744;
@400000005e255c7e0b506431 #d,-,18,3727,2354,1598,297,1,241952,15001,3727,2354,1624,3723,2351,1571,98,100,0,500,3774;
@400000005e255c7e0b5b261d #d,-,18,3727,2354,1598,298,1,242107,15010,3727,2355,1600,3727,2354,1573,99,100,0,500,3748;
@400000005e255c800b6cba43 #d,-,18,3727,2352,1591,299,1,242186,15015,3727,2354,1600,3727,2352,1575,99,100,0,500,3751;
@400000005e255c800b77a34d #d,-,18,3726,2355,1575,300,1,242263,15020,3727,2355,1600,3726,2352,1575,99,100,0,500,3750;
@400000005e255c820b882e06 #d,-,18,3725,2353,1610,301,1,242268,15020,3726,2355,1610,3725,2353,1574,99,100,0,500,3746;
@400000005e255c820b93aedd #d,-,18,3729,2352,1599,302,1,242349,15025,3729,2353,1628,3725,2351,1575,98,100,0,500,3774;
@400000005e255c840ba4cdab #d,-,18,3728,2354,1598,303,1,242426,15030,3729,2354,1601,3728,2351,1576,99,100,0,500,3748;
@400000005e255c840bafaf41 #d,-,18,3728,2353,1592,304,1,242502,15035,3728,2354,1599,3728,2353,1575,99,100,0,500,3750;
@400000005e255c860bc18cfb #d,-,18,3727,2352,1578,305,1,242577,15039,3728,2353,1599,3727,2352,1575,99,100,0,500,3748;
@400000005e255c860bccbccc #d,-,18,3726,2352,1597,306,1,242653,15044,3727,2353,1600,3726,2351,1576,99,100,0,500,3746;
@400000005e255c880bde7810 #d,-,18,3730,2353,1597,307,1,242733,15049,3730,2353,1629,3726,2351,1574,98,100,0,500,3774;
@400000005e255c880be96c46 #d,-,18,3729,2353,1599,308,1,242807,15054,3730,2353,1601,3729,2352,1574,99,100,0,500,3744;
@400000005e255c8a0bfadd09 #d,-,18,3728,2354,1596,309,1,242881,15058,3729,2354,1600,3728,2353,1576,99,100,0,500,3750;
@400000005e255c8a0c05c259 #d,-,18,3727,2352,1580,310,1,242954,15063,3728,2354,1601,3727,2352,1574,99,100,0,500,3750;
@400000005e255c8c0c17c376 #d,-,18,3726,2352,1583,311,1,243026,15067,3727,2353,1600,3726,2351,1573,99,100,0,500,3746;
@400000005e255c8c0c225e44 #d,-,18,3730,2352,1592,312,1,243104,15072,3730,2352,1626,3726,2351,1570,98,100,0,500,3773;
@400000005e255c8e0c33bb78 #d,-,18,3729,2353,1599,314,1,243177,15077,3730,2354,1601,3729,2351,1574,99,100,0,500,3748;
@400000005e255c8e0c3e42b8 #d,-,18,3728,2351,1597,315,1,243249,15081,3729,2354,1601,3728,2351,1573,99,100,0,500,3746;
@400000005e255c900c4ed4e4 #d,-,18,3727,2352,1579,316,1,243318,15085,3728,2353,1600,3727,2351,1573,99,100,0,500,3748;
@400000005e255c900c5a5a64 #d,-,18,3726,2353,1575,317,1,243387,15090,3727,2354,1601,3726,2352,1573,99,100,0,500,3744;
@400000005e255c920c6bc76d #d,-,18,3728,2352,1588,318,1,243535,15099,3728,2353,1621,3726,2352,1566,99,100,0,500,3764;
@400000005e255c920c76d3da #d,-,18,3728,2354,1599,319,1,243605,15103,3728,2354,1599,3728,2351,1573,99,100,0,500,3750;
@400000005e255c940c883881 #d,-,18,3727,2353,1599,320,1,243674,15107,3728,2354,1602,3727,2353,1572,99,100,0,500,3748;
@400000005e255c940c93165e #d,-,18,3726,2352,1582,321,1,243671,15107,3727,2353,1600,3726,2351,1574,99,100,0,500,3746;
@400000005e255c960ca463bc #d,-,18,3725,2354,1574,322,1,243738,15111,3726,2355,1599,3725,2351,1573,99,100,0,500,3746;
@400000005e255c960caf7f10 #d,-,18,3727,2352,1585,323,2,243812,15116,3727,2354,1625,3725,2352,1569,99,100,0,500,3757;
@400000005e255c980cc07307 #d,-,18,3727,2353,1599,324,2,243880,15120,3727,2354,1600,3727,2351,1574,99,100,0,500,3757;
@400000005e255c980ccb0662 #d,-,18,3727,2351,1597,325,2,243947,15124,3727,2353,1600,3727,2351,1574,99,100,0,500,3746;
@400000005e255c9a0cdc4c4d #d,-,18,3726,2353,1582,326,2,244013,15128,3727,2353,1600,3726,2350,1573,99,100,0,500,3746;
@400000005e255c9a0ce6f6f0 #d,-,18,3725,2353,1575,327,2,244078,15132,3726,2353,1601,3725,2352,1574,99,100,0,500,3746;
@400000005e255c9c0cf7a066 #d,-,18,3726,2352,1585,328,2,244150,15137,3726,2353,1629,3725,2351,1575,99,100,0,500,3750;
@400000005e255c9c0d036bbf #d,-,18,3727,2353,1600,329,2,244216,15141,3727,2354,1601,3726,2351,1573,99,100,0,500,3762;
@400000005e255c9e0d13f678 #d,-,18,3727,2351,1598,330,2,244351,15149,3727,2353,1601,3727,2351,1572,99,100,0,500,3748;
@400000005e255c9e0d1edf81 #d,-,18,3726,2352,1583,331,2,244415,15153,3727,2353,1600,3726,2351,1574,99,100,0,500,3746;
@400000005e255ca00d30b981 #d,-,18,3725,2354,1573,332,2,244479,15157,3726,2355,1598,3725,2352,1573,99,100,0,500,3746;
@400000005e255ca00d3b9a29 #d,-,18,3725,2353,1590,333,2,244549,15162,3725,2354,1629,3725,2352,1573,99,100,0,500,3746;
@400000005e255ca20d4cc8cc #d,-,18,3727,2353,1597,334,2,244544,15161,3727,2354,1601,3725,2352,1570,98,100,0,500,3767;
@400000005e255ca20d578ab7 #d,-,18,3727,2354,1597,335,2,244607,15165,3727,2354,1599,3727,2352,1572,99,100,0,500,3746;
@400000005e255ca40d690f09 #d,-,18,3726,2354,1585,336,2,244669,15169,3727,2355,1599,3726,2354,1572,99,100,0,500,3746;
@400000005e255ca40d73e0ca #d,-,18,3725,2353,1573,337,2,244731,15173,3726,2354,1599,3725,2352,1573,99,100,0,500,3744;
@400000005e255ca60d8541b7 #d,-,18,3724,2353,1600,338,2,244799,15177,3725,2354,1625,3724,2352,1573,99,100,0,500,3742;
@400000005e255ca60d8ff4bc #d,-,18,3727,2354,1597,339,2,244861,15181,3727,2355,1601,3724,2353,1568,98,100,0,500,3769;
@400000005e255ca80da12719 #d,-,18,3726,2354,1597,340,2,244923,15185,3727,2355,1599,3726,2354,1572,99,100,0,500,3746;
@400000005e255ca80dabd930 #d,-,18,3726,2352,1584,341,2,244984,15189,3726,2355,1600,3726,2352,1573,99,100,0,500,3748;
@400000005e255caa0dbb9bad #d,-,18,3725,2353,1572,342,2,245044,15192,3726,2353,1599,3725,2351,1572,99,100,0,500,3744;
@400000005e255caa0dc6ea3a #d,-,18,3724,2354,1612,343,2,245110,15196,3725,2355,1620,3724,2352,1572,99,100,0,500,3742;
@400000005e255cac0dd83887 #d,-,18,3727,2354,1599,344,2,245171,15200,3727,2355,1614,3724,2354,1567,98,100,0,500,3769;
@400000005e255cac0de301e6 #d,-,18,3727,2351,1598,346,2,245231,15204,3727,2354,1600,3727,2350,1572,99,100,0,500,3748;
@400000005e255cae0df4677c #d,-,18,3726,2351,1586,347,2,245289,15207,3727,2351,1600,3726,2350,1574,99,100,0,500,3746;
@400000005e255cae0dff384e #d,-,18,3725,2350,1573,348,2,245414,15215,3726,2352,1602,3725,2350,1573,99,100,0,500,3744;
@400000005e255cb00e10c148 #d,-,18,3724,2348,1619,349,2,245478,15219,3725,2351,1619,3724,2348,1573,99,100,0,500,3741;
@400000005e255cb00e1b8aa7 #d,-,18,3727,2350,1602,350,2,245537,15223,3727,2351,1627,3724,2348,1571,98,100,0,500,3771;
@400000005e255cb20e2621bb #d,-,18,3727,2351,1601,351,2,245529,15222,3727,2351,1602,3727,2349,1573,99,100,0,500,3746;
@400000005e255cb20e2c191a #d,-,18,3726,2352,1667,352,2,245591,15226,3727,2352,1667,3726,2349,1552,99,100,0,500,3748;
@400000005e255cb40e35f054 #d,-,18,3782,2353,1203,353,2,245550,15224,3782,2355,1676,3726,2351,1117,98,100,0,500,3831;
@400000005e255cb40e3bf3ce #d,-,18,2758,2353,1078,353,2,245411,15215,3782,2353,1238,2758,2352,1078,96,100,0,500,2867;
@400000005e255cb60e459415 #d,-,18,2614,2353,1164,354,2,245272,15206,2758,2354,1187,2614,2352,1076,98,100,0,500,2660;
@400000005e255cb60e4b8047 #d,-,18,2726,2351,1196,355,2,245137,15198,2726,2353,1344,2614,2351,1026,97,100,0,500,2808;
@400000005e255cb80e55208e #d,-,18,2723,2353,1169,356,2,245006,15190,2726,2353,1196,2723,2350,1168,100,100,0,500,2723;
@400000005e255cb80e5af0cf #d,-,18,2725,2350,1173,356,2,244878,15182,2725,2353,1187,2723,2349,1168,98,100,0,500,2774;
@400000005e255cba0e64a94e #d,-,18,2727,2349,1197,357,2,244752,15174,2727,2351,1197,2725,2349,1173,98,100,0,500,2776;
@400000005e255cba0e6a9939 #d,-,18,2732,2351,1178,358,2,244628,15166,2732,2351,1207,2727,2349,1170,97,100,0,500,2803;
@400000005e255cbc0e74dd6a #d,-,18,2733,2352,1175,359,2,244565,15163,2733,2352,1178,2732,2350,1175,98,100,0,500,2769;
@400000005e255cbc0e7b3ef4 #d,-,18,2733,2348,1176,359,2,244438,15155,2733,2352,1177,2733,2348,1174,98,100,0,500,2773;
@400000005e255cbe0e862356 #d,-,18,2734,2348,1175,360,2,244312,15147,2734,2350,1178,2733,2348,1175,98,100,0,500,2771;
@400000005e255cbe0e8c5560 #d,-,18,2734,2351,1184,361,2,244123,15135,2734,2352,1184,2734,2348,1174,98,100,0,500,2771;
@400000005e255cc00e983caa #d,-,18,2738,2349,1174,362,2,244003,15128,2738,2351,1205,2734,2349,1169,97,100,0,500,2797;
@400000005e255cc00e9eeb81 #d,-,18,2737,2350,1174,362,2,243878,15120,2738,2350,1177,2737,2349,1173,98,100,0,500,2767;
