@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b9451cf8fa01 #d,-,18,2663,2352,1144,31,0,190966,11839,2664,2353,1144,2663,2349,1141,98,98,0,500,2692;
@400000005e22b9451d03e6c4 #d,-,18,2663,2351,1143,32,0,190521,11812,2663,2353,1144,2663,2350,1141,98,98,0,500,2694;
@400000005e22b9471d0cc0ac #d,-,18,2663,2351,1171,32,0,190559,11814,2663,2351,1171,2663,2350,1142,98,98,0,500,2694;
@400000005e22b9471d129d09 #d,-,18,2665,2352,1142,33,0,190566,11815,2665,2353,1171,2663,2350,1135,98,98,0,500,2719;
@400000005e22b9491d1b2054 #d,-,18,2665,2351,1143,34,0,190569,11815,2665,2353,1144,2665,2351,1142,98,98,0,500,2692;
@400000005e22b9491d25bedc #d,-,18,2664,2350,1144,35,0,190571,11815,2665,2351,1144,2664,2350,1141,98,98,0,500,2694;
@400000005e22b94b1d36596b #d,-,18,2664,2351,1143,35,0,190571,11815,2664,2351,1144,2664,2349,1142,98,98,0,500,2694;
@400000005e22b94b1d40b5d3 #d,-,18,2663,2351,1169,36,0,190597,11817,2664,2351,1169,2663,2350,1142,98,98,0,500,2694;
@400000005e22b94d1d512855 #d,-,18,2666,2351,1143,37,0,190614,11818,2666,2351,1171,2663,2350,1136,97,98,0,500,2721;
@400000005e22b94d1d5b4dca #d,-,18,2665,2349,1143,38,0,190613,11818,2666,2351,1143,2665,2349,1142,99,98,0,500,2691;
@400000005e22b94f1d63dd31 #d,-,18,2665,2351,1143,38,0,190614,11818,2665,2351,1144,2665,2349,1142,98,98,0,500,2694;
@400000005e22b94f1d6e6cd2 #d,-,18,2664,2349,1143,39,0,190613,11818,2665,2351,1144,2664,2349,1143,98,98,0,500,2694;
@400000005e22b9511d799f6f #d,-,18,2663,2350,1166,40,0,190628,11818,2664,2350,1166,2663,2349,1142,98,98,0,500,2694;
@400000005e22b9511d848c32 #d,-,18,2669,2352,1153,40,0,190688,11822,2669,2352,1187,2663,2350,1145,97,98,0,500,2737;
@400000005e22b9531d941d53 #d,-,18,2670,2349,1150,41,0,190710,11824,2670,2352,1153,2669,2348,1148,98,98,0,500,2712;
@400000005e22b9531d9ebbdb #d,-,18,2671,2349,1141,42,0,190716,11824,2671,2350,1151,2670,2348,1140,98,98,0,500,2708;
@400000005e22b9551daaba6d #d,-,18,2776,2349,1485,43,0,191380,11865,2776,2351,1492,2671,2349,1141,100,98,0,500,2776;
@400000005e22b9551db4fae4 #d,-,18,3481,2349,1298,44,0,192036,11906,3481,2350,1547,2776,2348,1261,99,98,0,500,3509;
@400000005e22b9571dbdadaf #d,-,18,3021,2347,1325,45,0,192502,11935,3481,2349,1328,3021,2347,1296,98,98,0,500,3073;
@400000005e22b9571dc3d758 #d,-,18,3024,2350,1289,45,0,192886,11958,3024,2350,1325,3021,2347,1288,98,98,0,500,3079;
@400000005e22b9591dd363d1 #d,-,18,3023,2349,1296,46,0,193272,11982,3024,2350,1302,3023,2348,1289,99,98,0,500,3039;
@400000005e22b9591dde4cdb #d,-,18,3023,2349,1296,47,0,193638,12005,3023,2349,1296,3023,2348,1294,98,98,0,500,3056;
@400000005e22b95b1deec405 #d,-,18,3023,2350,1297,48,0,193999,12027,3023,2350,1299,3023,2348,1295,99,98,0,500,3050;
@400000005e22b95b1df952b8 #d,-,18,3027,2349,1289,49,0,194375,12051,3027,2351,1329,3023,2349,1287,98,98,0,500,3077;
@400000005e22b95d1e06200b #d,-,18,3027,2349,1294,50,0,194715,12072,3027,2350,1299,3027,2348,1289,99,98,0,500,3057;
@400000005e22b95d1e105db7 #d,-,18,3026,2350,1294,50,0,195040,12092,3027,2351,1297,3026,2348,1294,99,98,0,500,3052;
@400000005e22b95f1e1e9db5 #d,-,18,3026,2350,1296,51,0,195358,12112,3026,2351,1298,3026,2349,1294,99,98,0,500,3052;
