@400000005e22b91826dc7c68 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e22b9191522c7ca #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b9d12310225f #d,-,18,2902,2348,1225,146,0,206062,12775,2902,2349,1271,2900,2348,1215,98,99,0,500,2942;
@400000005e22b9d32320eb7e #d,-,18,2901,2348,1259,146,0,205963,12769,2902,2348,1265,2901,2348,1220,99,99,0,500,2929;
@400000005e22b9d3232b9621 #d,-,18,2900,2346,1220,147,0,206077,12776,2901,2348,1267,2900,2346,1218,99,99,0,500,2915;
@400000005e22b9d52334bd57 #d,-,18,2900,2346,1265,148,0,206090,12777,2900,2347,1267,2900,2346,1218,98,99,0,500,2936;
@400000005e22b9d5233dd95f #d,-,18,2899,2347,1218,149,0,205997,12771,2900,2348,1298,2899,2346,1218,99,99,0,500,2915;
@400000005e22b9d72346de1e #d,-,18,2902,2349,1262,149,0,206006,12772,2902,2349,1264,2899,2347,1213,98,99,0,500,2959;
@400000005e22b9d7234dd777 #d,-,18,2900,2349,1225,150,0,206013,12772,2902,2349,1265,2900,2348,1217,99,99,0,500,2915;
@400000005e22b9d9235a0c0d #d,-,18,2901,2349,1251,151,0,206019,12773,2901,2350,1266,2900,2349,1217,99,99,0,500,2929;
@400000005e22b9d92364ca3f #d,-,18,2898,2348,1237,152,0,206029,12773,2901,2349,1265,2898,2348,1219,99,99,0,500,2920;
@400000005e22b9db236da7e1 #d,-,18,2899,2347,1251,153,0,206045,12774,2899,2348,1279,2898,2347,1218,99,99,0,500,2924;
@400000005e22b9db23748638 #d,-,18,2901,2347,1250,153,0,206055,12775,2901,2348,1264,2899,2346,1220,98,99,0,500,2954;
@400000005e22b9dd23846c19 #d,-,18,2899,2348,1291,154,0,206081,12777,2901,2348,1291,2899,2347,1200,99,99,0,500,2908;
@400000005e22b9dd238eb4f2 #d,-,18,3011,2348,1291,155,0,206132,12780,3011,2349,1293,2899,2348,1288,99,99,0,500,3038;
@400000005e22b9df239b4025 #d,-,18,3011,2347,1292,156,0,206183,12783,3011,2348,1294,3011,2347,1290,99,99,0,500,3039;
@400000005e22b9df23a63815 #d,-,18,3011,2347,1317,157,0,206244,12787,3011,2347,1322,3011,2347,1291,99,99,0,500,3041;
@400000005e22b9e123b6da17 #d,-,18,3015,2348,1291,158,0,206292,12790,3015,2350,1317,3011,2347,1284,98,99,0,500,3070;
@400000005e22b9e123c15629 #d,-,18,3015,2350,1289,158,0,206341,12793,3015,2350,1294,3015,2348,1289,99,99,0,500,3039;
@400000005e22b9e323d15353 #d,-,18,3014,2350,1291,159,0,206389,12796,3015,2350,1293,3014,2350,1289,99,99,0,500,3039;
@400000005e22b9e323dba848 #d,-,18,3014,2350,1291,160,0,206436,12799,3014,2350,1292,3014,2349,1289,99,99,0,500,3039;
@400000005e22b9e523e56480 #d,-,18,3013,2349,1326,161,1,206493,12802,3014,2350,1326,3013,2349,1288,99,99,0,500,3039;
@400000005e22b9e523f012dd #d,-,18,3017,2348,1292,162,1,206540,12805,3017,2349,1326,3013,2348,1283,98,99,0,500,3072;
@400000005e22b9e723f90054 #d,-,18,3017,2349,1289,163,1,206586,12808,3017,2349,1293,3017,2348,1289,99,99,0,500,3038;
@400000005e22b9e723ff44ff #d,-,18,3016,2347,1289,163,1,206632,12811,3017,2349,1293,3016,2347,1289,99,99,0,500,3041;
@400000005e22b9e924086969 #d,-,18,3016,2347,1293,164,1,206678,12814,3016,2347,1293,3016,2346,1288,99,99,0,500,3039;
@400000005e22b9e924101a3a #d,-,18,3015,2347,1324,165,1,206729,12817,3016,2348,1324,3015,2347,1289,99,99,0,500,3041;
@400000005e22b9eb241964d3 #d,-,18,3018,2350,1292,166,1,206777,12820,3018,2350,1324,3015,2347,1282,98,99,0,500,3072;
@400000005e22b9eb24203e81 #d,-,18,3017,2349,1291,167,1,206821,12822,3018,2350,1293,3017,2348,1288,99,99,0,500,3036;
@400000005e22b9ed242d17f0 #d,-,18,3017,2351,1289,168,1,206866,12825,3017,2351,1293,3017,2349,1289,99,99,0,500,3043;
@400000005e22b9ed2437bed9 #d,-,18,3017,2351,1288,169,1,206908,12828,3017,2351,1291,3017,2350,1288,99,99,0,500,3039;
@400000005e22b9ef2440a3ef #d,-,18,3016,2350,1318,169,1,206956,12831,3017,2351,1318,3016,2350,1288,99,99,0,500,3041;
@400000005e22b9ef24491c0d #d,-,18,3020,2350,1292,170,1,207004,12834,3020,2350,1322,3016,2350,1283,98,99,0,500,3073;
@400000005e22b9f124536c5a #d,-,18,3018,2350,1289,171,1,207047,12836,3020,2350,1294,3018,2350,1289,99,99,0,500,3038;
@400000005e22b9f1245e6cac #d,-,18,3018,2351,1290,172,1,207089,12839,3018,2351,1294,3018,2349,1289,99,99,0,500,3041;
@400000005e22b9f32467ac18 #d,-,18,3017,2350,1290,173,1,207131,12842,3018,2351,1293,3017,2350,1290,99,99,0,500,3041;
@400000005e22b9f3246e4760 #d,-,18,3017,2350,1308,174,1,207174,12844,3017,2351,1308,3017,2350,1289,99,99,0,500,3043;
@400000005e22b9f524775393 #d,-,18,3021,2349,1293,174,1,207222,12847,3021,2350,1324,3017,2349,1285,98,99,0,500,3073;
@400000005e22b9f5247dd793 #d,-,18,3020,2350,1292,175,1,207264,12850,3021,2350,1294,3020,2348,1289,99,99,0,500,3039;
@400000005e22b9f7248d9afe #d,-,18,3019,2349,1290,176,1,207304,12852,3020,2350,1293,3019,2348,1290,99,99,0,500,3045;
@400000005e22b9f7249835cc #d,-,18,3019,2349,1289,177,1,207344,12855,3019,2350,1292,3019,2348,1289,99,99,0,500,3041;
@400000005e22b9f924a81bae #d,-,18,3018,2349,1295,178,1,207384,12857,3019,2350,1295,3018,2349,1288,99,99,0,500,3041;
@400000005e22b9f924b2af08 #d,-,18,3022,2349,1289,178,1,207432,12860,3022,2349,1325,3018,2348,1282,98,99,0,500,3072;
@400000005e22b9fb24bb9c80 #d,-,18,3020,2350,1292,179,1,207472,12863,3022,2351,1294,3020,2349,1289,99,99,0,500,3043;
@400000005e22b9fb24c26a12 #d,-,18,3019,2351,1291,180,1,207510,12865,3020,2351,1293,3019,2350,1290,99,99,0,500,3043;
@400000005e22b9fd24d137a0 #d,-,18,3019,2351,1291,181,1,207549,12868,3019,2351,1293,3019,2350,1290,99,99,0,500,3045;
@400000005e22b9fd24db9408 #d,-,18,3018,2350,1291,182,1,207587,12870,3019,2351,1293,3018,2350,1289,99,99,0,500,3041;
@400000005e22b9ff24e985ca #d,-,18,3022,2350,1286,183,1,207634,12873,3022,2351,1324,3018,2349,1284,98,99,0,500,3066;
@400000005e22b9ff24f45fed #d,-,18,3021,2349,1292,184,1,207671,12875,3022,2350,1295,3021,2349,1286,99,99,0,500,3050;
@400000005e22ba0125040edb #d,-,18,3020,2349,1290,184,1,207709,12877,3021,2350,1294,3020,2348,1290,99,99,0,500,3045;
@400000005e22ba01250e8734 #d,-,18,3020,2350,1292,185,1,207835,12885,3020,2350,1293,3020,2349,1289,99,99,0,500,3041;
@400000005e22ba0325175501 #d,-,18,3019,2349,1291,186,1,207871,12888,3020,2350,1293,3019,2349,1289,99,99,0,500,3043;
@400000005e22ba0325215acc #d,-,18,3022,2350,1283,187,1,207827,12885,3022,2350,1325,3019,2349,1283,98,99,0,500,3059;
@400000005e22ba0525313580 #d,-,18,3022,2351,1291,188,1,207863,12887,3022,2351,1294,3022,2350,1283,98,99,0,500,3057;
@400000005e22ba05253be3dd #d,-,18,3021,2350,1292,189,1,207899,12889,3022,2351,1292,3021,2350,1289,99,99,0,500,3043;
@400000005e22ba07254bfcf7 #d,-,18,3020,2351,1293,189,1,207934,12891,3021,2351,1293,3020,2350,1290,99,99,0,500,3043;
@400000005e22ba0725564e32 #d,-,18,3020,2350,1291,190,1,207969,12894,3020,2351,1294,3020,2350,1290,99,99,0,500,3045;
@400000005e22ba09255f0fe4 #d,-,18,3021,2351,1284,191,1,208099,12902,3021,2351,1323,3020,2350,1284,99,99,0,500,3050;
@400000005e22ba09256804ce #d,-,18,3022,2351,1289,192,1,208133,12904,3022,2352,1295,3021,2351,1281,98,99,0,500,3063;
@400000005e22ba0b25791fe3 #d,-,18,3021,2351,1291,193,1,208079,12900,3022,2352,1291,3021,2351,1288,99,99,0,500,3041;
@400000005e22ba0b25837891 #d,-,18,3019,2351,1290,194,1,208111,12902,3021,2351,1292,3019,2351,1288,99,99,0,500,3038;
@400000005e22ba0d2593d785 #d,-,18,3018,2351,1289,194,1,208144,12904,3019,2351,1291,3018,2350,1288,99,99,0,500,3041;
@400000005e22ba0d259e6e99 #d,-,18,3018,2351,1292,195,1,208271,12912,3018,2351,1323,3018,2350,1288,99,99,0,500,3041;
@400000005e22ba0f25a79215 #d,-,18,3020,2350,1290,196,1,208302,12914,3020,2351,1292,3018,2350,1283,98,99,0,500,3066;
@400000005e22ba0f25ae3205 #d,-,18,3020,2350,1293,197,1,208248,12911,3020,2351,1293,3020,2350,1289,99,99,0,500,3041;
@400000005e22ba1125bec078 #d,-,18,3019,2351,1291,198,1,208365,12918,3020,2351,1293,3019,2350,1288,99,99,0,500,3039;
@400000005e22ba1125c95b46 #d,-,18,3018,2348,1291,199,1,208396,12920,3019,2351,1291,3018,2348,1289,99,99,0,500,3041;
@400000005e22ba1325d73d33 #d,-,18,3018,2349,1305,199,1,208352,12917,3018,2349,1322,3018,2348,1290,99,99,0,500,3041;
@400000005e22ba1325e19e43 #d,-,18,3020,2349,1291,200,1,208465,12924,3020,2350,1305,3018,2348,1281,98,99,0,500,3068;
@400000005e22ba1525ee18b3 #d,-,18,3019,2350,1291,201,1,208495,12926,3020,2350,1292,3019,2349,1289,99,99,0,500,3043;
@400000005e22ba1525f934f6 #d,-,18,3018,2350,1291,202,1,208442,12923,3019,2350,1291,3018,2349,1289,99,99,0,500,3039;
@400000005e22ba1726098502 #d,-,18,3018,2347,1292,203,1,208472,12925,3018,2350,1292,3018,2347,1289,99,99,0,500,3039;
@400000005e22ba1726140026 #d,-,18,3017,2347,1319,204,1,208511,12927,3018,2348,1323,3017,2347,1290,99,99,0,500,3041;
@400000005e22ba19261e4546 #d,-,18,3020,2348,1291,204,1,208539,12929,3020,2348,1319,3017,2346,1283,98,99,0,500,3068;
@400000005e22ba1926294d0b #d,-,18,3019,2349,1291,205,1,208568,12931,3020,2349,1293,3019,2348,1290,99,99,0,500,3041;
@400000005e22ba1b2632655a #d,-,18,3018,2349,1292,206,1,208598,12933,3019,2349,1293,3018,2349,1290,99,99,0,500,3041;
@400000005e22ba1b2638b70f #d,-,18,3018,2347,1292,207,1,208627,12934,3018,2349,1293,3018,2346,1290,99,99,0,500,3041;
@400000005e22ba1d2647e931 #d,-,18,3017,2346,1324,208,1,208663,12937,3018,2347,1324,3017,2346,1290,99,99,0,500,3043;
@400000005e22ba1d26526cb7 #d,-,18,3020,2346,1291,209,1,208692,12938,3020,2347,1324,3017,2346,1284,98,99,0,500,3070;
@400000005e22ba1f2660dfed #d,-,18,3019,2347,1290,209,1,208720,12940,3020,2348,1294,3019,2346,1290,99,99,0,500,3039;
@400000005e22ba1f266b18f2 #d,-,18,3018,2348,1292,210,1,208748,12942,3019,2348,1293,3018,2347,1290,99,99,0,500,3039;
@400000005e22ba212677847b #d,-,18,3017,2348,1299,211,1,208776,12944,3018,2348,1299,3017,2347,1290,99,99,0,500,3039;
@400000005e22ba2126826611 #d,-,18,3019,2346,1324,212,1,208812,12946,3019,2348,1324,3017,2346,1294,98,99,0,500,3054;
@400000005e22ba232692ffb1 #d,-,18,3022,2345,1299,213,1,208844,12948,3022,2347,1326,3019,2345,1287,98,99,0,500,3077;
@400000005e22ba23269d6834 #d,-,18,3022,2345,1295,214,1,208873,12950,3022,2346,1300,3022,2345,1294,99,99,0,500,3048;
@400000005e22ba2526a65965 #d,-,18,3022,2346,1295,214,1,208902,12951,3022,2346,1297,3022,2345,1294,99,99,0,500,3048;
@400000005e22ba2526ad36cd #d,-,18,3022,2347,1296,215,1,208931,12953,3022,2347,1297,3022,2346,1294,99,99,0,500,3048;
@400000005e22ba2726b973c5 #d,-,18,3022,2346,1321,216,1,208963,12955,3022,2347,1321,3022,2346,1295,99,99,0,500,3047;
@400000005e22ba2726c3cc73 #d,-,18,3026,2346,1297,217,1,208996,12957,3026,2347,1328,3022,2346,1288,98,99,0,500,3082;
@400000005e22ba2926cc7a96 #d,-,18,3025,2346,1293,218,1,209024,12959,3026,2347,1299,3025,2345,1293,99,99,0,500,3045;
@400000005e22ba2926d65dec #d,-,18,3024,2347,1294,219,1,209052,12961,3025,2347,1296,3024,2345,1293,99,99,0,500,3047;
@400000005e22ba2b26e703a7 #d,-,18,3024,2346,1295,220,1,209079,12962,3024,2347,1296,3024,2345,1294,99,99,0,500,3047;
@400000005e22ba2b26f15c56 #d,-,18,3023,2346,1308,220,1,209185,12969,3024,2346,1308,3023,2345,1294,99,99,0,500,3048;
@400000005e22ba2d26fa3db1 #d,-,18,3027,2346,1295,221,1,209142,12966,3027,2346,1329,3023,2344,1287,98,99,0,500,3080;
@400000005e22ba2d2701792a #d,-,18,3026,2345,1296,222,1,209169,12968,3027,2346,1297,3026,2344,1294,99,99,0,500,3045;
@400000005e22ba2f270abc4f #d,-,18,3025,2347,1294,223,1,209272,12974,3026,2347,1299,3025,2345,1294,99,99,0,500,3050;
@400000005e22ba2f2715fec1 #d,-,18,3024,2346,1295,224,1,209297,12976,3025,2347,1297,3024,2346,1291,99,99,0,500,3047;
@400000005e22ba312726bcb3 #d,-,18,3024,2347,1299,224,1,209249,12973,3024,2347,1299,3024,2346,1292,99,99,0,500,3047;
@400000005e22ba3127311cd5 #d,-,18,3027,2346,1294,225,1,209283,12975,3027,2347,1330,3024,2345,1288,98,99,0,500,3075;
@400000005e22ba3327412d8d #d,-,18,3026,2347,1295,226,1,209309,12977,3027,2347,1297,3026,2346,1294,99,99,0,500,3052;
@400000005e22ba33274c1697 #d,-,18,3026,2347,1294,227,1,209335,12978,3026,2347,1296,3026,2346,1293,99,99,0,500,3048;
@400000005e22ba352756a638 #d,-,18,3025,2346,1295,228,1,209360,12980,3026,2347,1296,3025,2346,1293,99,99,0,500,3045;
@400000005e22ba35276138a4 #d,-,18,3024,2348,1294,229,1,209459,12986,3025,2348,1296,3024,2346,1293,99,99,0,500,3048;
@400000005e22ba372771a3b3 #d,-,18,3027,2348,1291,230,1,209418,12983,3027,2349,1325,3024,2347,1289,98,99,0,500,3068;
@400000005e22ba37277c087d #d,-,18,3027,2348,1294,230,1,209516,12990,3027,2348,1297,3027,2347,1291,98,99,0,500,3059;
@400000005e22ba39278546fb #d,-,18,3026,2349,1293,231,1,209468,12987,3027,2349,1296,3026,2348,1292,99,99,0,500,3050;
@400000005e22ba39278ff646 #d,-,18,3025,2349,1293,232,1,209493,12988,3026,2350,1296,3025,2348,1293,99,99,0,500,3048;
@400000005e22ba3b279f383e #d,-,18,3025,2350,1294,233,1,209518,12990,3025,2350,1296,3025,2349,1293,99,99,0,500,3050;
@400000005e22ba3b27a98117 #d,-,18,3027,2352,1286,234,1,209550,12992,3027,2352,1326,3025,2349,1286,98,99,0,500,3061;
@400000005e22ba3d27b32607 #d,-,18,3028,2351,1293,235,1,209574,12993,3028,2352,1296,3027,2349,1286,98,99,0,500,3066;
@400000005e22ba3d27be1df7 #d,-,18,3027,2351,1293,235,1,209598,12995,3028,2352,1294,3027,2351,1292,99,99,0,500,3048;
@400000005e22ba3f27cae01d #d,-,18,3026,2351,1292,236,1,209622,12996,3027,2352,1295,3026,2351,1292,99,99,0,500,3047;
@400000005e22ba3f27d62ea9 #d,-,18,3025,2351,1293,237,1,209646,12998,3026,2351,1295,3025,2351,1292,99,99,0,500,3050;
@400000005e22ba4127deb1f5 #d,-,18,3026,2349,1233,238,1,209670,12999,3026,2351,1328,3025,2349,1233,99,99,0,500,3056;
@400000005e22ba4127e28e17 #d,-,18,2949,2348,1242,239,1,209666,12999,3026,2349,1262,2949,2348,1219,98,99,0,500,2991;
@400000005e22ba4327e82c0d #d,-,18,2947,2348,1281,240,1,209677,13000,2949,2349,1281,2947,2348,1241,99,99,0,500,2965;
@400000005e22ba4327eb34c6 #d,-,18,2952,2349,1285,240,1,209691,13000,2952,2349,1285,2947,2348,1275,98,99,0,500,3009;
@400000005e22ba4527f4d5fc #d,-,18,2957,2350,1287,241,1,209712,13002,2957,2350,1292,2952,2349,1285,97,99,0,500,3023;
@400000005e22ba4527ffc679 #d,-,18,3012,2350,1292,242,1,209739,13003,3012,2351,1318,2957,2350,1286,99,99,0,500,3038;
@400000005e22ba4728092949 #d,-,18,3013,2349,1289,243,1,209757,13004,3013,2350,1292,3012,2348,1281,98,99,0,500,3057;
@400000005e22ba47281002f7 #d,-,18,3014,2348,1294,244,1,209850,13010,3014,2350,1300,3013,2348,1288,98,99,0,500,3045;
@400000005e22ba4928206693 #d,-,18,3015,2350,1293,244,1,209873,13012,3015,2350,1303,3014,2348,1291,98,99,0,500,3052;
@400000005e22ba49282aea19 #d,-,18,3016,2349,1297,245,1,209896,13013,3016,2350,1297,3015,2349,1292,98,99,0,500,3048;
@400000005e22ba4b283bca80 #d,-,18,3017,2349,1317,246,1,209857,13011,3017,2350,1326,3016,2349,1294,98,99,0,500,3050;
@400000005e22ba4b2846654f #d,-,18,3021,2347,1295,247,1,209947,13016,3021,2350,1317,3017,2347,1287,98,99,0,500,3079;
@400000005e22ba4d284f4a64 #d,-,18,3021,2348,1293,248,1,209969,13018,3021,2349,1296,3021,2347,1293,99,99,0,500,3050;
@400000005e22ba4d2858eaac #d,-,18,3021,2348,1295,249,1,209923,13015,3021,2349,1295,3021,2348,1293,99,99,0,500,3050;
@400000005e22ba4f28694a8e #d,-,18,3021,2349,1294,250,1,209945,13016,3021,2349,1296,3021,2347,1293,99,99,0,500,3050;
@400000005e22ba4f2873be3e #d,-,18,3022,2350,1325,250,1,210042,13022,3022,2351,1326,3021,2349,1293,99,99,0,500,3050;
@400000005e22ba512881c837 #d,-,18,3025,2350,1295,251,1,210063,13023,3025,2351,1325,3022,2350,1287,98,99,0,500,3079;
@400000005e22ba51288ca8df #d,-,18,3025,2349,1294,252,1,210016,13021,3025,2350,1296,3025,2349,1293,99,99,0,500,3047;
@400000005e22ba5328978a75 #d,-,18,3024,2349,1295,253,1,210038,13022,3025,2350,1297,3024,2348,1293,99,99,0,500,3048;
@400000005e22ba5328a2315f #d,-,18,3024,2348,1296,254,1,210060,13023,3024,2350,1297,3024,2348,1293,99,99,0,500,3052;
@400000005e22ba5528ab12ba #d,-,18,3023,2343,1328,255,1,210085,13025,3024,2348,1328,3023,2343,1293,99,99,0,500,3050;
@400000005e22ba5528b5d860 #d,-,18,3027,2348,1296,255,1,210108,13026,3027,2348,1329,3023,2343,1288,98,99,0,500,3080;
@400000005e22ba5728bf2f14 #d,-,18,3026,2349,1294,256,1,210129,13028,3027,2349,1296,3026,2347,1293,99,99,0,500,3048;
@400000005e22ba5728c6bc81 #d,-,18,3026,2349,1295,257,1,210150,13029,3026,2350,1297,3026,2349,1293,99,99,0,500,3050;
@400000005e22ba5928cfe3b6 #d,-,18,3025,2349,1294,258,1,210170,13030,3026,2349,1297,3025,2349,1294,99,99,0,500,3050;
@400000005e22ba5928d67018 #d,-,18,3025,2349,1323,259,1,210194,13032,3025,2350,1323,3025,2349,1293,99,99,0,500,3048;
@400000005e22ba5b28e350fa #d,-,18,3029,2350,1296,260,1,210218,13033,3029,2350,1327,3025,2349,1287,98,99,0,500,3084;
@400000005e22ba5b28edcc1d #d,-,18,3027,2349,1294,260,1,210238,13034,3029,2350,1296,3027,2349,1293,99,99,0,500,3045;
@400000005e22ba5d28fdcdef #d,-,18,3027,2349,1294,261,1,210258,13036,3027,2349,1297,3027,2349,1293,99,99,0,500,3048;
@400000005e22ba5d29081a82 #d,-,18,3026,2348,1295,262,1,210278,13037,3027,2349,1296,3026,2348,1294,99,99,0,500,3050;
@400000005e22ba5f29170f2d #d,-,18,3025,2346,1314,263,1,210300,13038,3026,2348,1314,3025,2346,1294,99,99,0,500,3050;
@400000005e22ba5f2921d88c #d,-,18,3029,2347,1296,264,1,210324,13040,3029,2348,1328,3025,2346,1287,98,99,0,500,3082;
@400000005e22ba61292b52a4 #d,-,18,3028,2347,1296,265,1,210343,13041,3029,2348,1298,3028,2346,1294,99,99,0,500,3047;
@400000005e22ba6129340ce3 #d,-,18,3027,2347,1295,265,1,210362,13042,3028,2347,1297,3027,2346,1294,99,99,0,500,3050;
@400000005e22ba63293c4e0e #d,-,18,3027,2347,1294,266,1,210382,13043,3027,2348,1297,3027,2346,1294,99,99,0,500,3050;
@400000005e22ba63293fb4d8 #d,-,18,3026,2348,1301,267,1,210401,13044,3027,2349,1301,3026,2346,1293,99,99,0,500,3050;
@400000005e22ba6529473ad1 #d,-,18,3030,2349,1293,268,1,210426,13046,3030,2349,1328,3026,2348,1288,98,99,0,500,3079;
@400000005e22ba652951c5ca #d,-,18,3028,2349,1296,269,1,210445,13047,3030,2349,1296,3028,2349,1293,99,99,0,500,3050;
@400000005e22ba6729626b86 #d,-,18,3028,2349,1295,270,1,210464,13048,3028,2349,1297,3028,2349,1294,99,99,0,500,3050;
@400000005e22ba67296cfee1 #d,-,18,3027,2347,1295,271,1,210483,13049,3028,2350,1297,3027,2347,1294,99,99,0,500,3050;
@400000005e22ba69297dac0f #d,-,18,3026,2347,1294,271,1,210502,13051,3027,2348,1298,3026,2347,1294,99,99,0,500,3050;
@400000005e22ba69298820ae #d,-,18,3030,2348,1290,272,1,210526,13052,3030,2348,1328,3026,2347,1288,98,99,0,500,3073;
@400000005e22ba6b2991020a #d,-,18,3029,2349,1296,273,1,210545,13053,3030,2349,1298,3029,2348,1290,99,99,0,500,3056;
@400000005e22ba6b29992bed #d,-,18,3028,2347,1296,274,1,210563,13054,3029,2349,1297,3028,2347,1293,99,99,0,500,3050;
@400000005e22ba6d29a2ebdf #d,-,18,3027,2347,1295,275,1,210582,13056,3028,2347,1297,3027,2346,1294,99,99,0,500,3052;
@400000005e22ba6d29add040 #d,-,18,3027,2349,1294,275,1,210600,13057,3027,2350,1298,3027,2347,1294,99,99,0,500,3052;
@400000005e22ba6f29bdc6e5 #d,-,18,3029,2349,1287,276,1,210625,13058,3029,2349,1328,3027,2349,1287,98,99,0,500,3066;
@400000005e22ba6f29c84209 #d,-,18,3029,2348,1295,277,1,210642,13059,3029,2349,1296,3029,2348,1287,98,99,0,500,3063;
@400000005e22ba7129d87714 #d,-,18,3028,2348,1295,278,1,210722,13064,3029,2349,1297,3028,2347,1293,99,99,0,500,3050;
@400000005e22ba7129e2f9ab #d,-,18,3027,2349,1294,279,1,210678,13062,3028,2349,1296,3027,2347,1294,99,99,0,500,3050;
@400000005e22ba7329f3cee6 #d,-,18,3027,2349,1294,280,1,210756,13066,3027,2350,1297,3027,2348,1294,99,99,0,500,3050;
@400000005e22ba7329fe74e1 #d,-,18,3028,2349,1288,281,1,210719,13064,3028,2349,1328,3027,2349,1288,98,99,0,500,3059;
@400000005e22ba752a0c7eda #d,-,18,3029,2346,1295,281,1,210797,13069,3029,2349,1299,3028,2346,1287,98,99,0,500,3072;
@400000005e22ba752a17297e #d,-,18,3028,2346,1297,282,1,210754,13066,3029,2346,1297,3028,2345,1294,99,99,0,500,3050;
@400000005e22ba772a20ab09 #d,-,18,3028,2346,1296,283,1,210771,13067,3028,2346,1298,3028,2345,1295,99,99,0,500,3050;
@400000005e22ba772a283103 #d,-,18,3027,2348,1295,284,1,210848,13072,3028,2348,1297,3027,2346,1294,99,99,0,500,3052;
@400000005e22ba792a311d8c #d,-,18,3028,2348,1294,285,1,210811,13070,3028,2348,1329,3027,2347,1294,99,99,0,500,3054;
@400000005e22ba792a3b6665 #d,-,18,3029,2348,1295,286,1,210828,13071,3029,2348,1298,3028,2347,1288,98,99,0,500,3075;
@400000005e22ba7b2a448715 #d,-,18,3029,2347,1295,286,1,210844,13072,3029,2348,1297,3029,2346,1294,99,99,0,500,3050;
@400000005e22ba7b2a4b1ea4 #d,-,18,3028,2346,1298,287,1,210861,13073,3029,2347,1298,3028,2346,1294,99,99,0,500,3050;
@400000005e22ba7d2a5a3d37 #d,-,18,3027,2346,1297,288,1,210878,13074,3028,2347,1298,3027,2346,1295,99,99,0,500,3052;
@400000005e22ba7d2a6539d0 #d,-,18,3027,2347,1310,289,1,210901,13075,3027,2347,1330,3027,2346,1294,99,99,0,500,3052;
@400000005e22ba7f2a6e521e #d,-,18,3030,2349,1295,290,1,210916,13076,3030,2349,1310,3027,2347,1287,98,99,0,500,3077;
@400000005e22ba7f2a7765c4 #d,-,18,3029,2349,1294,291,1,210932,13077,3030,2349,1297,3029,2349,1292,99,99,0,500,3050;
@400000005e22ba812a802c1e #d,-,18,3028,2348,1296,291,1,210948,13078,3029,2349,1298,3028,2348,1294,99,99,0,500,3052;
@400000005e22ba812a8ad308 #d,-,18,3028,2347,1296,292,1,210965,13079,3028,2348,1297,3028,2347,1294,99,99,0,500,3050;
@400000005e22ba832a94584d #d,-,18,3027,2346,1323,293,1,210987,13081,3028,2348,1327,3027,2345,1295,99,99,0,500,3052;
@400000005e22ba832a9f6874 #d,-,18,3030,2346,1295,294,1,211002,13082,3030,2347,1323,3027,2346,1287,98,99,0,500,3079;
@400000005e22ba852aafa04a #d,-,18,3029,2346,1295,295,1,211018,13083,3030,2347,1297,3029,2345,1294,99,99,0,500,3048;
@400000005e22ba852aba1c5c #d,-,18,3028,2348,1297,296,1,211034,13084,3029,2348,1298,3028,2346,1295,99,99,0,500,3050;
@400000005e22ba872acaf0a9 #d,-,18,3028,2347,1296,297,1,211050,13085,3028,2348,1298,3028,2347,1294,99,99,0,500,3052;
@400000005e22ba872ad56cbb #d,-,18,3027,2347,1329,297,1,211071,13086,3028,2348,1329,3027,2347,1294,99,99,0,500,3050;
@400000005e22ba892ae318a4 #d,-,18,3030,2347,1297,298,1,211087,13087,3030,2348,1329,3027,2346,1289,98,99,0,500,3080;
@400000005e22ba892aee28cb #d,-,18,3029,2345,1295,299,1,211102,13088,3030,2347,1298,3029,2345,1294,99,99,0,500,3050;
@400000005e22ba8b2af74c46 #d,-,18,3029,2345,1297,300,1,211117,13089,3029,2346,1298,3029,2345,1295,99,99,0,500,3050;
@400000005e22ba8b2afdf3aa #d,-,18,3028,2348,1296,301,1,211133,13090,3029,2348,1297,3028,2345,1295,99,99,0,500,3052;
@400000005e22ba8d2b0e8d4a #d,-,18,3027,2347,1328,301,1,211152,13091,3028,2348,1328,3027,2347,1295,99,99,0,500,3050;
@400000005e22ba8d2b191ceb #d,-,18,3031,2348,1297,302,1,211169,13092,3031,2349,1329,3027,2347,1287,98,99,0,500,3082;
@400000005e22ba8f2b22503c #d,-,18,3029,2347,1296,303,1,211184,13093,3031,2349,1298,3029,2346,1294,99,99,0,500,3047;
@400000005e22ba8f2b2a3357 #d,-,18,3029,2346,1296,304,1,211199,13094,3029,2347,1297,3029,2346,1294,99,99,0,500,3052;
@400000005e22ba912b3a7faa #d,-,18,3028,2346,1295,305,1,211270,13098,3029,2347,1298,3028,2346,1295,99,99,0,500,3050;
@400000005e22ba912b451a78 #d,-,18,3027,2346,1321,306,1,211231,13096,3028,2346,1321,3027,2345,1295,99,99,0,500,3052;
@400000005e22ba932b554adb #d,-,18,3031,2347,1298,306,1,211249,13097,3031,2347,1331,3027,2346,1287,98,99,0,500,3086;
@400000005e22ba932b5fbad2 #d,-,18,3029,2348,1295,307,1,211263,13098,3031,2348,1298,3029,2347,1295,99,99,0,500,3047;
