@400000005e7b0e2629c0ad29 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7b0e2718117c11 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0ee326b6a110 #d,-,18,2425,2365,1126,137,0,190402,11804,2425,2366,1131,2425,2365,1121,89,100,0,500,2708;
@400000005e7b0ee326bf47c0 #d,-,18,2424,2365,1128,137,0,190314,11799,2425,2366,1129,2424,2365,1121,89,100,0,500,2708;
@400000005e7b0ee526cce4c2 #d,-,18,2424,2363,1129,138,0,190229,11794,2424,2365,1132,2424,2362,1123,89,100,0,500,2711;
@400000005e7b0ee526d5c61e #d,-,18,2425,2361,1126,139,0,190145,11789,2425,2363,1134,2424,2361,1126,89,100,0,500,2713;
@400000005e7b0ee726e3eed3 #d,-,18,2425,2363,1132,139,0,190160,11789,2425,2364,1132,2425,2361,1123,89,100,0,500,2711;
@400000005e7b0ee726ec81f3 #d,-,18,2425,2360,1123,140,0,190074,11784,2425,2364,1134,2425,2360,1122,89,100,0,500,2708;
@400000005e7b0ee926fac2df #d,-,18,2425,2359,1129,141,0,189993,11779,2425,2361,1132,2425,2358,1122,89,100,0,500,2711;
@400000005e7b0ee92703b7ca #d,-,18,2425,2362,1124,141,0,189813,11768,2425,2362,1132,2425,2359,1122,89,100,0,500,2706;
@400000005e7b0eeb2711ad46 #d,-,18,2426,2360,1129,142,0,189733,11763,2426,2362,1131,2425,2359,1122,89,100,0,500,2708;
@400000005e7b0eeb271a73a0 #d,-,18,2426,2363,1129,143,0,189654,11758,2426,2363,1132,2426,2360,1123,89,100,0,500,2708;
@400000005e7b0eed27282f5e #d,-,18,2426,2361,1126,143,0,189576,11753,2426,2363,1132,2426,2360,1123,89,100,0,500,2708;
@400000005e7b0eed2730e5e2 #d,-,18,2426,2361,1133,144,0,189498,11748,2426,2361,1133,2426,2360,1124,89,100,0,500,2711;
@400000005e7b0eef273fa39a #d,-,18,2426,2363,1127,145,0,189421,11744,2426,2363,1134,2426,2361,1125,89,100,0,500,2708;
@400000005e7b0eef27487521 #d,-,18,2427,2361,1135,145,0,189348,11739,2427,2363,1136,2426,2361,1126,89,100,0,500,2713;
@400000005e7b0ef1275609c1 #d,-,18,2428,2361,1128,146,0,189272,11734,2428,2362,1135,2427,2360,1125,89,100,0,500,2711;
@400000005e7b0ef1275ee764 #d,-,18,2428,2362,1131,147,0,189199,11730,2428,2362,1132,2428,2360,1123,89,100,0,500,2713;
@400000005e7b0ef3276f1f3a #d,-,18,2428,2362,1132,147,0,189127,11725,2428,2362,1135,2428,2362,1125,89,100,0,500,2711;
@400000005e7b0ef32778b8fc #d,-,18,2429,2361,1128,148,0,189148,11727,2429,2362,1133,2428,2360,1124,89,100,0,500,2715;
@400000005e7b0ef52788cd6e #d,-,18,2431,2360,1564,149,0,189236,11732,2431,2362,1770,2429,2359,1122,89,100,0,500,2711;
@400000005e7b0ef52792a1dd #d,-,18,3773,2358,1451,150,0,189571,11753,3773,2363,1774,2431,2358,1138,98,100,0,500,3844;
@400000005e7b0ef727a250cc #d,-,18,2952,2360,1251,151,0,189576,11753,3773,2360,1489,2952,2358,1251,89,100,0,500,3287;
@400000005e7b0ef727ab5945 #d,-,18,2743,2359,1652,152,0,189881,11772,2952,2361,1808,2743,2358,1177,91,100,0,500,3009;
@400000005e7b0ef927ba9fe5 #d,-,18,3821,2360,1441,153,0,190007,11780,3821,2363,1766,2743,2359,1070,98,100,0,500,3891;
@400000005e7b0ef927c44c48 #d,-,18,2866,2361,1243,153,0,190090,11785,3821,2362,1469,2866,2360,1243,89,100,0,500,3216;
@400000005e7b0efb27d3cca5 #d,-,18,2721,2358,1731,154,0,190277,11797,2866,2361,1890,2721,2356,1145,90,100,0,500,3005;
@400000005e7b0efb27dd9c6c #d,-,18,3753,2358,1403,155,0,190506,11811,3753,2360,1805,2721,2357,1093,98,100,0,500,3808;
@400000005e7b0efd27eabbb4 #d,-,18,2954,2359,1246,156,0,190591,11816,3753,2359,1467,2954,2356,1246,89,100,0,500,3317;
@400000005e7b0efd27ef7b14 #d,-,18,2743,2358,1581,157,0,190819,11830,2954,2360,1877,2743,2356,1174,91,100,0,500,3002;
@400000005e7b0eff27fda010 #d,-,18,3892,2361,1455,158,0,191029,11843,3892,2362,1790,2743,2357,1090,97,100,0,500,3988;
@400000005e7b0eff28070e0d #d,-,18,2832,2361,1223,159,0,191083,11847,3892,2362,1455,2832,2360,1223,89,100,0,500,3159;
@400000005e7b0f0128148f1e #d,-,18,2647,2361,1135,159,0,191014,11842,2832,2362,1223,2647,2360,1126,89,100,0,500,2943;
@400000005e7b0f01281d3e30 #d,-,18,2437,2362,1126,160,0,191024,11843,2647,2362,1136,2437,2360,1123,89,100,0,500,2715;
@400000005e7b0f03282b3fc7 #d,-,18,2436,2361,1132,161,0,190949,11838,2437,2362,1134,2436,2361,1126,89,100,0,500,2711;
@400000005e7b0f032833f64c #d,-,18,2435,2360,1128,161,1,190873,11834,2436,2361,1132,2435,2360,1126,89,100,0,500,2708;
@400000005e7b0f05284138f7 #d,-,18,2434,2358,1129,162,1,190798,11829,2435,2361,1133,2434,2357,1127,89,100,0,500,2711;
@400000005e7b0f05284a64d5 #d,-,18,2433,2360,1132,163,1,190724,11824,2434,2360,1135,2433,2357,1125,89,100,0,500,2708;
@400000005e7b0f072857d9cb #d,-,18,2433,2359,1129,163,1,190565,11815,2433,2360,1134,2433,2359,1124,89,100,0,500,2711;
@400000005e7b0f07285ffb4c #d,-,18,2433,2360,1132,164,1,190494,11810,2433,2360,1137,2433,2359,1126,89,100,0,500,2711;
@400000005e7b0f09286e86ba #d,-,18,2433,2361,1130,165,1,190423,11806,2433,2361,1132,2433,2359,1123,89,100,0,500,2713;
@400000005e7b0f0928778a8b #d,-,18,2432,2360,1125,165,1,190351,11801,2433,2362,1132,2432,2359,1123,89,100,0,500,2706;
@400000005e7b0f0b28857982 #d,-,18,2431,2360,1131,166,1,190280,11797,2432,2361,1131,2431,2359,1125,89,100,0,500,2708;
@400000005e7b0f0b288e0ca3 #d,-,18,2431,2362,1126,167,1,190208,11792,2431,2362,1132,2431,2360,1124,89,100,0,500,2706;
@400000005e7b0f0d289c12e2 #d,-,18,2430,2362,1132,167,1,190138,11788,2431,2362,1132,2430,2362,1124,89,100,0,500,2708;
@400000005e7b0f0d28a53a18 #d,-,18,2430,2362,1128,168,1,190067,11784,2430,2362,1132,2430,2360,1126,89,100,0,500,2708;
@400000005e7b0f0f28b35b59 #d,-,18,2429,2361,1128,169,1,189997,11779,2430,2362,1134,2429,2361,1125,89,100,0,500,2708;
@400000005e7b0f0f28bc1df9 #d,-,18,2428,2361,1127,169,1,189928,11775,2429,2362,1132,2428,2360,1125,89,100,0,500,2706;
@400000005e7b0f1128c9cd9c #d,-,18,2428,2359,1130,170,1,189861,11771,2428,2361,1136,2428,2358,1125,89,100,0,500,2711;
@400000005e7b0f1128d2cea2 #d,-,18,2427,2360,1124,171,1,189793,11767,2428,2361,1131,2427,2359,1124,89,100,0,500,2708;
@400000005e7b0f1328e1494c #d,-,18,2427,2361,1127,171,1,189725,11762,2427,2362,1130,2427,2359,1123,89,100,0,500,2704;
@400000005e7b0f1328ea2334 #d,-,18,2426,2361,1126,172,1,189658,11758,2427,2361,1130,2426,2360,1126,89,100,0,500,2706;
@400000005e7b0f1528f79471 #d,-,18,2426,2360,1129,173,1,189592,11754,2426,2361,1130,2426,2359,1125,89,100,0,500,2706;
@400000005e7b0f15290085a2 #d,-,18,2426,2360,1131,173,1,189607,11755,2426,2361,1132,2426,2359,1126,89,100,0,500,2708;
@400000005e7b0f17290d88f9 #d,-,18,2427,2362,1131,174,1,189464,11746,2427,2362,1133,2426,2360,1128,89,100,0,500,2713;
@400000005e7b0f1729162835 #d,-,18,2427,2360,1127,175,1,189400,11742,2427,2362,1134,2427,2359,1125,89,100,0,500,2713;
@400000005e7b0f192925ff30 #d,-,18,2427,2359,1218,175,1,189347,11739,2427,2360,1218,2427,2359,1127,89,100,0,500,2708;
@400000005e7b0f1929305f51 #d,-,18,3064,2358,1660,176,1,189692,11760,3064,2359,1782,2427,2357,1218,95,100,0,500,3201;
@400000005e7b0f1b2942c5f3 #d,-,18,3337,2357,1304,177,1,189763,11765,3337,2360,1660,3064,2357,1142,92,100,0,500,3609;
@400000005e7b0f1b294cfb3d #d,-,18,2908,2359,1181,178,1,189772,11765,3337,2360,1318,2908,2357,1137,91,100,0,500,3178;
@400000005e7b0f1d295d0571 #d,-,18,3170,2357,1672,179,1,190136,11788,3170,2359,1859,2908,2356,1181,96,100,0,500,3301;
@400000005e7b0f1d29667ae1 #d,-,18,3320,2358,1313,180,1,190195,11792,3320,2359,1672,3170,2356,1075,91,100,0,500,3609;
@400000005e7b0f1f29772cb8 #d,-,18,2900,2360,1271,181,1,190216,11793,3320,2361,1324,2900,2357,1172,91,100,0,500,3182;
@400000005e7b0f1f2980e08e #d,-,18,3268,2360,1564,182,1,190573,11815,3268,2360,1872,2900,2357,1271,96,100,0,500,3398;
@400000005e7b0f21298c4664 #d,-,18,3345,2358,1317,183,1,190637,11819,3345,2362,1564,3268,2358,1145,92,100,0,500,3614;
@400000005e7b0f2129920b77 #d,-,18,2850,2356,1726,183,1,190707,11823,3345,2360,1726,2850,2356,1157,90,100,0,500,3142;
@400000005e7b0f2329a22fbf #d,-,18,3377,2362,1101,184,1,190964,11839,3377,2362,1874,2850,2356,1101,95,100,0,500,3524;
@400000005e7b0f2329ab9648 #d,-,18,3226,2359,1303,185,1,191050,11845,3377,2362,1491,3226,2359,1083,92,100,0,500,3500;
@400000005e7b0f2529b9272f #d,-,18,2775,2358,1122,186,1,191086,11847,3226,2359,1303,2775,2357,1119,90,100,0,500,3066;
@400000005e7b0f2529c1e527 #d,-,18,2413,2359,1136,187,1,191022,11843,2775,2360,1140,2413,2358,1120,89,100,0,500,2708;
@400000005e7b0f2729cffef5 #d,-,18,2417,2357,1129,187,1,190881,11834,2417,2360,1139,2413,2357,1123,88,100,0,500,2723;
@400000005e7b0f2729d88e5c #d,-,18,2418,2359,1127,188,1,190816,11830,2418,2360,1130,2417,2357,1124,89,100,0,500,2706;
@400000005e7b0f2929e60f6e #d,-,18,2418,2358,1131,189,1,190751,11826,2418,2360,1131,2418,2357,1126,89,100,0,500,2706;
@400000005e7b0f2929eef0ca #d,-,18,2419,2361,1127,189,1,190687,11822,2419,2362,1132,2418,2357,1123,89,100,0,500,2708;
@400000005e7b0f2b29fdf45b #d,-,18,2421,2360,1132,190,1,190624,11818,2421,2362,1134,2419,2360,1123,89,100,0,500,2708;
@400000005e7b0f2b2a06be6f #d,-,18,2422,2360,1128,191,1,190561,11814,2422,2361,1134,2421,2360,1127,89,100,0,500,2713;
@400000005e7b0f2d2a1511fb #d,-,18,2423,2361,1130,191,1,190498,11810,2423,2361,1131,2422,2360,1126,89,100,0,500,2713;
@400000005e7b0f2d2a1e31bd #d,-,18,2423,2362,1127,192,1,190436,11807,2423,2363,1131,2423,2361,1126,89,100,0,500,2708;
@400000005e7b0f2f2a2bfd50 #d,-,18,2424,2362,1130,193,1,190376,11803,2424,2363,1134,2423,2362,1127,89,100,0,500,2713;
@400000005e7b0f2f2a34c763 #d,-,18,2425,2362,1126,193,1,190316,11799,2425,2362,1131,2424,2361,1125,89,100,0,500,2711;
@400000005e7b0f312a430fc3 #d,-,18,2426,2362,1130,194,1,190255,11795,2426,2362,1131,2425,2361,1124,89,100,0,500,2708;
@400000005e7b0f312a4c4313 #d,-,18,2426,2358,1127,195,1,190195,11792,2426,2362,1130,2426,2358,1123,89,100,0,500,2706;
@400000005e7b0f332a5a161a #d,-,18,2426,2358,1128,195,1,190135,11788,2426,2359,1133,2426,2358,1125,89,100,0,500,2708;
@400000005e7b0f332a62a581 #d,-,18,2426,2360,1127,196,1,190075,11784,2426,2361,1131,2426,2358,1126,89,100,0,500,2706;
@400000005e7b0f352a70b6ed #d,-,18,2427,2360,1130,197,1,190016,11781,2427,2361,1131,2426,2359,1126,89,100,0,500,2708;
@400000005e7b0f352a79e2cb #d,-,18,2427,2360,1128,197,1,189958,11777,2427,2360,1131,2427,2358,1127,89,100,0,500,2706;
@400000005e7b0f372a88a083 #d,-,18,2427,2359,1130,198,1,189970,11778,2427,2360,1130,2427,2358,1126,89,100,0,500,2708;
@400000005e7b0f372a915707 #d,-,18,2427,2359,1128,199,1,189842,11770,2427,2360,1130,2427,2359,1125,89,100,0,500,2708;
@400000005e7b0f392a9eb0fb #d,-,18,2427,2357,1134,199,1,189855,11771,2427,2359,1134,2427,2356,1126,89,100,0,500,2706;
@400000005e7b0f392aa79d84 #d,-,18,2428,2360,1128,200,1,189730,11763,2428,2360,1136,2427,2357,1127,89,100,0,500,2711;
@400000005e7b0f3b2ab526f8 #d,-,18,2428,2357,1127,200,1,189673,11759,2428,2361,1132,2428,2357,1124,89,100,0,500,2708;
@400000005e7b0f3b2abe1be2 #d,-,18,2428,2357,1127,201,1,189616,11756,2428,2359,1132,2428,2357,1124,89,100,0,500,2704;
@400000005e7b0f3d2acea5ad #d,-,18,2427,2358,1127,202,1,189560,11752,2428,2359,1131,2427,2357,1125,89,100,0,500,2704;
@400000005e7b0f3d2ad90e31 #d,-,18,2430,2355,1522,203,1,189692,11760,2430,2358,1744,2427,2354,1125,89,100,0,500,2708;
@400000005e7b0f3f2aef60c9 #d,-,18,3785,2354,1484,204,1,189884,11772,3785,2356,1789,2430,2351,1174,97,100,0,500,3867;
@400000005e7b0f3f2afdeff0 #d,-,18,2956,2357,1230,204,1,189939,11776,3785,2357,1491,2956,2354,1230,90,100,0,500,3282;
@400000005e7b0f412b0f96b7 #d,-,18,2697,2356,1647,205,1,190094,11785,2956,2357,1853,2697,2353,1169,90,100,0,500,2969;
@400000005e7b0f412b193434 #d,-,18,3824,2356,1452,206,1,190271,11796,3824,2357,1785,2697,2354,1140,98,100,0,500,3886;
@400000005e7b0f432b246316 #d,-,18,2918,2359,1225,207,1,190322,11800,3824,2359,1454,2918,2356,1225,89,100,0,500,3263;
@400000005e7b0f432b2c9ccf #d,-,18,2713,2357,1572,208,1,190495,11810,2918,2360,1882,2713,2355,1144,91,100,0,500,2974;
@400000005e7b0f452b3dede7 #d,-,18,3892,2359,1427,209,1,190661,11820,3892,2360,1794,2713,2357,1133,97,100,0,500,4012;
@400000005e7b0f452b481805 #d,-,18,2874,2359,1238,210,1,190702,11823,3892,2359,1427,2874,2358,1238,90,100,0,500,3173;
@400000005e7b0f472b57d6c8 #d,-,18,2994,2359,1745,211,1,190935,11838,2994,2360,1808,2874,2357,1185,95,100,0,500,3135;
@400000005e7b0f472b61708b #d,-,18,3497,2359,1332,212,1,191026,11843,3497,2362,1777,2994,2358,1039,90,100,0,500,3865;
@400000005e7b0f492b715a26 #d,-,18,2940,2360,1168,212,1,191054,11845,3497,2360,1332,2940,2358,1168,94,100,0,500,3118;
@400000005e7b0f492b7ab0da #d,-,18,2585,2362,1125,213,1,190997,11841,2940,2362,1168,2585,2360,1114,89,100,0,500,2884;
@400000005e7b0f4b2b8835a6 #d,-,18,2433,2359,1129,214,1,190943,11838,2585,2362,1152,2433,2359,1123,89,100,0,500,2723;
@400000005e7b0f4b2b916183 #d,-,18,2432,2358,1129,214,1,190886,11834,2433,2359,1133,2432,2357,1127,89,100,0,500,2708;
@400000005e7b0f4d2ba007f2 #d,-,18,2432,2361,1136,215,1,190831,11831,2432,2361,1136,2432,2357,1128,89,100,0,500,2715;
@400000005e7b0f4d2ba8e94e #d,-,18,2433,2360,1125,216,1,190775,11828,2433,2361,1136,2432,2359,1125,89,100,0,500,2715;
@400000005e7b0f4f2bb81044 #d,-,18,2432,2357,1132,216,1,190720,11824,2433,2360,1132,2432,2357,1124,89,100,0,500,2708;
@400000005e7b0f4f2bc0a364 #d,-,18,2432,2360,1126,217,1,190663,11821,2432,2361,1132,2432,2356,1124,89,100,0,500,2706;
@400000005e7b0f512bcf9f82 #d,-,18,2431,2359,1128,218,1,190609,11817,2432,2361,1132,2431,2359,1125,89,100,0,500,2708;
@400000005e7b0f512bd849eb #d,-,18,2431,2361,1128,218,1,190553,11814,2431,2361,1131,2431,2358,1125,89,100,0,500,2706;
@400000005e7b0f532be5c38a #d,-,18,2430,2359,1129,219,1,190499,11810,2431,2361,1132,2430,2359,1124,89,100,0,500,2708;
@400000005e7b0f532bee88f5 #d,-,18,2429,2360,1128,220,1,190444,11807,2430,2360,1131,2429,2359,1123,89,100,0,500,2706;
@400000005e7b0f552bfc5842 #d,-,18,2429,2361,1126,220,1,190389,11804,2429,2361,1131,2429,2359,1124,89,100,0,500,2706;
@400000005e7b0f552c051280 #d,-,18,2428,2361,1127,221,1,190334,11800,2429,2362,1132,2428,2361,1124,89,100,0,500,2706;
@400000005e7b0f572c133c24 #d,-,18,2428,2360,1130,222,1,190280,11797,2428,2361,1132,2428,2359,1123,89,100,0,500,2706;
@400000005e7b0f572c1bd2fe #d,-,18,2428,2359,1126,222,1,190228,11794,2428,2360,1135,2428,2359,1124,89,100,0,500,2708;
@400000005e7b0f592c2982a1 #d,-,18,2428,2360,1129,223,1,190236,11794,2428,2360,1132,2428,2358,1122,89,100,0,500,2708;
@400000005e7b0f592c3273d1 #d,-,18,2427,2360,1123,224,1,190121,11787,2428,2361,1136,2427,2359,1122,89,100,0,500,2706;
@400000005e7b0f5b2c415c61 #d,-,18,2427,2361,1127,224,1,190069,11784,2427,2361,1131,2427,2360,1122,89,100,0,500,2704;
@400000005e7b0f5b2c4a22ba #d,-,18,2427,2359,1131,225,1,190080,11784,2427,2361,1135,2427,2357,1124,89,100,0,500,2706;
@400000005e7b0f5d2c57d25d #d,-,18,2427,2358,1128,226,1,190029,11781,2427,2359,1134,2427,2357,1126,89,100,0,500,2711;
@400000005e7b0f5d2c6098b7 #d,-,18,2428,2361,1131,226,1,189918,11774,2428,2361,1135,2427,2358,1123,89,100,0,500,2711;
@400000005e7b0f5f2c6ef85e #d,-,18,2428,2360,1126,227,1,189867,11771,2428,2361,1132,2428,2359,1125,89,100,0,500,2706;
@400000005e7b0f5f2c77beb8 #d,-,18,2428,2360,1132,228,1,189817,11768,2428,2360,1132,2428,2359,1125,89,100,0,500,2708;
@400000005e7b0f612c8a9250 #d,-,18,2428,2360,1127,228,1,189767,11765,2428,2360,1133,2428,2359,1125,89,100,0,500,2708;
@400000005e7b0f612c950e63 #d,-,18,2428,2361,1132,229,1,189718,11762,2428,2361,1133,2428,2359,1126,89,100,0,500,2711;
@400000005e7b0f632ca4e917 #d,-,18,2719,2358,1692,230,1,189908,11774,2719,2361,1796,2428,2357,1129,95,100,0,500,2858;
@400000005e7b0f632cae85a5 #d,-,18,3643,2358,1389,231,1,190043,11782,3643,2361,1752,2719,2357,1173,92,100,0,500,3934;
@400000005e7b0f652cb99985 #d,-,18,2994,2358,1240,232,1,190085,11785,3643,2359,1389,2994,2358,1240,93,100,0,500,3213;
@400000005e7b0f652cbeb9c1 #d,-,18,2779,2357,1620,233,1,190265,11796,2994,2359,1866,2779,2355,1192,92,100,0,500,3002;
@400000005e7b0f672ccdf8ed #d,-,18,3840,2358,1390,234,1,190399,11804,3840,2360,1786,2779,2356,1112,95,100,0,500,4040;
@400000005e7b0f672cd78960 #d,-,18,2880,2358,1212,234,1,190433,11806,3840,2358,1390,2880,2356,1212,91,100,0,500,3133;
@400000005e7b0f692ce7e0e0 #d,-,18,2711,2357,1577,235,1,190587,11816,2880,2359,1854,2711,2355,1136,91,100,0,500,2957;
@400000005e7b0f692cf1effb #d,-,18,3838,2356,1450,236,1,190758,11827,3838,2360,1780,2711,2355,1027,95,100,0,500,4005;
@400000005e7b0f6b2d00b8e0 #d,-,18,2775,2360,1227,237,1,190744,11826,3838,2361,1450,2775,2356,1227,90,100,0,500,3069;
@400000005e7b0f6b2d058ae1 #d,-,18,2691,2357,1619,238,1,190937,11838,2775,2361,1884,2691,2356,1142,90,100,0,500,2981;
@400000005e7b0f6d2d14217c #d,-,18,3862,2359,1457,239,1,191018,11843,3862,2360,1797,2691,2356,1091,98,100,0,500,3927;
@400000005e7b0f6d2d1dd640 #d,-,18,2852,2362,1241,240,1,191124,11849,3862,2362,1463,2852,2359,1241,88,100,0,500,3208;
@400000005e7b0f6f2d2b8229 #d,-,18,2699,2362,1141,240,1,191024,11843,2852,2363,1241,2699,2362,1127,90,100,0,500,2986;
@400000005e7b0f6f2d343c68 #d,-,18,2447,2361,1132,241,1,190978,11840,2699,2363,1143,2447,2361,1132,89,100,0,500,2727;
@400000005e7b0f712d41dc35 #d,-,18,2447,2362,1133,242,1,190928,11837,2447,2362,1136,2447,2361,1125,89,100,0,500,2727;
@400000005e7b0f712d4af484 #d,-,18,2444,2361,1124,242,1,190877,11834,2447,2362,1133,2444,2361,1123,90,100,0,500,2711;
@400000005e7b0f732d59542b #d,-,18,2442,2362,1128,243,1,190827,11831,2444,2362,1131,2442,2361,1124,90,100,0,500,2706;
@400000005e7b0f732d623de9 #d,-,18,2440,2357,1128,244,1,190776,11828,2442,2362,1132,2440,2357,1125,90,100,0,500,2708;
@400000005e7b0f752d6fe52a #d,-,18,2438,2358,1128,244,1,190726,11825,2440,2359,1133,2438,2357,1126,89,100,0,500,2711;
@400000005e7b0f752d791969 #d,-,18,2437,2361,1130,245,1,190677,11822,2438,2361,1135,2437,2358,1126,89,100,0,500,2708;
@400000005e7b0f772d873602 #d,-,18,2436,2360,1127,246,1,190628,11818,2437,2362,1136,2436,2359,1127,89,100,0,500,2713;
@400000005e7b0f772d8fdda0 #d,-,18,2435,2360,1129,246,1,190580,11815,2436,2361,1133,2435,2360,1127,89,100,0,500,2713;
@400000005e7b0f792d9e584a #d,-,18,2434,2361,1130,247,1,190531,11812,2435,2362,1136,2434,2360,1127,89,100,0,500,2711;
@400000005e7b0f792da79b70 #d,-,18,2434,2362,1128,248,1,190483,11809,2434,2362,1133,2434,2361,1125,89,100,0,500,2711;
@400000005e7b0f7b2db59d07 #d,-,18,2433,2361,1130,248,1,190435,11806,2434,2363,1131,2433,2361,1124,89,100,0,500,2711;
@400000005e7b0f7b2dbe76f0 #d,-,18,2432,2363,1125,249,1,190387,11804,2433,2363,1132,2432,2361,1124,89,100,0,500,2708;
@400000005e7b0f7d2dcc7114 #d,-,18,2432,2364,1130,250,1,190340,11801,2432,2364,1131,2432,2362,1123,89,100,0,500,2706;
@400000005e7b0f7d2dd590d6 #d,-,18,2431,2362,1126,250,1,190293,11798,2432,2364,1131,2431,2362,1125,89,100,0,500,2708;
@400000005e7b0f7f2de44272 #d,-,18,2431,2362,1133,251,1,190247,11795,2431,2363,1133,2431,2362,1124,89,100,0,500,2711;
@400000005e7b0f7f2ded33a3 #d,-,18,2431,2363,1131,252,1,190201,11792,2431,2363,1134,2431,2362,1127,89,100,0,500,2715;
@400000005e7b0f812dfa89de #d,-,18,2431,2366,1127,252,1,190211,11793,2431,2366,1131,2431,2363,1124,89,100,0,500,2715;
@400000005e7b0f812e03863c #d,-,18,2431,2364,1134,253,1,190110,11786,2431,2366,1134,2431,2364,1125,89,100,0,500,2711;
@400000005e7b0f832e12639e #d,-,18,2430,2364,1126,254,1,190118,11787,2431,2365,1134,2430,2364,1123,89,100,0,500,2711;
@400000005e7b0f832e1b2550 #d,-,18,2430,2364,1129,254,1,190018,11781,2430,2364,1130,2430,2364,1123,89,100,0,500,2708;
@400000005e7b0f852e2a2527 #d,-,18,2430,2363,1128,255,1,190026,11781,2430,2364,1129,2430,2363,1123,89,100,0,500,2708;
@400000005e7b0f852e32fb56 #d,-,18,2430,2363,1130,256,1,189927,11775,2430,2363,1131,2430,2362,1123,89,100,0,500,2708;
@400000005e7b0f872e3debd3 #d,-,18,2429,2361,1127,256,1,189936,11776,2430,2363,1130,2429,2361,1122,89,100,0,500,2708;
@400000005e7b0f872e42f880 #d,-,18,2667,2359,1650,257,1,190096,11785,2667,2362,1793,2429,2357,1127,94,100,0,500,2825;
@400000005e7b0f892e53e149 #d,-,18,3669,2361,1339,258,1,190211,11793,3669,2361,1779,2667,2358,1165,92,100,0,500,3950;
@400000005e7b0f892e5e3db1 #d,-,18,2926,2363,1194,259,1,190181,11791,3669,2363,1339,2926,2360,1194,92,100,0,500,3156;
@400000005e7b0f8b2e6e7cfb #d,-,18,3044,2361,1747,260,1,190384,11803,3044,2363,1826,2926,2360,1173,96,100,0,500,3168;
@400000005e7b0f8b2e7806e8 #d,-,18,3345,2363,1295,261,1,190443,11807,3345,2365,1747,3044,2361,1074,89,100,0,500,3727;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
