@400000005e7b0e2629c0ad29 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7b0e2718117c11 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7b0e5120092c09 #d,-,18,2436,2361,1130,30,0,188467,11684,2436,2364,1137,2436,2361,1128,89,100,0,500,2720;
@400000005e7b0e53201760da #d,-,18,2435,2362,1130,31,0,188137,11664,2436,2363,1133,2435,2360,1127,89,100,0,500,2715;
@400000005e7b0e5320205d38 #d,-,18,2435,2360,1133,31,0,187829,11645,2435,2363,1134,2435,2360,1126,89,100,0,500,2713;
@400000005e7b0e55202f1af0 #d,-,18,2434,2360,1126,32,0,187525,11626,2435,2362,1134,2434,2360,1124,89,100,0,500,2711;
@400000005e7b0e552037d174 #d,-,18,2434,2360,1128,33,0,187240,11608,2434,2361,1133,2434,2359,1124,89,100,0,500,2713;
@400000005e7b0e572044e0e7 #d,-,18,2433,2361,1123,33,0,186965,11591,2434,2361,1134,2433,2359,1123,89,100,0,500,2708;
@400000005e7b0e57204df1c2 #d,-,18,2433,2360,1133,34,0,186707,11575,2433,2362,1133,2433,2360,1123,89,100,0,500,2711;
@400000005e7b0e59205cb6ed #d,-,18,2432,2360,1128,35,0,186451,11559,2433,2361,1133,2432,2360,1122,89,100,0,500,2708;
@400000005e7b0e5920656156 #d,-,18,2432,2360,1132,35,0,186208,11544,2432,2361,1133,2432,2359,1125,89,100,0,500,2708;
@400000005e7b0e5b2072a402 #d,-,18,2431,2360,1130,36,0,185972,11530,2432,2361,1132,2431,2360,1124,89,100,0,500,2708;
@400000005e7b0e5b207bac7c #d,-,18,2431,2360,1133,37,0,185761,11517,2431,2360,1140,2431,2359,1127,89,100,0,500,2711;
@400000005e7b0e5d20892172 #d,-,18,2433,2360,1136,37,0,185569,11505,2433,2360,1141,2431,2359,1132,89,100,0,500,2727;
@400000005e7b0e5d209202ce #d,-,18,2434,2360,1132,38,0,185371,11493,2434,2360,1137,2433,2359,1129,89,100,0,500,2720;
@400000005e7b0e5f20a04773 #d,-,18,2435,2359,1135,39,0,185186,11481,2435,2360,1137,2434,2359,1130,89,100,0,500,2720;
@400000005e7b0e5f20a944c0 #d,-,18,2435,2359,1134,39,0,185007,11470,2435,2359,1137,2435,2358,1131,89,100,0,500,2718;
@400000005e7b0e6120b61d40 #d,-,18,2436,2361,1133,40,0,184829,11459,2436,2361,1137,2435,2359,1131,89,100,0,500,2720;
@400000005e7b0e6120bec035 #d,-,18,2437,2360,1139,41,0,184663,11449,2437,2361,1139,2436,2360,1131,89,100,0,500,2723;
@400000005e7b0e6320d05bcf #d,-,18,2437,2357,1567,41,0,185290,11488,2437,2361,1757,2437,2356,1133,89,100,0,500,2723;
@400000005e7b0e6320da27dc #d,-,18,3693,2359,1172,42,0,186315,11551,3693,2360,1778,2437,2355,1092,98,100,0,500,3754;
@400000005e7b0e6520ecd8ff #d,-,18,2826,2359,1302,43,0,186725,11577,3693,2359,1400,2826,2357,1172,89,100,0,500,3168;
@400000005e7b0e6520f7d1de #d,-,18,2824,2359,1709,44,0,187083,11599,2826,2361,1709,2824,2359,1162,91,100,0,500,3083;
@400000005e7b0e672107178f #d,-,18,3341,2363,1196,45,0,188147,11665,3341,2363,1791,2824,2359,1196,95,100,0,500,3481;
@400000005e7b0e672110a536 #d,-,18,3192,2362,1324,46,0,188498,11686,3341,2363,1443,3192,2361,1131,92,100,0,500,3453;
@400000005e7b0e692120ece1 #d,-,18,2848,2360,1680,47,0,188492,11686,3192,2363,1680,2848,2360,1179,90,100,0,500,3135;
@400000005e7b0e69212ac062 #d,-,18,3385,2363,1159,48,0,189883,11772,3385,2363,1859,2848,2359,1159,96,100,0,500,3524;
@400000005e7b0e6b213a68cb #d,-,18,3270,2360,1299,48,0,190218,11793,3385,2363,1463,3270,2360,1125,92,100,0,500,3543;
@400000005e7b0e6b21434de1 #d,-,18,2809,2359,1744,49,0,190571,11815,3270,2361,1844,2809,2358,1222,91,100,0,500,3085;
@400000005e7b0e6d215386a5 #d,-,18,3733,2359,1372,50,0,191234,11856,3733,2362,1780,2809,2358,1079,97,100,0,500,3813;
@400000005e7b0e6d215cfc15 #d,-,18,2932,2362,1243,51,0,191771,11889,3733,2362,1482,2932,2359,1243,88,100,0,500,3299;
@400000005e7b0e6f216a65df #d,-,18,2717,2363,1141,52,0,191555,11876,2932,2363,1243,2717,2362,1044,90,100,0,500,3002;
@400000005e7b0e6f21730073 #d,-,18,2403,2362,1130,52,0,191047,11844,2717,2363,1141,2403,2362,1120,89,100,0,500,2680;
@400000005e7b0e71217f745d #d,-,18,2406,2362,1131,53,0,190821,11830,2406,2363,1134,2403,2361,1125,88,100,0,500,2713;
@400000005e7b0e712187c55e #d,-,18,2409,2362,1125,54,0,190596,11816,2409,2363,1132,2406,2361,1124,88,100,0,500,2711;
@400000005e7b0e73219569d4 #d,-,18,2412,2362,1129,54,0,190381,11803,2412,2362,1133,2409,2361,1124,88,100,0,500,2713;
@400000005e7b0e73219de966 #d,-,18,2414,2365,1125,55,0,190167,11790,2414,2365,1132,2412,2362,1124,89,100,0,500,2711;
