@400000005e6744412738312f #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e6744421582c699 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e67446e1d7b6c70 #d,-,18,2746,2344,1179,32,0,197157,12223,2746,2344,1195,2744,2341,1171,98,100,0,500,2797;
@400000005e67446e1d859a47 #d,-,18,2745,2343,1180,32,0,196683,12194,2746,2344,1180,2745,2342,1178,99,100,0,500,2771;
@400000005e6744701d949dd9 #d,-,18,2744,2344,1179,33,0,196672,12193,2745,2345,1180,2744,2343,1178,99,100,0,500,2771;
@400000005e6744701d9f6738 #d,-,18,2795,2341,1462,34,0,197269,12230,2795,2345,1472,2744,2340,1177,99,100,0,500,2797;
@400000005e6744721dafb38b #d,-,18,3423,2341,1396,35,0,198346,12297,3423,2341,1550,2795,2340,1396,100,100,0,500,3423;
@400000005e6744721dba03d8 #d,-,18,3681,2341,1679,36,0,200057,12403,3681,2341,1700,3423,2338,1396,99,100,0,500,3687;
@400000005e6744741dca38e2 #d,-,18,3916,2340,1672,37,0,201726,12507,3916,2342,1687,3681,2340,1672,99,100,0,500,3936;
@400000005e6744741dd4795a #d,-,18,3914,2340,1675,38,0,203307,12605,3916,2341,1675,3914,2340,1671,99,100,0,500,3929;
@400000005e6744761de6cd5b #d,-,18,3912,2342,1682,39,0,204832,12699,3914,2342,1682,3912,2340,1670,99,100,0,500,3926;
@400000005e6744761df14ff2 #d,-,18,3912,2340,1689,41,0,206316,12791,3912,2342,1692,3912,2340,1671,99,100,0,500,3935;
@400000005e6744781e01bb01 #d,-,18,3910,2342,1644,42,0,207659,12874,3912,2342,1689,3910,2339,1644,99,100,0,500,3924;
@400000005e6744781e0cc76e #d,-,18,3815,2342,1620,43,0,209238,12972,3910,2342,1644,3815,2341,1618,99,100,0,500,3844;
@400000005e67447a1e1d7cff #d,-,18,3810,2339,1687,44,0,210044,13022,3815,2342,1688,3810,2338,1619,100,100,0,500,3810;
@400000005e67447a1e2890e0 #d,-,18,3887,2339,1696,45,0,211699,13125,3887,2339,1696,3810,2338,1668,99,100,0,500,3899;
@400000005e67447c1e39de3e #d,-,18,3891,2341,1711,46,0,212587,13180,3891,2342,1711,3887,2338,1679,98,100,0,500,3949;
@400000005e67447c1e44a02a #d,-,18,3955,2342,1682,47,0,213801,13255,3955,2342,1718,3891,2341,1674,99,100,0,500,3977;
@400000005e67447e1e55cecd #d,-,18,3950,2340,1694,48,0,214960,13327,3955,2342,1697,3950,2339,1674,100,100,0,500,3950;
@400000005e67447e1e60a447 #d,-,18,3947,2340,1677,49,0,216074,13396,3950,2341,1694,3947,2339,1674,99,100,0,500,3954;
@400000005e6744801e71b6fa #d,-,18,3943,2341,1665,50,0,217148,13463,3947,2342,1693,3943,2340,1665,100,100,0,500,3943;
@400000005e6744801e7c5de3 #d,-,18,3938,2340,1694,51,0,218158,13525,3943,2341,1694,3938,2340,1663,100,100,0,500,3938;
@400000005e6744821e8d97b3 #d,-,18,3935,2340,1681,52,0,219160,13587,3938,2341,1703,3935,2339,1660,99,100,0,500,3940;
@400000005e6744821e972914 #d,-,18,3930,2339,1641,53,0,220076,13644,3935,2340,1683,3930,2339,1634,100,100,0,500,3930;
@400000005e6744841ea5d6f7 #d,-,18,3860,2339,1674,55,0,220996,13701,3930,2340,1677,3860,2338,1641,99,100,0,500,3885;
@400000005e6744841eb02bec #d,-,18,3864,2339,1662,56,0,221874,13756,3864,2339,1674,3860,2337,1662,98,100,0,500,3913;
