@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e6899a2134dd93d #d,-,18,2425,2378,1123,30,0,185297,11488,2599,2381,1123,2425,2377,1116,89,100,0,501,2713;
@400000005e6899a4135b666b #d,-,18,2425,2379,1120,31,0,184620,11446,2425,2379,1123,2425,2376,1116,89,100,0,501,2706;
@400000005e6899a413643bab #d,-,18,2424,2377,1120,32,0,184794,11457,2425,2379,1125,2424,2377,1117,89,100,0,500,2706;
@400000005e6899a61370a734 #d,-,18,2424,2380,1121,32,0,184157,11417,2424,2381,1123,2424,2376,1117,89,100,0,500,2708;
@400000005e6899a61379d6cb #d,-,18,2424,2379,1119,33,0,183935,11403,2424,2380,1123,2424,2378,1116,89,100,0,500,2706;
@400000005e6899a813873cdb #d,-,18,2423,2379,1123,34,0,183724,11390,2424,2379,1123,2423,2377,1117,89,100,0,500,2706;
@400000005e6899a8138fefa5 #d,-,18,2423,2379,1118,34,0,183516,11378,2423,2379,1125,2423,2378,1117,89,100,0,500,2706;
@400000005e6899aa139e6696 #d,-,18,2423,2377,1121,35,0,183323,11366,2423,2379,1123,2423,2377,1116,89,100,0,500,2706;
@400000005e6899aa13a7c4bd #d,-,18,2422,2377,1198,36,0,183318,11365,2423,2378,1232,2422,2377,1116,89,100,0,500,2706;
@400000005e6899ac13b610d6 #d,-,18,2727,2378,1286,37,0,183698,11389,2727,2379,1310,2422,2376,1196,92,100,0,500,2936;
@400000005e6899ac13bf7760 #d,-,18,2797,2378,1215,37,0,183942,11404,2797,2379,1286,2727,2378,1198,91,100,0,500,3069;
@400000005e6899ae13ce6763 #d,-,18,2677,2377,1219,38,0,183940,11404,2797,2379,1219,2677,2376,1121,91,100,0,500,2941;
@400000005e6899ae13d7b1fc #d,-,18,2585,2379,1267,39,0,184191,11419,2677,2379,1298,2585,2376,1194,90,100,0,500,2848;
@400000005e6899b013e64896 #d,-,18,2834,2379,1154,39,0,184358,11430,2834,2380,1280,2585,2378,1123,92,100,0,500,3064;
@400000005e6899b013ef8449 #d,-,18,2607,2377,1140,40,0,184366,11430,2834,2379,1218,2607,2377,1140,90,100,0,500,2896;
@400000005e6899b213fe6cd8 #d,-,18,2600,2379,1283,41,0,184475,11437,2607,2380,1283,2600,2377,1128,92,100,0,500,2815;
@400000005e6899b21407940d #d,-,18,2769,2378,1235,42,0,184780,11456,2769,2379,1302,2600,2377,1235,91,100,0,500,3012;
@400000005e6899b41415a57a #d,-,18,2695,2380,1173,42,0,184771,11455,2769,2380,1235,2695,2378,1128,90,100,0,500,2964;
@400000005e6899b4141f656c #d,-,18,2539,2379,1194,43,0,184784,11456,2695,2380,1225,2539,2377,1127,89,100,0,500,2825;
@400000005e6899b6142e94c3 #d,-,18,2735,2379,1279,44,0,185068,11474,2735,2380,1296,2539,2378,1193,92,100,0,500,2952;
@400000005e6899b61437c813 #d,-,18,2739,2379,1191,45,0,185132,11478,2739,2380,1279,2735,2378,1122,90,100,0,500,3043;
@400000005e6899b81445e59b #d,-,18,2601,2379,1130,45,0,185075,11474,2739,2379,1214,2601,2377,1123,90,100,0,500,2862;
@400000005e6899b8144f636d #d,-,18,2447,2379,1127,46,0,184920,11465,2601,2380,1130,2447,2379,1123,89,100,0,500,2749;
@400000005e6899ba145e5370 #d,-,18,2445,2377,1125,47,0,184767,11455,2447,2379,1129,2445,2377,1123,89,100,0,500,2718;
@400000005e6899ba1467b552 #d,-,18,2444,2378,1126,47,0,184618,11446,2445,2379,1128,2444,2377,1121,89,100,0,500,2720;
@400000005e6899bc14771e67 #d,-,18,2443,2379,1123,48,0,184472,11437,2444,2379,1127,2443,2378,1122,89,100,0,500,2720;
@400000005e6899bc1480afc8 #d,-,18,2442,2378,1125,49,0,184600,11445,2443,2379,1128,2442,2378,1121,89,100,0,500,2718;
@400000005e6899be148f3a47 #d,-,18,2441,2375,1123,49,0,184196,11420,2442,2378,1129,2441,2375,1120,89,100,0,500,2718;
@400000005e6899be1498ef0b #d,-,18,2440,2378,1125,50,0,184066,11412,2441,2378,1128,2440,2375,1123,89,100,0,500,2718;
@400000005e6899c014a769b5 #d,-,18,2440,2378,1126,51,0,183935,11403,2440,2378,1128,2440,2378,1123,89,100,0,500,2718;
@400000005e6899c014b0a568 #d,-,18,2439,2376,1230,51,0,183900,11401,2440,2378,1233,2439,2376,1123,89,100,0,500,2718;
@400000005e6899c214bf2874 #d,-,18,2645,2376,1284,52,0,184131,11416,2645,2379,1314,2439,2376,1200,91,100,0,500,2877;
@400000005e6899c214c8f481 #d,-,18,2864,2375,1242,53,0,184351,11429,2864,2376,1295,2645,2374,1240,92,100,0,500,3107;
@400000005e6899c414d7fbcc #d,-,18,2705,2374,1167,54,0,184350,11429,2864,2376,1242,2705,2373,1126,90,100,0,500,2974;
@400000005e6899c414e14ec7 #d,-,18,2591,2374,1284,55,0,184532,11441,2705,2374,1309,2591,2372,1167,90,100,0,500,2851;
@400000005e6899c614ef927e #d,-,18,2828,2373,1120,55,0,184679,11450,2828,2374,1287,2591,2373,1120,92,100,0,500,3052;
@400000005e6899c614f89384 #d,-,18,2649,2376,1160,56,0,184704,11451,2828,2376,1226,2649,2373,1120,90,100,0,500,2931;
@400000005e6899c8150721bd #d,-,18,2555,2376,1253,57,0,184761,11455,2649,2377,1253,2555,2375,1133,90,100,0,500,2817;
@400000005e6899c815107c2b #d,-,18,2779,2374,1270,58,0,185234,11484,2779,2376,1304,2555,2374,1253,92,100,0,500,3014;
