@400000005e6899751cf51a25 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e6899760b444a9d #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e689a341a288fec #d,-,18,2836,2372,1202,135,0,184773,11455,2836,2372,1283,2609,2370,1123,92,100,0,500,3073;
@400000005e689a361a37946b #d,-,18,2587,2372,1128,136,0,184763,11455,2836,2372,1216,2587,2371,1128,90,100,0,500,2870;
@400000005e689a361a40e2be #d,-,18,2584,2370,1300,137,0,184808,11458,2587,2372,1300,2584,2369,1128,91,100,0,500,2820;
@400000005e689a381a501127 #d,-,18,2779,2372,1179,137,0,184887,11463,2779,2372,1301,2584,2369,1179,92,100,0,500,3012;
@400000005e689a381a5940be #d,-,18,2681,2373,1178,138,0,184895,11463,2779,2373,1230,2681,2372,1114,91,100,0,500,2945;
@400000005e689a3a1a67891d #d,-,18,2535,2373,1132,139,0,184845,11460,2681,2374,1178,2535,2372,1122,89,100,0,500,2827;
@400000005e689a3a1a70ff7c #d,-,18,2633,2371,1290,140,0,184947,11466,2633,2373,1330,2535,2371,1132,92,100,0,500,2855;
@400000005e689a3c1a7fc0ee #d,-,18,2771,2369,1189,140,0,184969,11468,2771,2371,1290,2633,2369,1107,90,100,0,500,3054;
@400000005e689a3c1a88cd21 #d,-,18,2619,2370,1064,141,0,184946,11466,2771,2370,1225,2619,2368,1064,91,100,0,500,2865;
@400000005e689a3e1a962715 #d,-,18,2308,2369,1117,142,0,184848,11460,2619,2371,1143,2308,2369,1009,87,100,0,500,2635;
@400000005e689a3e1a9f3baa #d,-,18,2417,2371,1122,142,0,184795,11457,2417,2371,1127,2308,2369,1114,90,100,0,500,2682;
@400000005e689a401aacc42f #d,-,18,2418,2370,1121,143,0,184833,11459,2418,2371,1127,2417,2369,1120,89,100,0,500,2706;
@400000005e689a401ab58a88 #d,-,18,2418,2370,1120,144,0,184688,11450,2418,2370,1125,2418,2369,1119,89,100,0,500,2706;
@400000005e689a421ac2b4fd #d,-,18,2419,2369,1121,144,0,184725,11452,2419,2370,1123,2418,2368,1119,89,100,0,500,2701;
@400000005e689a421acbd105 #d,-,18,2419,2368,1121,145,0,184671,11449,2419,2369,1124,2419,2368,1118,89,100,0,500,2701;
@400000005e689a441ad8d905 #d,-,18,2419,2368,1119,146,0,184618,11446,2419,2369,1125,2419,2368,1117,89,100,0,500,2699;
@400000005e689a441ae1a6d2 #d,-,18,2420,2368,1120,146,0,184475,11437,2420,2369,1125,2419,2367,1118,89,100,0,500,2704;
@400000005e689a461af02624 #d,-,18,2419,2368,1157,147,0,184517,11440,2420,2369,1157,2419,2368,1118,89,100,0,500,2701;
@400000005e689a461af9a03c #d,-,18,2551,2370,1286,148,0,184496,11438,2551,2370,1314,2419,2368,1157,91,100,0,500,2801;
@400000005e689a481b08ab41 #d,-,18,2834,2370,1196,148,0,184650,11448,2834,2370,1292,2551,2369,1171,92,100,0,500,3054;
@400000005e689a481b115a52 #d,-,18,2709,2369,1144,149,0,184575,11443,2834,2370,1267,2709,2369,1144,90,100,0,500,2983;
@400000005e689a4a1b1ecb8f #d,-,18,2541,2366,1254,150,0,184596,11444,2709,2369,1254,2541,2366,1137,90,100,0,500,2803;
@400000005e689a4a1b28548e #d,-,18,2759,2368,1258,151,0,184771,11455,2759,2368,1301,2541,2366,1254,92,100,0,500,2995;
@400000005e689a4c1b37590e #d,-,18,2752,2369,1174,151,0,184777,11456,2759,2369,1258,2752,2367,1132,92,100,0,500,2986;
@400000005e689a4c1b40ce7e #d,-,18,2573,2368,1216,152,0,184690,11450,2752,2369,1229,2573,2368,1128,90,100,0,500,2841;
@400000005e689a4e1b4f6518 #d,-,18,2661,2369,1278,153,0,184849,11460,2661,2370,1302,2573,2367,1197,92,100,0,500,2881;
@400000005e689a4e1b591d97 #d,-,18,2826,2369,1211,154,0,184794,11457,2826,2371,1283,2661,2367,1114,91,100,0,500,3076;
@400000005e689a501b67b343 #d,-,18,2585,2368,1177,154,0,184785,11456,2826,2370,1212,2585,2368,1126,90,100,0,500,2853;
@400000005e689a501b70eb3c #d,-,18,2583,2370,1272,155,0,184842,11460,2585,2371,1295,2583,2368,1177,91,100,0,500,2834;
@400000005e689a521b800d89 #d,-,18,2820,2370,1122,156,0,184895,11463,2820,2371,1283,2583,2368,1122,92,100,0,500,3045;
@400000005e689a521b895557 #d,-,18,2647,2370,1153,157,0,184903,11464,2820,2370,1223,2647,2368,1117,90,100,0,500,2922;
@400000005e689a541b967858 #d,-,18,2521,2369,1121,157,0,184857,11461,2647,2371,1153,2521,2368,1118,89,100,0,500,2808;
@400000005e689a541b9fbf38 #d,-,18,2423,2369,1122,158,0,184807,11458,2521,2369,1127,2423,2368,1118,89,100,0,500,2706;
@400000005e689a561bad6b21 #d,-,18,2422,2369,1124,159,0,184758,11454,2423,2370,1125,2422,2368,1118,89,100,0,500,2699;
@400000005e689a561bb601fb #d,-,18,2422,2367,1122,159,0,184709,11451,2422,2369,1124,2422,2367,1120,89,100,0,500,2704;
@400000005e689a581bc2cb94 #d,-,18,2422,2368,1122,160,0,184659,11448,2422,2368,1125,2422,2367,1119,89,100,0,500,2701;
@400000005e689a581bcbb90b #d,-,18,2422,2366,1122,161,0,184612,11445,2422,2368,1124,2422,2366,1121,89,100,0,500,2701;
@400000005e689a5a1bd9032a #d,-,18,2422,2366,1122,161,1,184564,11442,2422,2366,1126,2422,2365,1121,89,100,0,500,2701;
@400000005e689a5a1be2526c #d,-,18,2422,2364,1124,162,1,184518,11440,2422,2367,1128,2422,2364,1119,89,100,0,500,2704;
@400000005e689a5c1bf06b4c #d,-,18,2422,2366,1124,163,1,184470,11437,2422,2366,1125,2422,2364,1119,89,100,0,500,2701;
@400000005e689a5c1bf9ce1c #d,-,18,2491,2363,1285,163,1,184497,11438,2491,2366,1285,2422,2363,1121,91,100,0,500,2737;
@400000005e689a5e1c08ae49 #d,-,18,2779,2363,1259,164,1,184661,11449,2779,2364,1314,2491,2363,1259,92,100,0,500,3012;
@400000005e689a5e1c11f9d1 #d,-,18,2778,2365,1195,165,1,184695,11451,2779,2365,1276,2778,2363,1183,92,100,0,500,3014;
@400000005e689a601c20f500 #d,-,18,2605,2364,1203,166,1,184622,11446,2778,2366,1226,2605,2364,1142,90,100,0,500,2891;
@400000005e689a601c2a62fd #d,-,18,2711,2366,1280,166,1,184773,11455,2711,2366,1300,2605,2363,1198,92,100,0,500,2924;
@400000005e689a621c38e9c3 #d,-,18,2803,2363,1208,167,1,184721,11452,2803,2366,1281,2711,2362,1128,91,100,0,500,3059;
@400000005e689a621c42195a #d,-,18,2567,2365,1201,168,1,184711,11452,2803,2365,1208,2567,2362,1136,90,100,0,500,2841;
@400000005e689a641c5094f2 #d,-,18,2569,2361,1270,169,1,184770,11455,2569,2365,1308,2567,2361,1201,90,100,0,500,2843;
@400000005e689a641c5a6fe6 #d,-,18,2842,2364,1184,169,1,184808,11458,2842,2364,1289,2569,2360,1123,92,100,0,500,3059;
@400000005e689a661c686dc4 #d,-,18,2617,2365,1137,170,1,184818,11458,2842,2366,1228,2617,2364,1137,90,100,0,500,2893;
@400000005e689a661c720786 #d,-,18,2615,2366,1304,171,1,184855,11461,2617,2366,1304,2615,2364,1132,91,100,0,500,2853;
@400000005e689a681c8085ea #d,-,18,2783,2367,1247,172,1,184926,11465,2783,2367,1304,2615,2366,1247,92,100,0,500,3016;
@400000005e689a681c89ec74 #d,-,18,2687,2366,1219,172,1,184932,11465,2783,2368,1247,2687,2366,1125,90,100,0,500,2955;
@400000005e689a6a1c98969d #d,-,18,2579,2366,1138,173,1,184893,11463,2687,2367,1219,2579,2365,1077,90,100,0,500,2862;
@400000005e689a6a1ca24a73 #d,-,18,2415,2367,1127,174,1,184851,11460,2579,2368,1138,2415,2366,1122,89,100,0,500,2694;
@400000005e689a6c1cb15a20 #d,-,18,2417,2368,1126,174,1,184810,11458,2417,2368,1129,2415,2367,1125,89,100,0,500,2713;
@400000005e689a6c1cbab48e #d,-,18,2419,2368,1125,175,1,184844,11460,2419,2368,1129,2417,2367,1124,89,100,0,500,2713;
@400000005e689a6e1cc96e8d #d,-,18,2421,2369,1127,176,1,184728,11453,2421,2369,1130,2419,2368,1125,89,100,0,500,2713;
@400000005e689a6e1cd3559c #d,-,18,2423,2370,1127,176,1,184763,11455,2423,2370,1131,2421,2369,1126,89,100,0,500,2715;
@400000005e689a701ce2c624 #d,-,18,2425,2371,1128,177,1,184649,11448,2425,2371,1130,2423,2370,1126,89,100,0,500,2718;
@400000005e689a701cec094a #d,-,18,2427,2371,1129,178,1,184611,11445,2427,2372,1131,2425,2371,1123,89,100,0,500,2715;
@400000005e689a721cfa6538 #d,-,18,2428,2371,1129,178,1,184646,11448,2428,2372,1133,2427,2371,1123,89,100,0,500,2715;
@400000005e689a721d03e6c4 #d,-,18,2431,2372,1211,179,1,184652,11448,2431,2372,1236,2428,2371,1125,89,100,0,500,2723;
@400000005e689a741d1269d0 #d,-,18,2779,2369,1291,180,1,184737,11453,2779,2372,1318,2431,2369,1211,92,100,0,500,2998;
@400000005e689a741d1bf2cf #d,-,18,2784,2369,1204,181,1,184710,11452,2784,2370,1291,2779,2369,1204,90,100,0,500,3069;
@400000005e689a761d2b396e #d,-,18,2651,2369,1226,181,1,184792,11457,2784,2370,1229,2651,2368,1161,90,100,0,500,2924;
@400000005e689a761d349b50 #d,-,18,2653,2371,1277,182,1,184853,11460,2653,2371,1306,2651,2369,1207,91,100,0,500,2898;
@400000005e689a781d432a77 #d,-,18,2844,2372,1228,183,1,184811,11458,2844,2372,1288,2653,2369,1109,92,100,0,500,3088;
@400000005e689a781d4cc705 #d,-,18,2573,2372,1144,184,1,184803,11457,2844,2372,1228,2573,2371,1133,90,100,0,500,2853;
@400000005e689a7a1d5a9a0c #d,-,18,2575,2371,1300,184,1,184853,11460,2575,2373,1310,2573,2370,1144,90,100,0,500,2848;
@400000005e689a7a1d63e0eb #d,-,18,2820,2374,1128,185,1,184898,11463,2820,2374,1300,2575,2371,1126,92,100,0,500,3043;
@400000005e689a7c1d72603d #d,-,18,2653,2374,1166,186,1,184911,11464,2820,2374,1224,2653,2372,1128,90,100,0,500,2936;
@400000005e689a7c1d7c2c4a #d,-,18,2597,2372,1282,187,1,184934,11465,2653,2374,1282,2597,2372,1142,91,100,0,500,2848;
@400000005e689a7e1d8b374f #d,-,18,2781,2372,1255,187,1,185006,11470,2781,2372,1304,2597,2371,1255,92,100,0,500,3016;
@400000005e689a7e1d947e2f #d,-,18,2703,2373,1213,188,1,185013,11470,2781,2373,1255,2703,2371,1123,90,100,0,500,2974;
@400000005e689a801da25d51 #d,-,18,2607,2373,1128,189,1,184988,11469,2703,2374,1213,2607,2372,1124,90,100,0,500,2879;
@400000005e689a801daafc8d #d,-,18,2435,2373,1124,190,1,184950,11466,2607,2374,1128,2435,2371,1124,89,100,0,500,2718;
@400000005e689a821db9bdfe #d,-,18,2435,2373,1131,190,1,184912,11464,2435,2373,1131,2435,2372,1124,89,100,0,500,2720;
@400000005e689a821dc33728 #d,-,18,2435,2372,1126,191,1,184875,11462,2435,2374,1131,2435,2372,1126,89,100,0,500,2720;
@400000005e689a841dd28d9d #d,-,18,2436,2373,1129,192,1,184908,11464,2436,2373,1132,2435,2371,1125,89,100,0,500,2720;
@400000005e689a841ddbdbf0 #d,-,18,2436,2370,1128,192,1,184872,11462,2436,2373,1129,2436,2370,1125,89,100,0,500,2723;
@400000005e689a861deb2a03 #d,-,18,2437,2372,1123,193,1,184836,11459,2437,2372,1131,2436,2370,1123,89,100,0,500,2720;
@400000005e689a861df47944 #d,-,18,2437,2374,1130,194,1,184733,11453,2437,2374,1131,2437,2372,1123,89,100,0,500,2720;
@400000005e689a881e02a1f9 #d,-,18,2438,2373,1126,194,1,184698,11451,2438,2374,1131,2437,2372,1123,89,100,0,500,2720;
@400000005e689a881e0bec92 #d,-,18,2439,2374,1207,195,1,184700,11451,2439,2374,1238,2438,2372,1124,89,100,0,500,2723;
@400000005e689a8a1e1a5c0f #d,-,18,2767,2372,1290,196,1,184777,11456,2767,2374,1313,2439,2372,1207,92,100,0,500,2983;
@400000005e689a8a1e247a11 #d,-,18,2771,2373,1204,197,1,184818,11458,2771,2373,1290,2767,2372,1204,90,100,0,500,3066;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
