@400000005e33da4336d1f362 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e33da442530c889 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33da702d6f7833 #d,-,18,2439,2359,1131,28,0,175455,10878,2439,2361,1135,2439,2358,1129,89,100,0,500,2715;
@400000005e33da702d7cce6d #d,-,18,2902,2356,1669,29,0,177200,10986,2902,2359,1723,2439,2355,1130,95,100,0,500,3031;
@400000005e33da722d8e5eda #d,-,18,3314,2357,1398,30,0,178156,11045,3314,2359,1669,2902,2356,1276,92,100,0,500,3590;
@400000005e33da722d98ba54 #d,-,18,3443,2355,1909,31,0,181170,11232,3443,2357,2273,3314,2355,1398,96,100,0,500,3559;
@400000005e33da742daa0c5b #d,-,18,4617,2355,2003,32,0,184352,11429,4617,2355,2127,3443,2354,1835,97,100,0,500,4732;
@400000005e33da742db56e77 #d,-,18,4555,2356,1876,34,0,187084,11599,4617,2356,2007,4555,2353,1819,96,100,0,500,4711;
@400000005e33da762dc55458 #d,-,18,4405,2355,1896,35,0,189737,11763,4555,2356,1955,4405,2353,1876,96,100,0,500,4567;
@400000005e33da762dcee972 #d,-,18,4403,2357,1898,36,0,192288,11921,4405,2357,1947,4403,2354,1877,96,100,0,500,4550;
@400000005e33da782dde5ae9 #d,-,18,4404,2355,1908,37,0,194758,12075,4404,2358,1953,4403,2355,1890,96,100,0,500,4557;
@400000005e33da782de7f3bd #d,-,18,4406,2356,1910,39,0,197516,12246,4406,2358,1947,4404,2355,1891,96,100,0,500,4567;
@400000005e33da7a2df75dc1 #d,-,18,4407,2355,1927,40,0,199808,12388,4407,2357,1945,4406,2355,1895,96,100,0,500,4567;
@400000005e33da7a2e01066a #d,-,18,4409,2355,1939,41,0,201644,12501,4409,2357,1944,4407,2355,1896,96,100,0,500,4569;
@400000005e33da7c2e0ff66d #d,-,18,4411,2356,1940,42,0,203791,12635,4411,2357,1944,4409,2355,1905,96,100,0,500,4578;
@400000005e33da7c2e19b65f #d,-,18,4415,2356,1945,43,0,205865,12763,4415,2358,1945,4411,2356,1912,96,100,0,500,4585;
@400000005e33da7e2e29cf79 #d,-,18,4417,2356,1931,45,0,207870,12887,4417,2357,1946,4415,2355,1921,96,100,0,500,4590;
@400000005e33da7e2e3387f7 #d,-,18,4421,2357,1928,46,0,209801,13007,4421,2357,1940,4417,2355,1913,96,100,0,500,4590;
@400000005e33da802e435a4a #d,-,18,4423,2357,1919,47,0,211664,13123,4423,2357,1934,4421,2354,1912,96,100,0,500,4588;
@400000005e33da802e4c5f09 #d,-,18,4425,2357,1921,48,0,213468,13235,4425,2358,1939,4423,2355,1916,96,100,0,500,4588;
@400000005e33da822e5cd634 #d,-,18,4426,2357,1929,50,0,215213,13343,4426,2358,1937,4425,2355,1918,96,100,0,500,4585;
@400000005e33da822e6657c0 #d,-,18,4428,2357,1929,51,0,216913,13448,4428,2357,1937,4426,2355,1923,96,100,0,500,4590;
@400000005e33da842e77dfcb #d,-,18,4432,2357,1927,52,0,218561,13550,4432,2358,1937,4428,2355,1920,96,100,0,500,4602;
@400000005e33da842e81af92 #d,-,18,4434,2357,1920,53,0,220500,13671,4434,2358,1939,4432,2355,1918,96,100,0,500,4600;
@400000005e33da862e941e95 #d,-,18,4436,2357,1928,55,0,221706,13745,4436,2358,1940,4434,2356,1920,96,100,0,500,4600;
@400000005e33da862e9eebad #d,-,18,4438,2356,1933,56,0,223221,13839,4438,2358,1942,4436,2356,1921,96,100,0,500,4604;
@400000005e33da882eb23d00 #d,-,18,4442,2357,1928,57,0,224696,13931,4442,2358,1948,4438,2356,1928,96,100,0,500,4619;
@400000005e33da882ebd2609 #d,-,18,4446,2357,1940,58,0,226128,14019,4446,2358,1949,4442,2355,1925,96,100,0,500,4619;
@400000005e33da8a2ed02921 #d,-,18,4448,2355,1938,60,0,227514,14105,4448,2358,1948,4446,2355,1925,96,100,0,500,4616;
@400000005e33da8a2edbaea0 #d,-,18,4451,2356,1949,61,0,228872,14190,4451,2357,1959,4448,2353,1921,96,100,0,500,4616;
@400000005e33da8c2eebfa05 #d,-,18,4454,2357,1939,62,0,230186,14271,4454,2359,1955,4451,2356,1924,96,100,0,500,4630;
@400000005e33da8c2ef53971 #d,-,18,4456,2357,1936,63,0,231465,14350,4456,2358,1960,4454,2356,1923,96,100,0,500,4628;
@400000005e33da8e2f05528c #d,-,18,4459,2356,1939,65,0,233030,14447,4459,2358,1958,4456,2356,1927,96,100,0,500,4628;
@400000005e33da8e2f0e7aaf #d,-,18,4461,2355,1935,66,0,234237,14522,4461,2358,1957,4459,2355,1924,96,100,0,500,4626;
@400000005e33da902f1e0ae2 #d,-,18,4463,2356,1953,67,0,235105,14576,4463,2358,1963,4461,2355,1927,96,100,0,500,4628;
@400000005e33da902f2736bf #d,-,18,4467,2356,1959,68,0,236266,14648,4467,2358,1967,4463,2356,1927,96,100,0,500,4638;
@400000005e33da922f379e14 #d,-,18,4470,2356,1965,70,0,237392,14718,4470,2358,1967,4467,2356,1930,96,100,0,500,4640;
@400000005e33da922f4161c0 #d,-,18,4472,2356,1964,71,0,238486,14786,4472,2358,1965,4470,2355,1931,96,100,0,500,4635;
@400000005e33da942f525970 #d,-,18,4473,2358,1956,72,0,239554,14852,4473,2358,1966,4472,2355,1930,96,100,0,500,4638;
@400000005e33da942f5b9522 #d,-,18,4474,2357,1954,73,0,240594,14916,4474,2358,1960,4473,2355,1930,96,100,0,500,4635;
@400000005e33da962f6c610d #d,-,18,4476,2357,1931,74,0,241604,14979,4476,2358,1964,4474,2356,1929,96,100,0,500,4638;
@400000005e33da962f769b00 #d,-,18,4477,2355,1934,76,0,242597,15041,4477,2357,1970,4476,2355,1931,96,100,0,500,4635;
@400000005e33da982f87966a #d,-,18,4478,2357,1931,77,0,243563,15100,4478,2358,1971,4477,2355,1931,96,100,0,500,4638;
@400000005e33da982f914686 #d,-,18,4479,2355,1939,78,0,244509,15159,4479,2357,1969,4478,2355,1931,96,100,0,500,4638;
@400000005e33da9a2fa2bfab #d,-,18,4480,2356,1954,79,0,245437,15217,4480,2356,1966,4479,2355,1927,96,100,0,500,4635;
@400000005e33da9a2fac4c63 #d,-,18,4482,2356,1952,81,0,246636,15291,4482,2356,1976,4480,2353,1935,96,100,0,500,4645;
@400000005e33da9c2fbe03ee #d,-,18,4485,2356,1953,82,0,247238,15328,4485,2357,1976,4482,2354,1939,96,100,0,500,4649;
@400000005e33da9c2fc7dfd0 #d,-,18,4486,2356,1943,83,0,248107,15382,4486,2356,1976,4485,2354,1939,96,100,0,500,4642;
@400000005e33da9e2fd38f39 #d,-,18,4487,2356,1947,84,0,248957,15435,4487,2356,1975,4486,2353,1936,96,100,0,500,4647;
@400000005e33da9e2fd91d5a #d,-,18,4488,2356,1945,86,0,250066,15504,4488,2356,1976,4487,2354,1933,96,100,0,500,4645;
