@400000005e33da4336d1f362 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e33da442530c889 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e33daf8347c14e6 #d,-,18,4520,2357,1959,198,1,287293,17812,4520,2358,1966,4520,2355,1953,96,100,0,500,4671;
@400000005e33dafa348d2b52 #d,-,18,4520,2357,1963,200,1,287659,17834,4520,2357,1963,4520,2355,1954,96,100,0,500,4668;
@400000005e33dafa34980575 #d,-,18,4520,2359,1958,201,1,287863,17847,4520,2359,1964,4520,2355,1953,96,100,0,500,4668;
@400000005e33dafc34a8f10a #d,-,18,4520,2359,1957,202,1,287908,17850,4520,2360,1963,4520,2358,1955,96,100,0,500,4671;
@400000005e33dafc34b3598d #d,-,18,4520,2360,1957,203,1,288109,17862,4520,2360,1962,4520,2357,1952,96,100,0,500,4668;
@400000005e33dafe34c3d383 #d,-,18,4520,2361,1954,205,1,288308,17875,4520,2361,1961,4520,2358,1954,96,100,0,500,4668;
@400000005e33dafe34ceff9a #d,-,18,4519,2360,1960,206,1,288505,17887,4520,2361,1960,4519,2358,1952,96,100,0,500,4668;
@400000005e33db0034dfa0ae #d,-,18,4519,2358,1953,207,1,288697,17899,4519,2360,1961,4519,2357,1953,96,100,0,500,4668;
@400000005e33db0034e9f1e9 #d,-,18,4519,2359,1957,208,1,288890,17911,4519,2360,1960,4519,2357,1953,96,100,0,500,4666;
@400000005e33db0234fa41f6 #d,-,18,4519,2358,1955,210,1,289081,17923,4519,2359,1960,4519,2357,1953,96,100,0,500,4668;
@400000005e33db023503f986 #d,-,18,4519,2360,1954,211,1,289268,17934,4519,2360,1960,4519,2356,1954,96,100,0,499,4666;
@400000005e33db043513762a #d,-,18,4519,2361,1957,212,1,289606,17955,4519,2362,1960,4519,2358,1951,96,100,0,499,4666;
@400000005e33db04351d1760 #d,-,18,4519,2359,1956,213,1,289638,17957,4519,2361,1960,4519,2359,1948,96,100,0,499,4668;
@400000005e33db063529211f #d,-,18,4518,2360,1947,215,1,289804,17967,4519,2362,1981,4518,2359,1872,96,100,0,500,4666;
@400000005e33db0635320adc #d,-,18,4385,2361,1979,216,1,289967,17977,4518,2361,2021,4385,2358,1832,96,100,0,500,4538;
@400000005e33db083541d975 #d,-,18,4581,2363,1844,217,1,290089,17985,4581,2363,2029,4385,2358,1809,96,100,0,500,4737;
@400000005e33db083548cb5a #d,-,18,4206,2363,1516,218,1,290092,17985,4581,2363,1856,4206,2360,1516,95,100,0,500,4382;
@400000005e33db0a3558110b #d,-,18,3922,2363,1093,219,1,289915,17974,4206,2363,1815,3922,2359,1093,95,100,0,500,4114;
@400000005e33db0a3560e292 #d,-,18,2924,2362,1200,220,1,289390,17942,3922,2365,1270,2924,2362,1022,88,100,0,500,3291;
@400000005e33db0c357030a5 #d,-,18,2589,2362,1190,221,1,288871,17910,2924,2364,1200,2589,2361,1186,90,100,0,500,2858;
@400000005e33db0c3579f8f8 #d,-,18,2590,2362,1089,221,1,288310,17875,2590,2365,1197,2589,2361,1049,90,100,0,500,2862;
@400000005e33db0e358a09b1 #d,-,18,2399,2363,1173,222,1,287769,17841,2590,2364,1198,2399,2361,1089,89,100,0,500,2682;
@400000005e33db0e359306fd #d,-,18,2545,2363,1166,223,1,287245,17809,2545,2364,1177,2399,2361,1165,90,100,0,500,2817;
@400000005e33db1035a1f700 #d,-,18,2543,2362,1166,223,1,286723,17776,2545,2363,1166,2543,2359,1162,90,100,0,500,2801;
@400000005e33db1035ab3ddf #d,-,18,2541,2361,1161,224,1,286205,17744,2543,2363,1169,2541,2360,1159,90,100,0,500,2796;
@400000005e33db1235ba1efb #d,-,18,2538,2362,1159,225,1,285688,17712,2541,2364,1162,2538,2361,1156,91,100,0,500,2789;
@400000005e33db1235c2f43b #d,-,18,2536,2363,1158,225,1,285178,17681,2538,2365,1163,2536,2362,1158,90,100,0,500,2787;
@400000005e33db1435d29ca5 #d,-,18,2534,2363,1152,226,1,284671,17649,2536,2365,1162,2534,2363,1152,90,100,0,500,2789;
@400000005e33db1435dbac92 #d,-,18,2530,2365,1153,227,1,284164,17618,2534,2366,1157,2530,2362,1148,91,100,0,500,2775;
@400000005e33db1635eacfcd #d,-,18,2527,2366,1151,228,1,283662,17587,2530,2366,1157,2527,2363,1149,90,100,0,500,2777;
@400000005e33db1635f3fabc #d,-,18,2523,2365,1149,228,1,283163,17556,2527,2367,1153,2523,2364,1146,91,100,0,500,2765;
@400000005e33db183603837c #d,-,18,2520,2366,1151,229,1,282669,17525,2523,2367,1153,2520,2364,1148,91,100,0,500,2768;
@400000005e33db18360cb6cc #d,-,18,2517,2367,1147,230,1,282178,17495,2520,2367,1152,2517,2365,1142,90,100,0,500,2768;
@400000005e33db1a361c4f61 #d,-,18,2513,2365,1144,230,1,281821,17472,2517,2367,1147,2513,2364,1142,91,100,0,500,2758;
@400000005e33db1a36258ecd #d,-,18,2509,2367,1147,231,1,281337,17442,2513,2367,1149,2509,2365,1143,90,100,0,500,2758;
@400000005e33db1c3634f06e #d,-,18,2506,2367,1142,232,1,280725,17404,2509,2367,1148,2506,2364,1140,90,100,0,500,2758;
@400000005e33db1c363e8943 #d,-,18,2503,2366,1142,232,1,280247,17375,2506,2368,1146,2503,2365,1138,90,100,0,500,2751;
@400000005e33db1e364e3477 #d,-,18,2500,2364,1146,233,1,279775,17346,2503,2366,1150,2500,2364,1140,90,100,0,500,2753;
@400000005e33db1e3657ae90 #d,-,18,2497,2364,1145,234,1,279308,17317,2500,2366,1149,2497,2363,1142,90,100,0,500,2756;
@400000005e33db20366723c0 #d,-,18,2496,2365,1147,234,1,278844,17288,2497,2365,1149,2496,2363,1141,90,100,0,500,2756;
@400000005e33db203670c4f6 #d,-,18,2493,2365,1140,235,1,278381,17259,2496,2365,1147,2493,2363,1136,90,100,0,500,2751;
@400000005e33db2236803de1 #d,-,18,2490,2363,1143,236,1,278049,17239,2493,2365,1145,2490,2362,1138,90,100,0,500,2744;
@400000005e33db223689d2fb #d,-,18,2488,2364,1144,236,1,277468,17203,2490,2365,1146,2488,2362,1138,90,100,0,500,2744;
@400000005e33db2436997e30 #d,-,18,2486,2365,1141,237,1,277018,17175,2488,2365,1147,2486,2362,1139,90,100,0,500,2746;
@400000005e33db2436a2e4ba #d,-,18,2484,2364,1142,238,1,276572,17147,2486,2365,1145,2484,2364,1137,90,100,0,500,2744;
@400000005e33db2636b21f3e #d,-,18,2482,2365,1137,239,1,276129,17120,2484,2365,1148,2482,2363,1137,90,100,0,500,2746;
@400000005e33db2636bbcba1 #d,-,18,2480,2363,1140,239,1,275689,17092,2482,2365,1142,2480,2362,1133,90,100,0,500,2744;
@400000005e33db2836cb5460 #d,-,18,2477,2364,1136,240,1,275249,17065,2480,2365,1140,2477,2363,1132,90,100,0,500,2732;
@400000005e33db2836d46806 #d,-,18,2475,2367,1138,241,1,274815,17038,2477,2367,1141,2475,2363,1135,90,100,0,500,2737;
@400000005e33db2a36e3f47f #d,-,18,2473,2367,1137,241,1,274385,17011,2475,2367,1140,2473,2364,1133,90,100,0,500,2737;
@400000005e33db2a36ed055b #d,-,18,2471,2366,1137,242,1,273957,16985,2473,2367,1139,2471,2365,1132,90,100,0,500,2737;
@400000005e33db2c36fc105f #d,-,18,2469,2365,1136,243,1,273532,16959,2471,2367,1137,2469,2364,1131,90,100,0,500,2732;
@400000005e33db2c3704fdd7 #d,-,18,2466,2363,1132,243,1,273110,16932,2469,2367,1136,2466,2363,1132,90,100,0,500,2732;
@400000005e33db2e371491c3 #d,-,18,2464,2365,1136,244,1,272692,16906,2466,2366,1138,2464,2363,1131,90,100,0,500,2727;
@400000005e33db2e371db273 #d,-,18,2463,2366,1133,245,1,272394,16888,2464,2366,1136,2463,2363,1130,90,100,0,500,2730;
@400000005e33db30372cd87a #d,-,18,2461,2363,1135,245,1,271864,16855,2463,2366,1136,2461,2363,1128,90,100,0,500,2723;
@400000005e33db3037363f04 #d,-,18,2459,2364,1133,246,1,271455,16830,2461,2366,1135,2459,2363,1129,90,100,0,500,2725;
@400000005e33db323745a819 #d,-,18,2457,2364,1132,247,1,271049,16805,2459,2366,1136,2457,2363,1130,90,100,0,500,2725;
@400000005e33db32374e8a63 #d,-,18,2456,2366,1135,247,1,270647,16780,2457,2366,1140,2456,2363,1129,90,100,0,500,2727;
@400000005e33db34375e034d #d,-,18,2455,2367,1130,248,1,270248,16755,2456,2367,1135,2455,2364,1129,90,100,0,500,2725;
@400000005e33db34376726c9 #d,-,18,2454,2366,1135,249,1,269854,16730,2455,2367,1135,2454,2364,1130,90,100,0,500,2725;
@400000005e33db3637767122 #d,-,18,2453,2363,1134,249,1,269463,16706,2454,2366,1137,2453,2363,1131,89,100,0,500,2727;
@400000005e33db36377f4ec4 #d,-,18,2453,2364,1136,250,1,269076,16682,2453,2365,1137,2453,2363,1132,89,100,0,500,2732;
@400000005e33db38378ef285 #d,-,18,2453,2364,1137,251,1,268693,16658,2453,2365,1137,2453,2363,1131,89,100,0,500,2730;
@400000005e33db383797bc99 #d,-,18,2453,2363,1131,251,1,268312,16635,2453,2365,1137,2453,2362,1131,89,100,0,500,2730;
@400000005e33db3a37b4ec99 #d,-,18,2453,2363,1134,252,1,267936,16612,2453,2364,1137,2453,2362,1131,89,100,0,500,2730;
@400000005e33db3a37cc1a0e #d,-,18,2455,2360,1493,253,1,267854,16606,2455,2363,1708,2453,2359,1132,89,100,0,500,2730;
@400000005e33db3c37df21cd #d,-,18,3593,2362,1411,254,1,267612,16591,3593,2364,1659,2455,2359,1272,96,100,0,500,3718;
@400000005e33db3c37e8c6bd #d,-,18,3130,2358,2205,255,1,267659,16594,3593,2363,2205,3130,2358,1330,94,100,0,500,3322;
@400000005e33db3e37f37c8d #d,-,18,4461,2358,2127,256,1,267902,16609,4461,2360,2207,3130,2357,1867,97,100,0,500,4571;
@400000005e33db3e37f8a083 #d,-,18,4597,2357,1963,258,1,268128,16623,4597,2359,2130,4461,2357,1840,96,100,0,500,4747;
@400000005e33db4038072faa #d,-,18,4419,2358,1975,259,1,268424,16642,4597,2359,1976,4419,2357,1849,96,100,0,500,4557;
@400000005e33db403810b136 #d,-,18,4416,2356,1927,260,1,268505,16647,4419,2360,1975,4416,2356,1879,97,100,0,500,4550;
@400000005e33db42381f89f0 #d,-,18,4414,2357,1914,261,1,268691,16658,4416,2359,1927,4414,2356,1888,96,100,0,500,4555;
@400000005e33db4238294628 #d,-,18,4413,2359,1892,262,1,268883,16670,4414,2359,1950,4413,2357,1891,96,100,0,500,4562;
@400000005e33db44383af197 #d,-,18,4415,2359,1894,264,1,269076,16682,4415,2359,1958,4413,2357,1892,96,100,0,500,4574;
@400000005e33db443845e5cd #d,-,18,4415,2359,1898,265,1,269266,16694,4415,2360,1956,4415,2357,1892,96,100,0,500,4567;
@400000005e33db4638575ef2 #d,-,18,4416,2359,1926,266,1,269460,16706,4416,2360,1960,4415,2357,1895,96,100,0,500,4571;
@400000005e33db4638628dd5 #d,-,18,4417,2361,1924,267,1,269650,16718,4417,2361,1958,4416,2358,1896,96,100,0,500,4574;
@400000005e33db483872e9fd #d,-,18,4418,2360,1919,269,1,269839,16730,4418,2361,1961,4417,2358,1898,96,100,0,500,4581;
@400000005e33db48387cec0e #d,-,18,4419,2360,1910,270,1,270026,16741,4419,2360,1960,4418,2358,1893,96,100,0,500,4588;
@400000005e33db4a388bcc3c #d,-,18,4421,2360,1907,271,1,270212,16753,4421,2360,1956,4419,2358,1889,96,100,0,500,4585;
@400000005e33db4a38951f37 #d,-,18,4423,2358,1931,272,1,270398,16764,4423,2360,1955,4421,2357,1888,96,100,0,499,4585;
@400000005e33db4c38a39e89 #d,-,18,4425,2359,1952,273,1,270585,16776,4425,2361,1961,4423,2358,1895,96,100,0,499,4590;
@400000005e33db4c38acf53d #d,-,18,4428,2360,1964,275,1,270770,16787,4428,2361,1964,4425,2359,1893,96,100,0,499,4597;
@400000005e33db4e38bd4904 #d,-,18,4431,2361,1949,276,1,270954,16799,4431,2362,1964,4428,2359,1903,96,100,0,499,4595;
@400000005e33db4e38c785c2 #d,-,18,4434,2362,1905,277,1,271242,16817,4434,2362,1971,4431,2358,1902,96,100,0,499,4614;
@400000005e33db5038d9c545 #d,-,18,4438,2361,1908,278,1,271328,16822,4438,2362,1975,4434,2359,1905,96,100,0,499,4616;
@400000005e33db5038e49f68 #d,-,18,4442,2361,1921,280,1,271514,16833,4442,2362,1972,4438,2359,1904,96,100,0,499,4616;
@400000005e33db5238f62ee6 #d,-,18,4445,2361,1936,281,1,271699,16845,4445,2361,1965,4442,2359,1908,96,100,0,499,4609;
@400000005e33db523900e5a5 #d,-,18,4448,2361,1943,282,1,271987,16863,4448,2361,1967,4445,2359,1914,96,100,0,499,4614;
@400000005e33db543910a0af #d,-,18,4451,2360,1938,283,1,272069,16868,4451,2361,1962,4448,2358,1910,96,100,0,499,4623;
@400000005e33db54391aaedc #d,-,18,4453,2359,1939,285,1,272252,16879,4453,2360,1959,4451,2358,1909,96,100,0,499,4621;
@400000005e33db5639299b25 #d,-,18,4456,2360,1932,286,1,272434,16890,4456,2362,1966,4453,2359,1913,96,100,0,499,4628;
@400000005e33db563932ce76 #d,-,18,4461,2360,1939,287,1,272619,16902,4461,2361,1974,4456,2359,1916,96,100,0,499,4640;
@400000005e33db5839413df3 #d,-,18,4465,2362,1943,288,1,272901,16919,4465,2362,1970,4461,2360,1914,96,100,0,499,4645;
@400000005e33db58394acb9a #d,-,18,4468,2362,1958,290,1,272983,16924,4468,2363,1968,4465,2361,1923,96,100,0,499,4638;
@400000005e33db5a395b653a #d,-,18,4471,2362,1968,291,1,273162,16936,4471,2363,1968,4468,2360,1919,96,100,0,499,4638;
@400000005e33db5a39661b0a #d,-,18,4473,2362,1947,292,1,273338,16947,4473,2363,1970,4471,2360,1924,96,100,0,499,4638;
@400000005e33db5c3976fb72 #d,-,18,4475,2360,1935,293,1,273613,16964,4475,2362,1960,4473,2359,1924,96,100,0,499,4638;
@400000005e33db5c398259d4 #d,-,18,4476,2360,1923,295,1,273691,16968,4476,2362,1958,4475,2359,1923,96,100,0,499,4640;
@400000005e33db5e39938015 #d,-,18,4478,2362,1937,296,1,273868,16979,4478,2362,1958,4476,2360,1923,96,100,0,499,4642;
@400000005e33db5e399dc535 #d,-,18,4480,2359,1948,297,1,274043,16990,4480,2362,1959,4478,2359,1921,96,100,0,499,4640;
@400000005e33db6039ae01b3 #d,-,18,4483,2360,1953,298,1,274219,17001,4483,2362,1966,4480,2359,1930,96,100,0,499,4647;
@400000005e33db6039b83344 #d,-,18,4486,2363,1951,300,1,274393,17012,4486,2363,1961,4483,2360,1935,96,100,0,499,4657;
@400000005e33db6239c761ac #d,-,18,4488,2363,1949,301,1,274566,17023,4488,2364,1956,4486,2362,1938,96,100,0,499,4654;
@400000005e33db6239d0bfd4 #d,-,18,4490,2360,1954,302,1,274739,17033,4490,2363,1954,4488,2360,1942,96,100,0,499,4654;
@400000005e33db6439df69fe #d,-,18,4491,2360,1948,303,1,275005,17050,4491,2362,1954,4490,2359,1943,96,100,0,499,4652;
@400000005e33db6439e8f7a5 #d,-,18,4493,2361,1948,304,1,275079,17054,4493,2362,1953,4491,2359,1941,96,100,0,499,4654;
@400000005e33db6639f8d613 #d,-,18,4495,2362,1950,306,1,275248,17065,4495,2362,1953,4493,2359,1943,96,100,0,499,4652;
@400000005e33db663a0355df #d,-,18,4496,2361,1946,307,1,275415,17075,4496,2363,1950,4495,2360,1944,96,100,0,499,4652;
@400000005e33db683a13b119 #d,-,18,4497,2360,1950,308,1,275581,17086,4497,2363,1950,4496,2360,1944,96,100,0,499,4652;
@400000005e33db683a1da7fd #d,-,18,4497,2361,1951,309,1,275746,17096,4497,2362,1952,4497,2359,1943,96,100,0,499,4652;
@400000005e33db6a3a2dfbc4 #d,-,18,4498,2361,1951,311,1,275909,17106,4498,2362,1952,4497,2360,1942,96,100,0,499,4654;
@400000005e33db6a3a384fca #d,-,18,4499,2360,1946,312,1,276071,17116,4499,2362,1953,4498,2359,1941,96,100,0,499,4652;
@400000005e33db6c3a48f1cc #d,-,18,4499,2360,1945,313,1,276232,17126,4499,2362,1953,4499,2359,1945,96,100,0,499,4652;
@400000005e33db6c3a530fce #d,-,18,4499,2361,1950,314,1,276393,17136,4499,2363,1954,4499,2359,1943,96,100,0,499,4652;
@400000005e33db6e3a62cad8 #d,-,18,4499,2362,1944,316,1,276551,17146,4499,2363,1953,4499,2361,1944,96,100,0,500,4652;
@400000005e33db6e3a6c9a9f #d,-,18,4500,2360,1951,317,1,276710,17156,4500,2362,1953,4499,2359,1944,96,100,0,500,4652;
@400000005e33db703a7c55a9 #d,-,18,4500,2358,1949,318,1,276865,17165,4500,2361,1955,4500,2358,1947,96,100,0,500,4649;
@400000005e33db703a867c0c #d,-,18,4501,2358,1958,319,1,277026,17175,4501,2359,1962,4500,2357,1949,96,100,0,500,4659;
@400000005e33db723a962741 #d,-,18,4503,2359,1956,321,1,277184,17185,4503,2359,1960,4501,2357,1953,96,100,0,500,4668;
@400000005e33db723aa01e26 #d,-,18,4505,2358,1953,322,2,277433,17200,4505,2359,1961,4503,2356,1950,96,100,0,500,4664;
@400000005e33db743ab0eaff #d,-,18,4506,2356,1960,323,2,277497,17204,4506,2359,1961,4505,2356,1950,96,100,0,500,4664;
@400000005e33db743abae957 #d,-,18,4507,2358,1954,324,2,277652,17214,4507,2359,1961,4506,2356,1949,96,100,0,500,4661;
@400000005e33db763acad79a #d,-,18,4508,2360,1961,326,2,277806,17223,4508,2360,1962,4507,2357,1948,96,100,0,500,4664;
@400000005e33db763ad4ab1a #d,-,18,4509,2359,1958,327,2,277957,17233,4509,2360,1961,4508,2358,1949,96,100,0,500,4661;
@400000005e33db783ae45eb1 #d,-,18,4509,2358,1956,328,2,278109,17242,4509,2361,1962,4509,2358,1950,96,100,0,500,4661;
@400000005e33db783aedd50f #d,-,18,4510,2360,1959,329,2,278350,17257,4510,2360,1961,4509,2358,1946,96,100,0,500,4661;
@400000005e33db7a3afc3871 #d,-,18,4510,2357,1956,331,2,278408,17261,4510,2360,1960,4510,2357,1946,96,100,0,500,4664;
@400000005e33db7a3b05aa28 #d,-,18,4511,2357,1956,332,2,278557,17270,4511,2359,1961,4510,2356,1948,96,100,0,500,4661;
@400000005e33db7c3b14d4d7 #d,-,18,4511,2357,1950,333,2,278704,17279,4511,2359,1961,4511,2357,1947,96,100,0,500,4661;
@400000005e33db7c3b1e6dab #d,-,18,4511,2358,1951,334,2,278851,17288,4511,2359,1961,4511,2356,1950,96,100,0,500,4661;
@400000005e33db7e3b2e5834 #d,-,18,4512,2358,1949,336,2,278996,17297,4512,2359,1962,4511,2356,1949,96,100,0,500,4659;
@400000005e33db7e3b3827fb #d,-,18,4511,2358,1951,337,2,279141,17306,4512,2359,1959,4511,2357,1949,96,100,0,500,4661;
@400000005e33db803b49bc22 #d,-,18,4511,2357,1955,338,2,279284,17315,4511,2359,1960,4511,2357,1948,96,100,0,500,4659;
@400000005e33db803b546a7f #d,-,18,4511,2359,1956,339,2,279515,17329,4511,2359,1961,4511,2356,1948,96,100,0,500,4659;
@400000005e33db823b64f090 #d,-,18,4511,2357,1961,341,2,279569,17333,4511,2360,1962,4511,2356,1948,96,100,0,500,4661;
@400000005e33db823b6f124b #d,-,18,4512,2357,1962,342,2,279711,17342,4512,2358,1962,4511,2356,1953,96,100,0,500,4666;
@400000005e33db843b7f2039 #d,-,18,4513,2358,1961,343,2,279852,17350,4513,2358,1964,4512,2356,1951,96,100,0,500,4668;
@400000005e33db843b88b90d #d,-,18,4513,2357,1962,345,2,279992,17359,4513,2359,1963,4513,2356,1952,96,100,0,500,4666;
@400000005e33db863b981e68 #d,-,18,4514,2357,1958,346,2,280131,17368,4514,2360,1962,4513,2357,1951,96,100,0,500,4668;
@400000005e33db870006ed3c #d,-,18,4515,2359,1961,347,2,280357,17382,4515,2359,1961,4514,2357,1946,96,100,0,500,4666;
@400000005e33db8900166e88 #d,-,18,4515,2357,1958,348,2,280494,17390,4515,2359,1962,4515,2356,1947,96,100,0,500,4666;
@400000005e33db8900200ed0 #d,-,18,4516,2358,1959,350,2,280544,17393,4516,2360,1964,4515,2357,1947,96,100,0,500,4668;
@400000005e33db8b00303f33 #d,-,18,4516,2359,1960,351,2,280680,17402,4516,2360,1964,4516,2357,1947,96,100,0,500,4666;
@400000005e33db8b003a8099 #d,-,18,4516,2357,1954,352,2,280814,17410,4516,2359,1964,4516,2356,1948,96,100,0,500,4668;
@400000005e33db8d004a37e9 #d,-,18,4516,2358,1947,353,2,280948,17418,4516,2358,1963,4516,2356,1947,96,100,0,500,4666;
@400000005e33db8d00544616 #d,-,18,4516,2359,1944,355,2,281082,17427,4516,2359,1964,4516,2356,1944,96,100,0,500,4664;
@400000005e33db8f0064ff60 #d,-,18,4516,2357,1954,356,2,281215,17435,4516,2360,1966,4516,2357,1943,96,100,0,500,4666;
@400000005e33db8f006f6b9d #d,-,18,4517,2360,1961,357,2,281348,17443,4517,2360,1965,4516,2357,1943,96,100,0,500,4666;
@400000005e33db91007eff8a #d,-,18,4517,2356,1965,358,2,281564,17457,4517,2360,1967,4517,2356,1940,96,100,0,500,4666;
@400000005e33db910088cb97 #d,-,18,4517,2356,1963,360,2,281609,17459,4517,2359,1971,4517,2356,1939,96,100,0,500,4664;
@400000005e33db9300983866 #d,-,18,4516,2358,1958,361,2,281738,17467,4517,2358,1970,4516,2356,1943,96,100,0,500,4666;
@400000005e33db9300a1d228 #d,-,18,4517,2358,1960,362,2,281868,17475,4517,2358,1966,4516,2356,1946,96,100,0,500,4668;
@400000005e33db9500b16615 #d,-,18,4517,2356,1955,363,2,281996,17483,4517,2358,1965,4517,2356,1946,96,100,0,500,4668;
@400000005e33db9500bb2606 #d,-,18,4518,2356,1958,365,2,282124,17491,4518,2357,1966,4517,2355,1949,96,100,0,500,4668;
@400000005e33db9700caed2c #d,-,18,4518,2356,1959,366,2,282335,17504,4518,2358,1963,4518,2356,1950,96,100,0,500,4666;
@400000005e33db9700d49d49 #d,-,18,4519,2357,1957,367,2,282377,17507,4519,2359,1963,4518,2356,1949,96,100,0,500,4668;
@400000005e33db9900e510b9 #d,-,18,4519,2360,1955,368,2,282503,17515,4519,2360,1962,4519,2357,1950,96,100,0,500,4666;
@400000005e33db9900eeff3c #d,-,18,4519,2360,1952,370,2,282627,17522,4519,2360,1962,4519,2357,1949,96,100,0,500,4666;
@400000005e33db9b00feaf19 #d,-,18,4518,2358,1954,371,2,282750,17530,4519,2360,1961,4518,2357,1952,96,100,0,500,4666;
@400000005e33db9b0108bd46 #d,-,18,4519,2358,1955,372,2,282874,17538,4519,2360,1962,4518,2358,1953,96,100,0,500,4666;
@400000005e33db9d011897fa #d,-,18,4518,2359,1955,373,2,282996,17545,4519,2359,1961,4518,2357,1952,96,100,0,500,4666;
@400000005e33db9d01233ee4 #d,-,18,4518,2357,1961,375,2,283201,17558,4518,2359,1964,4518,2356,1952,96,100,0,500,4666;
@400000005e33db9f01332d27 #d,-,18,4518,2358,1963,376,2,283238,17560,4518,2359,1963,4518,2356,1950,96,100,0,500,4668;
@400000005e33db9f013df2cc #d,-,18,4518,2359,1962,377,2,283358,17568,4518,2360,1963,4518,2356,1954,96,100,0,500,4666;
@400000005e33dba1014d8e2c #d,-,18,4518,2358,1958,378,2,283477,17575,4518,2360,1962,4518,2358,1950,96,100,0,500,4666;
@400000005e33dba101571819 #d,-,18,4518,2359,1957,380,2,283595,17582,4518,2361,1960,4518,2358,1953,96,100,0,500,4668;
@400000005e33dba30166fdfa #d,-,18,4518,2361,1957,381,2,283712,17590,4518,2362,1958,4518,2359,1951,96,100,0,500,4666;
@400000005e33dba301713f60 #d,-,18,4517,2360,1957,382,2,283911,17602,4518,2362,1961,4517,2359,1952,96,100,0,500,4666;
@400000005e33dba50180ef3d #d,-,18,4517,2358,1956,383,2,283945,17604,4517,2361,1962,4517,2358,1950,96,100,0,500,4668;
@400000005e33dba5018aa314 #d,-,18,4517,2360,1955,385,2,284141,17616,4517,2360,1959,4517,2358,1949,96,100,0,500,4664;
@400000005e33dba70199d9de #d,-,18,4516,2362,1957,386,2,284174,17618,4517,2362,1958,4516,2360,1949,96,100,0,500,4661;
@400000005e33dba701a43dba #d,-,18,4516,2359,1959,387,2,284288,17625,4516,2362,1959,4516,2359,1949,96,100,0,500,4664;
@400000005e33dba901b30f01 #d,-,18,4516,2361,1950,388,2,284401,17632,4516,2361,1959,4516,2359,1948,96,100,0,500,4661;
@400000005e33dba901bc8919 #d,-,18,4515,2359,1951,390,2,284513,17639,4516,2361,1959,4515,2359,1950,96,100,0,500,4664;
@400000005e33dbab01cca5ed #d,-,18,4515,2360,1952,391,2,284625,17646,4515,2361,1958,4515,2359,1949,96,100,0,500,4664;
@400000005e33dbab01d75090 #d,-,18,4515,2358,1954,392,2,284737,17653,4515,2361,1960,4515,2358,1952,96,100,0,500,4661;
@400000005e33dbad01e7d6a1 #d,-,18,4515,2362,1955,393,2,284847,17660,4515,2362,1958,4515,2358,1949,96,100,0,500,4661;
@400000005e33dbad01f20832 #d,-,18,4514,2359,1953,395,2,284958,17667,4515,2362,1958,4514,2359,1948,96,100,0,500,4661;
@400000005e33dbaf020296a5 #d,-,18,4514,2356,1965,396,2,285067,17674,4514,2362,1965,4514,2354,1949,96,100,0,500,4664;
@400000005e33dbaf020d1de4 #d,-,18,4514,2357,1956,397,2,285255,17685,4514,2357,1965,4514,2355,1951,96,100,0,500,4661;
@400000005e33dbb1021d139b #d,-,18,4515,2356,1959,398,2,285285,17687,4515,2358,1961,4514,2356,1953,96,100,0,500,4666;
@400000005e33dbb10226faaa #d,-,18,4515,2356,1960,400,2,285393,17694,4515,2358,1964,4515,2356,1953,96,100,0,500,4664;
@400000005e33dbb302366c21 #d,-,18,4515,2357,1958,401,2,285500,17701,4515,2358,1962,4515,2356,1952,96,100,0,500,4666;
@400000005e33dbb3023fb300 #d,-,18,4516,2356,1965,402,2,285607,17707,4516,2357,1965,4515,2355,1953,96,100,0,500,4664;
@400000005e33dbb5024ea303 #d,-,18,4515,2356,1959,403,2,285713,17714,4516,2358,1965,4515,2356,1952,96,100,0,500,4664;
@400000005e33dbb5025847f3 #d,-,18,4515,2358,1959,405,2,285819,17720,4515,2358,1962,4515,2355,1952,96,100,0,500,4664;
@400000005e33dbb702699db3 #d,-,18,4515,2355,1955,406,2,285923,17727,4515,2358,1961,4515,2355,1951,96,100,0,500,4661;
@400000005e33dbb702741164 #d,-,18,4515,2358,1951,407,2,286028,17733,4515,2358,1965,4515,2353,1951,96,100,0,500,4664;
@400000005e33dbb90283ffa7 #d,-,18,4515,2359,1954,408,2,286131,17740,4515,2360,1965,4515,2356,1948,96,100,0,500,4664;
@400000005e33dbb9028dea70 #d,-,18,4515,2357,1953,410,2,286234,17746,4515,2360,1963,4515,2357,1951,96,100,0,500,4664;
@400000005e33dbbb029f4b5d #d,-,18,4515,2359,1957,411,2,286337,17752,4515,2359,1963,4515,2357,1952,96,100,0,500,4661;
@400000005e33dbbb02a9bf0e #d,-,18,4515,2357,1958,412,2,286439,17759,4515,2359,1965,4515,2357,1951,96,100,0,500,4664;
@400000005e33dbbd02ba49c7 #d,-,18,4514,2358,1973,413,2,286543,17765,4515,2359,1974,4514,2357,1947,96,100,0,500,4664;
@400000005e33dbbd02c4b9be #d,-,18,4517,2357,1963,415,2,286723,17776,4517,2359,1973,4514,2356,1957,96,100,0,500,4683;
@400000005e33dbbf02d3d0de #d,-,18,4518,2359,1962,416,2,286750,17778,4518,2359,1969,4517,2357,1957,96,100,0,500,4680;
