@400000005e1ebc9816ce51c0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e1ebc9905203630 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e1ebf3f2b63352a #d,-,18,2922,2369,1260,557,3,213416,13231,2922,2369,1266,2922,2367,1222,98,100,0,501,2956;
@400000005e1ebf3f2b6db4f6 #d,-,18,2921,2369,1237,558,3,213381,13229,2922,2370,1292,2921,2366,1222,99,100,0,501,2940;
@400000005e1ebf412b7c149e #d,-,18,2924,2370,1247,558,3,213375,13229,2924,2370,1264,2921,2367,1224,98,100,0,501,2979;
@400000005e1ebf412b86884f #d,-,18,2923,2368,1247,559,3,213368,13228,2924,2370,1264,2923,2368,1221,99,100,0,501,2942;
@400000005e1ebf432b9507a1 #d,-,18,2921,2368,1233,560,3,213362,13228,2923,2370,1266,2921,2367,1222,99,100,0,501,2947;
@400000005e1ebf432ba04a12 #d,-,18,2922,2369,1259,561,3,213356,13228,2922,2371,1266,2921,2367,1221,99,100,0,501,2947;
@400000005e1ebf452bb12e34 #d,-,18,2919,2369,1247,562,3,213352,13227,2922,2371,1293,2919,2368,1222,99,100,0,501,2940;
@400000005e1ebf452bbbc902 #d,-,18,2924,2368,1265,563,3,213377,13229,2924,2371,1265,2919,2368,1223,98,100,0,501,2981;
@400000005e1ebf472bcc95db #d,-,18,2921,2369,1221,563,3,213338,13227,2924,2371,1265,2921,2368,1220,99,100,0,501,2936;
@400000005e1ebf472bd7248e #d,-,18,2921,2369,1260,564,3,213334,13226,2921,2371,1265,2921,2368,1221,98,100,0,501,2956;
@400000005e1ebf492be66b2d #d,-,18,2920,2370,1234,565,3,213326,13226,2921,2371,1264,2920,2369,1221,99,100,0,501,2938;
@400000005e1ebf492bf0e297 #d,-,18,2920,2370,1278,566,3,213324,13226,2920,2372,1294,2920,2369,1222,98,100,0,501,2952;
@400000005e1ebf4b2bffe26f #d,-,18,2923,2372,1247,567,3,213317,13225,2923,2372,1278,2920,2370,1223,98,100,0,501,2972;
@400000005e1ebf4b2c099734 #d,-,18,2922,2369,1234,567,3,213343,13227,2923,2372,1265,2922,2368,1222,99,100,0,501,2947;
@400000005e1ebf4d2c15206d #d,-,18,2922,2368,1293,568,3,213306,13224,2922,2371,1293,2922,2368,1204,99,100,0,501,2949;
@400000005e1ebf4d2c1b5da5 #d,-,18,2979,2371,1293,569,3,213313,13225,2979,2371,1300,2922,2367,1290,99,100,0,501,3002;
@400000005e1ebf4f2c263f3b #d,-,18,3036,2370,1324,570,3,213321,13225,3036,2371,1324,2979,2368,1292,99,100,0,501,3064;
@400000005e1ebf4f2c2c7146 #d,-,18,3039,2371,1294,571,3,213329,13226,3039,2371,1325,3036,2368,1285,98,100,0,501,3096;
@400000005e1ebf512c375e09 #d,-,18,3039,2371,1292,572,3,213335,13226,3039,2371,1294,3039,2368,1291,99,100,0,501,3061;
@400000005e1ebf512c3da75c #d,-,18,3039,2371,1292,572,3,213341,13227,3039,2371,1295,3039,2369,1291,99,100,0,501,3068;
@400000005e1ebf532c48ab68 #d,-,18,3039,2371,1293,573,3,213348,13227,3039,2372,1294,3039,2369,1291,99,100,0,501,3066;
@400000005e1ebf532c4ee4e6 #d,-,18,3038,2371,1317,574,3,213356,13228,3039,2372,1317,3038,2369,1292,99,100,0,501,3066;
@400000005e1ebf552c59414e #d,-,18,3043,2370,1295,575,3,213364,13228,3043,2371,1325,3038,2368,1286,98,100,0,501,3100;
@400000005e1ebf552c5ffc40 #d,-,18,3042,2369,1292,576,3,213370,13228,3043,2370,1295,3042,2367,1292,99,100,0,501,3063;
@400000005e1ebf572c6a7764 #d,-,18,3041,2369,1294,577,3,213377,13229,3042,2370,1295,3041,2367,1292,99,100,0,501,3066;
@400000005e1ebf572c712e9d #d,-,18,3041,2368,1295,577,3,213383,13229,3041,2370,1298,3041,2366,1294,99,100,0,501,3066;
@400000005e1ebf592c7b9e94 #d,-,18,3041,2368,1306,578,3,213420,13232,3041,2369,1306,3041,2367,1292,99,100,0,501,3070;
@400000005e1ebf592c8249b1 #d,-,18,3044,2367,1293,579,3,213399,13230,3044,2369,1327,3041,2365,1286,98,100,0,501,3096;
@400000005e1ebf5b2c8cd4aa #d,-,18,3043,2365,1293,580,3,213435,13233,3044,2369,1297,3043,2365,1293,99,100,0,501,3064;
@400000005e1ebf5b2c9408af #d,-,18,3042,2366,1296,581,3,213411,13231,3043,2367,1297,3042,2364,1293,99,100,0,501,3063;
@400000005e1ebf5d2c9ede2a #d,-,18,3041,2365,1296,582,3,213448,13233,3042,2366,1298,3041,2363,1295,99,100,0,501,3068;
@400000005e1ebf5d2ca54ae1 #d,-,18,3041,2365,1297,583,3,213424,13232,3041,2366,1297,3041,2363,1294,99,100,0,501,3066;
@400000005e1ebf5f2cb03b5d #d,-,18,3045,2366,1291,583,3,213433,13232,3045,2368,1328,3041,2365,1288,98,100,0,501,3093;
@400000005e1ebf5f2cb684b1 #d,-,18,3043,2367,1294,584,3,213440,13233,3045,2368,1298,3043,2364,1291,99,100,0,501,3072;
@400000005e1ebf612cc13a81 #d,-,18,3043,2368,1295,585,3,213446,13233,3043,2368,1297,3043,2366,1294,99,100,0,501,3066;
@400000005e1ebf612cc7615f #d,-,18,3043,2369,1294,586,3,213452,13234,3043,2369,1296,3043,2366,1294,99,100,0,501,3068;
@400000005e1ebf632cd20fbc #d,-,18,3042,2369,1294,587,3,213459,13234,3043,2369,1297,3042,2367,1293,99,100,0,501,3068;
@400000005e1ebf632cd850ad #d,-,18,3045,2367,1287,588,3,213467,13235,3045,2370,1326,3042,2367,1285,98,100,0,501,3086;
@400000005e1ebf652ce2a5a2 #d,-,18,3044,2368,1293,588,3,213474,13235,3045,2370,1296,3044,2367,1287,98,100,0,501,3077;
@400000005e1ebf652ce940ea #d,-,18,3043,2370,1293,589,3,213510,13237,3044,2371,1296,3043,2368,1292,99,100,0,501,3066;
@400000005e1ebf672cf3df72 #d,-,18,3043,2369,1294,590,3,213486,13236,3043,2370,1296,3043,2367,1292,99,100,0,501,3068;
@400000005e1ebf672cfa96ab #d,-,18,3042,2369,1294,591,3,213522,13238,3043,2370,1296,3042,2367,1293,99,100,0,501,3066;
@400000005e1ebf692d050a5b #d,-,18,3044,2370,1288,592,3,213501,13237,3044,2370,1326,3042,2367,1288,98,100,0,501,3077;
@400000005e1ebf692d0bd7ee #d,-,18,3044,2370,1293,593,3,213537,13239,3044,2373,1296,3044,2370,1287,98,100,0,501,3084;
@400000005e1ebf6b2d1672bc #d,-,18,3044,2373,1293,594,3,213513,13237,3044,2373,1294,3044,2369,1292,99,100,0,501,3068;
@400000005e1ebf6b2d1d3168 #d,-,18,3043,2371,1294,594,3,213519,13238,3044,2373,1295,3043,2368,1291,99,100,0,501,3064;
@400000005e1ebf6d2d283a1c #d,-,18,3042,2371,1294,595,3,213525,13238,3043,2372,1294,3042,2369,1292,99,100,0,501,3064;
@400000005e1ebf6d2d2e686d #d,-,18,3042,2370,1294,596,3,213534,13239,3042,2371,1325,3042,2368,1294,99,100,0,501,3072;
@400000005e1ebf6f2d39455b #d,-,18,3044,2370,1295,597,3,213539,13239,3044,2371,1295,3042,2368,1286,98,100,0,501,3088;
@400000005e1ebf6f2d3f873b #d,-,18,3043,2369,1294,598,3,213545,13239,3044,2371,1295,3043,2368,1292,99,100,0,501,3064;
@400000005e1ebf712d4aa28f #d,-,18,3042,2367,1295,599,3,213580,13242,3043,2371,1296,3042,2367,1293,99,100,0,501,3066;
@400000005e1ebf712d50e828 #d,-,18,3042,2370,1294,599,3,213557,13240,3042,2370,1295,3042,2367,1292,99,100,0,501,3064;
@400000005e1ebf732d5b4490 #d,-,18,3041,2369,1311,600,3,213566,13241,3042,2370,1326,3041,2367,1293,99,100,0,501,3068;
@400000005e1ebf732d618582 #d,-,18,3044,2368,1295,601,3,213572,13241,3044,2370,1311,3041,2367,1288,98,100,0,501,3093;
@400000005e1ebf752d6bf579 #d,-,18,3044,2369,1294,602,3,213577,13241,3044,2370,1296,3044,2367,1294,99,100,0,501,3068;
@400000005e1ebf752d722010 #d,-,18,3043,2370,1294,603,3,213584,13242,3044,2370,1297,3043,2368,1293,99,100,0,501,3068;
@400000005e1ebf772d7d27d6 #d,-,18,3043,2370,1295,604,3,213619,13244,3043,2371,1296,3043,2368,1293,99,100,0,501,3070;
@400000005e1ebf772d83d2f3 #d,-,18,3042,2370,1323,605,3,213599,13243,3043,2371,1326,3042,2368,1293,99,100,0,501,3070;
@400000005e1ebf792d8e664e #d,-,18,3045,2368,1295,605,3,213604,13243,3045,2370,1323,3042,2368,1286,98,100,0,501,3096;
@400000005e1ebf792d952140 #d,-,18,3045,2368,1294,606,3,213610,13243,3045,2370,1296,3045,2367,1293,99,100,0,501,3066;
@400000005e1ebf7b2d9f7da8 #d,-,18,3044,2368,1294,607,3,213616,13244,3045,2370,1296,3044,2368,1293,99,100,0,501,3070;
@400000005e1ebf7b2da60561 #d,-,18,3044,2370,1294,608,3,213622,13244,3044,2370,1296,3044,2367,1293,99,100,0,501,3068;
@400000005e1ebf7d2db0ee6b #d,-,18,3043,2369,1325,609,3,213630,13245,3044,2371,1325,3043,2368,1293,99,100,0,501,3070;
@400000005e1ebf7d2db737be #d,-,18,3047,2371,1296,609,3,213666,13247,3047,2371,1326,3043,2368,1287,98,100,0,501,3098;
@400000005e1ebf7f2dc1e173 #d,-,18,3046,2369,1295,610,3,213643,13245,3047,2371,1296,3046,2369,1292,99,100,0,501,3066;
@400000005e1ebf7f2dc80851 #d,-,18,3045,2369,1294,611,3,213648,13246,3046,2370,1296,3045,2367,1294,99,100,0,501,3070;
@400000005e1ebf812dd2f514 #d,-,18,3044,2367,1295,612,3,213654,13246,3045,2370,1296,3044,2367,1293,99,100,0,501,3066;
@400000005e1ebf812dd92365 #d,-,18,3043,2368,1323,613,3,213690,13248,3044,2369,1323,3043,2366,1294,99,100,0,501,3068;
@400000005e1ebf832de3e0a9 #d,-,18,3047,2369,1297,614,3,213668,13247,3047,2369,1328,3043,2367,1286,98,100,0,501,3098;
@400000005e1ebf832dea1ecf #d,-,18,3045,2368,1294,615,3,213674,13247,3047,2369,1297,3045,2366,1294,99,100,0,501,3061;
@400000005e1ebf852df48664 #d,-,18,3044,2366,1295,615,3,213679,13248,3045,2369,1297,3044,2366,1290,99,100,0,501,3064;
@400000005e1ebf852dfac844 #d,-,18,3043,2364,1295,616,3,213685,13248,3044,2367,1297,3043,2364,1294,99,100,0,501,3068;
@400000005e1ebf872e0576a1 #d,-,18,3042,2364,1313,617,3,213691,13248,3043,2367,1313,3042,2364,1295,99,100,0,501,3064;
@400000005e1ebf872e0c8afb #d,-,18,3046,2367,1295,618,3,213698,13249,3046,2367,1328,3042,2364,1290,98,100,0,501,3098;
@400000005e1ebf892e172210 #d,-,18,3044,2364,1296,619,3,213704,13249,3046,2367,1298,3044,2364,1295,99,100,0,501,3063;
@400000005e1ebf892e1dc973 #d,-,18,3044,2365,1295,620,3,213710,13250,3044,2367,1298,3044,2364,1294,99,100,0,501,3068;
@400000005e1ebf8b2e284851 #d,-,18,3043,2367,1297,620,3,213715,13250,3044,2367,1297,3043,2364,1295,99,100,0,501,3066;
@400000005e1ebf8b2e2f06fd #d,-,18,3043,2365,1300,621,3,213721,13250,3043,2367,1300,3043,2364,1294,99,100,0,501,3070;
@400000005e1ebf8d2e39c176 #d,-,18,3046,2364,1294,622,3,213729,13251,3046,2366,1328,3043,2364,1288,98,100,0,501,3095;
@400000005e1ebf8d2e3ffaf4 #d,-,18,3045,2366,1296,623,3,213735,13251,3046,2366,1298,3045,2363,1294,99,100,0,501,3068;
@400000005e1ebf8f2e4b0761 #d,-,18,3044,2367,1297,624,3,213740,13251,3045,2367,1298,3044,2365,1295,99,100,0,501,3068;
@400000005e1ebf8f2e5150b4 #d,-,18,3043,2364,1299,625,3,213746,13252,3044,2368,1299,3043,2363,1295,99,100,0,501,3068;
@400000005e1ebf912e5c7824 #d,-,18,3043,2364,1298,626,3,213752,13252,3043,2365,1300,3043,2362,1297,99,100,0,501,3070;
@400000005e1ebf912e62fc23 #d,-,18,3046,2365,1292,626,3,213788,13254,3046,2365,1330,3043,2362,1289,98,100,0,501,3091;
@400000005e1ebf932e6dd911 #d,-,18,3046,2366,1299,627,3,213765,13253,3046,2366,1300,3046,2363,1292,98,100,0,501,3077;
@400000005e1ebf932e73ffef #d,-,18,3045,2364,1297,628,3,213771,13253,3046,2366,1299,3045,2363,1295,99,100,0,501,3070;
@400000005e1ebf952e7e6b3e #d,-,18,3044,2365,1297,629,3,213776,13254,3045,2367,1298,3044,2364,1295,99,100,0,501,3070;
@400000005e1ebf952e8479e5 #d,-,18,3044,2365,1295,630,3,213782,13254,3044,2366,1298,3044,2364,1295,99,100,0,501,3068;
@400000005e1ebf972e91c4f2 #d,-,18,3045,2364,1290,631,3,213790,13255,3045,2366,1329,3044,2362,1290,98,100,0,501,3080;
@400000005e1ebf972e989ae7 #d,-,18,3046,2363,1297,631,3,213795,13255,3046,2365,1299,3045,2362,1290,98,100,0,501,3082;
@400000005e1ebf992ea33d28 #d,-,18,3045,2362,1300,632,3,213801,13255,3046,2365,1300,3045,2360,1296,99,100,0,501,3068;
@400000005e1ebf992eaa0f63 #d,-,18,3044,2362,1297,633,3,213806,13256,3045,2364,1301,3044,2360,1297,99,100,0,501,3070;
@400000005e1ebf9b2eb4cd95 #d,-,18,3043,2363,1298,634,3,213812,13256,3044,2364,1300,3043,2361,1296,99,100,0,501,3068;
@400000005e1ebf9b2eba2ff1 #d,-,18,3044,2361,1295,635,3,213820,13256,3044,2363,1332,3043,2360,1295,99,100,0,501,3073;
@400000005e1ebf9d2ec501b1 #d,-,18,3046,2362,1298,636,3,213825,13257,3046,2363,1301,3044,2360,1290,98,100,0,501,3091;
@400000005e1ebf9d2ecb4b05 #d,-,18,3045,2360,1299,636,3,213830,13257,3046,2362,1300,3045,2360,1298,99,100,0,501,3070;
@400000005e1ebf9f2ed6340e #d,-,18,3044,2362,1299,637,3,213836,13257,3045,2362,1301,3044,2359,1298,99,100,0,501,3068;
@400000005e1ebf9f2edc7d61 #d,-,18,3044,2361,1299,638,3,213841,13258,3044,2362,1300,3044,2359,1298,99,100,0,501,3070;
@400000005e1ebfa12ee77286 #d,-,18,3044,2359,1306,639,3,213877,13260,3044,2361,1332,3044,2358,1298,99,100,0,501,3068;
@400000005e1ebfa12eedbbd9 #d,-,18,3046,2359,1298,640,3,213855,13259,3046,2361,1306,3044,2358,1292,98,100,0,501,3095;
@400000005e1ebfa32ef87563 #d,-,18,3046,2361,1297,641,3,213888,13261,3046,2362,1301,3046,2358,1297,99,100,0,501,3070;
@400000005e1ebfa32efebafd #d,-,18,3045,2363,1297,642,3,213865,13259,3046,2364,1300,3045,2360,1297,99,100,0,501,3070;
@400000005e1ebfa52f0a8eb8 #d,-,18,3045,2363,1298,642,3,213871,13260,3045,2365,1299,3045,2363,1297,99,100,0,501,3070;
@400000005e1ebfa52f125e45 #d,-,18,3044,2364,1319,643,3,213907,13262,3045,2366,1330,3044,2363,1297,99,100,0,501,3072;
@400000005e1ebfa72f1e35b9 #d,-,18,3039,2365,1262,644,3,213874,13260,3044,2366,1319,3039,2364,1216,99,100,0,501,3045;
@400000005e1ebfa72f24d963 #d,-,18,2950,2364,1281,645,4,213872,13260,3039,2367,1281,2950,2364,1250,99,100,0,501,2974;
@400000005e1ebfa92f2fd50d #d,-,18,3002,2365,1286,646,4,213875,13260,3002,2366,1297,2950,2364,1281,99,100,0,501,3025;
@400000005e1ebfa92f36035e #d,-,18,3003,2365,1321,646,4,213908,13262,3003,2366,1321,3002,2364,1286,98,100,0,501,3045;
@400000005e1ebfab2f4103b0 #d,-,18,3054,2361,1322,647,4,213888,13261,3054,2366,1322,3003,2361,1287,99,100,0,501,3080;
@400000005e1ebfab2f47644b #d,-,18,3054,2362,1296,648,4,213893,13261,3054,2363,1323,3054,2361,1291,98,100,0,501,3086;
@400000005e1ebfad2f5270b9 #d,-,18,3051,2364,1295,649,4,213897,13261,3054,2365,1296,3051,2362,1292,99,100,0,501,3063;
@400000005e1ebfad2f58bdc6 #d,-,18,3049,2363,1293,650,4,213902,13261,3051,2366,1296,3049,2363,1292,99,100,0,501,3061;
@400000005e1ebfaf2f631ed6 #d,-,18,3047,2365,1296,651,4,213906,13262,3049,2365,1296,3047,2362,1293,99,100,0,501,3061;
@400000005e1ebfaf2f694c38 #d,-,18,3045,2365,1325,652,4,213913,13262,3047,2365,1325,3045,2363,1294,99,100,0,501,3063;
@400000005e1ebfb12f743da4 #d,-,18,3048,2363,1297,652,4,213918,13262,3048,2365,1327,3045,2362,1287,98,100,0,501,3093;
@400000005e1ebfb12f7b1b0b #d,-,18,3046,2362,1295,653,4,213923,13263,3048,2364,1297,3046,2362,1293,99,100,0,501,3059;
@400000005e1ebfb32f857774 #d,-,18,3044,2362,1296,654,4,213954,13265,3046,2365,1296,3044,2362,1294,99,100,0,501,3063;
@400000005e1ebfb32f8c12bc #d,-,18,3043,2362,1294,655,4,213932,13263,3044,2364,1296,3043,2362,1293,99,100,0,501,3064;
@400000005e1ebfb52f96a9d0 #d,-,18,3042,2363,1320,656,4,213937,13264,3043,2363,1320,3042,2361,1294,99,100,0,501,3061;
@400000005e1ebfb52f9d7fc5 #d,-,18,3045,2360,1297,657,4,213944,13264,3045,2363,1326,3042,2360,1289,98,100,0,501,3095;
@400000005e1ebfb72fa87041 #d,-,18,3043,2361,1297,657,4,213948,13264,3045,2362,1299,3043,2359,1295,99,100,0,501,3061;
@400000005e1ebfb72faeb995 #d,-,18,3042,2360,1297,658,4,213953,13265,3043,2361,1298,3042,2359,1296,99,100,0,501,3066;
@400000005e1ebfb92fb9c9bc #d,-,18,3042,2359,1297,659,4,213958,13265,3042,2361,1298,3042,2358,1294,99,100,0,501,3064;
@400000005e1ebfb92fc0130f #d,-,18,3041,2360,1309,660,4,213963,13265,3042,2361,1309,3041,2358,1297,99,100,0,500,3066;
@400000005e1ebfbb2fcae116 #d,-,18,3045,2363,1297,661,4,213970,13266,3045,2363,1329,3041,2359,1289,98,100,0,500,3096;
@400000005e1ebfbb2fd11e4e #d,-,18,3043,2363,1295,662,4,213975,13266,3045,2364,1297,3043,2361,1294,99,100,0,500,3064;
@400000005e1ebfbd2fdc1373 #d,-,18,3043,2362,1295,663,4,213980,13266,3043,2363,1298,3043,2361,1295,99,100,0,500,3066;
@400000005e1ebfbd2fe24cf1 #d,-,18,3044,2362,1296,663,4,214013,13268,3044,2363,1314,3043,2361,1295,98,100,0,500,3079;
@400000005e1ebfbf2fec95ca #d,-,18,3043,2363,1302,664,4,214018,13269,3044,2363,1302,3043,2360,1296,99,100,0,500,3073;
@400000005e1ebfbf2ff2d302 #d,-,18,3048,2364,1295,665,4,213999,13267,3048,2364,1330,3043,2361,1292,98,100,0,500,3102;
@400000005e1ebfc12ffdcbe0 #d,-,18,3047,2362,1298,666,4,214005,13268,3048,2364,1302,3047,2361,1295,98,100,0,500,3079;
@400000005e1ebfc130049200 #d,-,18,3047,2362,1298,667,4,214011,13268,3047,2362,1302,3047,2360,1298,99,100,0,500,3075;
@400000005e1ebfc3300eee68 #d,-,18,3047,2361,1300,668,4,214016,13269,3047,2363,1302,3047,2361,1298,99,100,0,500,3077;
@400000005e1ebfc330157268 #d,-,18,3047,2362,1299,668,4,214048,13271,3047,2362,1302,3047,2360,1299,99,100,0,500,3075;
@400000005e1ebfc5301fee7a #d,-,18,3051,2359,1293,669,4,214030,13269,3051,2362,1332,3047,2359,1293,98,100,0,500,3096;
@400000005e1ebfc53026ad26 #d,-,18,3051,2359,1301,670,4,214062,13271,3051,2361,1302,3051,2359,1293,98,100,0,500,3088;
@400000005e1ebfc730316f12 #d,-,18,3051,2359,1301,671,4,214042,13270,3051,2359,1303,3051,2358,1300,99,100,0,500,3077;
@400000005e1ebfc73037bc1f #d,-,18,3050,2360,1298,672,4,214047,13270,3051,2360,1303,3050,2358,1298,99,100,0,500,3077;
@400000005e1ebfc9304256ed #d,-,18,3050,2359,1299,673,4,214053,13271,3050,2361,1302,3050,2359,1298,99,100,0,500,3077;
@400000005e1ebfc930486df6 #d,-,18,3052,2358,1292,674,4,214061,13271,3052,2359,1333,3050,2357,1292,98,100,0,500,3086;
@400000005e1ebfcb3053472a #d,-,18,3052,2358,1300,674,4,214066,13272,3052,2359,1303,3052,2358,1292,98,100,0,500,3093;
@400000005e1ebfcb30596d19 #d,-,18,3052,2359,1299,675,4,214072,13272,3052,2359,1303,3052,2358,1299,99,100,0,500,3079;
@400000005e1ebfcd30647d40 #d,-,18,3051,2363,1298,676,4,214077,13272,3052,2363,1303,3051,2358,1298,99,100,0,500,3077;
@400000005e1ebfcd306ac2da #d,-,18,3051,2365,1295,677,4,214083,13273,3051,2365,1300,3051,2361,1295,99,100,0,500,3077;
@400000005e1ebfcf30751a9a #d,-,18,3052,2366,1296,678,4,214091,13273,3052,2367,1328,3051,2365,1295,99,100,0,500,3082;
@400000005e1ebfcf307b3916 #d,-,18,3053,2368,1297,679,4,214096,13274,3053,2368,1300,3052,2366,1289,98,100,0,500,3100;
@400000005e1ebfd1308581ef #d,-,18,3053,2368,1298,679,4,214102,13274,3053,2369,1299,3053,2368,1296,99,100,0,500,3080;
@400000005e1ebfd1308c63ff #d,-,18,3053,2367,1297,680,4,214108,13274,3053,2369,1298,3053,2366,1296,99,100,0,500,3079;
@400000005e1ebfd33096a0bd #d,-,18,3052,2368,1296,681,4,214113,13275,3053,2369,1299,3052,2366,1296,99,100,0,500,3079;
@400000005e1ebfd3309d3492 #d,-,18,3052,2366,1305,682,4,214121,13275,3052,2368,1329,3052,2366,1294,99,100,0,500,3077;
@400000005e1ebfd530a7a842 #d,-,18,3054,2365,1297,683,4,214126,13275,3054,2366,1305,3052,2364,1288,98,100,0,500,3102;
@400000005e1ebfd530ae5ad3 #d,-,18,3054,2366,1298,684,4,214131,13276,3054,2366,1298,3054,2364,1295,99,100,0,500,3077;
@400000005e1ebfd730b8c357 #d,-,18,3053,2366,1296,685,4,214137,13276,3054,2367,1298,3053,2366,1296,99,100,0,500,3079;
@400000005e1ebfd730bfb093 #d,-,18,3052,2367,1297,685,4,214142,13276,3053,2367,1298,3052,2366,1294,99,100,0,500,3077;
@400000005e1ebfd930cac0ba #d,-,18,3052,2367,1319,686,4,214150,13277,3052,2368,1328,3052,2367,1294,99,100,0,500,3075;
@400000005e1ebfd930d12156 #d,-,18,3055,2367,1297,687,4,214155,13277,3055,2368,1319,3052,2366,1289,98,100,0,500,3105;
@400000005e1ebfdb30dbe342 #d,-,18,3054,2368,1297,688,4,214160,13277,3055,2368,1297,3054,2366,1295,99,100,0,500,3077;
@400000005e1ebfdb30e22522 #d,-,18,3053,2368,1295,689,4,214166,13278,3054,2368,1298,3053,2367,1295,99,100,0,500,3077;
@400000005e1ebfdd30ecf6e3 #d,-,18,3052,2366,1296,689,4,214171,13278,3053,2368,1298,3052,2366,1294,99,100,0,500,3075;
@400000005e1ebfdd30f33c7c #d,-,18,3051,2367,1326,690,4,214179,13279,3052,2367,1329,3051,2366,1295,99,100,0,500,3077;
@400000005e1ebfdf30fdfe68 #d,-,18,3054,2365,1297,691,4,214184,13279,3054,2367,1326,3051,2365,1288,98,100,0,500,3105;
@400000005e1ebfdf3104209e #d,-,18,3054,2366,1297,692,4,214189,13279,3054,2366,1299,3054,2365,1295,99,100,0,500,3077;
@400000005e1ebfe1310e64cf #d,-,18,3053,2365,1297,693,4,214194,13280,3054,2366,1299,3053,2364,1295,99,100,0,500,3079;
@400000005e1ebfe13114c659 #d,-,18,3053,2367,1297,694,4,214199,13280,3053,2367,1299,3053,2364,1297,99,100,0,500,3079;
@400000005e1ebfe3311fc6ab #d,-,18,3052,2366,1330,695,4,214207,13280,3053,2367,1330,3052,2365,1296,99,100,0,500,3079;
@400000005e1ebfe331265e39 #d,-,18,3056,2367,1298,696,4,214212,13281,3056,2367,1330,3052,2366,1291,98,100,0,500,3111;
@400000005e1ebfe53130c988 #d,-,18,3055,2365,1298,696,4,214218,13281,3056,2367,1300,3055,2364,1295,99,100,0,500,3075;
@400000005e1ebfe5313770ec #d,-,18,3054,2365,1296,697,4,214223,13281,3055,2365,1299,3054,2364,1296,99,100,0,500,3079;
@400000005e1ebfe73141cd54 #d,-,18,3053,2365,1297,698,4,214228,13282,3054,2365,1299,3053,2364,1296,99,100,0,500,3079;
@400000005e1ebfe7314870fe #d,-,18,3053,2364,1326,699,4,214234,13282,3053,2365,1326,3053,2364,1296,99,100,0,500,3077;
@400000005e1ebfe93153133f #d,-,18,3056,2365,1301,700,4,214241,13282,3056,2365,1331,3053,2363,1291,98,100,0,500,3111;
@400000005e1ebfe931593ce8 #d,-,18,3055,2364,1297,700,4,214246,13283,3056,2366,1301,3055,2364,1296,99,100,0,500,3079;
@400000005e1ebfeb3163efed #d,-,18,3054,2365,1298,701,4,214277,13285,3055,2366,1301,3054,2362,1297,99,100,0,500,3079;
@400000005e1ebfeb316a1d50 #d,-,18,3054,2363,1298,702,4,214282,13285,3054,2366,1299,3054,2363,1296,99,100,0,500,3080;
@400000005e1ebfed31756bdd #d,-,18,3053,2364,1317,703,4,214263,13284,3054,2364,1317,3053,2362,1297,99,100,0,499,3079;
@400000005e1ebfed317bb177 #d,-,18,3057,2361,1301,704,4,214270,13284,3057,2364,1330,3053,2361,1291,98,100,0,499,3111;
@400000005e1ebfef3186aa55 #d,-,18,3056,2363,1300,705,4,214275,13285,3057,2364,1302,3056,2361,1298,99,100,0,499,3077;
@400000005e1ebfef318cf762 #d,-,18,3055,2364,1297,706,4,214280,13285,3056,2365,1300,3055,2362,1296,99,100,0,499,3080;
@400000005e1ebff131977ae8 #d,-,18,3054,2366,1298,706,4,214285,13285,3055,2367,1299,3054,2364,1296,99,100,0,499,3079;
@400000005e1ebff1319dc082 #d,-,18,3054,2365,1306,707,4,214316,13287,3054,2367,1306,3054,2364,1296,99,100,0,499,3080;
@400000005e1ebff331a8b4b8 #d,-,18,3057,2366,1298,708,4,214323,13288,3057,2367,1331,3054,2364,1289,98,100,0,499,3111;
@400000005e1ebff331af488d #d,-,18,3056,2361,1301,709,4,214303,13286,3057,2366,1301,3056,2360,1298,99,100,0,499,3077;
@400000005e1ebff531b9c49f #d,-,18,3055,2359,1300,710,4,214333,13288,3056,2361,1301,3055,2359,1297,99,100,0,500,3080;
@400000005e1ebff531c08705 #d,-,18,3055,2363,1299,711,4,214338,13289,3055,2364,1301,3055,2359,1297,99,100,0,500,3079;
@400000005e1ebff731caf6fc #d,-,18,3054,2363,1300,711,4,214319,13287,3055,2364,1301,3054,2363,1298,99,100,0,500,3079;
@400000005e1ebff731d19244 #d,-,18,3057,2360,1296,712,4,214326,13288,3057,2363,1332,3054,2360,1293,98,100,0,500,3104;
@400000005e1ebff931dc8edc #d,-,18,3056,2362,1299,713,4,214331,13288,3057,2362,1304,3056,2360,1296,99,100,0,500,3084;
@400000005e1ebff931e2c85a #d,-,18,3055,2364,1298,714,4,214336,13288,3056,2364,1300,3055,2362,1297,99,100,0,500,3079;
@400000005e1ebffb31ed7e2a #d,-,18,3054,2363,1297,715,4,214341,13289,3055,2364,1300,3054,2362,1297,99,100,0,500,3079;
@400000005e1ebffb31f3c00a #d,-,18,3053,2365,1297,716,4,214346,13289,3054,2365,1301,3053,2362,1296,99,100,0,500,3077;
@400000005e1ebffd31fec416 #d,-,18,3056,2363,1292,717,4,214354,13289,3056,2365,1331,3053,2362,1292,98,100,0,500,3098;
