@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5621c533827 #d,-,18,3226,2369,1439,30,0,184309,11427,3226,2370,1441,3224,2369,1432,93,100,0,500,3450;
@400000005e58c5641c6220b7 #d,-,18,3228,2366,1436,31,0,184984,11469,3228,2370,1441,3226,2366,1428,93,100,0,500,3443;
@400000005e58c5641c6b8afa #d,-,18,3230,2369,1440,32,0,186037,11534,3230,2369,1442,3228,2366,1430,93,100,0,500,3450;
@400000005e58c5661c79aff5 #d,-,18,3231,2370,1441,33,0,187054,11597,3231,2370,1443,3230,2369,1431,93,100,0,500,3453;
@400000005e58c5661c82dbd3 #d,-,18,3232,2369,1438,34,0,188021,11657,3232,2370,1441,3231,2367,1432,93,100,0,500,3450;
@400000005e58c5681c90742d #d,-,18,3234,2371,1439,35,0,188949,11714,3234,2371,1440,3232,2369,1433,93,100,0,500,3453;
@400000005e58c5681c9961a4 #d,-,18,3235,2368,1437,35,0,189841,11770,3235,2371,1441,3234,2367,1436,93,100,0,500,3453;
@400000005e58c56a1ca82e43 #d,-,18,3236,2369,1438,36,0,190698,11823,3236,2369,1440,3235,2368,1435,93,100,0,500,3450;
@400000005e58c56a1cb18d59 #d,-,18,3237,2370,1438,37,0,191522,11874,3237,2370,1441,3236,2369,1433,93,100,0,500,3453;
@400000005e58c56c1cc02b67 #d,-,18,3238,2371,1439,38,0,192317,11923,3238,2372,1441,3237,2370,1434,93,100,0,500,3455;
@400000005e58c56c1cc99d1e #d,-,18,3238,2370,1431,39,0,193072,11970,3238,2372,1440,3238,2369,1430,93,100,0,500,3450;
@400000005e58c56e1cd8a0af #d,-,18,3239,2370,1438,40,0,193804,12015,3239,2371,1440,3238,2369,1431,93,100,0,500,3450;
@400000005e58c56e1ce1f764 #d,-,18,3239,2372,1436,41,0,194509,12059,3239,2372,1440,3239,2370,1433,93,100,0,500,3453;
