@400000005e58c53526373c02 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e58c53614849f79 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e58c5f2231bab98 #d,-,18,3258,2372,1440,160,0,222185,13775,3258,2373,1447,3258,2370,1440,93,100,0,500,3469;
@400000005e58c5f4232afd65 #d,-,18,3259,2371,1446,161,1,222250,13779,3259,2373,1446,3258,2371,1439,93,100,0,500,3469;
@400000005e58c5f423348b0c #d,-,18,3258,2370,1440,162,1,222312,13783,3259,2372,1447,3258,2370,1439,93,100,0,500,3467;
@400000005e58c5f62343bd2e #d,-,18,3259,2373,1445,163,1,222375,13787,3259,2373,1447,3258,2370,1440,93,100,0,500,3469;
@400000005e58c5f6234d13e3 #d,-,18,3259,2369,1443,164,1,222552,13798,3259,2373,1449,3259,2369,1434,94,100,0,500,3467;
@400000005e58c5f8235b7bec #d,-,18,3259,2369,1443,164,1,222612,13801,3259,2370,1447,3259,2368,1440,94,100,0,500,3467;
@400000005e58c5f82364d2a1 #d,-,18,3259,2371,1445,165,1,222556,13798,3259,2371,1447,3259,2369,1440,93,100,0,500,3469;
@400000005e58c5fa2373412f #d,-,18,3259,2370,1440,166,1,222616,13802,3259,2371,1447,3259,2368,1440,93,100,0,500,3469;
@400000005e58c5fa237cb3d5 #d,-,18,3260,2372,1444,167,1,222675,13805,3260,2372,1448,3259,2369,1439,93,100,0,500,3472;
@400000005e58c5fc238b6571 #d,-,18,3260,2370,1442,168,1,222733,13809,3260,2372,1447,3260,2370,1439,93,100,0,500,3472;
@400000005e58c5fc23952563 #d,-,18,3260,2372,1443,169,1,222790,13813,3260,2372,1448,3260,2369,1436,93,100,0,500,3469;
@400000005e58c5fe23a3cbd3 #d,-,18,3259,2372,1436,170,1,222844,13816,3260,2372,1445,3259,2372,1431,94,100,0,500,3464;
@400000005e58c5fe23ad880b #d,-,18,3258,2370,1441,171,1,222899,13819,3259,2372,1446,3258,2369,1435,94,100,0,500,3462;
@400000005e58c60023bc5863 #d,-,18,3257,2370,1443,172,1,222953,13823,3258,2370,1447,3257,2369,1434,94,100,0,500,3460;
@400000005e58c60023c5f137 #d,-,18,3257,2369,1431,173,1,223005,13826,3257,2370,1445,3257,2369,1431,94,100,0,500,3462;
@400000005e58c60223d48b8c #d,-,18,3257,2370,1445,174,1,223171,13836,3257,2370,1449,3257,2368,1431,94,100,0,500,3462;
@400000005e58c60223dde240 #d,-,18,3257,2371,1441,174,1,223114,13833,3257,2371,1446,3257,2370,1438,94,100,0,500,3464;
@400000005e58c60423ec7521 #d,-,18,3257,2370,1445,175,1,223167,13836,3257,2372,1446,3257,2369,1438,93,100,0,500,3467;
@400000005e58c60423f5e31e #d,-,18,3258,2369,1447,176,1,223220,13839,3258,2370,1447,3257,2369,1439,93,100,0,500,3467;
@400000005e58c606240494ba #d,-,18,3258,2372,1438,177,1,223381,13849,3258,2372,1447,3258,2369,1435,93,100,0,500,3467;
@400000005e58c606240e5d0e #d,-,18,3258,2372,1443,178,1,223325,13846,3258,2372,1446,3258,2372,1437,93,100,0,500,3467;
@400000005e58c608241d92ea #d,-,18,3258,2370,1441,179,1,223376,13849,3258,2373,1446,3258,2370,1437,93,100,0,500,3467;
@400000005e58c60824270d03 #d,-,18,3259,2370,1443,180,1,223428,13852,3259,2371,1447,3258,2369,1439,94,100,0,500,3464;
@400000005e58c60a24365b15 #d,-,18,3259,2370,1445,181,1,223478,13855,3259,2370,1446,3259,2369,1438,94,100,0,500,3467;
@400000005e58c60a243fe7ce #d,-,18,3259,2371,1445,182,1,223529,13858,3259,2371,1447,3259,2369,1440,94,100,0,500,3467;
@400000005e58c60c244f0397 #d,-,18,3258,2371,1440,183,1,223577,13861,3259,2371,1449,3258,2370,1435,93,100,0,500,3467;
@400000005e58c60c24586578 #d,-,18,3258,2371,1439,183,1,223626,13864,3258,2371,1447,3258,2369,1437,93,100,0,500,3467;
@400000005e58c60e2466e110 #d,-,18,3259,2372,1442,184,1,223675,13867,3259,2372,1448,3258,2370,1439,93,100,0,500,3469;
@400000005e58c60e2470629c #d,-,18,3259,2373,1439,185,1,223723,13870,3259,2374,1446,3259,2372,1438,94,100,0,500,3467;
@400000005e58c610247f00aa #d,-,18,3258,2375,1443,186,1,223769,13873,3259,2375,1447,3258,2373,1433,93,100,0,500,3467;
@400000005e58c6102488f78f #d,-,18,3258,2374,1443,187,1,223817,13876,3258,2376,1444,3258,2374,1436,93,100,0,500,3467;
@400000005e58c6122497f766 #d,-,18,3258,2375,1439,188,1,223965,13885,3258,2376,1444,3258,2374,1436,93,100,0,500,3467;
@400000005e58c61224a1a010 #d,-,18,3258,2377,1444,189,1,223909,13882,3258,2377,1444,3258,2375,1434,93,100,0,500,3467;
@400000005e58c61424b083f7 #d,-,18,3258,2374,1438,190,1,223954,13885,3258,2377,1446,3258,2374,1434,93,100,0,500,3469;
@400000005e58c61424ba1dba #d,-,18,3258,2375,1441,191,1,224000,13888,3258,2375,1444,3258,2373,1435,94,100,0,500,3464;
@400000005e58c61624c8c6f4 #d,-,18,3258,2376,1441,192,1,224044,13890,3258,2377,1443,3258,2375,1435,93,100,0,500,3469;
@400000005e58c61624d2260b #d,-,18,3258,2376,1442,193,1,224089,13893,3258,2377,1444,3258,2375,1435,93,100,0,500,3469;
@400000005e58c61824e09499 #d,-,18,3259,2376,1451,193,1,224135,13896,3259,2377,1451,3258,2376,1436,93,100,0,500,3469;
@400000005e58c61824e9fb23 #d,-,18,3260,2377,1445,194,1,224184,13899,3260,2377,1451,3259,2375,1439,93,100,0,500,3479;
@400000005e58c61a24f7edd4 #d,-,18,3261,2376,1443,195,1,224231,13902,3261,2378,1452,3260,2376,1438,93,100,0,500,3481;
@400000005e58c61a250166fe #d,-,18,3263,2376,1430,196,1,224277,13905,3263,2377,1453,3261,2375,1427,93,100,0,500,3479;
@400000005e58c61c250fcb4e #d,-,18,3264,2378,1449,197,1,224325,13908,3264,2378,1453,3263,2375,1430,93,100,0,500,3479;
@400000005e58c61c25192202 #d,-,18,3264,2377,1440,198,1,224370,13910,3264,2378,1451,3264,2376,1439,93,100,0,500,3476;
@400000005e58c61e25277948 #d,-,18,3265,2377,1443,199,1,224415,13913,3265,2378,1453,3264,2376,1436,93,100,0,500,3479;
@400000005e58c61e25310e63 #d,-,18,3266,2375,1450,200,1,224462,13916,3266,2377,1450,3265,2375,1439,93,100,0,500,3483;
@400000005e58c620253f8553 #d,-,18,3266,2375,1436,201,1,224506,13919,3266,2376,1452,3266,2375,1436,93,100,0,500,3479;
@400000005e58c6202548f7f8 #d,-,18,3268,2376,1446,201,1,224647,13928,3268,2376,1453,3266,2375,1436,93,100,0,500,3483;
@400000005e58c6222557e441 #d,-,18,3268,2374,1447,202,1,224691,13930,3268,2376,1454,3268,2373,1439,93,100,0,500,3483;
@400000005e58c6222561a7ec #d,-,18,3268,2376,1439,203,1,224734,13933,3268,2376,1453,3268,2373,1438,93,100,0,500,3479;
@400000005e58c6242570bf0d #d,-,18,3269,2375,1447,204,1,224683,13930,3269,2377,1451,3268,2374,1436,93,100,0,500,3483;
@400000005e58c624257a5427 #d,-,18,3269,2375,1443,205,1,224726,13933,3269,2376,1451,3269,2374,1431,93,100,0,500,3479;
@400000005e58c62625890a6c #d,-,18,3270,2375,1443,206,1,224769,13935,3270,2376,1453,3269,2374,1437,94,100,0,500,3476;
@400000005e58c6262592514b #d,-,18,3270,2375,1448,207,1,224811,13938,3270,2377,1453,3270,2375,1439,93,100,0,500,3483;
@400000005e58c62825a04b6f #d,-,18,3270,2373,1444,208,1,224853,13940,3270,2375,1453,3270,2373,1441,93,100,0,500,3479;
@400000005e58c62825aa0b61 #d,-,18,3270,2374,1445,209,1,224894,13943,3270,2375,1452,3270,2373,1436,94,100,0,500,3476;
@400000005e58c62a25b8f037 #d,-,18,3270,2373,1448,210,1,225028,13951,3270,2375,1451,3270,2373,1439,93,100,0,500,3481;
@400000005e58c62a25c261ee #d,-,18,3270,2373,1448,210,1,225070,13954,3270,2373,1454,3270,2372,1440,94,100,0,500,3476;
@400000005e58c62c25d13aa8 #d,-,18,3270,2371,1444,211,1,225108,13956,3270,2374,1454,3270,2370,1439,93,100,0,500,3479;
@400000005e58c62c25db3cb9 #d,-,18,3271,2372,1453,212,1,225149,13959,3271,2372,1454,3270,2370,1440,93,100,0,500,3481;
@400000005e58c62e25ea6768 #d,-,18,3270,2372,1438,213,1,225096,13955,3271,2374,1453,3270,2372,1434,94,100,0,500,3472;
@400000005e58c62e25f3f156 #d,-,18,3271,2372,1447,214,1,225135,13958,3271,2373,1453,3270,2371,1430,94,100,0,500,3476;
@400000005e58c6302602ba3b #d,-,18,3270,2374,1453,215,1,225175,13960,3271,2374,1456,3270,2371,1434,94,100,0,500,3476;
@400000005e58c630260c05c2 #d,-,18,3270,2372,1440,216,1,225214,13963,3270,2374,1454,3270,2371,1440,94,100,0,500,3472;
@400000005e58c632261a497a #d,-,18,3271,2372,1453,217,1,225252,13965,3271,2373,1454,3270,2372,1437,94,100,0,500,3479;
@400000005e58c6322623d367 #d,-,18,3271,2372,1446,218,1,225291,13968,3271,2373,1454,3271,2372,1436,94,100,0,500,3476;
@400000005e58c63426329c4c #d,-,18,3270,2373,1436,219,1,225327,13970,3271,2373,1454,3270,2372,1435,94,100,0,500,3472;
@400000005e58c634263c0690 #d,-,18,3270,2373,1450,220,1,225364,13972,3270,2374,1453,3270,2373,1434,93,100,0,500,3479;
@400000005e58c636264abbe6 #d,-,18,3266,2374,1435,220,1,225388,13974,3270,2374,1452,3266,2373,1400,94,100,0,500,3455;
@400000005e58c63626548439 #d,-,18,3263,2372,1437,221,1,225418,13975,3266,2374,1444,3263,2372,1431,94,100,0,500,3445;
@400000005e58c63826638b85 #d,-,18,3261,2371,1435,222,1,225447,13977,3263,2372,1440,3261,2371,1431,94,100,0,500,3450;
@400000005e58c638266d1ce5 #d,-,18,3258,2371,1440,223,1,225476,13979,3261,2371,1442,3258,2371,1428,94,100,0,500,3453;
@400000005e58c63a267be984 #d,-,18,3256,2372,1430,224,1,225503,13981,3258,2372,1440,3256,2371,1427,94,100,0,500,3448;
@400000005e58c63a2685350c #d,-,18,3254,2371,1433,225,1,225532,13982,3256,2372,1439,3254,2371,1430,94,100,0,500,3450;
@400000005e58c63c26937d6b #d,-,18,3253,2371,1436,226,1,225559,13984,3254,2372,1438,3253,2370,1427,94,100,0,500,3450;
@400000005e58c63c269d0dde #d,-,18,3251,2372,1424,227,1,225585,13986,3253,2373,1437,3251,2371,1424,94,100,0,500,3445;
@400000005e58c63e26abbbc0 #d,-,18,3249,2372,1432,228,1,225611,13987,3251,2372,1439,3249,2370,1424,94,100,0,500,3445;
@400000005e58c63e26b51ad7 #d,-,18,3248,2371,1435,229,1,225638,13989,3249,2372,1440,3248,2371,1429,94,100,0,500,3443;
@400000005e58c64026c3eee9 #d,-,18,3246,2369,1432,229,1,225664,13991,3248,2371,1439,3246,2369,1430,94,100,0,500,3445;
@400000005e58c64026cddaa0 #d,-,18,3246,2368,1429,230,1,225688,13992,3246,2371,1438,3246,2368,1425,94,100,0,500,3443;
@400000005e58c64226dd33e0 #d,-,18,3244,2370,1435,231,1,225714,13994,3246,2370,1440,3244,2368,1426,94,100,0,500,3445;
@400000005e58c64226e70c09 #d,-,18,3243,2370,1436,232,1,225740,13995,3244,2370,1443,3243,2369,1432,94,100,0,500,3445;
@400000005e58c64426f66549 #d,-,18,3243,2371,1436,233,1,225766,13997,3243,2371,1440,3243,2369,1434,94,100,0,500,3450;
@400000005e58c64426ffe6d5 #d,-,18,3243,2369,1439,234,1,225793,13999,3243,2371,1440,3243,2369,1432,93,100,0,500,3453;
@400000005e58c646270e94b8 #d,-,18,3243,2369,1434,235,1,225818,14000,3243,2370,1440,3243,2369,1431,94,100,0,500,3450;
@400000005e58c6462718cdbc #d,-,18,3243,2369,1435,236,1,225844,14002,3243,2370,1439,3243,2369,1432,94,100,0,500,3448;
@400000005e58c64827278f2e #d,-,18,3242,2369,1436,237,1,225953,14009,3243,2370,1441,3242,2369,1431,94,100,0,500,3448;
@400000005e58c6482731ad30 #d,-,18,3243,2369,1434,238,1,225978,14010,3243,2369,1439,3242,2368,1434,94,100,0,500,3450;
@400000005e58c64a2741128b #d,-,18,3243,2370,1438,238,1,226004,14012,3243,2370,1440,3243,2369,1433,94,100,0,500,3450;
@400000005e58c64a274b1cfe #d,-,18,3243,2367,1437,239,1,225947,14008,3243,2370,1440,3243,2367,1434,94,100,0,500,3450;
@400000005e58c64c275a0947 #d,-,18,3243,2368,1438,240,1,225972,14010,3243,2368,1439,3243,2367,1433,94,100,0,500,3450;
@400000005e58c64c276455da #d,-,18,3243,2369,1438,241,1,225998,14011,3243,2370,1441,3243,2368,1432,94,100,0,500,3450;
@400000005e58c64e277345dd #d,-,18,3243,2371,1435,242,1,226023,14013,3243,2372,1442,3243,2369,1431,94,100,0,500,3450;
@400000005e58c64e277cee86 #d,-,18,3243,2371,1435,243,1,226048,14014,3243,2371,1438,3243,2369,1432,93,100,0,500,3453;
@400000005e58c650278cec9f #d,-,18,3244,2369,1432,244,1,226073,14016,3244,2371,1439,3243,2369,1432,94,100,0,500,3450;
@400000005e58c6502796e383 #d,-,18,3244,2370,1440,245,1,226097,14018,3244,2371,1440,3244,2369,1431,94,100,0,500,3450;
@400000005e58c65227a598d9 #d,-,18,3243,2370,1435,246,1,226120,14019,3244,2371,1440,3243,2369,1433,94,100,0,500,3450;
@400000005e58c65227aff8fb #d,-,18,3243,2371,1438,247,1,226144,14020,3243,2371,1440,3243,2369,1430,94,100,0,500,3448;
@400000005e58c65427bee544 #d,-,18,3243,2371,1439,247,1,226168,14022,3243,2371,1439,3243,2371,1434,93,100,0,500,3453;
@400000005e58c65427c8f72b #d,-,18,3243,2370,1433,248,1,226269,14028,3243,2371,1439,3243,2369,1430,94,100,0,500,3450;
@400000005e58c65627d88fbf #d,-,18,3243,2371,1438,249,1,226292,14030,3243,2372,1440,3243,2369,1430,94,100,0,500,3450;
@400000005e58c65627e30f8b #d,-,18,3241,2369,1430,250,1,226234,14026,3243,2372,1439,3241,2368,1429,94,100,0,500,3445;
@400000005e58c65827f16318 #d,-,18,3241,2371,1438,251,1,226334,14032,3241,2371,1439,3241,2368,1428,94,100,0,500,3445;
@400000005e58c65827fb5db6 #d,-,18,3241,2370,1438,252,1,226277,14029,3241,2371,1439,3241,2370,1425,94,100,0,500,3445;
@400000005e58c65a280b19ae #d,-,18,3240,2370,1438,253,1,226299,14030,3241,2370,1441,3240,2369,1427,94,100,0,500,3443;
@400000005e58c65a28152f4e #d,-,18,3240,2370,1435,254,1,226319,14031,3240,2370,1442,3240,2369,1428,94,100,0,500,3445;
@400000005e58c65c2824abf2 #d,-,18,3240,2369,1438,255,1,226342,14033,3240,2370,1440,3240,2368,1428,93,100,0,500,3450;
@400000005e58c65c282f1830 #d,-,18,3240,2370,1439,256,1,226364,14034,3240,2370,1441,3240,2368,1430,94,100,0,500,3445;
@400000005e58c65e283e94d3 #d,-,18,3240,2371,1433,256,1,226384,14035,3240,2371,1439,3240,2370,1430,93,100,0,500,3450;
@400000005e58c65e2848d639 #d,-,18,3241,2369,1441,257,1,226406,14037,3241,2371,1442,3240,2369,1428,93,100,0,500,3450;
@400000005e58c66028592558 #d,-,18,3240,2372,1438,258,1,226429,14038,3241,2372,1441,3240,2369,1429,94,100,0,500,3445;
@400000005e58c6602863532f #d,-,18,3241,2370,1433,259,1,226450,14039,3241,2372,1441,3240,2369,1425,93,100,0,500,3448;
@400000005e58c66228730e39 #d,-,18,3241,2372,1435,260,1,226471,14041,3241,2372,1440,3241,2369,1431,93,100,0,500,3450;
@400000005e58c662287d4384 #d,-,18,3241,2372,1431,261,1,226569,14047,3241,2373,1440,3241,2370,1431,93,100,0,500,3450;
@400000005e58c66428890fcb #d,-,18,3242,2372,1376,262,1,226508,14043,3242,2372,1438,3241,2371,1376,93,100,0,500,3450;
@400000005e58c664288d702d #d,-,18,3058,2374,1300,263,1,226444,14039,3242,2375,1376,3058,2372,1293,92,100,0,500,3315;
@400000005e58c666289b3806 #d,-,18,3130,2373,1375,264,1,226496,14042,3130,2374,1720,3058,2371,1300,95,100,0,500,3265;
@400000005e58c66628a58c0c #d,-,18,2932,2374,1145,264,1,226334,14032,3130,2375,1375,2932,2373,1075,88,100,0,500,3303;
@400000005e58c66828b5f362 #d,-,18,2489,2376,1138,265,1,226174,14022,2932,2376,1149,2489,2373,1137,89,100,0,500,2768;
@400000005e58c66828c034c8 #d,-,18,2487,2376,1143,266,1,226016,14013,2489,2376,1146,2487,2376,1137,90,100,0,500,2758;
@400000005e58c66a28d0888e #d,-,18,2486,2374,1140,266,1,225858,14003,2487,2376,1144,2486,2373,1138,90,100,0,500,2756;
@400000005e58c66a28daa5a2 #d,-,18,2485,2376,1144,267,1,225701,13993,2486,2376,1145,2485,2374,1139,90,100,0,500,2758;
@400000005e58c66c28ea7529 #d,-,18,2483,2376,1144,268,1,225545,13983,2485,2376,1144,2483,2375,1138,90,100,0,500,2758;
@400000005e58c66c28f55217 #d,-,18,2482,2375,1142,268,1,225390,13974,2483,2376,1146,2482,2373,1138,89,100,0,500,2758;
@400000005e58c66e29053ca0 #d,-,18,2481,2375,1143,269,1,225236,13964,2482,2376,1144,2481,2374,1138,90,100,0,500,2756;
@400000005e58c66e291015d5 #d,-,18,2481,2376,1135,270,1,225082,13955,2481,2377,1143,2481,2375,1135,89,100,0,500,2758;
@400000005e58c67029205d80 #d,-,18,2480,2377,1140,270,1,224930,13945,2481,2377,1144,2480,2376,1135,90,100,0,500,2751;
@400000005e58c670292af494 #d,-,18,2479,2376,1136,271,1,224779,13936,2480,2377,1142,2479,2375,1135,90,100,0,500,2753;
@400000005e58c672293b5830 #d,-,18,2478,2376,1141,272,1,224629,13927,2479,2376,1142,2478,2375,1134,90,100,0,500,2753;
@400000005e58c67229462daa #d,-,18,2478,2376,1138,273,1,224478,13917,2478,2376,1142,2478,2375,1135,90,100,0,500,2753;
@400000005e58c67429565e0d #d,-,18,2476,2377,1135,273,1,224327,13908,2478,2377,1140,2476,2376,1132,90,100,0,500,2749;
@400000005e58c67429615aa5 #d,-,18,2474,2378,1141,274,1,224178,13899,2476,2378,1141,2474,2376,1134,90,100,0,500,2746;
@400000005e58c6742969945e #d,-,18,2473,2378,1134,275,1,224029,13889,2474,2379,1142,2473,2377,1134,89,100,0,500,2751;
@400000005e58c6762978c2c6 #d,-,18,2472,2375,1138,275,1,223882,13880,2473,2378,1142,2472,2375,1132,89,100,0,500,2749;
@400000005e58c6762981e9fb #d,-,18,2471,2378,1136,276,1,223735,13871,2472,2378,1142,2471,2375,1133,89,100,0,500,2746;
@400000005e58c67829908cb1 #d,-,18,2471,2379,1140,277,1,223591,13862,2471,2379,1141,2471,2378,1135,89,100,0,500,2749;
@400000005e58c678299a0e3d #d,-,18,2470,2377,1139,277,1,223446,13853,2471,2379,1140,2470,2376,1133,89,100,0,500,2751;
@400000005e58c67a29a8fe40 #d,-,18,2470,2377,1132,278,1,223301,13844,2470,2378,1141,2470,2375,1132,89,100,0,500,2749;
@400000005e58c67a29b22a1d #d,-,18,2469,2377,1133,279,1,223156,13835,2470,2378,1138,2469,2377,1126,90,100,0,500,2742;
@400000005e58c67c29c10e04 #d,-,18,2467,2376,1130,279,1,223012,13826,2469,2377,1136,2467,2376,1129,90,100,0,500,2732;
@400000005e58c67c29caca3c #d,-,18,2465,2376,1136,280,1,222869,13817,2467,2377,1137,2465,2376,1130,90,100,0,500,2737;
@400000005e58c67e29da04c1 #d,-,18,2464,2376,1134,281,1,222726,13809,2465,2376,1138,2464,2375,1131,89,100,0,500,2739;
@400000005e58c67e29e357bb #d,-,18,2463,2376,1132,281,1,222585,13800,2464,2376,1138,2463,2375,1131,89,100,0,500,2742;
@400000005e58c68029f26b22 #d,-,18,2463,2376,1136,282,1,222445,13791,2463,2376,1138,2463,2375,1132,89,100,0,500,2737;
@400000005e58c68029fb8e9e #d,-,18,2462,2376,1132,283,1,222304,13782,2463,2376,1137,2462,2375,1130,89,100,0,500,2739;
@400000005e58c6822a0a44e2 #d,-,18,2461,2375,1135,283,1,222165,13774,2462,2376,1136,2461,2374,1129,89,100,0,500,2739;
@400000005e58c6822a141fd6 #d,-,18,2459,2376,1129,284,1,222026,13765,2461,2376,1136,2459,2374,1128,89,100,0,500,2734;
@400000005e58c6842a232f83 #d,-,18,2459,2377,1133,285,1,221887,13757,2459,2377,1134,2459,2375,1129,89,100,0,500,2734;
@400000005e58c6842a2c9253 #d,-,18,2458,2377,1133,285,1,221749,13748,2459,2377,1135,2458,2376,1127,89,100,0,500,2734;
@400000005e58c6862a3b62ab #d,-,18,2457,2375,1131,286,1,221613,13740,2458,2377,1134,2457,2374,1128,89,100,0,500,2734;
@400000005e58c6862a4503e1 #d,-,18,2456,2375,1132,287,1,221476,13731,2457,2375,1134,2456,2374,1128,89,100,0,500,2732;
@400000005e58c6882a541748 #d,-,18,2455,2376,1128,288,1,221341,13723,2456,2376,1135,2455,2374,1127,89,100,0,500,2734;
@400000005e58c6882a5d6954 #d,-,18,2454,2375,1131,288,1,221205,13714,2455,2376,1133,2454,2375,1125,89,100,0,500,2732;
@400000005e58c68a2a6cac3a #d,-,18,2453,2374,1127,289,1,221135,13710,2454,2376,1132,2453,2373,1124,90,100,0,500,2725;
@400000005e58c68a2a75d370 #d,-,18,2451,2376,1128,290,1,221000,13702,2453,2376,1133,2451,2374,1124,89,100,0,500,2727;
@400000005e58c68c2a8479df #d,-,18,2450,2376,1129,290,1,220866,13693,2451,2376,1131,2450,2375,1125,89,100,0,500,2725;
@400000005e58c68c2a8e49a6 #d,-,18,2450,2374,1127,291,1,220668,13681,2450,2377,1131,2450,2374,1125,89,100,0,500,2725;
@400000005e58c68e2a9d128b #d,-,18,2627,2373,1520,292,1,220708,13683,2627,2375,1715,2450,2371,1125,93,100,0,500,2808;
@400000005e58c68e2aa63e68 #d,-,18,3491,2373,1411,293,1,220757,13686,3491,2374,1576,2627,2372,1400,93,100,0,500,3727;
@400000005e58c6902ab4ec4b #d,-,18,3234,2375,1441,294,1,220856,13693,3491,2375,1454,3234,2372,1410,93,100,0,500,3441;
@400000005e58c6902abe7dac #d,-,18,3239,2374,1440,295,1,220833,13691,3239,2375,1456,3234,2374,1431,93,100,0,500,3474;
@400000005e58c6922aceaa55 #d,-,18,3243,2375,1451,295,1,220876,13694,3243,2375,1460,3239,2374,1430,93,100,0,500,3486;
@400000005e58c6922ad8010a #d,-,18,3246,2373,1437,296,1,220916,13696,3246,2375,1460,3243,2372,1429,93,100,0,500,3479;
@400000005e58c6942ae71f9d #d,-,18,3251,2373,1439,297,1,220957,13699,3251,2374,1460,3246,2372,1434,93,100,0,500,3486;
@400000005e58c6942af0b872 #d,-,18,3254,2372,1453,298,1,221000,13702,3254,2374,1462,3251,2371,1432,93,100,0,500,3483;
@400000005e58c6962aff0cec #d,-,18,3256,2375,1435,299,1,221038,13704,3256,2375,1458,3254,2372,1432,93,100,0,500,3481;
@400000005e58c6962b088abe #d,-,18,3260,2375,1453,300,1,221080,13706,3260,2375,1458,3256,2374,1431,93,100,0,500,3488;
@400000005e58c6982b17ad0c #d,-,18,3261,2375,1451,301,1,221122,13709,3261,2376,1464,3260,2375,1433,93,100,0,500,3483;
@400000005e58c6982b211395 #d,-,18,3264,2375,1447,302,1,221163,13712,3264,2375,1462,3261,2374,1438,93,100,0,500,3486;
@400000005e58c69a2b2f9e14 #d,-,18,3268,2373,1446,303,1,221198,13714,3268,2375,1459,3264,2373,1386,93,100,0,500,3495;
@400000005e58c69a2b394304 #d,-,18,3265,2374,1443,303,1,221239,13716,3268,2374,1474,3265,2372,1413,94,100,0,500,3462;
@400000005e58c69c2b484a4f #d,-,18,3266,2374,1432,304,1,221276,13719,3266,2374,1460,3265,2371,1428,93,100,0,500,3476;
@400000005e58c69c2b51b0d9 #d,-,18,3269,2375,1455,305,1,221317,13721,3269,2375,1469,3266,2373,1432,93,100,0,500,3490;
@400000005e58c69e2b60acf7 #d,-,18,3269,2374,1453,306,1,221359,13724,3269,2375,1468,3269,2373,1429,93,100,0,500,3488;
@400000005e58c69e2b69f01d #d,-,18,3271,2375,1442,307,1,221397,13726,3271,2375,1468,3269,2373,1429,93,100,0,500,3486;
@400000005e58c6a02b799024 #d,-,18,3274,2375,1452,308,1,221438,13729,3274,2375,1468,3271,2374,1432,93,100,0,500,3505;
@400000005e58c6a02b8353d0 #d,-,18,3275,2375,1453,309,1,221479,13731,3275,2375,1469,3274,2374,1436,93,100,0,500,3488;
@400000005e58c6a22b928239 #d,-,18,3276,2375,1431,310,1,221516,13734,3276,2375,1463,3275,2374,1427,93,100,0,500,3488;
@400000005e58c6a22b9be14f #d,-,18,3278,2374,1455,311,1,221556,13736,3278,2375,1467,3276,2374,1422,93,100,0,500,3493;
@400000005e58c6a42baad50b #d,-,18,3277,2374,1453,312,1,221596,13739,3278,2374,1467,3277,2373,1434,94,100,0,500,3483;
@400000005e58c6a42bb4085c #d,-,18,3279,2373,1452,313,1,221636,13741,3279,2375,1470,3277,2373,1438,93,100,0,500,3490;
@400000005e58c6a62bc31bc2 #d,-,18,3282,2372,1467,313,1,221678,13744,3282,2373,1474,3279,2371,1441,93,100,0,500,3512;
@400000005e58c6a62bcc7ad9 #d,-,18,3282,2371,1453,314,1,221718,13746,3282,2372,1471,3282,2371,1424,93,100,0,500,3493;
@400000005e58c6a82bdb8224 #d,-,18,3284,2373,1449,315,1,221757,13748,3284,2373,1468,3282,2371,1433,94,100,0,500,3490;
@400000005e58c6a82be4aa47 #d,-,18,3286,2372,1462,316,1,221797,13751,3286,2373,1468,3284,2372,1442,93,100,0,500,3502;
@400000005e58c6aa2bf318d6 #d,-,18,3285,2371,1457,317,1,221837,13753,3286,2372,1476,3285,2371,1428,94,100,0,500,3493;
@400000005e58c6aa2bfcc627 #d,-,18,3285,2371,1439,318,1,221873,13756,3285,2372,1474,3285,2371,1426,94,100,0,500,3490;
@400000005e58c6ac2c0bc9b9 #d,-,18,3288,2371,1456,319,1,221913,13758,3288,2371,1475,3285,2370,1436,93,100,0,500,3509;
@400000005e58c6ac2c15047d #d,-,18,3288,2371,1457,320,1,221954,13761,3288,2371,1472,3288,2370,1443,94,100,0,500,3490;
@400000005e58c6ae2c22f374 #d,-,18,3289,2371,1446,321,1,221991,13763,3289,2372,1471,3288,2370,1442,94,100,0,500,3498;
@400000005e58c6ae2c2c652a #d,-,18,3291,2370,1468,322,1,222031,13765,3291,2372,1471,3289,2369,1438,93,100,0,500,3502;
@400000005e58c6b02c3b58e7 #d,-,18,3290,2370,1458,323,2,222071,13768,3291,2370,1470,3290,2369,1440,94,100,0,500,3495;
@400000005e58c6b02c44a828 #d,-,18,3292,2369,1459,324,2,222110,13770,3292,2371,1473,3290,2369,1444,93,100,0,500,3505;
@400000005e58c6b22c53849c #d,-,18,3294,2370,1476,324,2,222210,13777,3294,2371,1476,3292,2369,1442,93,100,0,500,3517;
@400000005e58c6b22c5cb7ec #d,-,18,3294,2368,1460,325,2,222250,13779,3294,2370,1478,3294,2367,1445,94,100,0,500,3502;
@400000005e58c6b42c6bac97 #d,-,18,3296,2369,1465,326,2,222288,13781,3296,2369,1473,3294,2367,1442,93,100,0,500,3507;
@400000005e58c6b42c74f730 #d,-,18,3297,2370,1453,327,2,222259,13780,3297,2370,1472,3296,2369,1393,93,100,0,500,3512;
@400000005e58c6b62c8421df #d,-,18,3232,2369,1449,328,2,222292,13782,3297,2370,1462,3232,2368,1431,93,100,0,500,3441;
