@400000005e786b431b8d600a #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e786b4409ea34f7 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e786c0218ab9c7a #d,-,18,3489,2360,1495,140,0,193164,11976,3489,2360,1598,2785,2359,1495,94,99,0,500,3685;
@400000005e786c0218b506bd #d,-,18,3186,2363,1297,141,0,193320,11985,3489,2363,1495,3186,2360,1202,92,99,0,500,3448;
@400000005e786c0418c4ba54 #d,-,18,2830,2364,1131,142,0,193215,11979,3186,2364,1302,2830,2363,1131,91,99,0,500,3099;
@400000005e786c0418ce2cf9 #d,-,18,2765,2363,1550,143,0,193416,11991,2830,2365,1593,2765,2361,1115,93,99,0,500,2952;
@400000005e786c0618dd4f46 #d,-,18,3497,2363,1533,143,0,193837,12017,3497,2364,1598,2765,2363,1533,94,99,0,500,3692;
@400000005e786c0618e6bd43 #d,-,18,3198,2363,1289,144,0,193889,12021,3497,2365,1533,3198,2363,1177,92,99,0,500,3467;
@400000005e786c0818f6079c #d,-,18,2854,2365,1167,145,0,193794,12015,3198,2365,1295,2854,2363,1167,91,99,0,500,3109;
@400000005e786c0818fe934a #d,-,18,2585,2364,1161,146,0,193722,12010,2854,2365,1181,2585,2363,1129,90,99,0,500,2862;
@400000005e786c0a190b459b #d,-,18,2507,2364,1131,146,0,193638,12005,2585,2365,1163,2507,2363,1126,89,99,0,500,2787;
@400000005e786c0a19140392 #d,-,18,2439,2363,1131,147,0,193543,11999,2507,2365,1136,2439,2360,1128,89,99,0,500,2727;
@400000005e786c0c19212694 #d,-,18,2438,2362,1135,148,0,193449,11993,2439,2363,1135,2438,2360,1125,89,99,0,500,2715;
@400000005e786c0c1929aace #d,-,18,2438,2361,1127,148,0,193355,11988,2438,2362,1136,2438,2361,1125,89,99,0,500,2718;
@400000005e786c0e1936e15e #d,-,18,2438,2361,1132,149,0,193263,11982,2438,2361,1134,2438,2358,1125,89,99,0,500,2715;
@400000005e786c0e193f880d #d,-,18,2437,2363,1126,150,0,193267,11982,2438,2363,1134,2437,2361,1126,89,99,0,500,2715;
@400000005e786c10194ce202 #d,-,18,2438,2362,1133,150,0,193082,11971,2438,2363,1137,2437,2361,1126,89,99,0,500,2718;
@400000005e786c1019555dda #d,-,18,2437,2361,1130,151,0,192993,11965,2438,2364,1134,2437,2361,1125,89,99,0,500,2715;
@400000005e786c1219625604 #d,-,18,2437,2362,1131,152,0,192905,11960,2437,2364,1136,2437,2361,1128,89,99,0,500,2718;
@400000005e786c12196a2df2 #d,-,18,2437,2362,1132,152,0,192817,11954,2437,2364,1135,2437,2362,1127,89,99,0,500,2715;
@400000005e786c14197702b9 #d,-,18,2437,2364,1129,153,0,192731,11949,2437,2364,1135,2437,2362,1127,89,99,0,500,2723;
@400000005e786c14197fb584 #d,-,18,2437,2364,1130,154,0,192645,11944,2437,2364,1136,2437,2364,1126,89,99,0,500,2718;
@400000005e786c16198c9665 #d,-,18,2437,2363,1130,155,0,192560,11938,2437,2364,1135,2437,2362,1126,89,99,0,500,2718;
@400000005e786c161994e3ad #d,-,18,2437,2363,1128,155,0,192474,11933,2437,2364,1133,2437,2362,1124,89,99,0,500,2715;
@400000005e786c1819a1a98c #d,-,18,2437,2364,1132,156,0,192390,11928,2437,2364,1134,2437,2363,1125,89,99,0,500,2713;
@400000005e786c1819aab979 #d,-,18,2436,2364,1124,157,0,192305,11922,2437,2365,1133,2436,2364,1124,89,99,0,500,2713;
@400000005e786c1a19b80bfa #d,-,18,2435,2364,1133,157,0,192221,11917,2436,2365,1134,2435,2364,1124,89,99,0,500,2713;
@400000005e786c1a19c08f45 #d,-,18,2435,2364,1126,158,0,192137,11912,2435,2365,1135,2435,2364,1124,89,99,0,500,2713;
@400000005e786c1c19cdca7e #d,-,18,2434,2364,1128,159,0,192056,11907,2435,2365,1135,2434,2364,1124,89,99,0,500,2713;
@400000005e786c1c19d668cb #d,-,18,2434,2364,1130,159,0,191974,11902,2434,2365,1132,2434,2364,1126,89,99,0,500,2713;
@400000005e786c1e19e57feb #d,-,18,2433,2365,1126,160,0,191894,11897,2434,2365,1137,2433,2364,1126,89,99,0,500,2713;
@400000005e786c1e19eed2e6 #d,-,18,2434,2365,1133,161,0,191814,11892,2434,2366,1134,2433,2364,1125,89,99,0,500,2715;
@400000005e786c2019fee0d3 #d,-,18,2436,2363,1469,161,1,191919,11898,2436,2365,1563,2434,2363,1129,89,99,0,500,2720;
@400000005e786c201a087146 #d,-,18,3463,2362,1573,162,1,192207,11916,3463,2363,1591,2436,2362,1467,96,99,0,500,3576;
@400000005e786c221a17bf59 #d,-,18,3377,2364,1330,163,1,192310,11923,3463,2364,1573,3377,2362,1121,92,99,0,500,3661;
@400000005e786c221a21027f #d,-,18,2862,2364,1244,164,1,192349,11925,3377,2364,1330,2862,2363,1243,92,99,0,500,3085;
@400000005e786c241a2ece12 #d,-,18,2687,2362,1577,165,1,192430,11930,2862,2364,1596,2687,2362,1179,90,99,0,500,2967;
@400000005e786c241a398ffe #d,-,18,3306,2360,1576,166,1,192700,11947,3306,2363,1614,2687,2360,1462,96,99,0,500,3429;
@400000005e786c261a4933bf #d,-,18,3557,2362,1384,167,1,192835,11955,3557,2363,1584,3306,2360,1129,94,99,0,500,3768;
@400000005e786c261a52968f #d,-,18,2801,2363,1240,167,1,192875,11958,3557,2363,1384,2801,2361,1240,90,99,0,500,3099;
@400000005e786c281a67b3f4 #d,-,18,2715,2362,1611,168,1,192936,11962,2801,2364,1612,2715,2362,1159,90,99,0,500,2990;
@400000005e786c281a76431c #d,-,18,3222,2361,1563,169,1,193193,11977,3222,2362,1611,2715,2360,1456,95,99,0,500,3358;
@400000005e786c2a1a8653d4 #d,-,18,3577,2362,1355,170,1,193423,11992,3577,2364,1579,3222,2360,1138,95,99,0,500,3765;
@400000005e786c2a1a8faf31 #d,-,18,2852,2362,1251,171,1,193472,11995,3577,2363,1375,2852,2361,1251,90,99,0,500,3156;
@400000005e786c2c1a9f431d #d,-,18,2745,2361,1560,172,1,193495,11996,2852,2364,1560,2745,2361,1138,90,99,0,500,3019;
@400000005e786c2c1aa889fc #d,-,18,3114,2361,1555,173,1,193748,12012,3114,2362,1607,2745,2359,1465,95,99,0,500,3272;
@400000005e786c2e1ab7578a #d,-,18,3573,2361,1277,174,1,193809,12016,3573,2362,1577,3114,2361,1126,95,99,0,500,3746;
@400000005e786c2e1ac0eca4 #d,-,18,2892,2360,1247,174,1,193946,12024,3573,2363,1385,2892,2360,1247,90,99,0,500,3204;
@400000005e786c301ace0bec #d,-,18,2779,2360,1134,175,1,193826,12017,2892,2361,1249,2779,2358,1125,91,99,0,500,3031;
@400000005e786c301ad692f1 #d,-,18,2455,2361,1129,176,1,193827,12017,2779,2361,1135,2455,2359,1127,89,99,0,500,2751;
@400000005e786c321ae348fc #d,-,18,2452,2363,1131,176,1,193665,12007,2455,2363,1134,2452,2361,1127,90,99,0,500,2713;
@400000005e786c321aec130f #d,-,18,2450,2360,1131,177,1,193585,12002,2452,2363,1135,2450,2360,1127,90,99,0,500,2718;
@400000005e786c341af9139b #d,-,18,2448,2362,1130,178,1,193507,11997,2450,2362,1137,2448,2359,1128,90,99,0,500,2715;
@400000005e786c341b017f9e #d,-,18,2447,2362,1129,178,1,193429,11992,2448,2362,1136,2447,2360,1127,90,99,0,500,2715;
@400000005e786c361b0deee1 #d,-,18,2445,2361,1128,179,1,193352,11987,2447,2362,1136,2445,2361,1126,89,99,0,500,2718;
@400000005e786c361b15d2ea #d,-,18,2444,2360,1137,180,1,193276,11983,2445,2362,1137,2444,2359,1127,89,99,0,500,2718;
@400000005e786c381b2261d7 #d,-,18,2443,2360,1130,180,1,193200,11978,2444,2361,1137,2443,2360,1128,89,99,0,500,2718;
@400000005e786c381b2b0887 #d,-,18,2443,2359,1135,181,1,193124,11973,2443,2361,1135,2443,2359,1126,90,99,0,500,2713;
@400000005e786c3a1b3800b1 #d,-,18,2442,2359,1129,182,1,193050,11969,2443,2359,1135,2442,2358,1127,89,99,0,500,2715;
@400000005e786c3a1b406cb4 #d,-,18,2441,2359,1133,182,1,192977,11964,2442,2360,1135,2441,2358,1126,89,99,0,500,2713;
@400000005e786c3c1b4d514f #d,-,18,2441,2360,1129,183,1,192903,11960,2441,2360,1136,2441,2359,1128,89,99,0,500,2715;
@400000005e786c3c1b55d589 #d,-,18,2440,2359,1131,184,1,192831,11955,2441,2361,1139,2440,2358,1129,89,99,0,500,2715;
@400000005e786c3e1b62e4fc #d,-,18,2440,2359,1128,184,1,192759,11951,2440,2360,1136,2440,2358,1128,89,99,0,500,2715;
@400000005e786c3e1b6b5961 #d,-,18,2440,2361,1134,185,1,192687,11946,2440,2361,1134,2440,2359,1127,89,99,0,500,2713;
@400000005e786c401b782e27 #d,-,18,2439,2360,1129,186,1,192615,11942,2440,2362,1136,2439,2360,1129,89,99,0,500,2713;
@400000005e786c401b80bd8e #d,-,18,2438,2359,1136,187,1,192544,11937,2439,2361,1136,2438,2359,1128,89,99,0,500,2715;
@400000005e786c421b8ccbf5 #d,-,18,2438,2361,1126,187,1,192473,11933,2438,2361,1141,2438,2359,1126,89,99,0,500,2713;
@400000005e786c421b94d275 #d,-,18,2437,2360,1132,188,1,192402,11928,2438,2361,1133,2437,2360,1126,89,99,0,500,2711;
@400000005e786c441ba1b356 #d,-,18,2436,2359,1126,189,1,192331,11924,2437,2360,1133,2436,2359,1126,90,99,0,500,2706;
@400000005e786c441baa2b75 #d,-,18,2436,2360,1130,189,1,192262,11920,2436,2360,1132,2436,2359,1126,89,99,0,500,2711;
@400000005e786c461bb8b23a #d,-,18,2435,2361,1129,190,1,192192,11915,2436,2361,1131,2435,2360,1126,89,99,0,500,2708;
@400000005e786c461bc19ec3 #d,-,18,2434,2360,1160,191,1,192126,11911,2435,2361,1160,2434,2360,1128,89,99,0,500,2711;
@400000005e786c481bd1339e #d,-,18,2870,2359,1595,192,1,192342,11925,2870,2360,1600,2434,2358,1160,94,99,0,500,3033;
@400000005e786c481bdab170 #d,-,18,3511,2361,1269,192,1,192543,11937,3511,2361,1595,2870,2359,1269,95,99,0,500,3692;
@400000005e786c4a1bea8b36 #d,-,18,3114,2360,1302,193,1,192593,11940,3511,2361,1406,3114,2360,1152,92,99,0,500,3377;
@400000005e786c4a1bf48a7c #d,-,18,2803,2361,1145,194,1,192581,11940,3114,2361,1302,2803,2360,1145,91,99,0,500,3080;
@400000005e786c4c1c045cce #d,-,18,2749,2358,1571,195,1,192735,11949,2803,2361,1602,2749,2358,1136,93,99,0,500,2929;
@400000005e786c4c1c0dfe04 #d,-,18,3505,2358,1531,196,1,192973,11964,3505,2358,1609,2749,2357,1531,94,99,0,500,3699;
@400000005e786c4e1c1dd8b8 #d,-,18,3188,2359,1301,197,1,193007,11966,3505,2359,1531,3188,2358,1164,92,99,0,500,3453;
@400000005e786c4e1c271736 #d,-,18,2844,2360,1186,197,1,193020,11967,3188,2361,1311,2844,2359,1186,91,99,0,500,3102;
@400000005e786c501c354c07 #d,-,18,2729,2358,1515,198,1,193146,11975,2844,2360,1599,2729,2356,1127,93,99,0,500,2934;
@400000005e786c501c3dacdd #d,-,18,3511,2357,1569,199,1,193383,11989,3511,2358,1609,2729,2357,1515,95,99,0,500,3690;
@400000005e786c521c4ce3a7 #d,-,18,3214,2359,1260,200,1,193424,11992,3511,2361,1569,3214,2357,1129,91,99,0,500,3512;
@400000005e786c521c564dea #d,-,18,2886,2359,1217,201,1,193445,11993,3214,2360,1312,2886,2358,1217,92,99,0,500,3104;
@400000005e786c541c642864 #d,-,18,2655,2358,1453,202,1,193550,12000,2886,2360,1637,2655,2357,1142,91,99,0,500,2912;
@400000005e786c541c6d0606 #d,-,18,3539,2356,1575,203,1,193784,12014,3539,2358,1617,2655,2356,1453,96,99,0,500,3664;
@400000005e786c561c7c5419 #d,-,18,3304,2357,1273,203,1,193845,12018,3539,2360,1575,3304,2355,1119,91,99,0,500,3614;
@400000005e786c561c85e0d2 #d,-,18,2874,2359,1203,204,1,193861,12019,3304,2360,1306,2874,2357,1203,93,99,0,500,3076;
@400000005e786c581c92b2cd #d,-,18,2601,2361,1042,205,1,193767,12013,2874,2362,1203,2601,2358,1018,89,99,0,500,2896;
@400000005e786c581c9bab71 #d,-,18,2272,2360,1132,205,1,193687,12008,2601,2362,1152,2272,2360,1042,88,99,0,500,2569;
@400000005e786c5a1ca88899 #d,-,18,2433,2360,1127,206,1,193617,12004,2433,2361,1135,2272,2360,1125,89,99,0,500,2715;
@400000005e786c5a1cb10472 #d,-,18,2432,2359,1127,207,1,193548,11999,2433,2360,1134,2432,2359,1125,89,99,0,500,2708;
@400000005e786c5c1cbdf080 #d,-,18,2432,2358,1129,207,1,193479,11995,2432,2359,1131,2432,2358,1126,89,99,0,500,2708;
@400000005e786c5c1cc6aabf #d,-,18,2432,2358,1133,208,1,193411,11991,2432,2359,1133,2432,2358,1126,89,99,0,500,2711;
@400000005e786c5e1cd4095b #d,-,18,2432,2359,1128,209,1,193343,11987,2432,2360,1133,2432,2358,1128,89,99,0,500,2708;
@400000005e786c5e1cdc8533 #d,-,18,2432,2359,1130,209,1,193277,11983,2432,2360,1133,2432,2359,1128,89,99,0,500,2711;
@400000005e786c601ce974fb #d,-,18,2432,2359,1130,210,1,193210,11979,2432,2360,1134,2432,2359,1129,89,99,0,500,2711;
@400000005e786c601cf217f1 #d,-,18,2432,2359,1131,211,1,193145,11975,2432,2359,1134,2432,2359,1129,89,99,0,500,2713;
@400000005e786c621cff470e #d,-,18,2432,2360,1134,211,1,193081,11971,2432,2361,1136,2432,2358,1128,89,99,0,500,2713;
@400000005e786c621d07bb73 #d,-,18,2432,2361,1130,212,1,193016,11967,2432,2361,1134,2432,2360,1129,89,99,0,500,2713;
@400000005e786c641d14bfb9 #d,-,18,2433,2360,1130,213,1,192952,11963,2433,2361,1133,2432,2359,1127,89,99,0,500,2711;
@400000005e786c641d1d52d9 #d,-,18,2433,2359,1129,213,1,192889,11959,2433,2361,1132,2433,2358,1128,89,99,0,500,2713;
@400000005e786c661d2a18b9 #d,-,18,2433,2359,1131,214,1,192826,11955,2433,2359,1134,2433,2358,1129,89,99,0,500,2708;
@400000005e786c661d32fdce #d,-,18,2433,2360,1131,215,1,192763,11951,2433,2360,1134,2433,2359,1130,89,99,0,500,2713;
@400000005e786c681d40195c #d,-,18,2433,2359,1134,216,1,192701,11947,2433,2360,1135,2433,2359,1129,89,99,0,500,2713;
@400000005e786c681d4898ee #d,-,18,2433,2360,1129,216,1,192639,11943,2433,2360,1134,2433,2359,1127,89,99,0,500,2713;
@400000005e786c6a1d5527db #d,-,18,2433,2361,1131,217,1,192578,11939,2433,2361,1133,2433,2360,1129,89,99,0,500,2713;
@400000005e786c6a1d5dde60 #d,-,18,2433,2361,1129,218,1,192516,11936,2433,2361,1135,2433,2361,1126,89,99,0,500,2713;
@400000005e786c6c1d6b3854 #d,-,18,2433,2361,1129,218,1,192455,11932,2433,2362,1135,2433,2361,1126,89,99,0,500,2711;
@400000005e786c6c1d73a810 #d,-,18,2433,2362,1131,219,1,192394,11928,2433,2362,1133,2433,2361,1127,89,99,0,500,2711;
@400000005e786c6e1d83a628 #d,-,18,2433,2361,1131,220,1,192334,11924,2433,2362,1132,2433,2361,1127,89,99,0,500,2713;
@400000005e786c6e1d8c83cb #d,-,18,2432,2360,1367,220,1,192299,11922,2433,2362,1367,2432,2360,1126,89,99,0,500,2711;
@400000005e786c701d9bc5c2 #d,-,18,2976,2358,1566,221,1,192495,11934,2976,2360,1595,2432,2357,1367,94,99,0,500,3142;
@400000005e786c701da51503 #d,-,18,3547,2360,1195,222,1,192639,11943,3547,2361,1574,2976,2358,1191,95,99,0,500,3709;
@400000005e786c721db45ab4 #d,-,18,3050,2360,1273,223,1,192695,11947,3547,2361,1398,3050,2359,1195,91,99,0,500,3336;
@400000005e786c721dbde4a2 #d,-,18,2783,2360,1174,224,1,192688,11946,3050,2361,1273,2783,2359,1174,91,99,0,500,3045;
@400000005e786c741dcdd69f #d,-,18,2942,2355,1609,225,1,192865,11957,2942,2361,1610,2783,2355,1174,94,99,0,500,3107;
@400000005e786c741dd7582a #d,-,18,3499,2358,1286,226,1,193039,11968,3499,2358,1609,2942,2355,1286,94,99,0,500,3692;
@400000005e786c761de71aa8 #d,-,18,3116,2358,1301,226,1,193074,11970,3499,2359,1369,3116,2357,1171,91,99,0,500,3389;
@400000005e786c761df07d78 #d,-,18,2785,2360,1175,227,1,193130,11974,3116,2361,1301,2785,2357,1175,91,99,0,500,3054;
@400000005e786c781dffc329 #d,-,18,2790,2360,1584,228,1,193209,11978,2790,2361,1600,2785,2358,1157,93,99,0,500,3000;
@400000005e786c781e0992f0 #d,-,18,3489,2360,1518,229,1,193408,11991,3489,2361,1607,2790,2359,1518,94,99,0,500,3690;
@400000005e786c7a1e18dd49 #d,-,18,3164,2363,1292,230,1,193434,11992,3489,2363,1518,3164,2360,1136,92,99,0,500,3431;
@400000005e786c7a1e21ce7a #d,-,18,2846,2363,1179,231,1,193438,11993,3164,2364,1303,2846,2363,1179,91,99,0,500,3109;
@400000005e786c7c1e31ace8 #d,-,18,2779,2361,1542,231,1,193622,12004,2846,2364,1600,2779,2361,1172,93,99,0,500,2967;
@400000005e786c7c1e3b172b #d,-,18,3501,2358,1549,232,1,193822,12016,3501,2361,1606,2779,2358,1542,94,99,0,500,3694;
@400000005e786c7e1e4a7c86 #d,-,18,3214,2359,1273,233,1,193796,12015,3501,2361,1549,3214,2358,1163,92,99,0,500,3493;
@400000005e786c7e1e543505 #d,-,18,2876,2360,1180,234,1,193807,12016,3214,2360,1302,2876,2359,1180,92,99,0,500,3111;
@400000005e786c801e616f4f #d,-,18,2573,2360,1058,235,1,193716,12010,2876,2361,1180,2573,2360,1012,89,99,0,500,2874;
@400000005e786c801e69eee1 #d,-,18,2310,2359,1133,235,1,193657,12006,2573,2361,1153,2310,2359,1058,89,99,0,500,2587;
@400000005e786c821e76c0dc #d,-,18,2433,2360,1130,236,1,193597,12003,2433,2361,1135,2310,2359,1128,89,99,0,500,2711;
@400000005e786c821e7fd482 #d,-,18,2433,2360,1132,237,1,193538,11999,2433,2360,1136,2433,2360,1128,89,99,0,500,2715;
@400000005e786c841e8cf783 #d,-,18,2433,2360,1130,237,1,193479,11995,2433,2361,1134,2433,2360,1127,89,99,0,500,2713;
@400000005e786c841e956be8 #d,-,18,2433,2360,1131,238,1,193420,11992,2433,2361,1133,2433,2360,1126,89,99,0,500,2715;
@400000005e786c861ea24cca #d,-,18,2433,2360,1125,239,1,193360,11988,2433,2361,1134,2433,2359,1125,89,99,0,500,2708;
@400000005e786c861eaadc31 #d,-,18,2433,2362,1133,239,1,193302,11984,2433,2362,1133,2433,2360,1125,89,99,0,500,2711;
@400000005e786c881eb7a5ca #d,-,18,2432,2362,1127,240,1,193243,11981,2433,2362,1133,2432,2360,1125,89,99,0,500,2711;
@400000005e786c881ec06fde #d,-,18,2432,2362,1130,241,1,193185,11977,2432,2362,1134,2432,2361,1125,89,99,0,500,2711;
@400000005e786c8a1ecd77dd #d,-,18,2432,2362,1127,241,1,193126,11973,2432,2363,1133,2432,2361,1123,89,99,0,500,2706;
@400000005e786c8a1ed5fee2 #d,-,18,2431,2361,1127,242,1,193068,11970,2432,2363,1133,2431,2361,1125,89,99,0,500,2713;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
