@400000005e82e9d71d1d1fa0 #v,-,8,1,65178,5,2,4,57,200810261703,0;
@400000005e82e9d80b714ecc #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e82ea0413374fb2 #d,-,18,2857,2366,1255,31,0,195503,12121,2857,2366,1284,2681,2364,1192,99,100,0,500,2869;
@400000005e82ea04133e1a7a #d,-,18,2940,2368,1163,32,0,196240,12166,2940,2368,1255,2857,2365,1163,98,100,0,500,2972;
@400000005e82ea06134e005b #d,-,18,2749,2367,1140,33,0,196117,12159,2940,2369,1163,2749,2367,1120,97,100,0,500,2806;
@400000005e82ea061358395f #d,-,18,2675,2369,1140,34,0,195583,12126,2749,2369,1141,2675,2366,1139,98,100,0,500,2710;
@400000005e82ea081361072c #d,-,18,2676,2368,1135,34,0,195538,12123,2676,2370,1169,2675,2367,1135,98,100,0,500,2716;
@400000005e82ea0813679b01 #d,-,18,2677,2370,1138,35,0,195449,12117,2677,2370,1141,2676,2366,1134,98,100,0,500,2723;
@400000005e82ea0a13742634 #d,-,18,2676,2370,1138,36,0,195362,12112,2677,2371,1138,2676,2368,1137,98,100,0,500,2705;
@400000005e82ea0a137b3e48 #d,-,18,2675,2370,1138,36,0,195675,12131,2676,2371,1139,2675,2368,1136,99,100,0,500,2701;
@400000005e82ea0c138279c1 #d,-,18,2750,2368,1247,37,0,195520,12122,2750,2370,1282,2675,2367,1136,99,100,0,500,2753;
@400000005e82ea0c138c648a #d,-,18,2961,2371,1260,38,0,195882,12144,2961,2371,1292,2750,2367,1247,98,100,0,500,2991;
@400000005e82ea0e1394f899 #d,-,18,2868,2371,1145,39,0,195842,12142,2961,2372,1260,2868,2369,1120,97,100,0,501,2934;
@400000005e82ea0e139f874b #d,-,18,2677,2372,1142,40,0,196138,12160,2868,2372,1145,2677,2369,1141,98,100,0,501,2705;
@400000005e82ea1013a858d2 #d,-,18,2677,2372,1141,40,0,195696,12133,2677,2372,1142,2677,2370,1140,98,100,0,501,2712;
@400000005e82ea1013b1b7e8 #d,-,18,2677,2370,1140,41,0,195625,12128,2677,2372,1143,2677,2369,1140,98,100,0,500,2712;
@400000005e82ea1213bd54b0 #d,-,18,2677,2370,1160,42,0,195595,12126,2677,2372,1169,2677,2369,1140,98,100,0,500,2712;
@400000005e82ea1213c40afb #d,-,18,2679,2370,1139,43,0,195864,12143,2679,2371,1160,2677,2368,1135,98,100,0,500,2733;
@400000005e82ea1413d01100 #d,-,18,2678,2371,1283,43,0,195586,12126,2679,2371,1283,2678,2369,1136,98,100,0,500,2708;
@400000005e82ea1413db24e1 #d,-,18,2923,2370,1255,44,0,195850,12142,2923,2371,1283,2678,2369,1250,99,100,0,500,2929;
@400000005e82ea1613eb5543 #d,-,18,2926,2370,1123,45,0,195964,12149,2926,2371,1257,2923,2368,1121,98,100,0,500,2975;
@400000005e82ea1613f5bdc7 #d,-,18,2689,2370,1170,46,0,196249,12167,2926,2371,1171,2689,2369,1123,97,100,0,500,2749;
@400000005e82ea1813fe35e5 #d,-,18,2690,2369,1143,47,0,195867,12143,2690,2371,1170,2689,2367,1135,98,100,0,500,2739;
@400000005e82ea181407e602 #d,-,18,2689,2369,1142,47,0,195804,12139,2690,2371,1143,2689,2368,1141,99,100,0,500,2712;
@400000005e82ea1a141478a9 #d,-,18,2687,2369,1141,48,0,195743,12136,2689,2372,1143,2687,2369,1141,99,100,0,500,2712;
