@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b5e21163f734 #d,-,18,3216,2355,1434,29,0,178808,11086,3216,2357,1441,3214,2355,1425,93,100,0,500,3424;
@400000005e22b5e2116d0721 #d,-,18,3218,2357,1440,30,0,180026,11161,3218,2357,1440,3216,2355,1430,93,100,0,500,3429;
@400000005e22b5e4117bb14a #d,-,18,3219,2354,1428,30,0,180781,11208,3219,2357,1440,3218,2354,1428,93,100,0,500,3426;
@400000005e22b5e41184f0b6 #d,-,18,3219,2354,1439,31,0,181906,11278,3219,2355,1443,3219,2354,1425,93,100,0,500,3426;
@400000005e22b5e611939e99 #d,-,18,3221,2357,1438,32,0,182976,11344,3221,2357,1447,3219,2354,1426,93,100,0,500,3429;
@400000005e22b5e6119cae86 #d,-,18,3222,2356,1428,33,0,184004,11408,3222,2357,1444,3221,2354,1424,93,100,0,500,3434;
@400000005e22b5e811ab3dad #d,-,18,3223,2358,1440,34,0,185002,11470,3223,2359,1443,3222,2356,1428,93,100,0,500,3429;
@400000005e22b5e811b48c00 #d,-,18,3224,2357,1433,35,0,185944,11528,3224,2359,1445,3223,2357,1425,93,100,0,500,3431;
@400000005e22b5ea11c33d9d #d,-,18,3225,2358,1440,36,0,186853,11584,3225,2359,1442,3224,2357,1427,93,100,0,500,3436;
@400000005e22b5ea11cc65c0 #d,-,18,3225,2358,1434,37,0,187728,11639,3225,2359,1440,3225,2357,1432,94,100,0,500,3426;
@400000005e22b5ec11db13a3 #d,-,18,3225,2358,1438,38,0,188565,11691,3225,2358,1441,3225,2357,1425,94,100,0,500,3426;
@400000005e22b5ec11e41774 #d,-,18,3225,2358,1441,38,0,189376,11741,3225,2358,1444,3225,2357,1426,93,100,0,500,3431;
@400000005e22b5ee11f36587 #d,-,18,3226,2360,1424,39,0,190507,11811,3226,2360,1441,3225,2358,1424,93,100,0,500,3434;
@400000005e22b5ee11fdd57e #d,-,18,3227,2359,1439,40,0,191260,11858,3227,2360,1442,3226,2359,1424,93,100,0,500,3436;
@400000005e22b5f0120c9aaa #d,-,18,3226,2357,1435,41,0,191640,11881,3227,2359,1445,3226,2357,1423,94,100,0,500,3431;
@400000005e22b5f012159bb0 #d,-,18,3228,2358,1437,42,0,192343,11925,3228,2359,1442,3226,2357,1429,93,100,0,500,3438;
@400000005e22b5f21223ccc7 #d,-,18,3228,2358,1436,43,0,193356,11988,3228,2359,1441,3228,2358,1434,94,100,0,500,3434;
@400000005e22b5f2122d4e52 #d,-,18,3228,2360,1441,44,0,194005,12028,3228,2360,1443,3228,2358,1421,94,100,0,500,3431;
@400000005e22b5f4123c03a9 #d,-,18,3230,2361,1441,45,0,194310,12047,3230,2361,1441,3228,2360,1420,93,100,0,500,3438;
@400000005e22b5f412450fdc #d,-,18,3229,2359,1428,46,0,194924,12085,3230,2361,1443,3229,2359,1428,94,100,0,500,3429;
@400000005e22b5f6125350c8 #d,-,18,3229,2359,1441,47,0,195519,12122,3229,2360,1445,3229,2359,1417,94,100,0,500,3431;
@400000005e22b5f6125ca77c #d,-,18,3230,2360,1437,47,0,196097,12158,3230,2360,1445,3229,2359,1426,94,100,0,500,3434;
@400000005e22b5f8126af395 #d,-,18,3231,2360,1428,48,0,196653,12192,3231,2361,1441,3230,2360,1428,93,100,0,500,3441;
@400000005e22b5f81274073b #d,-,18,3232,2360,1446,49,0,197218,12227,3232,2361,1450,3231,2359,1428,94,100,0,500,3436;
@400000005e22b5fa1282bd80 #d,-,18,3233,2359,1439,50,0,197756,12260,3233,2360,1447,3232,2359,1433,93,100,0,500,3450;
@400000005e22b5fa128bc151 #d,-,18,3235,2361,1445,51,0,198271,12292,3235,2361,1445,3233,2359,1431,93,100,0,500,3448;
