@400000005e22b5b51b12d0b6 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e22b5b609667e6e #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e22b746220463d3 #d,-,18,2451,2357,1133,339,2,220625,13678,2452,2358,1134,2451,2356,1127,90,100,0,500,2711;
@400000005e22b74822148cc2 #d,-,18,2449,2357,1129,340,2,220456,13668,2451,2358,1133,2449,2357,1126,90,100,0,500,2711;
@400000005e22b748221dfe79 #d,-,18,2447,2358,1130,341,2,220397,13664,2449,2358,1135,2447,2357,1127,90,100,0,500,2708;
@400000005e22b74a222d4070 #d,-,18,2446,2358,1131,341,2,220229,13654,2447,2359,1133,2446,2358,1126,90,100,0,500,2708;
@400000005e22b74a22372780 #d,-,18,2444,2358,1128,342,2,220171,13650,2446,2358,1133,2444,2357,1127,90,100,0,500,2708;
@400000005e22b74c2247356d #d,-,18,2443,2356,1134,343,2,220059,13643,2444,2359,1134,2443,2356,1127,90,100,0,500,2708;
@400000005e22b74c2250aadd #d,-,18,2442,2357,1124,343,2,219946,13636,2443,2357,1134,2442,2356,1124,90,100,0,500,2708;
@400000005e22b74e22609920 #d,-,18,2440,2360,1127,344,2,219832,13629,2442,2360,1129,2440,2356,1123,90,100,0,500,2699;
@400000005e22b74e2269f38e #d,-,18,2438,2360,1127,345,2,219666,13619,2440,2360,1131,2438,2360,1126,90,100,0,500,2701;
@400000005e22b7502279455b #d,-,18,2436,2360,1124,345,2,219554,13612,2438,2361,1129,2436,2358,1124,90,100,0,500,2706;
@400000005e22b75022833886 #d,-,18,2435,2359,1129,346,2,219442,13605,2436,2360,1130,2435,2358,1123,90,100,0,500,2704;
@400000005e22b7522293652f #d,-,18,2433,2361,1124,347,2,219330,13598,2435,2361,1131,2433,2359,1122,90,100,0,500,2701;
@400000005e22b752229cda9f #d,-,18,2431,2361,1126,347,2,219220,13591,2433,2362,1131,2431,2361,1123,89,100,0,500,2704;
@400000005e22b75422acbdb5 #d,-,18,2430,2362,1121,348,2,219109,13584,2431,2362,1127,2430,2361,1121,89,100,0,500,2701;
@400000005e22b75422b60fc1 #d,-,18,2428,2360,1122,349,2,218998,13577,2430,2362,1125,2428,2360,1120,90,100,0,500,2694;
@400000005e22b75622c55a1b #d,-,18,2426,2360,1122,349,2,218888,13571,2428,2361,1125,2426,2360,1120,90,100,0,500,2694;
@400000005e22b75622cf4d45 #d,-,18,2425,2360,1120,350,2,218777,13564,2426,2361,1125,2425,2359,1119,90,100,0,500,2694;
@400000005e22b75822df3f42 #d,-,18,2424,2360,1123,351,2,218668,13557,2425,2361,1124,2424,2359,1117,89,100,0,500,2694;
@400000005e22b75822e8b86c #d,-,18,2422,2361,1125,351,2,218559,13550,2424,2362,1125,2422,2360,1118,90,100,0,500,2689;
@400000005e22b75a22f8b2ca #d,-,18,2421,2361,1124,352,2,218451,13543,2422,2361,1126,2421,2361,1121,89,100,0,500,2699;
@400000005e22b75a230257ba #d,-,18,2420,2361,1120,353,2,218343,13537,2421,2362,1124,2420,2361,1119,89,100,0,500,2692;
@400000005e22b75c2311c0cf #d,-,18,2419,2359,1121,353,2,218234,13530,2420,2362,1123,2419,2359,1118,89,100,0,500,2689;
@400000005e22b75c231b70ec #d,-,18,2418,2359,1122,354,2,218127,13523,2419,2360,1125,2418,2359,1118,89,100,0,500,2689;
@400000005e22b75e232b1d0f #d,-,18,2417,2359,1122,355,2,218021,13517,2418,2360,1126,2417,2359,1120,89,100,0,500,2692;
@400000005e22b75e23349e9b #d,-,18,2417,2361,1123,355,2,217915,13510,2417,2362,1125,2417,2359,1120,89,100,0,500,2692;
@400000005e22b76023449451 #d,-,18,2416,2362,1119,356,2,217809,13504,2417,2362,1123,2416,2361,1117,89,100,0,500,2692;
@400000005e22b760234df721 #d,-,18,2415,2362,1121,357,2,217704,13497,2416,2362,1122,2415,2361,1117,89,100,0,500,2687;
@400000005e22b762235df44b #d,-,18,2415,2361,1122,357,2,217600,13491,2415,2362,1126,2415,2360,1120,89,100,0,500,2692;
@400000005e22b7622368705d #d,-,18,2415,2361,1117,358,2,217496,13484,2415,2361,1125,2415,2360,1115,89,100,0,500,2694;
@400000005e22b76423777035 #d,-,18,2414,2359,1307,359,2,217457,13482,2415,2361,1307,2414,2359,1114,89,100,0,500,2685;
@400000005e22b764238078ae #d,-,18,2759,2361,1419,360,2,217469,13483,2759,2362,1447,2414,2359,1297,93,100,0,500,2952;
@400000005e22b766238fa35d #d,-,18,3218,2361,1436,361,2,217499,13484,3218,2362,1436,2759,2361,1415,94,100,0,500,3410;
@400000005e22b7662398b704 #d,-,18,3216,2361,1424,361,2,217480,13483,3218,2362,1436,3216,2361,1424,94,100,0,500,3412;
@400000005e22b76823a780d7 #d,-,18,3216,2361,1430,362,2,217561,13488,3216,2361,1436,3216,2361,1419,94,100,0,500,3417;
@400000005e22b76823b08d0a #d,-,18,3216,2361,1431,363,2,217592,13490,3216,2362,1437,3216,2361,1419,94,100,0,500,3419;
@400000005e22b76a23bf23a5 #d,-,18,3217,2356,1423,364,2,217572,13489,3217,2361,1439,3216,2354,1423,94,100,0,500,3419;
@400000005e22b76a23c8102d #d,-,18,3216,2356,1436,365,2,217654,13494,3217,2357,1437,3216,2356,1423,94,100,0,500,3419;
@400000005e22b76c23d60efa #d,-,18,3216,2356,1433,366,2,217635,13493,3216,2356,1437,3216,2356,1421,94,100,0,500,3419;
@400000005e22b76c23df362f #d,-,18,3217,2357,1437,367,2,217716,13498,3217,2357,1437,3216,2356,1426,93,100,0,500,3426;
@400000005e22b76e23edb93b #d,-,18,3218,2358,1433,368,2,217747,13500,3218,2358,1439,3217,2354,1431,93,100,0,500,3424;
@400000005e22b76e23f6aa6b #d,-,18,3218,2358,1435,369,2,217728,13499,3218,2359,1439,3218,2358,1423,94,100,0,500,3422;
@400000005e22b77024057ac4 #d,-,18,3219,2358,1440,370,2,217760,13501,3219,2359,1441,3218,2358,1420,93,100,0,500,3429;
@400000005e22b770240ec292 #d,-,18,3219,2357,1429,370,2,217790,13503,3219,2359,1440,3219,2356,1429,93,100,0,500,3426;
@400000005e22b772241d7075 #d,-,18,3220,2357,1442,371,2,217824,13505,3220,2357,1444,3219,2356,1427,94,100,0,500,3424;
@400000005e22b7722426655f #d,-,18,3222,2356,1439,372,2,217856,13507,3222,2357,1443,3220,2356,1429,93,100,0,500,3441;
@400000005e22b774243491ce #d,-,18,3224,2358,1431,373,2,217888,13509,3224,2358,1442,3222,2356,1425,93,100,0,500,3436;
@400000005e22b774243dd8ad #d,-,18,3225,2357,1439,374,2,217921,13511,3225,2358,1448,3224,2357,1431,93,100,0,500,3434;
@400000005e22b776244d6d88 #d,-,18,3226,2355,1437,375,2,217953,13513,3226,2358,1442,3225,2355,1432,93,100,0,500,3434;
@400000005e22b776245c0f50 #d,-,18,3228,2355,1445,376,2,217985,13515,3228,2356,1446,3226,2354,1430,93,100,0,500,3438;
@400000005e22b778246be1a2 #d,-,18,3228,2357,1435,377,2,218016,13517,3228,2357,1445,3228,2355,1435,94,100,0,500,3434;
@400000005e22b77824755447 #d,-,18,3229,2356,1442,378,2,218048,13518,3229,2357,1445,3228,2356,1429,94,100,0,500,3431;
@400000005e22b77a2484ff7c #d,-,18,3229,2356,1441,378,2,218080,13520,3229,2357,1450,3229,2355,1432,93,100,0,500,3436;
@400000005e22b77a248e42a2 #d,-,18,3231,2357,1423,379,2,218111,13522,3231,2357,1443,3229,2355,1422,93,100,0,500,3443;
@400000005e22b77c249ca249 #d,-,18,3232,2358,1440,380,2,218144,13524,3232,2358,1447,3231,2356,1423,94,100,0,500,3431;
@400000005e22b77c24a68959 #d,-,18,3232,2357,1442,381,2,218176,13526,3232,2358,1447,3232,2357,1430,94,100,0,500,3436;
@400000005e22b77e24b673e2 #d,-,18,3234,2358,1443,382,2,218207,13528,3234,2358,1448,3232,2357,1424,93,100,0,500,3448;
@400000005e22b77e24bfe1df #d,-,18,3234,2356,1441,383,2,218239,13530,3234,2358,1446,3234,2355,1437,94,100,0,500,3434;
@400000005e22b78024cf9576 #d,-,18,3234,2356,1444,384,2,218318,13535,3234,2357,1452,3234,2356,1424,94,100,0,500,3436;
@400000005e22b78024d8fbff #d,-,18,3236,2358,1445,385,2,218301,13534,3236,2358,1447,3234,2356,1427,93,100,0,500,3450;
@400000005e22b78224e84a12 #d,-,18,3236,2358,1422,386,2,218332,13536,3236,2358,1445,3236,2357,1422,94,100,0,500,3436;
@400000005e22b78224f1cb9e #d,-,18,3235,2355,1443,387,2,218411,13541,3236,2358,1450,3235,2355,1418,94,100,0,500,3431;
@400000005e22b78425017319 #d,-,18,3235,2355,1439,387,2,218441,13543,3235,2356,1447,3235,2355,1424,94,100,0,500,3441;
@400000005e22b784250ac9ce #d,-,18,3236,2356,1434,388,2,218471,13545,3236,2356,1445,3235,2355,1428,94,100,0,500,3438;
@400000005e22b786251a0f7f #d,-,18,3237,2358,1445,389,2,218504,13547,3237,2358,1454,3236,2356,1434,94,100,0,500,3443;
@400000005e22b7862523e7a7 #d,-,18,3238,2357,1444,390,2,218488,13546,3238,2358,1454,3237,2356,1429,94,100,0,500,3443;
@400000005e22b788253340e7 #d,-,18,3240,2355,1450,391,2,218519,13548,3240,2357,1450,3238,2355,1427,93,100,0,500,3453;
@400000005e22b788253cb746 #d,-,18,3240,2356,1441,392,2,218551,13550,3240,2356,1452,3240,2355,1441,94,100,0,500,3443;
@400000005e22b78a254c5ec1 #d,-,18,3240,2358,1447,393,2,218582,13552,3240,2358,1452,3240,2356,1429,94,100,0,500,3445;
@400000005e22b78a2555b92f #d,-,18,3242,2356,1451,394,2,218614,13554,3242,2358,1456,3240,2355,1430,93,100,0,500,3457;
@400000005e22b78c2564bcc1 #d,-,18,3243,2357,1430,395,2,218644,13555,3243,2358,1451,3242,2356,1430,94,100,0,500,3450;
@400000005e22b78c256e8514 #d,-,18,3243,2358,1444,396,2,218675,13557,3243,2358,1450,3243,2357,1429,94,100,0,500,3441;
@400000005e22b78e257e2c90 #d,-,18,3242,2358,1441,396,2,218705,13559,3243,2359,1454,3242,2357,1426,94,100,0,500,3445;
@400000005e22b78e2587aa62 #d,-,18,3244,2356,1440,397,2,218735,13561,3244,2358,1448,3242,2355,1428,94,100,0,500,3448;
@400000005e22b79025974a69 #d,-,18,3243,2356,1446,398,2,218766,13563,3244,2356,1452,3243,2355,1440,94,100,0,500,3443;
@400000005e22b79025a09d64 #d,-,18,3244,2358,1445,399,2,218796,13565,3244,2358,1454,3243,2356,1426,94,100,0,500,3441;
@400000005e22b79225afa4af #d,-,18,3245,2357,1455,400,2,218825,13567,3245,2358,1455,3244,2357,1418,93,100,0,500,3453;
@400000005e22b79225b95d2e #d,-,18,3244,2357,1434,401,2,218856,13569,3245,2358,1456,3244,2356,1434,94,100,0,500,3436;
@400000005e22b79425c8f97c #d,-,18,3244,2357,1444,402,2,218886,13570,3244,2357,1455,3244,2356,1424,94,100,0,500,3448;
@400000005e22b79425d263bf #d,-,18,3243,2359,1442,403,2,218914,13572,3244,2359,1453,3243,2357,1419,94,100,0,500,3445;
@400000005e22b79625e1e063 #d,-,18,3244,2359,1424,403,2,218989,13577,3244,2360,1447,3243,2359,1422,94,100,0,500,3445;
@400000005e22b79625eb4245 #d,-,18,3244,2356,1445,404,2,219019,13579,3244,2359,1453,3244,2356,1424,94,100,0,500,3443;
@400000005e22b79825facb04 #d,-,18,3243,2357,1438,405,2,219002,13578,3244,2357,1452,3243,2356,1419,94,100,0,500,3438;
@400000005e22b79826044c90 #d,-,18,3244,2356,1444,406,2,219031,13579,3244,2357,1446,3243,2356,1427,94,100,0,500,3448;
@400000005e22b79a2613ba4d #d,-,18,3244,2358,1443,407,2,219106,13584,3244,2358,1451,3244,2356,1439,94,100,0,500,3443;
@400000005e22b79a261d1101 #d,-,18,3243,2358,1441,408,2,219088,13583,3244,2359,1452,3243,2358,1426,94,100,0,500,3438;
@400000005e22b79c262c3bb1 #d,-,18,3244,2357,1452,409,2,219116,13585,3244,2359,1452,3243,2357,1417,94,100,0,500,3450;
@400000005e22b79c2635ef87 #d,-,18,3244,2357,1438,410,2,219146,13587,3244,2358,1453,3244,2357,1438,94,100,0,500,3441;
@400000005e22b79e264554e2 #d,-,18,3244,2357,1451,411,2,219174,13588,3244,2357,1454,3244,2356,1428,94,100,0,500,3448;
@400000005e22b79e264ec2df #d,-,18,3244,2356,1446,412,2,219202,13590,3244,2357,1451,3244,2356,1429,94,100,0,500,3448;
@400000005e22b7a0265e3bc9 #d,-,18,3244,2356,1427,412,2,219230,13592,3244,2356,1447,3244,2355,1427,94,100,0,500,3445;
@400000005e22b7a02667d946 #d,-,18,3244,2357,1443,413,2,219258,13594,3244,2357,1449,3244,2356,1427,94,100,0,500,3441;
@400000005e22b7a22676f7d9 #d,-,18,3243,2356,1439,414,2,219286,13595,3244,2358,1451,3243,2356,1425,94,100,0,500,3438;
@400000005e22b7a226809cc9 #d,-,18,3244,2355,1451,415,2,219313,13597,3244,2357,1451,3243,2355,1427,94,100,0,500,3450;
@400000005e22b7a426903cd1 #d,-,18,3243,2356,1444,416,2,219342,13599,3244,2356,1453,3243,2355,1439,94,100,0,500,3441;
@400000005e22b7a42699ce32 #d,-,18,3243,2353,1447,417,2,219369,13600,3243,2356,1452,3243,2353,1426,94,100,0,500,3441;
@400000005e22b7a626a956f1 #d,-,18,3244,2354,1454,418,2,219396,13602,3244,2354,1454,3243,2353,1423,94,100,0,500,3450;
@400000005e22b7a626b2b15f #d,-,18,3243,2355,1426,419,2,219422,13604,3244,2355,1455,3243,2353,1426,94,100,0,500,3438;
@400000005e22b7a826c20f47 #d,-,18,3243,2356,1447,420,2,219450,13605,3243,2356,1453,3243,2355,1426,94,100,0,500,3441;
@400000005e22b7a826cb80fe #d,-,18,3242,2355,1446,421,2,219478,13607,3243,2356,1460,3242,2354,1423,94,100,0,500,3443;
@400000005e22b7aa26db0515 #d,-,18,3245,2356,1433,422,2,219505,13609,3245,2356,1452,3242,2354,1418,93,100,0,500,3457;
@400000005e22b7aa26e46072 #d,-,18,3245,2356,1450,422,2,219535,13611,3245,2356,1461,3245,2356,1433,94,100,0,500,3443;
@400000005e22b7ac26f3964e #d,-,18,3246,2355,1445,423,2,219563,13612,3246,2357,1457,3245,2354,1432,94,100,0,500,3450;
@400000005e22b7ac26fd5286 #d,-,18,3248,2355,1453,424,2,219634,13617,3248,2355,1453,3246,2354,1429,94,100,0,500,3455;
@400000005e22b7ae270d0263 #d,-,18,3248,2355,1443,425,2,219662,13619,3248,2356,1456,3248,2355,1442,94,100,0,500,3445;
@400000005e22b7ae27168035 #d,-,18,3248,2356,1445,426,2,219689,13620,3248,2357,1456,3248,2355,1432,94,100,0,500,3450;
@400000005e22b7b027260093 #d,-,18,3249,2356,1447,427,2,219672,13619,3249,2357,1452,3248,2356,1429,94,100,0,500,3455;
@400000005e22b7b0272f5747 #d,-,18,3248,2353,1432,428,2,219699,13621,3249,2356,1450,3248,2353,1432,94,100,0,500,3443;
@400000005e22b7b2273e7e3c #d,-,18,3249,2353,1449,429,2,219770,13625,3249,2354,1456,3248,2352,1427,94,100,0,500,3448;
@400000005e22b7b227484a4a #d,-,18,3248,2352,1439,430,2,219753,13624,3249,2353,1452,3248,2352,1432,94,100,0,500,3445;
@400000005e22b7b42757c334 #d,-,18,3249,2355,1443,431,2,219780,13626,3249,2355,1452,3248,2352,1431,94,100,0,500,3448;
@400000005e22b7b427613d4c #d,-,18,3249,2353,1448,431,2,219808,13628,3249,2355,1454,3249,2353,1443,94,100,0,500,3448;
@400000005e22b7b62770c163 #d,-,18,3249,2352,1444,432,2,219834,13629,3249,2354,1454,3249,2351,1436,94,100,0,500,3448;
@400000005e22b7b6277a1bd2 #d,-,18,3249,2351,1452,433,2,219859,13631,3249,2352,1453,3249,2350,1432,94,100,0,500,3445;
@400000005e22b7b82789c43b #d,-,18,3249,2351,1439,434,2,219885,13632,3249,2352,1453,3249,2351,1439,94,100,0,500,3445;
@400000005e22b7b8279345c7 #d,-,18,3249,2352,1452,435,2,219911,13634,3249,2352,1460,3249,2351,1431,94,100,0,500,3445;
@400000005e22b7ba27a2d9b3 #d,-,18,3248,2352,1446,436,2,219937,13636,3249,2352,1456,3248,2351,1435,94,100,0,500,3450;
@400000005e22b7ba27ac5785 #d,-,18,3249,2351,1432,437,2,219962,13637,3249,2353,1451,3248,2349,1431,94,100,0,500,3445;
@400000005e22b7bc27bbdc8b #d,-,18,3247,2353,1448,438,2,219987,13639,3249,2353,1463,3247,2351,1416,94,100,0,500,3438;
@400000005e22b7bc27c54a88 #d,-,18,3245,2353,1445,439,2,220013,13640,3247,2353,1476,3245,2352,1411,94,100,0,500,3429;
@400000005e22b7be27d4afe3 #d,-,18,3250,2354,1451,440,2,220041,13642,3250,2354,1460,3245,2352,1443,93,100,0,500,3469;
@400000005e22b7be27de316f #d,-,18,3251,2354,1455,440,2,220070,13644,3251,2354,1459,3250,2354,1451,93,100,0,500,3462;
@400000005e22b7c027ede8bf #d,-,18,3254,2354,1457,441,2,220098,13646,3254,2355,1460,3251,2354,1448,93,100,0,500,3467;
@400000005e22b7c027f75a76 #d,-,18,3256,2355,1453,442,2,220125,13647,3256,2355,1458,3254,2353,1438,93,100,0,500,3469;
@400000005e22b7c22806dbc2 #d,-,18,3257,2354,1450,443,2,220153,13649,3257,2355,1458,3256,2353,1444,94,100,0,500,3460;
@400000005e22b7c228102dce #d,-,18,3257,2352,1457,444,2,220180,13651,3257,2354,1463,3257,2352,1434,94,100,0,500,3455;
@400000005e22b7c4281ff8ad #d,-,18,3259,2351,1460,445,2,220209,13653,3259,2352,1465,3257,2351,1444,93,100,0,500,3472;
@400000005e22b7c428295b7d #d,-,18,3262,2353,1454,446,2,220239,13654,3262,2353,1463,3259,2351,1452,93,100,0,500,3472;
@400000005e22b7c628393da5 #d,-,18,3264,2355,1459,447,2,220268,13656,3264,2355,1463,3262,2353,1454,93,100,0,500,3476;
@400000005e22b7c62842a075 #d,-,18,3266,2354,1458,448,2,220297,13658,3266,2355,1464,3264,2354,1448,93,100,0,500,3476;
@400000005e22b7c828513ac9 #d,-,18,3268,2353,1454,449,2,220324,13660,3268,2355,1462,3266,2352,1440,94,100,0,500,3476;
@400000005e22b7c8285b15bd #d,-,18,3269,2353,1459,450,2,220353,13661,3269,2354,1468,3268,2352,1454,94,100,0,500,3469;
@400000005e22b7ca286a406c #d,-,18,3269,2354,1457,450,2,220381,13663,3269,2354,1464,3269,2352,1441,94,100,0,500,3467;
@400000005e22b7ca2873ba84 #d,-,18,3270,2355,1461,451,2,220409,13665,3270,2355,1464,3269,2354,1444,93,100,0,500,3479;
@400000005e22b7cc288398f2 #d,-,18,3271,2355,1452,452,2,220438,13667,3271,2355,1468,3270,2355,1452,94,100,0,500,3474;
@400000005e22b7cc288d2699 #d,-,18,3272,2352,1442,453,2,220503,13671,3272,2355,1465,3271,2352,1426,94,100,0,500,3476;
@400000005e22b7ce289c4d8f #d,-,18,3266,2352,1474,454,2,220513,13671,3272,2353,1474,3266,2352,1313,95,100,0,500,3434;
@400000005e22b7ce28a62883 #d,-,18,3150,2353,1435,455,2,220494,13670,3266,2353,1481,3150,2352,1419,93,100,0,500,3355;
@400000005e22b7d028b59db3 #d,-,18,3150,2356,1314,456,2,220524,13672,3150,2356,1440,3150,2352,1313,93,100,0,500,3386;
@400000005e22b7d028bf1f3f #d,-,18,3012,2355,1435,457,2,220496,13670,3150,2356,1450,3012,2355,1314,94,100,0,500,3204;
@400000005e22b7d228ce365f #d,-,18,3228,2354,1327,458,2,220504,13671,3228,2355,1439,3012,2354,1324,94,100,0,500,3431;
@400000005e22b7d228d75e83 #d,-,18,2982,2354,1442,458,2,220495,13670,3228,2355,1442,2982,2354,1312,92,100,0,500,3230;
@400000005e22b7d428e6fe8b #d,-,18,3148,2356,1434,459,2,220516,13672,3148,2356,1454,2982,2354,1421,94,100,0,500,3334;
@400000005e22b7d428f08efd #d,-,18,3147,2356,1317,460,2,220504,13671,3148,2357,1440,3147,2356,1314,93,100,0,500,3374;
@400000005e22b7d629000074 #d,-,18,2998,2354,1432,461,2,220516,13672,3147,2357,1462,2998,2354,1317,93,100,0,500,3192;
@400000005e22b7d629097e46 #d,-,18,3230,2355,1322,462,2,220525,13672,3230,2356,1440,2998,2354,1322,94,100,0,500,3436;
@400000005e22b7d82918d786 #d,-,18,2994,2357,1424,463,2,220514,13671,3230,2357,1424,2994,2355,1310,92,100,0,500,3237;
@400000005e22b7d829229fda #d,-,18,3134,2355,1433,464,2,220535,13673,3134,2357,1451,2994,2355,1417,94,100,0,500,3320;
@400000005e22b7da29323c28 #d,-,18,3137,2356,1318,464,2,220526,13672,3137,2357,1439,3134,2355,1317,92,100,0,500,3386;
@400000005e22b7da293badde #d,-,18,2968,2357,1418,465,2,220533,13673,3137,2357,1454,2968,2355,1316,93,100,0,500,3175;
@400000005e22b7dc294b230f #d,-,18,3226,2357,1326,466,2,220545,13673,3226,2357,1439,2968,2356,1326,94,100,0,500,3419;
@400000005e22b7dc295494c6 #d,-,18,3030,2355,1398,467,2,220532,13673,3226,2357,1398,3030,2355,1317,92,100,0,500,3272;
@400000005e22b7de2963bf75 #d,-,18,3118,2355,1436,468,2,220594,13676,3118,2356,1453,3030,2355,1398,94,100,0,500,3306;
@400000005e22b7de296d4d1c #d,-,18,3174,2357,1315,469,2,220586,13676,3174,2357,1436,3118,2355,1315,93,100,0,500,3396;
@400000005e22b7e0297cbe93 #d,-,18,2948,2358,1414,470,2,220591,13676,3174,2358,1457,2948,2357,1311,93,100,0,500,3168;
@400000005e22b7e029863b76 #d,-,18,3232,2356,1338,470,2,220605,13677,3232,2358,1446,2948,2355,1338,94,100,0,500,3417;
@400000005e22b7e229960eb7 #d,-,18,3030,2355,1373,471,2,220549,13674,3232,2356,1373,3030,2355,1311,92,100,0,500,3272;
@400000005e22b7e2299f806e #d,-,18,3100,2355,1431,472,2,220609,13677,3100,2356,1451,3030,2354,1373,94,100,0,500,3287;
@400000005e22b7e429aed5f4 #d,-,18,3188,2357,1319,473,2,220605,13677,3188,2357,1431,3100,2355,1319,93,100,0,500,3403;
@400000005e22b7e429b8350a #d,-,18,3006,2356,1432,474,2,220576,13675,3188,2357,1450,3006,2355,1319,93,100,0,500,3211;
@400000005e22b7e629c6bf89 #d,-,18,3216,2355,1320,475,2,220582,13676,3216,2356,1441,3006,2354,1318,94,100,0,500,3419;
@400000005e22b7e629d0f4d4 #d,-,18,2982,2354,1441,476,2,220574,13675,3216,2355,1441,2982,2354,1312,92,100,0,500,3230;
@400000005e22b7e829e0a4b1 #d,-,18,3148,2356,1430,476,2,220593,13676,3148,2356,1451,2982,2354,1423,94,100,0,500,3332;
@400000005e22b7e829ea0692 #d,-,18,3144,2356,1320,477,2,220582,13676,3148,2357,1430,3144,2356,1299,93,100,0,500,3360;
@400000005e22b7ea29f99b6d #d,-,18,2990,2354,1431,478,2,220590,13676,3144,2356,1455,2990,2354,1308,93,100,0,500,3187;
@400000005e22b7ea2a03096a #d,-,18,3240,2354,1299,479,2,220599,13677,3240,2354,1447,2990,2352,1299,94,100,0,500,3436;
@400000005e22b7ec2a12727f #d,-,18,3004,2354,1412,480,2,220588,13676,3240,2355,1412,3004,2353,1298,92,100,0,500,3246;
@400000005e22b7ec2a1bd0a7 #d,-,18,3124,2354,1440,481,2,220608,13677,3124,2354,1457,3004,2354,1412,94,100,0,500,3313;
@400000005e22b7ee2a2b0b2b #d,-,18,3129,2353,1318,482,2,220600,13677,3129,2355,1440,3124,2353,1317,92,100,0,500,3391;
@400000005e22b7ee2a34bff0 #d,-,18,2964,2354,1436,482,2,220605,13677,3129,2354,1444,2964,2352,1318,93,100,0,500,3175;
@400000005e22b7f02a448715 #d,-,18,3204,2355,1319,483,2,220615,13678,3204,2355,1446,2964,2354,1319,94,100,0,500,3398;
@400000005e22b7f02a4e1014 #d,-,18,3026,2353,1387,484,3,220601,13677,3204,2355,1387,3026,2352,1301,92,100,0,500,3270;
@400000005e22b7f22a5d1fc1 #d,-,18,3100,2352,1435,485,3,220659,13680,3100,2353,1448,3026,2352,1387,94,100,0,500,3289;
@400000005e22b7f22a66a507 #d,-,18,3174,2354,1338,486,3,220614,13678,3174,2355,1435,3100,2352,1297,93,100,0,500,3398;
@400000005e22b7f42a75dbd1 #d,-,18,2940,2351,1427,487,3,220617,13678,3174,2355,1449,2940,2351,1310,92,100,0,500,3166;
@400000005e22b7f42a7fdde3 #d,-,18,3220,2351,1353,488,3,220630,13679,3220,2352,1440,2940,2351,1353,94,100,0,500,3403;
@400000005e22b7f62a8f5f2f #d,-,18,3042,2354,1354,488,3,220613,13678,3220,2354,1354,3042,2351,1297,92,100,0,500,3280;
@400000005e22b7f62a98e474 #d,-,18,3047,2353,1439,489,3,220632,13679,3047,2354,1453,3042,2352,1354,93,100,0,500,3272;
@400000005e22b7f82aa874a7 #d,-,18,3198,2353,1341,490,3,220629,13679,3198,2354,1439,3047,2352,1300,93,100,0,500,3412;
@400000005e22b7f82ab1d777 #d,-,18,2938,2354,1442,491,3,220630,13679,3198,2354,1444,2938,2353,1309,92,100,0,500,3171;
@400000005e22b7fa2ac105e0 #d,-,18,3200,2354,1400,492,3,220646,13680,3200,2354,1442,2938,2354,1400,94,100,0,500,3384;
@400000005e22b7fa2acae57c #d,-,18,3070,2353,1325,493,3,220628,13678,3200,2354,1400,3070,2352,1296,92,100,0,500,3303;
@400000005e22b7fc2ada893d #d,-,18,3068,2353,1437,494,3,220644,13679,3070,2354,1454,3068,2352,1325,94,100,0,500,3246;
@400000005e22b7fc2ae42985 #d,-,18,3212,2354,1338,494,3,220644,13679,3212,2354,1438,3068,2352,1302,93,100,0,500,3422;
@400000005e22b7fe2af39388 #d,-,18,2950,2352,1449,495,3,220644,13679,3212,2355,1452,2950,2352,1317,92,100,0,500,3192;
@400000005e22b7fe2afce1db #d,-,18,3186,2353,1421,496,3,220660,13680,3186,2353,1449,2950,2351,1421,94,100,0,500,3365;
@400000005e22b8002b0c720e #d,-,18,3084,2353,1313,497,3,220644,13679,3186,2354,1421,3084,2353,1298,92,100,0,500,3317;
@400000005e22b8002b15e00b #d,-,18,3078,2353,1437,498,3,220696,13683,3084,2354,1457,3078,2351,1313,95,100,0,500,3227;
@400000005e22b8022b2568ca #d,-,18,3220,2356,1319,499,3,220660,13680,3220,2356,1439,3078,2353,1301,93,100,0,500,3426;
@400000005e22b8022b2ed30d #d,-,18,2960,2353,1450,500,3,220693,13683,3220,2356,1450,2960,2353,1317,92,100,0,500,3204;
@400000005e22b8042b3e3c22 #d,-,18,3156,2355,1433,501,3,220711,13684,3156,2355,1450,2960,2352,1419,94,100,0,500,3339;
@400000005e22b8042b480476 #d,-,18,3150,2356,1310,501,3,220659,13680,3156,2356,1433,3150,2355,1306,94,100,0,500,3341;
@400000005e22b8062b577d60 #d,-,18,3012,2354,1434,502,3,220670,13681,3150,2356,1449,3012,2353,1310,94,100,0,500,3204;
@400000005e22b8062b6102a5 #d,-,18,3228,2355,1308,503,3,220675,13681,3228,2355,1441,3012,2353,1305,94,100,0,500,3431;
@400000005e22b8082b70c611 #d,-,18,2986,2355,1440,504,3,220668,13681,3228,2356,1440,2986,2355,1308,92,100,0,500,3230;
@400000005e22b8082b7a1cc6 #d,-,18,3140,2353,1435,505,3,220686,13682,3140,2355,1453,2986,2353,1424,94,100,0,500,3325;
@400000005e22b80a2b8991f6 #d,-,18,3139,2354,1318,505,3,220675,13681,3140,2354,1435,3139,2353,1307,93,100,0,500,3367;
