@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7477b9143399fc #d,-,18,2438,2356,1128,135,0,186011,11532,2440,2359,1133,2438,2356,1126,90,100,0,500,2706;
@400000005e7477bb14402088 #d,-,18,2437,2359,1128,136,0,185948,11528,2438,2359,1133,2437,2356,1124,90,100,0,500,2704;
@400000005e7477bb14493163 #d,-,18,2435,2358,1131,137,0,185886,11524,2437,2359,1132,2435,2358,1125,90,100,0,500,2704;
@400000005e7477bd14556d6c #d,-,18,2434,2358,1129,137,0,185822,11520,2435,2359,1133,2434,2358,1122,90,100,0,500,2704;
@400000005e7477bd145e33c6 #d,-,18,2432,2358,1130,138,0,185856,11523,2434,2359,1132,2432,2358,1125,89,100,0,500,2704;
@400000005e7477bf146aa7b1 #d,-,18,2431,2358,1128,139,0,185699,11513,2432,2359,1132,2431,2356,1124,89,100,0,500,2704;
@400000005e7477bf1473db01 #d,-,18,2430,2361,1129,139,0,185638,11509,2431,2361,1130,2430,2358,1126,89,100,0,500,2706;
@400000005e7477c114815859 #d,-,18,2429,2360,1128,140,0,185673,11511,2430,2362,1129,2429,2360,1123,89,100,0,500,2704;
@400000005e7477c11489e7c0 #d,-,18,2429,2361,1130,141,0,185519,11502,2429,2361,1131,2429,2359,1123,89,100,0,500,2704;
@400000005e7477c31496472e #d,-,18,2428,2360,1129,141,0,185460,11498,2429,2361,1131,2428,2359,1122,89,100,0,500,2704;
@400000005e7477c3149f7a7f #d,-,18,2428,2360,1131,142,0,185403,11495,2428,2363,1134,2428,2360,1126,89,100,0,500,2706;
@400000005e7477c514aa8332 #d,-,18,2427,2363,1130,143,0,185347,11491,2428,2363,1134,2427,2360,1127,89,100,0,500,2708;
@400000005e7477c514b01153 #d,-,18,2567,2360,1571,144,0,185595,11506,2567,2363,1727,2427,2357,1129,92,100,0,500,2768;
@400000005e7477c714be3dc2 #d,-,18,3335,2361,1203,144,0,185648,11510,3335,2362,1639,2567,2359,1034,91,100,0,501,3654;
@400000005e7477c714c784a1 #d,-,18,2641,2360,1216,145,0,185674,11511,3335,2362,1237,2641,2360,1190,92,100,0,501,2862;
@400000005e7477c914d2b473 #d,-,18,2639,2360,1188,146,0,185674,11511,2641,2362,1216,2639,2359,1180,91,100,0,501,2893;
@400000005e7477c914d730c5 #d,-,18,2533,2361,1150,147,0,185631,11509,2639,2362,1188,2533,2360,1123,89,100,0,501,2815;
@400000005e7477cb14df179a #d,-,18,2994,2361,1348,148,0,185961,11529,2994,2361,1746,2533,2357,1150,95,100,0,501,3128;
@400000005e7477cb14e326f5 #d,-,18,2997,2360,1230,148,0,185963,11529,2997,2362,1348,2994,2358,1022,89,100,0,501,3341;
@400000005e7477cd14f27508 #d,-,18,2657,2358,1181,149,0,185979,11530,2997,2360,1230,2657,2357,1181,90,100,0,501,2936;
@400000005e7477cd14fcd52a #d,-,18,2651,2359,1145,150,0,185954,11529,2657,2360,1195,2651,2357,1125,92,100,0,501,2874;
@400000005e7477cf150b4c1a #d,-,18,2457,2360,1652,151,0,186005,11532,2651,2362,1652,2457,2359,1128,89,100,0,501,2749;
@400000005e7477cf151492f9 #d,-,18,3264,2361,1145,151,0,186199,11544,3264,2363,1713,2457,2359,1025,96,100,0,501,3389;
@400000005e7477d115235ccd #d,-,18,2787,2360,1210,152,0,186240,11546,3264,2363,1325,2787,2360,1145,88,100,0,501,3137;
@400000005e7477d1152d43dc #d,-,18,2661,2363,1182,153,0,186250,11547,2787,2363,1219,2661,2359,1182,91,100,0,501,2912;
@400000005e7477d31537e264 #d,-,18,2595,2364,1133,154,0,186226,11546,2661,2364,1193,2595,2361,1120,90,100,0,501,2862;
@400000005e7477d3153bee06 #d,-,18,2527,2359,1535,154,0,186522,11564,2595,2365,1755,2527,2358,1133,91,100,0,501,2772;
@400000005e7477d51549768b #d,-,18,3425,2361,1220,155,0,186532,11565,3425,2364,1661,2527,2359,1101,92,100,0,501,3697;
@400000005e7477d51552d0f9 #d,-,18,2711,2360,1209,156,0,186552,11566,3425,2363,1228,2711,2360,1202,92,100,0,501,2938;
@400000005e7477d7155ec36f #d,-,18,2595,2362,1163,157,0,186527,11564,2711,2363,1209,2595,2360,1150,90,100,0,501,2867;
@400000005e7477d715679d58 #d,-,18,2487,2363,1135,157,0,186474,11561,2595,2363,1163,2487,2361,1128,89,100,0,501,2770;
@400000005e7477d9157541cd #d,-,18,2435,2361,1133,158,0,186419,11557,2487,2363,1135,2435,2360,1123,89,100,0,501,2720;
@400000005e7477d9157ddc61 #d,-,18,2434,2359,1133,159,0,186448,11559,2435,2363,1133,2434,2359,1127,89,100,0,501,2708;
@400000005e7477db158a0211 #d,-,18,2433,2361,1130,159,0,186310,11551,2434,2362,1136,2433,2359,1125,89,100,0,501,2713;
@400000005e7477db1592cfde #d,-,18,2432,2362,1128,160,0,186255,11547,2433,2362,1134,2432,2360,1122,89,100,0,501,2708;
@400000005e7477dd159f2065 #d,-,18,2432,2361,1125,161,1,186202,11544,2432,2362,1134,2432,2360,1125,89,100,0,501,2708;
@400000005e7477dd15a8576f #d,-,18,2431,2361,1130,161,1,186149,11541,2432,2363,1132,2431,2361,1124,89,100,0,501,2708;
@400000005e7477df15b592a8 #d,-,18,2431,2363,1126,162,1,186096,11537,2431,2364,1133,2431,2360,1125,89,100,0,501,2708;
@400000005e7477df15be25c8 #d,-,18,2430,2363,1128,163,1,186043,11534,2431,2364,1133,2430,2361,1126,89,100,0,501,2708;
@400000005e7477e115caf31b #d,-,18,2430,2362,1132,163,1,186074,11536,2430,2363,1133,2430,2360,1125,89,100,0,501,2708;
@400000005e7477e115d42ddf #d,-,18,2430,2361,1125,164,1,185940,11528,2430,2363,1133,2430,2360,1124,89,100,0,501,2713;
@400000005e7477e315e0fb32 #d,-,18,2429,2363,1129,165,1,185890,11525,2430,2363,1134,2429,2360,1124,89,100,0,501,2706;
@400000005e7477e315e9cda7 #d,-,18,2429,2362,1127,165,1,185838,11521,2429,2363,1134,2429,2361,1125,89,100,0,501,2708;
@400000005e7477e515f6ae89 #d,-,18,2428,2361,1127,166,1,185787,11518,2429,2363,1133,2428,2361,1125,89,100,0,501,2708;
@400000005e7477e515ffb349 #d,-,18,2428,2363,1131,167,1,185736,11515,2428,2364,1134,2428,2361,1122,89,100,0,501,2708;
@400000005e7477e7160c49a9 #d,-,18,2427,2362,1125,167,1,185685,11512,2428,2363,1132,2427,2362,1123,89,100,0,501,2706;
@400000005e7477e716151b2f #d,-,18,2427,2363,1127,168,1,185714,11514,2427,2364,1130,2427,2361,1121,89,100,0,501,2704;
@400000005e7477e91624ee70 #d,-,18,2426,2364,1123,169,1,185585,11506,2427,2364,1129,2426,2360,1123,89,100,0,501,2704;
@400000005e7477e9162eae62 #d,-,18,2425,2364,1132,170,1,185536,11503,2426,2364,1132,2425,2362,1123,89,100,0,501,2701;
@400000005e7477eb163d6772 #d,-,18,2425,2359,1672,170,1,185588,11506,2425,2364,1672,2425,2359,1122,89,100,0,501,2706;
@400000005e7477eb1646e8fe #d,-,18,3284,2362,1210,171,1,185764,11517,3284,2365,1706,2425,2359,1076,96,100,0,500,3405;
@400000005e7477ed1655dda9 #d,-,18,2809,2363,1214,172,1,185803,11519,3284,2364,1323,2809,2361,1210,89,100,0,500,3152;
@400000005e7477ed165fb129 #d,-,18,2651,2362,1187,173,1,185807,11520,2809,2364,1218,2651,2362,1180,91,100,0,500,2910;
@400000005e7477ef166d2e81 #d,-,18,2577,2361,1145,173,1,185780,11518,2651,2364,1187,2577,2361,1121,90,100,0,500,2843;
@400000005e7477ef16717ffc #d,-,18,2667,2361,1607,174,1,186078,11536,2667,2361,1731,2577,2358,1135,93,100,0,500,2843;
@400000005e7477f1167fdfa4 #d,-,18,3192,2361,1198,175,1,186026,11533,3192,2364,1631,2667,2360,1025,89,100,0,500,3547;
@400000005e7477f1168949e7 #d,-,18,2715,2362,1218,176,1,186052,11535,3192,2363,1257,2715,2360,1198,92,100,0,500,2934;
@400000005e7477f31698a327 #d,-,18,2613,2363,1161,176,1,186037,11534,2715,2364,1218,2613,2351,1160,90,100,0,500,2884;
@400000005e7477f316a0dce0 #d,-,18,2491,2358,1428,177,1,186030,11533,2613,2364,1428,2491,2357,1126,90,100,0,500,2765;
@400000005e7477f516aef979 #d,-,18,3122,2362,1038,178,1,186240,11546,3122,2362,1713,2491,2356,1038,95,100,0,500,3272;
@400000005e7477f516b8a6cb #d,-,18,2924,2357,1224,179,1,186277,11549,3122,2362,1334,2924,2357,1032,90,100,0,500,3230;
@400000005e7477f716c98aec #d,-,18,2655,2359,1166,180,1,186353,11553,2924,2361,1224,2655,2357,1155,90,100,0,500,2922;
@400000005e7477f716d3a08c #d,-,18,2547,2362,1143,180,1,186246,11547,2655,2362,1179,2547,2358,1128,90,100,0,500,2829;
@400000005e7477f916e2deca #d,-,18,2469,2359,1519,181,1,186479,11561,2547,2362,1746,2469,2358,1136,90,100,0,500,2734;
@400000005e7477f916eb857a #d,-,18,3437,2362,1252,182,1,186483,11561,3437,2363,1633,2469,2358,974,93,100,0,500,3685;
@400000005e7477fb16fa1fce #d,-,18,2655,2361,1223,183,1,186500,11563,3437,2362,1252,2655,2360,1193,91,100,0,500,2891;
@400000005e7477fb170372c9 #d,-,18,2649,2361,1157,183,1,186483,11561,2655,2362,1223,2649,2360,1156,91,100,0,500,2891;
@400000005e7477fd171034ef #d,-,18,2487,2363,1143,184,1,186440,11559,2649,2363,1157,2487,2360,1124,89,100,0,500,2765;
@400000005e7477fd1718a865 #d,-,18,2481,2363,1129,185,1,186392,11556,2487,2363,1143,2481,2360,1121,91,100,0,500,2723;
@400000005e7477ff17255342 #d,-,18,2423,2360,1125,185,1,186344,11553,2481,2363,1132,2423,2360,1121,89,100,0,500,2706;
@400000005e7477ff172e08d9 #d,-,18,2423,2361,1129,186,1,186295,11550,2423,2363,1133,2423,2360,1122,89,100,0,500,2704;
@400000005e747801173b05ab #d,-,18,2422,2363,1124,187,1,186246,11547,2423,2363,1133,2422,2361,1123,89,100,0,500,2704;
@400000005e747801174438fb #d,-,18,2423,2363,1132,187,1,186200,11544,2423,2363,1133,2422,2361,1124,89,100,0,500,2708;
@400000005e7478031750cf5c #d,-,18,2422,2360,1124,188,1,186152,11541,2423,2363,1134,2422,2360,1123,89,100,0,500,2704;
@400000005e74780317598e42 #d,-,18,2423,2361,1130,189,1,186106,11538,2423,2363,1132,2422,2360,1123,89,100,0,501,2706;
@400000005e747805176604f8 #d,-,18,2423,2361,1129,189,1,186060,11535,2423,2364,1130,2423,2361,1123,89,100,0,501,2706;
@400000005e747805176f30d5 #d,-,18,2423,2362,1130,190,1,186084,11537,2423,2364,1132,2423,2360,1123,89,100,0,501,2706;
@400000005e747807177c7381 #d,-,18,2423,2362,1130,191,1,185969,11530,2423,2363,1131,2423,2361,1122,89,100,0,501,2704;
@400000005e74780717850f03 #d,-,18,2423,2362,1123,191,1,185924,11527,2423,2363,1132,2423,2360,1122,89,100,0,501,2708;
@400000005e7478091791536f #d,-,18,2423,2362,1130,192,1,185880,11524,2423,2362,1131,2423,2360,1123,89,100,0,501,2704;
@400000005e747809179a2c69 #d,-,18,2423,2359,1126,193,1,185836,11521,2423,2362,1134,2423,2359,1122,89,100,0,501,2706;
@400000005e74780b17a6f602 #d,-,18,2424,2358,1130,193,1,185793,11519,2424,2361,1133,2423,2358,1125,89,100,0,501,2704;
@400000005e74780b17af9cb1 #d,-,18,2424,2360,1129,194,1,185818,11520,2424,2360,1135,2424,2357,1127,89,100,0,501,2708;
Lost connection at /opt/powertools/bin/wattsup1 line 220.
	main::failure('Lost connection') called at /opt/powertools/bin/wattsup1 line 271
	main::recv_msg() called at /opt/powertools/bin/wattsup1 line 504
