@400000005e7476fa17cf8199 #v,-,8,2,261786,5,2,4,57,200810261703,0;
@400000005e7476fb062be8a1 #h,-,18,W,V,A,WH,Cost,WH/Mo,Cost/Mo,Wmax,Vmax,Amax,Wmin,Vmin,Amin,PF,DC,PC,Hz,VA;
@400000005e7477270e0bd710 #d,-,18,2427,2372,1123,30,0,184829,11459,2428,2374,1128,2427,2371,1122,89,100,0,501,2711;
@400000005e7477270e1452e8 #d,-,18,2426,2373,1126,30,0,184151,11417,2427,2374,1130,2426,2372,1120,89,100,0,501,2711;
@400000005e7477290e21289d #d,-,18,2426,2372,1126,31,0,183921,11403,2426,2373,1130,2426,2371,1121,89,100,0,501,2711;
@400000005e7477290e29a82f #d,-,18,2425,2373,1123,32,0,183698,11389,2426,2373,1127,2425,2371,1121,89,100,0,501,2711;
@400000005e74772b0e35a219 #d,-,18,2425,2373,1127,32,0,183487,11376,2425,2373,1129,2425,2371,1121,89,100,0,501,2711;
@400000005e74772b0e3ecdf6 #d,-,18,2424,2371,1125,33,0,183665,11387,2425,2374,1128,2424,2371,1122,89,100,0,501,2711;
@400000005e74772d0e4c00cd #d,-,18,2424,2371,1126,34,0,183461,11374,2424,2374,1129,2424,2371,1121,89,100,0,501,2713;
@400000005e74772d0e549c4f #d,-,18,2423,2371,1120,34,0,182889,11339,2424,2374,1130,2423,2370,1119,89,100,0,501,2708;
@400000005e74772f0e614db1 #d,-,18,2423,2373,1127,35,0,182706,11327,2423,2373,1127,2423,2370,1120,89,100,0,501,2708;
@400000005e74772f0e69e934 #d,-,18,2422,2373,1125,36,0,182524,11316,2423,2373,1127,2422,2371,1119,89,100,0,501,2706;
@400000005e7477310e74c268 #d,-,18,2421,2371,1354,36,0,182488,11314,2422,2373,1354,2421,2371,1120,89,100,0,501,2708;
@400000005e7477310e7af0b9 #d,-,18,3036,2371,1165,37,0,183929,11403,3036,2371,1643,2421,2367,1165,94,100,0,501,3199;
@400000005e7477330e8911fb #d,-,18,2964,2371,1210,38,0,183755,11392,3036,2373,1293,2964,2370,1108,91,100,0,501,3256;
@400000005e7477330e922e03 #d,-,18,2667,2371,1161,39,0,183821,11396,2964,2373,1216,2667,2371,1156,90,100,0,501,2943;
@400000005e7477350e9e6eb5 #d,-,18,2553,2372,1122,40,0,183729,11391,2667,2373,1171,2553,2370,1116,89,100,0,501,2839;
@400000005e7477350ea4b808 #d,-,18,2461,2369,1652,40,0,184327,11428,2553,2372,1756,2461,2367,1122,89,100,0,501,2751;
@400000005e7477370eacaeb2 #d,-,18,3513,2370,1301,41,0,184897,11463,3513,2371,1652,2461,2369,1109,96,100,0,501,3635;
@400000005e7477370eb0ba54 #d,-,18,2635,2370,1212,42,0,184987,11469,3513,2372,1301,2635,2370,1192,88,100,0,501,2983;
@400000005e7477390ebc4747 #d,-,18,2635,2371,1184,43,0,185008,11470,2635,2373,1218,2635,2370,1176,90,100,0,501,2910;
@400000005e7477390ec10972 #d,-,18,2545,2372,1190,43,0,184914,11464,2635,2373,1190,2545,2370,1115,89,100,0,501,2832;
@400000005e74773b0ec97dd7 #d,-,18,3070,2372,1195,44,0,185962,11529,3070,2372,1775,2545,2368,1190,95,100,0,501,3211;
@400000005e74773b0ecd8117 #d,-,18,3012,2371,1226,45,0,186063,11535,3070,2372,1306,3012,2370,1106,90,100,0,501,3327;
@400000005e74773d0edda293 #d,-,18,2655,2372,1182,46,0,186097,11538,3012,2373,1226,2655,2370,1176,90,100,0,501,2931;
@400000005e74773d0ee7d335 #d,-,18,2591,2373,1130,46,0,186023,11533,2655,2374,1190,2591,2371,1115,90,100,0,501,2867;
@400000005e74773f0ef36c44 #d,-,18,2539,2370,1530,47,0,186713,11576,2591,2374,1737,2539,2369,1130,91,100,0,501,2787;
@400000005e74773f0ef9e8d0 #d,-,18,3405,2372,1207,48,0,186995,11593,3405,2374,1634,2539,2369,1095,92,100,0,501,3680;
@400000005e7477410f04f808 #d,-,18,2709,2373,1204,49,0,187047,11596,3405,2373,1225,2709,2370,1193,92,100,0,501,2941;
@400000005e7477410f0b12cb #d,-,18,2603,2372,1162,50,0,186984,11593,2709,2373,1204,2603,2370,1160,90,100,0,501,2879;
@400000005e7477430f1910a9 #d,-,18,2507,2371,1117,50,0,186827,11583,2603,2372,1162,2507,2370,1117,89,100,0,501,2794;
@400000005e7477430f228ac1 #d,-,18,2335,2370,1144,51,0,186783,11580,2507,2374,1158,2335,2370,1014,88,100,0,501,2651;
@400000005e7477450f30fa3e #d,-,18,2405,2373,1131,52,0,186356,11554,2405,2373,1144,2335,2369,1121,89,100,0,500,2675;
@400000005e7477450f3a6bf5 #d,-,18,2408,2372,1127,52,0,186194,11544,2408,2373,1132,2405,2371,1124,88,100,0,500,2723;
@400000005e7477470f49f4b4 #d,-,18,2411,2369,1131,53,0,186041,11534,2411,2372,1132,2408,2369,1127,88,100,0,500,2720;
@400000005e7477470f535ef7 #d,-,18,2414,2369,1129,54,0,185888,11525,2414,2372,1132,2411,2369,1126,88,100,0,501,2720;
@400000005e7477490f62bbf1 #d,-,18,2416,2371,1128,54,0,185739,11515,2416,2371,1133,2414,2369,1124,88,100,0,501,2718;
@400000005e7477490f6c0b32 #d,-,18,2418,2370,1129,55,0,185594,11506,2418,2371,1131,2416,2369,1126,88,100,0,501,2718;
@400000005e74774b0f7a8e3e #d,-,18,2419,2370,1129,56,0,185688,11512,2419,2370,1131,2418,2368,1126,89,100,0,501,2715;
@400000005e74774b0f845e05 #d,-,18,2421,2369,1128,56,0,185312,11489,2421,2371,1132,2419,2368,1127,89,100,0,501,2718;
@400000005e74774d0f935a23 #d,-,18,2422,2367,1130,57,0,185180,11481,2422,2370,1132,2421,2367,1128,89,100,0,501,2718;
@400000005e74774d0f9ca4bc #d,-,18,2423,2368,1133,58,0,185048,11473,2423,2369,1134,2422,2367,1126,89,100,0,501,2720;
@400000005e74774f0faaf48f #d,-,18,2424,2367,1129,58,0,184920,11465,2424,2369,1133,2423,2367,1127,89,100,0,501,2715;
@400000005e74774f0fb40cdd #d,-,18,2425,2367,1128,59,0,184797,11457,2425,2369,1132,2424,2366,1128,89,100,0,500,2718;
@400000005e7477510fc21a90 #d,-,18,2426,2368,1134,60,0,184678,11450,2426,2369,1134,2425,2366,1127,89,100,0,500,2718;
@400000005e7477510fcba38f #d,-,18,2427,2368,1129,60,0,184561,11442,2427,2369,1134,2426,2366,1128,89,100,0,500,2720;
@400000005e7477530fda68bb #d,-,18,2428,2368,1131,61,0,184449,11435,2428,2371,1134,2427,2368,1128,89,100,0,500,2720;
@400000005e7477530fe3abe0 #d,-,18,2429,2369,1129,62,0,184338,11429,2429,2369,1136,2428,2367,1127,89,100,0,500,2720;
@400000005e7477550ff31d57 #d,-,18,2430,2368,1129,62,0,184229,11422,2430,2369,1134,2429,2366,1128,89,100,0,501,2718;
@400000005e7477550ffd5ebd #d,-,18,2431,2367,1287,63,0,184174,11418,2431,2369,1287,2430,2366,1129,89,100,0,501,2720;
@400000005e7477571008c492 #d,-,18,3048,2370,1171,64,0,184854,11460,3048,2370,1684,2431,2365,1171,95,100,0,501,3199;
@400000005e747757100f0a2c #d,-,18,2988,2368,1197,65,0,184908,11464,3048,2370,1296,2988,2366,1104,90,100,0,501,3291;
@400000005e747759101db721 #d,-,18,2597,2367,1166,65,0,184906,11464,2988,2369,1199,2597,2366,1163,90,100,0,501,2884;
@400000005e74775910277bbb #d,-,18,2591,2370,1137,66,0,184840,11460,2597,2370,1175,2591,2366,1123,91,100,0,500,2827;
@400000005e74775b1032ba72 #d,-,18,2451,2367,1517,67,0,185229,11484,2591,2370,1722,2451,2364,1131,89,100,0,500,2737;
@400000005e74775b1039f231 #d,-,18,3493,2367,1291,68,0,185465,11498,3493,2370,1644,2451,2366,976,94,100,0,500,3678;
@400000005e74775d1047636d #d,-,18,2571,2368,1222,69,0,185516,11502,3493,2369,1291,2571,2367,1186,89,100,0,500,2862;
@400000005e74775d104c418a #d,-,18,2637,2367,1185,69,0,185524,11502,2637,2369,1223,2571,2367,1177,90,100,0,500,2912;
@400000005e74775f10573e22 #d,-,18,2543,2367,1166,70,0,185444,11497,2637,2368,1186,2543,2366,1122,89,100,0,500,2827;
@400000005e74775f105d83bb #d,-,18,3024,2369,1238,71,0,186097,11538,3024,2369,1762,2543,2363,1166,95,100,0,500,3163;
@400000005e74776110660ac0 #d,-,18,3019,2367,1226,72,0,186308,11551,3024,2370,1329,3019,2367,1028,91,100,0,500,3308;
@400000005e747761106a1dd5 #d,-,18,2653,2370,1183,72,0,186326,11552,3019,2370,1226,2653,2367,1175,90,100,0,500,2936;
@400000005e7477631075be57 #d,-,18,2587,2373,1125,73,0,186097,11538,2653,2373,1190,2587,2369,1118,90,100,0,500,2862;
@400000005e747763107c9092 #d,-,18,2497,2369,1509,74,0,186500,11563,2587,2373,1760,2497,2367,1125,90,100,0,500,2770;
@400000005e7477651089db9f #d,-,18,3455,2371,1194,75,0,186670,11573,3455,2373,1635,2497,2368,1059,93,100,0,500,3701;
@400000005e747765108e1d45 #d,-,18,2595,2372,1188,75,0,186661,11573,3455,2372,1200,2595,2370,1172,90,100,0,500,2853;
@400000005e747767109b7739 #d,-,18,2590,2372,1153,76,0,186611,11569,2595,2372,1188,2590,2370,1153,91,100,0,500,2841;
@400000005e74776710a54e74 #d,-,18,2487,2370,1077,77,0,186488,11562,2590,2372,1153,2487,2370,1077,89,100,0,500,2770;
@400000005e74776910b43abd #d,-,18,2300,2370,1140,78,0,186287,11549,2487,2373,1153,2300,2370,1014,87,100,0,500,2618;
@400000005e74776910bdb11b #d,-,18,2407,2372,1131,78,0,186182,11543,2407,2372,1140,2300,2370,1121,89,100,0,500,2682;
@400000005e74776b10cc7dba #d,-,18,2411,2370,1134,79,0,186080,11536,2411,2372,1134,2407,2369,1128,88,100,0,500,2725;
@400000005e74776b10d5d0b5 #d,-,18,2414,2368,1130,80,0,185980,11530,2414,2372,1135,2411,2368,1127,88,100,0,500,2723;
@400000005e74776d10e4ccd3 #d,-,18,2417,2369,1132,80,0,185880,11524,2417,2370,1134,2414,2367,1129,88,100,0,500,2723;
@400000005e74776d10ee326e #d,-,18,2419,2368,1130,81,0,185783,11518,2419,2370,1133,2417,2368,1129,88,100,0,500,2723;
